EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg2aBlocked,FTDefRebounds,Offensive Fouls,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffAtRimReboundPct,Corner3Assists,AtRimAssists,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,PtsUnassisted3s,Clear Path Fouls,Technical Free Throw Trips,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,Blocked3s,BlockedArc3,on,SecondChanceCorner3FGM,SecondChanceFtPoints,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Corner3PctBlocked,HeaveMakes
111,1610612748,LaPhonso Ellis,LaPhonso Ellis,111,MIA,9918.0,165,-22,292,295,50.0,72.0,32,587,6.0,9.0,3.0,3.0,1.0,1.0,3.0,11.0,9.0,19.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,18.0,39,4.0,7.0,3.0,51.0,275,4.0,7.0,1.0,1.0,11.0,2.0,5.0,2.0,2.0,1.0,11.0,20.0,16.0,12.0,6.0,4.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,12.0,1.0,7.0,1.0,2.0,9.0,11.0,9.0,20.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,2.0,3.0,8.0,1.0,7.0,13,5.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,11.0,50.0,0.5555555555555556,0.6666666666666666,1.0,0.5714285714285714,1.0,1.0,0.5714285714285714,0.46153846153846156,0.5714285714285714,0.4,0.5217391304347826,0.6875,0.7142857142857143,0.53125,0.6875,0.6875,0.15217391304347827,16.96969696969697,0.625,0.08333333333333333,0.06818181818181818,0.058333333333333334,0.1,0.041666666666666664,0.07236842105263158,0.05555555555555555,0.0625,0.07692307692307693,0.1,0.0625,0.06521739130434782,0.07407407407407407,0.13333333333333333,0.08333333333333333,1.0,0.1956521739130435,0.6666666666666666,0.6666666666666666,0.5,0.2391304347826087,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.41304347826086957,0.47368421052631576,0.47368421052631576,0.6666666666666666,0.06521739130434782,0.6666666666666666,0.6666666666666666,1.0,0.08695652173913043,0.5,0.5,1.0,0.375,1.0,0.125,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.34782608695652173,0.5,0.43965978260869576,0.5095166666666667,0.47005,0.0625,0.07317073170731707,0.21568627450980393,0.21568627450980393,11.225641025641027,24.442857142857147,0.17123287671232876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1735,1610612748,Vladimir Stepania,Vladimir Stepania,1735,MIA,4257.0,71,-19,135,136,30.0,62.0,12,271,5.0,9.0,,3.0,2.0,2.0,1.0,5.0,3.0,9.0,,,,,,,,,,,9.0,23,,,1.0,19.0,132,,4.0,,,,2.0,3.0,,,,4.0,10.0,8.0,,,,,2.0,,2.0,,,2.0,4.0,1.0,5.0,,1.0,10.0,15.0,6.0,21.0,2.0,3.0,2.0,1.0,,,1.0,,,1.0,,4.0,7,3.0,1.0,1.0,3.0,2.0,3.0,2.0,,4.0,30.0,0.5555555555555556,0.5555555555555556,,,,,,0.391304347826087,,0.6666666666666666,0.391304347826087,,0.6666666666666666,0.3958333333333333,,0.5,,16.33986928104575,,,0.2,0.07692307692307693,0.1,0.14285714285714285,0.18333333333333332,0.08333333333333333,0.1111111111111111,0.058823529411764705,0.3333333333333333,0.16666666666666666,0.0625,0.3181818181818182,0.1111111111111111,0.15384615384615385,0.6666666666666666,0.391304347826087,0.5555555555555556,0.625,0.6,0.21739130434782608,0.2,0.2,1.0,0.391304347826087,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,0.75,,,,,0.6666666666666666,1.0,,,,,0.391304347826087,,0.46417391304347827,0.5353,0.5092666666666666,0.043478260869565216,0.043478260869565216,,0.21052631578947367,8.708695652173914,,0.2222222222222222,1.0,4.0,1.0,1.0,1.0,1.0,0.043478260869565216,0.1111111111111111,0.4444444444444444,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1752,1610612748,Sean Marks,Sean Marks,1752,MIA,19167.0,319,-45,586,593,124.0,215.0,67,1179,22.0,34.0,6.0,9.0,3.0,5.0,5.0,17.0,11.0,37.0,,,,,,,,,,,38.0,88,,,20.0,96.0,577,7.0,11.0,,,14.0,6.0,16.0,,,10.0,22.0,48.0,28.0,,8.0,,,6.0,2.0,8.0,1.0,1.0,3.0,18.0,2.0,17.0,,10.0,42.0,56.0,19.0,75.0,1.0,5.0,3.0,2.0,4.0,2.0,15.0,4.0,2.0,19.0,6.0,17.0,40,34.0,2.0,15.0,10.0,8.0,10.0,5.0,1.0,22.0,124.0,0.631578947368421,0.7058823529411765,,,,,,0.4318181818181818,0.6363636363636364,0.375,0.4318181818181818,0.6363636363636364,0.375,0.46153846153846156,0.5833333333333334,0.4782608695652174,,18.46846846846847,0.21052631578947367,,0.17427385892116182,0.07083333333333333,0.2127659574468085,0.04878048780487805,0.18055555555555555,0.06761565836298933,0.13333333333333333,0.03759398496240601,0.13333333333333333,0.16666666666666666,0.18421052631578946,0.17142857142857143,0.23076923076923078,0.023255813953488372,0.5,0.38636363636363635,0.6470588235294118,0.7096774193548387,0.5454545454545454,0.19318181818181818,0.29411764705882354,0.38461538461538464,0.2,0.42045454545454547,0.2972972972972973,0.2972972972972973,1.0,,,,,,,,,0.8181818181818182,0.6666666666666666,,,,0.3125,0.6,,,,,0.38636363636363635,,0.4643272727272727,0.5251444444444444,0.44806875,0.1485148514851485,0.1485148514851485,0.14583333333333334,0.22916666666666666,9.661363636363639,,0.21160409556313994,7.0,4.0,2.0,3.0,1.0,8.0,0.07954545454545454,0.08823529411764706,0.16666666666666666,0.0851063829787234,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.23529411764705882,0.125,0.16666666666666666,,,,,,,,,,,True,,,,,,,,,,,,
1853,1610612748,Anthony Carter,Anthony Carter,1853,MIA,12038.0,201,-53,365,374,74.0,125.0,36,739,3.0,6.0,,,,,2.0,9.0,8.0,28.0,,1.0,,1.0,,,,,,,13.0,43,,1.0,2.0,28.0,377,2.0,7.0,,,4.0,2.0,8.0,,1.0,,4.0,18.0,8.0,,,,,30.0,8.0,38.0,5.0,6.0,14.0,84.0,,1.0,2.0,5.0,13.0,20.0,3.0,23.0,1.0,9.0,6.0,3.0,12.0,11.0,4.0,,1.0,16.0,2.0,11.0,14,2.0,,1.0,1.0,1.0,1.0,1.0,,4.0,74.0,0.6923076923076923,0.6923076923076923,,,,,,0.3023255813953488,0.2857142857142857,0.25,0.29545454545454547,0.2857142857142857,0.2222222222222222,0.3111111111111111,0.2857142857142857,0.2222222222222222,0.022727272727272728,14.987714987714986,0.75,0.18181818181818182,0.08441558441558442,0.006802721088435374,0.20833333333333334,,0.10112359550561797,0.005681818181818182,,,,0.07894736842105263,0.09259259259259259,0.08064516129032258,0.21052631578947367,0.034482758620689655,1.0,0.13636363636363635,0.5,0.6,1.0,0.20454545454545456,0.2222222222222222,0.2222222222222222,0.5,0.6363636363636364,0.2857142857142857,0.2962962962962963,0.625,0.022727272727272728,,,,,,,,,,,,,,,0.1111111111111111,,,,0.1590909090909091,,0.4215988636363637,0.3855,0.37546111111111113,0.022222222222222223,0.022727272727272728,0.14285714285714285,0.14285714285714285,13.951162790697675,23.6,0.20273972602739726,2.0,2.0,1.0,,,,0.046511627906976744,0.16666666666666666,0.13333333333333333,0.04,3.0,10.0,2.0,,1.0,,,,,,0.2,,0.03571428571428571,,,,,,,,,,True,,,,,,,,,,,,
2067,1610612748,Eddie House,Eddie House,2067,MIA,7972.0,133,1,250,250,65.0,112.0,32,500,1.0,5.0,,,,,4.0,7.0,15.0,30.0,6.0,9.0,1.0,1.0,2.0,5.0,1.0,1.0,,2.0,20.0,42,8.0,14.0,1.0,65.0,236,2.0,2.0,1.0,1.0,7.0,2.0,4.0,1.0,3.0,1.0,8.0,26.0,14.0,21.0,,5.0,2.0,9.0,1.0,10.0,,1.0,4.0,21.0,1.0,,,3.0,8.0,11.0,1.0,12.0,,5.0,2.0,3.0,5.0,2.0,10.0,1.0,3.0,15.0,4.0,3.0,10,3.0,,1.0,,,,,,8.0,65.0,0.65,0.65,0.875,0.5714285714285714,1.0,0.3333333333333333,0.5714285714285714,0.47619047619047616,1.0,0.5,0.5714285714285714,1.1666666666666667,0.5,0.5701754385964912,1.1666666666666667,0.5,0.25,25.174825174825177,0.3333333333333333,,0.0851063829787234,,0.15789473684210525,0.05263157894736842,0.09734513274336283,0.009009009009009009,,,,0.23529411764705882,0.034482758620689655,0.0625,0.17647058823529413,,,0.08928571428571429,0.2,0.3333333333333333,,0.125,0.5714285714285714,0.5714285714285714,0.75,0.5357142857142857,0.5,0.5,0.6666666666666666,0.16071428571428573,0.6666666666666666,0.6666666666666666,1.0,0.08928571428571429,0.4,0.4,0.5,,,0.3333333333333333,1.0,1.0,,,0.14285714285714285,1.0,0.2857142857142857,,0.3392857142857143,0.4,0.4513142857142857,0.46092500000000003,0.42991428571428575,0.017543859649122806,0.023255813953488372,0.1076923076923077,0.12307692307692308,14.97142857142857,23.885714285714283,0.26,2.0,,2.0,,,3.0,0.047619047619047616,0.4,,,1.0,4.0,3.0,1.0,2.0,,,,,,,,,3.0,1.0,1.0,0.1,,,,,,True,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,14507.0,242,-28,433,438,76.0,124.0,51,871,12.0,20.0,2.0,3.0,1.0,2.0,7.0,15.0,16.0,35.0,2.0,9.0,1.0,3.0,8.0,21.0,,1.0,3.0,4.0,35.0,70,10.0,30.0,25.0,125.0,412,5.0,7.0,,2.0,10.0,4.0,6.0,4.0,7.0,7.0,27.0,26.0,44.0,27.0,,21.0,8.0,24.0,2.0,26.0,,4.0,13.0,54.0,1.0,3.0,,3.0,18.0,22.0,4.0,26.0,1.0,6.0,4.0,2.0,8.0,6.0,8.0,1.0,2.0,16.0,1.0,11.0,28,32.0,2.0,9.0,7.0,3.0,7.0,5.0,,27.0,76.0,0.37142857142857144,0.37142857142857144,0.9,0.3333333333333333,,0.5714285714285714,0.3333333333333333,0.5,0.7142857142857143,0.6666666666666666,0.5,0.5555555555555556,0.7692307692307693,0.5318181818181819,0.5555555555555556,0.8,0.3,25.403225806451612,0.5,,0.09183673469387756,0.015789473684210527,0.09090909090909091,0.03225806451612903,0.09170305676855896,0.01809954751131222,0.02,0.009900990099009901,0.09090909090909091,0.09615384615384616,0.07462686567164178,0.1038961038961039,0.11538461538461539,0.018867924528301886,0.7142857142857143,0.2,0.6,0.631578947368421,0.16666666666666666,0.15,0.4666666666666667,0.5,0.14285714285714285,0.35,0.45714285714285713,0.45714285714285713,0.625,0.09,0.2222222222222222,0.2222222222222222,1.0,0.21,0.38095238095238093,0.38095238095238093,0.875,0.3333333333333333,0.6666666666666666,0.1111111111111111,,,0.15384615384615385,0.5,0.23076923076923078,0.3333333333333333,0.3076923076923077,0.75,0.5,0.38095238095238093,0.47720000000000007,0.47295,0.4960884615384616,0.08411214953271028,0.11688311688311688,0.08,0.216,11.672857142857142,24.5,0.17551963048498845,2.0,1.0,3.0,3.0,3.0,8.0,0.02857142857142857,0.05,0.07142857142857142,0.02564102564102564,2.0,7.0,2.0,1.0,2.0,2.0,1.0,,,0.06666666666666667,,,,3.0,,10.0,,1.0,0.1111111111111111,,,,True,,,,,,,,,,,,
2347,1610612748,Tang Hamilton,Tang Hamilton,2347,MIA,1396.0,23,-9,43,45,1.0,25.0,6,88,2.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,3.0,4,,,,6.0,46,,1.0,,,,,,,,,,4.0,2.0,,,,,1.0,1.0,2.0,1.0,,1.0,5.0,,2.0,,1.0,1.0,2.0,2.0,4.0,,2.0,1.0,1.0,2.0,2.0,,,,2.0,,2.0,4,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,0.75,,,0.75,,,0.75,,,,11.538461538461538,1.0,,0.08333333333333333,0.09090909090909091,0.14285714285714285,,0.10526315789473684,0.08,,0.2,,,,0.2,0.16666666666666666,,,0.5,1.0,1.0,0.5,,,,,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.595,0.4331,,,,,,9.75,,0.023255813953488372,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
423,1610612748,Chris Gatling,Chris Gatling,423,MIA,4536.0,76,12,133,139,25.0,48.0,16,272,2.0,5.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,11.0,,,,,1.0,1.0,,,1.0,1.0,10.0,22,1.0,1.0,5.0,28.0,127,2.0,2.0,,,4.0,4.0,5.0,1.0,1.0,2.0,13.0,14.0,6.0,3.0,2.0,1.0,1.0,2.0,,2.0,,,1.0,4.0,1.0,8.0,1.0,1.0,13.0,17.0,10.0,27.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,3.0,7.0,1.0,2.0,5,9.0,1.0,3.0,,,,,,13.0,25.0,0.7,0.7777777777777778,1.0,1.0,,1.0,1.0,0.45454545454545453,1.0,0.8,0.5,1.0,0.9166666666666666,0.5185185185185185,0.6666666666666666,0.8125,0.043478260869565216,22.36842105263158,0.7142857142857143,0.2,0.20967741935483872,0.16326530612244897,0.1111111111111111,0.14285714285714285,0.19718309859154928,0.16071428571428573,,0.23076923076923078,,0.15384615384615385,0.35294117647058826,0.15625,0.16666666666666666,0.18181818181818182,,0.21739130434782608,0.4,0.5,0.5,0.2608695652173913,0.6666666666666666,0.6666666666666666,0.75,0.4782608695652174,0.36363636363636365,0.36363636363636365,0.75,,,,,0.043478260869565216,1.0,1.0,1.0,0.5,1.0,,,,0.3333333333333333,0.5,,,0.16666666666666666,1.0,0.2608695652173913,1.0,0.43346521739130434,0.4531,0.4554,0.12,0.125,0.14285714285714285,0.4642857142857143,10.686363636363637,24.7,0.18796992481203006,1.0,3.0,1.0,2.0,,,0.045454545454545456,0.2,0.6,0.2222222222222222,,1.0,,,,,,,1.0,,,,,,,,0.14285714285714285,,,,,,True,,,,,,,,,,,,
694,1610612748,Sam Mack,Sam Mack,694,MIA,2233.0,37,-8,66,65,15.0,27.0,10,131,,,,,,,,,,2.0,,3.0,,,,5.0,,,,1.0,,2,,8.0,,,65,,,,,,,1.0,,1.0,,,,,,,5.0,,,,,,,,,,,,1.0,3.0,4.0,,4.0,,1.0,1.0,,,,,,,,,2.0,4,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,0.8,13.157894736842104,,,0.12,,0.14285714285714285,,0.125,,,,,0.1,,0.16666666666666666,,,,,,,,,,,,0.2,,,,0.3,,,,0.5,,,,,,,,,,,,,0.5,,0.8,,0.51954,,0.491975,,,,,19.25,24.624999999999996,0.22727272727272727,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,True,,,,,,,,,,,,
258,1610612748,Brian Grant,Brian Grant,258,MIA,2396.0,40,-8,77,77,13.0,15.0,5,154,5.0,6.0,,,,,1.0,4.0,,4.0,,,,,,,,,,,6.0,14,,,3.0,15.0,82,,,,,,,3.0,,,,,8.0,4.0,,,,,3.0,,3.0,,,,6.0,1.0,1.0,,2.0,3.0,7.0,2.0,9.0,,,,,1.0,,2.0,1.0,1.0,3.0,1.0,3.0,8,3.0,1.0,2.0,1.0,,1.0,1.0,,,13.0,0.6666666666666666,0.6666666666666666,,,,,,0.42857142857142855,,,0.42857142857142855,,,0.5,,,,21.951219512195124,0.3333333333333333,,0.1,0.037037037037037035,0.2857142857142857,0.2,0.13513513513513514,0.0625,,0.05,,,0.08333333333333333,0.16666666666666666,0.2,,1.0,0.42857142857142855,0.8333333333333334,0.8333333333333334,0.6,0.2857142857142857,0.25,0.25,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,,0.4861071428571429,,0.37556666666666666,0.13333333333333333,0.13333333333333333,,,8.614285714285714,,0.16883116883116883,,2.0,1.0,,1.0,,,,0.6666666666666666,,,3.0,,,1.0,3.0,,,,,0.5,,,,,,0.3333333333333333,,,,,,True,,,,,,,,,,,,
