EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,FtPoints,PenaltyFtPoints,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,FTDefRebounds,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceArc3FGA,HeaveAttempts,AtRimPctBlocked,SecondChanceArc3Frequency,OffThreePtRebounds,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,PtsUnassisted3s,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips,OffensiveGoaltends
145,1610612761,Tracy Murray,Tracy Murray,145,TOR,1285.0,21,-6.0,39,39,19,5.0,6.0,78,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,6.0,8.0,37,1.0,1.0,1.0,2.0,2.0,4.0,8.0,2.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,8.0,19,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.25,0.5,0.4,0.6666666666666666,0.4,0.6666666666666666,0.6,0.16666666666666666,0.3333333333333333,23.913043478260867,1.0,0.07692307692307693,0.1111111111111111,0.05263157894736842,0.08333333333333333,0.3333333333333333,0.25,0.1,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.5,1.0,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.7,0.3333333333333333,0.49200499999999997,0.5577,0.4795833333333333,1.0,11.925,24.45,0.48717948717948717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,2898.0,48,5.0,91,87,28,35.0,14.0,178,2.0,1.0,2.0,6.0,1.0,2.0,,1.0,1.0,,2.0,,1.0,2.0,14.0,1.0,4.0,10.0,74,1.0,,1.0,3.0,1.0,2.0,6.0,2.0,3.0,2.0,,,1.0,2.0,3.0,1.0,4.0,,,1.0,2.0,2.0,6.0,28,0.5,0.5,1.0,0.25,0.5,0.25,0.14285714285714285,0.3333333333333333,0.19444444444444445,0.5,0.22727272727272727,0.42857142857142855,0.2222222222222222,,,22.115384615384613,,0.06666666666666667,0.02702702702702703,0.075,0.022222222222222223,,0.15384615384615385,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.1111111111111111,0.5,0.5,1.0,0.1111111111111111,,,,1.0,,0.2,1.0,0.2,,0.3333333333333333,,0.4408222222222222,0.5367,0.41546000000000005,0.6,12.578571428571427,24.7,0.3076923076923077,6.0,3.0,1.0,2.0,1.0,5.0,2.0,7.0,2.0,1.0,1.0,3.0,16.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,0.07142857142857142,0.16666666666666666,0.1,0.1,0.1111111111111111,0.3333333333333333,0.1,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1565,1610612761,Michael Stewart,Michael Stewart,1565,TOR,5480.0,91,2.0,165,163,56,53.0,30.0,328,16.0,9.0,,,,,,,,,,,,8.0,23.0,,,22.0,149,10.0,,2.0,7.0,,,6.0,12.0,,,,,12.0,9.0,13.0,12.0,25.0,2.0,,4.0,12.0,22.0,6.0,56,0.75,1.0,,,,,0.34782608695652173,0.2857142857142857,0.34782608695652173,0.2857142857142857,0.39285714285714285,0.375,,,,16.243654822335024,0.5,0.15789473684210525,0.16216216216216217,0.136986301369863,0.13636363636363635,0.15,0.08695652173913043,0.6956521739130435,,,,,,,,,,,,,0.9,,,,,,0.6956521739130435,,0.4853913043478261,0.51085,0.48655714285714285,0.2727272727272727,2.930434782608695,,0.3393939393939394,7.0,6.0,2.0,4.0,1.0,3.0,,3.0,,,2.0,1.0,6.0,1.0,4.0,2.0,2.0,,2.0,,11.0,5.0,1.0,3.0,,3.0,0.043478260869565216,0.14285714285714285,0.0625,0.23076923076923078,,0.30434782608695654,0.18518518518518517,0.18518518518518517,6.0,2.0,2.0,6.0,2.0,2.0,1.0,5.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.2,0.2,0.22727272727272727,0.375,0.10714285714285714,0.23529411764705882,0.17647058823529413,0.2,0.07142857142857142,0.375,0.375,0.6666666666666666,0.2857142857142857,0.3333333333333333,1.0,0.2222222222222222,0.8571428571428571,0.3333333333333333,0.22727272727272727,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,2653.0,44,-2.0,77,76,9,17.0,18.0,153,3.0,,,4.0,,,,,,,3.0,,1.0,,8.0,,3.0,2.0,67,,1.0,,1.0,,1.0,2.0,,,2.0,,,,1.0,2.0,,2.0,4.0,,8.0,,2.0,2.0,9,,,,,,,,,,,0.08333333333333333,0.3333333333333333,0.2727272727272727,,,20.833333333333336,0.5,0.037037037037037035,,0.03225806451612903,,,,0.2727272727272727,0.36363636363636365,,,,,,,,0.2727272727272727,,,,,,,,0.5,,0.5454545454545454,,0.46256,0.59205,0.4513,1.0,11.1,39.36666666666667,0.11688311688311688,1.0,2.0,2.0,,2.0,4.0,2.0,6.0,2.0,3.0,,1.0,14.0,,4.0,1.0,3.0,4.0,4.0,,2.0,,1.0,,,,0.25,,,,,0.09090909090909091,,,,,,1.0,,,2.0,2.0,,1.0,,4.0,,1.0,,,,1.0,,,0.5,0.25,,0.14285714285714285,,,,,,,,,,,0.5,,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,1892.0,32,-3.0,56,56,12,12.0,9.0,112,3.0,2.0,3.0,5.0,,,,,,,,,,7.0,13.0,,,20.0,56,2.0,,,1.0,,,6.0,10.0,,,,,3.0,,2.0,4.0,6.0,2.0,1.0,2.0,,1.0,6.0,12,0.7142857142857143,0.8333333333333334,,,,,0.5384615384615384,,0.5384615384615384,,0.625,0.75,,,,27.27272727272727,1.0,,0.13636363636363635,0.045454545454545456,0.15384615384615385,0.125,,0.23076923076923078,0.38461538461538464,0.6,0.6,1.0,,,,,,,,,1.0,,,,,,0.23076923076923078,,0.4230615384615385,0.5425,0.3376,0.3,9.923076923076923,,0.21428571428571427,5.0,6.0,6.0,4.0,,,,,,,,,,1.0,,,,,,1.0,6.0,2.0,1.0,2.0,2.0,2.0,,,0.2,0.125,0.25,0.38461538461538464,0.13333333333333333,0.13333333333333333,2.0,2.0,,,2.0,2.0,,4.0,2.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,0.25,0.16666666666666666,,,,,0.6666666666666666,0.6666666666666666,0.5,0.4,0.4,0.5,1.0,,,0.2,,,,,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1983,1610612761,Jermaine Jackson,Jermaine Jackson,1983,TOR,1678.0,28,-8.0,52,52,23,15.0,9.0,104,4.0,1.0,,,,,,,,,,,,3.0,4.0,,,6.0,46,1.0,,2.0,3.0,,,4.0,6.0,,,,,,3.0,3.0,,3.0,1.0,,1.0,,1.0,4.0,23,1.0,1.0,,,,,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,,,,8.064516129032258,1.0,0.1875,,0.14285714285714285,,,0.25,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,0.746675,,0.7278333333333333,0.6666666666666666,0.375,,0.4423076923076923,,,,,,4.0,1.0,5.0,,2.0,,2.0,11.0,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,3.0,1.0,2.0,3.0,,1.0,,2.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,0.25,0.125,,,0.75,0.75,1.0,,,,1.0,1.0,0.6666666666666666,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,3565.0,59,5.0,105,102,27,33.0,22.0,207,7.0,1.0,2.0,6.0,,,,,,,,,,8.0,19.0,,,28.0,86,2.0,,2.0,4.0,,,9.0,4.0,,,,,5.0,7.0,15.0,5.0,20.0,3.0,,4.0,,3.0,9.0,27,0.25,0.25,,,,,0.42105263157894735,0.5,0.42105263157894735,0.5,0.5384615384615384,0.75,,,,23.62204724409449,0.75,0.175,0.09615384615384616,0.2708333333333333,0.0847457627118644,0.15384615384615385,0.17647058823529413,0.3684210526315789,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,0.5,,,,,,0.3684210526315789,,0.4266736842105263,0.45355,0.439775,0.32142857142857145,8.23157894736842,,0.2571428571428571,6.0,12.0,5.0,12.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,,9.0,6.0,,,,,1.0,1.0,15.0,6.0,2.0,1.0,1.0,1.0,0.15789473684210525,0.16666666666666666,0.75,0.058823529411764705,0.8571428571428571,0.3157894736842105,0.25,0.25,3.0,,,1.0,3.0,1.0,2.0,4.0,,2.0,,3.0,2.0,,1.0,1.0,,,0.5,0.5,0.6666666666666666,0.5,0.09090909090909091,0.1,0.23076923076923078,,,0.42857142857142855,0.6,0.3333333333333333,0.5,0.6,,,0.25,,0.14285714285714285,,,0.2857142857142857,,,1.0,,,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2214,1610612761,Michael Bradley,Michael Bradley,2214,TOR,679.0,11,,21,21,16,2.0,2.0,42,,,,,,,,,,,1.0,,1.0,,,,1.0,,20,,,,,,1.0,,,,1.0,,,,1.0,3.0,,3.0,,,1.0,,,,16,,,,,,,,,,,,,1.0,,,8.333333333333334,,0.1,,0.21428571428571427,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,0.55245,,0.55245,,,24.7,0.7619047619047619,,,,,,1.0,,1.0,,,1.0,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2055,1610612761,Mamadou N'diaye,Mamadou N'diaye,2055,TOR,194.0,3,,7,6,7,,1.0,13,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,2.0,7,,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,2.0,7,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,11.11111111111111,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.3729,,0.3729,1.0,17.8,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,2124.0,35,4.0,63,62,16,22.0,15.0,125,6.0,2.0,1.0,2.0,,,,,,2.0,5.0,1.0,1.0,5.0,9.0,2.0,5.0,17.0,53,2.0,,2.0,3.0,1.0,1.0,8.0,4.0,6.0,5.0,2.0,1.0,3.0,,,4.0,4.0,3.0,1.0,5.0,1.0,1.0,8.0,16,0.4,0.4,1.0,0.4,1.0,0.4,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.875,0.5666666666666667,0.8,0.35714285714285715,0.2,0.2,25.31645569620253,0.6,,0.0967741935483871,,0.1111111111111111,0.25,,0.42857142857142855,0.14285714285714285,0.5,0.5,1.0,,,,,0.35714285714285715,0.4,0.5,1.0,1.0,,,,0.25,1.0,0.7857142857142857,0.4,0.5029035714285714,0.57475,0.48512500000000003,0.47058823529411764,5.655555555555555,25.119999999999997,0.25396825396825395,1.0,1.0,1.0,6.0,1.0,2.0,1.0,3.0,,1.0,,1.0,7.0,,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,0.1111111111111111,,,,,0.07142857142857142,0.07142857142857142,0.1111111111111111,3.0,1.0,2.0,2.0,1.0,1.0,,2.0,,,,2.0,,,,1.0,,,0.5,0.5,0.3333333333333333,,0.1111111111111111,,,,,0.5,0.6,,1.0,1.0,1.0,0.5,0.5,1.0,0.11764705882352941,,,0.16666666666666666,,1.0,,0.2,0.2,,,1.0,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,
