EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,DefThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGA,PenaltyFG3A,LongMidRangeAssists,PenaltyArc3Frequency,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2A,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyCorner3FGA,ShortMidRangeAssists,LostBallTurnovers,PenaltyCorner3Frequency,OffAtRimReboundPct,LongMidRangeFGM,PenaltyFtPoints,ThreePtAssists,Corner3Assists,NonShootingFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,on,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Arc3Assists,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Technical Free Throw Trips,Blocked3s,BlockedAtRim,BlockedCorner3,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,BlockedLongMidRange,OffensiveGoaltends,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,HeaveAttempts,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,BlockedArc3
1085,1610612755,Ira Bowman,Ira Bowman,1085,PHI,1746.0,29,-4,55,57,23.0,41,6.0,112,4.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,6,1.0,10.0,50,2.0,2.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,23.0,1.0,0.2,0.2,0.8333333333333334,1.0,0.7142857142857143,1.0,0.7142857142857143,1.0,0.14285714285714285,0.16666666666666666,0.5,11.475409836065573,0.041666666666666664,0.03571428571428571,0.1,0.5714285714285714,1.0,1.0,0.25,0.2857142857142857,0.5,1.0,0.14285714285714285,0.5,1.0,0.7142857142857143,0.6026214285714285,0.46335,0.4,4.25,27.5,0.41818181818181815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,1045.0,17,-3,29,31,6.0,19,4.0,60,,,,,2.0,2.0,,2.0,3,2.0,7.0,33,,,,2.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,6.0,1.0,0.5,0.5,0.6666666666666666,,0.7,,0.7,,0.4,,,21.21212121212121,,0.0625,,,,,,0.4,1.0,1.0,,,,0.4,0.47508999999999996,,,12.033333333333333,23.25,0.20689655172413793,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.4,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,650.0,11,2,24,25,15.0,21,2.0,49,2.0,2.0,2.0,2.0,,,1.0,2.0,3,1.0,4.0,14,2.0,3.0,4.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,,,1.0,1.0,,,1.0,1.0,4.0,15.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,,,15.384615384615383,,,,0.5,1.0,1.0,0.5,,,,0.25,0.5,1.0,0.75,0.473225,0.473225,1.0,6.133333333333333,25.7,0.625,1.0,,,,,,,,,,,,,,,,,,,0.25,,,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,1298.0,22,-11,39,40,18.0,25,4.0,79,1.0,4.0,,1.0,1.0,4.0,,2.0,8,,5.0,41,1.0,3.0,2.0,2.0,2.0,,2.0,,,,,4.0,5.0,8.0,,,,2.0,4.0,,2.0,18.0,,0.5,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.3125,0.3333333333333333,,0.25,,25.58139534883721,0.2222222222222222,0.2,0.3333333333333333,0.5,0.25,0.5,1.0,0.5,0.25,0.25,,0.3333333333333333,,0.5,0.43491250000000004,0.43793333333333334,0.4,3.8874999999999997,,0.46153846153846156,,,,,,,,1.0,,3.0,3.0,1.0,,,,,,,,,,,,,,,,,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.21428571428571427,0.1875,0.16666666666666666,0.4,0.16666666666666666,1.0,0.4999666666666667,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,1171.0,20,-8,33,34,8.0,22,4.0,67,2.0,2.0,,,,2.0,1.0,2.0,4,1.0,4.0,36,,,,2.0,2.0,1.0,,2.0,2.0,1.0,4.0,3.0,3.0,4.0,1.0,1.0,,2.0,3.0,,,8.0,,0.5,1.0,0.5,,0.4,,0.4,,0.2,,,21.62162162162162,0.1875,0.16666666666666666,0.4,0.4,1.0,1.0,0.5,0.4,,,0.2,,,0.6,0.45431,,,3.375,27.6,0.24242424242424243,,,,,,,1.0,1.0,1.0,2.0,3.0,,,,,0.3333333333333333,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,0.07692307692307693,0.0625,0.14285714285714285,,0.1,1.0,0.5036,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,560.0,9,1,17,17,9.0,12,2.0,34,,,,,,,,,1,1.0,,10,,1.0,,,,,,1.0,1.0,,2.0,4.0,4.0,4.0,,,,,2.0,,,9.0,1.0,,,,,,,,,0.5,,,21.05263157894737,0.3333333333333333,0.2857142857142857,,,,,,,,,,,,0.5,0.44532499999999997,0.44532499999999997,,18.6,22.6,0.5294117647058824,1.0,,1.0,,,,2.0,,1.0,,2.0,2.0,,,,1.0,,,,0.5,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,1610612755,Matt Geiger,Matt Geiger,761,PHI,353.0,6,1,10,10,,9,2.0,20,,,,,,,,,1,,,7,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,8.333333333333334,0.16666666666666666,0.14285714285714285,0.25,,,,,,,,,,,,0.3732,,,18.5,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,1133.0,19,-12,36,38,12.0,27,4.0,74,3.0,3.0,,,,1.0,,5.0,8,,12.0,41,2.0,3.0,6.0,2.0,8.0,,1.0,2.0,3.0,2.0,7.0,1.0,2.0,2.0,,,,1.0,2.0,,6.0,12.0,1.0,0.2,0.2,0.625,0.6666666666666666,0.625,0.6666666666666666,0.6666666666666666,0.75,,0.125,1.0,25.0,0.09090909090909091,0.16666666666666666,0.2,0.375,1.0,1.0,,0.125,,,,,,0.375,0.44381249999999994,0.3472666666666666,0.5,10.662500000000001,,0.3333333333333333,4.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,0.5,,,,,,,,,2.0,2.0,2.0,,,,,3.0,1.0,1.0,,,,,,,,,,,1.0,0.48795,0.125,0.125,2.0,2.0,4.0,,,1.0,1.0,1.0,,1.0,0.3333333333333333,,,,,,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2245,1610612755,Damone Brown,Damone Brown,2245,PHI,199.0,3,10,10,10,9.0,10,,20,,,,,,1.0,,1.0,2,,2.0,4,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,1.0,,2.0,9.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,20.0,,,,,,,,0.5,,,,,,,0.36475,0.36475,1.0,13.35,,0.9,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,1610612755,Corie Blount,Corie Blount,916,PHI,575.0,10,4,22,23,15.0,19,2.0,45,1.0,2.0,1.0,1.0,,,,1.0,3,,2.0,14,1.0,1.0,2.0,,2.0,,,,,,,1.0,3.0,3.0,,,,1.0,3.0,,2.0,15.0,,,,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,,,25.0,0.125,0.2,,0.6666666666666666,0.5,0.5,,,,,,1.0,1.0,0.6666666666666666,0.4878,0.5199,1.0,7.566666666666667,,0.6818181818181818,1.0,,,,,1.0,2.0,,2.0,1.0,3.0,1.0,,,,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.5,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
