EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,PenaltyArc3FGM,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Technical Free Throw Trips,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,on,HeaveAttempts,Clear Path Fouls,Arc3PctBlocked
1731,1610612764,Tyronn Lue,Tyronn Lue,1731,WAS,11279.0,188,28,343,342,102,146,56,685,6,10,1.0,1.0,1.0,1.0,6.0,13.0,6.0,23,3.0,4.0,1.0,2.0,1.0,1.0,5.0,14.0,1.0,5.0,18,46,8.0,18.0,5.0,65,347,2.0,5.0,1.0,3.0,7.0,6.0,11.0,1.0,6.0,4.0,19.0,6,30.0,21.0,3.0,14.0,5.0,6.0,33.0,5.0,38.0,4.0,1.0,8.0,6.0,19.0,81.0,1,2.0,12,14,1,15,5.0,2.0,3.0,6,4.0,3.0,2.0,1.0,9,3.0,2,19,1.0,7.0,1.0,1.0,1.0,19.0,102,5.0,0.16666666666666666,0.16666666666666666,0.875,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.4444444444444444,0.391304347826087,0.4,0.5454545454545454,0.46875,0.4375,0.4411764705882353,0.48507462686567165,0.4375,0.5,0.28125,0.13043478260869565,0.15384615384615385,0.17391304347826086,18.7192118226601,0.6666666666666666,0.08450704225352113,0.006756756756756757,0.05405405405405406,0.0782122905027933,0.006024096385542169,0.02564102564102564,0.07692307692307693,0.05555555555555555,0.1,0.2222222222222222,0.15625,0.6,0.6,0.16666666666666666,0.203125,0.46153846153846156,0.5454545454545454,0.3333333333333333,0.359375,0.2608695652173913,0.3157894736842105,0.0625,0.75,0.75,1.0,0.21875,0.35714285714285715,0.35714285714285715,0.8,0.125,1.0,0.25,0.5,1.0,0.125,0.058823529411764705,1.0,0.058823529411764705,1.0,0.29411764705882354,0.4375,0.35714285714285715,0.45765234375,0.48232857142857144,0.4375,0.030303030303030304,0.02127659574468085,0.05263157894736842,0.1076923076923077,0.2923076923076923,11.241304347826087,25.099999999999998,0.29737609329446063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1751,1610612764,Jahidi White,Jahidi White,1751,WAS,80831.0,1347,-89,2468,2479,350,442,351,4947,144,234,64.0,106.0,22.0,34.0,6.0,44.0,,1,,,,,,,,,,,150,279,,,83.0,383,2682,65.0,111.0,,,162.0,23.0,39.0,,,18.0,64.0,156,144.0,,,,,28.0,13.0,4.0,17.0,4.0,,7.0,1.0,5.0,38.0,142,49.0,210,284,160,444,25.0,16.0,9.0,29,12.0,36.0,17.0,6.0,65,7.0,87,163,27.0,154.0,74.0,,13.0,64.0,350,6.0,0.52,0.8297872340425532,,,,,,0.5376344086021505,0.5855855855855856,0.5897435897435898,0.5376344086021505,0.5855855855855856,0.5897435897435898,0.5534682080924855,0.5955882352941176,0.5714285714285714,,0.1003584229390681,0.25,,14.280750521195275,0.4461538461538462,0.22269353128313893,0.12792792792792793,0.21973094170403587,0.2221269296740995,0.12619808306709265,0.17408906882591094,0.225,0.2204968944099379,0.22327790973871733,0.2037037037037037,0.8387096774193549,0.6153846153846154,0.663594470046083,0.5208333333333334,0.15770609318996415,0.13636363636363635,0.18181818181818182,0.5,0.0035842293906810036,,,,,,,,,,,0.954954954954955,0.6037735849056604,,,,,0.8717948717948718,0.6470588235294118,,,,0.8387096774193549,,0.5483670250896058,0.5848580952380953,0.5474102564102563,0.2222222222222222,0.2222222222222222,,0.42297650130548303,0.1671018276762402,1.9340501792114697,,0.14181523500810372,32.0,112.0,16.0,2.0,25.0,18.0,1.0,7.0,4.0,12.0,20.0,75.0,43.0,2.0,30.0,75.0,43.0,3.0,2.0,8.0,1.0,0.07264957264957266,0.36231884057971014,0.03389830508474576,0.11267605633802817,0.12195121951219512,0.1102803738317757,0.12173913043478261,0.07407407407407407,0.22485207100591717,0.1782178217821782,0.5733333333333334,0.09375,,,,,,,,,,,,,True,,,
1838,1610612764,Tyrone Nesby,Tyrone Nesby,1838,WAS,14289.0,238,-11,430,437,90,125,69,867,12,22,2.0,5.0,4.0,5.0,1.0,7.0,9.0,32,2.0,4.0,,,,1.0,1.0,3.0,1.0,1.0,22,61,3.0,7.0,3.0,56,448,2.0,7.0,1.0,1.0,7.0,5.0,10.0,1.0,2.0,,13.0,28,16.0,9.0,,3.0,1.0,3.0,12.0,6.0,18.0,5.0,1.0,3.0,5.0,4.0,42.0,13,8.0,29,41,17,58,15.0,12.0,3.0,3,3.0,6.0,,,9,1.0,13,30,,8.0,5.0,,,13.0,90,3.0,0.6363636363636364,0.7,1.0,0.42857142857142855,1.0,0.5,0.42857142857142855,0.36065573770491804,0.2857142857142857,0.5,0.3897058823529412,0.4375,0.5416666666666666,0.39436619718309857,0.3888888888888889,0.5,0.10294117647058823,0.04918032786885246,0.42857142857142855,,15.594541910331385,0.3333333333333333,0.18012422360248448,0.06666666666666667,0.20512820512820512,0.185,0.0625,0.08888888888888889,0.15151515151515152,0.20408163265306123,0.17721518987341772,0.1111111111111111,0.3235294117647059,0.5454545454545454,0.5454545454545454,0.5833333333333334,0.10294117647058823,0.14285714285714285,0.25,1.0,0.47058823529411764,0.28125,0.28125,0.058823529411764705,0.5,0.5,1.0,0.04411764705882353,0.3333333333333333,0.3333333333333333,1.0,0.625,0.4,,,,0.125,0.4166666666666667,0.8,0.08333333333333333,,0.08333333333333333,0.4264705882352941,0.3333333333333333,0.47858970588235306,0.541425,0.5015625,0.07042253521126761,0.078125,,0.125,0.23214285714285715,11.02295081967213,24.214285714285715,0.20930232558139536,,4.0,1.0,3.0,4.0,4.0,1.0,,,5.0,2.0,2.0,1.0,,1.0,2.0,1.0,,,,,,0.2857142857142857,0.15,0.034482758620689655,0.07692307692307693,0.047058823529411764,0.047619047619047616,,0.23333333333333334,0.1,0.5,,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,,,,,,,True,,,
1888,1610612764,Richard Hamilton,Richard Hamilton,1888,WAS,50377.0,840,-76,1555,1564,159,251,202,3119,52,92,7.0,9.0,6.0,9.0,66.0,161.0,74.0,165,2.0,3.0,,,,1.0,5.0,14.0,3.0,3.0,192,418,7.0,17.0,70.0,475,1668,19.0,39.0,1.0,3.0,45.0,18.0,37.0,2.0,4.0,15.0,57.0,240,144.0,21.0,,14.0,5.0,36.0,67.0,10.0,77.0,7.0,3.0,22.0,15.0,30.0,164.0,19,9.0,42,54,20,74,12.0,9.0,3.0,27,18.0,21.0,9.0,4.0,48,4.0,11,39,3.0,79.0,32.0,,8.0,57.0,159,3.0,0.625,0.6382978723404256,1.0,0.4117647058823529,0.3333333333333333,0.5,0.4117647058823529,0.45933014354066987,0.48717948717948717,0.4864864864864865,0.46551724137931033,0.4880952380952381,0.5121951219512195,0.5010729613733905,0.5113636363636364,0.5833333333333334,0.03908045977011494,0.0861244019138756,0.11801242236024845,0.030303030303030304,28.635097493036213,0.5625,0.06988352745424292,0.026499302649930265,0.06293706293706294,0.06854838709677419,0.025477707006369428,0.018867924528301886,0.05925925925925926,0.08571428571428572,0.0625,0.06666666666666667,0.21149425287356322,0.5652173913043478,0.65,0.5961538461538461,0.3701149425287356,0.40993788819875776,0.4647887323943662,0.5,0.3793103448275862,0.4484848484848485,0.4625,0.006896551724137931,0.6666666666666666,0.6666666666666666,1.0,0.03218390804597701,0.35714285714285715,0.35714285714285715,1.0,0.21428571428571427,0.7777777777777778,,,,0.07142857142857142,0.21951219512195122,0.6666666666666666,0.024390243902439025,,0.07317073170731707,0.25057471264367814,0.35714285714285715,0.44739356321839086,0.45711315789473683,0.441360975609756,0.06986899563318777,0.07256235827664399,,0.09473684210526316,0.12,10.55693779904306,25.129411764705882,0.1022508038585209,4.0,8.0,1.0,,3.0,7.0,8.0,3.0,4.0,5.0,9.0,4.0,2.0,,2.0,4.0,1.0,,,1.0,,0.13043478260869565,0.06976744186046512,,0.014705882352941176,0.045662100456621,0.017699115044247787,0.017857142857142856,,0.061946902654867256,0.03535353535353535,0.25,0.5714285714285714,1.0,2.0,0.7567567567567568,0.3333333333333333,1.0,0.6666666666666666,8.0,,,,,,True,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,2176.0,36,12,70,66,14,25,11,136,1,3,1.0,2.0,,,2.0,5.0,,2,,,,,,,,,,,3,10,,,2.0,8,55,1.0,2.0,,,4.0,,,,,,,6,,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,4,,6,7,5,12,1.0,1.0,,1,1.0,2.0,,,3,,2,3,,2.0,1.0,,,,14,,1.0,1.0,,,,,,0.3,0.5,,0.3,0.5,,0.36363636363636365,0.6666666666666666,,,0.1,,,17.28395061728395,0.3333333333333333,0.21428571428571427,0.16,,0.15789473684210525,0.15625,,0.125,0.4,0.2,,0.3,0.3333333333333333,0.5,1.0,0.5,0.4,0.4,1.0,0.2,,,,,,,,,,,1.0,0.5,,,,,,,,,,0.3,,0.42429999999999995,0.56605,,0.09090909090909091,0.09090909090909091,,0.5,,7.6,,0.2,2.0,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,0.3333333333333333,0.5,,0.14285714285714285,0.09090909090909091,0.375,0.16666666666666666,,,,1.0,1.0,,,,,,,,,,,,,True,,,
2042,1610612764,Courtney Alexander,Courtney Alexander,2042,WAS,22261.0,371,-106,692,705,108,182,82,1397,18,27,3.0,3.0,3.0,4.0,12.0,27.0,34.0,77,,,,,,,1.0,1.0,1.0,1.0,64,131,1.0,1.0,25.0,156,775,6.0,13.0,1.0,1.0,16.0,11.0,20.0,1.0,1.0,6.0,31.0,80,48.0,,3.0,1.0,1.0,8.0,28.0,6.0,34.0,3.0,3.0,7.0,9.0,12.0,74.0,8,8.0,17,27,12,39,7.0,3.0,4.0,10,5.0,9.0,5.0,,19,1.0,18,37,1.0,27.0,12.0,,3.0,31.0,108,3.0,0.625,0.6666666666666666,,1.0,1.0,1.0,1.0,0.48854961832061067,0.46153846153846156,0.55,0.4962121212121212,0.5357142857142857,0.5952380952380952,0.5416666666666666,0.5714285714285714,0.6458333333333334,0.007575757575757576,0.061068702290076333,0.07407407407407407,0.03896103896103896,20.71156289707751,0.5263157894736842,0.06390977443609022,0.026845637583892617,0.10810810810810811,0.07352941176470588,0.03333333333333333,0.04477611940298507,0.06060606060606061,0.07865168539325842,0.05405405405405406,0.058823529411764705,0.20454545454545456,0.6666666666666666,0.75,0.6666666666666666,0.20454545454545456,0.4444444444444444,0.48,0.5833333333333334,0.5833333333333334,0.44155844155844154,0.4594594594594595,,,,,0.007575757575757576,1.0,1.0,,0.21428571428571427,1.0,,,,0.07142857142857142,0.19047619047619047,0.75,,,0.047619047619047616,0.21212121212121213,1.0,0.4476723484848485,0.4698115384615385,0.4560071428571428,0.0851063829787234,0.08571428571428572,,0.10256410256410256,0.1987179487179487,12.448091603053435,26.0,0.15606936416184972,1.0,8.0,3.0,1.0,2.0,,5.0,1.0,1.0,2.0,3.0,3.0,3.0,,,3.0,3.0,,,,,0.1111111111111111,0.1,0.06666666666666667,0.09375,0.025,0.019867549668874173,0.11538461538461539,,0.12280701754385964,,1.0,0.3333333333333333,1.0,1.0,0.6176470588235294,1.0,,1.0,,,,,,,True,,,
363,1610612764,Christian Laettner,Christian Laettner,363,WAS,29609.0,493,-105,916,920,81,106,94,1836,13,27,4.0,8.0,1.0,2.0,11.0,26.0,32.0,69,,,,,,,1.0,3.0,,,56,122,1.0,3.0,13.0,128,995,9.0,16.0,,,18.0,2.0,13.0,,,,4.0,84,28.0,3.0,,3.0,1.0,10.0,42.0,6.0,48.0,5.0,1.0,9.0,10.0,23.0,102.0,17,12.0,50,67,23,90,22.0,12.0,10.0,21,17.0,12.0,4.0,1.0,33,5.0,17,40,1.0,14.0,6.0,,1.0,4.0,81,1.0,0.75,0.8076923076923077,1.0,0.3333333333333333,,,0.3333333333333333,0.45901639344262296,0.5625,0.15384615384615385,0.46,0.5625,0.15384615384615385,0.4847328244274809,0.5625,0.15384615384615385,0.024,0.08196721311475409,0.19230769230769232,,15.968841285296982,0.6363636363636364,0.1404494382022472,0.04187192118226601,0.14634146341463414,0.1415525114155251,0.04054054054054054,0.044444444444444446,0.11764705882352941,0.1557377049180328,0.14093959731543623,0.16666666666666666,0.216,0.48148148148148145,0.5909090909090909,0.6153846153846154,0.208,0.4230769230769231,0.5238095238095238,0.6363636363636364,0.552,0.463768115942029,0.463768115942029,,,,,0.024,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,,,,,0.15384615384615385,0.5,,,,0.24,0.3333333333333333,0.439772,0.5180538461538462,0.4218615384615385,0.046153846153846156,0.047244094488188976,,0.140625,0.03125,12.287704918032787,24.63333333333333,0.08842794759825327,,8.0,1.0,5.0,5.0,1.0,6.0,1.0,1.0,4.0,1.0,11.0,3.0,2.0,6.0,11.0,7.0,,,,,0.18518518518518517,0.25,0.3333333333333333,0.02631578947368421,0.034782608695652174,0.04477611940298507,,0.2,0.140625,0.017543859649122806,0.6363636363636364,0.25,,,0.84375,,,,1.0,,,,,,True,,,
461,1610612764,Popeye Jones,Popeye Jones,461,WAS,41669.0,694,25,1262,1266,192,235,210,2528,25,53,16.0,34.0,4.0,10.0,26.0,58.0,30.0,72,2.0,2.0,,,,,1.0,2.0,,1.0,81,183,3.0,4.0,35.0,206,1373,18.0,42.0,,,48.0,12.0,27.0,1.0,1.0,7.0,34.0,114,48.0,9.0,,2.0,1.0,8.0,42.0,10.0,52.0,7.0,3.0,22.0,8.0,12.0,114.0,72,19.0,83,109,81,190,14.0,8.0,6.0,13,12.0,14.0,1.0,1.0,27,5.0,27,82,11.0,40.0,18.0,,3.0,34.0,192,12.0,0.7037037037037037,0.8382352941176471,1.0,0.75,,1.0,0.75,0.4426229508196721,0.42857142857142855,0.4444444444444444,0.4572192513368984,0.42857142857142855,0.48214285714285715,0.5,0.5,0.5151515151515151,0.0213903743315508,0.04371584699453552,0.06896551724137931,,15.42025148908008,0.48148148148148145,0.17255717255717257,0.12286689419795221,0.1623931623931624,0.1705685618729097,0.12143928035982009,0.14960629921259844,0.18478260869565216,0.22023809523809523,0.13122171945701358,0.13333333333333333,0.28342245989304815,0.4716981132075472,0.5102040816326531,0.36,0.31016042780748665,0.4482758620689655,0.48148148148148145,0.7692307692307693,0.3850267379679144,0.4166666666666667,0.4166666666666667,0.0106951871657754,1.0,1.0,1.0,0.0106951871657754,0.5,0.5,1.0,0.8095238095238095,0.47058823529411764,,,,,0.35714285714285715,0.4,,,0.03571428571428571,0.3048128342245989,0.5,0.44347593582887707,0.5304,0.45270714285714286,0.08866995073891626,0.09045226130653267,,0.23300970873786409,0.1650485436893204,10.34590163934426,24.1,0.15213946117274169,12.0,26.0,9.0,,7.0,4.0,1.0,3.0,8.0,9.0,2.0,7.0,5.0,,2.0,7.0,6.0,,,,,0.07547169811320754,0.17073170731707318,,0.1111111111111111,0.1724137931034483,0.08070175438596491,0.14285714285714285,,0.1724137931034483,0.0425531914893617,0.8571428571428571,0.0625,,1.0,0.9333333333333333,,,1.0,,,,,,,True,,,
893,1610612764,Michael Jordan,Michael Jordan,893,WAS,53795.0,897,-12,1634,1638,227,197,242,3272,43,82,8.0,10.0,6.0,13.0,52.0,138.0,139.0,331,,1.0,,,,1.0,4.0,20.0,3.0,3.0,234,551,4.0,21.0,94.0,574,1796,23.0,39.0,,3.0,54.0,30.0,74.0,,4.0,28.0,88.0,214,254.0,9.0,3.0,20.0,4.0,18.0,110.0,23.0,133.0,16.0,7.0,36.0,19.0,55.0,289.0,17,18.0,81,104,23,127,34.0,17.0,17.0,45,29.0,22.0,16.0,4.0,67,11.0,25,46,,115.0,51.0,1.0,10.0,88.0,227,2.0,0.45726495726495725,0.4652173913043478,0.75,0.19047619047619047,,,0.19047619047619047,0.4246823956442831,0.5897435897435898,0.40540540540540543,0.4195804195804196,0.5476190476190477,0.38461538461538464,0.46141479099678456,0.574468085106383,0.46808510638297873,0.03671328671328671,0.032667876588021776,0.057971014492753624,0.006042296072507553,35.96033402922756,0.6716417910447762,0.12898089171974522,0.022606382978723406,0.13636363636363635,0.13026315789473683,0.024734982332155476,0.006134969325153374,0.072,0.10697674418604651,0.1701388888888889,0.11764705882352941,0.14335664335664336,0.524390243902439,0.581081081081081,0.4186046511627907,0.24125874125874125,0.37681159420289856,0.4,0.38461538461538464,0.5786713286713286,0.4199395770392749,0.42249240121580545,0.0017482517482517483,,,,0.03496503496503497,0.2,0.2,0.75,0.23809523809523808,0.8,,,,0.07142857142857142,0.16666666666666666,0.46153846153846156,0.01282051282051282,,0.038461538461538464,0.18006993006993008,0.2,0.4317412587412587,0.4513666666666667,0.42751282051282047,0.08496732026143791,0.08644067796610169,0.045454545454545456,0.09407665505226481,0.15331010452961671,13.251724137931037,25.114285714285717,0.13892288861689106,8.0,8.0,4.0,2.0,5.0,7.0,8.0,8.0,4.0,2.0,12.0,7.0,3.0,1.0,3.0,8.0,6.0,,,,,0.0975609756097561,0.11627906976744186,0.0625,0.041237113402061855,0.02262443438914027,0.029891304347826088,0.05063291139240506,,0.14285714285714285,0.022222222222222223,0.75,0.125,,,0.49640287769784175,,,,2.0,1.0,1.0,,,,True,,,
2250,1610612764,Bobby Simmons,Bobby Simmons,2250,WAS,3142.0,52,-16,97,95,11,14,13,192,1,3,1.0,2.0,,1.0,3.0,3.0,1.0,7,,,,,,,,1.0,,,5,13,,1.0,4.0,14,106,1.0,2.0,,,2.0,1.0,4.0,,,,2.0,6,4.0,,,1.0,,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,,7.0,2,,3,3,2,5,1.0,,1.0,1,1.0,,,,1,,2,4,,4.0,2.0,,,2.0,11,,0.6,0.75,,,,,,0.38461538461538464,0.5,0.25,0.35714285714285715,0.5,0.25,0.4375,0.5,0.25,0.07142857142857142,0.07692307692307693,,,15.315315315315313,1.0,0.08571428571428572,0.0392156862745098,,0.061224489795918366,0.03636363636363636,,0.1111111111111111,0.125,0.05555555555555555,,0.21428571428571427,0.3333333333333333,0.5,,0.21428571428571427,1.0,1.0,0.6666666666666666,0.5,0.14285714285714285,0.14285714285714285,,,,,0.07142857142857142,,,,1.0,0.5,,,,,0.25,,,,,0.2857142857142857,,0.4055928571428571,0.47535,0.37905,0.125,0.13333333333333333,,0.14285714285714285,0.14285714285714285,11.784615384615384,28.1,0.1134020618556701,,2.0,,,,,,,,,,3.0,2.0,,1.0,3.0,1.0,,,,,0.3333333333333333,,,,0.0625,0.04,,,,,0.3333333333333333,,,,1.0,,,,,,,,,,True,,,
