EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,NonHeaveArc3FGA,Fg3aBlocked,Corner3Assists,Steals,BadPassSteals,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFtPoints,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,LongMidRangeAssists,LongMidRangePctBlocked,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,BlockedLongMidRange,DefFTReboundPct,DefAtRimReboundPct,on,PenaltyAtRimFGM,LostBallSteals,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PenaltyFtPoints,PtsUnassisted3s,OffThreePtRebounds,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedAtRim,BlockedCorner3,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,AtRimPctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3
1085,1610612755,Ira Bowman,Ira Bowman,1085,PHI,353.0,6,1,10,10,9,2.0,20,1.0,1.0,1.0,1.0,2.0,7,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.333333333333334,0.16666666666666666,0.14285714285714285,0.25,1.0,1.0,1.0,1.0,0.7332,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,1615.0,27,-18,46,49,17,8.0,95,,,4.0,10.0,16.0,57,4.0,3.0,3.0,4.0,1.0,3.0,0.4,0.5,0.5,30.909090909090907,0.16666666666666666,0.13636363636363635,0.125,,,,0.2857142857142857,0.4248678571428571,15.14,10.0,1.0,4.0,3.0,6.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,6.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,10.0,0.5,0.6666666666666666,1.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,0.2857142857142857,0.1,0.25,0.043478260869565216,0.03571428571428571,0.09090909090909091,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.25,0.3333333333333333,1.0,0.42857142857142855,0.5,0.5,0.3333333333333333,0.2857142857142857,0.5,0.5,1.0,0.3595,0.32295,0.06666666666666667,0.09090909090909091,0.125,0.125,23.475,0.21739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,1023.0,17,-10,31,32,10,3.0,63,,,,1.0,3.0,34,,,,,1.0,2.0,,0.375,0.375,11.76470588235294,,,,,,,0.75,0.3915375,15.1,8.0,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,3.0,,3.0,,,1.0,1.0,2.0,,,1.0,5.0,,,,,,,,,,,,,3.0,8.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,0.75,,0.75,0.75,,,,,,,,,,,,0.25,,,,0.25,1.0,1.0,1.0,,0.329175,,,,1.0,26.666666666666668,0.25806451612903225,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,1610612755,Matt Geiger,Matt Geiger,761,PHI,2111.0,35,-26,60,64,22,10.0,124,1.0,2.0,1.0,8.0,3.0,72,2.0,1.0,3.0,6.0,1.0,2.0,0.125,0.125,0.16666666666666666,15.492957746478874,0.043478260869565216,0.10344827586206896,0.09090909090909091,0.25,0.5,0.5,0.25,0.4116375,11.237499999999999,10.0,,3.0,,3.0,,,,,1.0,1.0,1.0,3.0,,2.0,,,,2.0,,,,,,,,,3.0,3.0,,,,2.0,1.0,,,2.0,,1.0,,10.0,,,,,,1.0,,1.0,,0.75,,,,,0.1,0.08108108108108109,0.07142857142857142,,,0.375,,,,0.375,,,,,,,,0.5758,0.44845,0.1111111111111111,0.1111111111111111,1.0,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.07692307692307693,0.4,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,879.0,15,-4,24,25,12,7.0,49,1.0,1.0,2.0,2.0,4.0,25,2.0,5.0,5.0,7.0,,1.0,1.0,0.5,0.4,23.333333333333336,0.4166666666666667,0.35714285714285715,0.4,0.25,1.0,1.0,0.75,0.472175,5.449999999999999,3.0,1.0,1.0,,,,1.0,,2.0,,1.0,1.0,2.0,,,,2.0,,2.0,,,,,,,,,2.0,2.0,,1.0,,2.0,1.0,,,2.0,,1.0,,3.0,0.5,1.0,,,,1.0,,0.5,,0.3333333333333333,,0.5,,,0.16666666666666666,0.13333333333333333,0.14285714285714285,0.5,,0.25,1.0,1.0,1.0,,,,,0.25,,,,0.5571250000000001,,0.2,0.3333333333333333,0.5,,25.6,0.125,,,1.0,,,,1.0,,,1.0,1.0,,,,,0.25,,,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.5,,,0.25,,1.0,0.5,1.0,,1.0,1.0,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,1538.0,26,-20,42,45,14,10.0,87,2.0,2.0,3.0,10.0,7.0,52,6.0,1.0,2.0,2.0,,2.0,0.3,0.3,0.3181818181818182,22.641509433962263,0.07142857142857142,0.1111111111111111,0.16666666666666666,0.2,1.0,1.0,0.2,0.41311,12.45,4.0,,3.0,1.0,5.0,,,,,1.0,2.0,3.0,4.0,,2.0,,,,,3.0,1.0,,1.0,,,,2.0,,,,1.0,,1.0,,,1.0,2.0,,1.0,,4.0,,,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,0.3,0.6666666666666666,,,,,,0.3,,,,0.5,0.2,0.25,,,,,,0.4255,0.3851,0.09090909090909091,0.09090909090909091,0.5714285714285714,,,0.09523809523809523,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,0.25,,,0.3333333333333333,,0.3333333333333333,1.0,,,,,1.0,0.2,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,1535.0,26,-25,44,48,14,6.0,92,1.0,2.0,1.0,3.0,5.0,56,,,1.0,1.0,,,0.3333333333333333,0.4166666666666667,0.4166666666666667,15.686274509803921,,0.05,,0.3333333333333333,0.5,0.5,0.8333333333333334,0.4593583333333333,3.8666666666666667,8.0,,1.0,,,,,1.0,3.0,,,,,,,3.0,2.0,3.0,,,,2.0,2.0,,,,6.0,,,,1.0,1.0,2.0,,,,,,,3.0,8.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,0.75,,0.75,0.5,,,,,,,,0.16666666666666666,,,,,,,,,,,,,0.28545,,,,0.6,28.866666666666664,0.18181818181818182,,,3.0,2.0,1.0,2.0,3.0,,2.0,,,,0.5,,,0.5,,,1.0,,,,,1.0,1.0,1.0,,,,,,0.5,0.25,,,0.25,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,1610612755,Corie Blount,Corie Blount,916,PHI,1417.0,24,-29,41,45,10,4.0,86,1.0,2.0,3.0,10.0,6.0,55,4.0,3.0,5.0,7.0,,3.0,0.3,0.3,0.3,25.531914893617024,0.21428571428571427,0.17647058823529413,0.2857142857142857,0.2,0.5,0.5,0.2,0.39706,10.690000000000001,5.0,1.0,4.0,1.0,4.0,,,,,,1.0,1.0,2.0,,1.0,,2.0,,2.0,,,,,,,,,2.0,2.0,,1.0,,2.0,,,1.0,,,,,5.0,0.3333333333333333,0.5,,,,1.0,,1.0,,1.0,,,,,0.09090909090909091,0.07407407407407407,0.1111111111111111,,,0.4,0.25,0.25,1.0,0.4,0.25,0.25,,,,,,0.5726,0.4081,,,0.3333333333333333,,,0.12195121951219512,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,0.5,,,0.1,,1.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,84.0,1,1,2,2,2,,4,,,,,,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1610612755,Ira Bowman,Ira Bowman,1085,PHI,1393.0,23,-5,45,47,32,4.0,92,3.0,3.0,4.0,5.0,8.0,43,6.0,,,,,1.0,0.8,0.6666666666666666,0.6666666666666666,12.244897959183673,,,,0.5,1.0,1.0,0.6666666666666666,0.5808583333333334,5.04,23.0,1.0,2.0,,,,,,1.0,,,,,2.0,2.0,4.0,2.0,,,1.0,1.0,,1.0,,1.0,,2.0,,,,,,,,1.0,,,,,4.0,23.0,0.25,0.25,,,,,1.0,,1.0,,1.0,0.16666666666666666,0.2,0.5,,,,,,0.3333333333333333,0.5,1.0,,,,,,,,,,,0.46335,,,,0.5,27.5,0.5111111111111111,,,1.0,,,,1.0,,,2.0,1.0,1.0,,,,0.16666666666666666,,,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.3333333333333333,,,,,,,,,,False,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
