EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PtsUnassisted3s,PtsPutbacks,FTOffRebounds,FTDefRebounds,Travels,Offensive Fouls,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Corner3Assists,3SecondViolations,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Clear Path Fouls,on,BlockedCorner3,Corner3PctBlocked
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,10175.0,170.0,22.0,305.0,308.0,96.0,141.0,55.0,613.0,5.0,14.0,2.0,5.0,1.0,3.0,1.0,12.0,26.0,1.0,4.0,12.0,2.0,3.0,4.0,9.0,17.0,41.0,4.0,13.0,7.0,53.0,314.0,5.0,11.0,2.0,3.0,4.0,20.0,6.0,10.0,4.0,9.0,2.0,26.0,20.0,14.0,12.0,12.0,4.0,3.0,24.0,1.0,25.0,1.0,7.0,2.0,15.0,51.0,3.0,4.0,1.0,9.0,10.0,7.0,17.0,1.0,5.0,4.0,1.0,10.0,1.0,9.0,4.0,1.0,1.0,14.0,1.0,3.0,10.0,20.0,1.0,9,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,26.0,96.0,2.0,0.5882352941176471,0.5882352941176471,1.0,0.3076923076923077,0.6666666666666666,0.4444444444444444,0.3076923076923077,0.4146341463414634,0.45454545454545453,0.6,0.42592592592592593,0.5714285714285714,0.631578947368421,0.45614035087719296,0.625,0.65,0.24074074074074073,0.07317073170731707,0.14285714285714285,0.038461538461538464,19.18918918918919,0.7142857142857143,0.07627118644067797,0.037037037037037035,0.041666666666666664,0.11538461538461539,0.07042253521126761,0.05223880597014925,0.023809523809523808,0.047619047619047616,0.044444444444444446,0.10526315789473684,0.14285714285714285,0.07407407407407407,0.06818181818181818,0.0851063829787234,0.05263157894736842,0.034482758620689655,1.0,0.25925925925925924,0.35714285714285715,0.4166666666666667,0.4,0.018518518518518517,0.48148148148148145,0.46153846153846156,0.48,0.6666666666666666,0.018518518518518517,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,0.35714285714285715,0.4,0.5,0.21428571428571427,0.6666666666666666,1.0,0.15789473684210525,0.3333333333333333,0.47368421052631576,0.4444444444444444,0.5,0.3333333333333333,0.463812962962963,0.46670000000000006,0.4612078947368421,0.05357142857142857,0.06976744186046512,0.37735849056603776,0.49056603773584906,12.026829268292685,25.66153846153846,0.31475409836065577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,30706.0,512.0,166.0,955.0,946.0,356.0,334.0,153.0,1901.0,61.0,95.0,12.0,17.0,19.0,28.0,19.0,3.0,21.0,10.0,9.0,21.0,2.0,5.0,1.0,6.0,69.0,135.0,11.0,31.0,74.0,245.0,886.0,12.0,20.0,2.0,6.0,12.0,42.0,24.0,46.0,1.0,9.0,33.0,84.0,88.0,50.0,27.0,21.0,9.0,8.0,25.0,,25.0,,18.0,2.0,5.0,50.0,5.0,27.0,6.0,50.0,68.0,34.0,102.0,1.0,25.0,16.0,9.0,15.0,2.0,8.0,13.0,2.0,7.0,28.0,2.0,11.0,19.0,36.0,2.0,94,8.0,,42.0,9.0,34.0,10.0,35.0,23.0,84.0,356.0,4.0,0.6376811594202898,0.7457627118644068,0.8181818181818182,0.3548387096774194,0.3333333333333333,0.1111111111111111,0.3548387096774194,0.5111111111111111,0.6,0.5217391304347826,0.5150602409638554,0.5769230769230769,0.4636363636363636,0.5861244019138756,0.6363636363636364,0.5526315789473685,0.18674698795180722,0.05925925925925926,0.06315789473684211,,20.811287477954146,0.5357142857142857,0.12406947890818859,0.07520891364902507,0.09230769230769231,0.0641025641025641,0.11965811965811966,0.07322654462242563,0.08450704225352113,0.07317073170731707,0.06666666666666667,0.06779661016949153,0.05263157894736842,0.0761904761904762,0.1328125,0.14705882352941177,0.08888888888888889,0.013333333333333334,0.6571428571428571,0.572289156626506,0.6421052631578947,0.6853932584269663,0.6557377049180327,0.1144578313253012,0.12650602409638553,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.060240963855421686,0.12650602409638553,0.42857142857142855,0.42857142857142855,0.7777777777777778,0.6538461538461539,0.7058823529411765,0.16666666666666666,0.19230769230769232,0.4,1.0,0.509090909090909,0.6785714285714286,0.10909090909090909,0.16666666666666666,0.7590361445783133,0.42857142857142855,0.5528327272727273,0.5608666666666666,0.5300222222222223,0.21,0.2485207100591716,0.17142857142857143,0.34285714285714286,4.1792592592592595,24.545161290322575,0.37277486910994767,5.0,2.0,1.0,3.0,6.0,20.0,2.0,12.0,1.0,5.0,1.0,1.0,11.0,13.0,1.0,0.10526315789473684,0.2926829268292683,0.058823529411764705,0.1,0.2631578947368421,0.29411764705882354,0.4,0.2,0.2,1.0,0.038461538461538464,0.05454545454545454,,,,,,,,,,,,,,,,,True,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,21851.0,364.0,78.0,662.0,672.0,180.0,167.0,104.0,1334.0,29.0,51.0,5.0,11.0,8.0,13.0,10.0,13.0,31.0,3.0,13.0,25.0,2.0,5.0,3.0,6.0,45.0,92.0,14.0,28.0,17.0,149.0,630.0,6.0,12.0,2.0,6.0,5.0,23.0,12.0,25.0,3.0,7.0,6.0,39.0,60.0,30.0,39.0,25.0,13.0,12.0,21.0,7.0,28.0,5.0,7.0,2.0,12.0,63.0,4.0,19.0,4.0,38.0,54.0,26.0,80.0,3.0,11.0,6.0,5.0,14.0,3.0,6.0,10.0,3.0,8.0,24.0,4.0,7.0,21.0,36.0,1.0,26,2.0,,11.0,3.0,2.0,1.0,2.0,2.0,39.0,180.0,3.0,0.6666666666666666,0.75,0.9285714285714286,0.5,0.3333333333333333,0.42857142857142855,0.5,0.4891304347826087,0.5,0.48,0.55,0.5,0.515625,0.5643939393939394,0.5227272727272727,0.527027027027027,0.23333333333333334,0.13043478260869565,0.1568627450980392,0.06451612903225806,19.84732824427481,0.5833333333333334,0.13768115942028986,0.0794979079497908,0.07017543859649122,0.06779661016949153,0.12612612612612611,0.07718120805369127,0.05154639175257732,0.02127659574468085,0.1368421052631579,0.07142857142857142,0.058823529411764705,0.09210526315789473,0.13636363636363635,0.16964285714285715,0.06818181818181818,0.061224489795918366,1.0,0.425,0.5686274509803921,0.6744186046511628,0.6896551724137931,0.08333333333333333,0.25833333333333336,0.41935483870967744,0.4482758620689655,0.6923076923076923,0.025,0.20833333333333334,0.52,0.52,0.9230769230769231,0.6111111111111112,0.45454545454545453,0.2,0.2777777777777778,0.4,1.0,0.40625,0.6153846153846154,0.1875,0.5,0.6583333333333333,0.52,0.5023691666666666,0.560984375,0.48806875,0.08527131782945736,0.10891089108910891,0.15436241610738255,0.26174496644295303,7.132608695652172,24.70357142857143,0.2719033232628399,3.0,1.0,1.0,1.0,3.0,10.0,3.0,12.0,1.0,2.0,,,,1.0,,0.2,0.42857142857142855,0.1111111111111111,0.07692307692307693,0.3,0.375,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.05555555555555555,0.03125,2.0,1.0,,,,,,,,,,,,,,,True,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,19044.0,317.0,3.0,591.0,590.0,230.0,267.0,87.0,1181.0,17.0,36.0,1.0,3.0,8.0,18.0,15.0,26.0,59.0,2.0,,4.0,,,,3.0,47.0,110.0,,6.0,17.0,111.0,617.0,7.0,14.0,,,4.0,18.0,17.0,46.0,,5.0,8.0,42.0,74.0,20.0,,4.0,,13.0,41.0,1.0,42.0,,21.0,6.0,14.0,85.0,,9.0,5.0,25.0,30.0,9.0,39.0,3.0,11.0,4.0,7.0,12.0,1.0,10.0,8.0,2.0,2.0,20.0,,9.0,6.0,23.0,1.0,21,,,7.0,2.0,2.0,1.0,2.0,,42.0,230.0,8.0,0.7872340425531915,0.7872340425531915,,,,,,0.42727272727272725,0.5,0.3695652173913043,0.4051724137931034,0.5,0.3333333333333333,0.44047619047619047,0.5625,0.38181818181818183,0.05172413793103448,0.11818181818181818,0.19444444444444445,0.01694915254237288,20.88698140200286,0.6,0.09433962264150944,0.0379746835443038,0.1724137931034483,,0.10204081632653061,0.03260869565217391,0.02247191011235955,0.08333333333333333,0.03,,,0.07692307692307693,0.12643678160919541,0.08,0.125,0.05454545454545454,,0.3103448275862069,0.4722222222222222,0.5862068965517241,0.8235294117647058,0.12931034482758622,0.5086206896551724,0.4406779661016949,0.4482758620689655,0.8076923076923077,0.017241379310344827,0.034482758620689655,,,,0.21428571428571427,0.3333333333333333,1.0,,,,0.35294117647058826,0.4444444444444444,0.058823529411764705,,0.3620689655172414,,0.4615318965517241,0.4398500000000001,0.46554019607843156,0.06451612903225806,0.05982905982905983,0.16216216216216217,0.3783783783783784,11.321818181818182,24.650000000000002,0.38917089678510997,4.0,,,2.0,,,,,1.0,2.0,,,1.0,,,0.3333333333333333,,,0.4,0.26666666666666666,0.4,0.5,,,,,0.0392156862745098,1.0,,1.0,1.0,0.16666666666666666,0.25,0.14285714285714285,,,,,,,,,,True,,
731,1610612762,Greg Ostertag,Greg Ostertag,731,UTA,66601.0,1110.0,64.0,2041.0,2046.0,631.0,620.0,332.0,4087.0,78.0,149.0,37.0,69.0,22.0,45.0,46.0,2.0,6.0,,,,,,,,91.0,201.0,,,63.0,245.0,2114.0,37.0,76.0,,,13.0,87.0,26.0,62.0,,,24.0,76.0,114.0,68.0,,,,27.0,39.0,11.0,50.0,11.0,20.0,2.0,17.0,111.0,13.0,107.0,30.0,141.0,188.0,125.0,313.0,12.0,15.0,11.0,4.0,30.0,4.0,13.0,21.0,1.0,17.0,51.0,7.0,7.0,114.0,152.0,6.0,128,10.0,,58.0,11.0,109.0,6.0,109.0,55.0,76.0,631.0,11.0,0.6263736263736264,0.9047619047619048,,,,,,0.4527363184079602,0.4868421052631579,0.41935483870967744,0.4527363184079602,0.4868421052631579,0.41935483870967744,0.47115384615384615,0.4887640449438202,0.4470588235294118,,0.13432835820895522,0.12080536912751678,0.16666666666666666,12.745901639344263,0.5882352941176471,0.17132442284325639,0.1364795918367347,0.18072289156626506,0.09285714285714286,0.17290192113245703,0.12987012987012986,0.19,0.11931818181818182,0.09415584415584416,0.09523809523809523,0.08571428571428572,0.185,0.17921146953405018,0.1569767441860465,0.2076923076923077,0.14814814814814814,0.5045871559633027,0.7412935323383084,0.5234899328859061,0.5954198473282443,0.5897435897435898,0.22885572139303484,0.029850746268656716,0.3333333333333333,0.4,0.5,,,,,,0.9078947368421053,0.5362318840579711,0.24324324324324326,,,,0.7258064516129032,0.4888888888888889,,,0.7412935323383084,,0.5042154228855723,0.5422416666666667,0.48794193548387094,0.23293172690763053,0.23293172690763053,0.3551020408163265,0.31020408163265306,2.620398009950249,,0.30916217540421365,11.0,,,,,56.0,5.0,17.0,3.0,5.0,,,61.0,42.0,5.0,0.17391304347826086,0.21518987341772153,0.0641025641025641,0.08333333333333333,0.2391304347826087,0.2894736842105263,0.9090909090909091,,,,,,,6.0,,,,,,1.0,4.0,,,,,,,,True,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,40578.0,676.0,-10.0,1253.0,1258.0,432.0,438.0,199.0,2511.0,51.0,91.0,10.0,18.0,10.0,26.0,68.0,64.0,150.0,1.0,3.0,7.0,1.0,3.0,1.0,2.0,147.0,309.0,4.0,8.0,118.0,424.0,1354.0,20.0,40.0,1.0,3.0,15.0,58.0,36.0,89.0,2.0,3.0,51.0,129.0,238.0,56.0,9.0,7.0,3.0,24.0,76.0,6.0,82.0,5.0,38.0,11.0,27.0,170.0,6.0,25.0,21.0,83.0,121.0,31.0,152.0,8.0,28.0,10.0,18.0,45.0,11.0,37.0,29.0,4.0,8.0,74.0,1.0,20.0,15.0,50.0,3.0,145,13.0,6.0,59.0,17.0,5.0,2.0,5.0,3.0,129.0,432.0,5.0,0.8095238095238095,0.8561151079136691,0.75,0.5,0.3333333333333333,0.6666666666666666,0.5,0.47572815533980584,0.5,0.4044943820224719,0.48264984227129337,0.5,0.42391304347826086,0.5513157894736842,0.57,0.5163934426229508,0.025236593059936908,0.07766990291262135,0.16483516483516483,0.02666666666666667,30.428954423592494,0.6081081081081081,0.16633266533066132,0.05165289256198347,0.19626168224299065,0.0967741935483871,0.1716171617161716,0.056776556776556776,0.08602150537634409,0.043478260869565216,0.02185792349726776,0.0784313725490196,0.18181818181818182,0.12962962962962962,0.1452513966480447,0.2028301886792453,0.1744186046511628,0.05714285714285714,0.6,0.2870662460567823,0.5604395604395604,0.6710526315789473,0.8235294117647058,0.21451104100946372,0.47318611987381703,0.4266666666666667,0.4383561643835616,0.828125,0.0031545741324921135,0.022082018927444796,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.4186046511627907,0.5555555555555556,0.3,0.06976744186046512,0.3333333333333333,,0.2826086956521739,0.38461538461538464,0.021739130434782608,0.5,0.31230283911671924,0.42857142857142855,0.4612731861198737,0.47901500000000014,0.45557989130434784,0.162534435261708,0.16619718309859155,0.13679245283018868,0.30424528301886794,10.722653721682848,24.612499999999997,0.34477254588986433,32.0,1.0,,1.0,3.0,16.0,,17.0,,12.0,,,2.0,1.0,,0.07352941176470588,0.3617021276595745,,0.2857142857142857,0.47058823529411764,0.5079365079365079,0.75,1.0,1.0,1.0,,0.010869565217391304,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,True,,
317,1610612762,John Starks,John Starks,317,UTA,17497.0,292.0,-17.0,522.0,527.0,178.0,209.0,98.0,1049.0,8.0,14.0,,,2.0,6.0,6.0,21.0,46.0,16.0,8.0,23.0,2.0,6.0,2.0,8.0,30.0,66.0,14.0,39.0,12.0,114.0,553.0,1.0,2.0,3.0,7.0,2.0,13.0,8.0,18.0,2.0,13.0,6.0,28.0,42.0,18.0,36.0,23.0,8.0,6.0,17.0,2.0,19.0,1.0,13.0,1.0,3.0,40.0,1.0,4.0,2.0,10.0,13.0,5.0,18.0,,11.0,4.0,7.0,11.0,2.0,5.0,8.0,1.0,6.0,19.0,1.0,6.0,8.0,26.0,1.0,14,,,4.0,3.0,,,,,28.0,178.0,3.0,0.7,0.7,0.8571428571428571,0.358974358974359,0.42857142857142855,0.15384615384615385,0.358974358974359,0.45454545454545453,0.5,0.4444444444444444,0.4857142857142857,0.6111111111111112,0.3548387096774194,0.5089285714285714,0.65,0.4,0.37142857142857144,0.09090909090909091,0.14285714285714285,0.06521739130434782,20.56514913657771,0.5789473684210527,0.04807692307692308,0.02040816326530612,0.05263157894736842,0.017857142857142856,0.04878048780487805,0.01984126984126984,0.013888888888888888,,0.03409090909090909,0.02564102564102564,,0.0392156862745098,0.05555555555555555,0.047058823529411764,0.03333333333333333,,,0.13333333333333333,0.5714285714285714,0.6666666666666666,0.5,0.05714285714285714,0.4380952380952381,0.45652173913043476,0.4883720930232558,0.7619047619047619,0.1523809523809524,0.21904761904761905,0.34782608695652173,0.34782608695652173,0.75,,,,0.6666666666666666,0.3333333333333333,1.0,0.1935483870967742,0.3333333333333333,0.25806451612903225,0.25,0.5047619047619047,0.34782608695652173,0.4811004761904763,0.51563125,0.47527419354838707,0.03669724770642202,0.05714285714285714,0.11403508771929824,0.24561403508771928,14.412121212121212,24.256410256410252,0.34099616858237547,1.0,6.0,1.0,5.0,6.0,,,1.0,,4.0,,,,,,0.16666666666666666,0.05263157894736842,,0.125,0.16666666666666666,0.2,1.0,0.375,0.375,1.0,0.1111111111111111,0.16129032258064516,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,True,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,28109.0,468.0,-86.0,851.0,855.0,131.0,125.0,134.0,1706.0,81.0,116.0,20.0,33.0,10.0,15.0,38.0,10.0,25.0,3.0,,5.0,,2.0,,,108.0,179.0,,8.0,44.0,260.0,971.0,24.0,42.0,,2.0,9.0,57.0,11.0,20.0,,,12.0,34.0,150.0,66.0,,5.0,,20.0,33.0,4.0,37.0,3.0,15.0,5.0,13.0,78.0,2.0,46.0,10.0,53.0,68.0,48.0,116.0,6.0,10.0,8.0,2.0,25.0,5.0,11.0,17.0,2.0,14.0,42.0,4.0,6.0,9.0,27.0,4.0,54,10.0,2.0,31.0,,17.0,3.0,17.0,9.0,34.0,131.0,3.0,0.6944444444444444,0.8064516129032258,,,,,,0.6033519553072626,0.5714285714285714,0.55,0.5775401069518716,0.5454545454545454,0.55,0.6201923076923077,0.5816326530612245,0.6296296296296297,0.0427807486631016,0.11173184357541899,0.12931034482758622,,24.654832347140037,0.5952380952380952,0.1606060606060606,0.13333333333333333,0.12658227848101267,0.047619047619047616,0.15403422982885084,0.12403100775193798,0.15873015873015872,0.1111111111111111,0.12318840579710146,0.029411764705882353,0.125,0.1780821917808219,0.11016949152542373,0.19424460431654678,0.125,0.1016949152542373,0.5294117647058824,0.6203208556149733,0.6982758620689655,0.801980198019802,0.7407407407407407,0.20320855614973263,0.13368983957219252,0.4,0.4,0.5,0.016042780748663103,0.026737967914438502,,,,0.75,0.6060606060606061,0.3,0.045454545454545456,,,0.75,0.6666666666666666,,,0.6631016042780749,,0.5139042780748664,0.5260170731707318,0.5111700000000001,0.14903846153846154,0.155,0.21923076923076923,0.13076923076923078,4.362569832402236,24.412499999999998,0.15393654524089306,17.0,,,,,30.0,,5.0,2.0,7.0,,,10.0,4.0,1.0,0.13157894736842105,0.22727272727272727,,0.13333333333333333,0.4473684210526316,0.5151515151515151,0.5882352941176471,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,True,,
304,1610612762,John Stockton,John Stockton,304,UTA,33219.0,554.0,15.0,1013.0,1018.0,234.0,217.0,166.0,2031.0,32.0,58.0,,3.0,10.0,14.0,30.0,42.0,81.0,1.0,2.0,9.0,1.0,2.0,,3.0,82.0,169.0,2.0,10.0,43.0,213.0,1084.0,6.0,16.0,1.0,2.0,3.0,18.0,24.0,39.0,,3.0,18.0,66.0,82.0,82.0,3.0,8.0,2.0,15.0,147.0,14.0,161.0,12.0,88.0,20.0,39.0,336.0,1.0,15.0,3.0,30.0,33.0,16.0,49.0,3.0,35.0,18.0,17.0,36.0,8.0,30.0,14.0,,6.0,50.0,7.0,11.0,16.0,45.0,3.0,52,6.0,12.0,16.0,7.0,5.0,,5.0,2.0,66.0,234.0,7.0,0.5,0.5,0.5,0.2,0.5,,0.2222222222222222,0.48520710059171596,0.375,0.6153846153846154,0.4748603351955307,0.4166666666666667,0.5714285714285714,0.5178571428571429,0.425,0.6274509803921569,0.055865921787709494,0.08875739644970414,0.13793103448275862,0.037037037037037035,20.181219110378912,0.72,0.07537688442211055,0.03712871287128713,0.031914893617021274,0.02040816326530612,0.06707317073170732,0.03532008830022075,0.006578947368421052,0.03296703296703297,0.06832298136645963,0.02564102564102564,,0.07446808510638298,0.06976744186046512,0.08,0.02631578947368421,0.038461538461538464,0.4,0.3240223463687151,0.5517241379310345,0.64,0.4375,0.16759776536312848,0.45251396648044695,0.5185185185185185,0.5384615384615384,0.5714285714285714,0.00558659217877095,0.05027932960893855,0.2222222222222222,0.2222222222222222,0.5,0.16666666666666666,,,0.1111111111111111,0.5,,0.3333333333333333,0.7142857142857143,0.07142857142857142,,0.37988826815642457,0.25,0.461682584269663,0.4353805555555556,0.46121829268292686,0.08465608465608465,0.0893854748603352,0.08450704225352113,0.30985915492957744,10.539053254437869,26.910000000000004,0.23099703849950642,8.0,,,,3.0,,,,,4.0,,,1.0,4.0,,0.13333333333333333,,,0.05555555555555555,0.26666666666666666,0.3076923076923077,0.375,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,True,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,26717.0,445.0,74.0,820.0,817.0,297.0,243.0,137.0,1637.0,12.0,28.0,4.0,7.0,4.0,9.0,14.0,21.0,43.0,7.0,10.0,37.0,1.0,2.0,6.0,19.0,38.0,85.0,11.0,44.0,19.0,128.0,812.0,7.0,13.0,2.0,4.0,5.0,25.0,8.0,22.0,7.0,22.0,10.0,47.0,54.0,22.0,27.0,37.0,10.0,8.0,28.0,3.0,31.0,3.0,11.0,3.0,14.0,65.0,4.0,11.0,15.0,27.0,43.0,17.0,60.0,2.0,15.0,7.0,8.0,8.0,12.0,6.0,16.0,2.0,2.0,24.0,1.0,9.0,18.0,43.0,3.0,20,1.0,,5.0,4.0,3.0,,3.0,2.0,47.0,297.0,7.0,0.7105263157894737,0.7941176470588235,0.8181818181818182,0.25,0.5,0.3181818181818182,0.25,0.4470588235294118,0.5384615384615384,0.36363636363636365,0.42248062015503873,0.5882352941176471,0.42045454545454547,0.463768115942029,0.6578947368421053,0.47959183673469385,0.34108527131782945,0.09411764705882353,0.17857142857142858,0.046511627906976744,16.564417177914113,0.3333333333333333,0.08852459016393442,0.03793103448275862,0.17857142857142858,0.0625,0.10796915167095116,0.0423728813559322,0.04310344827586207,0.014925373134328358,0.04672897196261682,0.04081632653061224,0.13333333333333333,0.03125,0.08411214953271028,0.11940298507462686,0.23333333333333334,0.028985507246376812,0.6666666666666666,0.21705426356589147,0.42857142857142855,0.5217391304347826,0.5833333333333334,0.10852713178294573,0.3333333333333333,0.4883720930232558,0.5121951219512195,0.8571428571428571,0.05426356589147287,0.2868217054263566,0.2702702702702703,0.2702702702702703,0.8,0.4117647058823529,0.5714285714285714,,0.11764705882352941,0.5,1.0,0.20454545454545456,0.4444444444444444,0.4318181818181818,0.3157894736842105,0.5581395348837209,0.2702702702702703,0.47960859375000003,0.49961999999999995,0.49159886363636374,0.04477611940298507,0.056179775280898875,0.1953125,0.3671875,11.398823529411763,25.57045454545454,0.3621951219512195,5.0,1.0,2.0,3.0,6.0,8.0,2.0,1.0,,2.0,,,1.0,2.0,,0.07142857142857142,0.03225806451612903,0.058823529411764705,0.041666666666666664,0.35714285714285715,0.38461538461538464,0.4,0.14285714285714285,0.14285714285714285,1.0,0.11764705882352941,0.06818181818181818,,,,1.0,,,0.022222222222222223,,,1.0,0.3333333333333333,1.0,0.5,1.0,,,True,,
