EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsPutbacks,FTOffRebounds,FTDefRebounds,Travels,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,HeaveMakes,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,Arc3PctBlocked,OffensiveGoaltends,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,on,3pt And 1 Free Throw Trips
133,1610612766,David Wesley,David Wesley,133,CHH,66726.0,1112,-109,2104,2104,536,545,290.0,4208,39.0,74.0,4.0,6.0,14.0,6.0,20.0,95.0,226.0,9.0,25.0,1.0,2.0,1.0,8.0,25.0,82.0,4.0,13.0,10.0,26.0,140.0,320.0,34.0,107.0,65.0,447.0,2305,9.0,24.0,5.0,15.0,2.0,35.0,30.0,67.0,11.0,34.0,40.0,133.0,200.0,80.0,99.0,3.0,82.0,25.0,23.0,1.0,94.0,19.0,113.0,18.0,1.0,42.0,24.0,28.0,245.0,2.0,13.0,10.0,38.0,48.0,15.0,63.0,3.0,34.0,21.0,13.0,40.0,8.0,23.0,19.0,1.0,17.0,59.0,3.0,11.0,33.0,58,3.0,8.0,89.0,3.0,9.0,24.0,1.0,16.0,6.0,4.0,1.0,1.0,6.0,2.0,133.0,536,8.0,0.7142857142857143,0.7142857142857143,0.9705882352941176,0.3177570093457944,0.3333333333333333,0.3235294117647059,0.3177570093457944,0.4375,0.375,0.44776119402985076,0.44730679156908665,0.4230769230769231,0.4603960396039604,0.4752688172043011,0.4375,0.5241935483870968,0.2505854800936768,0.009345794392523364,0.071875,0.20270270270270271,0.15,0.022123893805309734,0.04,21.39648836259698,0.6779661016949152,0.04611650485436893,0.015457788347205707,0.05434782608695652,0.011111111111111112,0.047619047619047616,0.014691478942213516,0.02586206896551724,0.008,0.013927576601671309,0.006578947368421052,0.03571428571428571,0.028469750889679714,0.04184100418410042,0.06578947368421052,0.05303030303030303,0.057692307692307696,0.013392857142857142,0.3333333333333333,0.17330210772833723,0.527027027027027,0.6610169491525424,0.5897435897435898,0.0468384074941452,0.3,0.35294117647058826,1.0,0.5292740046838408,0.42035398230088494,0.4298642533936652,0.7473684210526316,0.0585480093676815,0.36,0.375,1.0,0.1920374707259953,0.3048780487804878,0.3048780487804878,0.96,0.10256410256410256,0.05128205128205128,0.5,1.0,0.3333333333333333,0.3076923076923077,1.0,0.13861386138613863,0.42857142857142855,0.07920792079207921,0.125,0.25742574257425743,0.38461538461538464,0.4238875878220141,0.3048780487804878,0.4806614754098359,0.4950096774193548,0.46133762376237625,0.0556792873051225,0.07038123167155426,0.009259259259259259,0.07829977628635347,0.2975391498881432,14.157187500000001,25.061682242990653,0.25475285171102663,,,,,,,,,,,,,,,,,,,,,,,True,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,70040.0,1167,50,2187,2189,524,509,329.0,4376,56.0,103.0,48.0,8.0,18.0,15.0,39.0,33.0,76.0,,,,,,,,,,,,,104.0,218.0,,,68.0,276.0,2299,30.0,67.0,,,17.0,77.0,16.0,40.0,,,31.0,63.0,150.0,58.0,,,,,13.0,,48.0,12.0,60.0,9.0,3.0,16.0,14.0,18.0,132.0,24.0,91.0,43.0,175.0,242.0,127.0,369.0,12.0,27.0,21.0,6.0,20.0,5.0,13.0,20.0,2.0,7.0,40.0,6.0,12.0,52.0,96,11.0,7.0,80.0,8.0,6.0,29.0,,12.0,37.0,30.0,1.0,6.0,37.0,21.0,63.0,524,13.0,0.7211538461538461,0.872093023255814,,,,,,0.47706422018348627,0.44776119402985076,0.4,0.47706422018348627,0.44776119402985076,0.4,0.5418326693227091,0.5135135135135135,0.5446428571428571,,,0.05963302752293578,0.08737864077669903,0.10256410256410256,,,11.218195836545874,0.5,0.2025462962962963,0.09837837837837837,0.21287128712871287,0.16216216216216217,0.2045028142589118,0.10717614165890028,0.09523809523809523,0.11811023622047244,0.08793969849246232,0.14960629921259844,0.23809523809523808,0.21122112211221122,0.1693548387096774,0.22044728434504793,0.23333333333333334,0.15384615384615385,0.1188118811881188,0.5675675675675675,0.4724770642201835,0.5436893203883495,0.5957446808510638,0.625,0.17889908256880735,0.38461538461538464,0.42857142857142855,0.6666666666666666,0.3486238532110092,0.4342105263157895,0.4342105263157895,0.9090909090909091,,,,,,,,,0.7164179104477612,,,,,,,0.45,0.4444444444444444,,,,,0.4724770642201835,,0.48332889908256876,0.5183724137931035,0.47282499999999994,0.12133891213389121,0.12133891213389121,,0.27898550724637683,0.22826086956521738,7.882110091743118,,0.2395976223136717,19.0,36.0,12.0,24.0,2.0,3.0,3.0,1.0,0.5217391304347826,0.14814814814814814,0.3958333333333333,0.05263157894736842,,,,,,,,,,,True,
1714,1610612766,Robert Traylor,Robert Traylor,1714,CHH,21582.0,360,-45,684,688,236,225,90.0,1372,32.0,63.0,21.0,11.0,24.0,5.0,23.0,3.0,13.0,,,,,,,,,,,,,40.0,99.0,,,33.0,113.0,718,11.0,24.0,,,12.0,34.0,14.0,33.0,,,9.0,37.0,48.0,32.0,,,,,21.0,,16.0,2.0,18.0,1.0,1.0,11.0,1.0,4.0,38.0,3.0,32.0,10.0,43.0,60.0,39.0,99.0,2.0,13.0,7.0,6.0,9.0,2.0,4.0,15.0,2.0,5.0,24.0,4.0,5.0,36.0,65,6.0,5.0,50.0,2.0,,23.0,,3.0,19.0,17.0,,2.0,19.0,9.0,37.0,236,5.0,0.6,0.8,,,,,,0.40404040404040403,0.4583333333333333,0.42424242424242425,0.40404040404040403,0.4583333333333333,0.42424242424242425,0.45934959349593496,0.5483870967741935,0.45121951219512196,,,0.21212121212121213,0.25396825396825395,0.21739130434782608,,,18.773946360153257,0.375,0.16602316602316602,0.11851851851851852,0.14084507042253522,0.075,0.1606060606060606,0.11290322580645161,0.11764705882352941,0.11494252873563218,0.12244897959183673,0.08333333333333333,,0.17894736842105263,0.18181818181818182,0.14285714285714285,0.12244897959183673,0.18181818181818182,0.05263157894736842,0.47368421052631576,0.6363636363636364,0.5079365079365079,0.6808510638297872,0.5625,0.23232323232323232,0.21739130434782608,0.2777777777777778,0.6,0.13131313131313133,0.23076923076923078,0.23076923076923078,1.0,,,,,,,,,0.875,,,,,,,0.7272727272727273,0.4583333333333333,,,,,0.6363636363636364,,0.51940101010101,0.5593227272727274,0.5480242424242423,0.19166666666666668,0.19166666666666668,,0.3008849557522124,0.3274336283185841,4.212121212121212,,0.34502923976608185,11.0,20.0,4.0,7.0,4.0,1.0,2.0,,0.25925925925925924,0.11764705882352941,0.5238095238095238,,,,,,,,,,,,True,
1884,1610612766,Baron Davis,Baron Davis,1884,CHH,93241.0,1554,35,2939,2915,769,736,428.0,5854,118.0,201.0,19.0,29.0,42.0,23.0,63.0,58.0,148.0,10.0,26.0,3.0,6.0,2.0,10.0,67.0,208.0,10.0,28.0,19.0,68.0,199.0,412.0,77.0,234.0,104.0,733.0,3080,14.0,38.0,13.0,34.0,4.0,71.0,44.0,97.0,21.0,78.0,41.0,192.0,86.0,312.0,171.0,60.0,202.0,66.0,24.0,1.0,323.0,24.0,347.0,19.0,5.0,146.0,44.0,133.0,718.0,5.0,31.0,31.0,92.0,123.0,40.0,163.0,13.0,79.0,38.0,41.0,76.0,14.0,46.0,48.0,10.0,30.0,124.0,11.0,31.0,46.0,112,7.0,13.0,171.0,24.0,1.0,74.0,,23.0,26.0,14.0,3.0,9.0,27.0,23.0,192.0,769,12.0,0.21608040201005024,0.225130890052356,0.7402597402597403,0.32905982905982906,0.38235294117647056,0.2692307692307692,0.3318777292576419,0.4830097087378641,0.3684210526315789,0.4536082474226804,0.4868421052631579,0.4652777777777778,0.43142857142857144,0.5090403337969402,0.46710526315789475,0.4752475247524752,0.3622291021671827,0.004273504273504274,0.05825242718446602,0.07960199004975124,0.06349206349206349,0.02702702702702703,,24.385305177899912,0.6129032258064516,0.08243727598566308,0.026248941574936496,0.11397058823529412,0.02074688796680498,0.08861671469740634,0.02531645569620253,0.05113636363636364,0.021341463414634148,0.011976047904191617,0.02403846153846154,,0.04960835509138381,0.12779552715654952,0.07857142857142857,0.10362694300518134,0.13924050632911392,0.03903903903903904,0.8518518518518519,0.3111455108359133,0.5870646766169154,0.6378378378378379,0.2796610169491525,0.09752321981424149,0.36507936507936506,0.3898305084745763,0.08695652173913043,0.22910216718266255,0.3918918918918919,0.4027777777777778,0.13793103448275862,0.04024767801857585,0.38461538461538464,0.38461538461538464,0.8,0.3219814241486068,0.32211538461538464,0.32367149758454106,0.7313432835820896,0.2638888888888889,0.08333333333333333,0.5,1.0,0.3888888888888889,0.35714285714285715,0.7,0.24,0.6904761904761905,0.05714285714285714,0.2,0.38857142857142857,0.27941176470588236,0.673374613003096,0.32673267326732675,0.5041735569422778,0.5015135593220338,0.4771935672514618,0.10632183908045977,0.16017316017316016,,0.09686221009549795,0.26193724420190995,8.041747572815533,26.121367521367528,0.26165362368152434,10.0,16.0,4.0,,5.0,2.0,,1.0,,0.03773584905660377,0.5263157894736842,,1.0,5.0,1.0,1.0,1.0,0.004807692307692308,,,,,True,
1924,1610612766,Lee Nailon,Lee Nailon,1924,CHH,114764.0,1913,-11,3605,3590,984,965,513.0,7195,142.0,221.0,49.0,43.0,62.0,100.0,240.0,126.0,301.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,368.0,762.0,1.0,2.0,112.0,851.0,3760,50.0,107.0,1.0,1.0,24.0,127.0,95.0,187.0,,,39.0,229.0,520.0,216.0,3.0,,1.0,,43.0,,80.0,14.0,94.0,11.0,3.0,37.0,12.0,31.0,202.0,16.0,85.0,42.0,141.0,188.0,103.0,291.0,18.0,59.0,37.0,22.0,48.0,7.0,33.0,48.0,4.0,15.0,96.0,10.0,20.0,55.0,175,20.0,16.0,150.0,15.0,8.0,69.0,,9.0,17.0,9.0,3.0,5.0,17.0,9.0,229.0,984,18.0,0.7065217391304348,0.7558139534883721,1.0,0.5,1.0,,0.5,0.48293963254593175,0.4672897196261682,0.5080213903743316,0.4836387434554974,0.47685185185185186,0.5080213903743316,0.5102781136638452,0.5247933884297521,0.5380952380952381,0.002617801047120419,,0.05643044619422572,0.09954751131221719,0.07916666666666666,0.006644518272425249,,21.877222090542784,0.5,0.10093056549749463,0.05754908598510494,0.12034383954154727,0.06015037593984962,0.10481099656357389,0.057946069994262765,0.05895691609977324,0.059665871121718374,0.055105348460291734,0.06521739130434782,0.027777777777777776,0.09418837675350701,0.10621761658031088,0.103515625,0.12598425196850394,0.10526315789473684,0.05142857142857143,0.5294117647058824,0.2892670157068063,0.6425339366515838,0.7135678391959799,0.7112676056338029,0.31413612565445026,0.4166666666666667,0.45248868778280543,0.57,0.39397905759162305,0.4186046511627907,0.4214046822742475,0.8095238095238095,0.0013089005235602095,1.0,1.0,1.0,0.0013089005235602095,,,,0.4537037037037037,0.009259259259259259,1.0,1.0,,,,0.3315508021390374,0.6935483870967742,,,,,0.2918848167539267,,0.44759823298429285,0.47298437500000007,0.4448631016042783,0.0843520782396088,0.08455882352941177,,0.1492361927144536,0.2690951821386604,9.632808398950127,24.700000000000003,0.27295423023578363,24.0,48.0,2.0,5.0,12.0,1.0,,1.0,0.05,0.014388489208633094,0.4897959183673469,0.08333333333333333,,,,,,,,,,,True,
1724,1610612766,Bryce Drew,Bryce Drew,1724,CHH,21777.0,363,-38,685,677,240,235,94.0,1362,6.0,17.0,,1.0,4.0,3.0,7.0,14.0,29.0,3.0,6.0,,,1.0,1.0,7.0,24.0,,4.0,2.0,6.0,23.0,53.0,10.0,30.0,7.0,83.0,702,,3.0,,4.0,,,5.0,15.0,3.0,7.0,4.0,23.0,24.0,22.0,24.0,6.0,24.0,7.0,1.0,,39.0,4.0,43.0,3.0,1.0,21.0,5.0,13.0,90.0,1.0,3.0,13.0,13.0,27.0,4.0,31.0,1.0,20.0,10.0,10.0,12.0,1.0,7.0,5.0,,5.0,17.0,2.0,4.0,10.0,24,,1.0,11.0,,5.0,1.0,,2.0,1.0,,,1.0,1.0,,23.0,240,7.0,0.5217391304347826,0.5217391304347826,0.8,0.3333333333333333,,0.42857142857142855,0.3333333333333333,0.4339622641509434,,0.3333333333333333,0.4578313253012048,,0.4318181818181818,0.46511627906976744,,0.4583333333333333,0.3614457831325301,,0.018867924528301886,,,0.034482758620689655,,13.037974683544304,0.7058823529411765,0.051181102362204724,0.01048951048951049,0.16049382716049382,0.01818181818181818,0.07761194029850746,0.011730205278592375,0.010526315789473684,,0.017543859649122806,0.02127659574468085,,0.038834951456310676,0.015384615384615385,0.09302325581395349,0.18333333333333332,0.09523809523809523,0.02040816326530612,,0.20481927710843373,0.35294117647058826,0.35294117647058826,0.6666666666666666,0.08433734939759036,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3493975903614458,0.4827586206896552,0.5,0.5,0.07228915662650602,0.5,0.5,0.6666666666666666,0.2891566265060241,0.2916666666666667,0.2916666666666667,0.8571428571428571,,,,,0.5714285714285714,,,0.18181818181818182,0.25,0.045454545454545456,1.0,0.2727272727272727,0.3333333333333333,0.5662650602409639,0.2916666666666667,0.4774012048192773,0.4481916666666666,0.45993636363636364,0.011904761904761904,0.018518518518518517,,,0.27710843373493976,10.845283018867926,25.0,0.35036496350364965,,,,1.0,1.0,,,,0.043478260869565216,,,,,,,,,,,,,,True,
2048,1610612766,Jamaal Magloire,Jamaal Magloire,2048,CHH,40757.0,679,60,1285,1262,510,508,186.0,2547,81.0,127.0,45.0,25.0,51.0,11.0,35.0,4.0,13.0,,,,,,,,1.0,,,,1.0,96.0,175.0,,1.0,122.0,314.0,1272,27.0,48.0,,,29.0,83.0,33.0,70.0,,1.0,66.0,132.0,112.0,80.0,,,1.0,,21.0,,13.0,1.0,14.0,1.0,,4.0,4.0,5.0,29.0,7.0,52.0,27.0,108.0,152.0,61.0,213.0,7.0,16.0,14.0,2.0,19.0,3.0,9.0,31.0,2.0,10.0,50.0,6.0,22.0,47.0,92,13.0,16.0,163.0,9.0,,64.0,,22.0,39.0,30.0,1.0,8.0,39.0,28.0,132.0,510,8.0,0.5833333333333334,0.7272727272727273,,,,,,0.5485714285714286,0.5625,0.4714285714285714,0.5454545454545454,0.5625,0.4647887323943662,0.6205533596837944,0.6384615384615384,0.5789473684210527,0.005681818181818182,,0.12,0.11811023622047244,0.14285714285714285,0.07692307692307693,,20.281124497991968,0.38,0.21428571428571427,0.1087866108786611,0.2109375,0.0707070707070707,0.21360759493670886,0.1022530329289428,0.14583333333333334,0.09923664122137404,0.08866995073891626,0.07058823529411765,0.07142857142857142,0.23684210526315788,0.18253968253968253,0.2127659574468085,0.23157894736842105,0.15151515151515152,0.11864406779661017,0.717948717948718,0.7215909090909091,0.6377952755905512,0.7232142857142857,0.5679012345679012,0.19886363636363635,0.3142857142857143,0.36666666666666664,0.5454545454545454,0.07386363636363637,0.3076923076923077,0.3333333333333333,1.0,,,,,0.005681818181818182,,,,0.9375,,,,,,,0.7183098591549296,0.49019607843137253,,,0.014084507042253521,,0.7272727272727273,,0.5149113636363635,0.5557090909090908,0.5156802816901409,0.27705627705627706,0.2782608695652174,,0.2643312101910828,0.42038216560509556,2.934857142857143,24.8,0.3968871595330739,27.0,38.0,2.0,17.0,4.0,4.0,4.0,3.0,0.4473684210526316,0.03225806451612903,0.6,0.2222222222222222,,,,,,,1.0,,,,True,
278,1610612766,Stacey Augmon,Stacey Augmon,278,CHH,27857.0,464,50,868,865,275,220,133.0,1733,18.0,31.0,7.0,7.0,9.0,10.0,29.0,17.0,45.0,,,,,,,,1.0,,,,1.0,45.0,105.0,,1.0,31.0,121.0,826,10.0,20.0,,,4.0,24.0,12.0,24.0,,1.0,15.0,39.0,52.0,38.0,,,,,3.0,,42.0,12.0,54.0,10.0,2.0,15.0,8.0,19.0,120.0,2.0,19.0,14.0,42.0,59.0,22.0,81.0,1.0,13.0,9.0,4.0,12.0,2.0,5.0,8.0,,7.0,20.0,2.0,6.0,18.0,43,,4.0,38.0,2.0,,16.0,,4.0,6.0,3.0,1.0,2.0,6.0,5.0,39.0,275,3.0,0.5777777777777777,0.6341463414634146,,,,,,0.42857142857142855,0.5,0.5,0.42452830188679247,0.5,0.48,0.4879032258064516,0.5217391304347826,0.5909090909090909,0.009433962264150943,,0.02857142857142857,0.03225806451612903,,0.044444444444444446,,13.980582524271844,0.6,0.11898016997167139,0.049479166666666664,0.14583333333333334,0.0625,0.12472160356347439,0.05048076923076923,0.05042016806722689,0.037383177570093455,0.056962025316455694,0.06896551724137931,,0.11428571428571428,0.09090909090909091,0.144,0.12857142857142856,0.19230769230769232,0.017543859649122806,0.8333333333333334,0.29245283018867924,0.5806451612903226,0.6,0.6666666666666666,0.27358490566037735,0.3448275862068966,0.3448275862068966,0.2,0.42452830188679247,0.37777777777777777,0.3953488372093023,0.7058823529411765,,,,,0.009433962264150943,,,,0.35,,,,,,,0.36,0.7777777777777778,,,0.04,,0.3018867924528302,,0.4498009523809522,0.4395,0.46799583333333333,0.13333333333333333,0.13445378151260504,,0.19834710743801653,0.32231404958677684,9.821904761904761,49.3,0.31682027649769584,3.0,8.0,1.0,3.0,2.0,,,,0.11538461538461539,0.02564102564102564,0.42857142857142855,,,1.0,,,,,,,,,True,
469,1610612766,Jamal Mashburn,Jamal Mashburn,469,CHH,17110.0,285,8,534,535,207,223,61.0,1069,4.0,7.0,1.0,2.0,4.0,12.0,37.0,23.0,48.0,,1.0,,,,1.0,9.0,27.0,1.0,2.0,3.0,12.0,39.0,92.0,9.0,28.0,39.0,144.0,560,1.0,5.0,1.0,2.0,1.0,6.0,21.0,44.0,3.0,13.0,23.0,74.0,24.0,54.0,24.0,3.0,27.0,9.0,4.0,2.0,27.0,8.0,35.0,7.0,1.0,14.0,5.0,8.0,78.0,,,10.0,27.0,40.0,,40.0,,11.0,8.0,3.0,16.0,,8.0,3.0,,8.0,19.0,2.0,9.0,12.0,19,2.0,2.0,45.0,1.0,2.0,15.0,,7.0,,,,,,,74.0,207,4.0,0.3076923076923077,0.3076923076923077,0.8888888888888888,0.32142857142857145,0.5,0.23076923076923078,0.32142857142857145,0.42391304347826086,0.2,0.4772727272727273,0.4375,0.35714285714285715,0.4473684210526316,0.5035460992907801,0.375,0.5294117647058824,0.23333333333333334,0.07142857142857142,0.043478260869565216,0.14285714285714285,0.02702702702702703,0.041666666666666664,,26.490066225165563,0.8421052631578947,0.12442396313364056,,0.17543859649122806,,0.13503649635036497,,,,,,,0.14285714285714285,0.08771929824561403,0.13253012048192772,0.14285714285714285,0.26666666666666666,,,0.058333333333333334,0.5714285714285714,0.6666666666666666,0.25,0.30833333333333335,0.32432432432432434,0.3333333333333333,0.3333333333333333,0.4,0.4791666666666667,0.5,0.30434782608695654,0.008333333333333333,,,,0.225,0.3333333333333333,0.36,0.8888888888888888,0.14285714285714285,,,,0.2857142857142857,0.5,1.0,0.07017543859649122,0.5,0.017543859649122806,,0.21052631578947367,0.25,0.2916666666666667,0.3333333333333333,0.4030516806722689,0.42097500000000004,0.4000035714285714,0.11194029850746269,0.14150943396226415,,0.041666666666666664,0.5138888888888888,12.961956521739127,26.157142857142855,0.38764044943820225,1.0,,,3.0,,,,,0.21428571428571427,,1.0,,,,,,,0.07407407407407407,,,,,True,
922,1610612766,Elden Campbell,Elden Campbell,922,CHH,66774.0,1113,-52,2068,2070,334,322,286.0,4138,70.0,128.0,31.0,11.0,20.0,81.0,182.0,37.0,92.0,,,,,,,,1.0,,,,,188.0,402.0,,1.0,169.0,545.0,2236,23.0,53.0,,,22.0,68.0,25.0,55.0,,,36.0,86.0,242.0,134.0,,,1.0,,32.0,,53.0,13.0,66.0,10.0,3.0,18.0,11.0,24.0,145.0,10.0,55.0,30.0,148.0,194.0,66.0,260.0,7.0,26.0,15.0,11.0,31.0,,14.0,38.0,4.0,17.0,69.0,8.0,9.0,61.0,136,14.0,24.0,212.0,12.0,,100.0,,12.0,69.0,43.0,1.0,25.0,72.0,39.0,86.0,334,10.0,0.6436170212765957,0.6759776536312849,,,,,,0.46766169154228854,0.4339622641509434,0.45454545454545453,0.4665012406947891,0.4339622641509434,0.45454545454545453,0.5417495029821073,0.5151515151515151,0.5733333333333334,0.0024813895781637717,,0.07960199004975124,0.1328125,0.07692307692307693,0.010869565217391304,,23.55848434925865,0.4492753623188406,0.18407960199004975,0.0622876557191393,0.15306122448979592,0.06944444444444445,0.178,0.06329113924050633,0.0830188679245283,0.05179282868525897,0.05449591280653951,0.0703125,0.0625,0.15467625899280577,0.2264957264957265,0.1780821917808219,0.14184397163120568,0.18181818181818182,0.038461538461538464,0.5416666666666666,0.3176178660049628,0.546875,0.6306306306306306,0.7,0.45161290322580644,0.44505494505494503,0.48214285714285715,0.4691358024691358,0.228287841191067,0.40217391304347827,0.4065934065934066,0.918918918918919,,,,,0.0024813895781637717,,,,0.5849056603773585,,,,,,,0.36363636363636365,0.55,,,,,0.3200992555831266,,0.44165694789081916,0.49895416666666675,0.42540545454545464,0.20366598778004075,0.20408163265306123,,0.12477064220183487,0.1577981651376147,7.779104477611936,25.8,0.16150870406189555,14.0,18.0,1.0,16.0,6.0,,,12.0,0.32,0.014705882352941176,0.45161290322580644,0.21428571428571427,,,1.0,3.0,2.0,,,1.0,1.0,1.0,True,
