EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsPutbacks,LostBallOutOfBoundsTurnovers,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3Assists,FTDefRebounds,OffensiveGoaltends,Defensive 3 Seconds Violations,DefFTReboundPct,OffShortMidRangeReboundPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PtsUnassisted3s,HeaveAttempts,Blocked3s,BlockedArc3,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,DefensiveGoaltends,OffCorner3ReboundPct,3SecondViolations,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,HeaveMakes,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked
147,1610612741,Jalen Rose,Jalen Rose,147,CHI,22264.0,371.0,-88.0,708,710,156,218,78.0,1418,15.0,27.0,2.0,5.0,5.0,17.0,41.0,37.0,86.0,5.0,2.0,13.0,27.0,3.0,4.0,1.0,4.0,69.0,154.0,13.0,32.0,44.0,221.0,813.0,4.0,13.0,3.0,4.0,1.0,18.0,19.0,30.0,1.0,6.0,14.0,55.0,84.0,54.0,39.0,27.0,13.0,5.0,53.0,10.0,63.0,10.0,29.0,9.0,15.0,136.0,1.0,2.0,4.0,22.0,26.0,3.0,29.0,1.0,8.0,4.0,4.0,21.0,4.0,14.0,9.0,7.0,1.0,30.0,3.0,7.0,14.0,33.0,3.0,48.0,1.0,1.0,20.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0,55.0,156,9.0,0.6086956521739131,0.6086956521739131,1.0,0.40625,0.75,0.16666666666666666,0.40625,0.44805194805194803,0.3076923076923077,0.6333333333333333,0.47580645161290325,0.5,0.5694444444444444,0.5263157894736842,0.5,0.625,0.17204301075268819,0.032467532467532464,0.037037037037037035,0.07317073170731707,0.011627906976744186,30.100755667506295,0.7,0.0842911877394636,0.007722007722007722,0.06451612903225806,0.019230769230769232,0.0804953560371517,0.00964630225080386,0.014705882352941176,0.008264462809917356,0.024390243902439025,0.07142857142857142,0.078125,0.09448818897637795,0.06521739130434782,0.0625,0.010309278350515464,0.8,0.14516129032258066,0.5555555555555556,0.5769230769230769,0.6,0.22043010752688172,0.4146341463414634,0.4473684210526316,0.47058823529411764,0.46236559139784944,0.43023255813953487,0.43529411764705883,0.6756756756756757,0.026881720430107527,0.14516129032258066,0.48148148148148145,0.48148148148148145,1.0,0.11764705882352941,0.23529411764705882,0.75,1.0,0.1388888888888889,1.0,0.05555555555555555,0.1111111111111111,0.25,0.3172043010752688,0.48148148148148145,0.4528817204301074,0.44829230769230777,0.445875,0.0975609756097561,0.11560693641618497,0.08144796380090498,0.248868778280543,12.788311688311687,25.056250000000002,0.22033898305084745,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1944,1610612741,Eddie Robinson,Eddie Robinson,1944,CHI,8534.0,142.0,-14.0,271,269,46,75,26.0,540,5.0,8.0,3.0,1.0,1.0,3.0,10.0,7.0,24.0,,,,,,,,,15.0,42.0,,,10.0,40.0,301.0,4.0,6.0,,,,8.0,1.0,1.0,,,4.0,6.0,20.0,10.0,,,,2.0,7.0,,7.0,,2.0,,5.0,14.0,3.0,1.0,3.0,7.0,10.0,4.0,14.0,,8.0,8.0,,4.0,,1.0,3.0,3.0,,7.0,,1.0,7.0,10.0,,12.0,,,6.0,,2.0,1.0,,1.0,2.0,1.0,6.0,46,1.0,0.6666666666666666,0.7142857142857143,,,,,,0.35714285714285715,0.6666666666666666,1.0,0.35714285714285715,0.6666666666666666,1.0,0.4166666666666667,0.6666666666666666,1.0,,0.047619047619047616,,0.2,,18.394648829431436,0.5714285714285714,0.07291666666666667,0.009708737864077669,0.13043478260869565,0.2,0.08403361344537816,0.03389830508474576,,0.015873015873015872,0.23076923076923078,0.10714285714285714,0.047619047619047616,0.06382978723404255,0.125,0.14285714285714285,,0.5,0.19047619047619047,0.625,0.625,0.6,0.23809523809523808,0.3,0.375,1.0,0.5714285714285714,0.2916666666666667,0.2916666666666667,0.5714285714285714,,,,,,0.5,,,,1.0,1.0,,,,0.19047619047619047,,0.4476619047619047,0.47255,0.5115,0.125,0.125,0.2,0.15,12.485714285714286,,0.16974169741697417,2.0,2.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2033,1610612741,Marcus Fizer,Marcus Fizer,2033,CHI,11375.0,190.0,-55.0,366,372,113,142,33.0,738,17.0,35.0,6.0,6.0,12.0,7.0,22.0,4.0,11.0,2.0,2.0,,,,,,,28.0,68.0,,2.0,17.0,73.0,432.0,2.0,6.0,,,1.0,5.0,12.0,23.0,,2.0,7.0,31.0,38.0,18.0,,,,6.0,6.0,4.0,10.0,3.0,1.0,,5.0,24.0,1.0,11.0,3.0,19.0,27.0,12.0,39.0,3.0,2.0,1.0,1.0,7.0,,4.0,6.0,3.0,,13.0,1.0,5.0,7.0,17.0,4.0,24.0,2.0,,9.0,4.0,4.0,2.0,,2.0,4.0,2.0,31.0,113,,0.6785714285714286,0.7037037037037037,,,,,,0.4117647058823529,0.3333333333333333,0.5217391304347826,0.4,0.3333333333333333,0.48,0.4506172839506173,0.35714285714285715,0.5,0.02857142857142857,0.08823529411764706,0.05714285714285714,0.18181818181818182,,23.325062034739453,0.5384615384615384,0.1557377049180328,0.07913669064748201,0.09375,0.041666666666666664,0.14285714285714285,0.0736196319018405,0.10256410256410256,0.09523809523809523,0.05263157894736842,0.21875,0.19230769230769232,0.109375,0.125,,0.08571428571428572,0.5,0.5,0.4857142857142857,0.5151515151515151,0.6470588235294118,0.3142857142857143,0.3181818181818182,0.3888888888888889,0.5714285714285714,0.15714285714285714,0.36363636363636365,0.36363636363636365,1.0,0.02857142857142857,,,,,1.0,,,,0.48,0.5,0.08,,,0.5285714285714286,,0.48343428571428576,0.6100666666666666,0.49394000000000005,0.11688311688311688,0.12,0.0684931506849315,0.4246575342465753,5.864705882352942,23.15,0.3087431693989071,2.0,2.0,,0.3333333333333333,,1.0,5.0,1.0,1.0,0.4166666666666667,0.02702702702702703,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
2037,1610612741,Jamal Crawford,Jamal Crawford,2037,CHI,28899.0,482.0,-131.0,921,923,204,272,101.0,1844,8.0,14.0,,,2.0,18.0,29.0,37.0,86.0,8.0,4.0,21.0,50.0,1.0,2.0,6.0,14.0,63.0,129.0,26.0,58.0,10.0,214.0,1062.0,5.0,6.0,1.0,4.0,,13.0,12.0,28.0,8.0,18.0,3.0,51.0,42.0,84.0,66.0,49.0,21.0,3.0,47.0,8.0,55.0,8.0,21.0,4.0,22.0,118.0,,5.0,7.0,22.0,29.0,5.0,34.0,2.0,18.0,13.0,5.0,22.0,5.0,17.0,10.0,5.0,,32.0,2.0,7.0,11.0,18.0,,13.0,3.0,,7.0,1.0,4.0,1.0,2.0,1.0,5.0,2.0,51.0,204,3.0,0.3333333333333333,0.35,0.8461538461538461,0.4482758620689655,0.25,0.4444444444444444,0.45614035087719296,0.4883720930232558,0.8333333333333334,0.42857142857142855,0.5454545454545454,0.65,0.5217391304347826,0.5572916666666666,0.65,0.5204081632653061,0.31016042780748665,0.023255813953488372,,,0.03488372093023256,21.684414327202322,0.6875,0.0658682634730539,0.014367816091954023,0.0875,,0.07004830917874397,0.01201923076923077,,0.017045454545454544,,0.07368421052631578,0.075,0.05660377358490566,0.05084745762711865,0.19047619047619047,0.021505376344086023,0.4,0.0748663101604278,0.5714285714285714,0.5714285714285714,0.625,0.15508021390374332,0.6206896551724138,0.6206896551724138,0.3333333333333333,0.45989304812834225,0.43023255813953487,0.4457831325301205,0.2702702702702703,0.0427807486631016,0.26737967914438504,0.42,0.42,0.8095238095238095,,0.2,0.5,1.0,0.043478260869565216,,0.08695652173913043,0.30434782608695654,0.42857142857142855,0.3850267379679144,0.42857142857142855,0.4543077956989247,0.47310555555555556,0.44571333333333335,0.03664921465968586,0.05263157894736842,0.06074766355140187,0.2383177570093458,14.424031007751939,25.793103448275865,0.22149837133550487,,6.0,3.0,,,,,,2.0,,0.023255813953488372,5.0,2.0,2.0,12.0,1.0,1.0,1.0,0.625,0.625,1.0,0.2,0.5,,,,,True,,,,,,,,,,,,,
2053,1610612741,Dalibor Bagaric,Dalibor Bagaric,2053,CHI,11810.0,197.0,-57.0,368,368,81,118,48.0,736,17.0,29.0,10.0,3.0,5.0,6.0,16.0,2.0,8.0,,,,,,,,,25.0,53.0,,,11.0,61.0,424.0,8.0,12.0,,,2.0,18.0,6.0,12.0,,,1.0,13.0,26.0,24.0,,,,6.0,8.0,2.0,10.0,2.0,4.0,2.0,2.0,22.0,3.0,24.0,5.0,22.0,30.0,27.0,57.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,1.0,2.0,9.0,2.0,3.0,12.0,25.0,1.0,19.0,1.0,,10.0,,5.0,3.0,,2.0,5.0,4.0,13.0,81,2.0,0.52,0.65,,,,,,0.4716981132075472,0.6666666666666666,0.5,0.4716981132075472,0.6666666666666666,0.5,0.49193548387096775,0.6923076923076923,0.5,,0.11320754716981132,0.20689655172413793,,,16.784869976359335,0.4444444444444444,0.15714285714285714,0.14906832298136646,0.1724137931034483,0.1111111111111111,0.15976331360946747,0.14361702127659576,0.20588235294117646,0.09090909090909091,0.09523809523809523,0.15384615384615385,0.17647058823529413,0.14925373134328357,0.10526315789473684,0.3,0.13636363636363635,0.8,0.5471698113207547,0.5862068965517241,0.7391304347826086,0.47058823529411764,0.3018867924528302,0.375,0.375,0.5,0.1509433962264151,0.25,0.25,1.0,,,,,,0.8333333333333334,,,,0.4166666666666667,0.6,,,,0.5471698113207547,,0.48840754716981133,0.5476090909090909,0.45246666666666674,0.16129032258064516,0.16129032258064516,0.29508196721311475,0.21311475409836064,5.469811320754717,,0.22010869565217392,7.0,10.0,1.0,0.7,0.14285714285714285,,3.0,,,0.375,0.23076923076923078,,,,,,,,,,,,,2.0,2.0,0.16666666666666666,,True,,,,,,,,,,,,,
2199,1610612741,Tyson Chandler,Tyson Chandler,2199,CHI,14393.0,240.0,-81.0,467,468,91,112,54.0,935,24.0,37.0,8.0,6.0,7.0,4.0,11.0,,2.0,,,,,,,,,28.0,50.0,,,24.0,80.0,561.0,6.0,10.0,,,1.0,13.0,6.0,8.0,,,8.0,20.0,42.0,14.0,,,,2.0,6.0,2.0,8.0,1.0,3.0,1.0,2.0,18.0,3.0,14.0,9.0,33.0,48.0,17.0,65.0,1.0,4.0,3.0,1.0,12.0,,9.0,8.0,3.0,1.0,20.0,,5.0,16.0,29.0,5.0,33.0,3.0,,16.0,2.0,14.0,7.0,1.0,6.0,14.0,9.0,20.0,91,1.0,0.75,0.9130434782608695,,,,,,0.56,0.6,0.75,0.56,0.6,0.75,0.6153846153846154,0.5909090909090909,0.7142857142857143,,0.04,0.05405405405405406,,,16.19047619047619,0.6,0.1864406779661017,0.0875,0.2571428571428571,0.08571428571428572,0.19811320754716982,0.08717948717948718,0.09523809523809523,0.08860759493670886,0.11538461538461539,0.2,0.18604651162790697,0.17721518987341772,0.2692307692307692,0.2222222222222222,0.05263157894736842,0.6428571428571429,0.74,0.6486486486486487,0.6857142857142857,0.7083333333333334,0.22,0.36363636363636365,0.36363636363636365,1.0,0.04,,,,,,,,,0.8,,,,0.875,0.8571428571428571,,,,0.74,,0.544532,0.52623,0.5636125000000001,0.25396825396825395,0.25396825396825395,0.1625,0.25,2.444,,0.1948608137044968,5.0,10.0,1.0,0.625,,1.0,6.0,,1.0,0.35294117647058826,0.07692307692307693,,,,,,,,,,,,,1.0,2.0,,1.0,True,,,,,,,,,,,,,
891,1610612741,Charles Oakley,Charles Oakley,891,CHI,8444.0,141.0,-26.0,258,259,39,75,24.0,517,,,,,,,1.0,10.0,25.0,,,,,,,,,10.0,26.0,,,1.0,21.0,280.0,,3.0,,,,,1.0,4.0,,,,2.0,20.0,,,,,,12.0,3.0,15.0,2.0,5.0,2.0,5.0,33.0,2.0,2.0,7.0,14.0,23.0,4.0,27.0,1.0,6.0,2.0,4.0,6.0,1.0,6.0,1.0,,,7.0,,,19.0,24.0,,2.0,,,1.0,,4.0,4.0,,,4.0,1.0,2.0,39,2.0,1.0,1.0,,,,,,0.38461538461538464,,0.25,0.38461538461538464,,0.25,0.3888888888888889,,0.25,,,,,,11.971830985915494,0.8571428571428571,0.15555555555555556,0.018518518518518517,0.22580645161290322,0.10526315789473684,0.17355371900826447,0.031496062992125984,,0.03278688524590164,0.125,0.20833333333333334,0.09523809523809523,0.15555555555555556,0.23809523809523808,0.2,0.0625,0.25,,,,,0.038461538461538464,,,,0.9615384615384616,0.4,0.4,1.0,,,,,,,,,,,,,,,,,0.40444230769230766,0.3805,0.38895,0.037037037037037035,0.037037037037037035,,0.09523809523809523,17.58076923076923,,0.1511627906976744,,,,,,1.0,2.0,,1.0,0.2,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,
2201,1610612741,Eddy Curry,Eddy Curry,2201,CHI,11273.0,188.0,-43.0,364,366,75,87,42.0,730,26.0,35.0,11.0,3.0,4.0,4.0,11.0,4.0,9.0,,,,,,,,,34.0,55.0,,,23.0,91.0,418.0,9.0,12.0,,,6.0,24.0,4.0,6.0,,,6.0,14.0,52.0,16.0,,,,5.0,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,1.0,13.0,1.0,23.0,29.0,14.0,43.0,2.0,2.0,2.0,,4.0,,2.0,7.0,2.0,,11.0,,1.0,11.0,24.0,6.0,32.0,4.0,,17.0,1.0,5.0,4.0,,1.0,5.0,2.0,14.0,75,2.0,0.7647058823529411,0.896551724137931,,,,,,0.6181818181818182,0.75,0.6666666666666666,0.6181818181818182,0.75,0.6666666666666666,0.6594202898550725,0.8,0.7,,0.09090909090909091,0.11428571428571428,0.09090909090909091,,19.559902200489,0.36363636363636365,0.16911764705882354,0.10743801652892562,0.03333333333333333,0.034482758620689655,0.14457831325301204,0.09333333333333334,0.09375,0.09090909090909091,0.043478260869565216,0.125,0.11428571428571428,0.22950819672131148,0.041666666666666664,,0.125,0.4,0.6363636363636364,0.7428571428571429,0.8387096774193549,0.6923076923076923,0.2,0.36363636363636365,0.4,1.0,0.16363636363636364,0.4444444444444444,0.4444444444444444,1.0,,,,,,0.9166666666666666,,,,0.6666666666666666,0.75,,,,0.6363636363636364,,0.5266345454545455,0.5716222222222221,0.6324666666666667,0.25,0.25,0.26373626373626374,0.15384615384615385,4.249090909090909,,0.20604395604395603,9.0,10.0,1.0,0.8181818181818182,0.2222222222222222,,5.0,,,0.35714285714285715,0.14705882352941177,,,,,,,,,,,,,3.0,1.0,,,True,,,,,,,,,,,,,
2239,1610612741,Trenton Hassell,Trenton Hassell,2239,CHI,16418.0,274.0,-92.0,522,528,121,154,61.0,1050,18.0,23.0,4.0,1.0,1.0,2.0,7.0,9.0,25.0,4.0,1.0,3.0,15.0,,1.0,,5.0,29.0,55.0,3.0,19.0,13.0,80.0,614.0,4.0,7.0,,1.0,,8.0,2.0,5.0,,6.0,6.0,10.0,34.0,24.0,9.0,14.0,3.0,2.0,30.0,6.0,36.0,5.0,11.0,10.0,9.0,78.0,,8.0,6.0,29.0,35.0,8.0,43.0,1.0,7.0,5.0,2.0,8.0,3.0,5.0,7.0,3.0,1.0,15.0,1.0,2.0,13.0,28.0,1.0,14.0,2.0,,6.0,2.0,7.0,2.0,3.0,2.0,7.0,4.0,10.0,121,3.0,0.5862068965517241,0.6071428571428571,1.0,0.15789473684210525,,,0.16666666666666666,0.5272727272727272,0.5714285714285714,0.4,0.4527027027027027,0.5,0.18181818181818182,0.5,0.5,0.35714285714285715,0.25675675675675674,0.03636363636363636,0.043478260869565216,0.14285714285714285,,16.101694915254235,0.5333333333333333,0.15104166666666666,0.0425531914893617,0.13043478260869565,,0.14705882352941177,0.03524229074889868,0.09523809523809523,0.03125,,0.14814814814814814,0.11538461538461539,0.1744186046511628,0.12121212121212122,0.15384615384615385,0.02631578947368421,0.5714285714285714,0.3108108108108108,0.782608695652174,0.8181818181818182,0.5,0.0945945945945946,0.2857142857142857,0.3333333333333333,0.5,0.33783783783783783,0.36,0.36,0.7777777777777778,0.05405405405405406,0.20270270270270271,0.2,0.2,1.0,0.5,0.125,,,0.09090909090909091,1.0,0.09090909090909091,0.45454545454545453,,0.5675675675675675,0.21428571428571427,0.49309444444444434,0.49085,0.4312611111111111,0.07692307692307693,0.1016949152542373,0.1,0.125,9.834545454545454,26.97368421052631,0.23180076628352492,4.0,2.0,2.0,1.0,,1.0,,,,,0.02,,,,,1.0,,,,,,,,1.0,,,,True,,,,,,,,,,,,,
697,1610612741,Fred Hoiberg,Fred Hoiberg,697,CHI,8885.0,148.0,-49.0,289,283,61,74,27.0,572,5.0,11.0,1.0,,1.0,,,4.0,10.0,1.0,,3.0,6.0,,,1.0,1.0,9.0,21.0,3.0,7.0,14.0,41.0,317.0,1.0,2.0,,,3.0,5.0,,1.0,1.0,1.0,4.0,7.0,12.0,6.0,9.0,6.0,3.0,3.0,14.0,3.0,17.0,3.0,6.0,3.0,5.0,37.0,2.0,1.0,5.0,13.0,20.0,3.0,23.0,,5.0,4.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,1.0,4.0,11.0,,15.0,1.0,,7.0,1.0,,,,,,,7.0,61,1.0,0.6666666666666666,0.75,1.0,0.42857142857142855,,1.0,0.42857142857142855,0.42857142857142855,0.5,,0.48214285714285715,0.5,0.75,0.5857142857142857,0.625,0.875,0.25,0.14285714285714285,0.2727272727272727,,,11.526479750778817,0.5,0.13131313131313133,0.008130081300813009,0.1724137931034483,0.08695652173913043,0.140625,0.02054794520547945,,0.016129032258064516,0.125,0.06451612903225806,0.09523809523809523,0.19148936170212766,0.20833333333333334,,,,0.39285714285714285,0.45454545454545453,0.625,0.4,,,,,0.35714285714285715,0.4,0.4,1.0,0.03571428571428571,0.21428571428571427,0.5,0.5,1.0,0.5,,,,0.5,,,0.5,1.0,0.6428571428571429,0.5,0.5274714285714286,0.4927,0.58755,0.20588235294117646,0.25925925925925924,0.12195121951219512,0.17073170731707318,9.166666666666666,24.900000000000002,0.21107266435986158,1.0,2.0,,1.0,,,2.0,,,0.15384615384615385,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
