EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,ThreePtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedAtRim,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,PtsUnassisted3s,SecondChanceCorner3Frequency,HeaveAttempts,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,on,Corner3PctBlocked
1085,1610612755,Ira Bowman,Ira Bowman,1085,PHI,560.0,9,1,17,17,9,12,2,34,1.0,1.0,1.0,1,2.0,10,1.0,1,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1,2.0,9,1.0,1.0,1.0,1.0,1.0,1.0,5.2631578947368425,1.0,1.0,1.0,0.401,0.401,1.0,11.2,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,23293.0,388,-3,714,718,212,189,106,1432,8.0,25.0,47.0,105,160.0,725,14.0,27,50.0,30.0,16.0,21.0,4.0,47.0,12.0,33,50.0,212,0.44761904761904764,0.5185185185185185,0.5041666666666667,0.5483870967741935,0.5528169014084507,0.6025641025641025,18.86120996441281,0.20833333333333334,0.32,0.4,0.45622458333333327,0.443158064516129,0.3125,9.885714285714288,0.2969187675070028,23.0,35.0,12.0,17.0,5.0,10.0,16.0,45.0,5.0,10.0,1.0,4.0,5.0,1.0,2.0,3.0,9.0,15.0,39.0,14.0,20.0,1.0,9.0,37.0,2.0,4.0,16.0,64.0,27.0,18.0,5.0,4.0,7.0,5.0,5.0,5.0,7.0,5.0,24.0,2.0,12.0,42.0,6.0,60.0,31.0,91.0,6.0,11.0,7.0,4.0,4.0,1.0,2.0,13.0,5.0,2.0,2.0,17.0,2.0,4.0,3.0,3.0,48.0,1.0,3.0,18.0,5.0,1.0,6.0,0.6808510638297872,0.8421052631578947,1.0,0.6,0.5,0.6,0.7,0.6666666666666666,0.6851851851851852,0.125,0.06666666666666667,0.02857142857142857,0.2,0.022222222222222223,0.23529411764705882,0.25,0.07692307692307693,0.15613382899628253,0.0821917808219178,0.14285714285714285,0.1,0.1529745042492918,0.0847953216374269,0.09090909090909091,0.08,0.0782608695652174,0.02857142857142857,0.26666666666666666,0.08928571428571429,0.15625,0.18803418803418803,0.1267605633802817,0.23076923076923078,0.10526315789473684,0.2916666666666667,0.6571428571428571,0.6764705882352942,0.5217391304347826,0.75,0.375,0.35555555555555557,0.36363636363636365,0.875,0.08333333333333333,0.5,0.5,1.0,0.041666666666666664,0.8,0.8,1.0,0.8095238095238095,0.7058823529411765,0.08333333333333333,0.047619047619047616,0.3225806451612903,0.5,0.03225806451612903,0.0967741935483871,0.6666666666666666,0.4166666666666667,0.8,0.5360083333333334,0.13138686131386862,0.14754098360655737,0.23125,24.166666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,53533.0,892,-118,1690,1699,637,582,244,3389,21.0,46.0,91.0,196,254.0,1744,29.0,57,98.0,62.0,57.0,71.0,20.0,156.0,37.0,109,98.0,637,0.4642857142857143,0.5087719298245614,0.45416666666666666,0.5189873417721519,0.4828897338403042,0.5444444444444444,15.71500757958565,0.19166666666666668,0.45652173913043476,0.5121951219512195,0.47942083333333296,0.4810253164556962,0.3858267716535433,9.916836734693875,0.3769230769230769,38.0,64.0,4.0,6.0,14.0,20.0,32.0,86.0,6.0,20.0,10.0,6.0,24.0,6.0,6.0,12.0,12.0,44.0,36.0,10.0,20.0,6.0,2.0,34.0,8.0,22.0,16.0,120.0,36.0,8.0,24.0,6.0,15.0,14.0,7.0,13.0,24.0,6.0,23.0,2.0,16.0,51.0,13.0,80.0,31.0,111.0,3.0,21.0,8.0,13.0,27.0,4.0,16.0,21.0,2.0,11.0,3.0,48.0,4.0,25.0,6.0,7.0,48.0,1.0,,17.0,6.0,,13.0,0.6593406593406593,0.6896551724137931,1.0,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.5,0.6153846153846154,0.6071428571428571,0.18333333333333332,0.07653061224489796,0.109375,0.10869565217391304,0.03488372093023256,0.5625,0.20967741935483872,0.031746031746031744,0.08319738988580751,0.033773861967694566,0.07804878048780488,0.05,0.08190709046454768,0.03620474406991261,0.0273224043715847,0.03463203463203463,0.03745318352059925,0.054945054945054944,0.034482758620689655,0.07643312101910828,0.06280193236714976,0.10441767068273092,0.08426966292134831,0.037037037037037035,0.025,0.26666666666666666,0.59375,0.6666666666666666,0.631578947368421,0.38095238095238093,0.35833333333333334,0.37209302325581395,0.3855421686746988,0.875,0.08333333333333333,0.3,0.3,1.0,0.1,0.25,0.2608695652173913,1.0,0.23076923076923078,0.6666666666666666,0.25,0.23076923076923078,0.25316455696202533,0.7,0.12658227848101267,0.1518987341772152,0.5,0.45,0.25,0.4776239130434783,0.07003891050583658,0.08018867924528301,0.13385826771653545,25.093181818181822,2.0,4.0,4.0,1.0,7.0,1.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,0.6666666666666666,0.022727272727272728,0.041666666666666664,1.0,0.6666666666666666,1.0,0.2,0.022222222222222223,,,,,,,,,,,,,True,
761,1610612755,Matt Geiger,Matt Geiger,761,PHI,1023.0,17,-10,31,32,8,10,3,63,,3.0,1.0,6,3.0,34,,1,,2.0,,,,,1.0,1,,8,0.16666666666666666,,0.16666666666666666,,0.21428571428571427,,26.470588235294116,0.5,,,0.4362333333333333,0.5655,,8.983333333333333,0.25806451612903225,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,3.0,,,,,,2.0,,,,,,,,,1.0,,2.0,,,2.0,1.0,3.0,,,,,2.0,,1.0,,,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,,1.0,1.0,0.75,,,,,,1.0,,,,0.07142857142857142,0.4,,0.11764705882352941,0.058823529411764705,,0.1111111111111111,,,,,,,0.5,,,0.3333333333333333,0.5,0.5,,,0.16666666666666666,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,0.3333333333333333,,0.5758,0.14285714285714285,0.14285714285714285,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,
934,1610612755,Derrick Coleman,Derrick Coleman,934,PHI,24855.0,414,-55,754,756,234,186,97,1510,21.0,53.0,62.0,137,173.0,804,16.0,36,48.0,60.0,18.0,20.0,14.0,42.0,22.0,41,48.0,234,0.45255474452554745,0.4444444444444444,0.4444444444444444,0.4069767441860465,0.5,0.48,23.10344827586207,0.3464052287581699,0.39622641509433965,0.45652173913043476,0.45400653594771245,0.44494651162790705,0.2774566473988439,7.0357664233576624,0.3103448275862069,36.0,57.0,16.0,20.0,10.0,15.0,5.0,27.0,,1.0,,4.0,15.0,3.0,1.0,7.0,4.0,16.0,37.0,16.0,24.0,3.0,7.0,42.0,1.0,7.0,13.0,64.0,12.0,26.0,15.0,4.0,22.0,2.0,1.0,3.0,1.0,5.0,24.0,,6.0,55.0,4.0,65.0,29.0,94.0,4.0,14.0,9.0,5.0,14.0,2.0,5.0,14.0,3.0,9.0,2.0,28.0,1.0,11.0,3.0,5.0,48.0,8.0,,24.0,4.0,1.0,5.0,0.5161290322580645,0.6530612244897959,1.0,0.25,0.14285714285714285,0.25,0.6666666666666666,0.6481481481481481,0.6774193548387096,0.10457516339869281,0.16058394160583941,0.21052631578947367,0.1320754716981132,0.1111111111111111,0.5,0.21052631578947367,,0.1858108108108108,0.08362369337979095,0.07792207792207792,0.08771929824561403,0.16353887399463807,0.08430232558139535,0.1,0.0891089108910891,0.0660377358490566,0.09302325581395349,0.07142857142857142,0.2,0.19626168224299065,0.16666666666666666,0.08823529411764706,,0.0625,0.37254901960784315,0.631578947368421,0.8,0.5277777777777778,0.5238095238095238,0.17647058823529413,0.18518518518518517,0.20833333333333334,0.4,0.006535947712418301,,,,0.09803921568627451,0.26666666666666666,0.2857142857142857,1.0,0.7407407407407407,0.8,0.1875,0.1111111111111111,0.3488372093023256,0.6666666666666666,,0.16279069767441862,0.14285714285714285,0.477124183006536,0.26666666666666666,0.5479375,0.14201183431952663,0.1568627450980392,0.24277456647398843,26.59375,,1.0,1.0,1.0,1.0,,10.0,,,3.0,10.0,7.0,2.0,,0.3333333333333333,0.0625,0.06666666666666667,0.7,0.3333333333333333,1.0,,,6.0,1.0,2.0,,,,,,,,,,True,
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,33559.0,559,-24,1013,1013,295,236,133,2026,24.0,61.0,64.0,125,191.0,1048,14.0,23,52.0,48.0,12.0,16.0,7.0,36.0,20.0,39,52.0,295,0.512,0.6086956521739131,0.512,0.6086956521739131,0.5858895705521472,0.6341463414634146,17.421007685738683,0.488,0.39344262295081966,0.4067796610169492,0.461752,0.5146347826086958,0.27225130890052357,5.0744,0.2912142152023692,39.0,58.0,13.0,26.0,10.0,14.0,1.0,6.0,,,,,,,,,,,63.0,15.0,34.0,,20.0,50.0,,,24.0,80.0,,26.0,,,8.0,4.0,2.0,1.0,4.0,3.0,51.0,2.0,26.0,83.0,9.0,118.0,56.0,174.0,5.0,5.0,1.0,4.0,11.0,1.0,3.0,30.0,3.0,8.0,7.0,41.0,9.0,9.0,2.0,10.0,81.0,5.0,,31.0,12.0,8.0,2.0,0.625,0.7843137254901961,,,,,0.4411764705882353,0.4411764705882353,0.5319148936170213,,0.064,0.10344827586206896,0.03278688524590164,,0.2682926829268293,0.36,0.07142857142857142,0.2128205128205128,0.12439024390243902,0.1984732824427481,0.05454545454545454,0.2092130518234165,0.11612903225806452,0.16981132075471697,0.10344827586206896,0.11320754716981132,0.04878048780487805,0.07142857142857142,0.21839080459770116,0.20634920634920634,0.21468926553672316,0.19626168224299065,0.20833333333333334,0.09433962264150944,0.464,0.6724137931034483,0.75,0.6410256410256411,0.625,0.048,0.16666666666666666,0.16666666666666666,,,,,,,,,,0.7647058823529411,0.5,,,0.6086956521739131,0.7142857142857143,,,,0.464,,0.5102794117647058,0.2052980132450331,0.2052980132450331,0.2617801047120419,,,,,,2.0,,37.0,,,9.0,37.0,26.0,5.0,,,,,0.7027027027027027,,,,,27.0,1.0,12.0,,,,,,,,,,True,
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,12214.0,204,-73,423,418,232,234,54,841,9.0,20.0,31.0,65,98.0,440,11.0,30,42.0,30.0,19.0,21.0,9.0,44.0,9.0,22,42.0,232,0.47692307692307695,0.36666666666666664,0.5,0.42045454545454547,0.521978021978022,0.44680851063829785,23.26530612244898,0.23255813953488372,0.45,0.45,0.45498372093023254,0.4269693181818182,0.42857142857142855,9.393846153846154,0.5484633569739953,12.0,20.0,,,3.0,8.0,10.0,25.0,2.0,4.0,2.0,6.0,17.0,2.0,4.0,12.0,8.0,21.0,12.0,1.0,6.0,4.0,2.0,4.0,5.0,14.0,5.0,32.0,21.0,,17.0,6.0,,2.0,1.0,2.0,8.0,1.0,3.0,1.0,10.0,12.0,1.0,23.0,5.0,28.0,1.0,8.0,4.0,4.0,14.0,3.0,8.0,9.0,3.0,6.0,,23.0,1.0,15.0,2.0,,16.0,3.0,3.0,7.0,1.0,,3.0,0.5161290322580645,0.5161290322580645,0.875,0.38095238095238093,0.35714285714285715,0.38095238095238093,0.16666666666666666,0.1,0.18181818181818182,0.2441860465116279,,,,,0.6086956521739131,0.03571428571428571,0.1,0.09523809523809523,0.018633540372670808,0.21739130434782608,0.029411764705882353,0.12790697674418605,0.020512820512820513,,,0.047619047619047616,0.041666666666666664,,0.09375,0.09090909090909091,0.1,0.225,0.16666666666666666,0.021739130434782608,0.23255813953488372,0.6,0.6,0.6666666666666666,,0.29069767441860467,0.4,0.4,0.8,0.046511627906976744,0.5,0.5,1.0,0.19767441860465115,0.35294117647058826,0.35294117647058826,0.8333333333333334,,,,0.2,0.18181818181818182,0.375,0.045454545454545456,0.2727272727272727,0.3333333333333333,0.47674418604651164,0.35294117647058826,0.39235,0.07777777777777778,0.10144927536231885,0.04081632653061224,26.16190476190476,1.0,,,,1.0,,4.0,,,1.0,4.0,3.0,,1.0,,,,0.75,,,0.5,,1.0,2.0,,2.0,3.0,0.2,,,,,,,True,
2245,1610612755,Damone Brown,Damone Brown,2245,PHI,3111.0,52,-26,113,114,58,82,15,227,2.0,5.0,8.0,19,22.0,120,5.0,10,13.0,8.0,2.0,2.0,2.0,4.0,,9,13.0,58,0.42105263157894735,0.5,0.4,0.45454545454545453,0.4772727272727273,0.5416666666666666,24.031007751937985,0.25,0.4,0.4,0.46826999999999996,0.4488454545454546,0.5909090909090909,10.226315789473682,0.5132743362831859,3.0,6.0,,2.0,1.0,2.0,3.0,8.0,,,,,1.0,,,1.0,,1.0,6.0,,2.0,,,,,1.0,3.0,8.0,,,1.0,,,,,,,1.0,1.0,,,2.0,,2.0,2.0,4.0,,1.0,1.0,,6.0,,4.0,3.0,1.0,2.0,,9.0,,4.0,1.0,2.0,6.0,1.0,1.0,3.0,,,3.0,0.5,0.5,,,,,,,,0.05,,,,,0.6666666666666666,,,0.08,0.025,,0.2,0.05128205128205128,0.044444444444444446,0.07692307692307693,,,0.2,,0.1111111111111111,0.2,,,,,0.3,0.5,0.5,0.3333333333333333,0.5,0.4,0.375,0.375,0.6666666666666666,,,,,0.05,,,,1.0,,,,0.18181818181818182,0.5,,0.09090909090909091,,0.35,,0.589,0.13636363636363635,0.14285714285714285,,25.2,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,True,
916,1610612755,Corie Blount,Corie Blount,916,PHI,19241.0,321,-68,595,599,205,197,86,1194,5.0,23.0,17.0,58,38.0,616,7.0,21,14.0,12.0,5.0,10.0,4.0,25.0,19.0,50,14.0,205,0.29310344827586204,0.3333333333333333,0.29310344827586204,0.3333333333333333,0.3114754098360656,0.3333333333333333,10.714285714285714,0.39655172413793105,0.21739130434782608,0.23809523809523808,0.45049482758620685,0.46485714285714286,0.3684210526315789,8.24310344827586,0.3445378151260504,9.0,20.0,4.0,7.0,4.0,8.0,3.0,15.0,,,,,,,,,,,4.0,5.0,15.0,,2.0,12.0,,,,22.0,,10.0,,,6.0,5.0,4.0,,1.0,7.0,25.0,1.0,15.0,39.0,6.0,60.0,33.0,93.0,1.0,10.0,5.0,5.0,6.0,2.0,4.0,8.0,,2.0,,14.0,1.0,3.0,2.0,4.0,7.0,1.0,,4.0,,1.0,4.0,0.6470588235294118,0.9166666666666666,,,,,0.3333333333333333,0.3333333333333333,0.375,,0.10344827586206896,0.2,0.08695652173913043,,0.42857142857142855,0.2727272727272727,0.04,0.17567567567567569,0.09727626459143969,0.20270270270270271,0.14583333333333334,0.18243243243243243,0.10491803278688525,0.12307692307692308,0.07446808510638298,0.10204081632653061,0.08571428571428572,0.3076923076923077,0.125,0.18292682926829268,0.20238095238095238,0.18309859154929578,0.6666666666666666,0.02857142857142857,0.3448275862068966,0.45,0.5625,0.5555555555555556,0.8,0.25862068965517243,0.2,0.2,0.6666666666666666,,,,,,,,,0.4666666666666667,0.5714285714285714,,,0.38095238095238093,0.5,,,,0.3448275862068966,,0.4952214285714286,0.06557377049180328,0.06557377049180328,0.3157894736842105,,,,,,1.0,,5.0,,,1.0,5.0,2.0,,1.0,,,,0.4,,,,,4.0,,1.0,,,,,,,,,,True,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,22040.0,367,-35,696,698,268,263,114,1394,7.0,18.0,39.0,96,108.0,704,10.0,30,33.0,44.0,42.0,51.0,17.0,111.0,12.0,33,33.0,268,0.40625,0.3333333333333333,0.4,0.29411764705882354,0.452991452991453,0.4024390243902439,17.349397590361445,0.17142857142857143,0.3888888888888889,0.3888888888888889,0.47172163461538447,0.4615060606060606,0.3055555555555556,10.135416666666666,0.3850574712643678,17.0,35.0,3.0,5.0,5.0,8.0,15.0,43.0,1.0,3.0,1.0,1.0,6.0,1.0,,3.0,2.0,9.0,24.0,4.0,11.0,1.0,4.0,12.0,,4.0,13.0,34.0,6.0,2.0,5.0,1.0,8.0,9.0,4.0,6.0,19.0,2.0,9.0,,6.0,19.0,2.0,27.0,11.0,38.0,,21.0,14.0,7.0,19.0,4.0,13.0,8.0,2.0,6.0,,27.0,4.0,7.0,1.0,2.0,28.0,2.0,2.0,10.0,4.0,,7.0,0.4358974358974359,0.4473684210526316,1.0,0.2222222222222222,,0.25,0.36363636363636365,0.3333333333333333,0.42857142857142855,0.08571428571428572,0.08333333333333333,0.17142857142857143,,0.046511627906976744,0.7037037037037037,0.07142857142857142,,0.07539682539682539,0.030405405405405407,0.07142857142857142,0.0425531914893617,0.0744047619047619,0.03206997084548105,0.047619047619047616,0.02127659574468085,0.025423728813559324,0.03333333333333333,0.058823529411764705,0.15384615384615385,0.013888888888888888,0.058823529411764705,0.07042253521126761,0.07692307692307693,,0.3333333333333333,0.4857142857142857,0.5862068965517241,0.35294117647058826,0.2857142857142857,0.4095238095238095,0.3488372093023256,0.36585365853658536,0.6,0.02857142857142857,0.3333333333333333,0.3333333333333333,1.0,0.05714285714285714,0.16666666666666666,0.16666666666666666,1.0,0.4166666666666667,0.6,0.3333333333333333,0.08333333333333333,0.23529411764705882,0.625,0.029411764705882353,0.08823529411764706,,0.41904761904761906,0.2,0.47168888888888894,0.08849557522123894,0.09615384615384616,0.1111111111111111,27.699999999999996,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,True,
