EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGA,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,ShootingFouls,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyFG2M,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,PenaltyFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PenaltyFtPoints,PtsPutbacks,OffThreePtRebounds,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,on,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,Fg3aBlocked,Corner3Assists,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,FoulsDrawn,Offensive Fouls Drawn,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,HeaveMakes,HeaveAttempts,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,OffensiveGoaltends,BlockedCorner3
133,1610612766,David Wesley,David Wesley,133,CHH,954.0,16,10,29,30,10.0,17.0,4.0,59,1.0,3.0,1.0,3.0,2.0,23,1.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.11111111111111,0.09090909090909091,0.07692307692307693,0.07142857142857142,0.06666666666666667,0.25,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.38543333333333335,0.3491,18.133333333333336,0.3448275862068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1610612766,P.J. Brown,P.J. Brown,136,CHH,1042.0,17,11,31,29,15.0,16.0,4.0,60,,1.0,,3.0,2.0,23,,,1.0,,1.0,,,,2.0,2.0,1.0,2.0,2.0,4.0,,,,,,,15.0,,,,,0.25,10.526315789473685,0.07692307692307693,0.16666666666666666,0.11764705882352941,0.14285714285714285,0.16666666666666666,,0.3333333333333333,,,,0.5203000000000001,,5.833333333333333,0.4838709677419355,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.25,0.5,0.16666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5839,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,1610612766,Bryce Drew,Bryce Drew,1724,CHH,3769.0,63,2,123,124,52.0,58.0,15.0,247,1.0,6.0,3.0,13.0,15.0,120,6.0,2.0,8.0,2.0,10.0,2.0,2.0,1.0,22.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,,52.0,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.375,0.375,15.753424657534246,0.045454545454545456,0.02040816326530612,0.05263157894736842,0.017543859649122806,0.06666666666666667,,0.3,0.16666666666666666,0.16666666666666666,1.0,0.4347175,0.40915000000000007,12.5,0.42276422764227645,2.0,1.0,,2.0,,,,5.0,1.0,,,,,,,,,,0.07692307692307693,,0.08695652173913043,0.1,,0.1,0.3333333333333333,0.45,0.47657499999999997,,,,1.0,1.0,1.0,5.0,1.0,1.0,3.0,6.0,1.0,2.0,2.0,3.0,7.0,1.0,2.0,3.0,6.0,4.0,6.0,3.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.35,0.6666666666666666,0.07142857142857142,0.5,0.5,0.25,0.2,0.2,0.05,0.3,0.5,0.5,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.2222222222222222,1.0,0.5,0.4,24.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,1610612766,Jerome Moiso,Jerome Moiso,2040,CHH,4475.0,75,4,144,145,57.0,62.0,16.0,289,4.0,10.0,8.0,20.0,16.0,133,10.0,12.0,4.0,,4.0,,,3.0,8.0,4.0,14.0,21.0,4.0,25.0,3.0,,5.0,8.0,12.0,3.0,57.0,0.75,0.75,0.4,0.4,0.4,16.666666666666668,0.24561403508771928,0.06779661016949153,0.25,0.05714285714285714,0.13333333333333333,0.2727272727272727,0.5,0.4,0.4,0.75,0.437825,0.45637000000000005,9.829999999999998,0.3958333333333333,6.0,1.0,,3.0,,,3.0,1.0,4.0,,,2.0,2.0,2.0,,,0.15,0.16666666666666666,0.26666666666666666,0.07142857142857142,0.23076923076923078,0.3333333333333333,,0.3,0.3333333333333333,0.3,0.5795,,,,4.0,4.0,,4.0,,,,,,,,,,,,,14.0,4.0,,,,,,3.0,3.0,2.0,1.0,1.0,2.0,4.0,14.0,3.0,,,,,0.7,0.7,,0.375,,0.6666666666666666,0.8,0.2,,,,,,,,,0.4,,,,,0.875,,4.0,7.0,3.0,1.0,1.0,1.0,0.7,0.5,0.75,0.03333333333333333,0.2222222222222222,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612766,Jamaal Magloire,Jamaal Magloire,2048,CHH,2741.0,46,10,87,88,29.0,29.0,12.0,175,1.0,2.0,10.0,17.0,33.0,75,4.0,10.0,1.0,,1.0,,,,2.0,3.0,6.0,8.0,4.0,12.0,,,1.0,2.0,6.0,1.0,29.0,0.5,0.625,0.5882352941176471,0.5882352941176471,0.6875,24.528301886792452,0.17142857142857143,0.07692307692307693,0.17777777777777778,0.09090909090909091,0.09090909090909091,0.21428571428571427,0.11764705882352941,0.5,0.5,1.0,0.49579411764705883,0.4248,3.935294117647059,0.3333333333333333,11.0,4.0,13.0,4.0,5.0,13.0,1.0,1.0,2.0,17.0,9.0,2.0,1.0,2.0,1.0,1.0833333333333333,0.058823529411764705,,0.2,,0.1875,0.1111111111111111,0.5,0.6470588235294118,1.0,0.6470588235294118,0.5019,0.391304347826087,0.391304347826087,0.3939393939393939,8.0,1.0,1.0,4.0,,,,,,,,,,,,,11.0,10.0,,,,,,,1.0,,1.0,,1.0,4.0,11.0,1.0,,,,,0.5,0.6875,,0.5,,0.7272727272727273,0.7272727272727273,0.23529411764705882,0.25,0.3333333333333333,,,,,,,0.25,,,,,0.3333333333333333,,,2.0,,,,1.0,0.5,0.25,,0.10526315789473684,,0.375,,4.0,4.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612766,Baron Davis,Baron Davis,1884,CHH,1550.0,26,15,47,47,16.0,6.0,6.0,94,2.0,5.0,5.0,9.0,19.0,31,1.0,6.0,5.0,,5.0,,3.0,,10.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,,16.0,0.6,0.6,0.5555555555555556,0.47058823529411764,0.5,38.18181818181818,0.043478260869565216,,0.037037037037037035,,,0.07692307692307693,0.29411764705882354,0.4,0.4,0.5,0.4589529411764706,0.41128750000000003,13.077777777777776,0.3404255319148936,2.0,,3.0,,,3.0,,2.0,,4.0,2.0,2.0,1.0,2.0,1.0,1.5,,,,,,,0.5,0.11764705882352941,,0.5882352941176471,0.50835,0.10526315789473684,0.18181818181818182,0.15789473684210525,1.0,,2.0,2.0,,,2.0,8.0,1.0,,3.0,2.0,8.0,1.0,,3.0,4.0,4.0,6.0,,8.0,2.0,,,1.0,1.0,,,,,4.0,,1.0,0.25,,0.25,0.25,0.4,0.47058823529411764,0.5,,0.5,0.5,0.11764705882352941,1.0,1.0,,0.47058823529411764,0.25,0.25,1.0,1.0,,,0.75,,0.25,0.21052631578947367,24.8875,,1.0,,,,,1.0,,,,,1.0,,,,2.0,,,,,1.0,,1.5,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612766,Robert Traylor,Robert Traylor,1714,CHH,2302.0,38,-15,74,76,31.0,35.0,6.0,150,1.0,4.0,6.0,13.0,14.0,82,7.0,12.0,5.0,1.0,6.0,1.0,4.0,,13.0,3.0,1.0,3.0,3.0,6.0,1.0,,1.0,2.0,5.0,1.0,31.0,1.0,1.0,0.46153846153846156,0.46153846153846156,0.5,19.51219512195122,0.03333333333333333,0.0967741935483871,0.05405405405405406,0.08333333333333333,0.14285714285714285,,0.3076923076923077,0.25,0.25,1.0,0.5040538461538462,0.4764714285714286,6.092307692307693,0.4189189189189189,8.0,3.0,2.0,3.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,0.07692307692307693,0.125,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.16666666666666666,,0.6153846153846154,1.0,0.6153846153846154,0.5726666666666667,0.07142857142857142,0.07142857142857142,,4.0,4.0,1.0,1.0,,,,,,,,,,,,,6.0,,,,,,,1.0,1.0,1.0,,,,4.0,6.0,,,,,,0.42857142857142855,0.42857142857142855,,0.5,,0.5,0.5714285714285714,0.07692307692307693,1.0,1.0,,,,,,,0.5714285714285714,,,,,0.42857142857142855,,2.0,3.0,1.0,,,,0.42857142857142855,,1.0,0.058823529411764705,,1.0,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,1610612766,Elden Campbell,Elden Campbell,922,CHH,768.0,13,-3,24,24,,,,48,1.0,2.0,3.0,4.0,6.0,23,,6.0,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,0.75,0.75,0.75,16.666666666666668,,,,,,,0.5,0.5,0.5,1.0,0.40290000000000004,,11.05,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2213,1610612766,Kirk Haston,Kirk Haston,2213,CHH,1097.0,18,5,39,40,27.0,35.0,6.0,79,1.0,5.0,4.0,9.0,8.0,33,6.0,6.0,3.0,,3.0,,3.0,,6.0,1.0,3.0,3.0,1.0,4.0,,,,1.0,1.0,,27.0,0.75,0.75,0.4444444444444444,0.36363636363636365,0.3333333333333333,27.083333333333336,0.25,0.05555555555555555,0.16666666666666666,0.047619047619047616,,,0.45454545454545453,0.2,0.2,,0.4058227272727273,0.42360000000000003,13.666666666666666,0.6923076923076923,1.0,,,1.0,,,,,,2.0,,,,,,,,,,0.16666666666666666,0.4,,,0.09090909090909091,,0.2727272727272727,0.311,,,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,,,2.0,,,1.0,8.0,2.0,,,1.0,,,,1.0,,1.0,,,1.0,8.0,,,,,,0.5714285714285714,0.5,0.18181818181818182,1.0,,1.0,1.0,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.09090909090909091,0.09090909090909091,,,,,0.14285714285714285,0.14285714285714285,,,,1.0,25.85,1.0,4.0,,,1.0,,0.6666666666666666,,,,0.5,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,1610612766,Stacey Augmon,Stacey Augmon,278,CHH,1725.0,29,-4,58,59,15.0,21.0,4.0,117,1.0,3.0,4.0,8.0,8.0,52,1.0,6.0,3.0,1.0,4.0,1.0,1.0,1.0,9.0,1.0,3.0,4.0,2.0,6.0,,,2.0,3.0,3.0,1.0,15.0,0.75,0.75,0.5,0.5,0.5,16.923076923076923,0.10714285714285714,0.045454545454545456,0.125,0.07142857142857142,,0.09090909090909091,0.375,0.3333333333333333,0.3333333333333333,1.0,0.4211875,0.4078,9.075,0.25862068965517243,2.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,0.25,,0.07142857142857142,,,0.25,,0.25,0.3549,0.125,0.125,,1.0,,2.0,3.0,,,,,,,,,,,,,2.0,2.0,,,,,,,1.0,1.0,,,1.0,2.0,2.0,,,,,,1.0,1.0,,0.3333333333333333,,0.5,0.5,0.375,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,0.25,,,1.0,,,,,1.0,,,0.06666666666666667,0.3333333333333333,1.0,,,,,,1.0,1.0,,,,,0.16666666666666666,0.16666666666666666,0.5,0.5,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
