EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Arc3Assists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,SecondChanceTsPct,OffAtRimReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,SelfOReb,Clear Path Fouls,Offensive Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,3SecondViolations,OffFTReboundPct,ThreePtShootingFoulsDrawn,OffensiveGoaltends,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,on,3pt And 1 Free Throw Trips
1134,1610612763,Ike Austin,Ike Austin,1134,MEM,11470.0,191,-70,379,383,64,76,35.0,762,2.0,6.0,1.0,1.0,4.0,20.0,47.0,2.0,2.0,23.0,57.0,2.0,2.0,48.0,420,4.0,3.0,10.0,2.0,6.0,42.0,4.0,2.0,2.0,7.0,2.0,9.0,2.0,2.0,1.0,4.0,20.0,2.0,3.0,3.0,26.0,2.0,31.0,5.0,36.0,7.0,3.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,16.0,23,2.0,1.0,5.0,2.0,3.0,5.0,2.0,1.0,6.0,64,1.0,0.9130434782608695,0.9130434782608695,0.40350877192982454,0.3,0.3898305084745763,0.25,0.4,0.25,0.03389830508474576,0.03508771929824561,0.3333333333333333,15.165876777251185,0.5,0.18181818181818182,0.18055555555555555,0.020689655172413793,0.15789473684210525,0.037037037037037035,0.17791411042944785,0.02512562814070352,0.05,0.013333333333333334,0.046511627906976744,0.17647058823529413,0.19642857142857142,0.16666666666666666,0.13333333333333333,0.25,0.4,0.1016949152542373,0.3333333333333333,0.5,0.5,0.06779661016949153,0.25,0.25,1.0,0.7966101694915254,0.425531914893617,0.425531914893617,0.95,0.03389830508474576,0.25,0.16666666666666666,0.13559322033898305,0.42171864406779647,0.4553666666666667,0.388275,0.016666666666666666,0.017241379310344827,0.125,15.977192982456137,25.35,0.16886543535620052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1510,1610612763,Brevin Knight,Brevin Knight,1510,MEM,13653.0,228,-20,436,431,149,130,49.0,867,14.0,27.0,,6.0,12.0,8.0,25.0,1.0,1.0,28.0,64.0,1.0,14.0,70.0,456,,7.0,22.0,1.0,23.0,24.0,32.0,1.0,6.0,49.0,12.0,61.0,4.0,21.0,13.0,15.0,134.0,,1.0,2.0,14.0,,16.0,1.0,17.0,14.0,5.0,9.0,10.0,5.0,9.0,7.0,,17.0,5.0,9.0,30,16.0,4.0,1.0,,,1.0,,,23.0,149,6.0,0.42857142857142855,0.42857142857142855,0.4375,0.3181818181818182,0.4307692307692308,0.30434782608695654,0.4785714285714286,0.3888888888888889,0.015384615384615385,0.09375,0.2222222222222222,17.647058823529413,0.5882352941176471,,0.09271523178807947,0.006711409395973154,0.043478260869565216,,0.08121827411167512,0.005076142131979695,,,,0.06818181818181818,0.09615384615384616,0.10909090909090909,0.05405405405405406,,,0.4153846153846154,0.5185185185185185,0.6666666666666666,0.42857142857142855,0.18461538461538463,0.5,0.5,0.5,0.38461538461538464,0.32,0.32,0.375,0.015384615384615385,,0.043478260869565216,0.4307692307692308,0.4868476923076923,,0.43711304347826085,0.06060606060606061,0.06153846153846154,0.32857142857142857,8.695312499999998,27.5,0.34174311926605505,4.0,8.0,2.0,2.0,9.0,8.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,0.021739130434782608,0.34782608695652173,0.5,0.02857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,134261.0,2238,-325,4335,4336,1049,942,533.0,8671,64.0,113.0,9.0,26.0,68.0,159.0,374.0,379.0,93.0,249.0,555.0,430.0,80.0,959.0,4607,33.0,38.0,91.0,105.0,185.0,150.0,348.0,377.0,14.0,468.0,51.0,519.0,20.0,243.0,84.0,141.0,1089.0,5.0,17.0,38.0,130.0,5.0,173.0,22.0,195.0,111.0,80.0,31.0,139.0,44.0,100.0,75.0,3.0,214.0,47.0,29.0,102,101.0,20.0,7.0,4.0,2.0,7.0,4.0,1.0,185.0,1049,18.0,0.30120481927710846,0.3024193548387097,0.4486486486486487,0.4175824175824176,0.44619289340101526,0.3852040816326531,0.4587426326129666,0.4252336448598131,0.4365482233502538,0.025225225225225224,0.08849557522123894,24.778761061946902,0.6495327102803738,0.04132231404958678,0.07544979686593152,0.010448678549477565,0.0979381443298969,0.010183299389002037,0.07958313595452392,0.010387157695939566,0.007547169811320755,0.00764525993883792,0.0078125,0.064030131826742,0.05776892430278884,0.09710144927536232,0.09803921568627451,0.0975609756097561,0.5714285714285714,0.11472081218274112,0.5663716814159292,0.6213592233009708,0.234375,0.06903553299492386,0.38235294117647056,0.4,0.23076923076923078,0.37969543147208124,0.42513368983957217,0.4262734584450402,0.33962264150943394,0.3847715736040609,0.13846153846153847,0.4744897959183674,0.5512690355329949,0.48934532044760937,0.4785708333333334,0.47336881443298984,0.01998001998001998,0.03502626970227671,0.19290928050052136,13.716936936936937,25.64116279069767,0.2419838523644752,10.0,21.0,4.0,54.0,34.0,31.0,12.0,39.0,15.0,4.0,4.0,31.0,17.0,1.0,0.40298507462686567,0.01805869074492099,0.10714285714285714,0.47619047619047616,0.056308654848800835,4.0,18.0,51.0,2.0,6.0,4.0,12.0,109.0,4.0,26.0,21.0,127.0,16.0,6.0,32.0,25.0,159.0,222.0,2.0,2.0,109.0,9.0,2.0,6.0,0.41732283464566927,0.29534883720930233,0.1875,0.23809523809523808,0.2967289719626168,0.48484848484848486,0.38461538461538464,0.04411764705882353,0.00267379679144385,0.018691588785046728,0.015332197614991482,0.05177664974619289,0.35294117647058826,0.35294117647058826,0.7222222222222222,0.287598944591029,0.287598944591029,0.3669724770642202,0.4444444444444444,0.25,0.09230769230769231,0.3333333333333333,1.0,0.4,0.15384615384615385,1.0,0.061224489795918366,0.3333333333333333,0.22580645161290322,0.2891246684350133,,,,,,,,,,,,,,,True,
1934,1610612763,Rodney Buford,Rodney Buford,1934,MEM,49603.0,827,-174,1608,1602,361,372,189.0,3210,46.0,71.0,14.0,27.0,79.0,48.0,103.0,21.0,9.0,121.0,253.0,31.0,19.0,279.0,1756,30.0,16.0,39.0,10.0,39.0,180.0,62.0,21.0,13.0,30.0,6.0,36.0,3.0,19.0,4.0,7.0,78.0,5.0,23.0,19.0,79.0,2.0,100.0,28.0,128.0,20.0,17.0,3.0,20.0,6.0,12.0,13.0,,33.0,5.0,27.0,47,28.0,15.0,6.0,4.0,,6.0,4.0,,39.0,361,4.0,0.743801652892562,0.782608695652174,0.4782608695652174,0.41025641025641024,0.45774647887323944,0.35714285714285715,0.4696969696969697,0.375,0.10915492957746478,0.05138339920948617,0.028169014084507043,18.052516411378555,0.6060606060606061,0.045454545454545456,0.12172573189522343,0.03820598006644518,0.15079365079365079,0.029940119760479042,0.12645161290322582,0.036410923276983094,0.047619047619047616,0.03404255319148936,0.022556390977443608,0.1,0.15025906735751296,0.1171875,0.13131313131313133,0.2222222222222222,0.6666666666666666,0.25,0.647887323943662,0.6666666666666666,0.6086956521739131,0.27816901408450706,0.34177215189873417,0.38028169014084506,0.7777777777777778,0.3626760563380282,0.46601941747572817,0.48,0.8541666666666666,0.07394366197183098,0.4117647058823529,0.1836734693877551,0.3591549295774648,0.4627098591549295,0.5008633333333333,0.45077551020408163,0.050505050505050504,0.05639097744360902,0.13978494623655913,10.227667984189724,24.80322580645161,0.22450248756218905,9.0,13.0,3.0,30.0,4.0,3.0,3.0,8.0,1.0,1.0,2.0,,,2.0,0.4166666666666667,0.03184713375796178,0.2653061224489796,0.6923076923076923,0.10752688172043011,8.0,1.0,10.0,,2.0,,1.0,5.0,1.0,2.0,1.0,6.0,12.0,1.0,4.0,1.0,18.0,,12.0,,5.0,6.0,,3.0,1.0,0.1935483870967742,0.25,0.1,0.1935483870967742,0.4,0.39705882352941174,0.10126582278481013,0.02912621359223301,0.058823529411764705,0.04225352112676056,0.035211267605633804,0.1,0.1111111111111111,1.0,0.23809523809523808,0.23809523809523808,1.0,0.5714285714285714,0.125,0.058823529411764705,,,0.058823529411764705,0.5,1.0,0.02040816326530612,,0.1111111111111111,0.23809523809523808,1.0,0.03225806451612903,0.1,,,,,,,,,,,,True,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,55417.0,924,-131,1778,1790,565,426,229.0,3568,114.0,173.0,42.0,36.0,104.0,13.0,45.0,1.0,,163.0,322.0,1.0,102.0,428.0,1872,61.0,40.0,88.0,,123.0,234.0,92.0,1.0,32.0,18.0,2.0,20.0,,7.0,5.0,6.0,42.0,13.0,58.0,18.0,102.0,20.0,140.0,76.0,216.0,28.0,16.0,12.0,28.0,5.0,12.0,33.0,6.0,61.0,15.0,42.0,94,154.0,68.0,53.0,29.0,20.0,55.0,29.0,3.0,123.0,565,11.0,0.7177914110429447,0.8297872340425532,0.5062111801242236,0.45454545454545453,0.5046439628482973,0.45454545454545453,0.5431472081218274,0.5211864406779662,0.0030959752321981426,0.09937888198757763,0.09826589595375723,22.119591638308215,0.45901639344262296,0.3508771929824561,0.13765182186234817,0.09119496855345911,0.09375,0.0625,0.12861736334405144,0.08412322274881516,0.09278350515463918,0.08679245283018867,0.041916167664670656,0.0851063829787234,0.15311004784688995,0.16835016835016836,0.09803921568627451,0.07692307692307693,0.5272727272727272,0.5356037151702786,0.6589595375722543,0.7307692307692307,0.6666666666666666,0.3219814241486068,0.34615384615384615,0.4,0.8055555555555556,0.1393188854489164,0.28888888888888886,0.29545454545454547,0.9230769230769231,0.0030959752321981426,0.6885245901639344,,0.5386996904024768,0.5040495356037152,0.5260716981132075,0.48588181818181814,0.17941952506596306,0.17989417989417988,0.28738317757009346,5.109627329192548,25.0,0.3177727784026997,28.0,45.0,20.0,84.0,43.0,2.0,4.0,16.0,5.0,10.0,12.0,,15.0,4.0,0.5753424657534246,0.096045197740113,0.5113636363636364,0.6222222222222222,0.19626168224299065,29.0,,,,,,,,,,,,32.0,,,,,,44.0,,,9.0,,13.0,,,,,,0.5245901639344263,0.5245901639344263,0.1346153846153846,0.022222222222222223,0.14634146341463414,0.07086614173228346,,,,,,,,0.6904761904761905,0.13793103448275862,,,,,,,,,,,,,,5.0,2.0,1.0,1.0,8.0,1.0,0.06329113924050633,,,,,True,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,110164.0,1836,-152,3564,3555,841,748,425.0,7119,251.0,361.0,96.0,83.0,227.0,35.0,88.0,3.0,1.0,369.0,676.0,3.0,196.0,934.0,3771,120.0,94.0,148.0,1.0,269.0,514.0,224.0,3.0,56.0,104.0,29.0,133.0,9.0,40.0,17.0,47.0,295.0,26.0,116.0,59.0,238.0,23.0,320.0,148.0,468.0,28.0,24.0,4.0,75.0,7.0,34.0,48.0,8.0,123.0,28.0,59.0,114,286.0,121.0,103.0,69.0,30.0,105.0,67.0,2.0,269.0,841,9.0,0.6964769647696477,0.7981366459627329,0.5458579881656804,0.6351351351351351,0.5434462444771723,0.6308724832214765,0.5801242236024845,0.6691542288557214,0.004418262150220913,0.08284023668639054,0.06925207756232687,22.77859597447226,0.6097560975609756,0.25,0.16690042075736325,0.08774583963691376,0.18495297805642633,0.06615776081424936,0.17020057306590258,0.08279883381924198,0.08083140877598152,0.06285714285714286,0.06930693069306931,0.15098468271334792,0.14285714285714285,0.19784172661870503,0.18875502008032127,0.17142857142857143,0.638095238095238,0.5316642120765832,0.6952908587257618,0.7470238095238095,0.6852589641434262,0.33431516936671574,0.3656387665198238,0.4129353233830846,0.6626506024096386,0.12960235640648013,0.3977272727272727,0.42168674698795183,0.8571428571428571,0.004418262150220913,0.8,0.006711409395973154,0.5360824742268041,0.49727566371681414,0.5393773195876288,0.5042053691275168,0.15796344647519583,0.15858453473132372,0.2880085653104925,4.88224852071006,30.933333333333337,0.23597081930415265,68.0,88.0,35.0,183.0,81.0,20.0,15.0,41.0,3.0,13.0,34.0,,39.0,4.0,0.6443661971830986,0.13186813186813187,0.5906040268456376,0.7727272727272727,0.19593147751605997,64.0,,,,,,,,,,,,74.0,,,,,,94.0,,,24.0,,15.0,,,,,,0.6166666666666667,0.6166666666666667,0.1145374449339207,0.056818181818181816,0.05555555555555555,0.09561752988047809,,,,,,,,0.6666666666666666,0.28125,,,,,,,,,,,,,,6.0,2.0,2.0,,1.0,,0.05042016806722689,,,,,True,
3,1610612763,Grant Long,Grant Long,3,MEM,71997.0,1200,-232,2313,2333,523,476,262.0,4646,33.0,48.0,2.0,9.0,29.0,58.0,157.0,7.0,4.0,100.0,234.0,9.0,53.0,262.0,2468,13.0,14.0,45.0,4.0,57.0,162.0,38.0,7.0,11.0,75.0,11.0,86.0,6.0,39.0,16.0,20.0,183.0,5.0,11.0,19.0,95.0,7.0,121.0,16.0,137.0,43.0,29.0,14.0,36.0,8.0,22.0,21.0,4.0,57.0,9.0,35.0,77,69.0,24.0,9.0,4.0,4.0,9.0,5.0,,57.0,523,7.0,0.81,0.81,0.42735042735042733,0.3111111111111111,0.43004115226337447,0.3469387755102041,0.4763636363636364,0.4453125,0.037037037037037035,0.04700854700854701,0.125,12.599620493358634,0.631578947368421,0.11666666666666667,0.10010537407797682,0.012415349887133182,0.0867579908675799,0.02074688796680498,0.0976027397260274,0.01419698314108252,0.014184397163120567,0.007978723404255319,0.015384615384615385,0.07407407407407407,0.11567164179104478,0.109375,0.09195402298850575,0.06666666666666667,0.5555555555555556,0.19753086419753085,0.6875,0.7857142857142857,0.696969696969697,0.11934156378600823,0.3103448275862069,0.34615384615384615,0.2222222222222222,0.6460905349794238,0.36942675159235666,0.3741935483870968,0.9655172413793104,0.02880658436213992,0.13333333333333333,0.08163265306122448,0.2345679012345679,0.4451726337448561,0.41817000000000004,0.4358173469387755,0.0916030534351145,0.09486166007905138,0.21755725190839695,13.593589743589742,24.633333333333336,0.2261132728058798,6.0,8.0,4.0,21.0,23.0,5.0,3.0,14.0,6.0,4.0,5.0,,13.0,1.0,0.5833333333333334,0.017543859649122806,0.16326530612244897,0.75,0.08015267175572519,,,2.0,,,,,3.0,1.0,2.0,2.0,3.0,7.0,1.0,2.0,2.0,9.0,,,,3.0,2.0,,4.0,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5384615384615384,0.5666666666666667,0.10344827586206896,0.012738853503184714,0.043478260869565216,0.015625,0.00823045267489712,,,,0.42857142857142855,0.42857142857142855,1.0,,,,,,0.13333333333333333,0.5,1.0,,,0.5,0.42857142857142855,,,,,,,,,,,,,,,True,
98,1610612763,Nick Anderson,Nick Anderson,98,MEM,5223.0,87,-29,163,168,63,57,21.0,331,,2.0,,1.0,2.0,1.0,5.0,18.0,7.0,2.0,9.0,22.0,1.0,26.0,173,,,2.0,8.0,10.0,4.0,,18.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,,9.0,1.0,,1.0,11.0,1.0,13.0,1.0,14.0,2.0,1.0,1.0,6.0,1.0,6.0,1.0,,7.0,5.0,3.0,8,5.0,2.0,2.0,1.0,1.0,2.0,1.0,,10.0,63,3.0,1.0,1.0,0.2222222222222222,,0.4032258064516129,0.45,0.3939393939393939,0.4166666666666667,0.7096774193548387,0.1111111111111111,0.5,21.50537634408602,0.8571428571428571,0.14285714285714285,0.16417910447761194,,0.0625,0.03125,0.14457831325301204,0.012345679012345678,,,0.04,0.1875,0.2727272727272727,0.06896551724137931,,0.2,0.5,0.06451612903225806,,,,0.06451612903225806,0.5,0.5,1.0,0.16129032258064516,0.2,0.2,1.0,0.5806451612903226,,0.7,0.7741935483870968,0.5037258064516129,0.5592,0.5058400000000001,0.0625,0.2,0.38461538461538464,12.600000000000001,24.909090909090903,0.38650306748466257,,,,6.0,1.0,,,,,,1.0,,1.0,,1.0,,,,0.23076923076923078,,1.0,4.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,7.0,,2.0,3.0,3.0,21.0,,,,6.0,,,,1.0,0.3181818181818182,0.6666666666666666,0.375,0.3181818181818182,,1.0,,,,,0.12903225806451613,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,1.0,0.1,1.0,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,True,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,110895.0,1848,-146,3588,3578,846,705,462.0,7166,73.0,134.0,44.0,39.0,110.0,58.0,130.0,96.0,29.0,170.0,374.0,180.0,95.0,639.0,3755,74.0,35.0,70.0,51.0,167.0,220.0,120.0,94.0,44.0,112.0,24.0,136.0,8.0,50.0,21.0,41.0,296.0,21.0,79.0,22.0,112.0,3.0,137.0,101.0,238.0,70.0,37.0,33.0,48.0,10.0,32.0,34.0,2.0,82.0,18.0,84.0,145,135.0,45.0,47.0,29.0,14.0,48.0,31.0,,167.0,846,15.0,0.6470588235294118,0.7333333333333333,0.45454545454545453,0.5,0.49097472924187724,0.5,0.5170454545454546,0.5496688741721855,0.3249097472924188,0.11764705882352941,0.19402985074626866,16.80733060043405,0.5853658536585366,0.03,0.0782122905027933,0.0577063550036523,0.06832298136645963,0.05172413793103448,0.07639680729760548,0.056338028169014086,0.07111111111111111,0.04339622641509434,0.050793650793650794,0.0851528384279476,0.07729468599033816,0.07321428571428572,0.05511811023622047,0.11764705882352941,0.6458333333333334,0.24187725631768953,0.5447761194029851,0.6759259259259259,0.5753424657534246,0.19855595667870035,0.35454545454545455,0.4148936170212766,0.5897435897435898,0.23465703971119134,0.4461538461538462,0.453125,0.7758620689655172,0.17328519855595667,0.46808510638297873,0.2396694214876033,0.5667870036101083,0.48737010869565217,0.5061912499999999,0.4699966386554622,0.07885906040268456,0.10869565217391304,0.26134585289514867,8.754278074866312,24.69111111111111,0.23578595317725753,14.0,20.0,13.0,118.0,46.0,16.0,3.0,16.0,11.0,5.0,5.0,4.0,20.0,4.0,0.5728155339805825,0.061696658097686374,0.1652892561983471,0.7,0.18466353677621283,26.0,33.0,84.0,4.0,10.0,8.0,22.0,35.0,3.0,10.0,9.0,68.0,42.0,7.0,20.0,17.0,192.0,12.0,40.0,2.0,35.0,15.0,,14.0,0.9411764705882353,0.37777777777777777,0.35,0.3333333333333333,0.38202247191011235,0.5675675675675675,0.5585106382978723,0.14545454545454545,0.015384615384615385,0.054945054945054944,0.055970149253731345,0.15162454873646208,0.39285714285714285,0.39285714285714285,1.0,0.3645833333333333,0.3684210526315789,0.8857142857142857,0.5909090909090909,0.15384615384615385,0.10638297872340426,0.4,1.0,0.10638297872340426,0.3,1.0,0.18181818181818182,0.36363636363636365,0.3103448275862069,0.3723404255319149,1.0,0.005555555555555556,,1.0,1.0,1.0,,,1.0,0.007874015748031496,2.0,1.0,0.010416666666666666,0.01098901098901099,True,
2226,1610612763,Will Solomon,Will Solomon,2226,MEM,11175.0,186,-27,367,358,104,105,48.0,725,4.0,9.0,,,9.0,9.0,20.0,23.0,10.0,13.0,38.0,34.0,12.0,77.0,379,1.0,2.0,9.0,13.0,24.0,20.0,6.0,22.0,6.0,15.0,2.0,17.0,,8.0,4.0,3.0,36.0,,3.0,4.0,5.0,,9.0,3.0,12.0,6.0,4.0,2.0,7.0,,6.0,1.0,,8.0,,8.0,19,15.0,4.0,,,,,,,24.0,104,5.0,0.7692307692307693,0.7692307692307693,0.34210526315789475,0.2222222222222222,0.4513888888888889,0.36363636363636365,0.4873417721518987,0.4444444444444444,0.4722222222222222,0.15789473684210525,,20.61611374407583,0.875,,0.0364963503649635,0.023255813953488372,0.16,,0.05555555555555555,0.015625,,0.03636363636363636,,,0.029411764705882353,0.06153846153846154,0.14285714285714285,0.25,,0.125,0.4444444444444444,0.4444444444444444,0.75,0.125,,,,0.2777777777777778,0.45,0.5,0.7777777777777778,0.3194444444444444,,0.45454545454545453,0.5972222222222222,0.46951690140845076,0.4932666666666667,0.4082047619047619,0.06493506493506493,0.09523809523809523,0.3116883116883117,11.794736842105262,25.82941176470588,0.28337874659400547,1.0,1.0,1.0,4.0,8.0,2.0,1.0,1.0,,,,,2.0,,0.5,0.03125,0.045454545454545456,1.0,0.05194805194805195,,6.0,11.0,1.0,1.0,1.0,3.0,7.0,,1.0,3.0,13.0,,1.0,2.0,4.0,36.0,3.0,,1.0,7.0,1.0,,,0.9230769230769231,0.38235294117647056,0.5,0.3076923076923077,0.3939393939393939,,0.5,0.4444444444444444,0.1,,0.02702702702702703,0.1527777777777778,0.5454545454545454,0.5454545454545454,1.0,0.30434782608695654,0.30434782608695654,0.8571428571428571,,,0.3333333333333333,1.0,1.0,0.3333333333333333,,,0.13636363636363635,0.3333333333333333,0.3,0.3181818181818182,,,,,,,,,,,1.0,,,0.02857142857142857,True,
