EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PtsAssisted2s,PtsUnassisted3s,HeaveAttempts,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,DefensiveGoaltends,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctBlocked,OffFTReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Blocked3s,BlockedCorner3,3SecondViolations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,BlockedArc3,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,on,OffensiveGoaltends,3pt And 1 Free Throw Trips
105,1610612756,Dan Majerle,Dan Majerle,105,PHX,20686.0,345.0,46,671,669,174.0,175.0,101.0,1340,2.0,3.0,2.0,2.0,2.0,2.0,7.0,6.0,21.0,2.0,2.0,5.0,10.0,30.0,2.0,6.0,3.0,9.0,4.0,12.0,16.0,51.0,7.0,63.0,668,2.0,3.0,2.0,8.0,2.0,12.0,1.0,3.0,5.0,14.0,5.0,22.0,8.0,48.0,4.0,30.0,10.0,2.0,24.0,3.0,27.0,2.0,1.0,8.0,7.0,9.0,57.0,4.0,4.0,16.0,32.0,1.0,49.0,8.0,57.0,18.0,10.0,8.0,6.0,3.0,3.0,3.0,1.0,9.0,1.0,1.0,10.0,30.0,1.0,1.0,12.0,6.0,4.0,2.0,2.0,4.0,3.0,1.0,22.0,174.0,4.0,1.0,0.3137254901960784,0.25,0.3571428571428571,0.3137254901960784,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4545454545454545,0.5,0.4565217391304347,0.5,0.5,0.8095238095238095,0.1666666666666666,0.5,0.1428571428571428,9.974424552429667,0.6666666666666666,0.0555555555555555,0.1322314049586777,0.0163934426229508,0.1904761904761904,0.0416666666666666,0.147239263803681,0.0235294117647058,0.0238095238095238,0.015625,0.0104166666666666,0.0151515151515151,0.1,0.0735294117647058,0.1774193548387097,0.1428571428571428,0.1612903225806451,0.2727272727272727,0.75,0.0476190476190476,0.6666666666666666,0.6666666666666666,0.0317460317460317,0.1111111111111111,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.2857142857142857,1.0,0.4761904761904761,0.3333333333333333,0.3333333333333333,1.0,0.1818181818181818,1.0,0.1818181818181818,0.5454545454545454,0.3333333333333333,1.0,0.2941176470588235,0.4,0.5294117647058824,0.3333333333333333,0.8571428571428571,0.3333333333333333,0.5232166666666668,0.57501875,0.4879117647058823,0.1904761904761904,0.3492063492063492,12.275,24.65098039215686,0.2593144560357675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,53238.0,887.0,50,1719,1718,463.0,570.0,269.0,3437,61.0,87.0,23.0,31.0,116.0,63.0,143.0,3.0,12.0,,1.0,4.0,5.0,16.0,1.0,2.0,1.0,7.0,173.0,346.0,8.0,28.0,67.0,437.0,1793,36.0,65.0,1.0,2.0,13.0,88.0,42.0,77.0,2.0,11.0,19.0,109.0,110.0,21.0,46.0,14.0,5.0,14.0,30.0,11.0,41.0,10.0,1.0,16.0,4.0,10.0,93.0,18.0,58.0,32.0,119.0,33.0,184.0,78.0,262.0,41.0,30.0,11.0,15.0,10.0,11.0,5.0,1.0,26.0,6.0,8.0,30.0,69.0,1.0,1.0,80.0,5.0,27.0,14.0,10.0,27.0,14.0,1.0,109.0,463.0,16.0,0.875,0.2857142857142857,0.5,0.1818181818181818,0.3076923076923077,0.5,0.5538461538461539,0.5454545454545454,0.4946524064171123,0.5597014925373134,0.5113636363636364,0.5280487804878049,0.6027397260273972,0.545,0.0748663101604278,0.0404624277456647,0.0689655172413793,0.0069930069930069,21.383030897498774,0.5769230769230769,0.4459459459459459,0.1907051282051282,0.082036775106082,0.1839080459770115,0.0952380952380952,0.1892230576441102,0.0848214285714285,0.1111111111111111,0.0627802690582959,0.072,0.1111111111111111,0.0444444444444444,0.149171270718232,0.1828571428571428,0.2238805970149253,0.2396694214876033,0.0566037735849056,0.5185185185185185,0.232620320855615,0.7011494252873564,0.7439024390243902,0.3101604278074866,0.3823529411764705,0.4405594405594406,0.4436619718309859,0.0320855614973262,0.25,0.25,1.0,0.0427807486631016,0.3125,0.3125,0.8,0.4626865671641791,0.7419354838709677,,0.0298507462686567,0.5,,0.0454545454545454,0.25,0.0795454545454545,0.1428571428571428,0.3074866310160428,0.3571428571428571,0.4577451612903226,0.4821527777777779,0.4415331395348837,0.2013729977116704,0.2494279176201373,10.423699421965315,26.560714285714287,0.2693426410703897,12.0,17.0,49.0,236.0,3.0,2.0,2.0,12.0,4.0,4.0,4.0,4.0,35.0,3.0,3.0,0.6820809248554913,0.7866666666666666,0.057471264367816,0.0476190476190476,0.0693641618497109,0.6229508196721312,0.4224137931034483,0.4537037037037037,0.5918367346938775,0.8095238095238095,0.1304347826086956,0.1931818181818181,0.7058823529411765,0.0864197530864197,0.0928381962864721,,,,,,,,,,,,,,,,True,,
2054,1610612756,Jake Tsakalidis,Jake Tsakalidis,2054,PHX,17085.0,285.0,34,555,561,128.0,185.0,80.0,1116,17.0,32.0,4.0,10.0,25.0,2.0,4.0,,,,,,,,,,,,25.0,61.0,,,27.0,77.0,546,5.0,14.0,,,3.0,13.0,4.0,12.0,,,8.0,16.0,10.0,,8.0,,,7.0,3.0,2.0,5.0,1.0,1.0,2.0,,1.0,12.0,1.0,13.0,5.0,36.0,4.0,45.0,15.0,60.0,6.0,5.0,1.0,2.0,,5.0,2.0,1.0,7.0,1.0,2.0,21.0,41.0,7.0,3.0,38.0,5.0,10.0,9.0,1.0,10.0,4.0,1.0,16.0,128.0,7.0,,,,,,0.4098360655737705,0.3571428571428571,0.3333333333333333,0.4098360655737705,0.3571428571428571,0.3333333333333333,0.4873417721518987,0.40625,0.4705882352941176,,0.1147540983606557,0.12,,13.097072419106317,0.2857142857142857,0.1666666666666666,0.1690140845070422,0.055793991416309,0.1282051282051282,0.0149253731343283,0.1626984126984127,0.0466666666666666,0.0909090909090909,0.073170731707317,0.0117647058823529,0.0188679245283018,,0.2291666666666666,0.1643835616438356,0.1413043478260869,0.0434782608695652,0.25,0.4,0.5245901639344263,0.53125,0.6071428571428571,0.4098360655737705,0.0655737704918032,0.5,0.5,,,,,,,,,0.7142857142857143,0.4,,,,,,,,,0.5245901639344263,,0.4808245901639344,0.5016214285714286,0.4565333333333332,0.1688311688311688,0.2077922077922078,4.457377049180328,,0.2306306306306306,3.0,6.0,6.0,40.0,,,1.0,1.0,,1.0,3.0,,16.0,,,0.8,0.9523809523809524,0.125,0.0555555555555555,0.0344827586206896,0.8235294117647058,0.24,0.2727272727272727,0.6666666666666666,1.0,0.25,0.5,0.5,0.2162162162162162,0.2162162162162162,,,,,,,,,,,,,,,,True,,
915,1610612756,Rodney Rogers,Rodney Rogers,915,PHX,75179.0,1253.0,43,2418,2427,618.0,745.0,363.0,4845,104.0,180.0,34.0,58.0,85.0,65.0,129.0,14.0,38.0,4.0,3.0,6.0,35.0,102.0,6.0,10.0,8.0,24.0,200.0,394.0,49.0,140.0,82.0,629.0,2526,41.0,80.0,7.0,14.0,18.0,121.0,46.0,85.0,11.0,30.0,30.0,155.0,150.0,144.0,52.0,102.0,35.0,40.0,62.0,9.0,71.0,7.0,2.0,37.0,14.0,11.0,151.0,20.0,71.0,34.0,97.0,15.0,146.0,95.0,241.0,50.0,33.0,17.0,39.0,20.0,27.0,19.0,3.0,66.0,13.0,9.0,62.0,148.0,17.0,12.0,99.0,7.0,16.0,11.0,4.0,17.0,10.0,,155.0,618.0,25.0,0.979591836734694,0.35,0.5,0.3666666666666666,0.35,0.5076142131979695,0.5125,0.5411764705882353,0.5121722846441947,0.5478723404255319,0.5434782608695652,0.5441176470588235,0.5931372549019608,0.6007751937984496,0.2621722846441947,0.1015228426395939,0.0352941176470588,,22.620302072356868,0.5909090909090909,0.1630434782608695,0.1118800461361015,0.0735751295336787,0.1338582677165354,0.0699300699300699,0.1168599464763603,0.0727418065547561,0.0838709677419354,0.0515463917525773,0.0824175824175824,0.0471698113207547,0.1351351351351351,0.1020408163265306,0.1161825726141078,0.1154855643044619,0.1173184357541899,0.1733333333333333,0.5882352941176471,0.3370786516853932,0.5777777777777777,0.7272727272727273,0.1591760299625468,0.2415730337078651,0.5038759689922481,0.5038759689922481,0.0711610486891385,0.3684210526315789,0.3684210526315789,1.0,0.1910112359550561,0.3431372549019608,0.3431372549019608,0.9714285714285714,0.6170212765957447,0.5862068965517241,0.0425531914893617,0.1063829787234042,0.6,1.0,0.0521739130434782,0.5,0.208695652173913,0.3333333333333333,0.599250936329588,0.3431372549019608,0.4967749063670413,0.5251246753246753,0.4961065217391304,0.1923688394276629,0.246422893481717,7.670050761421319,24.55857142857143,0.2555831265508685,26.0,41.0,31.0,250.0,3.0,,4.0,11.0,7.0,1.0,11.0,,48.0,1.0,1.0,0.625,0.7183908045977011,0.2055555555555555,0.0701754385964912,0.0454545454545454,0.5480769230769231,0.3647058823529411,0.3780487804878049,0.4193548387096774,0.8461538461538461,0.2647058823529412,0.3565217391304348,0.6341463414634146,0.0840630472854641,0.111368909512761,1.0,1.0,1.0,3.0,0.25,1.0,,,,,,,,,,True,,
950,1610612756,Stephon Marbury,Stephon Marbury,950,PHX,55900.0,932.0,-18,1802,1811,500.0,626.0,282.0,3613,101.0,173.0,12.0,15.0,64.0,23.0,76.0,2.0,5.0,2.0,,1.0,27.0,80.0,5.0,8.0,4.0,26.0,146.0,313.0,29.0,85.0,106.0,485.0,1942,16.0,28.0,5.0,10.0,6.0,53.0,52.0,96.0,4.0,27.0,54.0,170.0,234.0,48.0,2.0,73.0,26.0,30.0,160.0,38.0,198.0,24.0,14.0,72.0,17.0,71.0,434.0,3.0,16.0,15.0,29.0,2.0,46.0,21.0,67.0,24.0,14.0,10.0,53.0,40.0,34.0,13.0,4.0,87.0,5.0,21.0,17.0,73.0,2.0,12.0,131.0,19.0,3.0,,2.0,4.0,3.0,,170.0,500.0,13.0,0.5517241379310345,0.3411764705882353,0.5,0.1481481481481481,0.3544303797468354,0.4664536741214057,0.5714285714285714,0.5416666666666666,0.4761306532663316,0.618421052631579,0.4715447154471545,0.5307017543859649,0.6463414634146342,0.5483870967741935,0.2135678391959799,0.0958466453674121,0.125,0.0131578947368421,25.421348314606742,0.6091954022988506,0.0263157894736842,0.0466988727858293,0.0217983651226158,0.0797872340425532,0.0144927536231884,0.0543881334981458,0.0201912858660998,0.0282258064516129,0.0224215246636771,0.0152091254752851,0.0130718954248366,0.0185185185185185,0.0494505494505494,0.0459770114942528,0.0452830188679245,0.0592592592592592,0.1320754716981132,0.75,0.4346733668341708,0.5838150289017341,0.6644736842105263,0.1608040201005025,0.1909547738693467,0.3026315789473684,0.3066666666666666,0.0125628140703517,0.4,0.4,0.5,0.2010050251256281,0.3375,0.3417721518987341,0.5555555555555556,0.3947368421052631,0.8,0.0526315789473684,0.2105263157894736,0.625,0.8,0.008130081300813,,0.2113821138211382,0.1538461538461538,0.6482412060301508,0.3561643835616438,0.5114233418367347,0.4845,0.5040158333333333,0.1092783505154639,0.3505154639175257,6.284345047923322,26.663529411764703,0.2774694783573806,35.0,54.0,22.0,58.0,39.0,6.0,2.0,5.0,11.0,3.0,13.0,2.0,52.0,1.0,,0.1986301369863013,0.2,0.1213872832369942,0.0425531914893617,0.0268817204301075,0.2079207920792079,0.34375,0.3928571428571428,0.1818181818181818,0.1739130434782608,0.0833333333333333,0.4390243902439024,0.6481481481481481,0.1189931350114416,0.1477272727272727,,1.0,1.0,,,,1.0,1.0,1.0,0.0117647058823529,0.0125,,,,,True,,
2063,1610612756,Jake Voskuhl,Jake Voskuhl,2063,PHX,9053.0,151.0,11,290,285,56.0,91.0,54.0,575,14.0,20.0,5.0,9.0,6.0,,,,,,,,,,,,,,14.0,26.0,,,8.0,36.0,293,5.0,12.0,,,2.0,12.0,4.0,6.0,,,2.0,10.0,8.0,,8.0,,,5.0,3.0,,3.0,,,1.0,,2.0,6.0,1.0,19.0,4.0,10.0,8.0,22.0,20.0,42.0,,,,1.0,1.0,5.0,,1.0,6.0,,,6.0,19.0,3.0,2.0,13.0,,4.0,1.0,2.0,4.0,2.0,1.0,10.0,56.0,4.0,,,,,,0.5384615384615384,0.4166666666666667,0.6666666666666666,0.5384615384615384,0.4166666666666667,0.6666666666666666,0.5625,0.4615384615384615,0.7142857142857143,,0.1923076923076923,0.6666666666666666,,10.614525139664805,0.1666666666666666,0.6666666666666666,0.0934579439252336,0.1397058823529411,0.1379310344827586,0.032258064516129,0.1029411764705882,0.1197604790419161,0.1842105263157894,0.1632653061224489,0.0816326530612244,0.0454545454545454,,0.09375,0.125,0.0697674418604651,0.1578947368421052,0.1,0.5,0.7692307692307693,0.7,0.7368421052631579,0.2307692307692307,,,,,,,,,,,,0.75,0.5555555555555556,,,,,,,,,0.7692307692307693,,0.5454461538461538,0.5318272727272727,0.5526666666666666,0.3333333333333333,0.2777777777777778,1.7192307692307691,,0.193103448275862,4.0,5.0,,20.0,,,,1.0,1.0,,1.0,,7.0,1.0,,0.7142857142857143,1.0,0.05,,0.1428571428571428,0.7142857142857143,,,,,0.2,0.8333333333333334,0.8,0.21875,0.21875,,,,1.0,,,,,,,,,,,,True,,
960,1610612756,Tony Delk,Tony Delk,960,PHX,31490.0,525.0,30,1021,1017,262.0,295.0,146.0,2038,32.0,57.0,8.0,14.0,23.0,29.0,82.0,2.0,13.0,2.0,1.0,6.0,17.0,65.0,,4.0,5.0,15.0,69.0,162.0,19.0,78.0,25.0,220.0,1059,15.0,28.0,1.0,6.0,3.0,36.0,18.0,46.0,6.0,21.0,8.0,62.0,66.0,30.0,16.0,64.0,17.0,11.0,42.0,12.0,54.0,10.0,2.0,15.0,9.0,18.0,120.0,7.0,19.0,14.0,39.0,1.0,54.0,27.0,81.0,23.0,14.0,9.0,13.0,10.0,8.0,3.0,,21.0,2.0,3.0,12.0,31.0,1.0,3.0,31.0,4.0,2.0,1.0,1.0,2.0,1.0,,62.0,262.0,7.0,0.5263157894736842,0.2435897435897435,0.1666666666666666,0.2857142857142857,0.2467532467532467,0.4259259259259259,0.5357142857142857,0.391304347826087,0.40625,0.4852941176470588,0.4029850746268656,0.4325396825396825,0.5,0.4305555555555556,0.325,0.0679012345679012,0.0434782608695652,0.0121951219512195,22.99915754001685,0.6190476190476191,0.027027027027027,0.1054054054054054,0.0498687664041994,0.1489361702127659,0.0489510489510489,0.1142241379310344,0.049618320610687,0.074074074074074,0.0172413793103448,0.0573248407643312,0.0625,,0.0625,0.0909090909090909,0.1371428571428571,0.1639344262295081,0.1212121212121212,0.5,0.2375,0.5614035087719298,0.6666666666666666,0.0958333333333333,0.3416666666666667,0.3536585365853658,0.3580246913580246,0.0541666666666666,0.1538461538461538,0.1538461538461538,1.0,0.2708333333333333,0.2615384615384615,0.2615384615384615,0.4705882352941176,0.4117647058823529,0.5714285714285714,0.0588235294117647,0.1176470588235294,,,0.0895522388059701,0.1666666666666666,0.2238805970149253,0.3333333333333333,0.5625,0.265625,0.5000323529411765,0.5086978260869565,0.5001212121212121,0.1636363636363636,0.2818181818181818,10.622222222222224,25.434615384615384,0.2566111655239961,9.0,17.0,8.0,72.0,27.0,1.0,1.0,11.0,2.0,3.0,4.0,2.0,12.0,,,0.5217391304347826,0.5901639344262295,0.1578947368421052,0.0454545454545454,0.0808823529411764,0.46875,0.3478260869565217,0.3636363636363636,0.75,0.5172413793103449,,0.2537313432835821,0.5294117647058824,0.0483870967741935,0.0705882352941176,1.0,,,,0.5,1.0,,,,,,,,,,True,,
2091,1610612756,Daniel Santiago,Daniel Santiago,2091,PHX,148.0,2.0,-2,5,4,,,1.0,9,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2228,1610612756,Alton Ford,Alton Ford,2228,PHX,4975.0,83.0,-38,151,156,27.0,41.0,24.0,307,6.0,11.0,1.0,2.0,3.0,,,,,,,,,,,,,,8.0,14.0,,,5.0,21.0,185,1.0,2.0,,,2.0,4.0,1.0,1.0,,,,2.0,4.0,,2.0,,,2.0,,,,,,,,,,1.0,7.0,5.0,8.0,2.0,15.0,8.0,23.0,1.0,1.0,,3.0,,1.0,3.0,,4.0,2.0,,8.0,19.0,3.0,1.0,7.0,1.0,,,,,,,2.0,27.0,1.0,,,,,,0.5714285714285714,0.5,1.0,0.5714285714285714,0.5,1.0,0.6176470588235294,0.5,1.0,,0.1428571428571428,0.3333333333333333,,11.666666666666666,0.75,0.3333333333333333,0.1509433962264151,0.1044776119402985,0.2272727272727272,0.0714285714285714,0.1733333333333333,0.0987654320987654,0.1,0.1363636363636363,0.08,0.1,,0.0909090909090909,0.1666666666666666,0.1666666666666666,0.4166666666666667,,,0.7857142857142857,0.5454545454545454,0.6,0.2142857142857142,,,,,,,,,,,,1.0,0.5,,,,,,,,,0.7857142857142857,,0.5703214285714285,0.54215,0.5401,0.1904761904761904,0.0952380952380952,2.1214285714285714,,0.1788079470198675,1.0,1.0,2.0,12.0,,,,1.0,,,1.0,,3.0,,,0.75,0.8571428571428571,0.0909090909090909,,0.25,0.6666666666666666,0.6666666666666666,1.0,1.0,,,1.0,1.0,0.1875,0.1875,,,,,,,,,,,,,,,,True,,
358,1610612756,Anfernee Hardaway,Anfernee Hardaway,358,PHX,53561.0,893.0,26,1717,1730,431.0,537.0,256.0,3447,46.0,99.0,7.0,16.0,100.0,47.0,121.0,1.0,9.0,2.0,,,11.0,34.0,1.0,5.0,3.0,15.0,132.0,320.0,12.0,43.0,76.0,376.0,1803,13.0,38.0,1.0,7.0,3.0,32.0,31.0,70.0,3.0,15.0,28.0,99.0,152.0,33.0,10.0,33.0,11.0,25.0,99.0,23.0,122.0,19.0,4.0,49.0,13.0,37.0,267.0,6.0,25.0,17.0,69.0,,86.0,31.0,117.0,46.0,28.0,18.0,35.0,26.0,31.0,9.0,2.0,66.0,4.0,12.0,25.0,67.0,1.0,7.0,90.0,11.0,10.0,3.0,4.0,12.0,7.0,,99.0,431.0,13.0,0.9166666666666666,0.2790697674418604,0.1428571428571428,0.2,0.2857142857142857,0.4125,0.3421052631578947,0.4428571428571428,0.4132231404958678,0.3222222222222222,0.4176470588235294,0.4625935162094763,0.3404255319148936,0.4900990099009901,0.1184573002754821,0.078125,0.08,0.024793388429752,23.01626416954165,0.5303030303030303,,0.1109324758842443,0.0355113636363636,0.0949720670391061,0.0326086956521739,0.1073657927590511,0.0349099099099099,0.0515021459227467,0.0238095238095238,0.0306513409961685,0.0225563909774436,0.0588235294117647,0.1016949152542373,0.1242937853107344,0.1082089552238805,0.1015625,0.0784313725490196,0.5833333333333334,0.2727272727272727,0.4646464646464646,0.5411764705882353,0.2754820936639118,0.3333333333333333,0.3884297520661157,0.3983050847457627,0.024793388429752,0.1111111111111111,0.125,1.0,0.09366391184573,0.3235294117647059,0.3235294117647059,0.9090909090909092,0.3555555555555555,0.4375,0.0444444444444444,0.1111111111111111,0.2,1.0,,,0.1764705882352941,0.2,0.3911845730027548,0.3333333333333333,0.4640469529085873,0.4722639534883721,0.4704119047619046,0.0851063829787234,0.2632978723404255,9.5690625,25.344186046511627,0.2510192195690157,14.0,29.0,39.0,112.0,3.0,1.0,,9.0,13.0,8.0,7.0,5.0,33.0,3.0,1.0,0.4242424242424242,0.4409448818897638,0.1414141414141414,,0.0473684210526315,0.4565217391304347,0.39,0.4239130434782608,0.1794871794871795,0.5957446808510638,,0.3411764705882353,0.4827586206896552,0.0871794871794871,0.0953757225433526,,2.0,,,,,,1.0,,0.0232558139534883,,1.0,2.0,0.1111111111111111,0.0227272727272727,True,,
