EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg3aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,FtPoints,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,AtRimAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceFtPoints,SelfOReb,BlockedShortMidRange,SelfORebPct,Fg2aBlocked,OffThreePtRebounds,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,ThreePtAssists,Arc3Assists,Corner3Assists,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,HeaveAttempts,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,Travels,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,on,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends
145,1610612761,Tracy Murray,Tracy Murray,145,TOR,2387.0,40,-25,73,72,34,26,13,145,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,4.0,1.0,1.0,2.0,6.0,2.0,6.0,8,2.0,10.0,18,78,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,7.0,8.0,4.0,6.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,3.0,7.0,34,0.6666666666666666,0.8,1.0,0.2,0.25,0.2,0.75,1.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.1,0.16666666666666666,25.0,0.75,0.16666666666666666,0.12,0.06451612903225806,0.08333333333333333,0.05,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.25,0.1111111111111111,1.0,1.0,0.5,0.1111111111111111,0.5,0.5,1.0,0.2222222222222222,0.75,0.75,0.6666666666666666,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.5,1.0,0.5,0.14285714285714285,1.0,0.2857142857142857,0.5,0.2857142857142857,0.6666666666666666,0.48023055555555555,0.5688,0.46719285714285713,0.1111111111111111,0.3888888888888889,10.5625,24.78,0.4657534246575342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,5476.0,91,-24,171,179,47,46,25,350,1.0,6.0,,1.0,,2.0,3.0,6.0,10.0,19.0,,1.0,,,,8.0,5.0,14.0,31,2.0,9.0,42,175,2.0,3.0,,4.0,1.0,5.0,,5.0,8.0,20.0,8.0,3.0,,8.0,,7.0,7.0,1.0,14.0,3.0,,4.0,7.0,3.0,10.0,8.0,4.0,3.0,3.0,3.0,,6.0,,2.0,1.0,4.0,8.0,47,0.7142857142857143,0.7142857142857143,0.5,0.2222222222222222,,0.2222222222222222,0.45161290322580644,0.6666666666666666,0.2,0.425,0.6666666666666666,0.1,0.45555555555555555,0.6666666666666666,0.25,0.225,,,25.888324873096447,0.5,,0.05194805194805195,0.0379746835443038,0.06666666666666667,0.03409090909090909,0.045454545454545456,0.043478260869565216,,0.08823529411764706,0.15,0.16666666666666666,0.16666666666666666,1.0,0.15,0.5,0.5,0.6666666666666666,0.475,0.5263157894736842,0.5263157894736842,0.7,0.025,,,,0.2,0.3333333333333333,,,0.2,,,,0.5,0.375,0.42363249999999997,0.4764,0.36406,0.09523809523809523,0.19047619047619047,13.716129032258063,26.533333333333335,0.27485380116959063,2.0,8.0,6.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,11.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,0.14285714285714285,0.15384615384615385,0.041666666666666664,0.030303030303030304,0.1111111111111111,0.25,0.25,0.25,0.5,0.25,0.024390243902439025,0.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1565,1610612761,Michael Stewart,Michael Stewart,1565,TOR,1678.0,28,-8,52,52,23,15,9,104,2.0,8.0,,5.0,2.0,5.0,,1.0,,,,,,,,,,2.0,9,,,7,46,,5.0,,1.0,2.0,5.0,,,4.0,4.0,,,,,,1.0,1.0,,2.0,4.0,,,2.0,4.0,6.0,1.0,1.0,,,,,,,,5.0,5.0,4.0,23,1.0,1.0,,,,,0.2222222222222222,,0.4,0.2222222222222222,,0.4,0.3181818181818182,0.08333333333333333,0.4,,,,17.741935483870968,,,,0.14285714285714285,0.047619047619047616,0.12121212121212122,0.125,,,,0.8888888888888888,0.25,0.25,1.0,0.1111111111111111,,,,,,,,,,,,,1.0,,,1.0,0.4,,,,0.8888888888888888,0.5330333333333334,0.53818,0.5539,0.14285714285714285,0.5714285714285714,1.7777777777777777,,0.4423076923076923,,3.0,,,,,1.0,1.0,1.0,,,,4.0,,2.0,,2.0,,,,2.0,0.3333333333333333,0.2,0.2,0.1,,0.5,,,,,0.18181818181818182,0.18181818181818182,1.0,1.0,2.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,10136.0,169,-29,307,317,85,104,40,624,19.0,26.0,8.0,8.0,7.0,8.0,8.0,22.0,9.0,28.0,,,,,,,,36.0,76,,,84,343,9.0,9.0,,19.0,8.0,19.0,,,24.0,44.0,28.0,,10.0,,,3.0,3.0,,6.0,10.0,,22.0,31.0,13.0,44.0,2.0,,5.0,2.0,1.0,3.0,6.0,,2.0,14.0,21.0,24.0,85,0.6111111111111112,0.7096774193548387,,,,,0.47368421052631576,1.0,0.42105263157894735,0.47368421052631576,1.0,0.42105263157894735,0.4883720930232558,0.8636363636363636,0.5217391304347826,,,,26.436781609195403,0.8333333333333334,,0.19130434782608696,0.08620689655172414,0.19852941176470587,0.0948905109489051,0.12121212121212122,0.13333333333333333,0.17647058823529413,0.23529411764705882,0.34210526315789475,0.7307692307692307,0.76,0.5789473684210527,0.2894736842105263,0.36363636363636365,0.36363636363636365,0.5,0.3684210526315789,0.32142857142857145,0.32142857142857145,0.7777777777777778,,,,,,0.8888888888888888,1.0,,0.42105263157894735,0.875,,,,0.34210526315789475,0.44694210526315786,0.5656555555555556,0.45621052631578946,0.2261904761904762,0.2857142857142857,8.75,,0.2768729641693811,,12.0,8.0,,,2.0,1.0,5.0,4.0,2.0,,1.0,21.0,,10.0,1.0,7.0,,,6.0,7.0,0.3076923076923077,0.23809523809523808,0.1111111111111111,0.0425531914893617,0.25,0.2222222222222222,,,,,0.11764705882352941,0.11764705882352941,1.0,4.0,,0.10526315789473684,1.0,3.0,1.0,1.0,1.0,4.0,1.0,0.013157894736842105,0.038461538461538464,0.14285714285714285,0.2,0.5714285714285714,0.25,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1983,1610612761,Jermaine Jackson,Jermaine Jackson,1983,TOR,16675.0,278,-31,520,526,159,198,70,1046,13.0,21.0,2.0,2.0,7.0,11.0,2.0,3.0,4.0,16.0,,,,,,2.0,,19.0,40,1.0,2.0,57,542,2.0,3.0,,7.0,8.0,14.0,,,27.0,16.0,22.0,,2.0,2.0,,47.0,57.0,4.0,124.0,3.0,,21.0,24.0,3.0,27.0,9.0,3.0,10.0,8.0,4.0,2.0,14.0,2.0,6.0,8.0,24.0,27.0,159,0.42105263157894735,0.4444444444444444,,0.5,,0.5,0.475,0.6666666666666666,0.5714285714285714,0.4880952380952381,0.6666666666666666,0.5714285714285714,0.5277777777777778,0.7,0.6136363636363636,0.047619047619047616,,,11.409395973154362,0.7142857142857143,,0.10824742268041238,0.014285714285714285,0.09243697478991597,0.012145748987854251,,0.12280701754385964,0.13333333333333333,0.07792207792207792,0.5,0.6190476190476191,0.8125,0.6153846153846154,0.07142857142857142,0.6666666666666666,0.6666666666666666,,0.38095238095238093,0.25,0.25,,,,,,0.047619047619047616,0.6666666666666666,1.0,,0.7857142857142857,0.6363636363636364,,,,0.5476190476190477,0.5070964285714287,0.46975,0.5808071428571429,0.12280701754385964,0.47368421052631576,7.7924999999999995,24.200000000000003,0.3057692307692308,1.0,16.0,11.0,3.0,1.0,20.0,23.0,1.0,2.0,6.0,2.0,1.0,24.0,,5.0,7.0,1.0,,,,1.0,0.1,0.022727272727272728,0.014925373134328358,0.02197802197802198,0.03225806451612903,,0.5,0.5,,0.5,0.10638297872340426,0.1111111111111111,3.0,,,,5.0,,1.0,,1.0,,,0.125,0.23809523809523808,,,,0.5,10.0,5.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,True,,,,,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,4880.0,81,-28,144,145,31,44,24,289,1.0,6.0,,,,,,1.0,2.0,7.0,,,,,,5.0,,3.0,14,2.0,5.0,14,167,,,,,,,,,,4.0,2.0,6.0,,4.0,,17.0,17.0,2.0,34.0,1.0,,4.0,6.0,1.0,7.0,5.0,3.0,3.0,3.0,4.0,,7.0,2.0,1.0,4.0,13.0,,31,0.6666666666666666,0.6666666666666666,1.0,0.4,,0.5,0.21428571428571427,,,0.3157894736842105,,,0.325,,,0.2631578947368421,,,15.976331360946746,0.42857142857142855,,0.07547169811320754,0.015384615384615385,0.09523809523809523,0.013157894736842105,,0.14285714285714285,,0.09090909090909091,0.3157894736842105,0.16666666666666666,0.16666666666666666,,0.05263157894736842,,,,0.3684210526315789,0.2857142857142857,0.2857142857142857,1.0,,,,,0.2631578947368421,,,,,,,,,0.5789473684210527,0.4560444444444445,,,,,10.72857142857143,29.339999999999996,0.2152777777777778,2.0,2.0,,,2.0,10.0,5.0,2.0,,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,0.2,0.04,,0.2857142857142857,,0.4,0.4,1.0,0.5,0.05,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,8554.0,143,-17,264,270,100,111,39,534,11.0,16.0,1.0,2.0,3.0,6.0,6.0,14.0,6.0,21.0,,,,,,,,23.0,51,,,67,278,3.0,6.0,,10.0,9.0,21.0,,,29.0,24.0,22.0,,2.0,,,8.0,11.0,1.0,25.0,9.0,,14.0,20.0,10.0,30.0,2.0,1.0,4.0,3.0,2.0,1.0,6.0,,2.0,8.0,14.0,29.0,100,0.5217391304347826,0.5454545454545454,,,,,0.45098039215686275,0.5,0.42857142857142855,0.45098039215686275,0.5,0.42857142857142855,0.5234375,0.625,0.5178571428571429,,,,22.95081967213115,0.6666666666666666,,0.13592233009708737,0.08108108108108109,0.1532258064516129,0.078125,,0.06451612903225806,0.15625,0.175,0.3137254901960784,0.6875,0.7333333333333333,0.7272727272727273,0.27450980392156865,0.42857142857142855,0.46153846153846156,0.3333333333333333,0.4117647058823529,0.2857142857142857,0.2857142857142857,0.3333333333333333,,,,,,0.3333333333333333,0.5,,0.2857142857142857,0.5,,,,0.3137254901960784,0.4483647058823529,0.4778166666666666,0.46651428571428566,0.14925373134328357,0.43283582089552236,9.413725490196079,,0.3787878787878788,,21.0,11.0,,,4.0,3.0,5.0,1.0,1.0,1.0,1.0,26.0,,8.0,5.0,4.0,,,3.0,4.0,0.1,0.23809523809523808,0.125,0.09259259259259259,0.25,0.2,,,,,0.13559322033898305,0.13559322033898305,4.0,1.0,,0.038461538461538464,2.0,1.0,3.0,,1.0,4.0,,0.0392156862745098,0.0625,0.058823529411764705,0.1111111111111111,1.0,,3.0,2.0,1.0,,2.0,,0.07142857142857142,,,,,,,,,,,,,,,,,True,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,8004.0,133,-9,252,256,92,100,30,508,7.0,16.0,1.0,3.0,2.0,9.0,5.0,8.0,3.0,11.0,4.0,11.0,,1.0,1.0,11.0,6.0,15.0,35,7.0,22.0,66,277,1.0,3.0,1.0,6.0,5.0,16.0,3.0,7.0,21.0,22.0,8.0,18.0,2.0,11.0,,11.0,11.0,3.0,22.0,5.0,,2.0,4.0,7.0,11.0,7.0,4.0,1.0,1.0,2.0,,3.0,1.0,1.0,6.0,14.0,21.0,92,0.7333333333333333,0.7857142857142857,0.8571428571428571,0.3181818181818182,0.42857142857142855,0.3181818181818182,0.42857142857142855,0.3333333333333333,0.3125,0.4473684210526316,0.625,0.41304347826086957,0.5158730158730159,0.6,0.45652173913043476,0.38596491228070173,,,23.076923076923077,0.3333333333333333,,0.02631578947368421,0.053763440860215055,0.043478260869565216,0.06140350877192982,0.17647058823529413,,0.05,0.029411764705882353,0.2807017543859649,0.4375,0.5,0.7142857142857143,0.14035087719298245,0.625,0.7142857142857143,0.8,0.19298245614035087,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.19298245614035087,0.36363636363636365,0.36363636363636365,0.75,0.19298245614035087,0.75,0.3333333333333333,,0.391304347826087,0.2222222222222222,0.043478260869565216,1.0,0.2608695652173913,0.6666666666666666,0.5069087719298246,0.5828375000000001,0.5021304347826087,0.09090909090909091,0.3181818181818182,8.477142857142857,24.363636363636363,0.36507936507936506,3.0,15.0,2.0,3.0,3.0,4.0,4.0,2.0,,3.0,,1.0,17.0,1.0,7.0,,,,,,,,0.125,0.034482758620689655,0.02127659574468085,0.18181818181818182,,0.2727272727272727,0.2727272727272727,1.0,0.2727272727272727,0.14285714285714285,0.175,1.0,2.0,,0.0625,3.0,2.0,,2.0,,,1.0,0.08571428571428572,0.125,0.09523809523809523,0.07142857142857142,,,,,,,1.0,,0.125,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.14285714285714285,0.25,1.0,1.0,0.3333333333333333,0.08695652173913043,,,True,,,,,,
2214,1610612761,Michael Bradley,Michael Bradley,2214,TOR,2592.0,43,-4,90,87,30,62,10,177,5.0,7.0,2.0,3.0,2.0,2.0,,4.0,2.0,2.0,,,,,,,,7.0,13,,,16,94,2.0,3.0,,4.0,2.0,3.0,,,6.0,10.0,4.0,,2.0,,,1.0,1.0,1.0,2.0,3.0,,4.0,6.0,4.0,10.0,,,2.0,2.0,,,2.0,1.0,1.0,2.0,4.0,6.0,30,0.7142857142857143,0.8333333333333334,,,,,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.75,,,,15.686274509803921,1.0,,0.12121212121212122,0.10344827586206896,0.0975609756097561,0.11764705882352941,0.125,0.2,0.18181818181818182,,0.5384615384615384,0.7142857142857143,0.8333333333333334,0.8,0.3076923076923077,,,,0.15384615384615385,1.0,1.0,0.5,,,,,,1.0,0.6666666666666666,,0.6666666666666666,1.0,,,,0.5384615384615384,0.45504615384615393,0.547,0.4564333333333333,0.25,0.375,5.4692307692307685,,0.3333333333333333,,2.0,2.0,,,,,,2.0,,,,2.0,,,1.0,4.0,,,2.0,4.0,0.6666666666666666,,0.09090909090909091,0.1,,,,,,,,,,1.0,1.0,0.2,1.0,1.0,1.0,,1.0,2.0,,0.07692307692307693,0.14285714285714285,0.2,,0.5,0.5,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,True,,,,,,
2055,1610612761,Mamadou N'diaye,Mamadou N'diaye,2055,TOR,793.0,13,9,23,21,16,5,5,44,,1.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,3.0,4,,,6,18,,,,,2.0,2.0,,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,16,1.0,1.0,,,,,0.75,,1.0,0.75,,1.0,0.75,,1.0,,,,13.793103448275863,,,,,,,,,,,0.25,,,,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,0.25,0.42752499999999993,,0.3977,,0.6666666666666666,10.75,,0.6956521739130435,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
