EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsPutbacks,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,OffShortMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Corner3PctBlocked
1731,1610612764,Tyronn Lue,Tyronn Lue,1731,WAS,38853.0,648,7,1196,1217,401,523,148,2413,21,38,2.0,3.0,6.0,10,9,35,36.0,73.0,3.0,4.0,1.0,1.0,2.0,2.0,25.0,55.0,2.0,3.0,9.0,18.0,66,146,28.0,59.0,15,231,1234,3,6,3.0,4.0,15,19,38,11.0,20.0,9.0,80,26,106,54.0,30.0,2.0,53.0,25.0,14,106,7.0,113,6.0,1.0,32,26.0,48.0,233,1.0,4,14.0,33,1.0,48,5,53,2.0,23.0,13.0,10.0,27,6.0,16.0,12,3.0,11.0,2.0,39,3.0,9,13,51,2.0,1.0,19,5.0,7,5.0,80,401,16,0.19696969696969696,0.19696969696969696,0.6428571428571429,0.4745762711864407,0.75,0.55,0.49122807017543857,0.4520547945205479,0.5,0.5,0.526829268292683,0.75,0.6120689655172413,0.5448113207547169,0.75,0.6349206349206349,0.28780487804878047,0.0958904109589041,0.15789473684210525,0.14285714285714285,0.0410958904109589,18.361375274323336,0.6923076923076923,0.02127659574468085,0.06889352818371608,0.007677543186180422,0.10852713178294573,0.0196078431372549,0.07730263157894737,0.008741258741258742,0.019801980198019802,0.00819672131147541,0.022727272727272728,0.027777777777777776,0.04516129032258064,0.10648148148148148,0.10638297872340426,0.11428571428571428,0.02197802197802198,0.18536585365853658,0.5526315789473685,0.65625,0.19047619047619047,0.17073170731707318,0.2571428571428571,0.3,0.1111111111111111,0.35609756097560974,0.4931506849315068,0.5142857142857142,0.2222222222222222,0.01951219512195122,0.75,0.75,1.0,0.2682926829268293,0.45454545454545453,0.45454545454545453,0.6,0.3,0.6666666666666666,0.1,1.0,1.0,0.3,0.6666666666666666,1.0,0.1724137931034483,0.6,0.034482758620689655,1.0,0.3103448275862069,0.5,0.47317073170731705,0.4716981132075472,0.45467722772277225,0.50055,0.4507666666666666,0.033816425120772944,0.0472972972972973,0.06493506493506493,0.3463203463203463,11.404109589041095,26.257627118644074,0.33528428093645485,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1751,1610612764,Jahidi White,Jahidi White,1751,WAS,50377.0,840,-76,1555,1564,159,251,202,3119,83,144,36.0,66.0,10.0,15,4,21,,1.0,,,,,,,,,,,,,87,166,,,43,217,1668,37,69,,,90,10,18,,,7.0,27,86,88,,,,,,17,11,3.0,14,3.0,,6,1.0,4.0,31,9.0,91,32.0,137,15.0,184,100,284,9.0,13.0,6.0,7.0,19,1.0,10.0,25,4.0,9.0,6.0,44,1.0,3,59,110,18.0,8.0,88,10.0,42,7.0,27,159,4,0.4942528735632184,0.7962962962962963,,,,,,0.5240963855421686,0.5362318840579711,0.5555555555555556,0.5240963855421686,0.5362318840579711,0.5555555555555556,0.5292682926829269,0.5421686746987951,0.5,,0.10240963855421686,0.08333333333333333,0.23809523809523808,,13.871866295264624,0.4318181818181818,0.3488372093023256,0.22795341098169716,0.12691771269177127,0.22377622377622378,0.1323529411764706,0.2271505376344086,0.12738853503184713,0.14465408805031446,0.10914454277286136,0.14285714285714285,0.2222222222222222,0.23333333333333334,0.2265625,0.23008849557522124,0.2,0.14516129032258066,0.8674698795180723,0.5763888888888888,0.6287878787878788,0.4939759036144578,0.12650602409638553,0.19047619047619047,0.25,0.5,0.006024096385542169,,,,,,,,,,,,0.9565217391304348,0.5454545454545454,,,,,,,0.8333333333333334,0.6666666666666666,,,,,0.8674698795180723,,0.5512168674698795,0.5712196969696971,0.5456833333333333,0.21212121212121213,0.21212121212121213,0.4147465437788018,0.12442396313364056,1.7030120481927713,,0.1022508038585209,16.0,66.0,60.0,36.0,2.0,22.0,60.0,35.0,1.0,6.0,0.1415525114155251,0.08333333333333333,0.5833333333333334,0.05555555555555555,,,,,,,,,,True,,,,,
1838,1610612764,Tyrone Nesby,Tyrone Nesby,1838,WAS,36988.0,616,17,1148,1162,354,457,171,2310,37,57,18.0,24.0,17.0,22,6,24,33.0,81.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,12.0,,1.0,,4.0,76,162,4.0,17.0,26,190,1230,20,39,1.0,2.0,49,22,43,1.0,6.0,9.0,56,90,62,9.0,3.0,,12.0,1.0,9,30,9.0,39,8.0,1.0,9,10.0,11.0,87,3.0,45,13.0,58,12.0,83,52,135,3.0,21.0,18.0,3.0,8,4.0,5.0,11,2.0,3.0,1.0,19,3.0,10,27,72,3.0,4.0,35,3.0,16,3.0,56,354,18,0.5921052631578947,0.7627118644067796,0.75,0.23529411764705882,0.5,0.16666666666666666,0.23529411764705882,0.4691358024691358,0.5128205128205128,0.5116279069767442,0.4581005586592179,0.524390243902439,0.47959183673469385,0.48717948717948717,0.5444444444444444,0.509090909090909,0.09497206703910614,0.05555555555555555,0.017543859649122806,0.3333333333333333,,15.89895988112927,0.42105263157894735,0.3,0.1411192214111922,0.09202453987730061,0.12745098039215685,0.04918032786885246,0.13840155945419103,0.08727272727272728,0.09090909090909091,0.0635593220338983,0.058823529411764705,0.1276595744680851,0.16551724137931034,0.12790697674418605,0.14473684210526316,0.07692307692307693,0.03333333333333333,0.31843575418994413,0.6491228070175439,0.6607142857142857,0.43243243243243246,0.1340782122905028,0.25,0.375,0.5,0.45251396648044695,0.4074074074074074,0.4074074074074074,0.7878787878787878,0.027932960893854747,0.6,0.6,0.6666666666666666,0.0670391061452514,0.08333333333333333,0.08333333333333333,1.0,0.5853658536585366,0.75,0.024390243902439025,1.0,,0.024390243902439025,,,0.4489795918367347,0.7727272727272727,0.04081632653061224,0.5,0.08163265306122448,,0.4134078212290503,0.08333333333333333,0.4664379213483146,0.503876923076923,0.4762316326530612,0.08333333333333333,0.09142857142857143,0.2578947368421053,0.29473684210526313,10.668518518518521,24.894117647058827,0.3083623693379791,6.0,34.0,10.0,3.0,3.0,4.0,10.0,7.0,,,0.13333333333333333,,0.7,0.05555555555555555,4.0,0.1111111111111111,,,,,,,,True,,,,,
1888,1610612764,Richard Hamilton,Richard Hamilton,1888,WAS,132019.0,2200,-28,4105,4111,1098,1261,545,8216,127,218,18.0,29.0,26.0,51,155,399,174.0,425.0,4.0,7.0,,1.0,1.0,3.0,12.0,35.0,2.0,9.0,5.0,15.0,456,1042,16.0,42.0,300,1260,4351,46,116,2.0,10.0,118,107,241,6.0,18.0,123.0,355,576,336,48.0,,1.0,34.0,12.0,100,153,18.0,171,13.0,5.0,58,31.0,64.0,360,4.0,69,36.0,102,5.0,143,73,216,21.0,38.0,29.0,9.0,81,16.0,45.0,51,8.0,36.0,4.0,132,13.0,40,42,136,6.0,20.0,337,25.0,119,49.0,355,1098,22,0.631578947368421,0.6457399103139013,1.0,0.38095238095238093,0.2,0.3333333333333333,0.3902439024390244,0.43761996161228406,0.39655172413793105,0.44398340248962653,0.44280442804428044,0.3888888888888889,0.44787644787644787,0.5057049714751426,0.42962962962962964,0.5454545454545454,0.03874538745387454,0.09596928982725528,0.13302752293577982,0.13784461152882205,0.03764705882352941,28.610526315789475,0.6136363636363636,0.04032258064516129,0.06567933032839665,0.0379746835443038,0.08780487804878048,0.019138755980861243,0.07030056036678553,0.03603158933859822,0.02168021680216802,0.03629976580796253,0.023121387283236993,0.040229885057471264,0.07750472589792061,0.0695266272189349,0.09090909090909091,0.0784313725490196,0.041584158415841586,0.2011070110701107,0.5825688073394495,0.671957671957672,0.6614173228346457,0.36808118081180813,0.38847117794486213,0.45058139534883723,0.5290322580645161,0.39206642066420666,0.40941176470588236,0.4254278728606357,0.7011494252873564,0.006457564575645757,0.5714285714285714,0.5714285714285714,1.0,0.03228782287822878,0.34285714285714286,0.34285714285714286,1.0,0.23015873015873015,0.6206896551724138,0.007936507936507936,,,0.07142857142857142,0.2222222222222222,1.0,0.1969111969111969,0.5098039215686274,0.011583011583011582,0.3333333333333333,0.05791505791505792,0.3333333333333333,0.23985239852398524,0.35294117647058826,0.44114750462107194,0.4514094827586208,0.432634046692607,0.10101867572156197,0.10475352112676056,0.09365079365079365,0.28174603174603174,10.799616122840689,63.76190476190475,0.26747868453105966,20.0,20.0,13.0,6.0,2.0,5.0,14.0,6.0,,1.0,0.050505050505050504,,0.42857142857142855,0.5555555555555556,,,1.0,25.0,1.0,1.0,1.0,,,True,,,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,17901.0,298,26,563,568,208,224,77,1131,30,48,13.0,22.0,8.0,15,10,22,1.0,4.0,,,,,,,,,,,,,41,74,,,22,104,594,14,25,,,33,9,21,,,11.0,29,58,24,,,,,,12,3,1.0,4,1.0,,3,,,9,5.0,24,9.0,51,7.0,67,30,97,,11.0,6.0,5.0,1,1.0,,6,,1.0,2.0,7,,3,16,32,4.0,3.0,38,8.0,17,6.0,29,208,6,0.7073170731707317,0.9354838709677419,,,,,,0.5540540540540541,0.56,0.42857142857142855,0.5540540540540541,0.56,0.42857142857142855,0.5842696629213483,0.55,0.5,,0.16216216216216217,0.1875,0.13636363636363635,,14.746543778801843,0.14285714285714285,0.3888888888888889,0.255,0.10256410256410256,0.16363636363636364,0.2,0.23529411764705882,0.11196911196911197,0.08333333333333333,0.1346153846153846,0.18181818181818182,0.2631578947368421,0.23076923076923078,0.26804123711340205,0.1794871794871795,0.125,,0.6486486486486487,0.625,0.7692307692307693,0.6,0.2972972972972973,0.45454545454545453,0.5263157894736842,1.0,0.05405405405405406,0.25,0.25,1.0,,,,,,,,,0.88,0.5909090909090909,,,,,,,0.7142857142857143,0.5333333333333333,,,,,0.6486486486486487,,0.52185,0.5388454545454545,0.5412952380952382,0.20481927710843373,0.20481927710843373,0.3173076923076923,0.27884615384615385,3.9756756756756757,,0.369449378330373,5.0,20.0,12.0,6.0,1.0,5.0,12.0,5.0,1.0,,0.07317073170731707,0.3333333333333333,0.4166666666666667,0.23076923076923078,1.0,0.0625,,,,,,,,True,,,,,
2042,1610612764,Courtney Alexander,Courtney Alexander,2042,WAS,46515.0,775,-84,1456,1456,432,450,190,2912,33,55,4.0,7.0,11.0,19,24,63,64.0,139.0,1.0,2.0,,,,1.0,3.0,10.0,1.0,1.0,2.0,5.0,121,257,4.0,12.0,64,318,1565,12,29,1.0,1.0,29,30,74,2.0,6.0,22.0,88,144,98,9.0,3.0,,10.0,3.0,17,40,8.0,48,5.0,3.0,10,11.0,19.0,104,5.0,22,15.0,37,7.0,59,28,87,2.0,22.0,16.0,6.0,18,4.0,10.0,18,2.0,8.0,1.0,36,6.0,12,24,71,2.0,10.0,78,4.0,32,9.0,88,432,9,0.5950413223140496,0.631578947368421,0.75,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.4708171206225681,0.41379310344827586,0.40540540540540543,0.4721189591078067,0.45,0.4125,0.5196078431372549,0.46774193548387094,0.46808510638297873,0.04460966542750929,0.06614785992217899,0.10909090909090909,0.12698412698412698,0.02158273381294964,20.29673590504451,0.5,0.14893617021276595,0.06954887218045112,0.03374233128834356,0.1,0.08064516129032258,0.07624633431085044,0.037815126050420166,0.030303030303030304,0.03289473684210526,0.09433962264150944,0.045112781954887216,0.0658682634730539,0.08620689655172414,0.10434782608695652,0.08571428571428572,0.016,0.20446096654275092,0.6,0.673469387755102,0.6666666666666666,0.2342007434944238,0.38095238095238093,0.43636363636363634,0.625,0.516728624535316,0.460431654676259,0.47058823529411764,0.546875,0.007434944237918215,0.5,0.5,1.0,0.03717472118959108,0.3,0.3,0.6666666666666666,0.23333333333333334,0.5714285714285714,,,,0.03333333333333333,1.0,,0.2375,0.5789473684210527,0.0125,,0.0625,0.4,0.24907063197026022,0.3,0.43988973880597015,0.4369431034482759,0.43908860759493673,0.10774410774410774,0.11228070175438597,0.09119496855345911,0.27672955974842767,11.918287937743187,26.358333333333334,0.2967032967032967,2.0,14.0,4.0,4.0,,,4.0,4.0,,,0.037037037037037035,,1.0,,1.0,0.03225806451612903,,,,,,,,True,,,,,
363,1610612764,Christian Laettner,Christian Laettner,363,WAS,66670.0,1111,-23,2085,2084,467,558,249,4169,47,72,21.0,28.0,9.0,13,16,42,65.0,150.0,,1.0,,,,1.0,2.0,7.0,,1.0,1.0,2.0,128,264,2.0,8.0,54,316,2171,26,43,,1.0,59,24,59,1.0,3.0,23.0,74,176,80,6.0,,,7.0,2.0,12,92,19.0,111,16.0,3.0,25,20.0,47.0,241,4.0,47,33.0,133,20.0,186,57,243,1.0,52.0,27.0,25.0,35,11.0,28.0,28,4.0,7.0,4.0,63,1.0,12,31,99,7.0,8.0,62,5.0,22,10.0,74,467,14,0.6875,0.7857142857142857,1.0,0.25,,0.3333333333333333,0.25,0.48484848484848486,0.6046511627906976,0.4067796610169492,0.48161764705882354,0.5909090909090909,0.4112903225806452,0.5250836120401338,0.6145833333333334,0.4868421052631579,0.029411764705882353,0.045454545454545456,0.08333333333333333,0.14285714285714285,,15.20369592608148,0.5555555555555556,0.3225806451612903,0.16625,0.052106430155210645,0.17098445595854922,0.034782608695652174,0.16717019133937563,0.05014749262536873,0.046875,0.0630841121495327,0.0297029702970297,0.13402061855670103,0.16862745098039217,0.18233618233618235,0.15753424657534246,0.2127659574468085,0.0078125,0.2647058823529412,0.6527777777777778,0.7121212121212122,0.5106382978723404,0.15441176470588236,0.38095238095238093,0.4444444444444444,0.625,0.5514705882352942,0.43333333333333335,0.43333333333333335,0.8307692307692308,0.003676470588235294,,,,0.025735294117647058,0.2857142857142857,0.2857142857142857,1.0,0.6363636363636364,0.75,,,,0.022727272727272728,,,0.20967741935483872,0.6923076923076923,0.016129032258064516,,0.03225806451612903,0.5,0.29411764705882354,0.2857142857142857,0.44254227941176455,0.5385069444444445,0.4309903225806451,0.07612456747404844,0.07829181494661921,0.18670886075949367,0.23417721518987342,11.884469696969695,24.949999999999996,0.22398081534772182,7.0,32.0,23.0,6.0,3.0,14.0,23.0,15.0,,1.0,0.03900709219858156,0.07142857142857142,0.6521739130434783,0.23809523809523808,6.0,0.16666666666666666,,3.0,,,2.0,,,True,,,,,
461,1610612764,Popeye Jones,Popeye Jones,461,WAS,56743.0,946,78,1752,1754,464,519,265,3506,37,72,21.0,37.0,7.0,14,31,72,30.0,86.0,1.0,2.0,,,1.0,1.0,,3.0,,,,2.0,98,230,1.0,5.0,41,240,1819,24,49,,,66,17,40,1.0,3.0,19.0,56,128,68,3.0,,1.0,2.0,,14,62,8.0,70,7.0,1.0,26,9.0,27.0,148,8.0,90,33.0,129,10.0,172,101,273,6.0,30.0,12.0,18.0,21,1.0,17.0,19,3.0,4.0,1.0,40,5.0,13,30,103,21.0,11.0,50,2.0,18,8.0,56,464,23,0.6530612244897959,0.8205128205128205,1.0,0.2,,0.3333333333333333,0.25,0.4260869565217391,0.4897959183673469,0.425,0.42340425531914894,0.4897959183673469,0.43023255813953487,0.46332046332046334,0.55,0.509090909090909,0.02127659574468085,0.06086956521739131,0.1111111111111111,0.05555555555555555,0.023255813953488372,14.423540762180414,0.525,0.20408163265306123,0.1908284023668639,0.11194029850746269,0.18333333333333332,0.0851063829787234,0.18925233644859812,0.1091314031180401,0.14201183431952663,0.09836065573770492,0.08450704225352113,0.21710526315789475,0.1885245901639344,0.17857142857142858,0.17037037037037037,0.2222222222222222,0.05,0.30638297872340425,0.5138888888888888,0.578125,0.3783783783783784,0.30638297872340425,0.4305555555555556,0.45588235294117646,0.7741935483870968,0.3659574468085106,0.3488372093023256,0.35714285714285715,0.8666666666666667,0.00851063829787234,0.5,0.5,1.0,0.01276595744680851,,,,0.7551020408163265,0.5675675675675675,,,,,,,0.32558139534883723,0.5,0.023255813953488372,1.0,0.046511627906976744,,0.3276595744680851,,0.4431260683760684,0.5111083333333333,0.43842380952380955,0.07171314741035857,0.07317073170731707,0.275,0.23333333333333334,9.488695652173917,30.8,0.2648401826484018,18.0,40.0,12.0,5.0,1.0,6.0,13.0,10.0,,2.0,0.11152416356877323,0.08695652173913043,0.7692307692307693,0.047619047619047616,3.0,0.075,,,1.0,1.0,1.0,,,True,,,,,
893,1610612764,Michael Jordan,Michael Jordan,893,WAS,60897.0,1015,18,1895,1888,482,484,267,3783,45,82,8.0,12.0,10.0,19,52,153,139.0,347.0,,,,,,,5.0,27.0,2.0,6.0,1.0,9.0,236,582,5.0,27.0,126,613,2036,19,38,2.0,6.0,53,48,133,1.0,9.0,57.0,156,200,272,9.0,6.0,,27.0,5.0,24,136,32.0,168,22.0,10.0,40,28.0,68.0,368,4.0,16,32.0,107,8.0,147,21,168,5.0,39.0,20.0,19.0,49,4.0,32.0,17,7.0,17.0,2.0,66,3.0,21,25,57,,4.0,148,16.0,63,17.0,156,482,4,0.423728813559322,0.4291845493562232,0.6,0.18518518518518517,0.3333333333333333,0.1111111111111111,0.18518518518518517,0.4054982817869416,0.5,0.3609022556390977,0.39983579638752054,0.5,0.3485915492957746,0.4547477744807122,0.53,0.4508670520231214,0.04433497536945813,0.041237113402061855,0.07317073170731707,0.0718954248366013,0.020172910662824207,33.544877606527656,0.7424242424242424,0.14285714285714285,0.1494413407821229,0.01845444059976932,0.1797752808988764,0.03773584905660377,0.15548098434004473,0.020554984583761562,0.01764705882352941,0.01873536299765808,0.0449438202247191,0.10416666666666667,0.13076923076923078,0.1858974358974359,0.19852941176470587,0.11904761904761904,0.014749262536873156,0.13464696223316913,0.5487804878048781,0.5921052631578947,0.4666666666666667,0.2512315270935961,0.33986928104575165,0.36619718309859156,0.4230769230769231,0.5697865353037767,0.40057636887608067,0.4088235294117647,0.41007194244604317,,,,,0.04433497536945813,0.18518518518518517,0.18518518518518517,0.6,0.2727272727272727,0.6666666666666666,,,,0.13636363636363635,0.3333333333333333,0.5,0.13380281690140844,0.5263157894736842,,,0.06338028169014084,0.1111111111111111,0.17898193760262726,0.18518518518518517,0.4178425287356323,0.46513902439024385,0.40080422535211263,0.0974124809741248,0.10015898251192369,0.0864600326264274,0.2544861337683524,13.27577319587629,25.492592592592594,0.25435356200527703,9.0,6.0,12.0,2.0,1.0,9.0,13.0,5.0,,,0.018518518518518517,,0.38461538461538464,0.25,1.0,0.02857142857142857,,1.0,1.0,1.0,,1.0,0.03571428571428571,True,,,,,
2198,1610612764,Kwame Brown,Kwame Brown,2198,WAS,23533.0,392,-42,740,746,312,336,93,1486,23,40,12.0,20.0,7.0,11,14,45,9.0,25.0,,,,,,,,,,,,,46,110,,,26,118,812,13,22,,,30,19,43,,,15.0,53,42,50,,,,,,14,15,4.0,19,4.0,,9,3.0,3.0,42,2.0,28,13.0,44,7.0,64,30,94,3.0,10.0,7.0,3.0,12,2.0,4.0,9,4.0,8.0,,21,2.0,11,31,49,2.0,1.0,41,5.0,19,4.0,53,312,7,0.45652173913043476,0.5526315789473685,,,,,,0.41818181818181815,0.5909090909090909,0.4418604651162791,0.41818181818181815,0.5909090909090909,0.4418604651162791,0.4609375,0.6,0.5196078431372549,,0.12727272727272726,0.175,0.13333333333333333,0.04,17.57075471698113,0.5714285714285714,0.28,0.1685823754789272,0.08722741433021806,0.16455696202531644,0.06451612903225806,0.1676470588235294,0.08522727272727272,0.1323529411764706,0.0661764705882353,0.038461538461538464,0.15789473684210525,0.2,0.1532258064516129,0.13333333333333333,0.2631578947368421,0.06,0.36363636363636365,0.575,0.696969696969697,0.391304347826087,0.4090909090909091,0.3111111111111111,0.358974358974359,0.5,0.22727272727272727,0.36,0.375,0.5555555555555556,,,,,,,,,0.9090909090909091,0.6,,,,,,,0.2558139534883721,0.6363636363636364,,,,,0.36363636363636365,,0.4508999999999999,0.5507190476190476,0.417146511627907,0.1532258064516129,0.1532258064516129,0.2542372881355932,0.4491525423728814,8.001818181818182,,0.42162162162162165,4.0,16.0,10.0,3.0,1.0,6.0,10.0,3.0,,2.0,0.08547008547008547,0.2,0.3,0.16666666666666666,,,,,,,,,,True,,,,,
