EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGA,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Technical Free Throw Trips,OffensiveGoaltends,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Loose Ball Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Assists,FTOffRebounds,Blocked3s,BlockedCorner3,OffFTReboundPct,Clear Path Fouls,SecondChanceAtRimPctAssisted,Travels,NonShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,SecondChanceArc3Frequency,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,on,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,BlockedLongMidRange,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3
1723,1610612755,Matt Harpring,Matt Harpring,1723,PHI,4189.0,70,-39,130,133,33,39,22,263,3.0,9.0,1.0,3.0,1.0,3.0,5.0,9.0,1.0,12.0,2.0,1.0,1.0,9.0,30,3.0,1.0,19,148,2.0,5.0,1.0,5.0,2.0,7.0,1.0,1.0,5.0,10.0,8.0,2.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,12.0,1.0,6.0,5.0,7.0,12.0,7.0,19,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,3.0,1.0,2.0,5.0,33,1.0,0.5555555555555556,0.625,0.3,0.4,0.2857142857142857,0.2727272727272727,0.4,0.25,0.27941176470588236,0.4166666666666667,0.2777777777777778,0.09090909090909091,0.1,0.1111111111111111,0.1111111111111111,0.08333333333333333,23.717948717948715,0.6666666666666666,0.1590909090909091,0.1016949152542373,0.3333333333333333,0.1,0.2033898305084746,0.10144927536231885,0.09523809523809523,0.16,0.14285714285714285,0.2,0.08333333333333333,0.18181818181818182,0.45454545454545453,0.09523809523809523,0.2727272727272727,0.3333333333333333,0.375,0.6666666666666666,0.2727272727272727,0.5555555555555556,0.625,0.4,0.36363636363636365,0.08333333333333333,0.09090909090909091,1.0,0.06060606060606061,0.030303030303030304,0.6,0.3333333333333333,0.375,0.3333333333333333,0.125,0.36363636363636365,0.4622151515151516,0.48943999999999993,0.44764375,0.058823529411764705,0.06451612903225806,0.2631578947368421,0.2631578947368421,10.036666666666667,24.066666666666666,0.25384615384615383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1907,1610612755,Vonteego Cummings,Vonteego Cummings,1907,PHI,3475.0,58,-28,114,115,40,56,15,229,4.0,4.0,,,1.0,1.0,2.0,4.0,,2.0,,,4.0,6.0,10,4.0,2.0,17,123,,,,,1.0,1.0,2.0,1.0,3.0,4.0,8.0,,4.0,,4.0,,4.0,,2.0,1.0,8.0,,,2.0,,3.0,,3,,6.0,2.0,2.0,,4.0,8.0,4.0,6.0,4.0,1.0,2.0,3.0,40,1.0,0.3333333333333333,0.3333333333333333,0.6,,1.0,0.5357142857142857,,0.3333333333333333,0.5333333333333333,,0.375,0.2857142857142857,,,,,17.557251908396946,0.75,,,0.15384615384615385,,0.04878048780487805,,,,,,,,0.2222222222222222,,0.2857142857142857,1.0,1.0,0.25,0.2857142857142857,0.5,0.5,0.5,0.14285714285714285,,,,,0.2857142857142857,,,0.3333333333333333,1.0,,0.5714285714285714,0.49278571428571427,,0.5222166666666667,0.13333333333333333,0.18181818181818182,,0.17647058823529413,6.1899999999999995,25.9,0.3508771929824561,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.25,0.25,0.14285714285714285,0.25,0.25,1.0,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1610612755,Michael Ruffin,Michael Ruffin,1913,PHI,10124.0,169,-47,313,324,96,116,54,637,7.0,20.0,4.0,10.0,2.0,4.0,,6.0,,,,,,7.0,26,,2.0,16,326,4.0,11.0,1.0,9.0,2.0,4.0,,1.0,5.0,6.0,8.0,8.0,,4.0,4.0,1.0,5.0,1.0,1.0,1.0,11.0,2.0,21.0,5.0,22.0,28.0,23.0,51,3.0,6.0,2.0,5.0,,4.0,11.0,10.0,23.0,8.0,,4.0,5.0,96,,0.42857142857142855,1.0,0.2692307692307692,0.36363636363636365,0.5,0.2692307692307692,0.36363636363636365,0.5,0.26666666666666666,0.375,0.5,,0.15384615384615385,0.15,0.16666666666666666,,10.817941952506596,0.5454545454545454,0.2018348623853211,0.15,0.1111111111111111,0.09523809523809523,0.17532467532467533,0.14285714285714285,0.17777777777777778,0.1111111111111111,0.1111111111111111,0.17857142857142858,0.20588235294117646,0.2127659574468085,0.08823529411764706,0.2,0.7692307692307693,0.35,0.4117647058823529,0.42857142857142855,0.23076923076923078,,,,,,,,,,0.9090909090909091,0.4,1.0,0.5,,0.7692307692307693,0.5175307692307691,0.5571400000000001,0.577225,0.13333333333333333,0.13333333333333333,0.5625,0.3125,2.123076923076923,,0.30670926517571884,,,,,,2.0,1.0,5.0,4.0,1.0,1.0,2.0,,,,,,,0.08333333333333333,,,,,,1.0,2.0,8.0,4.0,4.0,8.0,6.0,2.0,0.17073170731707318,0.18181818181818182,0.75,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,4806.0,80,-41,156,161,56,74,28,317,2.0,4.0,,,1.0,1.0,5.0,10.0,4.0,9.0,1.0,,4.0,11.0,23,5.0,5.0,27,159,,3.0,,,4.0,8.0,1.0,3.0,11.0,14.0,8.0,,4.0,1.0,6.0,2.0,8.0,1.0,4.0,1.0,18.0,,5.0,,5.0,5.0,6.0,11,1.0,4.0,2.0,1.0,,2.0,5.0,2.0,5.0,6.0,,3.0,11.0,56,2.0,0.6363636363636364,0.6363636363636364,0.4782608695652174,,0.5,0.39285714285714285,,0.4444444444444444,0.43548387096774194,,0.5,0.17857142857142858,0.043478260869565216,,0.1,,19.047619047619047,0.8,0.1,0.07462686567164178,,,0.07042253521126761,0.0641025641025641,0.16666666666666666,0.07142857142857142,,0.07692307692307693,0.11764705882352941,0.1,,0.06666666666666667,0.14285714285714285,0.5,0.5,0.5,0.35714285714285715,0.5,0.5555555555555556,0.4,0.32142857142857145,0.4444444444444444,0.4444444444444444,1.0,0.03571428571428571,0.14285714285714285,,,0.1111111111111111,1.0,,0.32142857142857145,0.4465696428571429,0.4794,0.4192166666666666,0.0967741935483871,0.11538461538461539,,0.4074074074074074,10.978260869565217,25.48,0.358974358974359,,1.0,,,,1.0,,2.0,,2.0,,2.0,2.0,,,,,,,,,,0.1111111111111111,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2049,1610612755,Speedy Claxton,Speedy Claxton,2049,PHI,4769.0,79,-6,148,152,57,59,25,300,2.0,6.0,2.0,2.0,,,3.0,8.0,4.0,10.0,,,,9.0,24,,3.0,21,144,3.0,4.0,,6.0,4.0,10.0,,1.0,9.0,10.0,8.0,,,4.0,5.0,1.0,6.0,1.0,1.0,3.0,13.0,,,2.0,9.0,11.0,,11,,4.0,3.0,2.0,1.0,1.0,6.0,1.0,12.0,4.0,,2.0,9.0,57,1.0,0.5555555555555556,0.5555555555555556,0.375,0.75,0.4,0.375,0.75,0.4,0.40384615384615385,0.75,0.4090909090909091,,0.16666666666666666,0.5,,0.1,17.877094972067038,0.6666666666666666,0.1836734693877551,,0.08695652173913043,,0.1527777777777778,,,,,0.38461538461538464,0.08333333333333333,0.125,0.058823529411764705,,0.25,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.375,0.375,0.3333333333333333,0.4166666666666667,0.4,0.4444444444444444,0.75,,,0.5,1.0,,,,0.25,0.44597083333333337,0.47727499999999995,0.38782000000000005,0.07692307692307693,0.07692307692307693,0.2857142857142857,0.42857142857142855,9.870833333333334,,0.38513513513513514,,,,,,1.0,,4.0,3.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,0.16666666666666666,,,,,,,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2245,1610612755,Damone Brown,Damone Brown,2245,PHI,1332.0,22,-9,48,49,27,35,7,97,2.0,2.0,,,1.0,1.0,,2.0,1.0,3.0,,,,3.0,7,,3.0,9,48,,,,,2.0,4.0,,3.0,7.0,4.0,2.0,,,,,,,,,,,,,,1.0,1.0,,1,,4.0,2.0,2.0,1.0,2.0,6.0,,4.0,3.0,1.0,2.0,7.0,27,3.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,,0.5,0.42857142857142855,,0.5,0.5625,,0.7,,,,,,25.454545454545453,0.6666666666666666,0.09090909090909091,,,,0.058823529411764705,,,,,,0.5,,,,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,0.25,1.0,,0.2857142857142857,0.4867571428571429,,0.505625,0.25,0.25,,0.7777777777777778,10.385714285714286,,0.5625,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612755,Dikembe Mutombo,Dikembe Mutombo,87,PHI,5034.0,84,-8,145,152,42,38,20,297,3.0,5.0,1.0,2.0,3.0,4.0,7.0,14.0,,1.0,,,,10.0,20,,4.0,24,126,4.0,5.0,,8.0,5.0,8.0,,3.0,13.0,8.0,12.0,2.0,,,,,,,,,,,3.0,5.0,16.0,25.0,4.0,29,,,,6.0,1.0,,6.0,1.0,5.0,6.0,,1.0,13.0,42,,0.4,0.4444444444444444,0.5,0.8,0.625,0.5,0.8,0.625,0.5217391304347826,0.8,0.65,,,,,,17.058823529411764,,0.26666666666666666,0.04411764705882353,0.25,,0.2625,0.0379746835443038,,0.037037037037037035,,0.14285714285714285,0.2222222222222222,0.35714285714285715,0.3,,0.25,0.6,0.6,0.6666666666666666,0.7,0.5,0.5,0.2857142857142857,0.05,,,,,,0.4,0.5,0.5,0.75,,0.25,0.42116,0.43748,0.45433750000000006,0.047619047619047616,0.047619047619047616,0.3333333333333333,0.5416666666666666,7.235000000000001,,0.2896551724137931,,,,,,,4.0,1.0,1.0,,,1.0,,,,,,,0.8,,,,,,1.0,2.0,7.0,6.0,1.0,7.0,4.0,1.0,0.08695652173913043,0.2,0.5714285714285714,,1.0,,,0.16666666666666666,,,1.0,2.0,2.0,2.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
916,1610612755,Corie Blount,Corie Blount,916,PHI,1225.0,20,-13,40,41,4,16,6,81,1.0,2.0,,,,,,,,2.0,,,,1.0,4,,2.0,4,51,,1.0,2.0,2.0,,,,,,2.0,,,,1.0,,,,,,,,2.0,1.0,1.0,3.0,4.0,4.0,8,,,,1.0,,,1.0,1.0,2.0,2.0,,1.0,,4,,1.0,1.0,0.25,,,0.25,,,0.4,0.5,,,0.25,0.5,,,12.5,,0.16666666666666666,0.07142857142857142,0.25,0.6666666666666666,0.18181818181818182,0.17647058823529413,,,,,0.14285714285714285,0.3333333333333333,0.3333333333333333,,0.5,0.5,1.0,1.0,,,,,0.5,,,,,,,,,,,0.5,0.45015,,,0.2,0.2,0.5,,9.35,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,0.25,,,,,1.0,,0.6666666666666666,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
947,1610612755,Allen Iverson,Allen Iverson,947,PHI,6087.0,101,-7,185,190,49,50,34,375,13.0,21.0,3.0,4.0,4.0,9.0,3.0,9.0,12.0,29.0,,,11.0,28.0,59,11.0,14.0,76,184,6.0,9.0,2.0,14.0,7.0,19.0,3.0,8.0,22.0,20.0,36.0,4.0,10.0,3.0,8.0,2.0,10.0,,2.0,5.0,22.0,,3.0,3.0,5.0,8.0,3.0,11,2.0,7.0,3.0,3.0,,4.0,10.0,1.0,8.0,16.0,3.0,6.0,22.0,49,1.0,0.35714285714285715,0.38461538461538464,0.4745762711864407,0.6666666666666666,0.3684210526315789,0.44285714285714284,0.6,0.3181818181818182,0.4934210526315789,0.7,0.4230769230769231,0.15714285714285714,0.05084745762711865,0.047619047619047616,,0.06896551724137931,37.55458515283843,0.7,0.06944444444444445,0.03260869565217391,0.10344827586206896,,0.07920792079207921,0.028846153846153848,0.08333333333333333,,,0.05555555555555555,0.07692307692307693,0.07142857142857142,0.13636363636363635,0.058823529411764705,0.3,0.6190476190476191,0.65,0.23076923076923078,0.12857142857142856,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4142857142857143,0.41379310344827586,0.4444444444444444,0.4166666666666667,,0.15714285714285714,0.4,0.75,0.4090909090909091,0.4444444444444444,,0.45714285714285713,0.4819840579710145,0.48058888888888895,0.4865,0.0821917808219178,0.0967741935483871,0.18421052631578946,0.2894736842105263,10.632203389830508,27.936363636363637,0.2648648648648649,2.0,3.0,2.0,6.0,2.0,1.0,,3.0,2.0,1.0,1.0,2.0,3.0,1.0,,1.0,0.18181818181818182,0.2,,0.18181818181818182,0.18181818181818182,1.0,0.13636363636363635,0.2,,2.0,,,,,,,,,,2.0,,,,,,,,3.0,,,,1.0,1.0,1.0,0.1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,5692.0,95,-14,169,177,35,47,32,346,4.0,9.0,,1.0,1.0,3.0,1.0,3.0,3.0,10.0,3.0,,6.0,8.0,22,9.0,3.0,34,178,,2.0,,,2.0,7.0,4.0,,4.0,4.0,12.0,,6.0,3.0,14.0,,14.0,,5.0,4.0,28.0,1.0,2.0,1.0,4.0,5.0,3.0,8,2.0,3.0,1.0,4.0,,2.0,7.0,,10.0,5.0,1.0,3.0,4.0,35,2.0,0.25,0.25,0.36363636363636365,,0.2857142857142857,0.5,,0.18181818181818182,0.5151515151515151,,0.18181818181818182,0.2903225806451613,0.13636363636363635,0.2222222222222222,0.3333333333333333,,19.047619047619047,0.42857142857142855,0.06060606060606061,0.023255813953488372,0.038461538461538464,0.1111111111111111,0.05434782608695652,0.031578947368421054,0.03225806451612903,,0.1111111111111111,,0.047619047619047616,0.10714285714285714,0.045454545454545456,0.14285714285714285,0.2903225806451613,0.4444444444444444,0.5714285714285714,,0.0967741935483871,0.3333333333333333,0.5,,0.3225806451612903,0.3,0.3,0.6666666666666666,0.0967741935483871,0.1935483870967742,0.5,,0.2727272727272727,0.3333333333333333,,0.5806451612903226,0.4564564516129032,0.46804999999999997,0.4638,0.09090909090909091,0.125,,0.11764705882352941,9.268181818181818,25.299999999999997,0.20710059171597633,2.0,4.0,5.0,15.0,2.0,5.0,,5.0,2.0,3.0,1.0,1.0,,,,1.0,0.5555555555555556,0.5555555555555556,,0.3333333333333333,0.3333333333333333,1.0,0.36363636363636365,0.3333333333333333,,3.0,,,,,,,0.037037037037037035,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
