EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,DefThreePtRebounds,TwoPtShootingFoulsDrawn,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,PenaltyCorner3FGA,FtPoints,PenaltyFtPoints,AtRimAssists,Offensive Fouls,NonShootingFoulsDrawn,LongMidRangePctBlocked,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,PenaltyAtRimFGA,ThreePtShootingFoulsDrawn,PenaltyAtRimFrequency,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,SecondChanceFtPoints,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,DefArc3ReboundPct,PenaltyAtRimAccuracy,OffCorner3ReboundPct,PtsUnassisted3s,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,on,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg3aBlocked,Corner3Assists,FTOffRebounds,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,Travels,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls,FoulsDrawn,Offensive Fouls Drawn
1541,1610612761,Alvin Williams,Alvin Williams,1541,TOR,659.0,11,15,19,20,16,8,4.0,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,12.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.0,1.25,1.1666666666666667,1.0,1.25,0.3333333333333333,17.391304347826086,0.5,0.1428571428571428,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.449,0.454,0.2857142857142857,0.7142857142857143,13.1,25.7,0.8421052631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1610612761,Hakeem Olajuwon,Hakeem Olajuwon,165,TOR,1990.0,33,-3,64,66,24,34,6.0,130,2.0,5.0,2.0,2.0,,,,,5.0,11.0,,,10.0,63.0,,,,1.0,2.0,,,2.0,4.0,,,,,,,,,,,,2.0,6.0,,,4.0,1.0,,,2.0,24,,,,,0.4545454545454545,,0.5,0.4545454545454545,,0.5,0.4545454545454545,,0.5,,21.42857142857143,,0.0689655172413793,,0.4545454545454545,0.4,0.4,0.1818181818181818,1.0,1.0,,,,,,,0.3636363636363636,,0.4466272727272727,0.37405,,0.2,8.127272727272727,,0.375,1.0,4.0,6.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6,0.6,0.0909090909090909,0.25,1.0,0.25,0.1111111111111111,0.08,0.1,0.1428571428571428,0.0833333333333333,0.1,0.3333333333333333,0.2,0.5,0.3636363636363636,0.25,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,1610612761,Keon Clark,Keon Clark,1721,TOR,1122.0,19,14,34,34,2,15,4.0,68,,,,,,,,,2.0,3.0,,,4.0,27.0,1.0,1.0,2.0,,,,,,2.0,,2.0,,,,,,,,,,1.0,5.0,,1.0,1.0,,2.0,,,2,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.5,1.0,,,13.157894736842104,,0.0769230769230769,,,,,,,,,,,,,,1.0,,0.5830333333333334,,0.5,,,,0.0588235294117647,2.0,3.0,2.0,,1.0,3.0,,4.0,1.0,1.0,,1.0,,,,,,2.0,,1.0,,1.0,1.0,,,,0.5,1.0,,,,,0.2142857142857142,0.0909090909090909,0.25,0.25,,,0.1666666666666666,1.0,,1.0,0.6666666666666666,0.6666666666666666,0.5,,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.6005,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,1610612761,Derrick Dial,Derrick Dial,1760,TOR,3013.0,50,22,94,97,29,58,12.0,191,1.0,1.0,8.0,19.0,1.0,3.0,1.0,2.0,10.0,22.0,1.0,4.0,28.0,81.0,,2.0,,4.0,6.0,1.0,3.0,12.0,6.0,3.0,,3.0,1.0,3.0,1.0,4.0,1.0,1.0,9.0,,2.0,11.0,1.0,2.0,3.0,1.0,6.0,,12.0,29,1.0,0.25,0.3333333333333333,0.25,0.4545454545454545,,0.6666666666666666,0.4423076923076923,,0.6111111111111112,0.4827586206896552,,0.6,0.1538461538461538,29.90654205607477,,0.048780487804878,,0.0384615384615384,1.0,1.0,0.7307692307692307,0.4210526315789473,0.4444444444444444,0.1153846153846153,0.3333333333333333,0.3333333333333333,1.0,0.2222222222222222,0.5,0.2307692307692307,0.3333333333333333,0.3979211538461538,0.3925055555555556,,0.4285714285714285,16.754545454545454,26.225,0.3085106382978723,1.0,2.0,14.0,1.0,2.0,9.0,,9.0,,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,0.7,0.7,0.0454545454545454,,0.3333333333333333,,0.2195121951219512,0.0571428571428571,0.1875,0.0909090909090909,0.0588235294117647,0.0833333333333333,0.25,,,0.0769230769230769,0.5,0.5,,0.75,,1.0,,2.0,,0.2941176470588235,,0.5,,0.44805,0.0714285714285714,0.0833333333333333,1.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0526315789473684,1.0,0.0384615384615384,0.1111111111111111,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,1033.0,17,6,30,31,10,18,2.0,61,,,,,1.0,2.0,,,,1.0,1.0,2.0,6.0,28.0,,,,,1.0,,,,,3.0,,2.0,1.0,2.0,,2.0,,,4.0,,,1.0,,,,,3.0,,,10,1.0,0.5,,0.5,,,,0.5,,,0.75,,,0.6666666666666666,12.5,,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,,1.0,0.5,0.5398333333333333,0.5839,,,,25.0,0.3333333333333333,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,0.0909090909090909,,0.0625,,,,0.2,,,0.3333333333333333,,,,,,,,,,,,,,,0.25,,,,3.0,,2.0,,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1610612761,Antonio Davis,Antonio Davis,213,TOR,1408.0,23,25,41,41,21,26,7.0,82,,1.0,2.0,5.0,,,,,6.0,11.0,,,16.0,30.0,,,2.0,2.0,4.0,,,5.0,6.0,,,,,3.0,,3.0,,1.0,6.0,,2.0,7.0,,,1.0,1.0,4.0,,5.0,21,,,,,0.5454545454545454,,0.5,0.5454545454545454,,0.5,0.6666666666666666,1.0,0.625,,27.083333333333336,,0.1052631578947368,,0.0909090909090909,,,0.4545454545454545,0.4,0.4,,,,,,,0.4545454545454545,,0.4634363636363636,0.4477,0.125,0.3125,8.963636363636363,,0.5121951219512195,4.0,5.0,6.0,,2.0,3.0,,5.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,0.5,0.5,,,1.0,,0.1578947368421052,0.1333333333333333,0.2083333333333333,0.25,,0.125,,0.2,,0.4545454545454545,0.8,0.8,0.75,,,,2.0,3.0,0.4,0.2857142857142857,,,,,0.25,0.25,,,4.0,1.0,2.0,,,,,,,1.0,,0.25,,1.0,2.0,2.0,0.5,0.5,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,1610612761,Jerome Williams,Jerome Williams,966,TOR,694.0,12,1,20,24,16,13,5.0,44,,,,,,,,,1.0,3.0,,,2.0,17.0,1.0,2.0,2.0,1.0,3.0,,,2.0,2.0,,2.0,,,,,,,,,1.0,3.0,6.0,,,,,,,2.0,16,,,,,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,11.538461538461538,1.0,0.2727272727272727,,,,,,,,,,,,,,1.0,,0.5230666666666667,0.5230666666666667,1.0,1.0,0.6666666666666666,,0.8,1.0,3.0,,1.0,2.0,2.0,,3.0,1.0,,,,,,,,,1.0,,2.0,2.0,,2.0,,,1.0,,,0.3333333333333333,0.3333333333333333,,,0.1818181818181818,0.2,0.2142857142857142,0.5,,0.2,,1.0,,1.0,0.3333333333333333,0.5,,,1.0,2.0,1.0,,0.3333333333333333,0.25,,1.0,0.5,0.49475,,,,,,,,,,,,,,3.0,,1.0,,1.0,,,0.3333333333333333,0.5,0.3333333333333333,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1610612761,Chris Childs,Chris Childs,164,TOR,875.0,15,7,29,29,10,18,4.0,58,,,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,8.0,23.0,,,,1.0,1.0,1.0,2.0,5.0,,,,3.0,1.0,3.0,,3.0,,2.0,6.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,5.0,10,,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,,1.0,0.5833333333333334,,0.8333333333333334,0.5833333333333334,,0.8333333333333334,0.5,20.588235294117645,,,,,,,0.1666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,0.6666666666666666,0.5,0.8333333333333334,0.3333333333333333,0.5245,0.5823833333333334,,0.625,6.3,25.7,0.3448275862068966,1.0,2.0,4.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,0.0769230769230769,,0.0625,,,,,,,0.3333333333333333,0.5,0.5,1.0,1.0,,,,,,0.1428571428571428,,,,,,,,,1.0,,1.0,,,,,,,1.0,,0.3333333333333333,,1.0,,,,,1.0,,3.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1610612761,Jermaine Jackson,Jermaine Jackson,1983,TOR,1921.0,32,13,61,63,7,42,8.0,124,1.0,1.0,2.0,3.0,1.0,1.0,,,3.0,4.0,1.0,1.0,9.0,54.0,,,,,,,,,6.0,,,1.0,1.0,9.0,2.0,11.0,2.0,6.0,24.0,,,4.0,,2.0,2.0,,,,,7,,1.0,,1.0,0.75,,,0.9,,,0.9,,,0.2,10.0,,,,0.2,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,0.2,1.0,1.0,,,,0.2,1.0,0.40037,,,,15.05,24.6,0.1147540983606557,,,,,,3.0,1.0,4.0,,1.0,,1.0,,,,,3.0,5.0,,,,,,,,1.0,,,,,,0.3333333333333333,0.12,,0.1071428571428571,,,,0.125,,,,,,,,,,,,,0.1666666666666666,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,1610612761,Dell Curry,Dell Curry,209,TOR,1041.0,17,3,35,36,3,25,3.0,71,,,1.0,3.0,1.0,2.0,,,1.0,3.0,1.0,2.0,5.0,33.0,,1.0,,,,,,,,3.0,,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,,3,1.0,0.5,,0.5,0.3333333333333333,,,0.5,,,0.5,,,0.4,15.789473684210526,,,,,,,0.6,0.3333333333333333,0.3333333333333333,0.4,0.5,0.5,1.0,,,0.4,0.5,0.43901,,,,15.733333333333334,24.85,0.0857142857142857,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,0.0666666666666666,,0.0666666666666666,,,,0.2,,,,,,,1.0,,,,,,,,,,0.3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
