EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PtsPutbacks,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,PtsUnassisted3s,Corner3Assists,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,BlockedLongMidRange,3SecondViolations,SecondChanceAtRimPctAssisted,DefensiveGoaltends,Corner3PctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,OffensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,on,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedCorner3
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,9819.0,164,15,322,316,97,83,48.0,638,3.0,6.0,1.0,1.0,3.0,5.0,2.0,4.0,6.0,10.0,4.0,10.0,1.0,1.0,2.0,7.0,24.0,2.0,3.0,1.0,6.0,11.0,20.0,11.0,34.0,9.0,64.0,335,1.0,2.0,3.0,4.0,11.0,5.0,9.0,1.0,8.0,4.0,17.0,10.0,12.0,33.0,24.0,7.0,3.0,1.0,12.0,2.0,14.0,2.0,2.0,7.0,3.0,30.0,2.0,2.0,10.0,12.0,2.0,14.0,6.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,6.0,9.0,9.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,17.0,97,3.0,0.45454545454545453,0.45454545454545453,1.0,0.3235294117647059,0.75,0.125,0.3235294117647059,0.55,0.5,0.5555555555555556,0.5092592592592593,0.9166666666666666,0.38235294117647056,0.5350877192982456,0.9166666666666666,0.4166666666666667,0.6296296296296297,0.029411764705882353,0.15,0.3333333333333333,0.1,0.041666666666666664,16.13756613756614,0.5,0.08695652173913043,0.06896551724137931,0.04,0.08333333333333333,0.012987012987012988,0.04878048780487805,0.10714285714285714,0.05,0.10638297872340426,0.05,0.1111111111111111,1.0,0.1111111111111111,0.5,0.75,0.07407407407407407,0.5,0.5,0.5,0.18518518518518517,0.6,0.6666666666666666,0.6666666666666666,0.18518518518518517,0.4,0.4,1.0,0.4444444444444444,0.2916666666666667,0.30434782608695654,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.5,0.6666666666666666,1.0,0.29411764705882354,0.6,0.11764705882352941,0.35294117647058826,0.16666666666666666,0.7407407407407407,0.2916666666666667,0.528487037037037,0.5218700000000001,0.54985,0.01818181818181818,0.047619047619047616,0.171875,0.265625,11.915,24.970588235294116,0.30124223602484473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,16783.0,280,4,518,517,129,141,83.0,1035,12.0,27.0,6.0,12.0,1.0,4.0,30.0,61.0,3.0,8.0,,,,,,,,,,,,45.0,96.0,,,14.0,104.0,529,9.0,18.0,,,22.0,7.0,16.0,,,4.0,18.0,68.0,22.0,,,,5.0,,5.0,7.0,12.0,7.0,3.0,1.0,1.0,31.0,3.0,4.0,48.0,57.0,25.0,82.0,8.0,7.0,1.0,6.0,1.0,2.0,10.0,3.0,16.0,1.0,4.0,11.0,26.0,18.0,,9.0,2.0,25.0,10.0,25.0,11.0,18.0,129,2.0,0.7555555555555555,0.8292682926829268,,,,,,0.46875,0.5,0.4375,0.46875,0.5,0.4375,0.5048543689320388,0.5238095238095238,0.5,,,0.052083333333333336,0.18518518518518517,,,19.508196721311478,0.375,0.22641509433962265,0.10256410256410256,0.043478260869565216,0.20717131474103587,0.08727272727272728,0.03571428571428571,0.22448979591836735,0.16279069767441862,0.2987012987012987,0.13333333333333333,,0.44,0.28125,0.4444444444444444,0.5454545454545454,0.6354166666666666,0.4918032786885246,0.4918032786885246,0.8666666666666667,0.08333333333333333,0.375,0.375,0.6666666666666666,,,,,,,,,0.6666666666666666,0.5,,,,,,,0.25,0.25,,,,0.28125,,0.4251770833333332,0.5008,0.39851875000000003,0.0891089108910891,0.0891089108910891,0.21153846153846154,0.17307692307692307,6.742708333333333,,0.24903474903474904,4.0,8.0,21.0,1.0,5.0,4.0,4.0,3.0,5.0,4.0,15.0,1.0,0.4166666666666667,0.06666666666666667,0.10194174757281553,0.10909090909090909,0.10112359550561797,0.0967741935483871,0.07692307692307693,0.08888888888888889,0.5,,,,,,,,,,,,,,,,True,,,,
1863,1610612746,Earl Boykins,Earl Boykins,1863,LAC,45696.0,762,11,1439,1429,434,412,228.0,2868,20.0,46.0,2.0,5.0,3.0,14.0,36.0,82.0,41.0,105.0,,5.0,,3.0,1.0,13.0,37.0,1.0,2.0,3.0,12.0,97.0,233.0,13.0,42.0,47.0,280.0,1518,9.0,23.0,1.0,5.0,27.0,29.0,83.0,3.0,13.0,36.0,103.0,62.0,132.0,36.0,37.0,13.0,15.0,,119.0,26.0,145.0,20.0,52.0,25.0,42.0,316.0,5.0,7.0,17.0,27.0,27.0,54.0,20.0,14.0,6.0,30.0,7.0,23.0,14.0,,44.0,5.0,9.0,12.0,44.0,61.0,5.0,10.0,19.0,2.0,1.0,2.0,,103.0,434,8.0,0.31958762886597936,0.3263157894736842,0.9230769230769231,0.30952380952380953,0.2,0.23076923076923078,0.30952380952380953,0.41630901287553645,0.391304347826087,0.3493975903614458,0.42363636363636364,0.375,0.3489583333333333,0.4602649006622517,0.43548387096774194,0.4364406779661017,0.15272727272727274,,0.06437768240343347,0.021739130434782608,0.009523809523809525,,20.174927113702626,0.6818181818181818,0.03046594982078853,0.05384615384615385,0.03048780487804878,0.03488372093023256,0.03698435277382646,0.03676470588235294,0.02564102564102564,0.03535353535353535,0.029411764705882353,0.06930693069306931,,,0.16727272727272727,0.43478260869565216,0.4444444444444444,0.29818181818181816,0.43902439024390244,0.5217391304347826,0.3333333333333333,0.38181818181818183,0.3904761904761905,0.3942307692307692,0.36585365853658536,0.01818181818181818,,,,0.13454545454545455,0.35135135135135137,0.35135135135135137,0.9230769230769231,0.17857142857142858,0.4,0.10714285714285714,,,0.07142857142857142,0.5,1.0,0.14583333333333334,0.21428571428571427,0.010416666666666666,0.125,0.25,0.32,0.35135135135135137,0.43488618181818195,0.4325347826086957,0.40987291666666675,0.0353356890459364,0.04149377593360996,0.09642857142857143,0.3678571428571429,11.263090128755362,25.68333333333334,0.3015983321751216,6.0,4.0,21.0,1.0,3.0,7.0,7.0,,1.0,2.0,1.0,,0.07894736842105263,0.017543859649122806,0.03896103896103896,0.026143790849673203,0.04568527918781726,0.042328042328042326,,0.04827586206896552,0.2,3.0,6.0,4.0,0.15853658536585366,,,,,,,,,,,,True,,,,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,27164.0,453,17,832,835,239,236,130.0,1667,49.0,69.0,21.0,26.0,15.0,21.0,21.0,58.0,4.0,11.0,,,,,,,,,,,,74.0,138.0,,,64.0,212.0,899,25.0,34.0,,,89.0,22.0,40.0,,,21.0,65.0,64.0,84.0,,,,14.0,,20.0,8.0,28.0,7.0,6.0,4.0,10.0,64.0,10.0,9.0,49.0,65.0,61.0,126.0,16.0,11.0,5.0,13.0,2.0,5.0,13.0,1.0,26.0,7.0,2.0,14.0,34.0,84.0,,40.0,8.0,27.0,13.0,27.0,20.0,65.0,239,3.0,0.43243243243243246,0.5423728813559322,,,,,,0.5362318840579711,0.7352941176470589,0.55,0.5362318840579711,0.7352941176470589,0.55,0.6057142857142858,0.839622641509434,0.625,,,0.10144927536231885,0.07246376811594203,,,20.14098690835851,0.5,0.1536050156739812,0.12857142857142856,0.1,0.14910025706940874,0.15151515151515152,0.08536585365853659,0.15053763440860216,0.15178571428571427,0.15789473684210525,0.1509433962264151,0.058823529411764705,0.7407407407407407,0.5,0.7101449275362319,0.765625,0.42028985507246375,0.3620689655172414,0.42857142857142855,0.5714285714285714,0.07971014492753623,0.36363636363636365,0.36363636363636365,0.75,,,,,,,,,0.7647058823529411,0.8076923076923077,,,,,,,0.525,0.7142857142857143,,,,0.5,,0.4804695652173914,0.5360387096774194,0.459225,0.23952095808383234,0.23952095808383234,0.419811320754717,0.30660377358490565,4.867391304347826,,0.28725961538461536,39.0,30.0,50.0,1.0,7.0,5.0,8.0,3.0,5.0,11.0,13.0,,0.2916666666666667,0.03333333333333333,0.16891891891891891,0.26666666666666666,0.19444444444444445,0.07964601769911504,0.16666666666666666,0.10204081632653061,0.3469387755102041,,1.0,3.0,0.15517241379310345,1.0,2.0,0.09523809523809523,,,,,,,,,True,,,,
1885,1610612746,Lamar Odom,Lamar Odom,1885,LAC,8685.0,145,-26,268,269,58,57,34.0,537,9.0,15.0,3.0,4.0,2.0,4.0,8.0,15.0,3.0,10.0,,1.0,,1.0,,5.0,10.0,,1.0,1.0,1.0,20.0,40.0,5.0,11.0,6.0,61.0,291,4.0,6.0,,2.0,8.0,4.0,8.0,1.0,1.0,,11.0,12.0,28.0,9.0,10.0,5.0,4.0,,19.0,2.0,21.0,2.0,4.0,8.0,7.0,44.0,,3.0,14.0,18.0,4.0,22.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,1.0,9.0,,3.0,7.0,17.0,9.0,,5.0,1.0,7.0,2.0,7.0,6.0,11.0,58,3.0,0.3,0.35294117647058826,0.6,0.45454545454545453,,1.0,0.45454545454545453,0.5,0.6666666666666666,0.5,0.5392156862745098,0.5,0.6111111111111112,0.5648148148148148,0.5,0.55,0.21568627450980393,,0.1,0.13333333333333333,,,20.0,0.5555555555555556,0.12173913043478261,0.09375,,0.11564625850340136,0.03007518796992481,,0.10810810810810811,0.14634146341463414,0.10810810810810811,0.07407407407407407,0.2,0.8571428571428571,0.29411764705882354,0.6,0.6923076923076923,0.29411764705882354,0.5333333333333333,0.6153846153846154,0.25,0.19607843137254902,0.3,0.3,0.6666666666666666,0.0196078431372549,,,,0.19607843137254902,0.5,0.5,0.6,0.5,0.75,0.125,,,0.125,,,0.4444444444444444,0.5,,0.1111111111111111,1.0,0.5098039215686274,0.5,0.45720980392156874,0.45595,0.46879444444444446,0.09433962264150944,0.11904761904761904,0.13114754098360656,0.18032786885245902,7.6750000000000025,26.318181818181817,0.21641791044776118,,6.0,4.0,,1.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,0.1111111111111111,,0.037037037037037035,0.08571428571428572,0.025,,,0.047619047619047616,0.2222222222222222,6.0,,,0.13333333333333333,1.0,,,,,,,,,,,True,,,,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,15438.0,257,9,491,481,131,124,81.0,972,20.0,29.0,2.0,8.0,6.0,8.0,3.0,6.0,11.0,20.0,4.0,11.0,,,2.0,4.0,19.0,,4.0,3.0,8.0,34.0,55.0,8.0,30.0,32.0,124.0,517,4.0,12.0,,4.0,15.0,13.0,17.0,3.0,10.0,15.0,50.0,32.0,36.0,24.0,19.0,4.0,5.0,1.0,13.0,5.0,18.0,4.0,7.0,5.0,1.0,41.0,6.0,6.0,21.0,28.0,18.0,46.0,10.0,5.0,5.0,5.0,1.0,2.0,9.0,,14.0,,3.0,3.0,22.0,40.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,50.0,131,3.0,0.47058823529411764,0.5161290322580645,1.0,0.26666666666666666,,0.3,0.26666666666666666,0.6181818181818182,0.3333333333333333,0.7647058823529411,0.5411764705882353,0.25,0.6481481481481481,0.5913461538461539,0.375,0.6756756756756757,0.35294117647058826,0.03333333333333333,0.09090909090909091,0.06896551724137931,,,20.068027210884352,0.35714285714285715,0.11052631578947368,0.15789473684210525,0.09375,0.11842105263157894,0.06854838709677419,0.10204081632653061,0.08620689655172414,0.0945945945945946,0.15517241379310345,0.1875,,1.0,0.3411764705882353,0.6896551724137931,0.7407407407407407,0.07058823529411765,0.5,1.0,,0.23529411764705882,0.55,0.55,0.5454545454545454,0.12941176470588237,0.36363636363636365,0.4,1.0,0.2235294117647059,0.21052631578947367,0.21052631578947367,1.0,0.5,0.25,,,,0.25,,,0.2962962962962963,0.75,0.07407407407407407,0.2962962962962963,0.375,0.6941176470588235,0.21052631578947367,0.513945294117647,0.49960555555555547,0.4933629629629629,0.16,0.22857142857142856,0.12096774193548387,0.4032258064516129,7.605454545454545,24.483333333333338,0.2668024439918534,7.0,6.0,11.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,,,0.09090909090909091,0.058823529411764705,0.059782608695652176,0.10204081632653061,0.014285714285714285,0.07692307692307693,0.06666666666666667,0.1111111111111111,0.5,,1.0,1.0,0.5,,,,2.0,0.09090909090909091,,,,,,,True,,,,
2032,1610612746,Darius Miles,Darius Miles,2032,LAC,36548.0,609,-1,1144,1153,351,331,178.0,2297,49.0,80.0,8.0,14.0,20.0,30.0,16.0,43.0,15.0,49.0,,,,,,1.0,8.0,1.0,2.0,,4.0,80.0,172.0,1.0,8.0,43.0,206.0,1218,9.0,24.0,1.0,2.0,25.0,23.0,44.0,,4.0,27.0,73.0,114.0,46.0,3.0,7.0,1.0,14.0,,26.0,10.0,36.0,8.0,14.0,4.0,8.0,82.0,6.0,16.0,83.0,107.0,27.0,134.0,17.0,11.0,6.0,31.0,3.0,16.0,14.0,3.0,45.0,4.0,8.0,27.0,46.0,77.0,,33.0,9.0,33.0,23.0,34.0,18.0,73.0,351,4.0,0.7125,0.7808219178082192,1.0,0.125,0.5,,0.14285714285714285,0.46511627906976744,0.375,0.5227272727272727,0.4527777777777778,0.40384615384615385,0.4791666666666667,0.4790697674418605,0.4166666666666667,0.5289855072463768,0.044444444444444446,,0.08139534883720931,0.1,0.04081632653061224,,19.1740412979351,0.6888888888888889,0.18949771689497716,0.14545454545454545,0.05,0.18065693430656934,0.04701627486437613,0.04716981132075472,0.168,0.21568627450980393,0.18125,0.1411764705882353,0.16,0.5294117647058824,0.4444444444444444,0.6125,0.6805555555555556,0.2388888888888889,0.37209302325581395,0.41025641025641024,0.375,0.2722222222222222,0.30612244897959184,0.3191489361702128,0.9333333333333333,,,,,0.044444444444444446,0.125,0.125,1.0,0.5384615384615384,0.5714285714285714,,,,0.07692307692307693,0.5,1.0,0.625,0.6666666666666666,,0.08333333333333333,,0.4888888888888889,0.14285714285714285,0.4884201117318436,0.4865925,0.5170414893617022,0.16019417475728157,0.16666666666666666,0.12135922330097088,0.35436893203883496,6.980813953488371,28.224999999999998,0.3068181818181818,4.0,14.0,20.0,1.0,8.0,4.0,15.0,1.0,3.0,7.0,10.0,2.0,0.24242424242424243,0.02127659574468085,0.046189376443418015,0.07258064516129033,0.05921052631578947,0.012738853503184714,0.07142857142857142,0.05,0.7551020408163265,,2.0,2.0,0.09302325581395349,,1.0,0.125,2.0,,1.0,1.0,1.0,1.0,,,True,,,,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,36537.0,609,20,1145,1140,316,292,183.0,2285,46.0,77.0,17.0,26.0,13.0,23.0,11.0,33.0,11.0,38.0,5.0,13.0,,,2.0,30.0,96.0,6.0,15.0,3.0,18.0,68.0,148.0,35.0,109.0,34.0,275.0,1202,17.0,31.0,6.0,15.0,62.0,19.0,44.0,3.0,20.0,8.0,55.0,86.0,50.0,99.0,94.0,30.0,19.0,1.0,31.0,10.0,41.0,6.0,18.0,8.0,5.0,92.0,9.0,12.0,46.0,59.0,41.0,100.0,21.0,16.0,5.0,20.0,,12.0,13.0,4.0,33.0,3.0,4.0,18.0,41.0,41.0,,19.0,3.0,4.0,1.0,6.0,3.0,55.0,316,5.0,0.6323529411764706,0.7288135593220338,0.9428571428571428,0.3211009174311927,0.4,0.15,0.32710280373831774,0.4594594594594595,0.5483870967741935,0.4318181818181818,0.4688715953307393,0.5652173913043478,0.3671875,0.49818840579710144,0.6078431372549019,0.39855072463768115,0.42412451361867703,0.009174311926605505,0.12837837837837837,0.15584415584415584,0.05263157894736842,0.010416666666666666,22.587719298245613,0.6060606060606061,0.10337078651685393,0.12,0.072,0.10642201834862386,0.07130124777183601,0.07547169811320754,0.096,0.11612903225806452,0.09696969696969697,0.10126582278481013,0.19047619047619047,0.5,0.29961089494163423,0.5974025974025974,0.7076923076923077,0.12840466926070038,0.3333333333333333,0.39285714285714285,0.6363636363636364,0.14785992217898833,0.2894736842105263,0.3055555555555556,0.8181818181818182,0.05058365758754864,0.38461538461538464,0.38461538461538464,1.0,0.3735408560311284,0.3125,0.3157894736842105,0.9333333333333333,0.5652173913043478,0.6538461538461539,,,,0.32608695652173914,0.4,1.0,0.359375,0.5652173913043478,0.03125,0.28125,0.16666666666666666,0.7237354085603113,0.3191489361702128,0.5052964566929136,0.533223611111111,0.4922177419354839,0.0695970695970696,0.11585365853658537,0.22545454545454546,0.2,6.494594594594595,26.121100917431185,0.2759825327510917,10.0,18.0,31.0,1.0,1.0,6.0,8.0,2.0,6.0,3.0,2.0,,0.04,0.023255813953488372,0.07110091743119266,0.0847457627118644,0.04487179487179487,0.08641975308641975,0.05263157894736842,0.046511627906976744,0.5869565217391305,6.0,4.0,2.0,0.15151515151515152,1.0,,0.35294117647058826,,,2.0,2.0,2.0,,,,True,,,,
976,1610612746,Jeff McInnis,Jeff McInnis,976,LAC,5704.0,95,13,193,180,100,79,37.0,373,6.0,7.0,1.0,1.0,4.0,5.0,6.0,13.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,15.0,,2.0,3.0,10.0,16.0,28.0,7.0,16.0,11.0,64.0,204,2.0,4.0,1.0,3.0,8.0,8.0,14.0,4.0,11.0,11.0,39.0,6.0,26.0,21.0,15.0,6.0,,,11.0,3.0,14.0,3.0,3.0,2.0,6.0,31.0,,1.0,5.0,6.0,4.0,10.0,1.0,1.0,,3.0,1.0,2.0,3.0,,6.0,,3.0,5.0,11.0,13.0,,2.0,5.0,,,1.0,,39.0,100,3.0,0.1875,0.2,1.0,0.4375,0.3333333333333333,0.36363636363636365,0.4375,0.5714285714285714,0.5,0.5714285714285714,0.6022727272727273,0.5,0.56,0.64,0.5714285714285714,0.6290322580645161,0.36363636363636365,,,,,,23.728813559322035,0.5,0.07246376811594203,0.041666666666666664,,0.06451612903225806,0.043010752688172046,,0.12,,0.08,0.05555555555555555,,,0.1590909090909091,0.8571428571428571,0.8571428571428571,0.29545454545454547,0.46153846153846156,0.46153846153846156,,0.18181818181818182,0.5,0.5,0.5,0.022727272727272728,1.0,1.0,1.0,0.3409090909090909,0.4,0.4,1.0,0.14285714285714285,1.0,0.14285714285714285,1.0,1.0,0.2857142857142857,,,0.2,0.8,0.04,0.4,0.3,0.5227272727272727,0.4,0.4426363636363637,0.4376857142857143,0.44575,0.044444444444444446,0.06896551724137931,0.125,0.609375,9.25357142857143,25.581249999999997,0.5181347150259067,1.0,2.0,4.0,,,1.0,1.0,,2.0,1.0,,,,,0.057971014492753624,,0.034482758620689655,0.15789473684210525,,0.05,0.16666666666666666,,,,,,,,,,,1.0,1.0,,1.0,1.0,True,,,,
399,1610612746,Sean Rooks,Sean Rooks,399,LAC,13614.0,227,22,418,411,107,84,67.0,829,4.0,5.0,3.0,4.0,2.0,2.0,3.0,12.0,28.0,55.0,,,,,,,,,,,,35.0,72.0,,,2.0,72.0,446,7.0,8.0,,,14.0,9.0,14.0,,,,18.0,58.0,12.0,,,,1.0,,8.0,1.0,9.0,1.0,4.0,2.0,2.0,19.0,2.0,4.0,16.0,21.0,9.0,30.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,1.0,6.0,,1.0,19.0,30.0,2.0,,1.0,,4.0,3.0,4.0,2.0,18.0,107,4.0,0.8285714285714286,0.90625,,,,,,0.4861111111111111,0.875,0.6428571428571429,0.4861111111111111,0.875,0.6428571428571429,0.4931506849315068,0.875,0.6428571428571429,,,0.013888888888888888,,,,15.768463073852296,0.5,0.09815950920245399,0.11428571428571428,0.05714285714285714,0.10101010101010101,0.04522613065326633,0.08,0.11627906976744186,0.06779661016949153,0.11475409836065574,0.125,0.09090909090909091,0.5,0.06944444444444445,0.8,0.8,0.16666666666666666,0.25,0.2727272727272727,0.6666666666666666,0.7638888888888888,0.509090909090909,0.509090909090909,0.9285714285714286,,,,,,,,,0.5,0.75,,,,,,,0.14285714285714285,1.0,,,,0.06944444444444445,,0.4031944444444445,0.504975,0.40722857142857144,0.0136986301369863,0.0136986301369863,0.19444444444444445,0.25,15.19722222222222,,0.25598086124401914,,6.0,7.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.14285714285714285,,0.042682926829268296,,0.09803921568627451,0.028985507246376812,,0.027777777777777776,0.25,,,1.0,0.08333333333333333,,,,,,,,,,,,True,,,,
