EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,ShortMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,PtsPutbacks,BadPassOutOfBoundsTurnovers,BlockedAtRim,RecoveredBlocks,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTDefRebounds,DefFTReboundPct,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SelfOReb,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations,SelfORebPct,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,on,HeaveAttempts,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,OffensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips
1134,1610612763,Ike Austin,Ike Austin,1134,MEM,339.0,6,-1.0,11,11,3,1.0,22,1.0,1.0,3.0,1.0,4.0,2.0,10,1.0,2.0,3,1.0,1.0,0.25,0.25,0.25,30.769230769230766,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.39785,0.4239,16.875,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1510,1610612763,Brevin Knight,Brevin Knight,1510,MEM,770.0,13,-13.0,26,24,5,3.0,50,1.0,,2.0,,3.0,4.0,34,,,5,,,,,0.4,24.999999999999996,0.3333333333333333,0.6666666666666666,,,,0.3766666666666667,,14.699999999999998,0.19230769230769232,3.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,0.5,1.0,0.2857142857142857,0.2,0.5,0.3083,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1722,1610612763,Michael Dickerson,Michael Dickerson,1722,MEM,7533.0,126,-8.0,262,257,86,38.0,519,1.0,5.0,18.0,7.0,27.0,43.0,268,5.0,10.0,86,0.7142857142857143,0.7142857142857143,0.25925925925925924,0.3958333333333333,0.4215686274509804,19.407894736842106,0.020833333333333332,0.375,0.2777777777777778,0.29411764705882354,0.6,0.511475,0.47203,12.825925925925926,0.3282442748091603,54.0,5.0,7.0,,7.0,5.0,4.0,9.0,2.0,,22.0,7.0,9.0,12.0,5.0,3.0,8.0,2.0,6.0,3.0,,7.0,0.2692307692307692,0.625,0.0958904109589041,0.0891089108910891,0.05263157894736842,0.513473076923077,0.058823529411764705,0.1,0.16279069767441862,2.0,8.0,3.0,1.0,3.0,2.0,5.0,6.0,16.0,1.0,2.0,1.0,6.0,8.0,21.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,6.0,4.0,24.0,16.0,6.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,6.0,12.0,2.0,1.0,1.0,1.0,2.0,1.0,0.38095238095238093,0.5,0.16666666666666666,0.38095238095238093,0.2,0.2857142857142857,0.35714285714285715,0.2692307692307692,0.375,0.4375,0.18518518518518517,0.5,0.05555555555555555,0.021739130434782608,0.07142857142857142,0.023255813953488372,0.022222222222222223,0.037037037037037035,0.038461538461538464,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.043478260869565216,0.2,0.16666666666666666,0.25,0.5,1.0,0.10416666666666667,0.4,0.4,1.0,0.3333333333333333,0.375,0.375,1.0,0.42857142857142855,0.2857142857142857,0.5,1.0,0.23076923076923078,0.3333333333333333,0.46153846153846156,0.16666666666666666,0.6041666666666666,0.375,0.13953488372093023,24.585714285714282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,5979.0,100,-7.0,211,205,75,31.0,416,7.0,1.0,2.0,5.0,13.0,30.0,215,6.0,2.0,75,0.2,1.0,0.38461538461538464,0.44642857142857145,0.4838709677419355,14.285714285714285,0.25,0.07142857142857142,0.5,0.5,1.0,0.5100410714285715,0.4915,8.069230769230769,0.35545023696682465,46.0,5.0,6.0,2.0,10.0,6.0,3.0,9.0,2.0,2.0,21.0,5.0,5.0,10.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,10.0,0.5,0.25,0.09090909090909091,0.06666666666666667,0.21428571428571427,0.47510555555555556,0.06666666666666667,0.13333333333333333,0.3333333333333333,3.0,4.0,3.0,1.0,2.0,3.0,9.0,2.0,6.0,,,1.0,2.0,5.0,15.0,4.0,,,1.0,9.0,1.0,2.0,3.0,8.0,12.0,6.0,2.0,1.0,1.0,4.0,,1.0,4.0,,5.0,7.0,6.0,1.0,3.0,,,,5.0,8.0,1.0,1.0,,1.0,1.0,0.8,0.3333333333333333,,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.4444444444444444,0.6428571428571429,0.5357142857142857,0.07692307692307693,,,0.05128205128205128,,0.03225806451612903,0.045871559633027525,,0.08333333333333333,0.05,0.05,0.047619047619047616,,,0.14285714285714285,0.75,0.75,,0.32142857142857145,0.3333333333333333,0.3333333333333333,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,0.2222222222222222,0.5,0.2222222222222222,0.5,0.6785714285714286,0.3333333333333333,0.3,24.086666666666662,3.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,1.0,0.14285714285714285,0.06896551724137931,1.0,0.14285714285714285,0.16666666666666666,1.0,0.1111111111111111,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
763,1610612763,Tony Massenburg,Tony Massenburg,763,MEM,1167.0,19,-3.0,41,40,17,3.0,81,2.0,,,1.0,3.0,2.0,32,,,17,,,0.3333333333333333,0.3333333333333333,0.25,10.869565217391305,0.6666666666666666,,,,,0.43376666666666663,,7.066666666666667,0.4146341463414634,11.0,,2.0,,,,,,,,,4.0,6.0,7.0,,,1.0,,2.0,,1.0,,,,0.26666666666666666,0.2857142857142857,,0.46495,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,2.0,1.0,2.0,,2.0,,,,,,,,,,,,,0.3333333333333333,1.0,,0.0625,0.3333333333333333,,0.045454545454545456,,,,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,,,,,,,,,,,,,,,,0.5,,,,0.3333333333333333,,,,,1.0,,,,,,2.0,1.0,,0.125,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
98,1610612763,Nick Anderson,Nick Anderson,98,MEM,1424.0,24,-1.0,45,47,5,7.0,92,,,,,,12.0,49,,,5,,,,0.5,0.5,24.528301886792452,,,,,,0.55045,0.522375,,0.1111111111111111,8.0,,,,,1.0,,1.0,,,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,1.0,0.1111111111111111,0.13043478260869565,0.4,0.510675,,,,,,,,,,2.0,4.0,10.0,1.0,2.0,,2.0,4.0,12.0,,1.0,2.0,,3.0,,,2.0,,9.0,10.0,4.0,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,0.75,0.3333333333333333,0.5,,0.3333333333333333,,,0.75,,0.75,1.0,,,,,0.2,,,,,,,,,0.3333333333333333,,,,,0.16666666666666666,,,,0.8333333333333334,0.4,0.4,0.75,,1.0,0.5,1.0,,,1.0,,1.0,0.4,0.25,24.591666666666665,,,,,3.0,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
1715,1610612763,Jason Williams,Jason Williams,1715,MEM,6555.0,109,4.0,229,228,79,32.0,457,2.0,11.0,20.0,14.0,27.0,41.0,226,1.0,6.0,79,0.21428571428571427,0.21428571428571427,0.5185185185185185,0.425,0.44047619047619047,21.052631578947366,0.05,0.5,0.55,0.55,0.18181818181818182,0.47651875000000005,0.47092500000000004,14.21111111111111,0.34497816593886466,52.0,7.0,7.0,,13.0,21.0,4.0,25.0,4.0,10.0,54.0,6.0,10.0,10.0,11.0,9.0,14.0,6.0,9.0,2.0,,13.0,0.5,0.7857142857142857,0.09523809523809523,0.10227272727272728,0.13333333333333333,0.4826923076923077,0.047619047619047616,0.06896551724137931,0.3170731707317073,2.0,5.0,1.0,,1.0,,2.0,2.0,11.0,,1.0,1.0,5.0,2.0,13.0,,,1.0,,,5.0,1.0,6.0,22.0,3.0,11.0,2.0,1.0,,8.0,3.0,,,3.0,,6.0,5.0,1.0,3.0,2.0,,,1.0,2.0,,,,,,0.5,0.15384615384615385,,0.16666666666666666,0.15384615384615385,,0.7142857142857143,,0.5,,0.325,0.037037037037037035,0.2,,,0.12,,,,,,,0.14285714285714285,0.14285714285714285,,0.125,0.4,0.5,0.5,0.05,,,,0.275,0.18181818181818182,0.18181818181818182,0.5,0.5,0.5,,,0.07692307692307693,,0.38461538461538464,0.2,0.45,0.18181818181818182,,25.299999999999997,,1.0,,1.0,3.0,,2.0,,,,,,0.5,0.5,,0.07692307692307693,,1.0,0.14285714285714285,1.0,5.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,
2031,1610612763,Stromile Swift,Stromile Swift,2031,MEM,3963.0,66,-26.0,137,138,46,25.0,275,6.0,1.0,3.0,8.0,18.0,29.0,147,4.0,8.0,46,0.5,0.8,0.4444444444444444,0.4444444444444444,0.5576923076923077,16.463414634146343,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.4822,0.5556749999999999,5.394444444444444,0.3357664233576642,39.0,13.0,5.0,5.0,5.0,1.0,,1.0,,,2.0,7.0,12.0,20.0,1.0,1.0,1.0,,17.0,7.0,2.0,5.0,0.3125,1.0,0.2,0.20754716981132076,,0.42474,0.2916666666666667,0.2916666666666667,0.1724137931034483,5.0,9.0,4.0,,1.0,,,,,,,,,,,3.0,,,2.0,8.0,,,,8.0,,,,1.0,,1.0,,1.0,7.0,4.0,8.0,5.0,2.0,3.0,,,,,3.0,8.0,,,,,4.0,,,,,,0.75,,0.75,,0.8,,0.05555555555555555,0.1111111111111111,,0.13725490196078433,0.2222222222222222,0.038461538461538464,0.1038961038961039,0.06666666666666667,0.16666666666666666,0.05,0.38461538461538464,0.13333333333333333,0.1875,0.5,0.5,0.5555555555555556,0.625,0.2,,,,,,,,,1.0,,,,0.2,,,,0.5,,0.27586206896551724,,3.0,2.0,,,,6.0,,,,,0.16666666666666666,,0.3333333333333333,0.3333333333333333,0.75,,,1.0,0.16666666666666666,,,2.0,1.0,1.0,2.0,1.0,0.2222222222222222,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,
2200,1610612763,Pau Gasol,Pau Gasol,2200,MEM,3112.0,52,20.0,111,105,36,12.0,216,6.0,2.0,3.0,17.0,23.0,38.0,107,3.0,22.0,36,0.6470588235294118,0.7857142857142857,0.7391304347826086,0.7083333333333334,0.7307692307692307,24.390243902439025,0.25,0.125,0.6666666666666666,0.6666666666666666,1.0,0.51575,0.538925,4.521739130434782,0.32432432432432434,15.0,4.0,6.0,2.0,12.0,3.0,2.0,5.0,1.0,1.0,12.0,5.0,7.0,11.0,1.0,,4.0,3.0,6.0,2.0,2.0,12.0,0.75,0.25,0.14705882352941177,0.16666666666666666,0.09090909090909091,0.5633166666666666,0.08333333333333333,0.08695652173913043,0.3157894736842105,11.0,14.0,3.0,4.0,5.0,,,,1.0,,1.0,,,,1.0,3.0,,1.0,,6.0,5.0,,,12.0,,1.0,,2.0,1.0,2.0,,,4.0,2.0,4.0,1.0,1.0,,3.0,1.0,1.0,,1.0,6.0,2.0,6.0,2.0,6.0,,,,,,,1.0,0.8333333333333334,0.75,0.8333333333333334,0.75,0.041666666666666664,0.08695652173913043,0.07142857142857142,,0.12121212121212122,0.25,,0.08,0.08333333333333333,0.09090909090909091,,0.2,0.15384615384615385,0.2857142857142857,,0.5833333333333334,0.7857142857142857,0.8461538461538461,0.6363636363636364,,,,,0.041666666666666664,,,,0.75,0.25,,,0.8333333333333334,0.8,,,0.625,,0.15789473684210525,25.5,3.0,4.0,,,,6.0,,4.0,6.0,0.16666666666666666,0.2,1.0,0.6666666666666666,0.8,1.0,,,,,,,,,2.0,1.0,,,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,
953,1610612763,Lorenzen Wright,Lorenzen Wright,953,MEM,6477.0,108,-4.0,223,219,69,35.0,442,14.0,5.0,14.0,23.0,51.0,59.0,238,7.0,32.0,69,0.6956521739130435,0.8421052631578947,0.45098039215686275,0.45098039215686275,0.5175438596491229,24.904214559386975,0.27450980392156865,0.27450980392156865,0.35714285714285715,0.35714285714285715,1.0,0.47585098039215684,0.5679142857142858,6.950980392156863,0.3094170403587444,42.0,13.0,16.0,3.0,25.0,2.0,2.0,4.0,1.0,,10.0,17.0,26.0,43.0,3.0,3.0,8.0,4.0,15.0,8.0,1.0,25.0,0.6944444444444444,0.375,0.288135593220339,0.2839506172839506,0.15384615384615385,0.49223125,0.14285714285714285,0.14285714285714285,0.423728813559322,14.0,23.0,7.0,8.0,10.0,,,,,,,,,,,4.0,,,1.0,9.0,11.0,,,14.0,,,,5.0,1.0,,2.0,4.0,12.0,6.0,17.0,2.0,2.0,,5.0,,2.0,3.0,5.0,9.0,,1.0,,1.0,1.0,,,,,,0.5714285714285714,0.6875,0.5714285714285714,0.6875,0.5625,,0.09803921568627451,0.13043478260869565,,0.15384615384615385,0.2727272727272727,0.10810810810810811,0.1391304347826087,0.24,0.19047619047619047,0.12,0.19047619047619047,0.44,0.3157894736842105,,0.45098039215686275,0.6086956521739131,0.7,0.5714285714285714,,,,,,,,,1.0,,,,0.625,0.8,,,0.45098039215686275,,0.15254237288135594,,4.0,4.0,,,,8.0,1.0,1.0,1.0,0.14285714285714285,0.0625,1.0,0.2857142857142857,0.3333333333333333,0.5714285714285714,,,3.0,0.6,1.0,,2.0,2.0,3.0,,2.0,0.08695652173913043,0.75,1.0,0.2,0.08333333333333333,True,,,,,,,,,,,,,,,,,,,,,
