EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyArc3FGM,PenaltyArc3FGA,PtsUnassisted3s,ShortMidRangeAssists,FTOffRebounds,SelfOReb,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedCorner3,RecoveredBlocks,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls,Offensive Fouls,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Clear Path Fouls,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3pt And 1 Free Throw Trips
1110,1610612737,Mark Strickland,Mark Strickland,1110,ATL,646.0,11,20,20,7,8,3.0,40,1.0,2.0,1.0,1.0,2.0,1.0,2.0,20,2.0,1.0,7,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.043478260869565,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.45378333333333337,19.6,23.8,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1521,1610612737,Jacque Vaughn,Jacque Vaughn,1521,ATL,14096.0,235,434,428,107,122,52.0,862,19.0,43.0,6.0,28.0,59.0,11.0,83.0,416,34.0,22.0,107,0.6071428571428571,0.6296296296296297,0.4745762711864407,0.5071428571428571,0.5324675324675324,0.15714285714285714,18.82591093117409,0.6142857142857143,0.4418604651162791,0.4418604651162791,0.7368421052631579,0.08571428571428572,0.3142857142857143,0.43519642857142854,14.245762711864407,24.563636363636363,0.2465437788018433,15.0,8.0,11.0,1.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,5.0,12.0,1.0,5.0,1.0,2.0,1.0,6.0,8.0,20.0,1.0,2.0,2.0,21.0,22.0,15.0,2.0,5.0,2.0,2.0,34.0,5.0,39.0,2.0,3.0,22.0,12.0,83.0,2.0,3.0,5.0,15.0,1.0,21.0,5.0,26.0,4.0,2.0,2.0,8.0,3.0,5.0,8.0,3.0,3.0,1.0,16.0,6.0,8.0,15.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,21.0,4.0,1.0,0.45454545454545453,0.5,0.5,0.45454545454545453,0.2,0.4,0.35714285714285715,0.4318181818181818,0.35714285714285715,0.4375,0.03389830508474576,0.4,0.5,0.0625,0.09375,0.01875,0.125,0.04081632653061224,0.1,0.023923444976076555,0.047619047619047616,0.01694915254237288,0.06666666666666667,0.10526315789473684,0.07547169811320754,0.1,0.16129032258064516,0.15714285714285714,0.7272727272727273,0.7272727272727273,0.375,0.07142857142857142,0.2,0.3333333333333333,0.5,0.5,1.0,0.07142857142857142,0.4,0.4,1.0,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,0.13636363636363635,0.6666666666666666,0.09090909090909091,0.5,0.4,0.4419928571428571,0.3877681818181818,0.06666666666666667,0.078125,0.07228915662650602,0.25301204819277107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,18540.0,309,603,597,237,227,65.0,1200,10.0,31.0,11.0,29.0,85.0,61.0,145.0,585,22.0,17.0,237,0.3793103448275862,0.3793103448275862,0.3411764705882353,0.4143835616438356,0.4554140127388535,0.4178082191780822,25.221238938053098,0.21232876712328766,0.3225806451612903,0.3333333333333333,0.6,0.07534246575342465,0.6438356164383562,0.49282739726027386,8.72235294117647,24.45245901639344,0.39303482587064675,48.0,10.0,33.0,,3.0,3.0,11.0,9.0,21.0,3.0,1.0,,5.0,18.0,50.0,1.0,5.0,21.0,24.0,1.0,9.0,1.0,6.0,,5.0,9.0,29.0,7.0,24.0,11.0,50.0,36.0,39.0,,50.0,18.0,11.0,43.0,10.0,53.0,4.0,6.0,26.0,12.0,116.0,3.0,3.0,5.0,13.0,,18.0,7.0,25.0,18.0,14.0,4.0,12.0,1.0,10.0,2.0,,2.0,1.0,14.0,7.0,9.0,26.0,2.0,10.0,3.0,1.0,,2.0,1.0,50.0,3.0,0.6190476190476191,0.3442622950819672,0.16666666666666666,0.2916666666666667,0.3442622950819672,0.1111111111111111,0.3103448275862069,0.16666666666666666,0.36792452830188677,0.16666666666666666,0.4224137931034483,0.12941176470588237,0.14285714285714285,0.8571428571428571,,0.05555555555555555,0.015463917525773196,0.07246376811594203,0.04,0.0594059405940594,0.022304832713754646,0.015384615384615385,0.030303030303030304,,0.06818181818181818,0.041666666666666664,0.05405405405405406,0.08163265306122448,0.22602739726027396,0.30303030303030304,0.38461538461538464,0.3,0.14383561643835616,0.42857142857142855,0.5,0.2727272727272727,0.2727272727272727,1.0,0.3424657534246575,0.36,0.36,0.5555555555555556,0.2,,0.06666666666666667,0.3333333333333333,0.2,1.0,0.20754716981132076,0.2727272727272727,0.09433962264150944,,0.36,0.458275,0.47569339622641504,0.06493506493506493,0.10752688172043011,0.034482758620689655,0.3448275862068966,7.0,19.0,24.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0.21212121212121213,0.03225806451612903,0.05,0.125,0.05,0.012345679012345678,1.0,0.2222222222222222,0.3584905660377358,0.3684210526315789,,,,,,,,,,,,,,True,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,25372.0,423,806,798,259,273,95.0,1604,4.0,8.0,,58.0,115.0,1.0,143.0,791,78.0,40.0,259,0.6724137931034483,0.78,0.5043478260869565,0.5129310344827587,0.5257352941176471,0.008620689655172414,17.1960569550931,0.06896551724137931,0.5,0.5,1.0,,0.6293103448275862,0.5087612068965517,3.6504347826086962,33.9,0.3213399503722084,32.0,47.0,72.0,12.0,15.0,9.0,22.0,7.0,35.0,,,,,1.0,1.0,,,1.0,24.0,15.0,22.0,,,7.0,37.0,13.0,32.0,,,12.0,38.0,38.0,3.0,16.0,1.0,1.0,18.0,10.0,1.0,11.0,1.0,,4.0,5.0,23.0,5.0,25.0,12.0,51.0,3.0,66.0,31.0,97.0,11.0,9.0,2.0,11.0,,3.0,10.0,1.0,8.0,1.0,21.0,10.0,21.0,45.0,,18.0,7.0,,,15.0,2.0,38.0,,1.0,1.0,,,1.0,0.6818181818181818,0.40625,0.6818181818181818,0.40625,0.7115384615384616,0.4418604651162791,0.1565217391304348,0.22857142857142856,0.5238095238095238,0.10714285714285714,0.16612377850162866,0.09124087591240876,0.13636363636363635,0.05102040816326531,0.15949367088607594,0.08064516129032258,0.10344827586206896,0.07368421052631578,0.06153846153846154,0.16363636363636364,0.19607843137254902,0.1368421052631579,0.09836065573770492,0.6206896551724138,0.6527777777777778,0.7580645161290323,0.6808510638297872,0.3017241379310345,0.2,0.25925925925925924,,,,0.008620689655172414,1.0,1.0,1.0,0.6818181818181818,0.8,,,,,0.6875,0.4090909090909091,,,1.0,0.5024578947368421,0.5279406249999999,0.13953488372093023,0.140625,0.25874125874125875,0.26573426573426573,,,,1.0,1.0,2.0,2.0,5.0,15.0,7.0,,11.0,0.1388888888888889,,0.041666666666666664,0.030303030303030304,0.2222222222222222,0.05555555555555555,0.7333333333333333,0.42857142857142855,,,2.0,5.0,1.0,7.0,1.0,3.0,0.09782608695652174,0.25,,,,,,True,,,,,,,,
949,1610612737,Shareef Abdur-Rahim,Shareef Abdur-Rahim,949,ATL,17094.0,285,547,531,167,200,72.0,1078,10.0,21.0,6.0,51.0,106.0,12.0,143.0,536,62.0,25.0,167,0.6078431372549019,0.6458333333333334,0.4811320754716981,0.4703389830508475,0.5181159420289855,0.1016949152542373,27.272727272727273,0.17796610169491525,0.47619047619047616,0.47619047619047616,0.8,0.05084745762711865,0.4322033898305085,0.455939406779661,7.225471698113209,24.21666666666667,0.3053016453382084,-14.0,23.0,39.0,3.0,7.0,6.0,8.0,18.0,46.0,3.0,,1.0,4.0,,6.0,,1.0,3.0,32.0,5.0,17.0,,1.0,11.0,21.0,12.0,26.0,1.0,7.0,9.0,36.0,40.0,9.0,6.0,6.0,,8.0,20.0,7.0,27.0,5.0,2.0,9.0,9.0,61.0,6.0,14.0,5.0,32.0,12.0,49.0,20.0,69.0,6.0,4.0,2.0,19.0,4.0,11.0,14.0,2.0,8.0,1.0,33.0,7.0,15.0,43.0,,20.0,3.0,,,6.0,,36.0,2.0,1.0,0.25,,0.14285714285714285,0.25,0.29411764705882354,0.46153846153846156,0.2777777777777778,0.4090909090909091,0.42,0.47368421052631576,0.07547169811320754,0.043478260869565216,0.5757575757575758,0.631578947368421,0.16494845360824742,0.07329842931937172,0.07936507936507936,0.08333333333333333,0.14396887159533073,0.07604562737642585,0.06060606060606061,0.015151515151515152,0.10204081632653061,0.07042253521126761,0.2459016393442623,0.1935483870967742,0.1111111111111111,0.3305084745762712,0.5897435897435898,0.696969696969697,0.782608695652174,0.3898305084745763,0.391304347826087,0.4090909090909091,0.5,0.5,1.0,0.05084745762711865,,,,0.3888888888888889,0.42857142857142855,,0.05555555555555555,,,0.24242424242424243,0.75,0.12121212121212122,0.25,,0.4743533333333333,0.4383,0.14814814814814814,0.16260162601626016,0.14685314685314685,0.2517482517482518,,3.0,,2.0,,,4.0,3.0,6.0,5.0,,6.0,0.15384615384615385,,,0.043478260869565216,,,1.0,0.2777777777777778,0.09090909090909091,,1.0,4.0,,1.0,,2.0,0.15254237288135594,0.3333333333333333,1.0,,,,,True,,,,,,,,
2069,1610612737,Hanno Mottola,Hanno Mottola,2069,ATL,6501.0,108,200,208,72,61,17.0,408,8.0,17.0,,16.0,32.0,1.0,33.0,200,28.0,15.0,72,0.875,0.9333333333333333,0.5,0.48484848484848486,0.4852941176470588,0.030303030303030304,18.18181818181818,0.5151515151515151,0.47058823529411764,0.47058823529411764,1.0,,0.3333333333333333,0.44253030303030305,10.5375,25.7,0.36,29.0,6.0,10.0,1.0,2.0,3.0,4.0,2.0,5.0,,,,,,1.0,,,,1.0,2.0,4.0,,,,4.0,6.0,10.0,,1.0,,12.0,4.0,,2.0,1.0,,3.0,2.0,3.0,5.0,1.0,2.0,2.0,,13.0,,2.0,6.0,11.0,,17.0,2.0,19.0,2.0,2.0,,3.0,,3.0,3.0,2.0,,1.0,6.0,3.0,6.0,2.0,,1.0,,,,,1.0,12.0,1.0,,,,,,0.5,0.6,0.5,0.5454545454545454,0.5,0.5454545454545454,0.09375,0.4,0.5,,0.13253012048192772,0.029850746268656716,0.2727272727272727,,0.1619047619047619,0.02247191011235955,0.058823529411764705,,,0.08,0.10344827586206896,0.20689655172413793,0.35714285714285715,0.30303030303030304,0.6,0.6666666666666666,0.6666666666666666,0.15151515151515152,0.4,0.6666666666666666,,,,0.030303030303030304,,,,0.5,0.5,,,,,0.36363636363636365,0.75,,,,0.5415666666666666,0.4510090909090909,0.029411764705882353,0.030303030303030304,0.12121212121212122,0.36363636363636365,,1.0,,,,,,,,,,,0.1,,,,0.125,,,1.0,0.09090909090909091,,1.0,,,,,,0.04,,,,,,,True,,,,,,,,
389,1610612737,Toni Kukoc,Toni Kukoc,389,ATL,15833.0,264,502,495,164,160,62.0,997,8.0,17.0,14.0,35.0,65.0,35.0,135.0,502,32.0,17.0,164,0.45714285714285713,0.48484848484848486,0.5384615384615384,0.53,0.5826086956521739,0.35,22.76707530647986,0.17,0.47058823529411764,0.5,0.5,0.14,0.65,0.49799494949494955,7.159999999999999,25.84285714285714,0.32669322709163345,8.0,22.0,30.0,3.0,4.0,9.0,9.0,5.0,18.0,3.0,,2.0,5.0,9.0,21.0,,,12.0,29.0,6.0,9.0,,,3.0,15.0,10.0,15.0,6.0,12.0,17.0,55.0,38.0,24.0,4.0,20.0,9.0,6.0,38.0,8.0,46.0,7.0,1.0,21.0,12.0,100.0,,5.0,12.0,25.0,5.0,42.0,6.0,48.0,11.0,7.0,4.0,12.0,,11.0,3.0,1.0,1.0,1.0,15.0,7.0,9.0,36.0,1.0,13.0,7.0,,,1.0,,55.0,3.0,0.6666666666666666,0.34285714285714286,,0.5,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037037037037037,0.6818181818181818,0.7432432432432432,0.09230769230769231,0.1111111111111111,0.8,0.3125,0.12886597938144329,0.029411764705882353,0.2,,0.14566929133858267,0.021367521367521368,0.05084745762711865,0.03333333333333333,,0.07042253521126761,0.1076923076923077,0.22413793103448276,0.20930232558139536,0.3,0.7333333333333333,0.8148148148148148,0.5454545454545454,0.18,0.2777777777777778,0.3125,0.21428571428571427,0.21428571428571427,1.0,0.21,0.42857142857142855,0.45,0.5555555555555556,0.4444444444444444,0.75,,,,,0.3333333333333333,1.0,0.18518518518518517,0.4,0.45,0.467275,0.5238499999999999,0.12037037037037036,0.1780821917808219,0.1111111111111111,0.4074074074074074,4.0,7.0,12.0,5.0,1.0,2.0,,5.0,1.0,,,1.0,0.1,0.058823529411764705,0.07692307692307693,,0.17647058823529413,0.043478260869565216,1.0,,0.25925925925925924,0.5714285714285714,,1.0,1.0,,,,,0.3333333333333333,,1.0,1.0,0.02857142857142857,0.047619047619047616,True,,,,,,,,
1901,1610612737,Dion Glover,Dion Glover,1901,ATL,2712.0,45,82,86,31,32,8.0,168,1.0,4.0,2.0,4.0,10.0,4.0,15.0,97,2.0,7.0,31,0.25,0.25,0.4,0.5,0.5,0.2857142857142857,17.58241758241758,0.2857142857142857,0.25,0.25,,0.14285714285714285,0.6428571428571429,0.49026153846153847,7.75,32.175,0.3780487804878049,-21.0,3.0,5.0,,,1.0,1.0,,1.0,2.0,,2.0,2.0,,2.0,,,2.0,1.0,1.0,1.0,,,,2.0,1.0,3.0,2.0,3.0,1.0,9.0,6.0,6.0,,1.0,,1.0,3.0,,3.0,,,2.0,1.0,6.0,,1.0,4.0,6.0,,10.0,2.0,12.0,,,,1.0,,1.0,,,,,1.0,1.0,6.0,3.0,,2.0,,,,2.0,,9.0,,1.0,0.5,,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6428571428571429,0.1,,1.0,,0.1935483870967742,0.037037037037037035,0.26666666666666666,,0.21739130434782608,0.02631578947368421,0.125,,,0.125,0.2857142857142857,0.1875,0.2727272727272727,0.35714285714285715,0.6,0.75,0.3333333333333333,0.07142857142857142,,,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,0.16666666666666666,1.0,0.3333333333333333,1.0,,0.3454,0.5085,0.13333333333333333,0.18181818181818182,0.13333333333333333,0.6,,1.0,,,1.0,,,1.0,2.0,1.0,,1.0,0.2,,0.125,,0.25,,0.5,,0.16666666666666666,,,,,1.0,,,,,,1.0,,,,True,,,,,,,,
2035,1610612737,DerMarr Johnson,DerMarr Johnson,2035,ATL,9430.0,157,302,302,100,110,34.0,604,2.0,6.0,9.0,8.0,20.0,25.0,39.0,315,10.0,19.0,100,0.625,0.7142857142857143,0.4,0.4111111111111111,0.42391304347826086,0.5555555555555556,16.61807580174927,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2,0.7333333333333333,0.5089444444444444,7.995,24.607999999999997,0.33112582781456956,5.0,6.0,8.0,1.0,2.0,1.0,1.0,,6.0,2.0,,2.0,5.0,5.0,16.0,,,7.0,2.0,1.0,3.0,,,,2.0,2.0,3.0,4.0,9.0,,16.0,6.0,21.0,2.0,16.0,5.0,,4.0,1.0,5.0,,1.0,4.0,,11.0,1.0,3.0,3.0,11.0,,14.0,4.0,18.0,1.0,1.0,,2.0,1.0,1.0,9.0,1.0,1.0,4.0,11.0,2.0,11.0,2.0,,1.0,,,,10.0,,16.0,5.0,1.0,0.28,,0.4444444444444444,0.28,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,0.18181818181818182,,0.1,0.03125,0.1,0.024390243902439025,0.1,0.029197080291970802,0.03225806451612903,0.05714285714285714,,0.06666666666666667,0.125,0.12,0.11764705882352941,0.17777777777777778,0.75,0.75,0.6666666666666666,0.13333333333333333,,,0.2222222222222222,0.2222222222222222,1.0,0.35555555555555557,0.3125,0.3125,1.0,0.6666666666666666,0.5,,,,,0.08333333333333333,1.0,0.4166666666666667,0.4,0.3125,0.5132333333333333,0.5184000000000001,0.021739130434782608,0.047619047619047616,0.05128205128205128,0.41025641025641024,2.0,4.0,,,,2.0,1.0,,10.0,4.0,,7.0,,,,0.07142857142857142,0.07692307692307693,0.06666666666666667,0.7,,0.3333333333333333,0.5,1.0,,,6.0,,1.0,,,,,,,,True,,,,,,,,
1737,1610612737,Nazr Mohammed,Nazr Mohammed,1737,ATL,1511.0,25,53,52,14,9,5.0,105,,2.0,,3.0,6.0,,10.0,50,4.0,4.0,14,0.6666666666666666,0.6666666666666666,0.5,0.5,0.625,,18.64406779661017,0.3333333333333333,,,,,0.5,0.5152833333333334,6.8500000000000005,,0.2641509433962264,17.0,2.0,3.0,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,2.0,2.0,1.0,2.0,,,2.0,4.0,2.0,,,,,1.0,,,,,,,,,,,1.0,5.0,1.0,7.0,,7.0,1.0,,1.0,2.0,,2.0,1.0,,,,3.0,,3.0,5.0,,2.0,1.0,,,,,4.0,,,,,,,,0.5,,0.5,1.0,0.6666666666666666,0.16666666666666666,,0.6666666666666666,0.5,0.18518518518518517,,0.3333333333333333,,0.2,,,,,0.25,0.09090909090909091,0.25,,0.5,0.6666666666666666,1.0,0.5,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.39575,0.2857142857142857,0.2857142857142857,0.2,0.4,,,,,,,,1.0,,,,,0.3333333333333333,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,True,,,,,,,,
