EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,Usage,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Corner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3A,Fg2aBlocked,ThreePtAssists,Arc3Assists,Steals,BadPassSteals,Offensive Fouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3Frequency,PenaltyArc3Frequency,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,OffAtRimReboundPct,SelfOReb,SelfORebPct,on,BlockedShortMidRange,OffArc3ReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,Travels,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedCorner3,FoulsDrawn,Offensive Fouls Drawn
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,890.0,15.0,-18.0,28,29,8.0,18.0,4.0,57,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,6.0,37.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,0.3333333333333333,0.3333333333333333,0.6,1.0,0.6,1.0,0.6,1.0,18.75,1.0,0.2,1.0,1.0,0.4,0.5,0.5,0.4,0.5,0.5,1.0,0.2,0.46092000000000005,0.3333333333333333,11.680000000000001,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,796.0,13.0,-13.0,25,26,6.0,15.0,2.0,51,,1.0,,,1.0,1.0,1.0,2.0,5.0,34.0,,,,,2.0,,,,,3.0,6.0,,,,0.5,,0.625,,0.625,,14.814814814814813,,0.25,,,,,,0.25,1.0,1.0,,0.75,0.56525,,10.299999999999999,0.24,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,0.5,0.5,0.5,1.0,0.14285714285714285,0.3333333333333333,0.1111111111111111,0.07692307692307693,1.0,0.2,0.5,0.5,0.5,1.0,1.0,0.5,0.7268,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,1610612742,Donnell Harvey,Donnell Harvey,2051,DAL,708.0,12.0,-14.0,22,25,8.0,18.0,2.0,47,1.0,1.0,,,,,1.0,1.0,3.0,33.0,1.0,1.0,2.0,,2.0,1.0,,2.0,1.0,1.0,8.0,,,,1.0,1.0,1.0,1.0,0.75,1.0,16.666666666666668,0.5,1.0,1.0,1.0,,,,,,,,1.0,0.5947,0.6666666666666666,,0.36363636363636365,1.0,,,,,1.0,,,,,,,,,2.0,,4.0,1.0,5.0,1.0,,,,,,0.6666666666666666,,0.4444444444444444,0.1,,0.5,,,,,1.0,,0.5947,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.75,0.125,0.3333333333333333,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5947,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1610612742,Darrick Martin,Darrick Martin,239,DAL,1344.0,22.0,-23.0,43,45,10.0,25.0,6.0,88,,2.0,,3.0,,3.0,,8.0,1.0,55.0,,,1.0,,,,,1.0,,4.0,10.0,1.0,,,,,,,0.045454545454545456,0.5,24.489795918367346,,0.2,,,0.3,,,0.3,,,,0.4,0.42060999999999993,1.0,9.3,0.23255813953488372,,,1.0,,2.0,2.0,,1.0,,1.0,3.0,1.0,8.0,,,,1.0,,1.0,1.0,,,,0.2,,,,0.058823529411764705,,,,0.1,,,,,,0.2761,25.950000000000003,,,,1.0,,,,,,1.0,,1.0,,2.0,1.0,,,,,,0.16666666666666666,,,0.3333333333333333,,,,,,0.09090909090909091,0.1111111111111111,,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.375,0.5,0.6666666666666666,0.1,0.3333333333333333,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,1610612742,Tim Hardaway,Tim Hardaway,896,DAL,1321.0,22.0,-25.0,42,44,10.0,25.0,6.0,86,,1.0,,1.0,,2.0,,4.0,3.0,55.0,,,,,,1.0,1.0,1.0,1.0,1.0,10.0,,,,,,0.1875,,0.1875,,18.75,1.0,0.125,,,0.125,,,0.25,,,,0.625,0.46677499999999994,,13.325,0.23809523809523808,,1.0,3.0,1.0,4.0,,3.0,3.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,1.0,1.0,0.25,0.25,0.5,,0.1,,0.0625,,,0.16666666666666666,0.375,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.44865,26.150000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,0.125,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1610612742,Danny Manning,Danny Manning,330,DAL,946.0,16.0,-19.0,31,31,6.0,17.0,6.0,62,1.0,1.0,,1.0,1.0,2.0,2.0,4.0,6.0,39.0,,1.0,,2.0,2.0,,,,,2.0,6.0,,0.5,0.5,0.5,,0.5,,0.6,,13.513513513513514,,0.25,1.0,1.0,0.25,,,0.5,0.5,0.5,,0.25,0.4580000000000001,,12.2,0.1935483870967742,,,,,,1.0,,,,,,,,,1.0,,2.0,1.0,3.0,1.0,,,,,,0.125,,0.16666666666666666,0.041666666666666664,,,,,,,,,0.4306,,,,,2.0,,,,,1.0,1.0,,,,2.0,1.0,,,,,0.05263157894736842,0.25,0.125,,,0.5,,,,0.3316,0.2,0.2,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,245.0,4.0,-6.0,8,9,,,2.0,17,1.0,1.0,,,,,1.0,1.0,2.0,8.0,1.0,1.0,2.0,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,10.0,,1.0,1.0,1.0,,,,,,,,1.0,0.5605,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,0.16666666666666666,,,,,,1.0,1.0,,0.5605,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,44.0,1.0,,1,1,,,,2,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,1.0,,,,,0.3746,,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,208.0,3.0,-1.0,8,8,2.0,2.0,2.0,16,,2.0,1.0,1.0,,1.0,1.0,4.0,4.0,7.0,,1.0,,,2.0,1.0,1.0,1.0,,,2.0,,,,0.25,,0.25,,0.4,,60.0,1.0,0.5,,,0.25,1.0,1.0,0.25,,,,0.5,0.486325,,5.2,0.25,,,,,,1.0,,,,,,,,,2.0,,2.0,1.0,3.0,,,,,,,0.4,,0.4,0.16666666666666666,,0.5,,,,,,,0.3789,,,1.0,,2.0,1.0,,2.0,,1.0,,,,,2.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,,,,,,1.0,,,0.5608,0.2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,195.0,3.0,2.0,6,6,,5.0,,12,,,,,1.0,2.0,1.0,2.0,2.0,7.0,,,,2.0,,,,,,,,,1.0,1.0,0.5,,0.5,,0.5,,33.333333333333336,,,,,,,,1.0,0.5,0.5,1.0,,0.40105,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
