EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,FTOffRebounds,Travels,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,on,HeaveMakes,3pt And 1 Free Throw Trips,Clear Path Fouls
1720,1610612739,Michael Doleac,Michael Doleac,1720,CLE,19688.0,328,-75.0,617,613,210,242,77,1230,7,19,3.0,10.0,1.0,7.0,7.0,14,18.0,48,32,81,16.0,80,688,8.0,17,6.0,22.0,7.0,26,10.0,24.0,58,6.0,4.0,3.0,10,1.0,11,1.0,3,1.0,6.0,23,3.0,19,10.0,35,6.0,51,22,73,1.0,6.0,5.0,1.0,10,1.0,6,7.0,1.0,4,17,3.0,9,29,53,2.0,4.0,22.0,2.0,8.0,4.0,5.0,4.0,1.0,5,5.0,1.0,2.0,24.0,210,9.0,0.90625,0.9666666666666667,0.3950617283950617,0.47058823529411764,0.2692307692307692,0.3950617283950617,0.47058823529411764,0.2692307692307692,0.43956043956043955,0.55,0.36363636363636365,0.037037037037037035,0.15789473684210525,15.211267605633804,0.5882352941176471,0.25,0.16826923076923078,0.08016877637130802,0.1694915254237288,0.06818181818181818,0.16853932584269662,0.07829181494661921,0.1,0.07246376811594203,0.07407407407407407,0.030303030303030304,0.18181818181818182,0.15384615384615385,0.2553191489361702,0.13253012048192772,0.18604651162790697,0.125,0.022222222222222223,1.0,0.2345679012345679,0.3684210526315789,0.4375,0.7142857142857143,0.1728395061728395,0.5,0.5,0.8571428571428571,0.5925925925925926,0.375,0.375,1.0,0.5882352941176471,0.3,0.3333333333333333,0.2692307692307692,0.14285714285714285,0.2345679012345679,0.45063456790123446,0.5197533333333334,0.4457846153846154,0.09195402298850575,0.09195402298850575,0.275,0.3,11.86296296296296,0.34035656401944897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1729,1610612739,Ricky Davis,Ricky Davis,1729,CLE,117351.0,1956,-153.0,3727,3720,1174,1102,478,7447,169,254,29.0,42.0,62.0,88.0,40.0,117,156.0,375,365,746,196.0,959,3996,40.0,76,15.0,98.0,107.0,213,94.0,317.0,466,264.0,36.0,47.0,133,45.0,178,26.0,50,32.0,51.0,401,15.0,46,41.0,129,10.0,180,63,243,6.0,69.0,56.0,13.0,94,11.0,57,54.0,13.0,37,148,16.0,50,74,145,2.0,6.0,248.0,23.0,108.0,27.0,21.0,11.0,5.0,23,14.0,1.0,1.0,317.0,1174,17.0,0.6383561643835617,0.6714697406340058,0.48927613941018766,0.5263157894736842,0.5023474178403756,0.4884763124199744,0.51875,0.49776785714285715,0.5369540873460247,0.5697674418604651,0.5701438848920863,0.06300268096514745,0.12992125984251968,24.21493370551291,0.6351351351351351,0.06896551724137931,0.0950626381724392,0.031966643502432245,0.119533527696793,0.05474452554744526,0.1,0.03561004086398132,0.037333333333333336,0.04030226700251889,0.0239880059970015,0.05714285714285714,0.046875,0.0650759219088937,0.12533333333333332,0.09980806142034548,0.138996138996139,0.05952380952380952,0.017341040462427744,0.6086956521739131,0.32522407170294493,0.6653543307086615,0.7647058823529411,0.621301775147929,0.14980793854033292,0.3418803418803419,0.37383177570093457,0.325,0.4801536491677337,0.416,0.42048517520215634,0.7371794871794872,0.525,0.6904761904761905,0.27586206896551724,0.39285714285714285,0.7045454545454546,0.3700384122919334,0.47683067010309266,0.49098412698412697,0.4817386877828053,0.12471131639722864,0.1299638989169675,0.10218978102189781,0.3305526590198123,10.73739946380697,0.31499865843842234,1.0,7.0,1.0,3.0,1.0,10.0,28.0,1.0,3.0,10.0,11.0,35.0,1.0,4.0,3.0,11.0,21.0,12.0,5.0,23.0,10.0,1.0,19.0,2.0,13.0,1.0,2.0,2.0,5.0,2.0,2.0,0.6363636363636364,0.3142857142857143,0.25,0.2727272727272727,0.36666666666666664,0.04481434058898848,0.02857142857142857,0.08547008547008547,0.010666666666666666,0.14285714285714285,0.017699115044247787,0.008962868117797696,0.14285714285714285,0.16666666666666666,1.0,0.03585147247119078,0.35714285714285715,0.35714285714285715,0.6,0.0375,0.3333333333333333,1.0,0.0125,0.004464285714285714,0.044642857142857144,0.3,0.43478260869565216,28.408571428571427,,,,,,,,,,True,,,
1730,1610612739,Brian Skinner,Brian Skinner,1730,CLE,37895.0,632,-38.0,1182,1183,385,384,158,2365,37,56,14.0,19.0,16.0,21.0,13.0,20,5.0,9,55,85,26.0,136,1216,17.0,25,7.0,41.0,21.0,31,12.0,54.0,76,34.0,26.0,11.0,7,1.0,8,1.0,1,2.0,4.0,17,7.0,41,18.0,75,16.0,109,48,157,,11.0,9.0,2.0,11,1.0,8,11.0,2.0,3,22,1.0,5,33,74,12.0,5.0,40.0,3.0,17.0,5.0,42.0,30.0,9.0,42,25.0,2.0,1.0,54.0,385,12.0,0.6909090909090909,0.9047619047619048,0.6470588235294118,0.68,0.6774193548387096,0.6470588235294118,0.68,0.6774193548387096,0.6538461538461539,0.7068965517241379,0.6923076923076923,0.12941176470588237,0.16071428571428573,9.150805270863836,0.5,0.2962962962962963,0.17006802721088435,0.0861344537815126,0.1651376146788991,0.08536585365853659,0.1690909090909091,0.08602150537634409,0.09090909090909091,0.06060606060606061,0.09795918367346938,0.06666666666666667,0.13636363636363635,0.14193548387096774,0.18181818181818182,0.18787878787878787,0.18181818181818182,0.09523809523809523,,0.5952380952380952,0.6588235294117647,0.6607142857142857,0.7872340425531915,0.6756756756756757,0.23529411764705882,0.65,0.7222222222222222,0.6153846153846154,0.10588235294117647,0.5555555555555556,0.5555555555555556,1.0,0.76,0.7368421052631579,0.14285714285714285,0.6774193548387096,0.7619047619047619,0.6588235294117647,0.5392188235294119,0.5635760000000001,0.5467193548387098,0.1717171717171717,0.1717171717171717,0.3014705882352941,0.39705882352941174,3.895294117647059,0.3257191201353638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
179,1610612739,Bryant Stith,Bryant Stith,179,CLE,20191.0,337,-88.0,636,635,162,149,75,1271,14,22,2.0,2.0,5.0,7.0,3.0,10,5.0,29,22,61,18.0,86,692,2.0,6,3.0,13.0,6.0,15,8.0,29.0,22,22.0,4.0,9.0,19,1.0,20,1.0,3,4.0,12.0,41,1.0,5,6.0,19,,25,7,32,1.0,15.0,11.0,4.0,7,2.0,6,9.0,2.0,1,16,1.0,2,11,20,2.0,2.0,20.0,4.0,10.0,2.0,3.0,2.0,1.0,3,1.0,1.0,,29.0,162,,0.5,0.55,0.36065573770491804,0.3333333333333333,0.4,0.40476190476190477,0.625,0.525,0.4673913043478261,0.7222222222222222,0.6304347826086957,0.14754098360655737,0.22727272727272727,14.958448753462605,0.4375,,0.0811965811965812,0.0196078431372549,0.125,0.020833333333333332,0.08865248226950355,0.019801980198019802,,0.04411764705882353,0.01694915254237288,0.02702702702702703,,0.038461538461538464,0.07692307692307693,0.11538461538461539,0.13157894736842105,0.1,0.022727272727272728,0.3333333333333333,0.2619047619047619,0.6363636363636364,0.8235294117647058,0.42857142857142855,0.11904761904761904,0.3,0.42857142857142855,0.3333333333333333,0.34523809523809523,0.1724137931034483,0.17857142857142858,0.8,0.25,1.0,,0.35,0.7142857142857143,0.5357142857142857,0.4866053571428572,0.46865625,0.5023525,0.1111111111111111,0.14925373134328357,0.1511627906976744,0.3372093023255814,10.46065573770492,0.25471698113207547,2.0,6.0,1.0,1.0,1.0,6.0,17.0,1.0,2.0,4.0,8.0,23.0,2.0,2.0,3.0,5.0,24.0,,,17.0,6.0,,,1.0,,,,,,,,1.0,0.34782608695652173,1.0,0.6,0.34782608695652173,0.27380952380952384,,0.3,0.034482758620689655,,0.058823529411764705,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.20238095238095238,0.35294117647058826,0.35294117647058826,1.0,0.125,1.0,1.0,0.125,0.05,0.2,0.5,0.35294117647058826,24.86086956521739,1.0,1.0,1.0,1.0,1.0,,,,,True,,,
1889,1610612739,Andre Miller,Andre Miller,1889,CLE,74880.0,1248,-82.0,2377,2376,827,768,325,4753,51,104,7.0,14.0,17.0,29.0,68.0,141,64.0,144,183,389,156.0,543,2622,22.0,47,13.0,57.0,61.0,115,78.0,209.0,74,292.0,18.0,33.0,287,43.0,330,34.0,122,32.0,133.0,703,5.0,42,30.0,74,7.0,111,49,160,17.0,58.0,33.0,25.0,75,7.0,53,26.0,6.0,22,101,8.0,34,41,94,5.0,6.0,188.0,7.0,62.0,31.0,13.0,9.0,2.0,14,6.0,,3.0,209.0,827,17.0,0.20218579234972678,0.21264367816091953,0.4704370179948586,0.46808510638297873,0.5304347826086957,0.4468822170900693,0.4230769230769231,0.48161764705882354,0.5173410404624278,0.475,0.5777777777777777,0.08483290488431877,0.18269230769230768,22.520886305848165,0.7425742574257426,0.06796116504854369,0.0880952380952381,0.046822742474916385,0.13274336283185842,0.02857142857142857,0.0975609756097561,0.043843283582089554,0.04780876494023904,0.05982905982905983,0.038834951456310676,0.023622047244094488,0.041666666666666664,0.07420494699646643,0.0782608695652174,0.10703363914373089,0.13043478260869565,0.13846153846153847,0.0845771144278607,0.42857142857142855,0.24018475750577367,0.49038461538461536,0.6,0.17647058823529413,0.325635103926097,0.48226950354609927,0.5230769230769231,0.19117647058823528,0.3325635103926097,0.4444444444444444,0.45390070921985815,0.234375,0.2692307692307692,0.5,,0.21323529411764705,0.5862068965517241,0.3418013856812933,0.44432018779342725,0.45645937500000006,0.4443037878787879,0.12704918032786885,0.13963963963963963,0.10497237569060773,0.3848987108655617,9.87609254498715,0.34791754312158185,1.0,4.0,,,2.0,6.0,40.0,5.0,2.0,19.0,7.0,44.0,,5.0,3.0,21.0,21.0,,7.0,33.0,6.0,,9.0,2.0,6.0,9.0,1.0,1.0,2.0,,,1.0,0.1590909090909091,,0.14285714285714285,0.1891891891891892,0.10161662817551963,,0.07801418439716312,0.020833333333333332,,0.02631578947368421,0.009237875288683603,0.25,0.25,1.0,0.09237875288683603,0.15,0.15,1.0,,,,0.09615384615384616,0.014705882352941176,0.13970588235294118,0.10526315789473684,0.18181818181818182,30.32954545454545,1.0,,,,0.5,,,,,True,,,
1892,1610612739,Trajan Langdon,Trajan Langdon,1892,CLE,19981.0,333,7.0,670,660,237,214,82,1330,11,20,1.0,3.0,1.0,3.0,8.0,14,16.0,40,35,74,29.0,159,655,3.0,9,,12.0,9.0,23,12.0,57.0,30,40.0,4.0,7.0,42,5.0,47,3.0,9,5.0,28.0,99,4.0,8,2.0,25,3.0,30,12,42,1.0,11.0,6.0,5.0,13,8.0,7,16.0,1.0,6,29,1.0,15,19,39,3.0,5.0,32.0,3.0,11.0,5.0,2.0,2.0,,2,1.0,,,57.0,237,4.0,0.42857142857142855,0.45454545454545453,0.47297297297297297,0.3333333333333333,0.391304347826087,0.5284552845528455,0.4,0.5921052631578947,0.5735294117647058,0.4,0.6477272727272727,0.0945945945945946,0.25,21.51238591916558,0.4482758620689655,0.14285714285714285,0.10775862068965517,0.03225806451612903,0.03125,0.06451612903225806,0.09121621621621621,0.03870967741935484,0.047619047619047616,0.016666666666666666,0.032,0.06,0.08333333333333333,0.0875,0.11594202898550725,0.12048192771084337,0.0196078431372549,0.07692307692307693,0.017241379310344827,0.5,0.16260162601626016,0.55,0.7333333333333333,0.5454545454545454,0.11382113821138211,0.5714285714285714,0.5714285714285714,0.125,0.3252032520325203,0.4,0.42105263157894735,0.5,0.2,0.3333333333333333,,0.07894736842105263,0.3333333333333333,0.5609756097560976,0.47698057851239684,0.4710958333333333,0.4446554054054054,0.08396946564885496,0.13414634146341464,0.07547169811320754,0.3584905660377358,11.937837837837838,0.3537313432835821,2.0,6.0,,1.0,2.0,18.0,43.0,5.0,8.0,13.0,20.0,49.0,2.0,6.0,9.0,15.0,51.0,9.0,2.0,41.0,18.0,1.0,2.0,,2.0,3.0,,,,,,0.85,0.40816326530612246,0.3333333333333333,0.6,0.425531914893617,0.3983739837398374,0.02040816326530612,,0.05,,,0.04878048780487805,0.3333333333333333,0.3333333333333333,1.0,0.34959349593495936,0.4186046511627907,0.42857142857142855,0.8333333333333334,0.06666666666666667,,,0.3333333333333333,0.05263157894736842,0.34210526315789475,0.6153846153846154,0.43902439024390244,26.22244897959184,1.0,2.0,0.4,,0.5,0.023255813953488372,,,,True,,,
1908,1610612739,Jumaine Jones,Jumaine Jones,1908,CLE,60682.0,1011,-43.0,1922,1936,623,617,244,3858,48,72,13.0,24.0,23.0,35.0,12.0,33,49.0,114,109,219,20.0,292,2093,17.0,37,1.0,41.0,38.0,72,12.0,112.0,156,62.0,26.0,10.0,49,6.0,55,5.0,18,9.0,22.0,116,9.0,56,22.0,120,26.0,168,65,233,10.0,41.0,31.0,10.0,19,4.0,12,18.0,3.0,7,37,6.0,7,52,89,5.0,7.0,36.0,1.0,12.0,6.0,24.0,17.0,5.0,24,13.0,,2.0,112.0,623,14.0,0.7155963302752294,0.8125,0.4977168949771689,0.4594594594594595,0.5277777777777778,0.45182724252491696,0.46511627906976744,0.4854368932038835,0.4591194968553459,0.44565217391304346,0.49122807017543857,0.045662100456621,0.06944444444444445,15.998197386210004,0.5135135135135135,0.3611111111111111,0.17341040462427745,0.07702888583218707,0.12429378531073447,0.057692307692307696,0.16340621403912542,0.07361268403171008,0.07692307692307693,0.07106598984771574,0.08045977011494253,0.0546875,0.07142857142857142,0.14785992217898833,0.18478260869565216,0.19123505976095617,0.12781954887218044,0.11363636363636363,0.06451612903225806,0.5416666666666666,0.23920265780730898,0.6666666666666666,0.7164179104477612,0.5833333333333334,0.10963455149501661,0.36363636363636365,0.375,0.6666666666666666,0.3787375415282392,0.4298245614035088,0.44545454545454544,0.8571428571428571,0.5581395348837209,0.5416666666666666,,0.33980582524271846,0.6571428571428571,0.5116279069767442,0.4891844481605351,0.5375271428571429,0.5176034313725492,0.038461538461538464,0.05217391304347826,0.1404109589041096,0.3835616438356164,10.91415525114155,0.32414151925078044,4.0,15.0,1.0,1.0,4.0,14.0,67.0,5.0,8.0,27.0,18.0,82.0,2.0,6.0,8.0,31.0,51.0,3.0,1.0,66.0,14.0,,1.0,,2.0,,,,2.0,1.0,,0.9444444444444444,0.21951219512195122,0.3333333333333333,0.25806451612903225,0.2222222222222222,0.2724252491694352,,0.030303030303030304,0.03508771929824561,,,0.04983388704318937,0.26666666666666666,0.26666666666666666,1.0,0.22259136212624583,0.208955223880597,0.208955223880597,0.9285714285714286,0.023255813953488372,1.0,1.0,0.11627906976744186,0.038834951456310676,0.2621359223300971,0.2962962962962963,0.21212121212121213,25.564634146341465,,1.0,0.2,1.0,,,,,,True,,,
441,1610612739,Lamond Murray,Lamond Murray,441,CLE,47891.0,798,-80.0,1534,1522,455,488,210,3056,49,89,12.0,21.0,18.0,35.0,22.0,57,40.0,104,111,250,80.0,386,1652,15.0,30,9.0,54.0,32.0,78,19.0,107.0,124,98.0,14.0,24.0,38,5.0,43,5.0,17,8.0,13.0,91,1.0,39,13.0,90,10.0,113,40,153,9.0,27.0,17.0,10.0,31,9.0,13,34.0,5.0,18,65,7.0,16,20,60,6.0,14.0,106.0,5.0,42.0,7.0,11.0,6.0,4.0,11,10.0,1.0,1.0,107.0,455,13.0,0.5585585585585585,0.5961538461538461,0.444,0.5,0.41025641025641024,0.45808383233532934,0.5487804878048781,0.4230769230769231,0.5039370078740157,0.5869565217391305,0.44871794871794873,0.096,0.1797752808988764,24.958030218242865,0.47692307692307695,0.19230769230769232,0.1541095890410959,0.06532663316582915,0.10569105691056911,0.008928571428571428,0.1456859971711457,0.056417489421720736,0.11494252873563218,0.05357142857142857,0.0392156862745098,0.013157894736842105,,0.1542056074766355,0.15384615384615385,0.1542056074766355,0.11702127659574468,0.06896551724137931,0.05421686746987952,0.9090909090909091,0.26646706586826346,0.550561797752809,0.6712328767123288,0.5714285714285714,0.17065868263473055,0.38596491228070173,0.44,0.5,0.31137724550898205,0.38461538461538464,0.3883495145631068,0.575,0.5121951219512195,0.5714285714285714,0.4166666666666667,0.33653846153846156,0.5142857142857142,0.5179640718562875,0.48323963963963956,0.5458371794871796,0.4846276699029126,0.12032085561497326,0.14634146341463414,0.13989637305699482,0.2772020725388601,10.0964,0.2966101694915254,12.0,32.0,3.0,5.0,7.0,16.0,52.0,6.0,4.0,19.0,28.0,84.0,5.0,11.0,8.0,26.0,75.0,9.0,1.0,51.0,16.0,,,,4.0,3.0,,,1.0,1.0,,0.8928571428571429,0.3333333333333333,0.45454545454545453,0.3076923076923077,0.3373493975903614,0.25149700598802394,,0.12280701754385964,0.009615384615384616,,,0.09580838323353294,0.375,0.375,1.0,0.15568862275449102,0.3076923076923077,0.3076923076923077,0.8125,0.12195121951219512,0.6,1.0,0.14634146341463414,0.0673076923076923,0.18269230769230768,0.21052631578947367,0.3137254901960784,24.89166666666667,4.0,2.0,0.3333333333333333,1.0,0.5714285714285714,,3.0,0.034482758620689655,,True,,,
445,1610612739,Wesley Person,Wesley Person,445,CLE,56469.0,941,59.0,1838,1822,645,582,234,3660,26,36,8.0,8.0,8.0,11.0,19.0,49,67.0,124,112,209,51.0,419,1957,18.0,26,3.0,57.0,31.0,57,29.0,136.0,180,44.0,16.0,9.0,57,5.0,62,3.0,17,13.0,27.0,129,5.0,12,25.0,61,9.0,95,19,114,,31.0,23.0,8.0,9,5.0,4,11.0,2.0,5,20,2.0,7,16,34,2.0,4.0,61.0,5.0,10.0,11.0,14.0,10.0,4.0,14,9.0,,,136.0,645,5.0,0.8035714285714286,0.8653846153846154,0.5358851674641149,0.6923076923076923,0.543859649122807,0.5679012345679012,0.7297297297297297,0.5515463917525774,0.5865102639296188,0.717948717948718,0.5900900900900901,0.0430622009569378,0.1111111111111111,16.9811320754717,0.45,0.140625,0.09200603318250378,0.017518248175182483,0.13812154696132597,0.03597122302158273,0.1018957345971564,0.02063106796116505,0.045454545454545456,0.005128205128205128,0.009554140127388535,0.045871559633027525,,0.07758620689655173,0.085,0.11255411255411256,0.11940298507462686,0.19148936170212766,,0.6428571428571429,0.1111111111111111,0.7222222222222222,0.8125,0.6153846153846154,0.15123456790123457,0.3877551020408163,0.41304347826086957,0.6842105263157895,0.38271604938271603,0.5403225806451613,0.5491803278688525,0.9104477611940298,0.21621621621621623,1.0,,0.1134020618556701,0.7272727272727273,0.4660493827160494,0.48429243827160495,0.4968166666666665,0.4851288659793815,0.03333333333333333,0.04672897196261682,0.1360381861575179,0.324582338902148,12.682775119617231,0.35092491838955386,17.0,35.0,1.0,2.0,16.0,31.0,80.0,9.0,8.0,24.0,48.0,115.0,6.0,11.0,15.0,40.0,144.0,,,80.0,31.0,1.0,2.0,2.0,,22.0,,,,1.0,,1.0,0.41739130434782606,0.5454545454545454,0.375,0.41739130434782606,0.3549382716049383,0.008695652173913044,0.061224489795918366,0.016129032258064516,,0.03508771929824561,0.10802469135802469,0.4857142857142857,0.4857142857142857,1.0,0.24691358024691357,0.3875,0.3924050632911392,1.0,0.05405405405405406,0.5,1.0,0.24324324324324326,0.16494845360824742,0.24742268041237114,0.3333333333333333,0.3875,25.027826086956534,7.0,5.0,0.5555555555555556,1.0,0.4375,0.0125,1.0,0.008620689655172414,,True,,,
902,1610612739,Bimbo Coles,Bimbo Coles,902,CLE,27570.0,460,-82.0,842,836,198,174,94,1678,6,16,1.0,3.0,2.0,4.0,5.0,17,20.0,47,31,80,19.0,90,881,5.0,10,3.0,13.0,7.0,19,12.0,26.0,40,22.0,,5.0,63,11.0,74,6.0,18,7.0,38.0,159,2.0,5,8.0,17,2.0,27,7,34,1.0,9.0,3.0,6.0,12,3.0,8,10.0,2.0,4,22,4.0,8,13,42,3.0,4.0,20.0,,5.0,4.0,3.0,1.0,2.0,3,1.0,,,26.0,198,2.0,0.6451612903225806,0.6451612903225806,0.3875,0.5,0.3684210526315789,0.39444444444444443,0.5,0.3333333333333333,0.4444444444444444,0.5454545454545454,0.48148148148148145,0.0625,0.1875,12.630480167014614,0.5454545454545454,0.06896551724137931,0.05120481927710843,0.014164305949008499,0.10810810810810811,0.038461538461538464,0.06157635467980296,0.01728395061728395,0.039473684210526314,0.009708737864077669,0.005747126436781609,0.046511627906976744,,0.04950495049504951,0.056179775280898875,0.04929577464788732,0.07936507936507936,0.2727272727272727,0.023255813953488372,0.3333333333333333,0.17777777777777778,0.375,0.46153846153846156,0.16666666666666666,0.18888888888888888,0.29411764705882354,0.3333333333333333,0.8,0.5222222222222223,0.425531914893617,0.425531914893617,0.75,0.3,0.3333333333333333,,0.19047619047619047,0.5,0.28888888888888886,0.4159545977011494,0.4724399999999999,0.4024875,0.05263157894736842,0.058823529411764705,0.14444444444444443,0.28888888888888886,12.571250000000003,0.23515439429928742,,,,,,3.0,10.0,,,2.0,3.0,10.0,,,,2.0,9.0,,3.0,7.0,3.0,1.0,5.0,,1.0,2.0,,,,,,1.0,0.3,,,0.42857142857142855,0.1111111111111111,0.1,0.11764705882352941,,,,,,,,0.1111111111111111,0.3,0.3333333333333333,1.0,,,,,,0.09523809523809523,,0.42857142857142855,32.089999999999996,,,,,,0.1,,,,True,,,
