EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyTurnovers,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,Arc3Assists,Blocked3s,BlockedCorner3,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,Corner3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyArc3FGA,PtsUnassisted3s,Technical Free Throw Trips,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyFG3M,BlockedArc3,PenaltyFg3Pct,LongMidRangePctBlocked,PenaltyCorner3Accuracy,Arc3PctBlocked,on,PenaltyArc3FGM,OffensiveGoaltends,PenaltyArc3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,HeaveMakes
1035,1610612743,Shawnelle Scott,Shawnelle Scott,1035,DEN,14959.0,249,-27,472,472,76,133,89,944,33.0,60.0,16.0,36.0,5.0,9.0,4.0,12.0,3,37.0,75,8.0,82.0,491,18.0,40.0,6.0,42.0,5.0,10,1.0,11.0,44.0,30.0,28.0,9.0,7.0,1.0,8.0,1.0,4.0,2.0,1.0,17.0,8.0,44.0,1.0,10.0,32.0,8.0,50,53,103,4.0,3.0,2.0,1.0,6.0,1.0,3.0,9.0,3.0,3.0,1.0,15.0,2.0,20.0,49,5.0,2.0,20.0,4.0,11.0,1.0,6.0,1.0,1.0,4.0,6.0,4.0,2.0,3.0,11.0,76,6.0,0.5945945945945946,0.9565217391304348,0.49333333333333335,0.45,0.5,0.49333333333333335,0.45,0.5,0.4939759036144578,0.4666666666666667,0.5,0.12,0.11666666666666667,0.16666666666666666,16.610169491525422,0.4,0.32,0.0625,0.17391304347826086,0.1888412017167382,0.23809523809523808,0.14545454545454545,0.18584070796460178,0.18055555555555555,0.21428571428571427,0.15384615384615385,0.19387755102040816,0.11428571428571428,0.2,0.2647058823529412,0.208955223880597,0.10843373493975904,0.23529411764705882,0.25,0.14285714285714285,0.6666666666666666,0.8,0.55,0.6226415094339622,0.6060606060606061,0.16,0.3333333333333333,0.4,0.5,0.04,0.9,0.4444444444444444,0.1875,0.9,0.5555555555555556,0.8,0.542265333333333,0.5497457142857143,0.59688,0.13414634146341464,0.13414634146341464,0.5121951219512195,0.13414634146341464,2.1253333333333333,0.16101694915254236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1505,1610612743,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DEN,777.0,13,-4,27,26,5,7,5,53,,2.0,,,,1.0,,1.0,5,,8,,,28,,2.0,,,,2,,,,,,1.0,,,,,,,,,,2.0,,,1.0,1.0,2,2,4,,,,,,,,1.0,,,,1.0,,,1,,1.0,,,,,,,,,,,,,,5,,,,,,,,,,,,,0.125,,1.0,25.0,,0.5,,0.125,0.10526315789473684,,,0.1111111111111111,0.1,,,0.18181818181818182,,,,,0.2,,,,,0.25,,,,0.125,,,,0.625,,,,0.5,,0.25,0.5008250000000001,0.5164,0.5822,,,,,12.4625,0.18518518518518517,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1899,1610612743,James Posey,James Posey,1899,DEN,9245.0,154,6,294,287,42,45,58,581,6.0,14.0,,2.0,1.0,1.0,1.0,3.0,32,17.0,49,4.0,50.0,296,3.0,6.0,2.0,17.0,3.0,5,,6.0,28.0,6.0,,4.0,7.0,1.0,8.0,,4.0,,3.0,17.0,1.0,4.0,,3.0,7.0,2.0,12,5,17,1.0,5.0,4.0,1.0,1.0,2.0,1.0,4.0,,,,5.0,,6.0,16,1.0,2.0,4.0,,2.0,,3.0,1.0,2.0,,4.0,2.0,,,6.0,42,2.0,0.8235294117647058,0.8235294117647058,0.3469387755102041,0.5,0.6,0.359375,0.6818181818181818,0.3333333333333333,0.3787878787878788,0.7083333333333334,0.3333333333333333,0.08163265306122448,0.2857142857142857,,19.18918918918919,0.2,0.2,,0.0603448275862069,0.026490066225165563,0.11538461538461539,0.030303030303030304,0.07042253521126761,0.02717391304347826,0.04,0.023809523809523808,0.01694915254237288,0.05,,0.045454545454545456,0.08888888888888889,0.04081632653061224,0.13043478260869565,,0.02631578947368421,0.5,0.21875,0.42857142857142855,0.6,0.6666666666666666,0.046875,0.3333333333333333,0.3333333333333333,1.0,0.5,0.18181818181818182,,,0.1111111111111111,1.0,0.453125,0.48649921875,0.52545,0.4723388888888889,0.030303030303030304,0.0392156862745098,0.34,0.12,12.479591836734697,0.14285714285714285,,10.0,3.0,11.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,15.0,3.0,5.0,4.0,12.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.6,0.26666666666666666,0.234375,0.06666666666666667,0.09090909090909091,0.3125,0.3125,0.9,0.171875,0.2727272727272727,0.3,1.0,0.0625,0.25,0.25,1.0,0.36363636363636365,0.5,1.0,0.09090909090909091,1.0,1.0,0.4444444444444444,0.25,23.793333333333337,,,,,,,,,,,,True,,,,,,,,,,
422,1610612743,Avery Johnson,Avery Johnson,422,DEN,5346.0,89,-34,164,164,29,51,27,328,6.0,11.0,,1.0,,1.0,,3.0,8,7.0,22,9.0,23.0,185,,3.0,,,,2,5.0,5.0,2.0,12.0,,3.0,11.0,3.0,14.0,1.0,6.0,,5.0,31.0,1.0,,,,2.0,,2,1,3,,2.0,,2.0,3.0,,1.0,1.0,,2.0,,4.0,,3.0,4,,,11.0,1.0,3.0,3.0,1.0,,,1.0,1.0,1.0,,,5.0,29,,0.14285714285714285,0.14285714285714285,0.3181818181818182,,,0.3181818181818182,,,0.42592592592592593,,0.5,0.13636363636363635,0.18181818181818182,0.3333333333333333,15.121951219512196,0.75,,,0.0392156862745098,,,0.07142857142857142,0.029850746268656716,0.009523809523809525,,,,,0.14285714285714285,0.16666666666666666,,0.03571428571428571,,,,1.0,0.5,0.5454545454545454,0.6666666666666666,0.16666666666666666,0.13636363636363635,,,,0.36363636363636365,0.3333333333333333,,,0.5,,0.5,0.4876318181818183,0.3183,0.47775,0.125,0.125,,0.21739130434782608,8.00909090909091,0.17682926829268292,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
89,1610612743,Nick Van Exel,Nick Van Exel,89,DEN,11602.0,193,-7,364,364,43,84,68,728,8.0,15.0,1.0,1.0,1.0,2.0,8.0,28.0,24,24.0,67,17.0,86.0,378,2.0,4.0,,4.0,5.0,10,7.0,17.0,14.0,34.0,,4.0,46.0,11.0,57.0,6.0,26.0,4.0,16.0,125.0,1.0,4.0,,3.0,16.0,1.0,20,5,25,,2.0,2.0,,10.0,1.0,7.0,3.0,1.0,3.0,1.0,13.0,1.0,4.0,11,,,20.0,,6.0,2.0,1.0,,1.0,,1.0,1.0,,,17.0,43,2.0,0.2916666666666667,0.2916666666666667,0.3582089552238806,0.5,0.5,0.3791208791208791,0.4,0.4166666666666667,0.41919191919191917,0.4,0.53125,0.05970149253731343,0.06666666666666667,0.10714285714285714,24.833702882483372,0.7692307692307693,0.05,,0.10191082802547771,0.023255813953488372,0.1111111111111111,0.023809523809523808,0.10326086956521739,0.02336448598130841,0.0392156862745098,0.01818181818181818,0.015151515151515152,0.03571428571428571,,0.1,0.04918032786885246,0.15151515151515152,0.13043478260869565,,,1.0,0.16483516483516483,0.5333333333333333,0.5714285714285714,0.5,0.3076923076923077,0.2857142857142857,0.32,0.125,0.26373626373626374,0.2,1.0,,0.16666666666666666,0.5,0.42857142857142855,0.46116043956043956,0.43689999999999996,0.4280583333333334,0.061855670103092786,0.0821917808219178,0.046511627906976744,0.19767441860465115,10.098507462686568,0.11813186813186813,,8.0,1.0,4.0,,1.0,,6.0,20.0,,,7.0,24.0,,1.0,2.0,12.0,20.0,6.0,1.0,5.0,,,0.5714285714285714,0.2916666666666667,,0.2916666666666667,0.26373626373626374,0.041666666666666664,0.25,0.3333333333333333,0.3333333333333333,0.25,0.04395604395604396,0.25,0.3333333333333333,1.0,0.21978021978021978,0.3,0.3,0.5,0.2,,,,,,,0.3,25.220833333333328,2.0,9.0,4.0,0.16666666666666666,,,,,,,,True,,,,,,,,,,
45,1610612743,George McCloud,George McCloud,45,DEN,5188.0,86,-27,163,164,36,50,25,327,2.0,4.0,,,,,,3.0,11,8.0,18,8.0,27.0,177,,,,3.0,2.0,3,,4.0,16.0,,,3.0,4.0,,4.0,,2.0,1.0,1.0,8.0,1.0,3.0,,1.0,9.0,1.0,11,4,15,1.0,1.0,,1.0,6.0,,3.0,,,3.0,,6.0,1.0,5.0,9,3.0,,10.0,,5.0,,,,,,,,,,4.0,36,3.0,1.0,1.0,0.4444444444444444,,0.6666666666666666,0.38,0.75,0.2222222222222222,0.45,0.75,0.2222222222222222,0.16666666666666666,0.25,0.6666666666666666,18.848167539267017,1.0,0.08333333333333333,,0.16981132075471697,0.045454545454545456,0.07692307692307693,0.043478260869565216,0.15151515151515152,0.0449438202247191,0.0625,,0.07142857142857142,0.06666666666666667,,,0.08695652173913043,0.3181818181818182,,0.5,0.08333333333333333,,0.16,0.5,0.6666666666666666,1.0,0.12,,,,0.44,,,,,,0.44,0.46724999999999994,0.615525,0.4859625000000001,0.16666666666666666,0.21739130434782608,0.1111111111111111,0.14814814814814814,12.466666666666667,0.22085889570552147,3.0,6.0,,2.0,,,2.0,1.0,5.0,1.0,2.0,1.0,7.0,1.0,2.0,6.0,3.0,5.0,1.0,,,,,1.0,0.14285714285714285,0.5,0.14285714285714285,0.28,,,0.5454545454545454,0.5454545454545454,1.0,0.08,,,,0.2,0.2,0.2,1.0,,,,1.0,0.5,1.0,0.2222222222222222,0.2,26.271428571428572,4.0,,,0.4444444444444444,,,,,,,,True,,,,,,,,,,
281,1610612743,Scott Williams,Scott Williams,281,DEN,1510.0,25,-8,47,46,9,24,10,93,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4,5.0,11,2.0,12.0,51,2.0,3.0,2.0,6.0,1.0,2,,2.0,8.0,2.0,2.0,1.0,,1.0,1.0,,,,,3.0,,2.0,,1.0,2.0,1.0,4,2,6,,,,,,,,,,,,,,3.0,6,,,2.0,,1.0,,1.0,,,1.0,1.0,1.0,,,2.0,9,1.0,0.8,1.0,0.45454545454545453,0.6666666666666666,0.5,0.45454545454545453,0.6666666666666666,0.5,0.5,0.75,0.5,0.09090909090909091,,0.25,20.0,,0.16666666666666666,,0.125,0.07692307692307693,0.25,,0.15,0.07142857142857142,0.1,,0.125,,,,0.14285714285714285,0.1111111111111111,0.25,,,1.0,0.2727272727272727,1.0,1.0,0.6666666666666666,0.36363636363636365,0.25,0.3333333333333333,1.0,0.36363636363636365,0.3333333333333333,1.0,,0.5,1.0,0.2727272727272727,0.4534,0.4558,0.4789,0.08333333333333333,0.08333333333333333,0.5,0.16666666666666666,9.49090909090909,0.19148936170212766,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
375,1610612743,Isaiah Rider,Isaiah Rider,375,DEN,1304.0,22,-1,41,42,7,7,7,83,,,,,,,1.0,2.0,6,3.0,8,4.0,13.0,38,,,,,,2,2.0,2.0,2.0,4.0,,,,,,,,,,,,1.0,,,3.0,,3,1,4,,2.0,,2.0,1.0,,,,,1.0,,1.0,,1.0,1,,,4.0,,1.0,1.0,,,,,,,,,2.0,7,,0.3333333333333333,0.3333333333333333,0.375,,,0.4090909090909091,,,0.5,,0.25,,,,29.166666666666668,1.0,,,0.16666666666666666,0.05,,,0.13636363636363635,0.043478260869565216,,,0.09090909090909091,,,,0.3333333333333333,0.14285714285714285,,,,,,,,,0.18181818181818182,0.5,0.5,1.0,0.5454545454545454,,,,,,0.2727272727272727,0.42905,,0.4147,0.08333333333333333,0.1111111111111111,,0.15384615384615385,16.2875,0.17073170731707318,,2.0,1.0,1.0,,,,,2.0,,,1.0,3.0,,,1.0,3.0,2.0,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.2727272727272727,,,0.3333333333333333,0.3333333333333333,,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,,,,,,,,,,,,24.2,1.0,,,0.3333333333333333,,,,,,,,True,,,,,,,,,,
702,1610612743,Voshon Lenard,Voshon Lenard,702,DEN,8985.0,150,-26,286,287,52,88,56,573,6.0,9.0,1.0,1.0,1.0,2.0,3.0,14.0,29,20.0,52,9.0,70.0,300,2.0,7.0,2.0,12.0,2.0,10,3.0,13.0,26.0,14.0,,3.0,9.0,,9.0,,3.0,,6.0,18.0,1.0,3.0,,4.0,9.0,,13,4,17,1.0,5.0,5.0,,5.0,,4.0,6.0,2.0,1.0,1.0,11.0,2.0,1.0,5,,2.0,13.0,1.0,6.0,1.0,2.0,,,2.0,3.0,2.0,,,13.0,52,2.0,0.65,0.65,0.38461538461538464,0.2857142857142857,0.2,0.4236111111111111,0.5,0.29411764705882354,0.44871794871794873,0.5454545454545454,0.34210526315789475,0.057692307692307696,0.1111111111111111,0.07142857142857142,24.517906336088156,0.45454545454545453,,,0.08108108108108109,0.02127659574468085,0.14814814814814814,0.02564102564102564,0.09420289855072464,0.022222222222222223,,,0.057692307692307696,,0.07142857142857142,0.08695652173913043,0.06976744186046512,0.08888888888888889,0.19047619047619047,,0.023809523809523808,0.6666666666666666,0.125,0.6666666666666666,0.75,0.5,0.19444444444444445,0.21428571428571427,0.23076923076923078,0.3333333333333333,0.4027777777777778,0.1,1.0,1.0,0.11764705882352941,0.5,0.4027777777777778,0.4760930555555555,0.40158571428571427,0.49570882352941176,0.07792207792207792,0.10526315789473684,0.17142857142857143,0.18571428571428572,12.528846153846157,0.18181818181818182,1.0,11.0,5.0,10.0,1.0,1.0,4.0,2.0,10.0,1.0,2.0,7.0,20.0,2.0,3.0,7.0,18.0,10.0,2.0,,,1.0,,0.8571428571428571,0.35,0.6666666666666666,0.35,0.2777777777777778,,,0.3793103448275862,0.39285714285714285,0.8181818181818182,0.1388888888888889,0.5,0.5,1.0,0.1388888888888889,0.2,0.2,0.5,0.1,1.0,1.0,0.2,0.5,,0.23529411764705882,0.2,24.325000000000003,3.0,3.0,,0.17647058823529413,2.0,2.0,1.0,0.2857142857142857,0.034482758620689655,0.5,,True,,,,,,,,,,
1711,1610612743,Raef LaFrentz,Raef LaFrentz,1711,DEN,7876.0,131,-6,249,248,17,19,46,497,16.0,25.0,5.0,7.0,,,1.0,9.0,13,25.0,47,9.0,71.0,267,7.0,11.0,2.0,16.0,,1,,,44.0,6.0,6.0,7.0,7.0,2.0,9.0,1.0,3.0,1.0,3.0,20.0,,11.0,,1.0,18.0,4.0,23,11,34,2.0,7.0,6.0,1.0,1.0,,1.0,2.0,2.0,,,3.0,,12.0,15,,,12.0,2.0,7.0,,11.0,6.0,1.0,4.0,11.0,7.0,,,,17,,0.88,1.0,0.5319148936170213,0.6363636363636364,,0.5254237288135594,0.5833333333333334,,0.5546875,0.6153846153846154,,0.14893617021276595,0.04,0.5555555555555556,21.824104234527688,0.3333333333333333,0.4444444444444444,,0.16363636363636364,0.09482758620689655,0.05263157894736842,,0.14728682170542637,0.07534246575342465,0.2,0.09090909090909091,0.020833333333333332,,,0.09523809523809523,0.1276595744680851,0.23809523809523808,0.058823529411764705,,0.09090909090909091,0.6363636363636364,0.423728813559322,0.64,0.6666666666666666,0.8125,0.15254237288135594,0.1111111111111111,0.25,1.0,0.22033898305084745,0.5833333333333334,0.7142857142857143,0.4,,,0.6271186440677966,0.5317449152542374,0.5065636363636364,0.440075,0.109375,0.1346153846153846,0.22535211267605634,,7.146808510638297,0.06827309236947791,,8.0,,1.0,,,,4.0,11.0,,1.0,4.0,12.0,,1.0,1.0,12.0,11.0,4.0,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.2033898305084746,0.08333333333333333,,0.6153846153846154,0.6666666666666666,1.0,0.01694915254237288,,,,0.1864406779661017,0.36363636363636365,0.4,1.0,,,,0.08333333333333333,,,,0.36363636363636365,25.11666666666667,1.0,,,0.5,,,,,0.07692307692307693,,0.09090909090909091,True,,,,,,,,,,
