EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,DefThreePtRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChancePointsPct,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallTurnovers,SecondChanceFg3Pct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceArc3FGM,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceArc3Accuracy,Corner3Assists,HeaveAttempts,SecondChanceArc3PctAssisted,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,FoulsDrawn,Offensive Fouls Drawn
1505,1610612742,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DAL,155.0,3,-3,5,6,2,1,11,6,1.0,1.0,1.0,2,0.25,0.25,0.25,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,2504.0,42,-1,86,85,32,26,171,77,3.0,8.0,9.0,32,0.3333333333333333,0.14893617021276595,0.3333333333333333,0.37209302325581395,8.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0,6.0,2.0,9.0,1.0,3.0,4.0,14.0,2.0,9.0,2.0,16.0,1.0,3.0,8.0,1.0,3.0,1.0,10.0,2.0,6.0,6.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,10.0,0.25,0.25,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2857142857142857,0.375,0.30434782608695654,0.4090909090909091,0.32,0.4166666666666667,0.391304347826087,29.47368421052632,0.6666666666666666,0.5,0.10526315789473684,0.03571428571428571,0.022727272727272728,0.16666666666666666,0.07142857142857142,0.16666666666666666,0.08333333333333333,0.058823529411764705,0.3333333333333333,0.13043478260869565,0.6666666666666666,0.6666666666666666,0.5,0.21739130434782608,0.2,0.2,0.2608695652173913,0.16666666666666666,0.16666666666666666,0.391304347826087,0.2222222222222222,0.2222222222222222,1.0,0.18181818181818182,1.0,0.2727272727272727,0.3333333333333333,0.5217391304347826,0.2222222222222222,0.47534565217391306,0.3666,0.48395454545454547,0.041666666666666664,0.06666666666666667,0.625,11.564285714285715,24.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
330,1610612742,Danny Manning,Danny Manning,330,DAL,33233.0,554,-36,1078,1080,283,333,2158,1156,15.0,83.0,108.0,283,0.12396694214876033,0.1383177570093458,0.09523809523809523,0.2625231910946197,115.0,31.0,44.0,10.0,10.0,11.0,31.0,28.0,67.0,1.0,4.0,,,70.0,142.0,1.0,7.0,22.0,165.0,18.0,15.0,27.0,,2.0,11.0,41.0,100.0,40.0,3.0,4.0,1.0,26.0,4.0,30.0,4.0,15.0,64.0,19.0,59.0,9.0,25.0,2.0,21.0,18.0,16.0,4.0,16.0,9.0,25.0,1.0,7.0,45.0,80.0,33.0,14.0,4.0,21.0,15.0,21.0,14.0,41.0,0.7142857142857143,0.7936507936507936,1.0,0.14285714285714285,,0.14285714285714285,0.49295774647887325,0.5555555555555556,0.4798657718120805,0.5172413793103449,0.5030487804878049,0.5857142857142857,0.04697986577181208,15.658657829328915,0.64,0.23076923076923078,0.14251207729468598,0.05093833780160858,0.04408817635270541,0.047619047619047616,0.17518248175182483,0.12727272727272726,0.12574850299401197,0.028985507246376812,0.6666666666666666,0.2953020134228188,0.7045454545454546,0.775,0.5806451612903226,0.2080536912751678,0.3548387096774194,0.3793103448275862,0.44966442953020136,0.417910447761194,0.4307692307692308,0.026845637583892617,0.25,0.25,1.0,0.3448275862068966,1.0,,,0.3422818791946309,0.25,0.46306644295302,0.48395263157894736,0.4740706896551726,0.0875,0.0915032679738562,0.24848484848484848,10.314788732394366,24.228571428571428,8.0,10.0,3.0,2.0,1.0,9.0,1.0,4.0,22.0,14.0,8.0,3.0,8.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,3.0,4.0,0.5,0.47368421052631576,0.5238095238095238,0.056338028169014086,0.09090909090909091,0.06451612903225806,0.029850746268656716,0.10714285714285714,0.023809523809523808,0.058333333333333334,0.047337278106508875,0.02912621359223301,0.1891891891891892,0.9090909090909091,0.7857142857142857,0.020134228187919462,0.5263157894736842,0.8,0.05263157894736842,0.06896551724137931,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
422,1610612742,Avery Johnson,Avery Johnson,422,DAL,439.0,7,-11,14,14,6,4,28,20,,,,6,,,,0.42857142857142855,1.0,,2.0,,1.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.333333333333334,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,0.47950000000000004,,0.4802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
89,1610612742,Nick Van Exel,Nick Van Exel,89,DAL,726.0,12,-13,22,22,5,3,44,31,,1.0,1.0,5,,,,0.22727272727272727,2.0,,,,,2.0,2.0,,,,3.0,,1.0,2.0,2.0,,3.0,,4.0,,,,,1.0,,,,4.0,,3.0,,3.0,,3.0,,1.0,6.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,0.4,,0.4,,0.6,25.0,,1.0,,,,,,,,,,,,,,0.4,1.0,1.0,,,,0.6,,,,,,1.0,,0.6,,0.49983000000000005,,0.528,,,,6.3,25.599999999999998,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1559,1610612742,Adrian Griffin,Adrian Griffin,1559,DAL,7313.0,122,-44,224,233,45,85,457,271,1.0,8.0,13.0,45,0.03125,0.06422018348623854,0.041666666666666664,0.20089285714285715,35.0,7.0,12.0,1.0,3.0,1.0,5.0,3.0,9.0,,4.0,,1.0,11.0,26.0,2.0,6.0,3.0,31.0,7.0,1.0,5.0,,1.0,1.0,3.0,12.0,10.0,6.0,4.0,,4.0,,4.0,,1.0,8.0,4.0,6.0,1.0,5.0,,3.0,1.0,2.0,,,1.0,3.0,,2.0,5.0,13.0,3.0,1.0,1.0,,,,,3.0,0.5454545454545454,0.6666666666666666,1.0,0.3333333333333333,,0.3333333333333333,0.4230769230769231,0.2,0.4375,0.16666666666666666,0.4696969696969697,0.21428571428571427,0.1875,13.358778625954198,0.6666666666666666,0.058823529411764705,0.07792207792207792,0.04,0.03937007874015748,0.10526315789473684,0.07142857142857142,0.05263157894736842,0.1,,,0.375,0.5833333333333334,0.875,0.42857142857142855,0.15625,0.2,0.2,0.28125,0.3333333333333333,0.3333333333333333,0.125,,,,0.5,0.3333333333333333,0.16666666666666666,,0.5625,,0.4992765625000001,0.4803800000000001,0.5138416666666666,0.03125,0.038461538461538464,0.0967741935483871,8.169230769230769,24.55,3.0,3.0,2.0,,1.0,6.0,2.0,1.0,16.0,4.0,4.0,1.0,2.0,1.0,,2.0,,,,1.0,,,,4.0,0.8571428571428571,0.8333333333333334,0.8888888888888888,0.15384615384615385,0.3333333333333333,,,,0.037037037037037035,0.03125,0.02040816326530612,,,,1.0,0.0625,0.3333333333333333,1.0,0.1111111111111111,,0.5161290322580645,2.0,1.0,1.0,1.0,2.0,0.5,0.14285714285714285,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,18594.0,310,29,604,600,129,148,1204,645,17.0,77.0,91.0,129,0.27419354838709675,0.2360655737704918,0.27906976744186046,0.21357615894039736,58.0,29.0,42.0,9.0,9.0,7.0,21.0,22.0,42.0,17.0,40.0,3.0,10.0,58.0,105.0,21.0,47.0,35.0,214.0,16.0,12.0,16.0,4.0,11.0,13.0,49.0,72.0,44.0,63.0,40.0,17.0,13.0,5.0,18.0,5.0,4.0,41.0,10.0,55.0,5.0,14.0,4.0,10.0,9.0,6.0,1.0,4.0,7.0,13.0,,1.0,18.0,25.0,42.0,18.0,4.0,11.0,6.0,12.0,8.0,49.0,0.6206896551724138,0.6923076923076923,1.0,0.44680851063829785,0.36363636363636365,0.44680851063829785,0.5523809523809524,0.75,0.5888157894736842,0.6666666666666666,0.6331360946745562,0.7424242424242424,0.3092105263157895,27.083333333333336,0.46153846153846156,0.29411764705882354,0.22633744855967078,0.05235602094240838,0.05405405405405406,0.13043478260869565,0.12941176470588237,0.26229508196721313,0.28865979381443296,0.06153846153846154,0.6666666666666666,0.27631578947368424,0.6904761904761905,0.7631578947368421,0.5517241379310345,0.13815789473684212,0.3333333333333333,0.3684210526315789,0.27631578947368424,0.5238095238095238,0.5365853658536586,0.2631578947368421,0.425,0.425,1.0,0.3333333333333333,1.0,0.37037037037037035,0.3,0.5855263157894737,0.425,0.5016444078947367,0.504115625,0.5131685185185185,0.12121212121212122,0.15384615384615385,0.22897196261682243,9.088571428571429,24.62340425531915,5.0,7.0,7.0,1.0,2.0,9.0,3.0,6.0,27.0,12.0,7.0,2.0,7.0,4.0,,1.0,1.0,2.0,3.0,6.0,3.0,,1.0,1.0,0.5625,0.5526315789473685,0.6428571428571429,0.06666666666666667,0.09523809523809523,0.09523809523809523,0.023809523809523808,,0.058823529411764705,,0.04878048780487805,0.037037037037037035,0.2631578947368421,0.42857142857142855,0.7727272727272727,0.046052631578947366,0.3684210526315789,0.7142857142857143,0.10526315789473684,0.037037037037037035,0.1261682242990654,4.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.14285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.2,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.041666666666666664,,,,,,,,,True,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,5957.0,99,20,194,194,49,79,388,190,3.0,18.0,25.0,49,0.14285714285714285,0.17525773195876287,0.1875,0.25257731958762886,18.0,14.0,16.0,3.0,3.0,1.0,4.0,1.0,4.0,,,,,16.0,24.0,,,12.0,44.0,3.0,3.0,4.0,,,3.0,9.0,24.0,8.0,,,,3.0,1.0,4.0,1.0,1.0,9.0,4.0,14.0,1.0,7.0,,9.0,8.0,2.0,,1.0,,2.0,,,7.0,9.0,21.0,11.0,1.0,6.0,4.0,6.0,4.0,9.0,0.75,0.8571428571428571,,,,,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.5625,,16.27906976744186,1.0,0.125,0.18421052631578946,0.06779661016949153,0.07692307692307693,,0.20588235294117646,0.05263157894736842,0.2608695652173913,,0.6666666666666666,0.6666666666666666,0.875,0.9333333333333333,0.7857142857142857,0.16666666666666666,0.25,0.25,0.16666666666666666,0.25,0.25,,,,,0.75,1.0,,,0.6666666666666666,,0.5378041666666665,0.6072,0.6134000000000001,0.34375,0.34375,0.20454545454545456,4.2125,,2.0,2.0,,,,3.0,,,6.0,4.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,3.0,2.0,,,,1.0,1.0,1.0,0.041666666666666664,0.0625,,,,0.09375,0.08695652173913043,0.08333333333333333,0.038461538461538464,,,1.0,,0.6666666666666666,1.0,,,0.13636363636363635,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,
896,1610612742,Tim Hardaway,Tim Hardaway,896,DAL,16953.0,283,-62,549,552,184,226,1101,588,5.0,10.0,13.0,184,0.07042253521126761,0.03731343283582089,0.08163265306122448,0.33515482695810567,63.0,4.0,9.0,1.0,1.0,2.0,7.0,9.0,24.0,8.0,40.0,2.0,10.0,15.0,40.0,10.0,48.0,18.0,78.0,1.0,3.0,12.0,3.0,13.0,10.0,25.0,10.0,20.0,18.0,40.0,8.0,30.0,5.0,35.0,5.0,15.0,75.0,2.0,5.0,,3.0,1.0,9.0,8.0,16.0,4.0,15.0,7.0,23.0,2.0,14.0,9.0,13.0,21.0,3.0,3.0,2.0,1.0,2.0,,25.0,0.3333333333333333,0.3333333333333333,0.6,0.20833333333333334,0.23076923076923078,0.20833333333333334,0.375,0.25,0.3409090909090909,0.3,0.38421052631578945,0.4,0.5454545454545454,19.093851132686083,0.6956521739130435,,0.025380710659898477,0.01,0.011194029850746268,,0.03389830508474576,0.018518518518518517,0.023809523809523808,0.01694915254237288,,0.10227272727272728,0.4444444444444444,0.4444444444444444,0.5,0.07954545454545454,0.2857142857142857,0.2857142857142857,0.2727272727272727,0.375,0.391304347826087,0.45454545454545453,0.2,0.2,0.625,0.04,1.0,0.4,0.2,0.6477272727272727,0.2,0.48661321839080457,0.49005,0.43182499999999996,0.043478260869565216,0.06976744186046512,0.32051282051282054,13.395,25.627083333333335,,,8.0,3.0,5.0,1.0,5.0,1.0,6.0,,1.0,4.0,11.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,0.4166666666666667,0.4166666666666667,0.025,,,0.041666666666666664,,0.014705882352941176,,0.021739130434782608,0.017857142857142856,0.045454545454545456,0.5,0.2222222222222222,0.09090909090909091,,,0.8333333333333334,0.12,0.07692307692307693,2.0,,,1.0,1.0,0.2,,0.25,0.25,0.5,,,,,1.0,,,1.0,,,1.0,0.3333333333333333,0.02040816326530612,,1.0,12.0,6.0,0.2,,,,True,,,,,,
271,1610612742,Johnny Newman,Johnny Newman,271,DAL,5523.0,92,-27,182,186,61,72,368,194,,4.0,5.0,61,,0.03260869565217391,,0.33516483516483514,16.0,4.0,5.0,3.0,4.0,,,3.0,6.0,1.0,3.0,,,7.0,11.0,1.0,5.0,6.0,23.0,1.0,3.0,5.0,,,3.0,9.0,8.0,6.0,3.0,3.0,1.0,3.0,,3.0,,2.0,6.0,,3.0,1.0,1.0,,4.0,1.0,,1.0,,5.0,5.0,,1.0,3.0,13.0,10.0,2.0,3.0,,,1.0,,9.0,0.5714285714285714,0.6666666666666666,1.0,0.2,,0.2,0.6363636363636364,0.6,0.53125,0.6,0.5476190476190477,0.6428571428571429,0.3125,13.0,,0.1111111111111111,0.0410958904109589,,0.011494252873563218,,0.08695652173913043,0.05263157894736842,,,,0.3125,0.8,1.0,0.5,,,,0.375,0.5,0.5,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.8,0.75,,,0.625,0.3333333333333333,0.5240281250000001,,0.60408,0.1111111111111111,0.15384615384615385,0.391304347826087,9.118181818181819,24.140000000000004,1.0,1.0,2.0,,,1.0,,,2.0,2.0,1.0,,1.0,1.0,,3.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,1.0,0.09090909090909091,0.2,,,,0.041666666666666664,,,,,,0.6666666666666666,0.125,1.0,1.0,,,0.08695652173913043,,,,,,,0.16666666666666666,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,True,,,,,,
