EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,Technical Free Throw Trips,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,OffCorner3ReboundPct,OffensiveGoaltends,PenaltyCorner3FGM,Blocked3s,BlockedCorner3,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked
1601,1610612762,Rusty LaRue,Rusty LaRue,1601,UTA,963.0,16,6,31,35,16,28,2,66,1.0,3,1.0,2.0,1.0,1.0,1.0,1.0,3,1.0,2.0,5.0,33,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,16,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.3333333333333333,0.5,0.75,0.5,0.75,0.4,17.142857142857142,1.0,0.1111111111111111,0.09090909090909091,0.25,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.5,1.0,1.0,0.5,1.0,0.4,0.5,0.46602,0.43365,0.6,20.933333333333334,24.299999999999997,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1900,1610612762,Quincy Lewis,Quincy Lewis,1900,UTA,29260.0,488,-26,936,935,282,263,123,1871,22.0,64,1.0,10.0,,,4.0,61.0,125,3.0,18.0,144.0,984,,30.0,,7.0,40.0,96.0,6.0,10.0,1.0,30.0,6.0,36.0,4.0,14.0,78.0,26.0,33.0,43.0,11.0,4.0,32.0,89.0,40.0,282,12.0,0.7868852459016393,0.8135593220338984,0.6666666666666666,0.16666666666666666,,0.16666666666666666,0.488,0.458041958041958,0.4594594594594595,0.47368421052631576,0.5,0.1258741258741259,16.974169741697416,0.34375,0.07428571428571429,0.07223476297968397,0.08176100628930817,0.44755244755244755,0.34375,0.34375,0.8181818181818182,0.06993006993006994,0.1,0.1,,,0.10810810810810811,,0.3986013986013986,0.1,0.4807570422535212,0.4753763888888889,0.2777777777777778,11.556799999999997,25.611111111111107,0.30128205128205127,30.0,39.0,4.0,4.0,7.0,10.0,9.0,22.0,2.0,8.0,3.0,13.0,5.0,10.0,2.0,12.0,17.0,6.0,26.0,3.0,4.0,5.0,2.0,4.0,12.0,1.0,9.0,6.0,1.0,10.0,2.0,23.0,19.0,4.0,4.0,7.0,21.0,1.0,1.0,2.0,9.0,33.0,1.0,3.0,11.0,20.0,2.0,9.0,2.0,9.0,2.0,3.0,4.0,9.0,6.0,1.0,3.0,0.5,0.5666666666666667,0.5,0.5454545454545454,0.04,0.05128205128205128,0.13636363636363635,0.03333333333333333,0.02459016393442623,0.06451612903225806,0.02564102564102564,0.024691358024691357,0.01680672268907563,0.03125,0.026490066225165563,0.03571428571428571,0.09523809523809523,0.04672897196261682,0.0684931506849315,0.05,0.028169014084507043,0.6666666666666666,0.2727272727272727,0.7692307692307693,0.8108108108108109,0.8,0.15384615384615385,0.4090909090909091,0.47368421052631576,0.6666666666666666,0.055944055944055944,0.25,0.25,1.0,0.4,1.0,0.5,0.2702702702702703,0.7,0.08108108108108109,0.4951875,0.06,0.06818181818181818,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,9484.0,158,3,307,307,146,151,34,614,2.0,6,1.0,4.0,1.0,1.0,2.0,13.0,29,1.0,8.0,54.0,305,1.0,14.0,1.0,2.0,23.0,16.0,3.0,4.0,1.0,7.0,,7.0,,1.0,14.0,14.0,22.0,28.0,6.0,1.0,8.0,11.0,23.0,146,3.0,0.6153846153846154,0.6153846153846154,1.0,0.125,0.5,0.125,0.4482758620689655,0.3918918918918919,0.34375,0.5,0.4791666666666667,0.21621621621621623,17.579250720461093,0.75,0.11570247933884298,0.10897435897435898,0.12,0.16216216216216217,0.3333333333333333,0.3333333333333333,1.0,0.10810810810810811,0.25,0.25,1.0,0.25,0.125,0.5,0.7567567567567568,0.25,0.5132108108108109,0.48496562499999996,0.42592592592592593,4.36896551724138,24.324999999999996,0.4755700325732899,10.0,20.0,2.0,3.0,3.0,9.0,1.0,3.0,,4.0,,25.0,2.0,3.0,4.0,8.0,4.0,12.0,10.0,,,7.0,,2.0,4.0,1.0,5.0,3.0,5.0,6.0,,5.0,4.0,1.0,1.0,5.0,2.0,1.0,,,5.0,4.0,,1.0,,34.0,,11.0,6.0,14.0,4.0,2.0,8.0,14.0,8.0,,,0.6666666666666666,0.2857142857142857,0.5,0.5714285714285714,0.2413793103448276,0.35,,0.4166666666666667,0.04424778761061947,0.08571428571428572,0.0625,0.046511627906976744,0.075,0.029411764705882353,0.02564102564102564,0.1111111111111111,0.08823529411764706,0.13513513513513514,0.07407407407407407,0.125,,0.5714285714285714,0.5405405405405406,0.5,0.7692307692307693,0.6,0.08108108108108109,0.3333333333333333,0.3333333333333333,,0.10810810810810811,,,,0.75,0.6666666666666666,,0.5625,0.3333333333333333,,0.5418,0.22916666666666666,0.275,0.14814814814814814,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1909,1610612762,Scott Padgett,Scott Padgett,1909,UTA,7134.0,119,-13,223,226,104,81,28,449,2.0,4,7.0,10.0,1.0,3.0,3.0,11.0,22,7.0,10.0,49.0,241,1.0,10.0,3.0,3.0,23.0,12.0,21.0,10.0,7.0,5.0,2.0,7.0,,1.0,16.0,10.0,15.0,28.0,6.0,2.0,7.0,10.0,23.0,104,2.0,0.5454545454545454,0.8571428571428571,1.0,0.7,1.0,0.7,0.5,0.671875,0.7307692307692307,0.7058823529411765,0.7666666666666667,0.3125,16.07843137254902,0.8571428571428571,0.12195121951219512,0.11428571428571428,0.1282051282051282,0.125,0.5,0.5,0.5,0.3125,0.7,0.7,1.0,0.1111111111111111,0.23076923076923078,1.0,0.65625,0.7,0.5105203125,0.4738692307692308,0.46938775510204084,6.118181818181818,25.060000000000002,0.4663677130044843,7.0,11.0,4.0,5.0,3.0,3.0,2.0,7.0,,,,6.0,6.0,8.0,3.0,18.0,5.0,4.0,10.0,,8.0,4.0,2.0,1.0,3.0,2.0,10.0,2.0,3.0,13.0,1.0,1.0,,1.0,,4.0,1.0,,,1.0,3.0,6.0,,1.0,,7.0,2.0,2.0,2.0,1.0,,,1.0,1.0,,,,0.75,0.5,0.8333333333333334,0.9,0.18181818181818182,0.18181818181818182,0.2857142857142857,0.375,0.11494252873563218,0.08695652173913043,0.13333333333333333,0.11764705882352941,0.14285714285714285,0.037037037037037035,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.047619047619047616,0.1111111111111111,,0.1111111111111111,,0.34375,0.6363636363636364,0.7777777777777778,0.5714285714285714,0.21875,0.2857142857142857,0.4,0.5,,,,,0.5555555555555556,0.8,0.25,0.23076923076923078,1.0,,0.53135,0.0625,0.09090909090909091,0.3673469387755102,,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,24511.0,409,-34,784,776,198,191,106,1560,40.0,91,1.0,3.0,,,,93.0,194,1.0,3.0,247.0,839,,43.0,,,53.0,158.0,3.0,3.0,1.0,39.0,5.0,44.0,3.0,26.0,93.0,52.0,81.0,98.0,33.0,4.0,49.0,27.0,53.0,198,2.0,0.8494623655913979,0.8977272727272727,1.0,0.3333333333333333,,0.3333333333333333,0.4793814432989691,0.4796954314720812,0.37209302325581395,0.5393013100436681,0.4818181818181818,0.015228426395939087,30.616740088105725,0.673469387755102,0.18118466898954705,0.1956521739130435,0.19230769230769232,0.4619289340101523,0.43956043956043955,0.449438202247191,0.95,0.015228426395939087,0.3333333333333333,0.3333333333333333,1.0,,,,0.30456852791878175,0.3333333333333333,0.465356345177665,0.47689069767441866,0.2145748987854251,10.639175257731958,25.166666666666668,0.25255102040816324,33.0,57.0,6.0,12.0,8.0,14.0,20.0,46.0,,,,58.0,14.0,25.0,2.0,30.0,16.0,21.0,28.0,,10.0,11.0,2.0,4.0,9.0,3.0,14.0,20.0,9.0,17.0,2.0,20.0,9.0,11.0,5.0,29.0,16.0,2.0,,1.0,9.0,8.0,,,7.0,71.0,7.0,33.0,6.0,7.0,5.0,,2.0,7.0,3.0,1.0,,0.56,0.37209302325581395,0.56,0.5769230769230769,0.05670103092783505,0.15789473684210525,,0.4090909090909091,0.045454545454545456,0.24691358024691357,0.1111111111111111,0.050746268656716415,0.07476635514018691,0.05194805194805195,0.016129032258064516,0.14285714285714285,0.19696969696969696,0.15384615384615385,0.24193548387096775,0.2631578947368421,0.021739130434782608,0.42857142857142855,0.2893401015228426,0.5789473684210527,0.6875,0.7272727272727273,0.233502538071066,0.43478260869565216,0.43478260869565216,0.85,,,,,0.48,0.5,0.3333333333333333,0.32558139534883723,0.5714285714285714,,0.5013291666666667,0.14798206278026907,0.15,0.1214574898785425,,,,,,,,,,0.02197802197802198,,,,,,,,,,,,,,True,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,4334.0,72,-13,147,148,112,92,21,295,9.0,18,,1.0,,,1.0,11.0,33,,1.0,27.0,159,,25.0,,1.0,20.0,16.0,,1.0,,9.0,1.0,10.0,1.0,4.0,21.0,2.0,5.0,8.0,4.0,2.0,7.0,10.0,20.0,112,3.0,0.7272727272727273,0.7272727272727273,,,,,0.3333333333333333,0.3235294117647059,0.3076923076923077,0.36486486486486486,0.35714285714285715,0.029411764705882353,25.28735632183908,0.5714285714285714,0.043478260869565216,0.08064516129032258,0.08695652173913043,0.5294117647058824,0.5,0.5,0.7777777777777778,0.029411764705882353,,,,,0.038461538461538464,,0.20588235294117646,,0.42828970588235293,0.43015961538461533,0.7407407407407407,12.057575757575757,27.3,0.7619047619047619,1.0,6.0,1.0,3.0,1.0,5.0,1.0,9.0,,,,5.0,1.0,4.0,3.0,5.0,8.0,4.0,6.0,,,4.0,,1.0,4.0,,3.0,3.0,,3.0,2.0,3.0,1.0,2.0,,2.0,3.0,,,1.0,7.0,4.0,,,3.0,6.0,,2.0,1.0,1.0,,,1.0,1.0,,,,0.25,0.32,0.25,0.4166666666666667,0.12121212121212122,0.16666666666666666,0.3333333333333333,,0.046875,0.1875,,0.04054054054054054,0.06666666666666667,0.041666666666666664,0.04,,,,0.15384615384615385,0.3333333333333333,0.10526315789473684,,0.17647058823529413,0.16666666666666666,0.2,1.0,0.2647058823529412,0.1111111111111111,0.16666666666666666,,,,,,0.75,0.3333333333333333,1.0,0.19230769230769232,0.2,,0.6558,0.05555555555555555,0.05714285714285714,0.18518518518518517,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,6837.0,114,26,227,222,75,88,26,449,2.0,6,,,,,,11.0,23,,,38.0,206,,5.0,,,14.0,10.0,,,,1.0,,1.0,,,2.0,4.0,9.0,20.0,2.0,,2.0,21.0,14.0,75,3.0,0.45454545454545453,0.625,,,,,0.4782608695652174,0.4782608695652174,0.4,0.5757575757575758,0.6363636363636364,,13.725490196078432,1.0,0.05263157894736842,0.0784313725490196,0.07692307692307693,0.2608695652173913,0.3333333333333333,0.3333333333333333,,,,,,,,,0.43478260869565216,,0.4387782608695652,0.43912000000000007,0.3684210526315789,7.230434782608696,,0.3303964757709251,7.0,10.0,4.0,5.0,2.0,2.0,2.0,7.0,,,,16.0,4.0,6.0,3.0,11.0,2.0,10.0,12.0,,6.0,1.0,,,1.0,2.0,9.0,4.0,1.0,11.0,1.0,2.0,1.0,1.0,,2.0,,,,,,9.0,,7.0,,21.0,1.0,5.0,6.0,1.0,1.0,,,1.0,1.0,,,0.6666666666666666,0.4,0.6666666666666666,0.6875,0.043478260869565216,0.1,,0.125,0.10588235294117647,0.15384615384615385,0.16666666666666666,0.1134020618556701,0.2,0.05555555555555555,0.07142857142857142,0.125,,0.058823529411764705,0.15,0.16666666666666666,0.09090909090909091,1.0,0.43478260869565216,0.7,0.7777777777777778,0.5714285714285714,0.30434782608695654,0.2857142857142857,0.2857142857142857,0.5,,,,,0.8333333333333334,0.8,0.25,0.4,1.0,,0.5300333333333334,0.18518518518518517,0.18518518518518517,0.2894736842105263,,,,,,,,,,,0.25,,,,,,,,,,,,,True,,,,,,
680,1610612762,John Amaechi,John Amaechi,680,UTA,4023.0,67,-21,136,141,65,57,11,277,2.0,5,,,,,,6.0,13,,,20.0,144,,6.0,,,14.0,10.0,,,,4.0,,4.0,,1.0,8.0,11.0,13.0,15.0,3.0,3.0,8.0,8.0,14.0,65,,0.8333333333333334,0.8333333333333334,,,,,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.5882352941176471,0.7777777777777778,,16.666666666666668,0.375,0.20754716981132076,0.1875,0.16666666666666666,0.38461538461538464,0.4,0.4,1.0,,,,,,,,0.3076923076923077,,0.4475,0.4625000000000001,0.7,10.007692307692308,,0.47794117647058826,2.0,4.0,,,2.0,2.0,2.0,4.0,,,,8.0,,,2.0,2.0,4.0,6.0,2.0,,,1.0,,,3.0,,1.0,1.0,1.0,2.0,,,,,1.0,,5.0,1.0,1.0,1.0,2.0,3.0,,2.0,2.0,9.0,1.0,3.0,2.0,3.0,2.0,,1.0,3.0,1.0,,1.0,,0.6666666666666666,,1.0,0.07692307692307693,0.25,,0.25,0.022222222222222223,0.09090909090909091,,0.018867924528301886,,0.07692307692307693,,,0.21428571428571427,0.26666666666666666,0.125,,,0.3333333333333333,0.3076923076923077,0.5,0.6666666666666666,0.5,0.3076923076923077,0.5,0.5,1.0,,,,,,,,0.3333333333333333,1.0,,,0.2,0.2,0.1,,,,1.0,,,0.16666666666666666,,,,,,,,,,,,,,,,,True,,,,,,
935,1610612762,Bryon Russell,Bryon Russell,935,UTA,2476.0,41,-18,76,80,19,30,8,156,1.0,3,2.0,3.0,,,,2.0,4,3.0,4.0,15.0,92,,,,,,2.0,9.0,3.0,2.0,2.0,,2.0,,1.0,4.0,4.0,6.0,7.0,2.0,,2.0,1.0,,19,1.0,0.5,0.5,1.0,0.75,,0.75,0.5,0.8125,,0.8333333333333334,,0.5,11.764705882352942,1.0,0.13793103448275862,0.16666666666666666,0.21428571428571427,0.375,0.3333333333333333,0.3333333333333333,1.0,0.375,0.6666666666666666,0.6666666666666666,1.0,,,,0.5,0.6666666666666666,0.5061875,,,16.1,24.6,0.25,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,2.0,2.0,,,2.0,,,,,,1.0,,1.0,2.0,,1.0,,6.0,2.0,4.0,,2.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,0.03125,0.2857142857142857,,0.029411764705882353,,,0.058823529411764705,,,0.09090909090909091,0.2857142857142857,,,,,,,,0.125,1.0,1.0,,0.125,1.0,1.0,1.0,,,,,,,,,,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
180,1610612762,John Crotty,John Crotty,180,UTA,4869.0,81,-7,154,155,86,59,19,309,5.0,12,2.0,6.0,,1.0,5.0,9.0,18,2.0,6.0,31.0,154,,10.0,1.0,5.0,19.0,12.0,6.0,6.0,2.0,12.0,3.0,15.0,2.0,4.0,33.0,5.0,8.0,8.0,4.0,,4.0,8.0,19.0,86,2.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.2,0.3333333333333333,0.5,0.5,0.43333333333333335,0.5555555555555556,0.5277777777777778,0.25,17.51412429378531,1.0,0.07142857142857142,0.09195402298850575,0.17857142857142858,0.5,0.4166666666666667,0.4166666666666667,0.8,0.25,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.2,0.4583333333333333,0.3333333333333333,0.4634854166666667,0.4592933333333333,0.6129032258064516,13.494444444444444,25.05,0.5584415584415584,4.0,5.0,,,3.0,4.0,,1.0,,,,7.0,2.0,2.0,,4.0,5.0,6.0,6.0,,,1.0,1.0,2.0,6.0,,,3.0,,,,3.0,1.0,2.0,,4.0,,,,,1.0,4.0,,,,7.0,,,3.0,,,,,,,,,1.0,0.5,1.0,1.0,0.05555555555555555,,1.0,,,0.17647058823529413,,,,,,,,,0.18181818181818182,0.16666666666666666,,,0.20833333333333334,0.8,0.8,0.5,0.041666666666666664,,,,,,,,,,,0.26666666666666666,0.75,,0.4056,,,0.12903225806451613,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,
