EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Defensive 3 Seconds Violations,HeaveAttempts,PtsUnassisted3s,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,Corner3PctBlocked,Clear Path Fouls,on,HeaveMakes
111,1610612748,LaPhonso Ellis,LaPhonso Ellis,111,MIA,72608.0,1210,-62,2191,2197,607,780,275.0,4388,42.0,71.0,18.0,26.0,11.0,14.0,25.0,68.0,51.0,111.0,9.0,28.0,1.0,3.0,3.0,8.0,15.0,49.0,2.0,4.0,5.0,20.0,118.0,250.0,24.0,77.0,35.0,343.0,2192.0,24.0,45.0,3.0,7.0,13.0,70.0,21.0,47.0,8.0,28.0,12.0,78.0,150.0,86.0,72.0,26.0,49.0,15.0,14.0,1.0,31.0,8.0,39.0,5.0,3.0,9.0,2.0,20.0,86.0,12.0,61.0,4.0,20.0,85.0,18.0,123.0,77.0,200.0,10.0,23.0,13.0,10.0,24.0,4.0,11.0,26.0,3.0,13.0,6.0,50.0,4.0,17.0,57.0,134.0,10.0,9.0,54.0,3.0,19.0,1.0,8.0,28.0,16.0,3.0,9.0,28.0,19.0,1.0,1.0,78.0,607,27.0,0.635593220338983,0.7142857142857143,1.0,0.3116883116883117,0.42857142857142855,0.2857142857142857,0.3116883116883117,0.472,0.5333333333333333,0.44680851063829785,0.4709480122324159,0.5480769230769231,0.44,0.4872159090909091,0.5645161290322581,0.4588235294117647,0.23547400611620795,0.012987012987012988,0.056,0.09859154929577464,0.07352941176470588,0.018018018018018018,0.02040816326530612,16.001596169193935,0.48,0.1978021978021978,0.057971014492753624,0.09837962962962964,0.06939704209328783,0.0975609756097561,0.0594059405940594,0.09822263797942002,0.06753006475485661,0.07142857142857142,0.078125,0.06373626373626373,0.03546099290780142,0.11475409836065574,0.07317073170731707,0.08417508417508418,0.12430939226519337,0.10119047619047619,0.08108108108108109,0.06060606060606061,0.6785714285714286,0.21712538226299694,0.5915492957746479,0.65625,0.5714285714285714,0.20795107033639143,0.36764705882352944,0.3968253968253968,0.44,0.3394495412844037,0.4594594594594595,0.46788990825688076,0.7843137254901961,0.0856269113149847,0.32142857142857145,0.32142857142857145,1.0,0.14984709480122324,0.30612244897959184,0.3125,1.0,0.5,0.6923076923076923,0.16666666666666666,0.057692307692307696,0.3333333333333333,1.0,0.07692307692307693,0.5,1.0,0.18666666666666668,0.7857142857142857,0.10666666666666667,0.375,0.26666666666666666,0.25,0.4525993883792049,0.30612244897959184,0.45781941896024464,0.49827608695652165,0.4409306666666667,0.05813953488372093,0.07142857142857142,0.01282051282051282,0.20408163265306123,0.22740524781341107,10.585600000000001,24.411688311688312,0.27704244637151987,,,,,,,,,,True,
1735,1610612748,Vladimir Stepania,Vladimir Stepania,1735,MIA,36612.0,610,-11,1097,1107,293,402,153.0,2204,50.0,79.0,17.0,31.0,11.0,18.0,19.0,49.0,11.0,45.0,,,,,,,,,,,,,80.0,173.0,,,32.0,192.0,1077.0,23.0,45.0,,,11.0,57.0,14.0,31.0,,,14.0,42.0,90.0,70.0,,30.0,,,14.0,,12.0,2.0,14.0,2.0,,4.0,,8.0,30.0,8.0,63.0,1.0,11.0,85.0,13.0,109.0,72.0,181.0,8.0,14.0,11.0,3.0,19.0,2.0,6.0,21.0,3.0,13.0,5.0,40.0,7.0,13.0,28.0,74.0,14.0,8.0,69.0,9.0,30.0,,9.0,31.0,19.0,2.0,10.0,31.0,19.0,1.0,2.0,42.0,293,12.0,0.5625,0.6923076923076923,,,,,,0.4624277456647399,0.5111111111111111,0.45161290322580644,0.4624277456647399,0.5111111111111111,0.45161290322580644,0.4729064039408867,0.5181818181818182,0.4772727272727273,,,0.08092485549132948,0.12658227848101267,0.08163265306122448,,,19.088766692851532,0.475,0.2826086956521739,0.025,0.20884520884520885,0.13404255319148936,0.11827956989247312,0.0975609756097561,0.192,0.1286231884057971,0.16129032258064516,0.14393939393939395,0.11836734693877551,0.08771929824561403,0.12,0.1523809523809524,0.25,0.20987654320987653,0.125,0.07692307692307693,0.1038961038961039,0.6129032258064516,0.45664739884393063,0.6329113924050633,0.7246376811594203,0.58,0.2832369942196532,0.3877551020408163,0.4222222222222222,0.3684210526315789,0.26011560693641617,0.24444444444444444,0.24444444444444444,0.8181818181818182,,,,,,,,,0.6888888888888889,0.5483870967741935,0.058823529411764705,,,,,,,0.5806451612903226,0.6111111111111112,,,,,0.45664739884393063,,0.4748271676300576,0.5236307692307692,0.4940548387096774,0.15463917525773196,0.15463917525773196,,0.296875,0.21875,6.8890173410404625,,0.2670920692798541,6.0,,,,,,,,,True,
1752,1610612748,Sean Marks,Sean Marks,1752,MIA,14507.0,242,-28,433,438,76,124,51.0,871,15.0,24.0,5.0,7.0,3.0,5.0,5.0,16.0,9.0,28.0,,,,,,,,,,,,,29.0,68.0,,,9.0,67.0,412.0,6.0,9.0,,,,12.0,6.0,13.0,,,4.0,16.0,36.0,22.0,,6.0,,,5.0,,4.0,1.0,5.0,,1.0,,1.0,3.0,11.0,2.0,11.0,,7.0,37.0,2.0,46.0,13.0,59.0,1.0,4.0,2.0,2.0,1.0,3.0,,13.0,3.0,1.0,2.0,14.0,2.0,5.0,9.0,29.0,3.0,2.0,22.0,2.0,10.0,,2.0,9.0,7.0,1.0,1.0,9.0,4.0,1.0,1.0,16.0,76,6.0,0.6206896551724138,0.6923076923076923,,,,,,0.4264705882352941,0.6666666666666666,0.46153846153846156,0.4264705882352941,0.6666666666666666,0.46153846153846156,0.42948717948717946,0.6,0.47058823529411764,,,0.07352941176470588,0.08333333333333333,0.1875,,,18.548387096774192,0.07142857142857142,0.14285714285714285,,0.18877551020408162,0.05789473684210526,0.21212121212121213,0.06451612903225806,0.19213973799126638,0.058823529411764705,0.10256410256410256,0.1,0.019801980198019802,,0.18181818181818182,0.17307692307692307,0.208955223880597,0.18181818181818182,0.23076923076923078,0.14285714285714285,0.029411764705882353,0.4444444444444444,0.35294117647058826,0.625,0.6818181818181818,0.5333333333333333,0.23529411764705882,0.3125,0.38461538461538464,0.2,0.4117647058823529,0.32142857142857145,0.32142857142857145,1.0,,,,,,,,,0.7777777777777778,0.7142857142857143,0.2,,,,,,,0.38461538461538464,0.6,,,,,0.35294117647058826,,0.4586544117647058,0.5191571428571428,0.46443076923076926,0.13157894736842105,0.13157894736842105,,0.1791044776119403,0.23880597014925373,9.858823529411765,,0.17551963048498845,1.0,,,,,,,,,True,
1853,1610612748,Anthony Carter,Anthony Carter,1853,MIA,43575.0,726,-124,1312,1328,334,344,152.0,2640,20.0,37.0,2.0,2.0,4.0,7.0,6.0,26.0,40.0,117.0,,1.0,,,,,1.0,7.0,1.0,1.0,,4.0,66.0,180.0,1.0,8.0,13.0,148.0,1364.0,5.0,14.0,1.0,1.0,1.0,14.0,12.0,43.0,,4.0,8.0,32.0,72.0,60.0,3.0,2.0,4.0,1.0,8.0,,116.0,38.0,154.0,22.0,16.0,45.0,17.0,54.0,346.0,,10.0,2.0,18.0,53.0,1.0,72.0,12.0,84.0,3.0,32.0,21.0,11.0,34.0,12.0,23.0,25.0,3.0,11.0,2.0,59.0,2.0,16.0,28.0,56.0,2.0,6.0,26.0,4.0,11.0,,4.0,3.0,3.0,,,3.0,1.0,,,32.0,334,5.0,0.5454545454545454,0.5538461538461539,1.0,0.125,1.0,,0.2,0.36666666666666664,0.35714285714285715,0.27906976744186046,0.35904255319148937,0.43333333333333335,0.2553191489361702,0.37185929648241206,0.4375,0.3076923076923077,0.0425531914893617,,0.044444444444444446,0.1891891891891892,,0.008547008547008548,,17.373737373737374,0.576271186440678,0.022727272727272728,0.05128205128205128,0.10153256704980843,0.018018018018018018,0.15789473684210525,,0.11163522012578617,0.015503875968992248,0.02654867256637168,0.0273972602739726,0.010135135135135136,,,0.072,0.10795454545454546,0.11312217194570136,0.1368421052631579,0.2631578947368421,0.027777777777777776,0.3333333333333333,0.19680851063829788,0.5405405405405406,0.6666666666666666,0.4,0.13829787234042554,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.6223404255319149,0.3418803418803419,0.3448275862068966,0.65,0.005319148936170213,,,,0.03723404255319149,0.14285714285714285,0.14285714285714285,1.0,0.13333333333333333,1.0,0.5,,,,0.06666666666666667,1.0,1.0,0.14893617021276595,0.5714285714285714,,,0.0851063829787234,,0.2393617021276596,0.25,0.4360564864864865,0.42275714285714283,0.42812111111111106,0.05641025641025641,0.058823529411764705,,0.0945945945945946,0.21621621621621623,13.289999999999996,36.6,0.2545731707317073,,3.0,,,,,,,,True,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,189324.0,3155,72,5743,5730,1448,1579,713.0,11473,152.0,235.0,15.0,28.0,35.0,54.0,53.0,156.0,163.0,425.0,50.0,109.0,3.0,5.0,14.0,31.0,99.0,273.0,9.0,29.0,34.0,72.0,368.0,816.0,149.0,382.0,297.0,1480.0,5681.0,30.0,69.0,12.0,34.0,21.0,117.0,83.0,191.0,48.0,103.0,130.0,440.0,382.0,354.0,402.0,18.0,270.0,99.0,34.0,2.0,235.0,27.0,262.0,13.0,14.0,86.0,52.0,97.0,551.0,10.0,50.0,1.0,57.0,242.0,18.0,317.0,61.0,378.0,9.0,117.0,97.0,20.0,86.0,22.0,58.0,62.0,12.0,28.0,7.0,148.0,15.0,35.0,111.0,258.0,12.0,14.0,355.0,24.0,112.0,1.0,46.0,65.0,23.0,13.0,29.0,77.0,52.0,,,440.0,1448,50.0,0.5190217391304348,0.532033426183844,0.8993288590604027,0.3900523560209424,0.35294117647058826,0.46601941747572817,0.39313984168865435,0.45098039215686275,0.43478260869565216,0.43455497382198954,0.49373956594323876,0.46601941747572817,0.5272108843537415,0.5367591897974494,0.5,0.5966386554621849,0.31886477462437396,0.005235602094240838,0.041666666666666664,0.08085106382978724,0.07692307692307693,0.007058823529411765,,22.565899740972117,0.581081081081081,0.0861244019138756,0.005714285714285714,0.10521739130434783,0.0213857998289136,0.10536044362292052,0.023809523809523808,0.1052446321717705,0.021754894851341553,0.02066115702479339,0.020634920634920634,0.022058823529411766,0.023972602739726026,0.0234375,0.10876623376623376,0.08945260347129506,0.11550802139037433,0.09836065573770492,0.13157894736842105,0.0141287284144427,0.6753246753246753,0.19616026711185308,0.6468085106382979,0.7037037037037037,0.5855263157894737,0.1302170283806344,0.33974358974358976,0.3680555555555556,0.3584905660377358,0.3547579298831386,0.3835294117647059,0.3862559241706161,0.50920245398773,0.09098497495826377,0.45871559633027525,0.4672897196261682,0.96,0.2278797996661102,0.3626373626373626,0.3626373626373626,0.8686868686868687,0.27184466019417475,0.5357142857142857,0.26666666666666666,0.04854368932038835,0.6,1.0,0.2815533980582524,0.3103448275862069,1.0,0.1836734693877551,0.6481481481481481,0.1054421768707483,0.45161290322580644,0.24489795918367346,0.4722222222222222,0.5150250417362271,0.36666666666666664,0.4789658158995816,0.4767230769230769,0.46246030927835063,0.08780108780108781,0.12389380530973451,0.0026109660574412533,0.07905405405405405,0.2972972972972973,11.612132352941181,24.770418848167537,0.2521330315166289,1.0,3.0,45.0,59.0,12.0,8.0,4.0,0.01834862385321101,,True,
2067,1610612748,Eddie House,Eddie House,2067,MIA,46763.0,779,55,1439,1431,431,535,191.0,2870,10.0,26.0,,1.0,5.0,8.0,15.0,44.0,65.0,156.0,15.0,31.0,1.0,3.0,4.0,7.0,19.0,65.0,4.0,8.0,7.0,32.0,90.0,226.0,34.0,96.0,25.0,307.0,1409.0,8.0,21.0,5.0,11.0,4.0,35.0,22.0,46.0,11.0,39.0,14.0,91.0,96.0,84.0,81.0,,62.0,19.0,13.0,2.0,67.0,23.0,90.0,17.0,6.0,20.0,5.0,42.0,203.0,2.0,10.0,,10.0,46.0,1.0,57.0,12.0,69.0,2.0,33.0,20.0,13.0,26.0,5.0,14.0,19.0,1.0,12.0,3.0,45.0,1.0,11.0,30.0,69.0,3.0,4.0,29.0,,7.0,,6.0,4.0,3.0,1.0,,4.0,1.0,,,91.0,431,15.0,0.5333333333333333,0.5333333333333333,0.7941176470588235,0.3541666666666667,0.45454545454545453,0.28205128205128205,0.3655913978494624,0.39823008849557523,0.38095238095238093,0.4782608695652174,0.43788819875776397,0.484375,0.45294117647058824,0.4552238805970149,0.5147058823529411,0.4838709677419355,0.2981366459627329,0.020833333333333332,0.05752212389380531,0.19230769230769232,0.11363636363636363,0.019230769230769232,0.03076923076923077,22.83653846153846,0.5777777777777777,0.01694915254237288,,0.0856610800744879,0.017513134851138354,0.07462686567164178,0.012987012987012988,0.08345752608047691,0.016551724137931035,0.025,0.026143790849673203,0.010067114093959731,0.009523809523809525,0.02040816326530612,0.07692307692307693,0.05263157894736842,0.11440677966101695,0.07476635514018691,0.07407407407407407,0.011494252873563218,0.25,0.08074534161490683,0.38461538461538464,0.47619047619047616,0.6,0.13664596273291926,0.3409090909090909,0.38461538461538464,0.4666666666666667,0.484472049689441,0.4166666666666667,0.42483660130718953,0.5384615384615384,0.09627329192546584,0.4838709677419355,0.4838709677419355,1.0,0.20186335403726707,0.2923076923076923,0.30158730158730157,0.631578947368421,0.03125,,,0.09375,0.3333333333333333,1.0,0.25,0.5,0.5,0.09411764705882353,0.625,0.08235294117647059,0.5714285714285714,0.3764705882352941,0.21875,0.37888198757763975,0.3064516129032258,0.4537140822784809,0.43423392857142856,0.464143125,0.02127659574468085,0.030042918454935622,,0.11400651465798045,0.2964169381107492,14.816371681415934,25.940624999999997,0.2995135510771369,,3.0,21.0,3.0,,,,,2.0,True,
2081,1610612748,Ernest Brown,Ernest Brown,2081,MIA,1246.0,21,-24,38,38,13,17,6.0,76,,,,,,,1.0,5.0,,1.0,,,,,,,,,,,,,1.0,6.0,,,1.0,3.0,46.0,,2.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,4.0,1.0,5.0,1.0,6.0,,,,,2.0,,,1.0,,2.0,,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,,2.0,,,1.0,1.0,,,1.0,1.0,,,,13,1.0,1.0,1.0,,,,,,0.16666666666666666,,,0.16666666666666666,,,0.1875,,,,,,,,,,24.444444444444443,0.6666666666666666,1.0,,0.3076923076923077,0.05263157894736842,,,0.25,0.047619047619047616,0.5,,,,,,,0.6666666666666666,,,,1.0,,,,,0.8333333333333334,0.2,0.2,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35808333333333336,0.3567,0.3535,0.25,0.25,,,,9.416666666666666,,0.34210526315789475,,,,,,,,,,True,
2124,1610612748,Malik Allen,Malik Allen,2124,MIA,6240.0,104,-13,195,192,29,42,20.0,387,5.0,9.0,3.0,5.0,1.0,1.0,3.0,8.0,7.0,17.0,,,,,,,,1.0,,,,,15.0,34.0,,1.0,3.0,33.0,192.0,4.0,6.0,,,,8.0,2.0,2.0,,,2.0,6.0,22.0,8.0,,6.0,1.0,,3.0,,2.0,1.0,3.0,,1.0,,,2.0,7.0,,6.0,,5.0,9.0,1.0,15.0,6.0,21.0,,2.0,1.0,1.0,,2.0,,2.0,,,,2.0,,,7.0,14.0,1.0,,4.0,,1.0,,1.0,3.0,3.0,,,3.0,1.0,,,6.0,29,3.0,0.7333333333333333,0.9166666666666666,,,,,,0.4411764705882353,0.6666666666666666,1.0,0.42857142857142855,0.6666666666666666,1.0,0.44594594594594594,0.6666666666666666,1.0,0.02857142857142857,,0.08823529411764706,0.1111111111111111,0.125,0.058823529411764705,,17.727272727272727,,0.14285714285714285,,0.10714285714285714,0.07228915662650602,0.21739130434782608,,0.1308411214953271,0.06060606060606061,0.05555555555555555,0.08333333333333333,0.07317073170731707,,,0.15384615384615385,0.09523809523809523,0.08108108108108109,0.2777777777777778,,,0.3333333333333333,0.2571428571428571,0.5555555555555556,0.625,0.4,0.22857142857142856,0.375,0.42857142857142855,0.6666666666666666,0.4857142857142857,0.4117647058823529,0.4375,1.0,,,,,0.02857142857142857,,,,0.8333333333333334,0.6,,,,,,,,0.5,1.0,,,,,0.2857142857142857,,0.4124314285714285,0.49765,0.49145,0.027777777777777776,0.02857142857142857,,0.24242424242424243,0.18181818181818182,11.558823529411763,24.7,0.14871794871794872,,,,,,,,,,True,
258,1610612748,Brian Grant,Brian Grant,258,MIA,113093.0,1885,62,3416,3405,775,726,412.0,6821,86.0,154.0,22.0,38.0,11.0,21.0,48.0,119.0,106.0,241.0,,,,,,,,1.0,,,,1.0,240.0,514.0,,1.0,85.0,565.0,3415.0,37.0,70.0,,,14.0,88.0,36.0,81.0,,1.0,19.0,91.0,380.0,100.0,,40.0,,,46.0,,111.0,13.0,124.0,11.0,2.0,55.0,21.0,35.0,261.0,27.0,112.0,2.0,55.0,260.0,35.0,350.0,141.0,491.0,10.0,45.0,29.0,16.0,51.0,7.0,36.0,48.0,9.0,15.0,3.0,99.0,11.0,14.0,75.0,195.0,21.0,20.0,101.0,9.0,46.0,,9.0,27.0,14.0,1.0,12.0,27.0,17.0,,7.0,91.0,775,23.0,0.7916666666666666,0.8636363636363636,,,,,,0.4669260700389105,0.5285714285714286,0.4444444444444444,0.46601941747572817,0.5285714285714286,0.43902439024390244,0.5035650623885918,0.5641025641025641,0.489247311827957,0.001941747572815534,,0.08949416342412451,0.21428571428571427,0.08403361344537816,0.012448132780082987,,16.97094368732322,0.5151515151515151,0.3181818181818182,0.021739130434782608,0.1897810218978102,0.08163265306122448,0.1676829268292683,0.11739130434782609,0.1855123674911661,0.0867665418227216,0.1003584229390681,0.06896551724137931,0.08053691275167785,0.1165644171779141,0.11940298507462686,0.16172506738544473,0.21476510067114093,0.18840579710144928,0.1752988047808765,0.14285714285714285,0.04424778761061947,0.6296296296296297,0.29902912621359223,0.5584415584415584,0.7107438016528925,0.6627906976744186,0.23106796116504855,0.40336134453781514,0.44036697247706424,0.6875,0.4679611650485437,0.43983402489626555,0.44537815126050423,0.9433962264150944,,,,,0.001941747572815534,,,,0.5428571428571428,0.5789473684210527,0.13636363636363635,,,,,,,0.25609756097560976,0.5238095238095238,,,0.012195121951219513,,0.30097087378640774,,0.4410359922178987,0.4807393442622952,0.41453580246913585,0.08333333333333333,0.08348457350272233,,0.15575221238938053,0.16106194690265488,10.476848249027238,78.6,0.2268735362997658,6.0,1.0,,,,,,,,True,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,122989.0,2050,91,3732,3702,878,867,463.0,7434,199.0,282.0,45.0,73.0,51.0,66.0,109.0,268.0,65.0,168.0,1.0,1.0,,,,,,1.0,,,,1.0,373.0,718.0,1.0,2.0,229.0,978.0,3687.0,64.0,110.0,,,58.0,186.0,78.0,153.0,,1.0,74.0,230.0,470.0,276.0,3.0,82.0,1.0,,50.0,,65.0,14.0,79.0,5.0,9.0,30.0,5.0,30.0,172.0,21.0,132.0,4.0,73.0,269.0,36.0,378.0,157.0,535.0,24.0,22.0,18.0,4.0,53.0,7.0,25.0,92.0,9.0,28.0,12.0,145.0,19.0,27.0,82.0,216.0,19.0,43.0,347.0,29.0,144.0,,44.0,160.0,125.0,3.0,32.0,160.0,112.0,9.0,18.0,230.0,878,29.0,0.6300268096514745,0.7078313253012049,1.0,0.5,,,0.5,0.5194986072423399,0.5818181818181818,0.5098039215686274,0.5201388888888889,0.5818181818181818,0.5064935064935064,0.5563139931740614,0.6118421052631579,0.5528846153846154,0.002777777777777778,,0.06963788300835655,0.10638297872340426,0.0708955223880597,0.005952380952380952,,24.082784571966133,0.36551724137931035,0.2903225806451613,0.03669724770642202,0.17513020833333334,0.0874751491053678,0.2062146892655367,0.08108108108108109,0.18095238095238095,0.08653846153846154,0.13924050632911392,0.08641975308641975,0.06725888324873096,0.0748663101604278,0.09722222222222222,0.13947990543735225,0.18633540372670807,0.19047619047619047,0.20350877192982456,0.21739130434782608,0.08304498269896193,0.7,0.39166666666666666,0.7056737588652482,0.7896825396825397,0.6231155778894473,0.37222222222222223,0.40671641791044777,0.43775100401606426,0.6146788990825688,0.23333333333333334,0.3869047619047619,0.38922155688622756,0.676923076923077,0.001388888888888889,1.0,1.0,1.0,0.001388888888888889,,,,0.6636363636363637,0.6164383561643836,0.17777777777777778,,,,,,,0.42857142857142855,0.7727272727272727,,,0.006493506493506494,,0.39444444444444443,,0.4547573611111109,0.5018767676767677,0.44872857142857137,0.1724550898203593,0.17286914765906364,,0.1901840490797546,0.23517382413087934,7.180919220055711,24.3,0.2352625937834941,24.0,,,,,,,,,True,
