EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PtsAssisted3s,HeaveAttempts,ThreePtAssists,Arc3Assists,FTOffRebounds,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefThreePtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,PenaltyCorner3FGA,BlockedShortMidRange,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,RecoveredBlocks,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,Loose Ball Fouls,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,on,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,Blocked3s,BlockedCorner3,BlockedLongMidRange,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,3SecondViolations,Fg3aBlocked,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FoulsDrawn,Offensive Fouls Drawn,OffensiveGoaltends
147,1610612754,Jalen Rose,Jalen Rose,147,IND,1390.0,23,9.0,45,43,10,12,5.0,88,1.0,2.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,9.0,1.0,3.0,1.0,16.0,41,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,2.0,2.0,1.0,1.0,6.0,6.0,3.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,10,0.5,0.6,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.625,1.0,0.6153846153846154,1.0,0.16666666666666666,0.25,0.1111111111111111,0.2,28.0,0.0625,0.07692307692307693,0.05,0.05263157894736842,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.5,0.4166666666666667,0.8,1.0,0.5,0.16666666666666666,0.5,0.5,1.0,0.08333333333333333,0.16666666666666666,0.5,0.5,1.0,1.0,0.5,0.4166666666666667,0.5,0.4040708333333334,0.4285,0.343725,0.07692307692307693,0.1,0.125,0.0625,10.855555555555556,25.36666666666667,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,2248.0,37,-7.0,81,79,32,36,9.0,160,5.0,6.0,,,2.0,4.0,3.0,4.0,1.0,1.0,3.0,2.0,10.0,14.0,1.0,4.0,4.0,27.0,80,,1.0,3.0,5.0,2.0,3.0,9.0,16.0,4.0,,,2.0,1.0,1.0,1.0,2.0,,,1.0,5.0,,10.0,11.0,1.0,12.0,,1.0,4.0,,2.0,1.0,4.0,2.0,9.0,32,0.8,0.8,0.25,0.3333333333333333,0.7142857142857143,,0.6388888888888888,0.75,0.6842105263157895,0.75,0.5,0.2222222222222222,0.07142857142857142,,25.0,0.43478260869565216,,0.34375,,,0.4,,0.3333333333333333,0.8333333333333334,1.0,0.2222222222222222,0.5,0.5,0.5,0.2222222222222222,0.75,0.75,1.0,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,0.2857142857142857,0.5555555555555556,0.5,0.47336470588235297,0.376,0.46594166666666664,0.10526315789473684,0.13333333333333333,0.1111111111111111,0.3333333333333333,8.628571428571428,30.049999999999997,0.3950617283950617,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.42857142857142855,0.16666666666666666,0.75,0.5,0.1111111111111111,0.5,0.4444444444444444,0.125,0.8,1.0,0.5,1.0,1.0,0.42857142857142855,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1743,1610612754,Bruno Sundov,Bruno Sundov,1743,IND,5094.0,85,3.0,179,177,74,86,21.0,356,5.0,7.0,1.0,2.0,4.0,15.0,7.0,17.0,,,1.0,,16.0,39.0,,1.0,,32.0,167,2.0,5.0,4.0,19.0,,,16.0,26.0,6.0,,4.0,1.0,,1.0,3.0,3.0,2.0,1.0,,6.0,5.0,6.0,14.0,7.0,21.0,3.0,2.0,4.0,9.0,16.0,1.0,2.0,,16.0,74,0.8125,0.9285714285714286,,,0.41025641025641024,0.4,0.4,0.4,0.3902439024390244,0.4,0.4,0.025,0.02564102564102564,0.06666666666666667,22.167487684729068,0.10909090909090909,0.07352941176470588,0.13513513513513514,0.07058823529411765,0.14285714285714285,0.1,0.13043478260869565,0.175,0.7142857142857143,0.7142857142857143,0.375,0.26666666666666666,0.2857142857142857,0.75,0.425,0.4117647058823529,0.4117647058823529,1.0,,0.025,,,0.4,0.5,,0.2,,0.41035875000000005,0.522175,0.41476842105263156,,,0.125,0.5,11.830769230769233,24.7,0.4134078212290503,2.0,4.0,,,,,8.0,,,,,1.0,4.0,2.0,2.0,,,2.0,,,,,0.42105263157894735,0.42105263157894735,,0.5,0.14285714285714285,0.21052631578947367,0.07142857142857142,0.14285714285714285,0.2,0.6,,,,,0.21052631578947367,0.5,1.0,4.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,0.5714285714285714,0.058823529411764705,0.06451612903225806,0.043478260869565216,0.16666666666666666,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,2634.0,44,18.0,89,92,24,34,11.0,181,1.0,4.0,1.0,1.0,2.0,6.0,,1.0,1.0,1.0,5.0,,3.0,11.0,1.0,6.0,5.0,14.0,82,1.0,2.0,2.0,1.0,1.0,,,,6.0,,2.0,5.0,1.0,4.0,11.0,12.0,3.0,3.0,5.0,25.0,1.0,2.0,2.0,1.0,3.0,,2.0,2.0,3.0,5.0,1.0,5.0,2.0,,24,,,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.5,0.2647058823529412,0.5,0.3684210526315789,0.5,,0.35294117647058826,0.36363636363636365,0.5,20.388349514563107,0.06451612903225806,0.029411764705882353,0.05,0.021739130434782608,,0.09090909090909091,,0.23529411764705882,0.25,0.3333333333333333,0.35294117647058826,0.3333333333333333,0.6666666666666666,,0.058823529411764705,,,,0.058823529411764705,0.29411764705882354,0.2,0.2,0.5,1.0,,0.5882352941176471,0.2,0.4678,0.43105,0.4045,0.1111111111111111,0.16666666666666666,0.14285714285714285,,5.3,25.066666666666666,0.2696629213483146,,,,,,,,3.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,0.25,,,,,0.07142857142857142,,,1.0,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,0.0625,,,,1.0,1.0,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,1610612754,Travis Best,Travis Best,696,IND,1834.0,31,-11.0,64,65,18,28,7.0,129,1.0,1.0,,,1.0,1.0,2.0,4.0,,,1.0,1.0,4.0,6.0,,1.0,4.0,12.0,74,,,,1.0,1.0,2.0,2.0,6.0,2.0,,,1.0,,,4.0,4.0,4.0,,,8.0,1.0,1.0,1.0,1.0,2.0,,,3.0,2.0,3.0,,4.0,2.0,2.0,18,0.75,0.75,,,0.6666666666666666,,0.5714285714285714,,0.6666666666666666,,0.3333333333333333,0.14285714285714285,,,16.666666666666668,0.0625,0.04,0.041666666666666664,0.02857142857142857,,0.14285714285714285,,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,1.0,,0.14285714285714285,,,,,0.5,0.2857142857142857,,0.41127142857142857,,0.30625,0.2222222222222222,0.25,,0.16666666666666666,14.066666666666668,30.3,0.28125,,,,,,,,,,,,,,3.0,1.0,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,0.09090909090909091,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,964.0,16,-7.0,33,35,5,8,3.0,68,1.0,1.0,,,,1.0,,,1.0,,3.0,,1.0,2.0,,4.0,2.0,4.0,37,,,,,,,,2.0,,,,3.0,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,3.0,,,,2.0,1.0,,5,1.0,1.0,,,0.5,,0.16666666666666666,,0.2857142857142857,,,0.6666666666666666,,,27.77777777777778,0.1111111111111111,,0.07692307692307693,,,0.5,,0.16666666666666666,1.0,1.0,0.16666666666666666,,,,,,,,0.16666666666666666,0.5,,,,,,0.8333333333333334,,0.5498583333333333,,,0.14285714285714285,0.3333333333333333,,,6.75,25.049999999999997,0.15151515151515152,,,,,,,,,,,,,,3.0,3.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,624.0,10,,22,21,12,11,2.0,43,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,5.0,8.0,,,2.0,12.0,24,1.0,2.0,2.0,6.0,,2.0,8.0,,10.0,,2.0,,,,2.0,2.0,,1.0,1.0,4.0,1.0,3.0,4.0,1.0,5.0,,,,2.0,2.0,,2.0,,8.0,12,,,,,0.625,0.5,0.625,0.5,0.6666666666666666,0.5,0.5714285714285714,,,,36.0,0.42857142857142855,0.1,0.5,0.08333333333333333,,0.5,,0.5,0.75,0.75,0.25,0.5,0.5,,0.25,0.5,0.5,,,,,,0.5,1.0,,0.5,,0.53295,0.5782,0.5454500000000001,,,0.16666666666666666,0.6666666666666666,7.05,,0.5454545454545454,2.0,3.0,,,,,3.0,,,,,,1.0,,,,,,,,,,0.5,0.5,,,,1.0,0.5,,1.0,,,,,,0.5,0.6666666666666666,,,2.0,1.0,1.0,,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,3259.0,54,11.0,116,113,45,54,16.0,229,4.0,5.0,1.0,2.0,,6.0,1.0,6.0,1.0,,2.0,1.0,5.0,17.0,,3.0,,10.0,99,1.0,4.0,2.0,7.0,2.0,,6.0,4.0,6.0,,2.0,2.0,,3.0,3.0,3.0,1.0,1.0,1.0,6.0,3.0,6.0,8.0,3.0,11.0,1.0,2.0,2.0,1.0,3.0,2.0,4.0,1.0,6.0,45,0.4,0.5,,,0.29411764705882354,0.25,0.25,0.25,0.22727272727272727,0.25,0.3,0.15,0.17647058823529413,0.3333333333333333,17.777777777777775,0.16666666666666666,0.06,0.16666666666666666,0.05084745762711865,,0.3076923076923077,0.08333333333333333,0.25,0.8,1.0,0.3,,,,0.3,0.16666666666666666,0.16666666666666666,,0.05,0.1,,,0.5,0.5,0.1111111111111111,0.4,,0.43396,0.5008,0.4442055555555555,0.047619047619047616,0.05555555555555555,0.2,0.6,10.041176470588235,24.96666666666667,0.3879310344827586,3.0,3.0,,,,,3.0,,,,,,2.0,,,,,1.0,,,,,0.42857142857142855,0.3333333333333333,0.2,,,0.16666666666666666,0.1111111111111111,0.07142857142857142,0.1,0.5,,,,,0.3333333333333333,1.0,,,1.0,,1.0,,1.0,,,,,,,,0.041666666666666664,0.11764705882352941,,0.5,1.0,,0.1111111111111111,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,1230.0,20,4.0,40,40,12,11,6.0,80,4.0,5.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,15.0,42,1.0,1.0,2.0,1.0,1.0,2.0,7.0,6.0,4.0,,2.0,1.0,1.0,2.0,,,,,,,1.0,4.0,5.0,1.0,6.0,,1.0,1.0,1.0,4.0,1.0,2.0,1.0,7.0,12,0.6,0.75,1.0,1.0,0.7142857142857143,1.0,0.8125,1.0,0.8333333333333334,1.0,1.1666666666666667,0.125,0.2857142857142857,1.0,21.73913043478261,0.26666666666666666,0.07692307692307693,0.2631578947368421,0.0625,,,,0.625,0.8,1.0,0.125,,,,0.125,1.0,1.0,,,0.125,1.0,1.0,1.0,1.0,0.5,0.75,1.0,0.46401875000000004,0.5623,0.378125,0.1111111111111111,0.125,0.13333333333333333,0.4666666666666667,5.6571428571428575,24.5,0.3,,,,,,,1.0,3.0,,,,,1.0,,,,,,,,1.0,,1.0,1.25,0.2,,,0.25,,0.4,0.25,0.75,1.0,,,,,,,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,,0.25,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2056,1610612754,Primoz Brezec,Primoz Brezec,2056,IND,1567.0,26,-10.0,58,57,41,39,6.0,115,,2.0,,,,1.0,,,,,,,,3.0,,,5.0,5.0,51,,,,3.0,,5.0,5.0,,,,,,,1.0,2.0,2.0,2.0,,,4.0,2.0,3.0,4.0,2.0,6.0,,,,,5.0,,10.0,1.0,5.0,41,,,,,,,,,0.3125,,0.35714285714285715,,0.3333333333333333,,12.307692307692307,0.1875,0.09523809523809523,0.18181818181818182,0.08333333333333333,,0.42857142857142855,,0.6666666666666666,,,0.3333333333333333,,,,,,,,,,,,,,,0.6666666666666666,,0.5127666666666667,,0.5127666666666667,0.25,0.25,,1.0,4.0,,0.7068965517241379,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,,0.16666666666666666,,,,,,,,,0.6666666666666666,,,,,,,,4.0,,,,,2.0,,,0.1,0.14285714285714285,,0.25,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
