EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3M,PtsPutbacks,ThreePtAssists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BlockedAtRim,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,PenaltyAtRimFGM,SecondChanceFtPoints,Arc3Assists,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,PenaltyAtRimAccuracy,SecondChanceTurnovers,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,NonShootingPenaltyNonTakeFouls,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Blocked3s,BlockedCorner3,BlockedLongMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,Defensive 3 Seconds Violations,Fg3aBlocked,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FoulsDrawn,Offensive Fouls Drawn,OffensiveGoaltends
147,1610612754,Jalen Rose,Jalen Rose,147,IND,5816.0,97,-27.0,183,192,71,80,20,375,4.0,12.0,12.0,24.0,3.0,4.0,3.0,1.0,2.0,16.0,36.0,3.0,7.0,10.0,51.0,211,1.0,7.0,18.0,2.0,8.0,22.0,14.0,18.0,9.0,1.0,2.0,1.0,7.0,7.0,5.0,1.0,1.0,14.0,1.0,5.0,1.0,7.0,7,2.0,2.0,5.0,5.0,4.0,1.0,2.0,9.0,4.0,2.0,6.0,1.0,10.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,22.0,71,0.4375,0.4375,1.0,0.42857142857142855,0.5,0.4444444444444444,0.3888888888888889,0.47674418604651164,0.35,0.53125,0.4583333333333333,0.16279069767441862,0.027777777777777776,0.08333333333333333,27.66990291262136,0.5555555555555556,0.08333333333333333,0.07246376811594203,0.058823529411764705,0.06976744186046512,0.10526315789473684,0.1,0.1111111111111111,0.5,0.27906976744186046,0.3333333333333333,0.36363636363636365,0.25,0.5581395348837209,0.5,0.5,0.5,0.09302325581395349,0.75,0.75,1.0,0.06976744186046512,1.0,0.1,0.16279069767441862,0.4145095238095238,0.52815,0.40082894736842106,0.022727272727272728,0.02702702702702703,0.43137254901960786,15.005555555555556,26.485714285714284,0.3879781420765027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,3770.0,63,-24.0,110,117,40,48,15,227,,4.0,,4.0,1.0,2.0,7.0,,3.0,2.0,12.0,1.0,9.0,10.0,17.0,126,,,7.0,4.0,4.0,7.0,2.0,2.0,3.0,,7.0,3.0,2.0,3.0,1.0,1.0,,7.0,5.0,8.0,,13.0,16,,,,,1.0,1.0,,1.0,,3.0,4.0,,10.0,5.0,,1.0,,1.0,1.0,,7.0,40,0.5,1.0,1.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,,0.16666666666666666,0.13636363636363635,0.3269230769230769,0.2692307692307692,0.42857142857142855,0.25,0.5,21.09375,,,0.1568627450980392,0.35714285714285715,0.2,0.07692307692307693,0.2,0.375,1.0,0.19047619047619047,,,,0.19047619047619047,,,,0.09523809523809523,0.5,0.5,1.0,0.3333333333333333,,0.2727272727272727,0.6190476190476191,0.49797,0.46130000000000004,0.47390999999999994,0.19230769230769232,0.29411764705882354,0.4117647058823529,9.733333333333333,26.433333333333334,0.36363636363636365,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.041666666666666664,0.07142857142857142,0.04838709677419355,0.1111111111111111,0.05263157894736842,0.09090909090909091,0.15384615384615385,0.3333333333333333,0.19047619047619047,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.18181818181818182,0.09090909090909091,1.0,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,6114.0,102,-27.0,186,189,47,49,17,375,10.0,17.0,2.0,14.0,,,,,,22.0,46.0,,,5.0,49.0,208,,6.0,9.0,,2.0,14.0,16.0,28.0,,,,3.0,3.0,5.0,1.0,1.0,1.0,12.0,2.0,17.0,,19.0,25,4.0,2.0,1.0,,2.0,,,3.0,1.0,4.0,7.0,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,14.0,47,0.36363636363636365,0.4444444444444444,,,,0.4782608695652174,0.6666666666666666,0.4782608695652174,0.6666666666666666,0.5104166666666666,0.7,,0.06521739130434782,0.058823529411764705,24.878048780487806,0.3333333333333333,,0.22077922077922077,0.13333333333333333,0.20652173913043478,0.16,0.23529411764705882,0.2,1.0,0.3695652173913043,0.5882352941176471,0.625,0.4,0.30434782608695654,0.14285714285714285,0.15384615384615385,0.5,,,,,,,,0.32608695652173914,0.44831521739130425,0.5636714285714286,0.4475444444444444,0.0425531914893617,0.0425531914893617,0.2857142857142857,9.139130434782608,,0.25268817204301075,10.0,15.0,4.0,5.0,5.0,,,6.0,8.0,13.0,,8.0,2.0,,1.0,5.0,6.0,,,0.75,0.75,0.8125,0.06666666666666667,0.06578947368421052,0.07692307692307693,0.06741573033707865,0.2727272727272727,0.03333333333333333,0.1111111111111111,0.2777777777777778,0.1,0.32608695652173914,0.6666666666666666,0.7142857142857143,0.3,0.625,0.8,0.5555555555555556,,,0.2653061224489796,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.07142857142857142,0.02857142857142857,0.1,0.8,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,5348.0,89,-11.0,166,168,43,59,15,334,1.0,7.0,3.0,9.0,,1.0,2.0,1.0,,9.0,23.0,,3.0,10.0,28.0,176,1.0,2.0,4.0,,3.0,7.0,14.0,4.0,,,2.0,4.0,2.0,3.0,,1.0,1.0,7.0,1.0,11.0,,12.0,17,,,1.0,,4.0,2.0,,5.0,3.0,3.0,6.0,1.0,14.0,6.0,1.0,2.0,1.0,2.0,,,7.0,43,0.7777777777777778,0.7777777777777778,,,,0.391304347826087,0.5,0.34615384615384615,0.5,0.42424242424242425,0.5833333333333334,0.11538461538461539,0.17391304347826086,0.2857142857142857,20.87912087912088,0.2,,0.14864864864864866,0.08333333333333333,0.13953488372093023,0.23809523809523808,0.13513513513513514,,,0.2692307692307692,0.14285714285714285,0.2,,0.34615384615384615,0.3333333333333333,0.375,1.0,0.038461538461538464,,,,0.07692307692307693,0.3333333333333333,,0.38461538461538464,0.45861538461538476,0.547,0.48182499999999995,0.1875,0.20689655172413793,0.25,9.34782608695652,25.633333333333336,0.25903614457831325,5.0,7.0,,1.0,2.0,,,1.0,2.0,3.0,,,1.0,1.0,4.0,1.0,5.0,1.0,,0.5,0.3333333333333333,0.375,0.14285714285714285,0.016129032258064516,0.2222222222222222,0.0625,,,0.2857142857142857,0.0625,0.125,0.2692307692307692,0.7142857142857143,0.8333333333333334,0.8,0.3333333333333333,,0.5,,,0.10714285714285714,2.0,1.0,,,,,1.0,,,0.1111111111111111,0.037037037037037035,,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1610612754,Carlos Rogers,Carlos Rogers,435,IND,10127.0,169,-28.0,313,324,94,113,33,637,3.0,9.0,1.0,4.0,,2.0,4.0,,1.0,23.0,37.0,1.0,6.0,10.0,59.0,353,,9.0,14.0,1.0,3.0,24.0,28.0,18.0,3.0,,4.0,1.0,3.0,3.0,1.0,,2.0,6.0,,18.0,6.0,24.0,38,5.0,3.0,3.0,3.0,2.0,1.0,,5.0,1.0,9.0,17.0,1.0,19.0,10.0,1.0,6.0,4.0,6.0,5.0,,24.0,94,0.6086956521739131,0.8235294117647058,1.0,0.16666666666666666,0.16666666666666666,0.6216216216216216,0.6428571428571429,0.5697674418604651,0.7,0.5784313725490197,0.6666666666666666,0.13953488372093023,0.02702702702702703,,15.954415954415955,0.6,0.35294117647058826,0.144,,0.11920529801324503,0.15789473684210525,0.10909090909090909,,0.8333333333333334,0.20930232558139536,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.09302325581395349,0.25,0.25,1.0,0.046511627906976744,,,,0.09302325581395349,,0.06666666666666667,0.6976744186046512,0.5104174418604651,0.5298714285714285,0.5084833333333333,0.2,0.22727272727272727,0.4067796610169492,5.0621621621621635,24.633333333333336,0.3003194888178914,19.0,24.0,6.0,6.0,12.0,,,6.0,7.0,14.0,1.0,12.0,,,,14.0,14.0,2.0,1.0,0.8571428571428571,0.8571428571428571,0.7777777777777778,0.041666666666666664,0.11965811965811966,,0.09523809523809523,0.22727272727272727,0.11764705882352941,,0.1875,,0.5581395348837209,0.7916666666666666,0.8260869565217391,0.631578947368421,0.8571428571428571,1.0,0.8,,,0.23728813559322035,8.0,2.0,,,2.0,,,1.0,3.0,,0.06818181818181818,,0.6666666666666666,1.0,1.0,1.0,1.0,2.0,0.25,0.25,1.0,1.0,0.25,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1610612754,Reggie Miller,Reggie Miller,397,IND,5258.0,88,-15.0,164,172,56,61,18,336,,1.0,6.0,10.0,2.0,5.0,5.0,,2.0,9.0,16.0,5.0,10.0,4.0,37.0,191,1.0,,2.0,3.0,1.0,7.0,14.0,4.0,15.0,,5.0,3.0,5.0,7.0,3.0,2.0,,16.0,3.0,5.0,1.0,9.0,10,2.0,1.0,1.0,1.0,,,,1.0,1.0,,5.0,,5.0,2.0,,,,,,,7.0,56,0.7777777777777778,0.7777777777777778,1.0,0.5,0.5,0.5625,,0.6346153846153846,0.6,0.6666666666666666,0.6,0.38461538461538464,0.1875,1.0,15.053763440860214,1.0,0.08333333333333333,0.08771929824561403,0.2,0.1111111111111111,0.09090909090909091,0.13636363636363635,0.16666666666666666,,0.038461538461538464,,,,0.38461538461538464,0.6,0.6666666666666666,0.6666666666666666,0.19230769230769232,0.4,0.4,1.0,0.19230769230769232,,0.4,0.5769230769230769,0.49670192307692307,0.47218333333333334,0.483,0.07407407407407407,0.11764705882352941,0.1891891891891892,12.168750000000001,24.43,0.34146341463414637,3.0,5.0,,,1.0,,1.0,1.0,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.2,0.01639344262295082,,0.013333333333333334,,0.03333333333333333,,,0.2222222222222222,0.19230769230769232,0.6,0.75,1.0,,,0.2,0.2,,0.05405405405405406,,,1.0,,1.0,,,1.0,1.0,0.1,,,,,3.0,2.0,3.0,2.0,0.6,0.6,1.0,1.0,0.6,1.0,2.0,0.3333333333333333,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,1610612754,Travis Best,Travis Best,696,IND,5107.0,85,-16.0,158,162,45,59,14,320,3.0,8.0,5.0,12.0,,,1.0,,1.0,11.0,25.0,1.0,1.0,7.0,32.0,168,,2.0,5.0,1.0,5.0,12.0,10.0,12.0,3.0,,1.0,,15.0,17.0,8.0,2.0,5.0,36.0,,1.0,,1.0,1,6.0,2.0,3.0,2.0,4.0,,,7.0,2.0,3.0,5.0,,8.0,3.0,,,,,,,12.0,45,0.45454545454545453,0.45454545454545453,1.0,1.0,1.0,0.44,0.4,0.4807692307692308,0.5833333333333334,0.5344827586206896,0.6875,0.038461538461538464,,,20.809248554913296,0.42857142857142855,,0.014492753623188406,,0.01282051282051282,,,,,0.3076923076923077,0.375,0.375,0.6666666666666666,0.46153846153846156,0.4166666666666667,0.4166666666666667,0.4,,,,,0.038461538461538464,,0.16666666666666666,0.23076923076923078,0.438773076923077,0.4219,0.4494,0.10344827586206896,0.10714285714285714,0.375,12.204,25.2,0.2848101265822785,3.0,5.0,,,1.0,,,1.0,1.0,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,0.0625,,0.19230769230769232,0.6,0.6,0.3333333333333333,,,0.16666666666666666,,,0.0625,,,1.0,,4.0,4.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,1610612754,Jamaal Tinsley,Jamaal Tinsley,2224,IND,3804.0,63,5.0,117,124,31,34,15,241,4.0,7.0,2.0,3.0,,,8.0,1.0,2.0,8.0,15.0,1.0,8.0,5.0,24.0,133,1.0,3.0,5.0,2.0,2.0,8.0,6.0,10.0,3.0,,8.0,,18.0,21.0,7.0,2.0,9.0,45.0,1.0,4.0,4.0,9.0,9,5.0,2.0,1.0,1.0,2.0,,,3.0,,2.0,7.0,,6.0,2.0,1.0,2.0,,2.0,1.0,,8.0,31,0.375,0.375,1.0,0.125,0.125,0.5333333333333333,0.6,0.41304347826086957,0.42857142857142855,0.46153846153846156,0.5,0.34782608695652173,,,21.48148148148148,0.3333333333333333,0.4444444444444444,0.09090909090909091,0.1,0.09259259259259259,0.06666666666666667,0.05555555555555555,,0.5,0.30434782608695654,0.5714285714285714,0.5714285714285714,,0.13043478260869565,0.6666666666666666,0.6666666666666666,1.0,,,,,0.34782608695652173,0.3333333333333333,0.2857142857142857,0.5652173913043478,0.49074565217391314,0.50385,0.5523285714285714,0.08,0.11764705882352941,0.3333333333333333,8.406666666666665,25.700000000000003,0.26495726495726496,2.0,5.0,,1.0,3.0,,,1.0,2.0,2.0,,,3.0,2.0,,,,2.0,,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,0.18181818181818182,0.16666666666666666,0.21739130434782608,0.4,0.4,0.5,0.3333333333333333,,0.42857142857142855,,,0.08333333333333333,2.0,,1.0,,3.0,2.0,,,,,,,0.6666666666666666,,1.0,,1.0,2.0,0.125,0.125,1.0,,0.125,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,2410.0,40,-11.0,71,75,16,15,10,146,,1.0,,2.0,,,,,,3.0,7.0,,,4.0,10.0,99,,1.0,2.0,,,2.0,4.0,2.0,,,,,1.0,1.0,1.0,,,2.0,1.0,4.0,1.0,6.0,10,,,,,2.0,,,2.0,,2.0,5.0,1.0,8.0,4.0,,1.0,,1.0,,,2.0,16,0.6666666666666666,1.0,,,,0.42857142857142855,0.5,0.42857142857142855,0.5,0.45454545454545453,0.5,,,,15.66265060240964,,0.3333333333333333,0.16666666666666666,0.25,0.17857142857142858,0.14285714285714285,0.2222222222222222,,,0.14285714285714285,,,,0.2857142857142857,,,,,,,,,,,0.5714285714285714,0.4781142857142857,0.5465,0.5612,0.36363636363636365,0.36363636363636365,0.2,6.642857142857143,,0.22535211267605634,3.0,4.0,1.0,1.0,1.0,,,1.0,1.0,4.0,,2.0,,,,4.0,4.0,1.0,,1.0,1.0,0.6666666666666666,,0.15384615384615385,,0.12121212121212122,0.14285714285714285,0.16666666666666666,,0.125,1.0,0.5714285714285714,0.75,0.75,0.6666666666666666,1.0,1.0,0.5,,,0.4,1.0,2.0,,,,1.0,,1.0,,,0.14285714285714285,,1.0,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,1198.0,20,2.0,35,36,10,10,3,71,2.0,3.0,3.0,4.0,,,,,,5.0,7.0,,,2.0,12.0,41,,,2.0,,,,6.0,4.0,,,,,,,,,,,1.0,1.0,,2.0,2,1.0,1.0,,,2.0,,,2.0,,2.0,4.0,2.0,2.0,1.0,,,,,,,,10,0.6,0.6,,,,0.7142857142857143,,0.7142857142857143,,0.75,,,,,25.64102564102564,,,0.07142857142857142,0.5,0.125,0.2,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.5714285714285714,0.75,0.75,0.3333333333333333,,,,,,,,,0.3725285714285715,,0.39725,0.125,0.125,,12.657142857142857,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
