EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,Travels,DefensiveGoaltends,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,BlocksRecoveredPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveAttempts,Clear Path Fouls,on,3pt And 1 Free Throw Trips,OffensiveGoaltends
1051,1610612750,Dean Garrett,Dean Garrett,1051,MIN,2562.0,43,-24.0,77,78,31,28,11,155,1.0,2,1.0,1.0,1,2.0,4.0,3,7,6,86,2.0,4.0,4.0,1,2,2,4.0,2.0,2.0,1.0,2.0,6.0,1.0,7.0,2.0,9.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3,1.0,1.0,8,2.0,2.0,1.0,1.0,2.0,2,31,2.0,0.6666666666666666,1.0,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.5,0.42857142857142855,0.5,0.5,0.14285714285714285,0.5,11.363636363636363,0.3333333333333333,0.2,0.2,0.06666666666666667,0.15384615384615385,0.05263157894736842,0.2857142857142857,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.5,1.0,0.14285714285714285,0.5714285714285714,0.5,0.5,1.0,0.25,1.0,0.2857142857142857,0.4066571428571429,0.38489999999999996,0.36205,0.6666666666666666,0.3333333333333333,10.457142857142856,0.4025974025974026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,41194.0,687,-42.0,1267,1276,299,300,160,2543,20.0,42,,,19,34.0,72.0,61,133,286,1429,2.0,7.0,31.0,8,23,63,48.0,74.0,,10.0,3.0,35.0,1.0,52.0,5.0,57.0,13.0,9.0,21.0,4.0,16.0,13.0,4.0,34,2.0,24.0,48,2.0,2.0,1.0,1.0,2.0,63,299,6.0,0.39344262295081966,0.39344262295081966,0.45864661654135336,0.2857142857142857,0.34782608695652173,0.5021551724137931,0.7,0.3469387755102041,0.54296875,0.7045454545454546,0.46153846153846156,0.07518796992481203,0.14285714285714285,19.808743169398905,0.6176470588235294,0.02127659574468085,0.07575757575757576,0.006024096385542169,0.08415841584158416,0.0065040650406504065,0.00847457627118644,0.0547945205479452,0.07575757575757576,0.09239130434782608,0.1810344827586207,0.47619047619047616,0.5555555555555556,0.08189655172413793,0.3103448275862069,0.4722222222222222,0.4788732394366197,0.4117647058823529,,,0.6077586206896551,0.49525344827586204,0.46367812500000005,0.4552438775510204,0.10839160839160839,0.2202797202797203,11.290225563909775,0.23599052880820837,1.0,5.0,7.0,3.0,11.0,1.0,1.0,1.0,4.0,34.0,88.0,7.0,12.0,5.0,22.0,37.0,99.0,53.0,8.0,13.0,3.0,6.0,26.0,29.0,63.0,48.0,88.0,34.0,109.0,25.0,134.0,21.0,4.0,26.0,37.0,46.0,293.0,1.0,1.0,16.0,1.0,4.0,5.0,11.0,3.0,60.0,2.0,9.0,17.0,1.0,8.0,0.5675675675675675,0.37373737373737376,0.6153846153846154,0.23076923076923078,0.37373737373737376,0.4267241379310345,0.15789473684210525,0.013888888888888888,0.03333333333333333,0.1111111111111111,0.008547008547008548,0.006289308176100629,0.004524886877828055,0.010101010101010102,0.09821428571428571,0.15625,0.008333333333333333,0.45,0.3684210526315789,0.4375,0.14285714285714285,0.04741379310344827,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.3793103448275862,0.38636363636363635,0.38636363636363635,0.5588235294117647,0.05,1.0,1.0,0.6,0.5833333333333334,1.0,0.10204081632653061,0.2,0.08163265306122448,0.25,0.4489795918367347,0.22727272727272727,0.38636363636363635,0.07258064516129033,0.11486486486486487,0.01,25.071717171717175,,,,,,,,,,,,,,,,,,,True,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,10362.0,173,-30.0,320,321,122,117,41,641,9.0,20,1.0,3.0,5,3.0,10.0,13,35,49,361,2.0,4.0,7.0,8,19,29,16.0,10.0,,7.0,1.0,17.0,2.0,20.0,3.0,23.0,7.0,1.0,2.0,3.0,2.0,9.0,,11,1.0,11.0,21,1.0,,,,,29,122,,0.6153846153846154,0.6153846153846154,0.37142857142857144,0.5,0.42105263157894735,0.4880952380952381,0.7,0.5208333333333334,0.5104166666666666,0.7,0.5370370370370371,0.2,0.25,16.120218579234972,0.18181818181818182,0.10526315789473684,0.14782608695652175,0.00909090909090909,0.12,0.02142857142857143,0.03571428571428571,0.13513513513513514,0.14285714285714285,0.16279069767441862,0.47619047619047616,0.45,0.6,0.11904761904761904,0.23809523809523808,0.3,0.3,0.6666666666666666,0.6,0.3333333333333333,0.6428571428571429,0.5221182926829269,0.5313100000000001,0.5426391304347826,0.14285714285714285,0.5918367346938775,6.894285714285715,0.38125,6.0,12.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,,,1.0,2.0,5.0,7.0,8.0,1.0,1.0,,3.0,5.0,4.0,12.0,3.0,3.0,2.0,9.0,1.0,10.0,1.0,,4.0,3.0,2.0,21.0,2.0,,1.0,1.0,6.0,,5.0,4.0,13.0,1.0,,6.0,,1.0,0.8,0.7142857142857143,1.0,0.6,0.7142857142857143,0.16666666666666666,0.4,,,0.02857142857142857,0.06666666666666667,,,0.07692307692307693,0.045454545454545456,,0.0625,0.5555555555555556,0.2,0.3333333333333333,1.0,0.09523809523809523,0.75,0.75,1.0,0.07142857142857142,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,1.0,,,,0.5,0.5,0.125,0.6666666666666666,0.08333333333333333,0.5,0.6666666666666666,0.1276595744680851,0.15,,26.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,True,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,45122.0,752,-30.0,1405,1412,353,375,199,2817,31.0,56,6.0,10.0,70,42.0,101.0,107,227,322,1553,15.0,34.0,46.0,23,50,84,136.0,78.0,8.0,15.0,18.0,34.0,14.0,62.0,22.0,84.0,22.0,17.0,22.0,4.0,12.0,22.0,1.0,44,3.0,15.0,49,3.0,8.0,6.0,1.0,10.0,84,353,9.0,0.6355140186915887,0.6601941747572816,0.4713656387665198,0.4411764705882353,0.46,0.5018518518518519,0.5,0.45081967213114754,0.5385906040268457,0.5227272727272727,0.5384615384615384,0.06607929515418502,0.21428571428571427,20.5686630369026,0.5,0.2978723404255319,0.06692913385826772,0.030405405405405407,0.07196401799100449,0.03125,0.022388059701492536,0.02857142857142857,0.10738255033557047,0.07065217391304347,0.2074074074074074,0.5535714285714286,0.7045454545454546,0.25925925925925924,0.37407407407407406,0.4158415841584158,0.4158415841584158,0.8571428571428571,0.23809523809523808,0.6,0.36666666666666664,0.4740775925925926,0.4654833333333333,0.5078040983606555,0.14285714285714285,0.2608695652173913,11.055066079295152,0.2512455516014235,9.0,18.0,34.0,6.0,15.0,,1.0,,1.0,13.0,28.0,4.0,7.0,3.0,10.0,19.0,43.0,51.0,4.0,8.0,4.0,3.0,11.0,29.0,51.0,6.0,28.0,13.0,50.0,9.0,59.0,6.0,3.0,18.0,9.0,23.0,127.0,4.0,,14.0,5.0,5.0,10.0,18.0,10.0,62.0,4.0,1.0,18.0,2.0,12.0,0.8947368421052632,0.4418604651162791,0.5,0.2727272727272727,0.4418604651162791,0.15925925925925927,0.04285714285714286,,,0.0880503144654088,0.03571428571428571,0.038834951456310676,0.027777777777777776,0.03225806451612903,0.09243697478991597,0.075,0.03875968992248062,0.4838709677419355,0.4857142857142857,0.5074626865671642,0.5,0.05555555555555555,0.4,0.4,1.0,0.1037037037037037,0.4642857142857143,0.4642857142857143,0.8461538461538461,0.023809523809523808,,,0.16666666666666666,0.5714285714285714,1.0,0.29508196721311475,0.5,0.01639344262295082,,0.16393442622950818,0.3,0.4642857142857143,0.06993006993006994,0.07468879668049792,0.044444444444444446,24.55348837209302,2.0,2.0,0.16666666666666666,2.0,1.0,1.0,1.0,5.0,1.0,1.0,0.05263157894736842,0.5,,,,,,,True,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,68488.0,1141,-65.0,2121,2119,571,581,292,4240,85.0,135,18.0,34.0,183,23.0,61.0,193,379,478,2334,25.0,52.0,71.0,46,89,122,236.0,150.0,28.0,40.0,79.0,111.0,17.0,166.0,103.0,269.0,21.0,16.0,23.0,5.0,11.0,35.0,4.0,58,5.0,84.0,160,16.0,26.0,14.0,4.0,27.0,122,571,10.0,0.6113989637305699,0.659217877094972,0.5092348284960422,0.4807692307692308,0.5168539325842697,0.5065616797900262,0.4807692307692308,0.5168539325842697,0.5395033860045146,0.5298507462686567,0.5446428571428571,0.10554089709762533,0.1259259259259259,20.226079935405732,0.39655172413793105,0.20481927710843373,0.145478374836173,0.09070034443168772,0.14870259481037923,0.0989433237271854,0.11170212765957446,0.1375,0.17727272727272728,0.12871287128712872,0.3543307086614173,0.6296296296296297,0.7203389830508474,0.48031496062992124,0.16010498687664043,0.3770491803278688,0.38333333333333336,0.782608695652174,0.6538461538461539,0.5294117647058824,0.35958005249343833,0.448724409448819,0.49818444444444465,0.4437348314606742,0.14853556485355648,0.25523012552301255,6.788654353562003,0.2692126355492692,17.0,28.0,85.0,,,,,,,,2.0,,,,,,2.0,92.0,,,21.0,,,30.0,,,2.0,,42.0,18.0,60.0,15.0,3.0,12.0,11.0,19.0,138.0,24.0,,38.0,8.0,5.0,12.0,9.0,15.0,144.0,20.0,,69.0,,13.0,,,,,,0.005249343832020997,0.12021857923497267,0.01639344262295082,,0.1589958158995816,0.1411764705882353,0.10380622837370242,0.07106598984771574,0.14788732394366197,0.18604651162790697,0.08955223880597014,0.055944055944055944,0.6823529411764706,0.4644808743169399,0.5279503105590062,0.49411764705882355,,,,,0.005249343832020997,,,,,,,,,,0.3146067415730337,0.6071428571428571,,,,,,0.16046511627906976,0.16121495327102803,,26.7,7.0,2.0,0.2777777777777778,1.0,,1.0,8.0,9.0,3.0,6.0,0.10714285714285714,0.3333333333333333,,,,,,,True,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,45035.0,751,-41.0,1383,1385,376,394,187,2768,15.0,26,2.0,3.0,25,50.0,121.0,73,172,298,1538,10.0,17.0,47.0,18,34,68,96.0,50.0,4.0,12.0,7.0,47.0,1.0,61.0,10.0,71.0,21.0,14.0,20.0,2.0,15.0,10.0,3.0,30,3.0,22.0,49,2.0,8.0,5.0,1.0,8.0,68,376,4.0,0.6575342465753424,0.676056338028169,0.42441860465116277,0.5882352941176471,0.5294117647058824,0.5262172284644194,0.7321428571428571,0.6,0.5418181818181819,0.7580645161290323,0.6071428571428571,0.06976744186046512,0.23076923076923078,18.96766169154229,0.6666666666666666,0.01639344262295082,0.09494949494949495,0.012704174228675136,0.09316770186335403,0.014992503748125937,0.008264462809917356,0.040268456375838924,0.07792207792207792,0.15104166666666666,0.09737827715355805,0.5769230769230769,0.75,0.09363295880149813,0.45318352059925093,0.4132231404958678,0.42735042735042733,0.74,0.10714285714285714,0.6666666666666666,0.45318352059925093,0.4746921052631579,0.4798522727272727,0.4775287037037036,0.15771812080536912,0.22818791946308725,14.615116279069765,0.27187274041937814,6.0,8.0,8.0,8.0,17.0,3.0,3.0,1.0,3.0,37.0,78.0,4.0,8.0,9.0,18.0,45.0,95.0,17.0,7.0,11.0,6.0,10.0,21.0,2.0,114.0,21.0,78.0,37.0,63.0,6.0,69.0,5.0,1.0,24.0,14.0,25.0,144.0,3.0,,13.0,,7.0,5.0,7.0,5.0,19.0,2.0,,8.0,1.0,1.0,0.8444444444444444,0.47368421052631576,0.6363636363636364,0.47619047619047616,0.47368421052631576,0.35580524344569286,0.08,0.03305785123966942,,0.087248322147651,0.02586206896551724,0.005714285714285714,0.0196078431372549,0.03125,0.057692307692307696,0.15555555555555556,,0.4,0.32,0.34782608695652173,0.625,0.06367041198501873,0.47058823529411764,0.5,1.0,0.29213483146067415,0.47435897435897434,0.4805194805194805,0.8108108108108109,0.10714285714285714,1.0,1.0,0.2857142857142857,0.5,1.0,0.14545454545454545,0.75,0.05454545454545454,0.3333333333333333,0.32727272727272727,0.5,0.47435897435897434,0.032846715328467155,0.0449438202247191,0.010416666666666666,24.91473684210526,,,,,,,2.0,4.0,,1.0,,0.5,2.0,0.021052631578947368,0.058823529411764705,0.01282051282051282,,,True,,
708,1610612750,Kevin Garnett,Kevin Garnett,708,MIN,43018.0,717,-12.0,1337,1332,411,357,187,2669,34.0,49,6.0,11.0,94,47.0,115.0,125,258,357,1450,15.0,33.0,53.0,34,60,101,152.0,98.0,16.0,9.0,45.0,102.0,19.0,152.0,53.0,205.0,22.0,20.0,25.0,3.0,18.0,22.0,4.0,47,4.0,15.0,41,3.0,39.0,22.0,2.0,39.0,101,411,8.0,0.608,0.6495726495726496,0.4844961240310077,0.45454545454545453,0.5666666666666667,0.4897260273972603,0.5,0.5347222222222222,0.5376506024096386,0.5888888888888889,0.5738636363636364,0.03488372093023256,0.08163265306122448,24.201787994891443,0.5319148936170213,0.40425531914893614,0.2170212765957447,0.08152173913043478,0.21212121212121213,0.07750759878419453,0.08035714285714286,0.14893617021276595,0.22142857142857142,0.26455026455026454,0.1678082191780822,0.6938775510204082,0.7555555555555555,0.3219178082191781,0.3938356164383562,0.40869565217391307,0.415929203539823,0.6595744680851063,0.3055555555555556,0.5454545454545454,0.2842465753424658,0.43512302405498265,0.4636275862068964,0.4406577464788732,0.1484593837535014,0.28291316526610644,11.489147286821705,0.30740463724756917,10.0,14.0,44.0,,,,,,,12.0,34.0,2.0,3.0,3.0,12.0,12.0,34.0,71.0,2.0,3.0,17.0,3.0,12.0,24.0,27.0,9.0,33.0,12.0,70.0,13.0,83.0,7.0,6.0,27.0,18.0,25.0,179.0,6.0,2.0,31.0,8.0,2.0,7.0,18.0,8.0,91.0,10.0,,40.0,1.0,9.0,0.75,0.35294117647058826,0.6666666666666666,0.25,0.36363636363636365,0.11643835616438356,0.031914893617021274,0.017391304347826087,0.05263157894736842,0.19745222929936307,0.05660377358490566,0.08333333333333333,0.08064516129032258,0.06818181818181818,0.2222222222222222,0.125,0.055944055944055944,0.5588235294117647,0.46808510638297873,0.4835164835164835,0.5909090909090909,,,,,0.11643835616438356,0.35294117647058826,0.36363636363636365,0.75,,,,0.08333333333333333,0.6666666666666666,1.0,0.19444444444444445,0.7142857142857143,,,0.16666666666666666,0.25,0.36363636363636365,0.12693498452012383,0.1388888888888889,0.02857142857142857,25.708823529411767,4.0,2.0,,,,,15.0,22.0,2.0,,,0.5641025641025641,1.0,0.029411764705882353,,0.029411764705882353,1.0,,True,,
1895,1610612750,William Avery,William Avery,1895,MIN,7300.0,122,-13.0,235,227,67,62,34,462,6.0,10,2.0,2.0,6,3.0,18.0,10,34,34,251,4.0,5.0,11.0,3,11,9,6.0,14.0,4.0,6.0,1.0,6.0,,10.0,4.0,14.0,3.0,2.0,8.0,3.0,6.0,6.0,1.0,14,1.0,4.0,11,,,,,,9,67,1.0,0.3,0.375,0.29411764705882354,0.8,0.2727272727272727,0.2708333333333333,0.7857142857142857,0.16666666666666666,0.32075471698113206,0.7857142857142857,0.23684210526315788,0.17647058823529413,0.2,24.363636363636363,0.5714285714285714,,0.07894736842105263,0.011494252873563218,0.09259259259259259,0.03636363636363636,,0.04,0.05555555555555555,0.12121212121212122,0.20833333333333334,0.6,0.75,0.125,0.375,0.16666666666666666,0.2,0.6666666666666666,0.2857142857142857,1.0,0.5,0.46693229166666655,0.374775,0.43425555555555556,0.3235294117647059,0.2647058823529412,11.964705882352941,0.2851063829787234,2.0,3.0,1.0,1.0,2.0,,,,,1.0,12.0,1.0,2.0,,7.0,2.0,14.0,8.0,1.0,2.0,,,7.0,3.0,3.0,3.0,12.0,1.0,14.0,3.0,17.0,3.0,,2.0,4.0,8.0,37.0,3.0,,4.0,1.0,1.0,2.0,3.0,1.0,12.0,1.0,,6.0,,,0.5,0.14285714285714285,0.5,,0.14285714285714285,0.2916666666666667,0.16666666666666666,0.16666666666666666,,0.125,0.13043478260869565,0.03225806451612903,,0.15789473684210525,,0.3076923076923077,0.037037037037037035,0.16666666666666666,0.16666666666666666,0.2,,0.041666666666666664,0.5,0.5,1.0,0.25,0.08333333333333333,0.09090909090909091,,,,,0.2857142857142857,0.5,,0.16666666666666666,0.6666666666666666,,,0.3888888888888889,,0.08333333333333333,0.11320754716981132,0.15384615384615385,,25.085714285714285,,,,,,,,,,,,,1.0,0.07142857142857142,,0.08333333333333333,,1.0,True,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,8452.0,141,-10.0,275,270,81,93,25,545,2.0,3,,1.0,6,17.0,35.0,23,44,59,301,1.0,4.0,2.0,5,9,20,44.0,2.0,,1.0,1.0,11.0,1.0,14.0,2.0,16.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,5,,5.0,13,,1.0,1.0,,1.0,20,81,2.0,0.9565217391304348,0.9565217391304348,0.5227272727272727,0.25,0.5555555555555556,0.5098039215686274,0.25,0.5714285714285714,0.5462962962962963,0.25,0.625,0.022727272727272728,0.3333333333333333,19.471947194719473,0.4,0.06666666666666667,0.12222222222222222,0.010526315789473684,0.10833333333333334,0.017391304347826087,,0.1875,0.13333333333333333,0.06976744186046512,0.058823529411764705,0.6666666666666666,1.0,0.11764705882352941,0.6862745098039216,0.4857142857142857,0.4857142857142857,1.0,0.25,,0.19607843137254902,0.4290068627450981,0.4227,0.43878928571428577,0.03389830508474576,0.3389830508474576,16.65909090909091,0.29454545454545455,,,4.0,1.0,2.0,,,1.0,2.0,1.0,5.0,,,1.0,3.0,2.0,7.0,7.0,,,,2.0,5.0,4.0,6.0,,5.0,1.0,4.0,3.0,7.0,2.0,1.0,,2.0,2.0,17.0,1.0,,2.0,,,,1.0,,7.0,1.0,,3.0,,1.0,1.0,0.2857142857142857,,0.4,0.2857142857142857,0.13725490196078433,,,,0.06666666666666667,0.05,,0.019230769230769232,0.07692307692307693,0.09523809523809523,,,1.0,0.6666666666666666,0.6666666666666666,0.75,0.0392156862745098,0.5,0.5,1.0,0.09803921568627451,0.2,0.2,1.0,,,,,,,,,0.14285714285714285,0.5,0.21428571428571427,0.3333333333333333,0.2,0.05660377358490566,0.06521739130434782,,24.614285714285717,,,,,,,,1.0,,1.0,,1.0,,,,,,,True,,
210,1610612750,Terrell Brandon,Terrell Brandon,210,MIN,8842.0,147,,284,276,103,135,44,560,8.0,15,1.0,2.0,14,16.0,46.0,29,75,66,285,3.0,7.0,7.0,11,33,24,14.0,44.0,,4.0,2.0,7.0,,8.0,2.0,10.0,5.0,4.0,6.0,2.0,5.0,3.0,,9,,5.0,7,,2.0,,1.0,2.0,24,103,,0.2413793103448276,0.2413793103448276,0.38666666666666666,0.42857142857142855,0.3333333333333333,0.37662337662337664,0.42857142857142855,0.3142857142857143,0.3924050632911392,0.42857142857142855,0.3333333333333333,0.05333333333333334,0.06666666666666667,26.035502958579883,0.6666666666666666,,0.06796116504854369,0.014492753623188406,0.06153846153846154,0.013422818791946308,0.038461538461538464,0.0967741935483871,0.058823529411764705,0.05263157894736842,0.19480519480519481,0.5333333333333333,0.5714285714285714,0.18181818181818182,0.5974025974025974,0.34782608695652173,0.35555555555555557,0.25,0.2857142857142857,0.5,0.22077922077922077,0.4382922077922078,0.44308333333333333,0.40765428571428575,0.10606060606060606,0.36363636363636365,13.076000000000002,0.3626760563380282,3.0,6.0,5.0,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,8.0,,,1.0,,2.0,2.0,,,1.0,,28.0,2.0,30.0,2.0,,10.0,4.0,14.0,62.0,,,1.0,,1.0,1.0,2.0,,8.0,,4.0,2.0,,,,,,,,0.025974025974025976,0.14285714285714285,0.021739130434782608,,0.037037037037037035,,,0.014285714285714285,,,0.1111111111111111,,0.25,0.35714285714285715,0.4166666666666667,0.2,0.012987012987012988,,,,0.012987012987012988,,,,,,,,,,0.17142857142857143,0.5,0.02857142857142857,,0.02857142857142857,,,0.02531645569620253,0.025974025974025976,,12.9,1.0,,1.0,,,,1.0,,,,,,,,,,,,True,,
