EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,FTOffRebounds,Travels,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffFTReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGA,Corner3Assists,ShortMidRangeAssists,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceAtRimFGM,PtsPutbacks,BlockedAtRim,BlockedLongMidRange,SecondChanceAtRimAccuracy,OffThreePtRebounds,SelfOReb,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,OffCorner3ReboundPct,3SecondViolations,Defensive 3 Seconds Violations,on,SecondChanceArc3FGM,Fg3aBlocked,Clear Path Fouls,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedCorner3
1043,1610612759,Amal McCaskill,Amal McCaskill,1043,SAS,3290.0,55,-16,121,118,79,76.0,17,239,8.0,13.0,1.0,4.0,6.0,3.0,8.0,2.0,3.0,13.0,24.0,8.0,34,123,1.0,2.0,4.0,6.0,8.0,14.0,7.0,23.0,16.0,10.0,1.0,2.0,2.0,2.0,4.0,6.0,1.0,2.0,2.0,5.0,6,11,3.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,7.0,1.0,4.0,4.0,10.0,2.0,1.0,18.0,2.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,23.0,79,1.0,0.6153846153846154,0.6153846153846154,0.5416666666666666,0.5,0.5714285714285714,0.5416666666666666,0.5,0.5714285714285714,0.53125,0.5,0.5476190476190477,0.041666666666666664,0.07692307692307693,27.857142857142858,0.5714285714285714,0.3333333333333333,0.06666666666666667,0.15384615384615385,0.07692307692307693,0.06976744186046512,0.12244897959183673,0.2727272727272727,0.2,0.08333333333333333,0.09090909090909091,0.09090909090909091,1.0,0.5416666666666666,0.6153846153846154,0.6666666666666666,0.625,0.3333333333333333,0.375,0.375,0.6666666666666666,0.125,0.6666666666666666,0.6666666666666666,0.5,0.5,0.42857142857142855,0.6666666666666666,0.5416666666666666,0.49770833333333336,0.52615,0.4215714285714286,0.26666666666666666,0.26666666666666666,0.17647058823529413,0.6764705882352942,6.0125,0.6528925619834711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
120,1610612759,Steven Smith,Steven Smith,120,SAS,3214.0,54,-9,105,106,45,42.0,17,211,,1.0,,,,3.0,4.0,1.0,4.0,4.0,9.0,9.0,26,117,,,,3.0,1.0,3.0,3.0,8.0,2.0,6.0,,4.0,5.0,2.0,11.0,,,4.0,,4.0,1,5,2.0,1.0,1.0,1.0,,,2.0,1.0,3.0,,2.0,2.0,3.0,,,9.0,,4.0,,,,,,,8.0,45,1.0,0.25,0.25,0.4444444444444444,,0.3333333333333333,0.5,1.5,0.4166666666666667,0.5952380952380952,1.5,0.5,,,18.89763779527559,0.3333333333333333,,0.125,,,0.10256410256410256,,,,0.1111111111111111,,,,0.058823529411764705,,,,0.23529411764705882,0.75,0.75,,0.23529411764705882,0.25,0.25,1.0,,,,0.5294117647058824,0.46629705882352945,,0.4362,0.19047619047619047,0.3076923076923077,0.11538461538461539,0.3076923076923077,13.444444444444443,0.42857142857142855,2.0,5.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,8.0,1.0,1.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.375,1.0,0.3333333333333333,0.375,0.47058823529411764,0.5,0.3,0.29411764705882354,0.4,0.4,1.0,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1498,1610612759,Antonio Daniels,Antonio Daniels,1498,SAS,10468.0,174,-41,344,340,133,142.0,50,684,6.0,10.0,,2.0,4.0,3.0,12.0,4.0,10.0,13.0,32.0,13.0,48,363,1.0,3.0,2.0,4.0,3.0,10.0,6.0,12.0,12.0,14.0,1.0,13.0,16.0,4.0,35.0,2.0,6.0,9.0,,15.0,2,17,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,,1.0,2.0,4.0,,,15.0,1.0,6.0,2.0,,,,,,12.0,133,1.0,0.46153846153846156,0.46153846153846156,0.40625,0.3333333333333333,0.3,0.3977272727272727,0.25,0.2,0.47058823529411764,0.4,0.3333333333333333,0.03125,,13.202933985330073,0.3333333333333333,,0.08108108108108109,0.013888888888888888,0.17142857142857143,0.10273972602739725,0.011764705882352941,0.02631578947368421,,0.041666666666666664,0.02631578947368421,0.1724137931034483,,0.22727272727272727,0.6,0.6,0.6666666666666666,0.2727272727272727,0.25,0.2727272727272727,,0.22727272727272727,0.4,0.4,0.5,,0.26666666666666666,0.5,0.5,0.46892045454545456,0.41159999999999997,0.4902633333333333,0.12244897959183673,0.16216216216216217,0.08333333333333333,0.25,8.7375,0.3866279069767442,1.0,3.0,,,,2.0,2.0,9.0,3.0,3.0,12.0,,1.0,,5.0,9.0,9.0,2.0,3.0,1.0,7.0,,,,1.0,0.25,,,0.25,0.2727272727272727,,0.14285714285714285,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.20454545454545456,0.2222222222222222,0.2222222222222222,1.0,,,,0.13333333333333333,,0.2,0.2222222222222222,25.166666666666668,1.0,2.0,2.0,0.08333333333333333,0.017857142857142856,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1520,1610612759,Charles Smith,Charles Smith,1520,SAS,7421.0,124,-60,261,253,118,117.0,34,514,11.0,22.0,6.0,5.0,11.0,6.0,12.0,2.0,9.0,19.0,43.0,5.0,46,297,1.0,9.0,,2.0,10.0,24.0,3.0,26.0,14.0,24.0,6.0,7.0,7.0,4.0,14.0,5.0,2.0,3.0,,5.0,6,11,8.0,8.0,,3.0,2.0,1.0,3.0,2.0,6.0,1.0,4.0,7.0,13.0,1.0,1.0,11.0,1.0,3.0,3.0,4.0,1.0,4.0,2.0,,26.0,118,1.0,0.3684210526315789,0.3888888888888889,0.4418604651162791,0.1111111111111111,0.4166666666666667,0.4019607843137255,0.1111111111111111,0.42592592592592593,0.4107142857142857,0.1,0.4482758620689655,0.13953488372093023,0.22727272727272727,20.327868852459016,0.5,,0.039473684210526314,0.049019607843137254,0.08333333333333333,0.05,0.04065040650406504,0.06896551724137931,0.029411764705882353,0.041666666666666664,0.04,0.05,0.5,0.43137254901960786,0.5,0.6470588235294118,0.45454545454545453,0.23529411764705882,0.5,0.5454545454545454,0.3333333333333333,0.17647058823529413,0.2222222222222222,0.2222222222222222,,0.6666666666666666,0.4074074074074074,0.45454545454545453,0.5882352941176471,0.5187196078431372,0.5375777777777778,0.531511111111111,0.05660377358490566,0.06666666666666667,0.043478260869565216,0.5652173913043478,6.234883720930232,0.4521072796934866,1.0,2.0,,,1.0,1.0,,6.0,2.0,1.0,8.0,,,1.0,3.0,3.0,6.0,,,,,1.0,,,1.0,0.125,,0.3333333333333333,0.125,0.1568627450980392,0.07692307692307693,0.037037037037037035,0.0392156862745098,0.5,0.5,1.0,0.11764705882352941,,,,,,,0.037037037037037035,1.0,0.07407407407407407,,25.5,,,3.0,0.08333333333333333,0.05128205128205128,0.25,,1.0,2.0,1.0,2.0,0.16666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
685,1610612759,Cherokee Parks,Cherokee Parks,685,SAS,13959.0,233,-69,474,470,200,206.0,68,944,20.0,31.0,14.0,7.0,10.0,3.0,20.0,7.0,32.0,30.0,83.0,3.0,63,512,11.0,17.0,1.0,23.0,11.0,33.0,1.0,23.0,42.0,18.0,5.0,9.0,10.0,4.0,21.0,16.0,6.0,22.0,6.0,34.0,24,58,7.0,6.0,1.0,10.0,1.0,3.0,4.0,7.0,14.0,2.0,5.0,15.0,34.0,1.0,3.0,8.0,2.0,5.0,,8.0,5.0,8.0,4.0,,23.0,200,5.0,0.7,0.9130434782608695,0.3614457831325301,0.6470588235294118,0.3333333333333333,0.3614457831325301,0.6470588235294118,0.3333333333333333,0.36627906976744184,0.6764705882352942,0.3382352941176471,0.060240963855421686,0.03225806451612903,17.921146953405017,0.7142857142857143,0.375,0.14285714285714285,0.08602150537634409,0.13333333333333333,0.1407035175879397,0.08888888888888889,0.1346153846153846,0.07575757575757576,0.1282051282051282,0.18181818181818182,0.10810810810810811,0.5,0.37349397590361444,0.6451612903225806,0.6666666666666666,0.6,0.24096385542168675,0.15,0.16666666666666666,0.6666666666666666,0.3855421686746988,0.21875,0.23333333333333334,1.0,0.8235294117647058,0.30303030303030304,0.7,0.37349397590361444,0.4724060240963857,0.53449375,0.4632363636363636,0.05813953488372093,0.05813953488372093,0.36507936507936506,0.36507936507936506,9.137349397590365,0.4219409282700422,,,,,,,,,,,,,,,,,,,1.0,,4.0,4.0,,,,,,,,,0.19047619047619047,0.11666666666666667,,,,,,,,,,,,,,,,,,1.0,1.0,0.1,0.058823529411764705,0.25,,10.0,14.0,3.0,,0.7142857142857143,4.0,2.0,0.0625,0.10256410256410256,0.13333333333333333,0.041666666666666664,0.3,,,,,,,,,,,True,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,8400.0,140,-61,290,291,128,144.0,43,581,5.0,9.0,1.0,1.0,3.0,,3.0,5.0,10.0,10.0,22.0,8.0,43,333,,3.0,,,2.0,6.0,7.0,11.0,6.0,14.0,2.0,23.0,29.0,6.0,64.0,1.0,2.0,8.0,1.0,11.0,3,14,5.0,3.0,2.0,9.0,3.0,9.0,5.0,,14.0,1.0,6.0,7.0,11.0,,1.0,13.0,,6.0,,1.0,,1.0,1.0,,11.0,128,1.0,0.3,0.3,0.45454545454545453,,0.3333333333333333,0.5303030303030303,,0.2,0.5384615384615384,,0.35714285714285715,0.09090909090909091,0.1111111111111111,15.542521994134896,0.6428571428571429,0.08333333333333333,0.08791208791208792,0.00909090909090909,0.09090909090909091,0.08849557522123894,0.014705882352941176,,,0.1111111111111111,0.0625,0.1111111111111111,1.0,0.2727272727272727,0.5555555555555556,0.625,,0.09090909090909091,,,,0.30303030303030304,0.5,0.5555555555555556,0.6,0.3333333333333333,0.3,0.3333333333333333,0.6060606060606061,0.5059359375,0.51865,0.5193499999999999,0.15384615384615385,0.21428571428571427,,0.2558139534883721,10.204545454545455,0.4413793103448276,1.0,2.0,,,,1.0,4.0,9.0,3.0,5.0,11.0,,,,4.0,12.0,9.0,4.0,6.0,3.0,9.0,1.0,,1.0,0.8,0.45454545454545453,,,0.45454545454545453,0.3333333333333333,0.09090909090909091,0.09375,0.06060606060606061,0.5,0.5,1.0,0.2727272727272727,0.4444444444444444,0.4444444444444444,0.75,,,,0.1,,0.3,0.4444444444444444,26.072727272727267,,3.0,8.0,,0.027777777777777776,,,,,1.0,,,1.0,,0.1,0.038461538461538464,0.05555555555555555,,,3.0,,,,,,,,,,True,,,,,,,,,,,,
345,1610612759,Terry Porter,Terry Porter,345,SAS,4489.0,75,2,150,146,74,45.0,21,296,4.0,5.0,1.0,1.0,2.0,,2.0,2.0,5.0,6.0,12.0,3.0,24,147,1.0,2.0,2.0,4.0,3.0,8.0,3.0,12.0,8.0,4.0,1.0,7.0,7.0,5.0,14.0,1.0,1.0,10.0,,11.0,1,12,,,,3.0,,1.0,1.0,2.0,4.0,1.0,4.0,1.0,5.0,,1.0,4.0,,,2.0,,,,,,12.0,74,,0.6666666666666666,0.8,0.5,0.5,0.375,0.4772727272727273,0.3333333333333333,0.32142857142857145,0.5,0.5,0.375,0.08333333333333333,,15.730337078651685,0.75,,0.18518518518518517,0.016666666666666666,0.06666666666666667,0.15942028985507245,0.014492753623188406,,0.041666666666666664,0.3,0.14285714285714285,0.07692307692307693,,0.22727272727272727,0.8,0.8,0.5,0.09090909090909091,,,,0.22727272727272727,0.4,0.4,1.0,0.3333333333333333,0.14285714285714285,0.5,0.6818181818181818,0.48320227272727273,0.61415,0.41671071428571427,,,0.16666666666666666,0.5,9.658333333333333,0.49333333333333335,1.0,2.0,,,,1.0,2.0,8.0,5.0,3.0,10.0,,1.0,1.0,6.0,6.0,8.0,2.0,,,2.0,,,,0.6666666666666666,0.3,,0.16666666666666666,0.3,0.45454545454545453,,0.17391304347826086,0.09090909090909091,0.5,0.5,1.0,0.36363636363636365,0.25,0.25,0.5,,,,0.07142857142857142,,0.35714285714285715,0.25,24.500000000000004,1.0,,,0.5,,,0.3333333333333333,1.0,2.0,,,1.0,,,,,,,,3.0,1.0,0.2,,,,,,,,True,,,,,,,,,,,,
2078,1610612759,Jason Hart,Jason Hart,2078,SAS,395.0,7,8,14,13,10,3.0,3,27,,,,,,,,,,,,2.0,2,8,,,,,,,2.0,2.0,,,,1.0,2.0,,5.0,1.0,,,,,1,1,1.0,1.0,,,,,,,,,,,,,,2.0,,,1.0,,,,,,2.0,10,,,,,,,,,,1.0,,1.0,,,5.88235294117647,,,,0.2,,,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.7142857142857143,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1536,1610612759,Stephen Jackson,Stephen Jackson,1536,SAS,2089.0,35,-11,77,78,34,43.0,12,155,3.0,5.0,1.0,1.0,1.0,3.0,6.0,1.0,3.0,7.0,14.0,3.0,20,77,2.0,2.0,,4.0,4.0,8.0,,8.0,8.0,6.0,1.0,4.0,4.0,3.0,8.0,1.0,,2.0,1.0,3.0,1,4,2.0,,2.0,1.0,,1.0,1.0,,2.0,,,3.0,5.0,,,6.0,,2.0,1.0,2.0,1.0,2.0,1.0,,8.0,34,1.0,0.5714285714285714,0.5714285714285714,0.5,1.0,0.5,0.425,1.0,0.4444444444444444,0.43478260869565216,1.0,0.4444444444444444,0.07142857142857142,0.2,28.089887640449437,0.5,0.3333333333333333,0.08333333333333333,0.037037037037037035,,0.06451612903225806,0.02857142857142857,,,,0.125,,0.5,0.25,0.6,0.75,0.6666666666666666,0.3,0.5,0.5,0.3333333333333333,0.15,0.3333333333333333,0.3333333333333333,1.0,0.5,0.1111111111111111,1.0,0.55,0.48587368421052635,0.4484,0.371925,0.09090909090909091,0.125,0.2,0.4,9.635714285714286,0.44155844155844154,,,,,,,1.0,6.0,1.0,1.0,6.0,,,,1.0,3.0,5.0,1.0,,,,,,,1.0,0.16666666666666666,,,0.2,0.3,,0.14285714285714285,,,,,0.3,0.16666666666666666,0.16666666666666666,1.0,,,,,,0.1111111111111111,0.2,32.800000000000004,,,1.0,,0.14285714285714285,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,
198,1610612759,Danny Ferry,Danny Ferry,198,SAS,3881.0,65,-31,135,137,53,76.0,18,272,,,,,,,,2.0,4.0,2.0,4.0,3.0,13,144,1.0,2.0,,2.0,,1.0,3.0,3.0,4.0,,1.0,4.0,6.0,1.0,14.0,2.0,2.0,7.0,,9.0,2,11,,,,3.0,1.0,3.0,1.0,,4.0,,3.0,1.0,2.0,,,4.0,,,2.0,,,1.0,,,3.0,53,1.0,1.0,1.0,0.5,0.5,,0.625,0.3333333333333333,,0.65,0.3333333333333333,0.5,0.25,,8.9171974522293,0.75,,0.1346153846153846,0.03773584905660377,0.11764705882352941,0.13043478260869565,0.03125,,,,0.18181818181818182,0.14285714285714285,,,,,,,,,,0.5,0.5,0.6666666666666666,1.0,,,,0.5,0.45940625,0.47645000000000004,0.4324,,,0.15384615384615385,0.23076923076923078,18.325,0.3925925925925926,,1.0,,,,,2.0,3.0,,2.0,4.0,,1.0,,,6.0,3.0,2.0,2.0,2.0,2.0,,,,1.0,0.5,,,0.5,0.5,,0.17647058823529413,0.125,,,,0.375,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.6666666666666666,24.9,1.0,,1.0,,0.08333333333333333,,0.3333333333333333,,,,,,,,0.25,,,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,,
