EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,TwoPtShootingFoulsDrawn,BlockedShortMidRange,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,AtRimPctBlocked,LiveBallTurnoverPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,PtsPutbacks,Fg3aBlocked,Arc3Assists,LostBallSteals,BadPassTurnovers,Assisted3sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,SecondChancePointsPct,Travels,OffShortMidRangeReboundPct,Arc3PctAssisted,SelfOReb,Loose Ball Fouls,2pt And 1 Free Throw Trips,SelfORebPct,SecondChanceAtRimPctAssisted,FTOffRebounds,BadPassOutOfBoundsTurnovers,OffFTReboundPct,DefCorner3ReboundPct,HeaveAttempts,ShortMidRangePctBlocked,DefensiveGoaltends,on,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,3SecondViolations,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls
1051,1610612750,Dean Garrett,Dean Garrett,1051,MIN,1450.0,24,57,57,40,35,12.0,114,1.0,3.0,5.0,1.0,8.0,2.0,58,1.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,8.0,4.0,12.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,40,4.0,1.0,1.0,0.125,0.14285714285714285,0.125,0.14285714285714285,0.1111111111111111,0.125,0.25,0.4,13.513513513513514,0.42857142857142855,0.2857142857142857,0.08695652173913043,0.16666666666666666,0.2222222222222222,0.25,0.125,0.14285714285714285,0.125,0.125,1.0,0.5,0.25,0.2,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,0.625,0.3886,0.4009,0.3896428571428571,1.0,13.0875,0.7017543859649122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612750,Chauncey Billups,Chauncey Billups,1497,MIN,2034.0,34,75,76,52,41,12.0,151,1.0,2.0,,3.0,6.0,19.0,72,,2.0,4.0,15.0,2.0,2.0,,,,3.0,,3.0,,3.0,2.0,,3.0,,2.0,6.0,10.0,3.0,1.0,,1.0,1.0,15.0,52,2.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.34615384615384615,0.3888888888888889,0.5277777777777778,0.5769230769230769,0.3333333333333333,,22.82608695652174,,0.15,,,,0.11538461538461539,,,,,,0.125,0.16666666666666666,,1.0,0.15384615384615385,0.5,0.5,,,0.5307307692307692,0.49455,0.5049944444444444,0.7894736842105263,3.7000000000000006,0.6933333333333334,6.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,7.0,10.0,1.0,1.0,5.0,8.0,4.0,3.0,6.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,11.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.14285714285714285,0.2,0.14285714285714285,0.5384615384615384,0.5,0.3333333333333333,0.16666666666666666,0.3076923076923077,0.5,1.0,0.5,0.07692307692307693,0.46153846153846156,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.25,0.8461538461538461,0.16666666666666666,0.13333333333333333,0.25,25.11428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1732,1610612750,Felipe Lopez,Felipe Lopez,1732,MIN,1428.0,24,58,57,43,33,12.0,115,,,3.0,3.0,7.0,10.0,56,2.0,3.0,6.0,9.0,4.0,1.0,,2.0,,,,,2.0,2.0,,,2.0,1.0,1.0,5.0,2.0,,,,,,9.0,43,3.0,0.6666666666666666,1.0,0.42857142857142855,0.5,0.4090909090909091,0.5,0.4166666666666667,0.5,0.14285714285714285,,18.42105263157895,,,0.08695652173913043,,,,0.06060606060606061,,0.25,,,,,,,,,,,0.2727272727272727,0.4882590909090909,0.63205,0.5045166666666667,0.9,7.028571428571429,0.7413793103448276,2.0,2.0,4.0,2.0,4.0,1.0,1.0,,3.0,1.0,,2.0,1.0,4.0,1.0,1.0,1.0,3.0,,2.0,,3.0,,4.0,1.0,5.0,,2.0,1.0,1.0,11.0,2.0,,2.0,1.0,2.0,,1.0,,0.25,0.3333333333333333,0.25,0.36363636363636365,0.25,1.0,,0.36363636363636365,0.5,0.6666666666666666,0.5,0.09090909090909091,0.2727272727272727,,,0.3333333333333333,0.4444444444444444,0.5,0.1111111111111111,0.2222222222222222,,0.7272727272727273,,0.08333333333333333,0.125,24.950000000000003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.3333333333333333,0.375,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.3,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1887,1610612750,Wally Szczerbiak,Wally Szczerbiak,1887,MIN,124.0,2,5,6,2,3,1.0,11,,,,,,3.0,7,,,,,,,,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,2,,,,,,1.5,,1.5,,,,33.333333333333336,,,1.0,,,,0.5,,,,,,,,,,,,,,0.5631,,,,,0.4,-2.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,25.5,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612750,Maurice Evans,Maurice Evans,2230,MIN,2576.0,43,97,95,63,57,15.0,192,2.0,7.0,,9.0,16.0,21.0,96,4.0,9.0,12.0,21.0,10.0,1.0,1.0,2.0,,,1.0,1.0,3.0,4.0,1.0,,2.0,,4.0,9.0,4.0,1.0,,,,,21.0,63,3.0,0.5555555555555556,0.8333333333333334,0.5625,0.75,0.47368421052631576,0.6428571428571429,0.525,0.7,0.0625,,18.64406779661017,0.125,,0.05714285714285714,,0.06666666666666667,,0.06,0.1111111111111111,,0.07692307692307693,,,,,,0.3684210526315789,0.2857142857142857,0.2857142857142857,0.5,,0.5178947368421053,0.5702625,0.5391964285714287,1.0,3.78125,0.6494845360824743,-2.0,7.0,9.0,7.0,8.0,1.0,,,2.0,1.0,,2.0,,3.0,3.0,1.0,,2.0,3.0,8.0,,2.0,,3.0,1.0,4.0,,2.0,,1.0,9.0,,,1.0,,,,2.0,,,,,0.15789473684210525,0.1111111111111111,0.5,,0.47368421052631576,0.7777777777777778,0.875,0.5714285714285714,0.05263157894736842,0.10526315789473684,,,0.2,0.5714285714285714,0.875,,0.14285714285714285,,0.631578947368421,,0.10526315789473684,0.125,24.733333333333334,4.0,4.0,,,,4.0,1.0,9.0,,6.0,,1.0,,1.0,,1.0,0.8,0.9,,,,,,,,,0.8,1.0,,0.42857142857142855,,0.0625,,1.0,1.0,2.0,0.1111111111111111,0.25,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2254,1610612750,Loren Woods,Loren Woods,2254,MIN,1644.0,27,61,61,41,29,10.0,122,,2.0,2.0,3.0,7.0,7.0,54,2.0,2.0,4.0,4.0,4.0,,,1.0,2.0,5.0,,7.0,4.0,11.0,1.0,,2.0,,1.0,1.0,3.0,,3.0,2.0,3.0,3.0,4.0,41,,0.6666666666666666,1.0,0.42857142857142855,0.5,0.42857142857142855,0.5,0.4375,0.5,,,13.157894736842104,,0.3125,0.04,0.3333333333333333,,0.3181818181818182,0.029411764705882353,,,,,0.3333333333333333,0.2,0.25,1.0,0.2857142857142857,,,,0.2857142857142857,0.48905714285714286,0.5185,0.438025,0.5714285714285714,7.985714285714287,0.6721311475409836,7.0,2.0,3.0,1.0,2.0,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,,,0.5,0.4,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.5,0.5,,,,0.42857142857142855,,0.25,0.25,,1.0,2.0,1.0,,,1.0,,2.0,,2.0,,,,1.0,,0.5,0.5,0.5,,,0.5,0.5,1.0,,,,1.0,0.5,,0.2857142857142857,,0.07142857142857142,,,,1.0,,,3.0,1.0,0.75,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,
417,1610612750,Sam Mitchell,Sam Mitchell,417,MIN,816.0,14,28,28,17,25,4.0,56,,,4.0,3.0,5.0,11.0,35,1.0,,2.0,5.0,6.0,1.0,,2.0,,1.0,,1.0,2.0,3.0,,,2.0,1.0,1.0,1.0,2.0,,,,,,5.0,17,,1.0,1.0,0.6,,0.5625,0.375,0.6111111111111112,0.5,0.2,,33.33333333333333,,0.125,0.2222222222222222,,,0.1111111111111111,0.14285714285714285,0.2,0.3333333333333333,,,,1.0,,,,,,,0.5,0.48323125,,0.5731875,0.45454545454545453,13.88,0.6071428571428571,-7.0,,1.0,,1.0,,,1.0,3.0,,1.0,2.0,1.0,3.0,2.0,,1.0,2.0,2.0,,,3.0,1.0,,,,,,,,,2.0,2.0,2.0,2.0,2.0,,1.0,,0.3333333333333333,0.5,0.3333333333333333,0.375,1.0,1.0,,0.125,,,,,0.375,0.3333333333333333,0.3333333333333333,,0.25,,,0.5,0.5,0.5,0.3333333333333333,0.1111111111111111,0.16666666666666666,25.433333333333334,,1.0,3.0,,,,,,3.0,,,,,,1.0,,,,,,0.75,0.75,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1895,1610612750,William Avery,William Avery,1895,MIN,303.0,5,14,12,7,12,2.0,26,,,,,,,13,,,,,,,,,2.0,,,2.0,,2.0,,,1.0,,,,2.0,1.0,,,,,,7,,,,,,,,,,,,12.5,,,,0.6666666666666666,,0.3333333333333333,,,,,,,,0.5,,,,,,,,,,,,0.5,-1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,1.0,,4.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,
324,1610612750,Anthony Peeler,Anthony Peeler,324,MIN,819.0,14,32,28,22,23,2.0,60,,1.0,,,2.0,3.0,29,1.0,,2.0,3.0,,1.0,1.0,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,3.0,22,,,,,,0.5,0.5,0.5,0.5,0.5,,8.571428571428571,,0.2857142857142857,,,0.25,0.18181818181818182,0.07692307692307693,,,0.3333333333333333,,,,,,0.3333333333333333,,,,,0.5269833333333334,,0.5269833333333334,1.0,3.95,0.6875,-1.0,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,3.0,1.0,1.0,2.0,,2.0,,1.0,,1.0,4.0,1.0,1.0,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,0.6666666666666666,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,0.3333333333333333,1.0,0.6666666666666666,1.0,,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
718,1610612750,Gary Trent,Gary Trent,718,MIN,252.0,4,10,9,3,9,2.0,19,1.0,1.0,,3.0,3.0,6.0,11,1.0,1.0,1.0,2.0,4.0,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,2.0,3,,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,33.333333333333336,,0.3333333333333333,0.5,,,0.25,0.3333333333333333,,,,,1.0,,,,0.3333333333333333,1.0,1.0,,,0.6001,0.6305,0.6305,0.3333333333333333,1.8333333333333333,0.3,-1.0,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,1.0,,2.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
