EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,SecondChanceFtPoints,Arc3Assists,SecondChanceCorner3Frequency,PtsUnassisted3s,HeaveAttempts,Loose Ball Fouls,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Clear Path Fouls,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,OffensiveGoaltends,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,BlockedArc3
15,1610612746,Eric Piatkowski,Eric Piatkowski,15,LAC,9956.0,166,-20,317,318,90.0,122,42,635,3.0,7.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,7.0,1.0,4.0,1.0,9.0,25.0,1.0,5.0,2.0,7.0,5,18,10.0,29.0,11.0,51,338,2.0,4.0,1.0,5.0,7.0,1.0,4.0,2.0,8.0,6.0,14.0,4.0,6.0,30.0,4.0,25.0,9.0,3.0,9.0,1.0,10.0,1.0,2.0,5.0,2.0,21.0,3.0,3.0,3.0,8.0,11.0,6.0,17.0,1.0,5.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,7.0,2.0,2.0,1.0,5,1.0,12.0,4.0,2.0,2.0,14.0,90.0,2.0,0.4,0.6666666666666666,1.0,0.3448275862068966,0.2,0.25,0.3448275862068966,0.2777777777777778,0.5,0.25,0.425531914893617,0.3888888888888889,0.3333333333333333,0.47058823529411764,0.3888888888888889,0.42857142857142855,0.6170212765957447,0.16666666666666666,0.42857142857142855,15.718157181571815,0.5714285714285714,0.07407407407407407,0.024390243902439025,0.07894736842105263,0.07692307692307693,0.07534246575342465,0.037037037037037035,0.047619047619047616,0.02040816326530612,0.08823529411764706,0.038461538461538464,0.07894736842105263,0.09090909090909091,0.13043478260869565,0.034482758620689655,0.14893617021276595,0.42857142857142855,0.75,0.3333333333333333,0.0851063829787234,0.25,0.25,0.14893617021276595,0.14285714285714285,0.14285714285714285,1.0,0.0851063829787234,0.25,0.25,1.0,0.5319148936170213,0.36,0.36,1.0,0.1111111111111111,1.0,0.5555555555555556,0.2,1.0,0.16666666666666666,0.5,0.08333333333333333,0.5833333333333334,0.2857142857142857,0.7659574468085106,0.36,0.5149808510638298,0.5295833333333333,0.5354625000000001,0.04081632653061224,0.1,0.13725490196078433,0.27450980392156865,9.405555555555555,25.379310344827587,0.28391167192429023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1709,1610612746,Michael Olowokandi,Michael Olowokandi,1709,LAC,6239.0,104,-15,195,192,48.0,51,24,387,5.0,9.0,2.0,2.0,2.0,3.0,7.0,27.0,1.0,4.0,,,,,,,,,,13,40,,,9.0,35,202,3.0,3.0,,,6.0,4.0,8.0,,,3.0,11.0,12.0,14.0,,4.0,,,3.0,2.0,,2.0,,1.0,,1.0,4.0,2.0,7.0,2.0,17.0,24.0,9.0,33.0,1.0,4.0,4.0,,7.0,,1.0,5.0,6.0,12.0,1.0,3.0,4.0,8,1.0,11.0,,5.0,1.0,11.0,48.0,,0.46153846153846156,0.5454545454545454,,,,,,0.325,1.0,0.5,0.325,1.0,0.5,0.3888888888888889,1.0,0.55,,0.075,0.1111111111111111,26.146788990825687,0.5833333333333334,0.21794871794871795,0.0945945945945946,0.08695652173913043,0.11764705882352941,0.18811881188118812,0.0989010989010989,0.0967741935483871,0.06451612903225806,0.13333333333333333,0.35714285714285715,0.17391304347826086,0.1951219512195122,0.125,0.043478260869565216,0.225,0.5555555555555556,0.625,0.4,0.675,0.25925925925925924,0.28,0.1,0.25,0.25,1.0,,,,,,,,,0.6666666666666666,1.0,,,,0.375,0.6666666666666666,,,,0.225,,0.4058999999999999,0.459,0.433875,0.11363636363636363,0.11363636363636363,0.17142857142857143,0.3142857142857143,8.0625,,0.24615384615384617,5.0,1.0,2.0,1.0,6.0,3.0,3.0,6.0,2.0,0.07407407407407407,0.7142857142857143,0.16666666666666666,0.3333333333333333,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1863,1610612746,Earl Boykins,Earl Boykins,1863,LAC,13614.0,227,22,418,411,107.0,84,67,829,6.0,8.0,2.0,2.0,1.0,2.0,12.0,25.0,18.0,37.0,,2.0,,3.0,7.0,,,1.0,2.0,36,70,3.0,9.0,17.0,98,446,3.0,8.0,,2.0,10.0,13.0,26.0,1.0,2.0,13.0,42.0,22.0,50.0,9.0,2.0,7.0,3.0,5.0,42.0,8.0,50.0,1.0,19.0,4.0,19.0,108.0,2.0,6.0,1.0,1.0,3.0,8.0,11.0,,5.0,3.0,2.0,12.0,,10.0,1.0,2.0,13.0,1.0,3.0,5.0,13,,19.0,3.0,3.0,5.0,42.0,107.0,1.0,0.3055555555555556,0.3142857142857143,1.0,0.3333333333333333,,0.5,0.3333333333333333,0.5142857142857142,0.375,0.5,0.5126582278481012,0.3,0.5178571428571429,0.5517241379310345,0.4166666666666667,0.6,0.11392405063291139,0.07142857142857142,,19.960079840319363,0.9230769230769231,0.006134969325153374,0.036585365853658534,0.02857142857142857,0.05714285714285714,0.010101010101010102,0.04020100502512563,0.0392156862745098,0.028985507246376812,0.08,,0.01694915254237288,,0.041666666666666664,,0.10126582278481013,0.75,0.75,0.16666666666666666,0.31645569620253167,0.48,0.6,0.46835443037974683,0.4864864864864865,0.4864864864864865,0.3888888888888889,0.02531645569620253,,,,0.08860759493670886,0.42857142857142855,0.42857142857142855,1.0,0.2,1.0,,,,0.07142857142857142,0.5,,0.07142857142857142,0.5,0.21518987341772153,0.42857142857142855,0.4180316455696203,0.434035,0.3879321428571429,0.036585365853658534,0.0410958904109589,0.10204081632653061,0.42857142857142855,12.732857142857142,25.122222222222224,0.25598086124401914,1.0,,,,,,,,,0.2,0.14285714285714285,0.045454545454545456,,0.25,2.0,4.0,7.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2032,1610612746,Darius Miles,Darius Miles,2032,LAC,34483.0,575,-1,1081,1080,291.0,283,140,2161,48.0,78.0,9.0,13.0,13.0,19.0,14.0,36.0,12.0,39.0,,1.0,,1.0,5.0,,1.0,,3.0,74,153,1.0,6.0,43.0,194,1113,12.0,21.0,,1.0,32.0,18.0,36.0,,3.0,22.0,58.0,88.0,60.0,,12.0,4.0,1.0,10.0,31.0,11.0,42.0,1.0,16.0,8.0,7.0,95.0,2.0,20.0,17.0,72.0,96.0,22.0,118.0,6.0,16.0,13.0,3.0,18.0,4.0,10.0,15.0,8.0,33.0,2.0,5.0,23.0,40,3.0,63.0,,29.0,7.0,58.0,291.0,4.0,0.5945945945945946,0.6470588235294118,,0.16666666666666666,,,0.2,0.48366013071895425,0.5714285714285714,0.5,0.4748427672955975,0.5454545454545454,0.46153846153846156,0.521505376344086,0.6153846153846154,0.5576923076923077,0.03773584905660377,0.06535947712418301,0.0641025641025641,17.675544794188863,0.5454545454545454,0.16941176470588235,0.04807692307692308,0.15315315315315314,0.02040816326530612,0.166044776119403,0.042801556420233464,0.04285714285714286,0.017543859649122806,,0.10909090909090909,0.16901408450704225,0.20809248554913296,0.14814814814814814,0.08823529411764706,0.49056603773584906,0.6153846153846154,0.6575342465753424,0.625,0.22641509433962265,0.3888888888888889,0.4375,0.24528301886792453,0.3076923076923077,0.3157894736842105,0.6666666666666666,0.006289308176100629,,,,0.031446540880503145,0.2,0.2,,0.5909090909090909,0.6923076923076923,0.045454545454545456,,,0.48717948717948717,0.6842105263157895,,0.07692307692307693,,0.5283018867924528,0.25,0.5001943037974683,0.4808694444444445,0.5041434210526315,0.16201117318435754,0.1676300578034682,0.16494845360824742,0.29896907216494845,6.458823529411765,31.533333333333335,0.26919518963922295,7.0,1.0,2.0,9.0,22.0,16.0,4.0,23.0,11.0,0.1111111111111111,0.18421052631578946,0.10476190476190476,0.4782608695652174,0.42857142857142855,,8.0,10.0,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.02564102564102564,0.13333333333333333,0.16666666666666666,0.2222222222222222,,,,,,,,,,,,,,,,True,
399,1610612746,Sean Rooks,Sean Rooks,399,LAC,43772.0,730,1,1372,1366,388.0,407,178,2738,11.0,24.0,7.0,15.0,4.0,9.0,7.0,29.0,63.0,141.0,,,,,,,,,,81,194,,,21.0,183,1422,11.0,24.0,,,26.0,21.0,48.0,,,10.0,52.0,138.0,24.0,,14.0,,,5.0,22.0,3.0,25.0,,7.0,5.0,10.0,53.0,8.0,24.0,17.0,60.0,92.0,32.0,124.0,5.0,12.0,5.0,7.0,11.0,3.0,8.0,9.0,3.0,20.0,,6.0,72.0,114,4.0,29.0,,12.0,4.0,52.0,388.0,12.0,0.8518518518518519,0.9324324324324325,,,,,,0.4175257731958763,0.4583333333333333,0.4375,0.4175257731958763,0.4583333333333333,0.4375,0.4420289855072464,0.48148148148148145,0.48148148148148145,,0.02577319587628866,0.125,14.348925410872313,0.55,0.11009174311926606,0.045454545454545456,0.125,0.06153846153846154,0.1130690161527166,0.0486322188449848,0.04419889502762431,0.03225806451612903,0.06422018348623854,0.13138686131386862,0.0797872340425532,0.12272727272727273,0.13861386138613863,0.046296296296296294,0.12371134020618557,0.4583333333333333,0.5238095238095238,0.36363636363636365,0.14948453608247422,0.2413793103448276,0.25,0.7268041237113402,0.44680851063829785,0.45,0.9523809523809523,,,,,,,,,0.625,0.4666666666666667,,,,0.1875,0.4444444444444444,,,,0.12371134020618557,,0.417162886597938,0.5242444444444444,0.4263645833333332,0.059113300492610835,0.059113300492610835,0.14207650273224043,0.28415300546448086,14.512886597938142,,0.282798833819242,15.0,1.0,1.0,3.0,21.0,16.0,5.0,21.0,10.0,0.034482758620689655,0.30612244897959184,0.06923076923076923,0.47619047619047616,0.7142857142857143,,4.0,3.0,,,,8.0,,,,,,5.0,0.0070921985815602835,0.047619047619047616,0.08571428571428572,,1.0,,,,,,,,,,,,,,,True,
976,1610612746,Jeff McInnis,Jeff McInnis,976,LAC,26400.0,440,-16,835,830,256.0,287,96,1665,10.0,19.0,1.0,1.0,2.0,4.0,31.0,61.0,22.0,48.0,,1.0,1.0,10.0,38.0,,3.0,3.0,16.0,63,128,10.0,39.0,36.0,192,873,6.0,9.0,,3.0,16.0,23.0,42.0,3.0,17.0,17.0,72.0,34.0,92.0,27.0,2.0,37.0,10.0,8.0,64.0,8.0,72.0,2.0,25.0,12.0,27.0,152.0,1.0,3.0,8.0,20.0,28.0,4.0,32.0,1.0,8.0,4.0,4.0,9.0,4.0,8.0,13.0,1.0,22.0,1.0,8.0,7.0,27,6.0,40.0,6.0,15.0,4.0,72.0,256.0,5.0,0.2698412698412698,0.27419354838709675,0.9,0.2564102564102564,,0.17647058823529413,0.2631578947368421,0.4921875,0.6666666666666666,0.5476190476190477,0.46706586826347307,0.5,0.4661016949152542,0.510989010989011,0.5769230769230769,0.5303030303030303,0.23353293413173654,0.0625,0.10526315789473684,21.58730158730159,0.4090909090909091,0.059880239520958084,0.009523809523809525,0.08791208791208792,0.0125,0.06588235294117648,0.010126582278481013,0.008849557522123894,,0.014084507042253521,0.04938271604938271,0.058823529411764705,0.06716417910447761,0.04411764705882353,0.012048192771084338,0.11377245508982035,0.5263157894736842,0.5882352941176471,0.2,0.3652694610778443,0.5081967213114754,0.5535714285714286,0.2874251497005988,0.4583333333333333,0.46808510638297873,0.18181818181818182,0.005988023952095809,,,,0.2275449101796407,0.2631578947368421,0.2631578947368421,0.9,0.08333333333333333,1.0,0.25,,,0.06779661016949153,0.5,0.01694915254237288,0.2711864406779661,0.1875,0.3473053892215569,0.2702702702702703,0.435480421686747,0.4257636363636364,0.4088344827586207,0.08426966292134831,0.1079136690647482,0.08333333333333333,0.375,11.166406250000001,26.176923076923078,0.3065868263473054,,2.0,1.0,4.0,2.0,,,2.0,1.0,0.08196721311475409,,0.02702702702702703,0.5,0.3548387096774194,,4.0,6.0,,3.0,1.0,1.0,,,2.0,,,,0.020833333333333332,,0.21739130434782608,,,,,,,,,,,,,,,,,True,
2047,1610612746,Quentin Richardson,Quentin Richardson,2047,LAC,35384.0,590,56,1113,1102,309.0,294,148,2215,51.0,91.0,14.0,28.0,13.0,27.0,17.0,50.0,10.0,41.0,5.0,13.0,3.0,24.0,70.0,4.0,6.0,5.0,20.0,78,182,29.0,83.0,42.0,285,1099,15.0,37.0,5.0,7.0,52.0,17.0,49.0,6.0,23.0,15.0,67.0,90.0,66.0,81.0,16.0,68.0,24.0,23.0,30.0,5.0,35.0,,10.0,7.0,13.0,75.0,5.0,27.0,15.0,38.0,54.0,33.0,87.0,5.0,26.0,14.0,12.0,18.0,,11.0,16.0,7.0,34.0,3.0,8.0,16.0,35,5.0,53.0,,26.0,3.0,67.0,309.0,5.0,0.5769230769230769,0.6428571428571429,0.9310344827586207,0.3493975903614458,0.7142857142857143,0.2608695652173913,0.35802469135802467,0.42857142857142855,0.40540540540540543,0.3469387755102041,0.45849056603773586,0.5113636363636364,0.3611111111111111,0.4930795847750865,0.5531914893617021,0.41358024691358025,0.3132075471698113,0.12637362637362637,0.15384615384615385,25.077639751552795,0.5294117647058824,0.084070796460177,0.0625,0.13761467889908258,0.04950495049504951,0.0944741532976827,0.0600375234521576,0.0763888888888889,0.05555555555555555,0.046511627906976744,0.05405405405405406,0.08333333333333333,0.10270270270270271,0.13580246913580246,0.04065040650406504,0.3433962264150943,0.5604395604395604,0.6623376623376623,0.6078431372549019,0.18867924528301888,0.34,0.38636363636363635,0.15471698113207547,0.24390243902439024,0.2631578947368421,0.6,0.04905660377358491,0.38461538461538464,0.38461538461538464,1.0,0.2641509433962264,0.34285714285714286,0.35294117647058826,0.9166666666666666,0.6363636363636364,0.5,0.13636363636363635,0.6666666666666666,1.0,0.375,0.48148148148148145,0.041666666666666664,0.2777777777777778,0.25,0.6566037735849056,0.35294117647058826,0.48470247148288986,0.48764166666666675,0.46503857142857147,0.09090909090909091,0.12807881773399016,0.1824561403508772,0.23508771929824562,6.2120879120879104,26.196385542168677,0.2776280323450135,1.0,6.0,3.0,5.0,6.0,2.0,3.0,6.0,3.0,0.12,0.027777777777777776,0.05555555555555555,0.5,0.47058823529411764,1.0,7.0,5.0,0.022727272727272728,6.0,2.0,2.0,,,1.0,,1.0,1.0,0.07317073170731707,0.06666666666666667,0.14285714285714285,0.14285714285714285,,1.0,1.0,2.0,1.0,0.024096385542168676,0.02857142857142857,0.03333333333333333,1.0,1.0,0.3333333333333333,,,,,True,
1762,1610612746,Tremaine Fowlkes,Tremaine Fowlkes,1762,LAC,837.0,14,-3,26,27,13.0,14,6,53,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,2,4,,,1.0,5,33,1.0,1.0,,,2.0,2.0,3.0,,,,4.0,2.0,2.0,,2.0,,,1.0,,1.0,1.0,,,,,3.0,,2.0,1.0,1.0,2.0,2.0,4.0,,,,,,,,1.0,,1.0,,,,2,,2.0,,1.0,,4.0,13.0,1.0,0.5,1.0,,,,,,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,,0.25,,18.75,,0.5,0.18181818181818182,0.3333333333333333,,0.4,0.15384615384615385,,0.25,,,1.0,,0.3333333333333333,,0.25,1.0,1.0,,0.25,,,0.5,0.5,1.0,1.0,,,,,,,,,1.0,1.0,,,,0.3333333333333333,1.0,,,,0.25,,0.40407499999999996,0.5649,0.42463333333333336,0.2,0.2,0.4,0.8,10.5,,0.5,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,True,
1882,1610612746,Elton Brand,Elton Brand,1882,LAC,20376.0,340,26,630,629,223.0,259,86,1259,40.0,54.0,15.0,20.0,17.0,18.0,19.0,41.0,4.0,9.0,,,,,,,,,,63,104,,,47.0,173,670,17.0,23.0,,,51.0,21.0,32.0,,,21.0,63.0,68.0,58.0,,28.0,,,6.0,18.0,11.0,29.0,3.0,9.0,,9.0,69.0,8.0,34.0,8.0,52.0,70.0,42.0,112.0,3.0,11.0,8.0,3.0,14.0,,6.0,9.0,8.0,23.0,4.0,7.0,11.0,24,2.0,57.0,,26.0,7.0,63.0,223.0,4.0,0.5396825396825397,0.6938775510204082,,,,,,0.6057692307692307,0.7391304347826086,0.65625,0.6057692307692307,0.7391304347826086,0.65625,0.67578125,0.85,0.75,,0.057692307692307696,0.07407407407407407,20.43301759133965,0.6086956521739131,0.21224489795918366,0.1504424778761062,0.15384615384615385,0.12903225806451613,0.20202020202020202,0.14583333333333334,0.1111111111111111,0.12244897959183673,0.11538461538461539,0.19672131147540983,0.2619047619047619,0.18,0.20512820512820512,0.09090909090909091,0.5192307692307693,0.7407407407407407,0.8,0.475,0.3942307692307692,0.4634146341463415,0.48717948717948717,0.08653846153846154,0.4444444444444444,0.4444444444444444,0.75,,,,,,,,,0.8695652173913043,0.75,,,,0.5625,0.9444444444444444,,,,0.5192307692307693,,0.48801923076923076,0.5345190476190476,0.484065625,0.21487603305785125,0.21487603305785125,0.2947976878612717,0.36416184971098264,4.796153846153846,,0.353968253968254,10.0,2.0,2.0,9.0,16.0,8.0,5.0,16.0,9.0,0.04878048780487805,0.37037037037037035,0.25,0.5625,0.631578947368421,,17.0,8.0,,,,5.0,,,3.0,,2.0,,,0.2,,,,,,,,,,,,,,1.0,,,,True,
1894,1610612746,Corey Maggette,Corey Maggette,1894,LAC,11044.0,184,-32,353,352,78.0,91,42,705,12.0,21.0,2.0,5.0,1.0,2.0,4.0,8.0,8.0,16.0,3.0,6.0,2.0,2.0,10.0,,1.0,2.0,5.0,24,45,5.0,16.0,29.0,92,391,4.0,7.0,,1.0,11.0,6.0,11.0,3.0,7.0,4.0,25.0,28.0,20.0,15.0,6.0,10.0,2.0,4.0,8.0,2.0,10.0,,2.0,5.0,1.0,22.0,4.0,5.0,2.0,15.0,21.0,10.0,31.0,2.0,7.0,6.0,1.0,8.0,,4.0,5.0,4.0,13.0,,,8.0,20,4.0,37.0,,17.0,2.0,25.0,78.0,2.0,0.5833333333333334,0.6666666666666666,1.0,0.3125,,0.42857142857142855,0.3125,0.5333333333333333,0.5714285714285714,0.5454545454545454,0.5163934426229508,0.5,0.5833333333333334,0.5822784810126582,0.55,0.5952380952380952,0.26229508196721313,0.08888888888888889,0.09523809523809523,22.885572139303484,0.6153846153846154,0.1056338028169014,0.03731343283582089,0.07692307692307693,0.12121212121212122,0.10119047619047619,0.05389221556886228,0.020833333333333332,0.038461538461538464,0.125,0.058823529411764705,0.10909090909090909,0.1320754716981132,0.09523809523809523,0.08,0.3442622950819672,0.5714285714285714,0.631578947368421,0.5833333333333334,0.13114754098360656,0.5,0.6666666666666666,0.26229508196721313,0.5,0.5,0.75,0.09836065573770492,0.5,0.6,1.0,0.16393442622950818,0.2,0.2222222222222222,1.0,0.625,0.4,0.125,,,0.1111111111111111,0.5,0.1111111111111111,0.2777777777777778,0.4,0.6065573770491803,0.2,0.504267213114754,0.47028749999999997,0.4434361111111112,0.22077922077922077,0.2786885245901639,0.11956521739130435,0.2717391304347826,8.673333333333332,24.48125,0.22096317280453256,4.0,,,1.0,2.0,2.0,,2.0,,0.25,0.5,0.058823529411764705,,0.25,,3.0,2.0,,,,1.0,,,,1.0,,,,0.1111111111111111,,,,,1.0,2.0,1.0,0.125,0.1,0.125,,,0.5,,0.16666666666666666,,,True,
