EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFtPoints,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimAccuracy,FTOffRebounds,BlockedAtRim,BlockedLongMidRange,OffFTReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Clear Path Fouls,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,on,Corner3PctBlocked
1731,1610612764,Tyronn Lue,Tyronn Lue,1731,WAS,47171.0,786,-31.0,1403,1424,386,465,203,2827,24,48,3.0,7.0,13,11.0,57,49.0,107.0,4.0,8.0,1.0,1.0,1.0,2.0,30.0,74.0,4.0,9.0,6.0,23.0,84,212,34.0,82.0,24,294,1412,6,15,5.0,10.0,27,24.0,50,7.0,25.0,13.0,82.0,36,132,54.0,48.0,2.0,2.0,72.0,30.0,20,1.0,110.0,9.0,119.0,8.0,1.0,32.0,26.0,52.0,247.0,1.0,10,19.0,42,2.0,63,11,74,4.0,28,16,12.0,35,9.0,25.0,17,3.0,10.0,2.0,52,2.0,11,17.0,60,3.0,1.0,33,8.0,1.0,14,6.0,82.0,386,7.0,0.21428571428571427,0.21686746987951808,0.5294117647058824,0.4146341463414634,0.5,0.28,0.425,0.39622641509433965,0.4,0.48,0.45918367346938777,0.54,0.46,0.47875816993464054,0.54,0.4879518072289157,0.2789115646258503,0.012195121951219513,0.09433962264150944,0.1875,0.15789473684210525,0.018691588785046728,0.013513513513513514,21.68382798304058,0.6730769230769231,0.0392156862745098,0.06896551724137931,0.015360983102918587,0.12337662337662338,0.011627906976744186,0.0799475753604194,0.014925373134328358,0.01818181818181818,0.012396694214876033,0.016722408026755852,0.014084507042253521,0.03225806451612903,0.07981220657276995,0.07720588235294118,0.12280701754385964,0.125,0.02702702702702703,0.16326530612244897,0.5,0.6153846153846154,0.16666666666666666,0.19387755102040816,0.19298245614035087,0.22916666666666666,0.36394557823129253,0.45794392523364486,0.4666666666666667,0.2857142857142857,0.027210884353741496,0.5,0.5,0.75,0.25170068027210885,0.40540540540540543,0.410958904109589,0.5,0.12,0.04,1.0,1.0,0.36,0.4444444444444444,0.75,0.17333333333333334,0.5384615384615384,0.02666666666666667,0.5,0.30666666666666664,0.2608695652173913,0.4421768707482993,0.4166666666666667,0.44850429553264604,0.4838214285714286,0.441097972972973,0.04666666666666667,0.06422018348623854,0.09183673469387756,0.2789115646258503,11.766037735849057,26.22073170731707,0.2751247327156094,,,,,,,,,,,,,,,,,,,,,,,,,True,
1751,1610612764,Jahidi White,Jahidi White,1751,WAS,2490.0,42,-9.0,69,73,20,21,10,142,3,7,3.0,,1,,1,,,,,,,,,,,,,,,3,8,,,6,12,81,2,3,,,8,,1,,,,,2,4,,,4.0,,,,1,,,,,,,,,,,,6,,5,,5,6,11,1.0,3,2,1.0,2,,2.0,1,,,,3,1.0,1,4.0,6,,1.0,8,,,4,,,20,,0.3333333333333333,1.0,,,,,,0.375,0.6666666666666666,,0.375,0.6666666666666666,,0.5,0.8,,,,0.125,0.14285714285714285,,,,18.51851851851852,0.6666666666666666,,0.22727272727272727,0.1935483870967742,,,0.18518518518518517,0.16666666666666666,0.14285714285714285,0.25,0.1875,,0.3333333333333333,0.14285714285714285,0.25,,,0.25,0.875,0.42857142857142855,0.5,0.3333333333333333,0.125,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,0.875,,0.5454749999999999,0.668,0.4774,0.3333333333333333,0.3333333333333333,0.6666666666666666,,2.225,,0.2898550724637681,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,True,
1838,1610612764,Tyrone Nesby,Tyrone Nesby,1838,WAS,35307.0,588,-79.0,1057,1073,306,389,171,2130,25,40,17.0,10.0,16,12.0,34,31.0,81.0,1.0,4.0,,,1.0,1.0,5.0,19.0,1.0,2.0,1.0,4.0,68,155,6.0,23.0,25,179,1099,14,32,1.0,2.0,34,18.0,49,2.0,5.0,5.0,47.0,94,42,12.0,6.0,14.0,,19.0,5.0,11,,21.0,6.0,27.0,3.0,3.0,5.0,2.0,14.0,60.0,3.0,29,18.0,50,11.0,79,33,112,4.0,19,11,8.0,13,1.0,7.0,6,1.0,6.0,,19,4.0,8,18.0,48,4.0,3.0,37,3.0,2.0,18,1.0,47.0,306,11.0,0.6911764705882353,0.7704918032786885,0.6666666666666666,0.2608695652173913,0.5,0.4,0.2608695652173913,0.43870967741935485,0.4375,0.3673469387755102,0.43258426966292135,0.45588235294117646,0.3888888888888889,0.46134020618556704,0.4722222222222222,0.4051724137931034,0.12921348314606743,,0.07096774193548387,0.05,0.20588235294117646,0.024691358024691357,,16.87797147385103,0.6842105263157895,0.275,0.1182033096926714,0.05742574257425743,0.1935483870967742,0.03896103896103896,0.13178294573643412,0.054982817869415807,0.06097560975609756,0.06842105263157895,0.04721030042918455,0.045454545454545456,0.12941176470588237,0.08843537414965986,0.13612565445026178,0.234375,0.10344827586206896,0.043478260869565216,0.2247191011235955,0.625,0.6578947368421053,0.64,0.19101123595505617,0.35294117647058826,0.4444444444444444,0.4550561797752809,0.38271604938271603,0.3924050632911392,0.7419354838709677,0.02247191011235955,0.25,0.25,1.0,0.10674157303370786,0.2631578947368421,0.2631578947368421,0.6,0.5,,,,0.058823529411764705,0.5,,0.2962962962962963,0.625,0.018518518518518517,1.0,0.07407407407407407,0.25,0.3539325842696629,0.2631578947368421,0.4599185393258426,0.5197333333333333,0.48410555555555557,0.09326424870466321,0.10588235294117647,0.18994413407821228,0.26256983240223464,11.501935483870973,25.099999999999998,0.28949858088930935,12.0,3.0,8.0,3.0,8.0,4.0,0.5,0.7058823529411765,1.0,4.0,1.0,0.029411764705882353,0.6666666666666666,0.25,,,,,,,,,,,True,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,76000.0,1267,-57.0,2275,2292,642,807,344,4567,93,134,63.0,31.0,39,14.0,74,2.0,13.0,,,,,,,,,,,,,109,221,,,97,315,2329,43,72,,,127,36.0,56,,,30.0,102.0,118,100,,,72.0,,,,29,,24.0,5.0,29.0,3.0,2.0,4.0,9.0,11.0,63.0,13.0,129,37.0,127,15.0,179,143,322,9.0,21,17,4.0,18,2.0,7.0,32,2.0,11.0,4.0,50,9.0,9,69.0,158,14.0,16.0,160,11.0,,68,19.0,102.0,642,19.0,0.5412844036697247,0.8082191780821918,,,,,,0.49321266968325794,0.5972222222222222,0.6428571428571429,0.49321266968325794,0.5972222222222222,0.6428571428571429,0.5303030303030303,0.5990566037735849,0.6219512195121951,,,0.13122171945701358,0.11194029850746269,0.17567567567567569,0.07692307692307693,,12.791991101223582,0.36,0.19736842105263158,0.1334033613445378,0.1212406015037594,0.14741035856573706,0.08609271523178808,0.13632585203657524,0.1168724279835391,0.19230769230769232,0.1319796954314721,0.0860655737704918,0.08870967741935484,0.14210526315789473,0.14506172839506173,0.12100456621004566,0.1443850267379679,0.15625,0.1111111111111111,0.6063348416289592,0.6940298507462687,0.7815126050420168,0.5268817204301075,0.334841628959276,0.1891891891891892,0.22950819672131148,0.058823529411764705,0.15384615384615385,0.16666666666666666,1.0,,,,,,,,,0.875,,,,,,,0.6964285714285714,0.7948717948717948,,,,,0.6063348416289592,,0.49911945701357474,0.5542999999999999,0.5196821428571429,0.2446043165467626,0.2446043165467626,0.4031746031746032,0.3238095238095238,4.332126696832577,,0.2821978021978022,40.0,41.0,91.0,49.0,91.0,56.0,0.6153846153846154,0.6349206349206349,1.0,38.0,4.0,0.016129032258064516,0.5714285714285714,0.075,1.0,3.0,2.0,4.0,5.0,0.07407407407407407,,,,,True,
893,1610612764,Michael Jordan,Michael Jordan,893,WAS,38377.0,640,3.0,1149,1149,306,348,169,2298,30,43,6.0,7.0,10,44.0,123,96.0,231.0,,1.0,,,,1.0,3.0,14.0,,2.0,1.0,5.0,170,397,3.0,15.0,90,439,1175,12,32,,2.0,29,35.0,95,1.0,6.0,35.0,108.0,152,188,9.0,,4.0,,14.0,3.0,16,1.0,78.0,21.0,99.0,16.0,5.0,31.0,16.0,31.0,219.0,4.0,10,20.0,75,11.0,106,14,120,4.0,24,12,12.0,37,7.0,21.0,14,5.0,16.0,,51,3.0,13,15.0,32,,2.0,119,5.0,7.0,44,14.0,108.0,306,5.0,0.4470588235294118,0.4523809523809524,1.0,0.2,,0.16666666666666666,0.2,0.4282115869017632,0.375,0.3684210526315789,0.42354368932038833,0.35294117647058826,0.3613861386138614,0.46559139784946235,0.3815789473684211,0.4462809917355372,0.03640776699029126,0.06666666666666667,0.04030226700251889,0.09302325581395349,0.06504065040650407,0.017316017316017316,0.07142857142857142,38.25055596738325,0.7254901960784313,0.2972972972972973,0.15690376569037656,0.019011406844106463,0.15625,0.05128205128205128,0.15676567656765678,0.023178807947019868,0.037037037037037035,0.02127659574468085,0.011673151750972763,0.06451612903225806,0.09523809523809523,0.1320754716981132,0.19574468085106383,0.18556701030927836,0.06451612903225806,0.01809954751131222,0.10436893203883495,0.6976744186046512,0.7692307692307693,0.5,0.29854368932038833,0.35772357723577236,0.3826086956521739,0.5606796116504854,0.4155844155844156,0.42290748898678415,0.4166666666666667,0.0024271844660194173,,,,0.03398058252427184,0.21428571428571427,0.23076923076923078,1.0,0.17647058823529413,,,,0.058823529411764705,,,0.09900990099009901,0.7,0.009900990099009901,,0.04950495049504951,0.2,0.1407766990291262,0.21428571428571427,0.4117591019417477,0.4405683333333334,0.4022064356435643,0.0975609756097561,0.10091743119266056,0.06605922551252848,0.2460136674259681,13.31989924433249,25.780000000000005,0.26631853785900783,3.0,5.0,10.0,7.0,10.0,3.0,0.3,0.5,,1.0,2.0,,0.4772727272727273,,,,,,,,,,,,True,
93,1610612764,Hubert Davis,Hubert Davis,93,WAS,32161.0,536,-57.0,960,968,269,342,126,1928,7,12,2.0,,1,6.0,28,23.0,46.0,3.0,7.0,1.0,1.0,1.0,4.0,14.0,34.0,2.0,3.0,2.0,9.0,36,86,17.0,41.0,7,130,982,2,14,3.0,4.0,16,10.0,20,3.0,13.0,2.0,31.0,50,22,48.0,3.0,,,34.0,14.0,3,,40.0,5.0,45.0,4.0,1.0,7.0,11.0,22.0,95.0,,3,5.0,28,1.0,34,3,37,2.0,13,10,3.0,20,1.0,15.0,8,3.0,5.0,,28,1.0,4,9.0,27,3.0,4.0,7,,1.0,2,1.0,31.0,269,3.0,0.6944444444444444,0.6944444444444444,0.9411764705882353,0.4146341463414634,0.75,0.23076923076923078,0.4146341463414634,0.4186046511627907,0.14285714285714285,0.5,0.484251968503937,0.3611111111111111,0.4393939393939394,0.49615384615384617,0.39473684210526316,0.45588235294117646,0.3228346456692913,,0.03488372093023256,,0.03571428571428571,0.043478260869565216,,14.081996434937611,0.7142857142857143,0.02857142857142857,0.0665083135391924,0.0072992700729927005,0.045871559633027525,,0.062264150943396226,0.006160164271047228,0.013157894736842105,0.006211180124223602,0.005747126436781609,,0.0125,0.06711409395973154,0.08854166666666667,0.06329113924050633,,0.028169014084507043,0.09448818897637795,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.2204724409448819,0.21428571428571427,0.2222222222222222,0.36220472440944884,0.5,0.5227272727272727,0.782608695652174,0.05511811023622047,0.42857142857142855,0.42857142857142855,1.0,0.2677165354330709,0.4117647058823529,0.4117647058823529,0.9285714285714286,0.1111111111111111,0.05555555555555555,1.0,1.0,0.16666666666666666,0.6666666666666666,1.0,0.030303030303030304,,0.12121212121212122,0.25,0.2727272727272727,0.2222222222222222,0.41732283464566927,0.4117647058823529,0.4458862204724408,0.4029571428571428,0.4177181818181818,0.015503875968992248,0.022727272727272728,0.12307692307692308,0.23846153846153847,13.272093023255815,25.26585365853659,0.28020833333333334,,3.0,2.0,2.0,2.0,1.0,0.5,,,,,,0.5,,,,,,,,,,,,True,
1888,1610612764,Richard Hamilton,Richard Hamilton,1888,WAS,30643.0,511,4.0,916,925,292,375,128,1841,24,40,6.0,5.0,11,41.0,102,40.0,108.0,,1.0,,1.0,,,1.0,5.0,,1.0,,2.0,105,250,1.0,6.0,64,277,956,11,32,,2.0,28,33.0,74,,2.0,27.0,93.0,142,68,3.0,,4.0,,5.0,1.0,24,,30.0,4.0,34.0,3.0,1.0,15.0,4.0,11.0,72.0,1.0,19,12.0,25,,37,20,57,5.0,6,5,1.0,17,3.0,5.0,14,2.0,12.0,,31,5.0,11,10.0,36,2.0,8.0,73,3.0,8.0,21,13.0,93.0,292,5.0,0.6761904761904762,0.6893203883495146,1.0,0.16666666666666666,,,0.16666666666666666,0.42,0.34375,0.44594594594594594,0.416015625,0.3235294117647059,0.4342105263157895,0.4738675958188153,0.36486486486486486,0.5,0.0234375,,0.096,0.15,0.12745098039215685,0.046296296296296294,,29.691876750700278,0.5483870967741935,,0.06426735218508997,0.04439252336448598,0.10810810810810811,0.022727272727272728,0.074,0.0423728813559322,,0.05263157894736842,0.05238095238095238,0.027777777777777776,0.0125,0.058394160583941604,0.09302325581395349,0.1411764705882353,,0.04,0.15625,0.6,0.7058823529411765,0.6666666666666666,0.3984375,0.4019607843137255,0.4606741573033708,0.421875,0.37037037037037035,0.3883495145631068,0.8,0.00390625,,,,0.01953125,0.2,0.2,1.0,0.17647058823529413,0.029411764705882353,,,0.029411764705882353,,,0.14473684210526316,0.45454545454545453,,,0.02631578947368421,,0.1796875,0.2,0.4305767578124999,0.4465454545454545,0.4303999999999999,0.07664233576642336,0.07835820895522388,0.10108303249097472,0.33574007220216606,11.5396,25.633333333333336,0.31877729257641924,3.0,6.0,4.0,,5.0,2.0,0.4,0.5,,3.0,1.0,,0.5609756097560976,0.6666666666666666,1.0,,,,,,1.0,1.0,,,True,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,8176.0,136,6.0,253,248,57,77,39,501,6,13,6.0,1.0,2,8.0,21,2.0,4.0,,,,,,,,,,,,,16,38,,,6,38,231,4,7,,,11,2.0,7,,,2.0,6.0,22,10,,,6.0,,,,3,,,,,,,,,,,2.0,5,6.0,21,3.0,30,8,38,,2,2,,3,,1.0,5,1.0,2.0,,8,,1,8.0,16,3.0,4.0,8,2.0,,5,,6.0,57,2.0,0.6875,0.8461538461538461,,,,,,0.42105263157894735,0.5714285714285714,0.2857142857142857,0.42105263157894735,0.5714285714285714,0.2857142857142857,0.4634146341463415,0.6875,0.375,,,0.07894736842105263,0.15384615384615385,0.047619047619047616,,,16.387959866220733,0.375,0.375,0.19090909090909092,0.04132231404958678,0.21428571428571427,0.1111111111111111,0.1956521739130435,0.050359712230215826,0.045454545454545456,0.044444444444444446,0.037037037037037035,0.13333333333333333,0.2962962962962963,0.21212121212121213,0.12,0.2631578947368421,0.1111111111111111,,0.34210526315789475,0.46153846153846156,0.5454545454545454,0.3333333333333333,0.5526315789473685,0.38095238095238093,0.4,0.10526315789473684,0.5,0.5,1.0,,,,,,,,,0.8571428571428571,,,,,,,0.2857142857142857,0.5,,,,,0.34210526315789475,,0.4569578947368421,0.5834333333333334,0.41885714285714293,0.12195121951219512,0.12195121951219512,0.2894736842105263,0.15789473684210525,6.444736842105263,,0.22529644268774704,3.0,3.0,8.0,3.0,8.0,5.0,0.625,0.5,1.0,5.0,,0.16666666666666666,0.875,,,,,,,,,,,,True,
2042,1610612764,Courtney Alexander,Courtney Alexander,2042,WAS,19099.0,318,-6.0,578,581,171,211,86,1159,15,25,4.0,5.0,8,4.0,18,34.0,68.0,,,,,,,,3.0,,,,1.0,53,111,,3.0,24,130,607,9,13,,,19,14.0,32,,1.0,11.0,39.0,64,42,,,4.0,,3.0,,8,,18.0,2.0,20.0,1.0,1.0,4.0,7.0,7.0,42.0,1.0,9,5.0,21,,26,10,36,2.0,8,8,,5,1.0,5.0,4,,,,9,1.0,3,5.0,24,,3.0,28,,,10,4.0,39.0,171,5.0,0.6037735849056604,0.6274509803921569,,,,,,0.4774774774774775,0.6923076923076923,0.4375,0.4649122807017544,0.6923076923076923,0.42424242424242425,0.5078125,0.6785714285714286,0.5,0.02631578947368421,,0.07207207207207207,0.08,0.16666666666666666,0.04411764705882353,,20.029239766081872,0.5555555555555556,,0.0958904109589041,0.03202846975088968,0.07246376811594203,0.043478260869565216,0.09027777777777778,0.03289473684210526,,0.02631578947368421,0.05042016806722689,0.047619047619047616,0.07407407407407407,0.1,0.10588235294117647,0.06,0.10526315789473684,0.038461538461538464,0.21929824561403508,0.6,0.6521739130434783,0.5333333333333333,0.15789473684210525,0.2222222222222222,0.26666666666666666,0.5964912280701754,0.5,0.5230769230769231,0.6176470588235294,,,,,0.02631578947368421,,,,0.3076923076923077,,,,,,,0.24242424242424243,0.625,,,0.030303030303030304,,0.24561403508771928,,0.4445719298245614,0.4333153846153846,0.43592575757575763,0.08064516129032258,0.08264462809917356,0.14615384615384616,0.3,12.376576576576577,26.166666666666668,0.2958477508650519,3.0,1.0,2.0,1.0,2.0,1.0,0.5,0.75,,1.0,,,0.75,,,,,,,,,,,,True,
2198,1610612764,Kwame Brown,Kwame Brown,2198,WAS,15613.0,260,3.0,469,471,164,219,88,940,16,26,15.0,9.0,12,10.0,40,7.0,28.0,,,,,,,,,,,,,33,94,,,27,93,447,12,19,,,29,16.0,40,,,14.0,46.0,28,38,,,20.0,,,,9,,10.0,4.0,14.0,4.0,,8.0,,2.0,32.0,,24,10.0,42,5.0,57,24,81,2.0,3,2,1.0,2,,,3,,2.0,,5,1.0,2,12.0,25,2.0,1.0,42,2.0,,19,3.0,46.0,164,4.0,0.42424242424242425,0.6086956521739131,,,,,,0.35106382978723405,0.631578947368421,0.4,0.35106382978723405,0.631578947368421,0.4,0.40789473684210525,0.6590909090909091,0.46938775510204084,,,0.09574468085106383,0.11538461538461539,0.125,0.03571428571428571,,20.950704225352112,0.4,0.35714285714285715,0.1990521327014218,0.10212765957446808,0.2,,0.19923371647509577,0.09195402298850575,0.12244897959183673,0.08235294117647059,0.10891089108910891,,0.125,0.25,0.20202020202020202,0.1388888888888889,0.35714285714285715,0.038461538461538464,0.2765957446808511,0.6153846153846154,0.6956521739130435,0.3125,0.425531914893617,0.25,0.2857142857142857,0.2978723404255319,0.25,0.25925925925925924,0.5714285714285714,,,,,,,,,0.7894736842105263,,,,,,,0.3,0.75,,,,,0.2765957446808511,,0.4337808510638299,0.5539947368421052,0.4503499999999999,0.17117117117117117,0.17117117117117117,0.3118279569892473,0.4946236559139785,8.77872340425532,,0.34968017057569295,10.0,5.0,7.0,2.0,7.0,1.0,0.14285714285714285,0.6666666666666666,,5.0,,,0.5,0.1,,,,2.0,,,,,,,True,
