EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,ThreePtAssists,Arc3Assists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,OffFTReboundPct,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Corner3Assists,ShortMidRangeAssists,SelfOReb,Travels,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceArc3FGM,HeaveAttempts,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,on,Corner3PctBlocked,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,ThreePtShootingFoulsDrawnPct
1542,1610612760,Predrag Drobnjak,Predrag Drobnjak,1542,SEA,14875.0,248,-23,456,449,85.0,117,59.0,905,9.0,16.0,2.0,6.0,3.0,9.0,27.0,23.0,50.0,41,93,12.0,94,488,6.0,10.0,2.0,14.0,3.0,14.0,3.0,9.0,64,18.0,4.0,4.0,4.0,4.0,1.0,3.0,8.0,3.0,11.0,6.0,22.0,6.0,34.0,14.0,48,4.0,2.0,3.0,8.0,1.0,1.0,12.0,1.0,4.0,4.0,18.0,3.0,18.0,8.0,1.0,11.0,3.0,8.0,11.0,6.0,1.0,9.0,85.0,4.0,0.7804878048780488,0.8205128205128205,0.44086021505376344,0.6,0.21428571428571427,0.44086021505376344,0.6,0.21428571428571427,0.46078431372549017,0.5833333333333334,0.28125,0.043010752688172046,0.125,0.07407407407407407,21.797323135755256,0.3333333333333333,0.4,0.1375,0.06547619047619048,0.11764705882352941,0.058823529411764705,0.13270142180094788,0.0639269406392694,0.075,0.0784313725490196,0.05194805194805195,0.05263157894736842,0.07692307692307693,0.05263157894736842,0.2033898305084746,0.12698412698412698,0.11904761904761904,0.1111111111111111,0.5454545454545454,0.17204301075268819,0.5625,0.6428571428571429,0.4444444444444444,0.2903225806451613,0.3333333333333333,0.36,0.7777777777777778,0.5376344086021505,0.46,0.46,0.9130434782608695,0.6,0.3333333333333333,0.5,0.21428571428571427,0.17204301075268819,0.4001612903225807,0.39859999999999995,0.37484999999999996,0.07920792079207921,0.07920792079207921,0.14893617021276595,0.09574468085106383,12.450537634408603,0.18640350877192982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1609,1610612760,Art Long,Art Long,1609,SEA,8961.0,149,11,268,270,69.0,80,37.0,538,16.0,22.0,7.0,8.0,8.0,3.0,13.0,1.0,2.0,20,37,12.0,52,280,8.0,9.0,3.0,19.0,8.0,13.0,3.0,19.0,24,16.0,8.0,3.0,5.0,8.0,3.0,2.0,19.0,4.0,11.0,8.0,11.0,1.0,20.0,16.0,36,4.0,2.0,1.0,6.0,1.0,3.0,10.0,3.0,2.0,11.0,28.0,1.0,19.0,9.0,1.0,6.0,3.0,2.0,6.0,4.0,2.0,19.0,69.0,3.0,0.6,0.75,0.5405405405405406,0.8888888888888888,0.6153846153846154,0.5405405405405406,0.8888888888888888,0.6153846153846154,0.5652173913043478,0.8636363636363636,0.5588235294117647,0.08108108108108109,0.13636363636363635,,18.064516129032256,0.4,0.14285714285714285,0.11224489795918367,0.11578947368421053,0.26666666666666666,0.125,0.1484375,0.11811023622047244,0.15789473684210525,0.175,0.027777777777777776,0.12,0.14285714285714285,0.1111111111111111,0.2,0.04878048780487805,0.3181818181818182,0.125,0.6666666666666666,0.5945945945945946,0.7272727272727273,0.8421052631578947,0.5625,0.35135135135135137,0.23076923076923078,0.23076923076923078,0.6666666666666666,0.05405405405405406,0.5,0.5,1.0,0.8888888888888888,0.875,0.42857142857142855,0.6153846153846154,0.5945945945945946,0.48034054054054054,0.5090625,0.4718,0.2,0.2,0.36538461538461536,0.36538461538461536,4.078378378378378,0.2574626865671642,6.0,3.0,3.0,1.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,0.1111111111111111,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1740,1610612760,Rashard Lewis,Rashard Lewis,1740,SEA,16072.0,268,28,498,488,152.0,186,71.0,986,10.0,15.0,3.0,4.0,5.0,10.0,25.0,7.0,20.0,27,60,20.0,125,526,7.0,11.0,3.0,20.0,10.0,19.0,7.0,51.0,26,28.0,10.0,5.0,10.0,14.0,5.0,2.0,32.0,10.0,6.0,11.0,21.0,7.0,39.0,17.0,56,3.0,1.0,2.0,3.0,,1.0,6.0,,2.0,4.0,17.0,,22.0,8.0,3.0,1.0,,1.0,1.0,1.0,,51.0,152.0,4.0,0.48148148148148145,0.5909090909090909,0.45,0.6363636363636364,0.5263157894736842,0.5412371134020618,0.6538461538461539,0.7333333333333333,0.5787037037037037,0.6666666666666666,0.75,0.08333333333333333,0.13333333333333333,0.12,19.895287958115183,0.5,0.30434782608695654,0.13291139240506328,0.04,0.15714285714285714,0.13513513513513514,0.14035087719298245,0.07142857142857142,,0.05660377358490566,0.05084745762711865,0.16071428571428573,0.05555555555555555,0.021739130434782608,0.14893617021276595,0.2,0.12727272727272726,0.26666666666666666,1.0,0.15463917525773196,0.6666666666666666,0.7692307692307693,0.5,0.25773195876288657,0.4,0.45454545454545453,0.4,0.20618556701030927,0.35,0.35,0.5714285714285714,0.3076923076923077,0.75,,0.16666666666666666,0.5360824742268041,0.4633551546391752,0.47847,0.4537083333333333,0.0761904761904762,0.11764705882352941,0.16,0.408,9.396666666666667,0.30522088353413657,3.0,4.0,2.0,1.0,11.0,10.0,1.0,2.0,,,,0.0625,0.6,7.0,16.0,1.0,1.0,3.0,4.0,10.0,21.0,1.0,5.0,7.0,17.0,37.0,1.0,2.0,8.0,11.0,48.0,3.0,21.0,10.0,2.0,3.0,3.0,2.0,0.9411764705882353,0.4594594594594595,0.5,0.7272727272727273,0.4594594594594595,0.38144329896907214,0.0625,0.16494845360824742,0.4375,0.4375,0.8571428571428571,0.21649484536082475,0.47619047619047616,0.47619047619047616,1.0,0.07692307692307693,1.0,0.07692307692307693,0.13333333333333333,0.75,0.23333333333333334,0.7142857142857143,0.47619047619047616,24.432432432432428,,,,,,,,,,,,,True,,,,,,
1742,1610612760,Shammond Williams,Shammond Williams,1742,SEA,36162.0,603,2,1121,1101,310.0,376,151.0,2222,16.0,25.0,1.0,1.0,5.0,11.0,29.0,26.0,64.0,53,118,31.0,221,1185,3.0,10.0,2.0,17.0,14.0,30.0,23.0,57.0,30,76.0,2.0,8.0,68.0,83.0,27.0,28.0,181.0,6.0,8.0,15.0,32.0,,47.0,16.0,63,28.0,4.0,21.0,7.0,,7.0,35.0,5.0,7.0,10.0,35.0,,39.0,9.0,11.0,2.0,1.0,1.0,2.0,,,57.0,310.0,12.0,0.2830188679245283,0.28846153846153844,0.4491525423728814,0.3,0.4666666666666667,0.49222797927461137,0.5357142857142857,0.3695652173913043,0.523696682464455,0.5666666666666667,0.4830508474576271,0.06779661016949153,0.08,0.13793103448275862,19.03651903651904,0.8,,0.0851063829787234,0.021447721179624665,0.10416666666666667,0.04081632653061224,0.09038461538461538,0.026923076923076925,0.02247191011235955,0.007751937984496124,0.03225806451612903,0.037037037037037035,0.05128205128205128,0.11578947368421053,0.072,0.07692307692307693,0.10091743119266056,0.11428571428571428,,0.12953367875647667,0.64,0.6956521739130435,0.25,0.15025906735751296,0.3793103448275862,0.44,0.36363636363636365,0.3316062176165803,0.40625,0.41935483870967744,0.2692307692307692,0.07142857142857142,1.0,,0.10869565217391304,0.5181347150259067,0.4755486910994762,0.42041111111111107,0.4490874999999999,0.045,0.072,0.07692307692307693,0.2579185520361991,12.557627118644067,0.27653880463871544,4.0,15.0,10.0,2.0,21.0,15.0,6.0,,2.0,,,0.06060606060606061,0.8,,11.0,,1.0,,1.0,28.0,64.0,3.0,2.0,15.0,28.0,75.0,3.0,4.0,2.0,16.0,51.0,33.0,63.0,28.0,5.0,13.0,,2.0,0.6071428571428571,0.37333333333333335,0.75,0.125,0.3783783783783784,0.38860103626943004,,0.05699481865284974,,,,0.3316062176165803,0.4375,0.4375,0.6071428571428571,0.07142857142857142,,0.21428571428571427,0.021739130434782608,,0.32608695652173914,0.13333333333333333,0.4444444444444444,25.648000000000003,3.0,1.0,2.0,0.03125,1.0,1.0,,,,,,,True,,,,,,
2046,1610612760,Desmond Mason,Desmond Mason,2046,SEA,23925.0,399,-5,744,726,202.0,233,102.0,1470,18.0,29.0,6.0,8.0,14.0,9.0,20.0,29.0,59.0,56,108,30.0,151,778,11.0,22.0,2.0,24.0,17.0,30.0,13.0,50.0,72,40.0,14.0,5.0,6.0,15.0,4.0,2.0,39.0,7.0,13.0,8.0,22.0,7.0,37.0,21.0,58,6.0,,2.0,5.0,1.0,4.0,11.0,1.0,1.0,15.0,38.0,4.0,35.0,13.0,5.0,5.0,2.0,3.0,5.0,3.0,,50.0,202.0,6.0,0.6428571428571429,0.7346938775510204,0.5185185185185185,0.5,0.5666666666666667,0.4959016393442623,0.5,0.5606060606060606,0.5474452554744526,0.5217391304347826,0.625,0.046296296296296294,0.13793103448275862,,17.370892018779344,0.5454545454545454,0.2916666666666667,0.08695652173913043,0.05241935483870968,0.08333333333333333,0.0673076923076923,0.08595988538681948,0.056818181818181816,0.046153846153846156,0.07317073170731707,0.039603960396039604,0.06493506493506493,0.07407407407407407,0.05970149253731343,0.05333333333333334,0.12612612612612611,0.08333333333333333,0.08333333333333333,0.6,0.23770491803278687,0.6206896551724138,0.72,0.4444444444444444,0.16393442622950818,0.45,0.45,0.3333333333333333,0.48360655737704916,0.4915254237288136,0.5,0.8620689655172413,0.36363636363636365,0.75,0.16666666666666666,0.42424242424242425,0.3524590163934426,0.44504508196721304,0.48539999999999994,0.4694575757575758,0.09848484848484848,0.11016949152542373,0.15894039735099338,0.33112582781456956,12.14074074074074,0.271505376344086,10.0,9.0,4.0,1.0,8.0,5.0,3.0,,3.0,,,0.047619047619047616,0.7142857142857143,1.0,4.0,,,1.0,1.0,2.0,10.0,,,2.0,3.0,14.0,,,1.0,3.0,9.0,,10.0,2.0,5.0,,2.0,,1.0,0.21428571428571427,,0.3333333333333333,0.21428571428571427,0.11475409836065574,0.03571428571428571,0.03278688524590164,0.25,0.25,1.0,0.08196721311475409,0.2,0.2,1.0,,,,0.030303030303030304,1.0,0.06060606060606061,,0.2,24.657142857142862,,,2.0,0.01694915254237288,,,1.0,,,,,,True,,,,,,
699,1610612760,Brent Barry,Brent Barry,699,SEA,16411.0,274,-26,511,501,149.0,145,71.0,1012,12.0,18.0,3.0,4.0,3.0,4.0,6.0,3.0,7.0,19,31,19.0,93,554,3.0,4.0,2.0,14.0,3.0,5.0,7.0,25.0,20,18.0,2.0,2.0,21.0,28.0,14.0,3.0,63.0,1.0,2.0,11.0,18.0,2.0,31.0,3.0,34,6.0,6.0,6.0,9.0,1.0,,15.0,2.0,4.0,11.0,22.0,1.0,23.0,9.0,2.0,4.0,4.0,,4.0,2.0,,25.0,149.0,6.0,0.5263157894736842,0.5555555555555556,0.6129032258064516,0.75,0.6,0.5138888888888888,0.5,0.5294117647058824,0.5609756097560976,0.5384615384615384,0.5952380952380952,0.06451612903225806,0.1111111111111111,,16.468590831918508,0.4,0.11764705882352941,0.10975609756097561,0.011834319526627219,0.14864864864864866,0.013157894736842105,0.12184873949579832,0.012244897959183673,0.023809523809523808,,0.014285714285714285,0.016666666666666666,,0.0975609756097561,0.09615384615384616,0.1267605633802817,0.14285714285714285,0.16666666666666666,0.5,0.25,0.6666666666666666,0.75,0.5833333333333334,0.08333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.09722222222222222,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.17647058823529413,0.8194444444444444,0.5393415492957746,0.594975,0.5203625000000001,0.1125,0.23076923076923078,0.15053763440860216,0.26881720430107525,5.9387096774193555,0.29158512720156554,2.0,7.0,6.0,,12.0,10.0,2.0,1.0,1.0,,,,0.6666666666666666,6.0,10.0,1.0,2.0,2.0,3.0,6.0,31.0,6.0,2.0,9.0,12.0,41.0,2.0,8.0,4.0,12.0,33.0,3.0,31.0,6.0,1.0,4.0,,,0.9166666666666666,0.2926829268292683,0.25,0.3333333333333333,0.2926829268292683,0.5694444444444444,,0.1388888888888889,0.6,0.6,1.0,0.4305555555555556,0.1935483870967742,0.1935483870967742,0.8333333333333334,0.16666666666666666,0.5,0.5,0.17647058823529413,0.6666666666666666,0.5294117647058824,0.2222222222222222,0.1935483870967742,25.256097560975604,1.0,,2.0,,0.16666666666666666,1.0,,1.0,,,,,True,,,,,,
2209,1610612760,Vladimir Radmanovic,Vladimir Radmanovic,2209,SEA,11568.0,193,-6,363,355,84.0,115,45.0,718,10.0,18.0,3.0,3.0,2.0,2.0,6.0,7.0,11.0,19,35,5.0,79,370,4.0,5.0,2.0,13.0,6.0,8.0,,18.0,18,20.0,2.0,5.0,11.0,15.0,2.0,6.0,34.0,1.0,3.0,4.0,21.0,3.0,28.0,4.0,32,8.0,3.0,4.0,4.0,,4.0,12.0,,,7.0,17.0,1.0,9.0,5.0,,5.0,4.0,1.0,5.0,4.0,,18.0,84.0,2.0,0.47368421052631576,0.5,0.5428571428571428,0.8,0.75,0.5967741935483871,0.7857142857142857,0.9,0.5984848484848485,0.8125,0.8181818181818182,0.14285714285714285,0.2222222222222222,0.16666666666666666,19.070904645476773,0.6666666666666666,0.25,0.16153846153846155,0.02608695652173913,0.09523809523809523,0.018518518518518517,0.14534883720930233,0.023668639053254437,0.0625,,0.022222222222222223,0.02702702702702703,,0.23684210526315788,0.11627906976744186,0.14285714285714285,0.0967741935483871,0.09090909090909091,0.8,0.2903225806451613,0.5555555555555556,0.7142857142857143,0.4,0.0967741935483871,0.3333333333333333,0.4,,0.1774193548387097,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.42857142857142855,1.0,0.6666666666666666,0.2,0.7258064516129032,0.5069483870967741,0.5489,0.4201849999999999,0.07575757575757576,0.1282051282051282,0.16455696202531644,0.22784810126582278,7.185714285714286,0.23140495867768596,2.0,4.0,4.0,,8.0,7.0,1.0,1.0,1.0,,,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,9.0,23.0,1.0,1.0,1.0,12.0,27.0,1.0,2.0,2.0,2.0,36.0,,23.0,9.0,,3.0,,,1.0,0.4444444444444444,0.5,1.0,0.4444444444444444,0.43548387096774194,,0.06451612903225806,0.75,0.75,1.0,0.3709677419354839,0.391304347826087,0.391304347826087,1.0,0.14285714285714285,1.0,0.14285714285714285,0.1,1.0,0.1,1.0,0.391304347826087,24.662962962962965,,,,,,,,1.0,,,,,True,,,,,,
56,1610612760,Gary Payton,Gary Payton,56,SEA,19917.0,332,5,617,604,203.0,271,80.0,1221,34.0,55.0,1.0,4.0,20.0,18.0,43.0,11.0,32.0,63,130,27.0,180,668,1.0,10.0,,8.0,16.0,36.0,11.0,52.0,32,94.0,2.0,12.0,41.0,57.0,13.0,19.0,130.0,9.0,2.0,10.0,36.0,,46.0,11.0,57,13.0,2.0,10.0,10.0,,3.0,23.0,,10.0,9.0,29.0,4.0,36.0,12.0,6.0,2.0,2.0,,2.0,1.0,1.0,52.0,203.0,9.0,0.25396825396825395,0.25806451612903225,0.4846153846153846,0.1,0.4444444444444444,0.4636363636363636,0.23529411764705882,0.43617021276595747,0.4972067039106145,0.23529411764705882,0.4722222222222222,0.09230769230769231,0.14545454545454545,0.09302325581395349,28.49083215796897,0.5652173913043478,,0.17061611374407584,0.009950248756218905,0.1282051282051282,0.10344827586206896,0.15916955017301038,0.03819444444444445,0.019230769230769232,0.014285714285714285,,0.11290322580645161,0.08,0.08928571428571429,0.18055555555555555,0.21686746987951808,0.15254237288135594,0.05263157894736842,0.5,0.3333333333333333,0.6181818181818182,0.723404255319149,0.35294117647058826,0.2606060606060606,0.4186046511627907,0.46153846153846156,0.1111111111111111,0.19393939393939394,0.34375,0.34375,0.18181818181818182,0.23529411764705882,0.25,,0.425531914893617,0.5454545454545454,0.48032865853658535,0.48457,0.46121489361702134,0.06936416184971098,0.08695652173913043,0.044444444444444446,0.28888888888888886,7.150769230769231,0.32901134521880065,10.0,16.0,14.0,,19.0,11.0,8.0,1.0,4.0,,,,0.5,2.0,10.0,1.0,3.0,1.0,5.0,7.0,25.0,4.0,2.0,6.0,9.0,35.0,2.0,7.0,3.0,11.0,21.0,6.0,24.0,7.0,2.0,9.0,3.0,1.0,0.7777777777777778,0.2571428571428571,0.2857142857142857,0.2727272727272727,0.2647058823529412,0.21212121212121213,0.041666666666666664,0.06060606060606061,0.2,0.2,1.0,0.15151515151515152,0.28,0.2916666666666667,0.7142857142857143,0.17647058823529413,0.3333333333333333,0.23529411764705882,0.10638297872340426,0.2,0.1276595744680851,0.3333333333333333,0.2916666666666667,25.497142857142858,1.0,1.0,4.0,,0.25,1.0,,1.0,1.0,0.02857142857142857,0.04,,True,,,,,,
2071,1610612760,Olumide Oyedeji,Olumide Oyedeji,2071,SEA,7064.0,118,5,220,222,79.0,106,29.0,442,11.0,19.0,5.0,6.0,7.0,2.0,6.0,,,13,25,7.0,33,229,5.0,7.0,4.0,14.0,5.0,10.0,5.0,15.0,14,12.0,8.0,5.0,3.0,3.0,1.0,1.0,6.0,1.0,12.0,5.0,16.0,3.0,24.0,13.0,37,4.0,1.0,1.0,5.0,1.0,3.0,9.0,2.0,3.0,10.0,22.0,1.0,12.0,6.0,,1.0,,1.0,1.0,,1.0,15.0,79.0,7.0,0.5384615384615384,0.7777777777777778,0.52,0.7142857142857143,0.5,0.52,0.7142857142857143,0.5,0.532258064516129,0.7777777777777778,0.5769230769230769,0.2,0.21052631578947367,0.16666666666666666,15.503875968992247,0.4444444444444444,0.3333333333333333,0.2077922077922078,0.13636363636363635,0.1388888888888889,0.047619047619047616,0.18584070796460178,0.11926605504587157,0.15,0.1875,0.08333333333333333,,0.1111111111111111,0.25,0.25806451612903225,0.13333333333333333,0.11538461538461539,0.2,,0.76,0.5789473684210527,0.7333333333333333,0.45454545454545453,0.24,0.3333333333333333,0.4,1.0,,,,,0.8571428571428571,0.8333333333333334,,0.7,0.76,0.5382560000000001,0.5753714285714286,0.57509,0.1935483870967742,0.1935483870967742,0.42424242424242425,0.45454545454545453,1.9040000000000004,0.35909090909090907,4.0,,,,3.0,1.0,2.0,6.0,,,1.0,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2248,1610612760,Earl Watson,Earl Watson,2248,SEA,6497.0,108,10,217,212,77.0,85,25.0,429,6.0,10.0,,1.0,4.0,2.0,7.0,,4.0,8,21,7.0,29,217,,2.0,,,4.0,7.0,7.0,21.0,10,6.0,,4.0,6.0,12.0,1.0,3.0,30.0,,2.0,2.0,,,2.0,2.0,4,7.0,,6.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,4.0,,9.0,3.0,3.0,,,,,,,21.0,77.0,1.0,0.625,0.625,0.38095238095238093,,0.5714285714285714,0.4074074074074074,,0.7777777777777778,0.48333333333333334,,0.875,0.19047619047619047,0.1,0.2857142857142857,15.510204081632653,0.875,,,0.029850746268656716,0.07142857142857142,,0.022988505747126436,0.021739130434782608,0.058823529411764705,,0.034482758620689655,,,,,,0.047619047619047616,0.14285714285714285,,0.37037037037037035,0.6,0.6666666666666666,0.8333333333333334,0.25925925925925924,0.2857142857142857,0.4,,0.14814814814814814,,,,0.5,,,0.4444444444444444,0.5925925925925926,0.525775925925926,0.4946,0.59175,0.1111111111111111,0.14285714285714285,,0.7241379310344828,6.4523809523809526,0.3548387096774194,2.0,6.0,3.0,,6.0,4.0,2.0,,3.0,,,,0.5,,2.0,,,,,2.0,4.0,,2.0,2.0,2.0,6.0,,,2.0,2.0,6.0,,4.0,2.0,3.0,2.0,,,1.0,0.3333333333333333,,1.0,0.3333333333333333,0.2222222222222222,,0.07407407407407407,,,,0.14814814814814814,0.5,0.5,1.0,,,,,,0.2222222222222222,1.0,0.5,25.21666666666667,,,,0.25,,,,,,,,,True,,,,,,
