EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PtsUnassisted2s,PtsPutbacks,Loose Ball Fouls,BlockedShortMidRange,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Corner3Assists,AtRimAssists,LongMidRangeAssists,SelfOReb,LostBallSteals,BadPassTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceCorner3FGA,PenaltyCorner3FGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,ShortMidRangeAssists,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,HeaveAttempts,SecondChanceCorner3FGM,DefensiveGoaltends,SecondChanceCorner3Accuracy,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,on,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Blocked3s,BlockedCorner3,BlockedArc3,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,5741.0,96,34,181,180,84,82,19.0,361,9.0,11.0,1.0,4.0,5.0,3.0,5.0,2.0,2.0,14.0,18.0,6.0,34.0,172,2.0,3.0,4.0,6.0,8.0,4.0,16.0,28.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,3.0,16.0,1.0,20.0,5.0,25.0,2.0,2.0,2.0,1.0,4.0,2.0,6.0,1.0,2.0,8.0,14.0,3.0,11.0,5.0,4.0,7.0,1.0,3.0,5.0,4.0,1.0,5.0,4.0,16.0,84,2.0,1.0,1.0,0.7777777777777778,0.6666666666666666,0.75,0.7777777777777778,0.6666666666666666,0.75,0.7727272727272727,0.6666666666666666,0.7272727272727273,0.05555555555555555,0.09090909090909091,13.366336633663366,0.3333333333333333,0.5,0.3333333333333333,0.23529411764705882,0.043478260869565216,0.15,0.07142857142857142,0.2159090909090909,0.05405405405405406,0.058823529411764705,0.05555555555555555,0.08695652173913043,0.21428571428571427,0.3125,0.20833333333333334,0.25,0.8,0.6111111111111112,0.8181818181818182,0.9,1.0,0.2777777777777778,0.6,0.6,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.625,0.8,0.6111111111111112,0.5163944444444444,0.4437,0.5134125,0.05263157894736842,0.05263157894736842,0.11764705882352941,0.47058823529411764,4.277777777777778,0.46408839779005523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,1906.0,32,-16,58,60,24,25,7.0,118,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,9.0,,12.0,62,2.0,2.0,4.0,1.0,2.0,,2.0,8.0,,,,,,,3.0,,1.0,3.0,,4.0,3.0,7.0,,,,,,,,,,1.0,3.0,,1.0,,,,,,1.0,,,1.0,,2.0,24,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,,,13.636363636363635,,,,0.15789473684210525,0.13636363636363635,0.09090909090909091,,0.13333333333333333,0.1,,,,0.6666666666666666,0.14285714285714285,,,,0.1111111111111111,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5555555555555556,0.6,0.6,1.0,0.5,0.5,1.0,0.1111111111111111,0.4217888888888889,0.47825,0.47585,,,0.3333333333333333,0.16666666666666666,12.91111111111111,0.41379310344827586,1.0,4.0,4.0,1.0,1.0,0.375,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1533,1610612753,Anthony Johnson,Anthony Johnson,1533,ORL,2664.0,44,-14,81,81,17,13,7.0,162,5.0,5.0,,2.0,2.0,1.0,6.0,,,6.0,11.0,4.0,19.0,96,,,2.0,2.0,3.0,4.0,8.0,,,3.0,8.0,1.0,19.0,,1.0,,1.0,1.0,,2.0,1.0,3.0,2.0,1.0,2.0,,,1.0,2.0,,1.0,3.0,3.0,,4.0,,,6.0,3.0,,,,,,,8.0,17,,,,0.5454545454545454,,0.6666666666666666,0.5,,0.4,0.5277777777777778,1.0,0.5,,,22.727272727272727,1.0,,,0.034482758620689655,0.043478260869565216,0.125,,0.05405405405405406,0.027777777777777776,0.08333333333333333,,,0.1111111111111111,,,,,0.3333333333333333,1.0,1.0,,0.4,0.16666666666666666,0.16666666666666666,,,,,,,0.4,1.0,0.6,0.5010933333333333,,0.48488999999999993,0.16666666666666666,0.21428571428571427,0.10526315789473684,0.42105263157894735,5.0636363636363635,0.20987654320987653,,12.0,,,,,0.2,,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.26666666666666666,0.14285714285714285,0.2,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,0.2,0.2,23.950000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,19608.0,327,24,608,601,209,193,68.0,1209,5.0,12.0,1.0,1.0,3.0,2.0,4.0,3.0,15.0,10.0,31.0,13.0,96.0,619,,2.0,16.0,3.0,8.0,11.0,29.0,12.0,2.0,7.0,31.0,3.0,69.0,1.0,1.0,,3.0,13.0,1.0,17.0,2.0,19.0,8.0,5.0,3.0,,4.0,1.0,7.0,,2.0,10.0,26.0,2.0,10.0,,1.0,14.0,1.0,5.0,1.0,,,1.0,,29.0,209,4.0,0.6,0.6,0.3225806451612903,,0.375,0.5,0.9375,0.42857142857142855,0.5224719101123596,0.9375,0.5185185185185185,0.06451612903225806,0.16666666666666666,13.950073421439061,0.42857142857142855,0.08333333333333333,,0.0593607305936073,0.005649717514124294,0.041666666666666664,0.009174311926605505,0.054982817869415807,0.006993006993006993,0.014084507042253521,,,0.09090909090909091,0.03508771929824561,0.047058823529411764,0.058823529411764705,,0.14457831325301204,0.4166666666666667,0.5,0.6,0.04819277108433735,0.5,0.5,0.5,0.18072289156626506,0.2,0.2,0.6666666666666666,0.125,0.14285714285714285,0.3333333333333333,0.7710843373493976,0.5161379518072289,0.5164,0.4858190476190476,0.011904761904761904,0.03125,0.16666666666666666,0.3020833333333333,10.725806451612904,0.34375,,8.0,,,1.0,,,,5.0,11.0,3.0,41.0,10.0,21.0,52.0,1.0,13.0,60.0,41.0,24.0,4.0,10.0,6.0,,3.0,2.0,0.9523809523809523,0.40384615384615385,0.40384615384615385,0.6265060240963856,,0.13253012048192772,0.45454545454545453,0.45454545454545453,1.0,0.4939759036144578,0.14285714285714285,0.47619047619047616,25.046153846153842,1.0,1.0,16.0,5.0,5.0,3.0,5.0,6.0,4.0,3.0,16.0,8.0,3.0,4.0,0.8333333333333334,0.3076923076923077,0.03333333333333333,0.3902439024390244,0.3902439024390244,0.9375,0.125,0.625,1.0,1.0,0.3333333333333333,0.3,0.3902439024390244,,,,,,,,,,,,True,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,13890.0,232,28,434,426,127,111,44.0,860,13.0,19.0,,4.0,7.0,5.0,14.0,8.0,22.0,26.0,55.0,9.0,88.0,433,1.0,2.0,2.0,10.0,17.0,5.0,34.0,10.0,,15.0,28.0,8.0,71.0,1.0,,,6.0,13.0,1.0,20.0,1.0,21.0,7.0,2.0,5.0,6.0,12.0,1.0,17.0,1.0,6.0,9.0,20.0,3.0,16.0,,,14.0,7.0,,2.0,2.0,,2.0,1.0,34.0,127,,0.19230769230769232,0.19230769230769232,0.4727272727272727,0.5,0.5882352941176471,0.49375,0.5,0.6041666666666666,0.5057471264367817,0.5,0.6296296296296297,,,21.666666666666668,0.29411764705882354,0.1111111111111111,,0.08176100628930817,,0.1276595744680851,0.011764705882352941,0.09223300970873786,0.0049504950495049506,,,0.015873015873015872,0.07936507936507936,0.05555555555555555,0.1,0.17142857142857143,0.5,0.2375,0.6842105263157895,0.6842105263157895,0.3076923076923077,0.175,0.35714285714285715,0.35714285714285715,,0.275,0.36363636363636365,0.36363636363636365,0.125,,0.2916666666666667,0.5714285714285714,0.55,0.49115812499999995,0.45735000000000003,0.4668145833333334,0.08045977011494253,0.11290322580645161,0.022727272727272728,0.38636363636363635,9.861818181818183,0.2926267281105991,,42.0,,1.0,,,,,2.0,5.0,,20.0,7.0,9.0,25.0,,7.0,21.0,20.0,13.0,7.0,6.0,2.0,,5.0,4.0,0.7777777777777778,0.36,0.36,0.3125,,0.0625,0.4,0.4,1.0,0.25,,0.2916666666666667,24.592,,,7.0,,,3.0,,,3.0,6.0,7.0,5.0,,3.0,,0.42857142857142855,,0.35,0.35,0.7142857142857143,,,,,,0.42857142857142855,0.35,3.0,,,,,,,,,,,True,,,,,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,16996.0,283,41,525,518,160,129,56.0,1043,12.0,19.0,4.0,,2.0,23.0,38.0,9.0,18.0,44.0,75.0,25.0,173.0,526,7.0,13.0,18.0,12.0,21.0,13.0,61.0,50.0,3.0,7.0,20.0,4.0,47.0,5.0,9.0,,6.0,27.0,3.0,36.0,14.0,50.0,4.0,4.0,9.0,2.0,5.0,6.0,14.0,1.0,4.0,7.0,14.0,2.0,37.0,2.0,5.0,33.0,11.0,6.0,7.0,5.0,,7.0,4.0,61.0,160,6.0,0.5681818181818182,0.6410256410256411,0.5866666666666667,0.5384615384615384,0.5714285714285714,0.6271186440677966,0.53125,0.6666666666666666,0.6417910447761194,0.5294117647058824,0.6931818181818182,0.04,,25.25597269624573,0.6428571428571429,0.3333333333333333,,0.13989637305699482,0.06,0.09523809523809523,0.052083333333333336,0.12890625,0.056910569105691054,0.06666666666666667,0.023255813953488372,0.043478260869565216,0.08955223880597014,0.14,0.18421052631578946,0.08888888888888889,0.5714285714285714,0.16101694915254236,0.631578947368421,0.631578947368421,0.5,0.3220338983050847,0.6052631578947368,0.6571428571428571,0.5217391304347826,0.15254237288135594,0.5,0.5,0.7777777777777778,0.25,0.05555555555555555,,0.5254237288135594,0.4808372881355932,0.49084500000000003,0.458125,0.0859375,0.12941176470588237,0.10404624277456648,0.35260115606936415,9.106666666666667,0.3047619047619048,3.0,38.0,10.0,2.0,2.0,0.0851063829787234,0.1111111111111111,0.75,8.0,14.0,3.0,29.0,12.0,20.0,43.0,1.0,15.0,51.0,29.0,13.0,3.0,11.0,1.0,4.0,,3.0,0.85,0.46511627906976744,0.46511627906976744,0.3644067796610169,0.0784313725490196,0.11864406779661017,0.5714285714285714,0.5714285714285714,1.0,0.2457627118644068,0.08333333333333333,0.3333333333333333,24.7860465116279,1.0,3.0,12.0,1.0,2.0,5.0,1.0,3.0,8.0,9.0,12.0,1.0,1.0,,0.3333333333333333,0.5333333333333333,0.07407407407407407,0.41379310344827586,0.41379310344827586,0.75,0.0625,0.125,0.5,,1.0,0.4166666666666667,0.41379310344827586,,1.0,1.0,0.07894736842105263,,,,,,,,True,,,,,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,1648.0,27,4,48,48,15,17,10.0,96,1.0,2.0,,,,,1.0,,3.0,1.0,6.0,,5.0,47,,,,,1.0,,,2.0,,2.0,3.0,1.0,8.0,,,,2.0,,,2.0,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,15,,1.0,1.0,0.16666666666666666,,,0.25,,,0.25,,,,,18.965517241379313,1.0,,,,,0.25,,0.07407407407407407,,,,,,,,0.2857142857142857,,0.2,0.5,0.5,1.0,0.1,,,,0.3,,,,,,,0.6,0.5018166666666667,0.58785,0.4279,,,,,10.75,0.3125,,,,,,,,,1.0,2.0,,2.0,1.0,1.0,4.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,,,1.0,0.25,0.3333333333333333,0.4,,0.2,0.5,0.5,1.0,0.2,,0.5,28.725,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,True,,,,,,,,,,,,
1747,1610612753,Rafer Alston,Rafer Alston,1747,ORL,13538.0,226,18,422,416,137,135,48.0,838,5.0,22.0,1.0,1.0,6.0,10.0,18.0,4.0,12.0,19.0,52.0,8.0,76.0,418,,1.0,3.0,7.0,17.0,6.0,26.0,4.0,3.0,17.0,37.0,12.0,91.0,,,,4.0,14.0,,18.0,,18.0,9.0,3.0,5.0,4.0,5.0,1.0,10.0,,4.0,8.0,17.0,,20.0,1.0,1.0,12.0,5.0,2.0,,,,,,26.0,137,2.0,0.10526315789473684,0.10526315789473684,0.36538461538461536,,0.4117647058823529,0.3695652173913043,0.25,0.3225806451612903,0.3917525773195876,0.25,0.37142857142857144,0.057692307692307696,0.09090909090909091,22.478991596638657,0.5,,,0.09210526315789473,,0.07692307692307693,,0.08823529411764706,,,,,0.0784313725490196,0.04878048780487805,0.13333333333333333,0.05263157894736842,,0.2391304347826087,0.22727272727272727,0.25,0.2,0.1956521739130435,0.5555555555555556,0.5882352941176471,0.1,0.13043478260869565,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.1935483870967742,0.16666666666666666,0.6739130434782609,0.49563296703296705,0.49497,0.4515333333333334,0.05263157894736842,0.09090909090909091,0.039473684210526314,0.34210526315789475,7.709615384615384,0.3246445497630332,,34.0,,,,,0.14285714285714285,,,6.0,1.0,34.0,13.0,10.0,40.0,,14.0,24.0,33.0,20.0,5.0,12.0,4.0,,6.0,4.0,0.8,0.25,0.2564102564102564,0.43478260869565216,,0.06521739130434782,,,,0.3695652173913043,0.03225806451612903,0.41935483870967744,26.127500000000005,2.0,,10.0,1.0,3.0,2.0,1.0,5.0,2.0,6.0,10.0,4.0,,3.0,0.2,0.14285714285714285,,0.29411764705882354,0.29411764705882354,0.8,0.3333333333333333,0.5,0.3333333333333333,1.0,,0.15384615384615385,0.30303030303030304,1.0,,2.0,0.05555555555555555,1.0,,,,,,,True,,,,,,,,,,,,
2554,1610612753,Mickael Pietrus,Mickael Pietrus,2554,ORL,6445.0,107,-1,197,198,97,106,28.0,395,7.0,9.0,1.0,3.0,4.0,1.0,4.0,1.0,3.0,9.0,16.0,7.0,46.0,225,1.0,1.0,5.0,3.0,6.0,7.0,16.0,10.0,3.0,,1.0,,2.0,,4.0,,3.0,3.0,,6.0,4.0,10.0,4.0,4.0,3.0,,1.0,,4.0,,3.0,8.0,14.0,,8.0,,,11.0,4.0,2.0,3.0,2.0,,3.0,,16.0,97,2.0,0.5555555555555556,0.625,0.5625,1.0,0.5,0.5735294117647058,0.4166666666666667,0.34615384615384615,0.5897435897435898,0.35714285714285715,0.4444444444444444,0.1875,0.1111111111111111,18.94273127753304,0.75,,,0.046875,0.0625,0.11538461538461539,,0.06666666666666667,0.044444444444444446,0.08695652173913043,0.0625,,0.05263157894736842,,0.08333333333333333,0.0625,,0.2647058823529412,0.7777777777777778,0.875,0.5714285714285714,0.11764705882352941,0.25,0.5,1.0,0.08823529411764706,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.3076923076923077,0.75,0.7941176470588235,0.5550558823529412,0.5821416666666667,0.5821615384615384,0.10810810810810811,0.21052631578947367,0.10869565217391304,0.34782608695652173,5.8125,0.49238578680203043,1.0,8.0,2.0,,1.0,0.04,0.2,1.0,6.0,13.0,3.0,5.0,4.0,7.0,18.0,,7.0,15.0,5.0,1.0,,,,,,3.0,0.7142857142857143,0.3888888888888889,0.3888888888888889,0.5294117647058824,,0.38235294117647056,0.46153846153846156,0.46153846153846156,0.8333333333333334,0.14705882352941177,0.23076923076923078,0.3076923076923077,23.95555555555556,3.0,1.0,1.0,,2.0,,1.0,5.0,1.0,6.0,1.0,1.0,,2.0,0.2,0.14285714285714285,,0.2,0.2,,0.5,0.3333333333333333,,,0.3333333333333333,,0.2,,1.0,1.0,0.5,,1.0,1.0,0.3333333333333333,,,,True,,,,,,,,,,,,
1502,1610612753,Adonal Foyle,Adonal Foyle,1502,ORL,231.0,4,-3,9,9,9,9,,18,,,,,,,1.0,,,,1.0,,,11,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,9,,,,,,,,,,,,,,,22.22222222222222,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,,0.5,,,,,,,1.0,,,,,,,,,,,,0.3596,,0.3596,,,,,11.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
