EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,Fg2aBlocked,FG2APctBlocked,LongMidRangePctBlocked,Usage,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,DefensiveGoaltends,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted3s,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,AtRimFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,PtsUnassisted2s,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyArc3Frequency,PenaltyShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,ThreePtAssists,Arc3Assists,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Corner3Assists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,LiveBallTurnoverPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FtPoints,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,DefAtRimReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Fg3aBlocked,FTDefRebounds,Loose Ball Fouls Drawn,Offensive Fouls Drawn,RecoveredBlocks,Defensive 3 Seconds Violations,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,BlocksRecoveredPct,SecondChanceFtPoints,SecondChanceTurnovers,Loose Ball Fouls,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,3SecondViolations,Technical Free Throw Trips,Corner3PctBlocked
101144,1610612745,Von Wafer,Von Wafer,101144,HOU,144.0,2,-4,6,5,5,1,11,1.0,1.0,9,1.0,1.0,1.0,14.285714285714285,1.0,0.381,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,187.0,3,-4,7,7,7,2,14,,,11,,,,,,,,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200768,1610612745,Kyle Lowry,Kyle Lowry,200768,HOU,635.0,11,1,24,24,24,4,48,1.0,1.0,22,,,,17.857142857142854,0.2,0.44888000000000006,22.0,1.0,1.0,0.041666666666666664,1.0,2.0,1.0,2.0,2.0,4.0,6.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6,0.6,0.8,0.4,0.5,0.5,1.0,0.4,0.5,0.5,1.0,0.8,0.5,25.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200778,1610612745,James White,James White,200778,HOU,689.0,11,1,26,26,26,5,52,3.0,7.0,24,,,,32.25806451612903,0.3333333333333333,0.52145,11.071428571428571,1.0,1.0,0.038461538461538464,,1.0,1.0,1.0,1.0,2.0,7.0,,1.0,1.0,,,,,,,,,,0.5,0.5,0.3888888888888889,0.3888888888888889,0.2222222222222222,0.1111111111111111,,,,0.1111111111111111,1.0,1.0,,0.4444444444444444,1.0,24.35,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1,0.0625,0.25,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.8057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201166,1610612745,Aaron Brooks,Aaron Brooks,201166,HOU,144.0,2,-4,6,5,5,1,11,,1.0,9,,,,14.285714285714285,,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,1610612745,Brian Cook,Brian Cook,2567,HOU,599.0,10,5,22,23,23,5,45,1.0,3.0,17,,,,18.51851851851852,0.2,0.47736,9.4,1.0,1.0,0.045454545454545456,,,,2.0,,2.0,4.0,,2.0,,2.0,2.0,1.0,,4.0,,,,,,,0.4,0.4,0.4,,,,,0.4,,,,0.6,,25.950000000000003,1.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,2.0,5.0,,,,,0.5,0.5,0.6666666666666666,0.1111111111111111,0.14285714285714285,,,0.2,0.2,1.0,1.0,,,,,,0.3363,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,0.42857142857142855,0.2,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,0.4161,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201171,1610612745,Carl Landry,Carl Landry,201171,HOU,545.0,9,5,20,21,21,4,41,,4.0,15,1.0,0.25,,20.833333333333336,,0.5789500000000001,,1.0,1.0,0.05,,1.0,,,,1.0,6.0,,,,,1.0,,,3.0,,,,,,,0.6,0.6,0.2,0.2,,,,,,,,1.0,,23.6,4.0,3.0,,,,3.0,3.0,2.0,,1.0,2.0,3.0,,,,,0.3333333333333333,1.0,0.75,0.125,0.16666666666666666,,,0.8,,,,,,,,1.0,0.5246,3.0,,3.0,6.0,,4.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,,0.25,0.14285714285714285,,,,0.5,,0.75,1.0,0.3333333333333333,,0.7648,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,1610612745,Brent Barry,Brent Barry,699,HOU,502.0,8,5,19,19,19,3,38,,1.0,13,,,,13.636363636363637,,0.5216,,,,,,,,,,,2.0,,,,,1.0,,,3.0,1.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,2.0,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,0.16666666666666666,,,0.14285714285714285,,,0.3333333333333333,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101144,1610612745,Von Wafer,Von Wafer,101144,HOU,10698.0,178,-16,333,331,76,38,664,30.0,69.0,345,7.0,0.10144927536231885,0.06666666666666667,29.365079365079367,0.32967032967032966,0.4774956043956045,10.820289855072463,84.0,84.0,0.25225225225225223,2.0,3.0,7.0,19.0,9.0,22.0,106.0,24.0,19.0,7.0,6.0,9.0,2.0,2.0,21.0,2.0,1.0,,0.8888888888888888,0.4090909090909091,0.4090909090909091,0.47802197802197804,0.53,0.24175824175824176,0.03296703296703297,0.6666666666666666,0.6666666666666666,1.0,0.2087912087912088,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.45054945054945056,0.3684210526315789,25.13181818181818,19.0,1.0,9.0,20.0,11.0,30.0,5.0,24.0,3.0,,,12.0,,8.0,1.0,11.0,0.4,0.4,0.43478260869565216,,,,,0.2087912087912088,0.21978021978021978,0.45,0.45,0.3333333333333333,0.36666666666666664,0.39285714285714285,0.2727272727272727,0.1,0.4571642857142857,10.0,8.0,2.0,10.0,10.0,36.0,2.0,,3.0,9.0,12.0,0.4,0.5,0.5,0.07258064516129033,0.08823529411764706,,0.0759493670886076,,,0.0625,0.08888888888888889,0.07692307692307693,0.5263157894736842,0.7142857142857143,0.6,0.38095238095238093,0.4507952380952381,0.09433962264150944,,,2.0,5.0,11.0,23.0,,3.0,,1.0,,1.0,23.0,0.45454545454545453,0.4523809523809524,0.5,0.2631578947368421,,,,,0.09523809523809523,,0.2169811320754717,3.0,1.0,3.0,1.0,2.0,11.0,0.2727272727272727,False,1.0,2.0,1.0,2.0,1.0,3.0,2.0,19.0,2.0,5.0,3.0,4.0,1.0,1.0,2.0,1.0,4.0,4.0,19.0,22.0,3.0,10.0,1.0,1.0,1.0,2.0,1.0,0.4,0.3,0.06451612903225806,0.125,0.2,0.5,1.0,0.3,0.3333333333333333,1.0,0.09523809523809523,0.5,0.25,0.1111111111111111,0.13157894736842105,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,10212.0,170,7,305,305,58,44,610,,19.0,304,4.0,0.21052631578947367,,7.1022727272727275,,0.46995249999999994,3.857894736842106,75.0,75.0,0.2459016393442623,,,,2.0,,2.0,20.0,,1.0,,5.0,10.0,5.0,,25.0,13.0,9.0,,,,,0.47619047619047616,0.47619047619047616,0.09523809523809523,,,,,0.09523809523809523,,,,0.5714285714285714,,42.25,10.0,3.0,5.0,9.0,,10.0,5.0,12.0,,10.0,13.0,39.0,,3.0,,4.0,0.6,0.75,0.5263157894736842,0.0970873786407767,0.08609271523178808,0.07692307692307693,,0.47619047619047616,0.42857142857142855,0.5555555555555556,0.625,0.6,,,,0.6,0.537625,5.0,1.0,3.0,6.0,1.0,8.0,,3.0,10.0,15.0,26.0,0.6,0.6,0.6,0.13157894736842105,0.2564102564102564,0.0625,0.16339869281045752,0.12195121951219512,0.08333333333333333,0.10256410256410256,0.12195121951219512,0.36,0.5,0.7142857142857143,0.6,0.14285714285714285,0.43805000000000005,0.3,2.0,,2.0,3.0,6.0,6.0,4.0,5.0,5.0,2.0,,2.0,6.0,0.5,0.42857142857142855,0.42857142857142855,0.3,0.08695652173913043,0.05555555555555555,0.6666666666666666,,0.2857142857142857,,0.3,,4.0,1.0,,14.0,27.0,0.25,False,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,4.0,,,,,,2.0,3.0,,,,0.17647058823529413,0.07142857142857142,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.1111111111111111,0.5,0.09090909090909091,0.5,,,,,,,,,
