EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,PenaltyFG3A,Corner3Assists,AtRimAssists,LostBallTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,FTDefRebounds,LostBallSteals,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,OffThreePtRebounds,Loose Ball Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,NonHeaveArc3FGA,NonHeaveArc3FGM,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,BadPassOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,ShortMidRangePctBlocked,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PenaltyCorner3FGM,Offensive Fouls Drawn,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,on,StepOutOfBoundsTurnovers,RecoveredBlocks,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SelfOReb,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SelfORebPct,PtsUnassisted3s,3pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceTurnovers,BlockedShortMidRange,3SecondViolations
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,2677.0,45,13.0,85,81,25.0,24.0,10.0,166,3.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,9,1.0,1.0,7.0,18.0,86,1.0,1.0,1.0,6.0,8.0,2.0,6.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,12.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,5.0,7.0,1.0,4.0,8.0,25.0,1.0,0.25,0.25,1.0,1.0,1.0,0.4444444444444444,1.0,0.55,1.0,0.6923076923076923,1.0,0.1,0.2222222222222222,0.3333333333333333,16.666666666666668,0.6666666666666666,0.04,0.041666666666666664,0.14285714285714285,0.07692307692307693,0.029411764705882353,0.1111111111111111,0.14285714285714285,0.2,0.6,0.5,0.75,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.1,1.0,1.0,1.0,1.0,1.0,0.7,0.553555,0.4198,0.6429,0.3076923076923077,0.3333333333333333,0.4444444444444444,3.8333333333333335,24.7,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1889,1610612755,Andre Miller,Andre Miller,1889,PHI,2132.0,36,-1.0,70,64,24.0,25.0,9.0,134,8.0,10.0,2.0,3.0,2.0,2.0,,1.0,11.0,16,,1.0,6.0,28.0,79,,2.0,3.0,2.0,6.0,6.0,16.0,,1.0,1.0,2.0,3.0,1.0,,,8.0,,,4.0,4.0,,4.0,,,1.0,,,1.0,,1.0,3.0,,5.0,6.0,,2.0,6.0,24.0,1.0,0.2727272727272727,0.2727272727272727,,,,0.6875,0.6666666666666666,0.6470588235294118,0.5,0.7,0.6,0.058823529411764705,0.0625,0.1,26.582278481012658,1.0,0.19047619047619047,,,0.12121212121212122,,,0.2,,0.5882352941176471,0.8,0.8888888888888888,0.125,0.11764705882352941,1.0,1.0,0.058823529411764705,,,,0.75,0.6666666666666666,0.6470588235294118,0.5136735294117647,,0.5073375,0.10526315789473684,0.1111111111111111,0.21428571428571427,5.975,23.4,0.34285714285714286,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.4,0.5,0.23529411764705882,0.25,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,862.0,14,,29,28,12.0,14.0,4.0,57,2.0,2.0,1.0,1.0,1.0,1.0,,,4.0,4,,,,8.0,31,1.0,1.0,1.0,,2.0,2.0,6.0,,,,,,,,,,1.0,1.0,2.0,4.0,1.0,5.0,1.0,,1.0,1.0,1.0,2.0,,1.0,2.0,,,,,,2.0,12.0,1.0,0.25,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,18.75,0.5,0.2,0.14285714285714285,0.25,0.21428571428571427,0.09090909090909091,,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,,0.25,1.0,1.0,,,,,1.0,1.0,0.5,0.49115,0.5783,0.5566,,,0.25,6.95,,0.41379310344827586,1.0,1.0,,,,,,,,,0.2,,1.0,0.25,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2223,1610612755,Samuel Dalembert,Samuel Dalembert,2223,PHI,559.0,9,-11.0,19,18,15.0,14.0,2.0,37,1.0,1.0,1.0,1.0,,,,,1.0,1,,,,2.0,28,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,2.0,,,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,2.0,15.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,14.285714285714286,0.5,,,,,0.14285714285714285,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.5698,,0.5698,,,1.0,,,0.7894736842105263,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
923,1610612755,Donyell Marshall,Donyell Marshall,923,PHI,3017.0,50,5.0,98,91,33.0,31.0,11.0,189,1.0,2.0,,,,,1.0,2.0,2.0,5,4.0,11.0,,16.0,105,1.0,,,,6.0,2.0,2.0,12.0,,,,,,,,,,1.0,6.0,7.0,,7.0,1.0,,1.0,1.0,1.0,2.0,,4.0,9.0,1.0,1.0,,,,6.0,33.0,1.0,0.5,0.5,1.0,0.36363636363636365,0.36363636363636365,0.4,,0.5,0.75,0.5,0.75,0.6875,,,16.363636363636363,0.5,0.20689655172413793,,0.07142857142857142,0.16279069767441862,,,0.2222222222222222,0.1,0.125,0.5,0.5,1.0,,,,0.125,0.5,0.5,1.0,,,0.8125,0.467590625,0.49245,0.3857625,,,0.375,11.780000000000001,25.281818181818178,0.336734693877551,1.0,3.0,,4.0,,,,1.0,,,0.07692307692307693,0.42857142857142855,,0.1875,0.3333333333333333,0.3333333333333333,,,,1.0,,3.0,,,1.0,,0.75,0.75,,,0.5,,0.1875,,,,,3.0,9.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5625,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2501,1610612755,Reggie Evans,Reggie Evans,2501,PHI,582.0,10,2.0,18,19,4.0,6.0,4.0,37,,2.0,,,,,,,,2,,,2.0,2.0,16,1.0,,,2.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,4.0,1.0,5.0,,,,,,,,1.0,1.0,,3.0,2.0,,1.0,2.0,4.0,,,,,,,,,,,0.3333333333333333,1.0,,,,13.043478260869565,,0.25,0.1111111111111111,0.4,0.3333333333333333,0.09090909090909091,,,0.5,1.0,,,,,,,,,,,,,1.0,0.5443,0.5258,,0.3333333333333333,0.3333333333333333,1.0,,,0.2222222222222222,,,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,2495.0,42,6.0,81,74,30.0,24.0,8.0,155,3.0,5.0,2.0,2.0,,1.0,,,7.0,14,,6.0,7.0,21.0,86,4.0,3.0,4.0,2.0,8.0,,14.0,,2.0,6.0,3.0,9.0,,1.0,,21.0,,1.0,4.0,5.0,2.0,7.0,,,2.0,,2.0,4.0,1.0,,1.0,,8.0,11.0,,4.0,8.0,30.0,,,,,,,0.5,0.75,0.35,0.3333333333333333,0.42,0.36363636363636365,0.3,0.14285714285714285,0.2,31.86813186813187,0.5,0.16,,0.1,0.14285714285714285,0.06060606060606061,,,0.14285714285714285,0.25,0.6,0.75,,0.05,,,,,,,0.2222222222222222,1.0,0.55,0.41862105263157895,0.442025,0.3776125,0.2,0.2222222222222222,0.38095238095238093,11.5,32.266666666666666,0.37037037037037035,4.0,8.0,,5.0,3.0,5.0,2.0,1.0,,,0.2727272727272727,0.16666666666666666,,0.4,0.5,0.5,,,1.0,1.0,2.0,4.0,,,,0.5,0.5,0.5,,,0.25,1.0,0.19047619047619047,2.0,,0.16666666666666666,0.25,,6.0,,,,5.0,,,,5.0,,,,,,,,0.3,,,,,,,0.5555555555555556,,,1.0,1.0,1.0,1.0,1.0,0.125,0.14285714285714285,,,,,,,True,,,,,,,,,,,,,,,,,,,,
689,1610612755,Theo Ratliff,Theo Ratliff,689,PHI,1145.0,19,17.0,34,33,2.0,3.0,3.0,67,2.0,2.0,,,,,,,2.0,2,,,1.0,5.0,35,,,,,,4.0,,,,,,,,,,,2.0,2.0,,2.0,2.0,4.0,1.0,,,,,,,1.0,4.0,,1.0,2.0,,1.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,0.8333333333333334,,,,,8.108108108108109,,,0.2857142857142857,0.25,0.11764705882352941,0.2222222222222222,,,0.4,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,0.5528500000000001,,,0.3333333333333333,0.3333333333333333,,,,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,0.5,,0.5,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,
2767,1610612755,Royal Ivey,Royal Ivey,2767,PHI,933.0,16,10.0,32,29,10.0,6.0,1.0,61,,1.0,,,,1.0,2.0,3.0,,3,2.0,4.0,2.0,8.0,26,,,1.0,2.0,5.0,,,6.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,2.0,2.0,,,5.0,10.0,,,,1.0,0.5,0.5,,,0.42857142857142855,0.75,0.5,0.8333333333333334,0.5714285714285714,0.3333333333333333,,23.52941176470588,,0.125,,,0.09090909090909091,,,0.25,,0.14285714285714285,,,,0.14285714285714285,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,,,0.7142857142857143,0.5010071428571428,,0.464875,,,0.625,7.7,24.4,0.3125,,1.0,1.0,1.0,,,,,1.0,1.0,,,,0.14285714285714285,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,0.14285714285714285,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,
201578,1610612755,Marreese Speights,Marreese Speights,201578,PHI,184.0,3,-5.0,6,5,,,,11,,,,,,,,,1.0,1,,,,2.0,9,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,16.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,0.4219,,,,,,20.4,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
