EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,LongMidRangeFGA,FG2A,PenaltyFG2A,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Usage,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FG3APct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,Points,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,BadPassTurnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,FtPoints,PenaltyFtPoints,Corner3Assists,LongMidRangeAssists,LostBallSteals,NonShootingPenaltyNonTakeFouls,LongMidRangePctAssisted,ShortMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,FTOffRebounds,Loose Ball Fouls Drawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,PtsUnassisted3s,Travels,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,LongMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,ShortMidRangeAssists,Fg3aBlocked,Blocked3s,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,184.0,3,-2,5,5,5,5,1,10,4,1.0,1.0,1.0,2.0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200821,1610612748,Yakhouba Diawara,Yakhouba Diawara,200821,MIA,184.0,3,-2,5,5,5,5,1,10,4,,,,,5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,33.333333333333336,1.0,0.2992,0.2992,0.5,0.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,184.0,3,-2,5,5,5,5,1,10,4,,,,,5,1.0,,,,,,,33.333333333333336,,0.3999,0.3999,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,184.0,3,-2,5,5,5,5,1,10,4,,,,,5,1.0,,1.0,1.0,,,,33.333333333333336,,0.5958,0.5958,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,184.0,3,-2,5,5,5,5,1,10,4,,,,,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200081,1610612748,Jamario Moon,Jamario Moon,200081,MIA,2388.0,40,-5,75,75,19,20,6,150,77,,1.0,,3.0,19,0.25333333333333335,2.0,3.0,2.0,2.0,2.0,1.0,9.876543209876543,0.4,0.484,0.45995,0.16666666666666666,0.25,12.966666666666667,,,2.0,,,,1.0,2.0,,0.4,,,0.6,24.25,1.0,1.0,1.0,1.0,3.0,12.0,2.0,4.0,,2.0,1.0,6.0,3.0,9.0,1.0,,,4.0,,,1.0,1.0,1.2,1.0,1.0,1.0,0.5,0.03225806451612903,0.09090909090909091,0.11627906976744186,0.1,0.0625,,0.2,1.0,1.0,,0.5,1.0,0.3333333333333333,False,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.125,0.2,0.5,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.5946,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,1275.0,21,13,38,37,25,19,1,75,29,3.0,4.0,2.0,9.0,25,0.6578947368421053,5.0,6.0,4.0,3.0,2.0,1.0,25.64102564102564,0.7142857142857143,0.45195714285714284,0.46705,0.125,0.14285714285714285,16.7,1.0,,1.0,,1.0,,,2.0,2.0,0.14285714285714285,0.14285714285714285,,0.2857142857142857,25.8,1.0,1.0,1.0,1.0,3.0,8.0,3.0,8.0,4.0,,,1.0,,1.0,2.0,,,8.0,0.6666666666666666,0.6666666666666666,0.5,0.75,0.42857142857142855,0.75,0.5,0.8,1.0,,,0.047619047619047616,,,,0.14285714285714285,1.0,1.0,,0.25,1.0,1.0,False,,,2.0,,,,,,,2.0,,,1.0,,,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,0.16666666666666666,,,,,,1.0,,0.4,0.4,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,9465.0,158,-15,276,279,103,99,31,555,298,2.0,4.0,1.0,10.0,103,0.37318840579710144,7.0,12.0,3.0,2.0,2.0,,14.743589743589743,0.17073170731707318,0.50921,0.50125,,,13.133333333333333,25.0,5.0,29.0,6.0,24.0,,4.0,5.0,2.0,0.7073170731707317,0.6097560975609756,0.5555555555555556,0.7804878048780488,25.74827586206896,2.0,3.0,1.0,1.0,4.0,37.0,2.0,12.0,6.0,3.0,10.0,14.0,3.0,17.0,1.0,,,12.0,0.75,0.75,0.3333333333333333,0.6666666666666666,0.4268292682926829,0.5555555555555556,0.42857142857142855,0.55,0.2,0.09900990099009901,0.03571428571428571,0.0851063829787234,0.023255813953488372,0.07142857142857142,0.05,0.07317073170731707,0.6666666666666666,1.0,0.5,0.1111111111111111,1.0,0.32432432432432434,False,,,2.0,,4.0,9.0,,,6.0,2.0,27.0,,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,10.0,18.0,1.0,,,,,1.0,0.3103448275862069,0.32142857142857145,,0.75,0.75,0.14285714285714285,0.05,,,,0.11764705882352941,0.041666666666666664,0.0625,,0.2857142857142857,0.2857142857142857,0.0975609756097561,,,,,,0.60505,0.16216216216216217,2.0,2.0,,1.0,1.0,3.0,1.0,2.0,1.0,9.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.14814814814814814,0.038461538461538464,0.04878048780487805,0.36,0.36,1.0,1.0,0.5,1.0,0.1111111111111111,0.4,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,5295.0,88,27,149,150,55,37,19,299,130,2.0,2.0,,4.0,55,0.3691275167785235,,5.0,2.0,3.0,2.0,,4.166666666666667,,0.49298000000000003,0.48419999999999996,,,3.5799999999999996,,,,,,,,1.0,1.0,,,,0.6,,3.0,3.0,1.0,1.0,4.0,10.0,2.0,6.0,4.0,4.0,6.0,10.0,9.0,19.0,1.0,1.0,1.0,6.0,0.5,0.6666666666666666,0.8,1.0,0.8,1.0,0.8333333333333334,1.0,1.0,0.09523809523809523,0.08163265306122448,0.0963855421686747,0.10810810810810811,0.03333333333333333,0.125,0.6,1.0,1.0,0.6666666666666666,0.5,1.0,0.6,False,1.0,1.0,,,,,2.0,2.0,4.0,4.0,,2.0,,,4.0,2.0,2.0,,,,5.0,9.0,,7.0,,7.0,2.0,,,,1.0,1.0,1.0,0.3333333333333333,0.1,0.16,0.14285714285714285,,0.058823529411764705,0.08333333333333333,0.125,0.2857142857142857,,,,,,,0.5,1.0,0.495,0.4,2.0,2.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,0.09090909090909091,,0.4,,,,,,,,,,1.0,1.0,1.0,7.0,1.0,1.0,0.16666666666666666,0.19047619047619047,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
201563,1610612748,Michael Beasley,Michael Beasley,201563,MIA,10702.0,178,-16,311,312,107,107,40,623,331,1.0,7.0,1.0,20.0,107,0.3440514469453376,38.0,75.0,24.0,14.0,17.0,8.0,29.88826815642458,0.4318181818181818,0.4508170454545455,0.44214499999999995,0.08421052631578947,0.0975609756097561,11.545333333333332,6.0,3.0,13.0,6.0,6.0,1.0,4.0,11.0,3.0,0.14772727272727273,0.06818181818181818,0.1,0.4431818181818182,24.184615384615388,16.0,26.0,3.0,10.0,30.0,85.0,8.0,30.0,20.0,5.0,23.0,41.0,10.0,51.0,7.0,6.0,,30.0,0.3333333333333333,0.38461538461538464,0.4,0.3333333333333333,0.4090909090909091,0.4166666666666667,0.4427083333333333,0.45454545454545453,0.6363636363636364,0.21296296296296297,0.046296296296296294,0.22666666666666666,0.0625,0.01818181818181818,0.18604651162790697,0.29545454545454547,0.6153846153846154,0.7619047619047619,0.0625,0.3333333333333333,0.3,0.35294117647058826,False,5.0,7.0,12.0,2.0,7.0,4.0,5.0,8.0,20.0,40.0,9.0,8.0,6.0,5.0,5.0,11.0,7.0,2.0,1.0,1.0,9.0,14.0,1.0,7.0,1.0,7.0,6.0,0.75,0.3076923076923077,0.3076923076923077,0.625,0.8636363636363636,0.7692307692307693,0.4117647058823529,0.2619047619047619,0.09615384615384616,0.07692307692307693,0.3,0.17647058823529413,0.24,0.29411764705882354,0.8571428571428571,0.3157894736842105,0.32432432432432434,0.07954545454545454,0.2857142857142857,0.2857142857142857,0.5,0.6363636363636364,0.7142857142857143,0.507625,0.23529411764705882,13.0,5.0,1.0,,1.0,,0.6666666666666666,11.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,2.0,7.0,4.0,1.0,,1.0,,,1.0,1.0,0.5,0.09333333333333334,0.19230769230769232,0.2903225806451613,0.08888888888888889,0.125,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,1.0,1.0,0.1,0.6666666666666666,0.3333333333333333,2.0,,1.0,6.0,1.0,,0.07407407407407407,0.047619047619047616,0.18181818181818182,0.2,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.09090909090909091,0.02631578947368421,0.5,0.09090909090909091,1.0,0.3333333333333333,,,,,,,,,,,,
