EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Blocked2s,BlockedAtRim,Blocks,Corner3FGA,PenaltyCorner3FGA,PenaltyFG3A,FTDefRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,DefFTReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,PenaltyCorner3Frequency,OffThreePtRebounds,Loose Ball Fouls,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,StepOutOfBoundsTurnovers,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,PtsPutbacks,LongMidRangePctBlocked,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3FGA,Travels,ShortMidRangePctBlocked,PenaltyArc3Frequency,on,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,ShortMidRangeAssists,SecondChanceFg3Pct,DefCorner3ReboundPct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,Technical Free Throw Trips,Loose Ball Fouls Drawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,ShortMidRangePctAssisted,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,5137.0,86.0,-52.0,157,154.0,27.0,24.0,12,311,7.0,11.0,1.0,1.0,2.0,4.0,7.0,2.0,8.0,2.0,6.0,1.0,13.0,26.0,2.0,6.0,5.0,37.0,201.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,24.0,3.0,3.0,6.0,2.0,2.0,16.0,10.0,26.0,6.0,4.0,8.0,8.0,62.0,3.0,4.0,1.0,5.0,3.0,8.0,1.0,3.0,1.0,2.0,8.0,2.0,5.0,2.0,3.0,10.0,3.0,1.0,2.0,16.0,3.0,5.0,1.0,2.0,1.0,4.0,27.0,1.0,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5441176470588235,0.5,0.5,0.1875,0.07692307692307693,0.18181818181818182,25.88235294117647,0.8,0.0196078431372549,0.05357142857142857,0.3076923076923077,0.078125,0.04225352112676056,0.06666666666666667,0.07142857142857142,0.037037037037037035,0.04,0.3076923076923077,0.06666666666666667,0.34375,0.6363636363636364,0.7777777777777778,0.14285714285714285,0.21875,0.5714285714285714,0.5714285714285714,0.25,0.25,0.25,0.1875,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.53125,0.3333333333333333,0.49117968749999996,0.4880166666666667,0.5232666666666667,0.06060606060606061,0.07407407407407407,0.10810810810810811,0.10810810810810811,8.21923076923077,25.849999999999998,0.17197452229299362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1498,1610612740,Antonio Daniels,Antonio Daniels,1498,NOH,865.0,14.0,-8.0,26,27.0,6.0,,5,53,,1.0,,,,,1.0,,2.0,1.0,2.0,,,4.0,1.0,2.0,,3.0,33.0,,,,,,,,,,,,3.0,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,6.0,,,,1.0,0.5,0.5,,,,0.25,,,0.25,,,0.3333333333333333,0.25,1.0,19.35483870967742,,,,,,,,,,,,,0.16666666666666666,,,,0.16666666666666666,,,0.3333333333333333,,,0.3333333333333333,0.5,0.5,1.0,,,,,0.5,0.5,0.46773333333333333,,,,,,,11.0,24.4,0.23076923076923078,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1899,1610612740,James Posey,James Posey,1899,NOH,1730.0,29.0,-14.0,53,54.0,21.0,19.0,5,107,2.0,3.0,,,,,1.0,,1.0,,2.0,,2.0,5.0,,4.0,5.0,9.0,52.0,,,,,,,,5.0,5.0,,4.0,,,2.0,,1.0,,,,,,,,,,,8.0,9.0,,9.0,,2.0,1.0,1.0,,,,1.0,,1.0,,,,5.0,1.0,6.0,,3.0,,5.0,21.0,,,,,,,0.4,,,0.2222222222222222,,,0.375,,0.5,0.4444444444444444,0.2,0.3333333333333333,22.413793103448278,,0.4444444444444444,,,0.3076923076923077,,,,,0.6666666666666666,,,0.3333333333333333,0.6666666666666666,1.0,,0.1111111111111111,,,0.1111111111111111,,,0.2222222222222222,,,,,,,,0.7777777777777778,,0.5269555555555556,,0.607425,0.25,0.375,,0.5555555555555556,5.819999999999999,23.849999999999998,0.39622641509433965,,,,2.0,2.0,2.0,1.0,1.0,1.0,0.2,0.4,0.2222222222222222,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2199,1610612740,Tyson Chandler,Tyson Chandler,2199,NOH,5613.0,94.0,-63.0,171,169.0,27.0,24.0,16,340,6.0,10.0,2.0,1.0,1.0,,2.0,,,,,,6.0,12.0,,,3.0,15.0,220.0,,2.0,,1.0,1.0,1.0,1.0,2.0,4.0,12.0,,,,,,,2.0,,2.0,,,1.0,1.0,4.0,6.0,2.0,10.0,13.0,8.0,21.0,2.0,2.0,2.0,,3.0,,3.0,5.0,,8.0,1.0,8.0,17.0,9.0,2.0,6.0,,2.0,1.0,4.0,27.0,1.0,1.0,1.0,,,,0.5,,1.0,0.5,,1.0,0.5,0.125,1.0,,,,12.23404255319149,0.375,0.1694915254237288,0.09523809523809523,0.15384615384615385,0.16666666666666666,0.0975609756097561,0.16666666666666666,0.0625,0.06896551724137931,0.1724137931034483,0.15384615384615385,0.3333333333333333,0.8333333333333334,0.6,0.6,1.0,0.16666666666666666,,,,,,,,,,1.0,,1.0,1.0,0.8333333333333334,,0.5551916666666666,0.5891,0.6206,0.14285714285714285,0.14285714285714285,0.06666666666666667,0.26666666666666666,1.0666666666666667,,0.15789473684210525,1.0,,1.0,,,,1.0,,2.0,0.14285714285714285,0.07692307692307693,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.10526315789473684,0.07142857142857142,0.2,0.23529411764705882,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2446,1610612740,Rasual Butler,Rasual Butler,2446,NOH,4384.0,73.0,-52.0,133,132.0,13.0,9.0,11,265,1.0,1.0,,1.0,1.0,,,,2.0,1.0,2.0,,1.0,3.0,5.0,6.0,4.0,21.0,177.0,,,,,,1.0,1.0,2.0,7.0,2.0,,12.0,3.0,2.0,1.0,,,,,,,,,,,1.0,5.0,7.0,,7.0,,,,,1.0,,,2.0,1.0,3.0,,3.0,9.0,3.0,,4.0,,2.0,,7.0,13.0,,1.0,1.0,0.8,0.8333333333333334,0.8333333333333334,0.3333333333333333,,1.0,0.9444444444444444,,1.25,0.9545454545454546,,1.1666666666666667,0.6666666666666666,,,9.589041095890412,0.3333333333333333,0.1111111111111111,,0.09090909090909091,0.10714285714285714,,,,,0.13043478260869565,0.09090909090909091,,0.1111111111111111,1.0,1.0,1.0,,,,0.2222222222222222,,,0.2222222222222222,0.5,0.5,,,,0.5,1.0,0.7777777777777778,0.5,0.5587,,0.673125,0.18181818181818182,0.4,,0.3333333333333333,12.466666666666667,23.95,0.09774436090225563,3.0,3.0,3.0,4.0,1.0,1.0,1.0,,,0.2,0.08333333333333333,0.4444444444444444,0.5,,,1.0,,1.0,,,,1.0,,,,0.1,0.3333333333333333,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
2561,1610612740,David West,David West,2561,NOH,4781.0,80.0,-51.0,145,144.0,21.0,23.0,10,289,3.0,9.0,2.0,1.0,2.0,2.0,7.0,8.0,24.0,,,,13.0,40.0,,,5.0,31.0,193.0,2.0,5.0,,,4.0,1.0,4.0,,2.0,18.0,8.0,,,,,1.0,2.0,1.0,3.0,,1.0,2.0,,7.0,3.0,2.0,10.0,14.0,3.0,17.0,2.0,2.0,1.0,1.0,3.0,,3.0,2.0,,5.0,1.0,5.0,7.0,6.0,,6.0,,3.0,,2.0,21.0,,0.6923076923076923,0.8181818181818182,,,,0.325,0.4,0.25,0.325,0.4,0.25,0.36046511627906974,0.4,0.25,,0.025,,30.769230769230766,0.6,0.20833333333333334,0.05660377358490566,0.18181818181818182,0.2033898305084746,0.046153846153846156,0.14285714285714285,,0.038461538461538464,0.08333333333333333,0.18181818181818182,0.07692307692307693,0.225,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.175,0.2857142857142857,0.2857142857142857,0.6,0.3333333333333333,0.34782608695652173,,,,,0.4,,0.5,0.5,0.225,,0.4361225000000001,0.46449999999999997,0.4686,0.06976744186046512,0.06976744186046512,0.12903225806451613,0.06451612903225806,12.387500000000001,,0.14482758620689656,2.0,2.0,2.0,,,,2.0,,,0.5,0.4444444444444444,,,,,2.0,,1.0,,,,,,,,0.26666666666666666,0.5,,,,,,,,,,2.0,4.0,0.041666666666666664,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,
978,1610612740,Peja Stojakovic,Peja Stojakovic,978,NOH,4615.0,77.0,-57.0,138,135.0,11.0,6.0,15,273,3.0,4.0,,,,,4.0,3.0,5.0,6.0,12.0,,6.0,13.0,7.0,15.0,6.0,39.0,187.0,1.0,1.0,,,2.0,,,2.0,2.0,10.0,2.0,21.0,,12.0,6.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,3.0,3.0,2.0,5.0,1.0,1.0,,1.0,,,,3.0,,3.0,,4.0,10.0,4.0,,6.0,,3.0,,2.0,11.0,,0.8333333333333334,0.8333333333333334,1.0,0.4666666666666667,0.4666666666666667,0.46153846153846156,1.0,,0.5892857142857143,1.0,,0.6290322580645161,1.0,0.5,0.5357142857142857,0.07692307692307693,,21.93548387096774,,0.058823529411764705,0.018867924528301886,,0.05172413793103448,0.028169014084507043,,,0.043478260869565216,0.08,,0.07692307692307693,0.14285714285714285,0.75,0.75,1.0,0.14285714285714285,,,0.17857142857142858,0.6,0.6,0.42857142857142855,0.5,0.5,1.0,,,,,0.6785714285714286,0.5,0.5265,,0.49635,0.0967741935483871,0.1875,0.05128205128205128,0.05128205128205128,10.261538461538462,24.720000000000002,0.07971014492753623,,,,3.0,,1.0,,,,,,0.10714285714285714,,1.0,1.0,2.0,,,,,,,0.05555555555555555,0.07142857142857142,,0.06666666666666667,,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.6666666666666666,,1.0,1.0,0.25,1.0,True,,,,,,,,,,,,,,,,,,,
2484,1610612740,Devin Brown,Devin Brown,2484,NOH,655.0,11.0,-10.0,21,21.0,9.0,15.0,2,42,,1.0,,,,,,,,,,,,1.0,,1.0,2.0,2.0,26.0,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,2.0,2.0,,1.0,1.0,,2.0,,,1.0,2.0,9.0,1.0,,,,,,,,,,,,0.3333333333333333,,1.0,0.5,1.0,1.0,22.727272727272727,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,0.5987,,,,,,1.0,,23.3,0.42857142857142855,,,,1.0,,,,1.0,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
1752,1610612740,Sean Marks,Sean Marks,1752,NOH,1.0,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
201153,1610612740,Julian Wright,Julian Wright,201153,NOH,284.0,5.0,-8.0,10,9.0,,,3,19,,,,,,,1.0,,,,,,,1.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.692307692307692,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.4649,,,,,,,7.8,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,6927.0,115.0,-43.0,220,219.0,92.0,87.0,22,439,9.0,14.0,1.0,2.0,4.0,2.0,8.0,1.0,9.0,3.0,9.0,3.0,12.0,31.0,3.0,10.0,13.0,46.0,259.0,,1.0,3.0,2.0,8.0,3.0,12.0,7.0,19.0,2.0,22.0,,9.0,9.0,3.0,2.0,17.0,9.0,26.0,4.0,5.0,11.0,5.0,61.0,1.0,4.0,9.0,13.0,1.0,14.0,1.0,5.0,3.0,2.0,9.0,1.0,4.0,5.0,5.0,14.0,5.0,1.0,6.0,14.0,,16.0,2.0,7.0,2.0,19.0,92.0,2.0,0.08333333333333333,0.08333333333333333,,0.3,0.3,0.3870967741935484,,0.25,0.4024390243902439,0.75,0.35294117647058826,0.4791666666666667,0.8,0.4523809523809524,0.24390243902439024,0.06451612903225806,0.14285714285714285,25.30612244897959,0.6428571428571429,0.13846153846153847,0.015151515151515152,0.16,0.14444444444444443,0.010309278350515464,,0.05,,0.1891891891891892,0.14285714285714285,0.047619047619047616,0.34146341463414637,0.6428571428571429,0.75,0.1111111111111111,0.1951219512195122,0.25,0.25,0.21951219512195122,0.1111111111111111,0.1111111111111111,0.21951219512195122,0.3333333333333333,0.3333333333333333,,0.25,0.75,0.23529411764705882,0.5,0.5853658536585366,0.3333333333333333,0.4891890243902439,0.567825,0.4234205882352941,0.15217391304347827,0.19444444444444445,0.17391304347826086,0.41304347826086957,7.4870967741935495,26.310000000000002,0.41818181818181815,,,,1.0,,5.0,,,,,,0.024390243902439025,,,,1.0,,,,,,,,,,0.09523809523809523,,,,2.0,1.0,0.4,,,,,,,,,,5.0,,,0.29411764705882354,False,2.0,2.0,2.0,1.0,0.6666666666666666,0.25,0.6666666666666666,0.4,,,,,,,,,,,
