EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGA,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PenaltyArc3FGA,PenaltyFG3A,LostBallOutOfBoundsTurnovers,Offensive Fouls,BlockedShortMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,LongMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,Corner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,on,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked
1501,1610612741,Tim Thomas,Tim Thomas,1501,CHI,313.0,5,-1.0,10,11,21,1.0,1.0,2.0,10,1.0,1.0,1.0,1,1.0,1.0,1.0,20.0,0.5,0.25,0.5,0.5,0.5,1.0,0.56865,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,16265.0,271,-74.0,507,527,1034,,,,597,,9.0,64.0,92,19.0,31.0,,12.259194395796849,0.14516129032258066,0.21235521235521235,0.17777777777777778,,,0.8823529411764706,0.5640764705882353,,107.0,147.0,60.0,23.0,45.0,8.0,20.0,3.0,5.0,3.0,5.0,1.0,26.0,51.0,19.0,71.0,9.0,21.0,3.0,21.0,3.0,6.0,8.0,14.0,28.0,24.0,16.0,5.0,13.0,3.0,16.0,2.0,1.0,5.0,2.0,6.0,35.0,2.0,25.0,1.0,46.0,9.0,28.0,1.0,6.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,8.0,1.0,2.0,4.0,22.0,3.0,2.0,25.0,3.0,9.0,5.0,15.0,15.0,15.0,10.0,1.0,1.0,2.0,14.0,107.0,4.0,4.0,0.5384615384615384,0.7777777777777778,0.5098039215686274,0.42857142857142855,0.5,0.5098039215686274,0.42857142857142855,0.5,0.5725806451612904,0.45652173913043476,0.5833333333333334,0.09803921568627451,0.1111111111111111,0.375,0.5,0.07692307692307693,0.233502538071066,0.13157894736842105,0.0392156862745098,0.11203319502074689,0.11842105263157894,0.14285714285714285,0.1388888888888889,0.047619047619047616,0.1506849315068493,0.4523809523809524,0.1951219512195122,0.058823529411764705,0.05,0.6666666666666666,0.8823529411764706,0.5111111111111111,0.575,0.5217391304347826,0.09803921568627451,0.6,0.6,0.6666666666666666,0.0196078431372549,0.9523809523809523,0.4,0.8333333333333334,0.6,0.5637150000000001,0.5648833333333333,0.15789473684210525,0.15789473684210525,0.29577464788732394,0.19718309859154928,1.752941176470588,0.21104536489151873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201565,1610612741,Derrick Rose,Derrick Rose,201565,CHI,14656.0,244,-64.0,452,472,924,,1.0,1.0,532,1.0,4.0,22.0,33,12.0,23.0,0.009900990099009901,26.326129666011788,0.06896551724137931,0.08936170212765958,0.047619047619047616,,0.009900990099009901,0.36633663366336633,0.4737559405940594,24.5,87.0,107.0,53.0,18.0,36.0,5.0,8.0,2.0,5.0,7.0,17.0,47.0,49.0,100.0,8.0,106.0,9.0,14.0,,18.0,9.0,15.0,2.0,20.0,28.0,70.0,6.0,8.0,23.0,11.0,34.0,9.0,2.0,9.0,,14.0,79.0,3.0,8.0,,17.0,1.0,11.0,2.0,4.0,2.0,2.0,19.0,5.0,11.0,10.0,8.0,1.0,29.0,1.0,7.0,,13.0,,,11.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,,,,20.0,87.0,2.0,2.0,0.2857142857142857,0.30434782608695654,0.49,0.6428571428571429,0.6,0.48514851485148514,0.6428571428571429,0.5625,0.5047619047619047,0.6428571428571429,0.5555555555555556,0.08,0.1111111111111111,0.6551724137931034,0.07142857142857142,,0.096045197740113,0.047337278106508875,0.06976744186046512,0.05188679245283019,0.029850746268656716,0.027777777777777776,0.07575757575757576,0.08571428571428572,0.08955223880597014,0.10526315789473684,0.09722222222222222,0.125,0.046511627906976744,0.8,0.3564356435643564,0.5,0.5625,0.2222222222222222,0.16831683168316833,0.4117647058823529,0.4375,0.14285714285714285,0.46534653465346537,0.5714285714285714,0.625,0.3125,0.4,0.5059909090909092,0.44406562499999996,0.04854368932038835,0.049019607843137254,0.16981132075471697,0.18867924528301888,10.798,0.19247787610619468,24.0,1.0,1.0,1.0,3.0,2.0,1.0,0.058823529411764705,0.06382978723404255,0.5106382978723404,0.5454545454545454,0.375,0.2,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2422,1610612741,John Salmons,John Salmons,2422,CHI,14238.0,237,-81.0,441,457,898,3.0,23.0,26.0,531,23.0,8.0,19.0,24,6.0,15.0,0.35135135135135137,18.8,0.14545454545454545,0.07964601769911504,0.12195121951219512,0.04054054054054054,0.3108108108108108,0.6891891891891891,0.49012297297297297,24.857692307692307,75.0,126.0,55.0,12.0,25.0,1.0,3.0,1.0,5.0,,8.0,15.0,17.0,48.0,18.0,79.0,1.0,5.0,,2.0,3.0,7.0,4.0,13.0,16.0,18.0,,9.0,11.0,2.0,13.0,1.0,1.0,1.0,2.0,8.0,28.0,,5.0,,10.0,1.0,5.0,1.0,8.0,2.0,6.0,5.0,,2.0,4.0,3.0,1.0,9.0,2.0,,,15.0,,3.0,22.0,,10.0,1.0,5.0,4.0,7.0,5.0,,,,13.0,75.0,3.0,1.0,0.47058823529411764,0.47058823529411764,0.3541666666666667,0.2,0.42857142857142855,0.41216216216216217,0.14285714285714285,0.4090909090909091,0.4647058823529412,0.14285714285714285,0.5,0.1875,0.2,0.5555555555555556,0.0625,,0.05847953216374269,0.029069767441860465,,0.022727272727272728,0.04285714285714286,0.02702702702702703,0.015384615384615385,,0.06349206349206349,,0.08695652173913043,0.21428571428571427,0.02631578947368421,0.7142857142857143,0.33783783783783783,0.48,0.6,0.4166666666666667,0.10810810810810811,,,,0.20270270270270271,0.42857142857142855,0.3333333333333333,0.45454545454545453,0.2,0.41889166666666666,0.4917590909090909,0.11904761904761904,0.1724137931034483,0.02531645569620253,0.16455696202531644,7.96875,0.17006802721088435,5.0,3.0,4.0,2.0,,,,0.375,0.06666666666666667,0.3333333333333333,0.35714285714285715,0.6,1.0,0.2727272727272727,1.0,1.0,8.0,2.0,1.0,9.0,2.0,1.0,15.0,12.0,8.0,1.0,2.0,2.0,1.0,0.5555555555555556,0.34615384615384615,0.25,0.34615384615384615,0.3333333333333333,0.3333333333333333,1.0,0.34782608695652173,0.34782608695652173,0.5,0.2857142857142857,0.09090909090909091,0.3333333333333333,0.34782608695652173,,,,,,,,,,,,,,,,True,,,,,,,
2732,1610612741,Ben Gordon,Ben Gordon,2732,CHI,13993.0,233,-47.0,440,454,894,4.0,34.0,38.0,514,34.0,3.0,13.0,14,3.0,13.0,0.3619047619047619,25.708502024291494,0.058823529411764705,0.05803571428571429,0.05263157894736842,0.0380952380952381,0.3238095238095238,0.5047619047619047,0.4758557692307693,25.292105263157897,92.0,121.0,51.0,8.0,15.0,1.0,3.0,1.0,5.0,6.0,19.0,33.0,29.0,67.0,42.0,148.0,1.0,4.0,4.0,12.0,10.0,20.0,9.0,41.0,20.0,38.0,,4.0,12.0,3.0,15.0,2.0,1.0,9.0,,3.0,33.0,1.0,,,10.0,,1.0,,3.0,2.0,1.0,4.0,,3.0,,1.0,,4.0,,1.0,,33.0,,3.0,49.0,3.0,19.0,1.0,,,1.0,1.0,,,,41.0,92.0,,,0.3448275862068966,0.3448275862068966,0.43283582089552236,0.25,0.5,0.5047619047619047,0.6666666666666666,0.5714285714285714,0.5766129032258065,0.7857142857142857,0.625,0.05970149253731343,0.13333333333333333,1.0,,,0.057803468208092484,,0.021739130434782608,0.004830917874396135,,,,,0.015625,0.05555555555555555,0.0958904109589041,0.07692307692307693,,1.0,0.14285714285714285,0.5333333333333333,0.6153846153846154,0.125,0.18095238095238095,0.3157894736842105,0.3333333333333333,,0.3142857142857143,0.5,0.3333333333333333,0.17857142857142858,0.2,0.56513,0.447838888888889,0.17073170731707318,0.2289156626506024,0.08108108108108109,0.27702702702702703,12.0,0.20909090909090908,15.0,6.0,8.0,,,,,0.05263157894736842,0.030303030303030304,0.45454545454545453,0.46875,0.6,,0.21428571428571427,1.0,2.0,15.0,2.0,3.0,16.0,2.0,4.0,30.0,18.0,15.0,,1.0,,,0.625,0.42105263157894735,0.5,0.42105263157894735,0.25,0.25,1.0,0.4411764705882353,0.4411764705882353,0.6,0.3333333333333333,0.07142857142857142,0.5,0.4411764705882353,1.0,2.0,2.0,6.0,2.0,1.0,1.0,0.125,1.0,0.5,0.05,,,,,True,,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,7648.0,127,-40.0,235,258,493,5.0,9.0,14.0,282,9.0,2.0,10.0,11,10.0,14.0,0.45161290322580644,14.716981132075473,0.06896551724137931,0.0847457627118644,,0.16129032258064516,0.2903225806451613,0.6129032258064516,0.5009983870967742,24.614285714285717,68.0,114.0,26.0,4.0,5.0,,,,,1.0,2.0,10.0,10.0,17.0,8.0,43.0,,1.0,,,1.0,4.0,2.0,4.0,8.0,12.0,,,7.0,1.0,8.0,,1.0,4.0,1.0,2.0,17.0,,1.0,,8.0,,1.0,,6.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,,3.0,,1.0,,8.0,1.0,,12.0,,4.0,2.0,1.0,1.0,1.0,,,,,4.0,68.0,1.0,1.0,0.4,0.4,0.5882352941176471,,0.25,0.5645161290322581,,0.16666666666666666,0.581081081081081,,0.25,,,0.6666666666666666,,,0.0898876404494382,0.011627906976744186,,0.009009009009009009,,,0.038461538461538464,,0.06666666666666667,,0.15789473684210525,0.2,,,0.16129032258064516,0.8,0.8,0.5,0.06451612903225806,0.5,0.5,,0.3225806451612903,,,,,0.2129,0.35946666666666666,0.11428571428571428,0.19047619047619047,,0.09302325581395349,12.741176470588233,0.28936170212765955,5.0,2.0,2.0,,,,,,,0.5,0.5,0.4,,0.3333333333333333,3.0,,2.0,,,5.0,,,15.0,,2.0,,,,,1.0,0.35714285714285715,,0.35714285714285715,0.6,0.6,1.0,0.2222222222222222,0.25,1.0,,,,0.2222222222222222,,,,,,,,,,,,1.0,0.07142857142857142,0.1111111111111111,,True,,,,,,,
1802,1610612741,Brad Miller,Brad Miller,1802,CHI,6038.0,101,13.0,200,189,389,3.0,,3.0,194,,6.0,23.0,25,4.0,10.0,0.1,20.909090909090907,0.21428571428571427,0.20754716981132076,0.35294117647058826,0.1,,0.3333333333333333,0.48313333333333336,22.96666666666667,63.0,71.0,21.0,3.0,7.0,1.0,2.0,,1.0,2.0,8.0,12.0,8.0,27.0,7.0,29.0,1.0,3.0,,2.0,2.0,7.0,2.0,6.0,14.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,10.0,,2.0,,16.0,1.0,2.0,,,,,8.0,1.0,5.0,3.0,3.0,,11.0,,5.0,,9.0,1.0,1.0,10.0,,3.0,2.0,6.0,6.0,6.0,1.0,,,,6.0,63.0,1.0,2.0,0.875,1.0,0.2962962962962963,0.3333333333333333,0.2857142857142857,0.36666666666666664,0.3333333333333333,0.25,0.4142857142857143,0.3333333333333333,0.3,0.07407407407407407,0.14285714285714285,0.7272727272727273,0.5,,0.20512820512820512,0.028169014084507043,,0.022222222222222223,0.08333333333333333,,,,0.22727272727272727,0.3125,0.15,,,0.16666666666666666,0.23333333333333334,0.42857142857142855,0.5,0.6666666666666666,0.26666666666666666,0.25,0.2857142857142857,1.0,0.4,0.6666666666666666,0.5,0.125,,0.5249666666666667,0.47114375000000003,0.09090909090909091,0.1,0.06896551724137931,0.20689655172413793,10.5,0.315,3.0,,1.0,,2.0,,,0.125,,0.25,0.25,1.0,,,2.0,1.0,,,,2.0,,,6.0,,,,,,,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,,,,0.125,,,,,,,,,,,,,,,,,,True,,,,,,,
200748,1610612741,Tyrus Thomas,Tyrus Thomas,200748,CHI,7605.0,127,-71.0,228,243,471,,1.0,1.0,298,,3.0,22.0,24,10.0,20.0,0.023809523809523808,20.384615384615383,0.125,0.16379310344827586,0.15,,0.023809523809523808,0.47619047619047616,0.4953390243902439,49.9,24.0,35.0,29.0,8.0,19.0,1.0,3.0,1.0,1.0,2.0,6.0,16.0,19.0,41.0,4.0,42.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,30.0,8.0,2.0,5.0,4.0,,4.0,,,2.0,1.0,1.0,8.0,1.0,1.0,,16.0,3.0,2.0,1.0,4.0,,4.0,3.0,,2.0,5.0,1.0,1.0,8.0,,,1.0,8.0,,,6.0,,2.0,1.0,11.0,10.0,11.0,3.0,1.0,,,5.0,24.0,1.0,1.0,0.7894736842105263,0.8333333333333334,0.4634146341463415,0.3333333333333333,0.6666666666666666,0.4523809523809524,0.3333333333333333,0.5,0.4666666666666667,0.375,0.5,0.12195121951219512,0.21052631578947367,0.375,0.2727272727272727,,0.17391304347826086,0.010869565217391304,0.058823529411764705,0.01834862385321101,0.02702702702702703,,,0.06666666666666667,0.09302325581395349,0.125,0.30303030303030304,,0.058823529411764705,0.2727272727272727,0.4523809523809524,0.42105263157894735,0.5333333333333333,0.625,0.14285714285714285,0.3333333333333333,0.4,0.5,0.38095238095238093,1.0,0.3333333333333333,0.25,1.0,0.5176,0.42756666666666665,0.045454545454545456,0.046511627906976744,0.07142857142857142,0.11904761904761904,8.941463414634146,0.10526315789473684,9.0,1.0,1.0,1.0,2.0,1.0,,0.16666666666666666,,0.5625,0.5625,1.0,,0.25,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,
283,1610612741,Lindsey Hunter,Lindsey Hunter,283,CHI,500.0,8,-5.0,18,21,39,,1.0,1.0,23,1.0,,1.0,1,,2.0,1.0,15.0,,0.14285714285714285,,,1.0,1.0,0.555,24.2,15.0,14.0,3.0,,,,,,,,,,,,3.0,3.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,4.0,1.0,1.0,4.0,,,2.0,,,,,,,,3.0,15.0,1.0,2.0,,,,,,,,,0.5,,0.5,,,,,,0.16666666666666666,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.555,0.555,,,,1.0,,0.8333333333333334,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,
2669,1610612741,Linton Johnson,Linton Johnson,2669,CHI,69.0,1,,4,3,7,,,,4,,,,1,1.0,1.0,,16.666666666666668,,,,,,1.0,0.6331,,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,2.0,1.0,1.0,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5,,0.3333333333333333,,,0.5,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,0.6331,0.6331,,,1.0,1.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
