EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,Corner3FGM,OffThreePtRebounds,Loose Ball Fouls Drawn,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,Loose Ball Fouls,OffCorner3ReboundPct,SecondChanceAtRimFGM,PtsPutbacks,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,DefFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,FTOffRebounds,Travels,2pt And 1 Free Throw Trips,3SecondViolations,ShortMidRangePctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,Corner3Assists,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,BlockedLongMidRange,on,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,7607.0,127,-25.0,257,252,127.0,132.0,39.0,509,3.0,9.0,3.0,6.0,1.0,3.0,6.0,13.0,1.0,5.0,15.0,2.0,3.0,10.0,10.0,25.0,5.0,16.0,27.0,62.0,282,1.0,1.0,2.0,6.0,8.0,7.0,12.0,3.0,10.0,11.0,34.0,6.0,14.0,9.0,6.0,15.0,5.0,2.0,32.0,2.0,34.0,2.0,18.0,5.0,9.0,70.0,3.0,1.0,8.0,9.0,3.0,12.0,5.0,4.0,1.0,7.0,3.0,6.0,4.0,1.0,11.0,1.0,3.0,5.0,12.0,1.0,21.0,2.0,32.0,12.0,4.0,2.0,1.0,1.0,2.0,2.0,34.0,127.0,2.0,3.0,0.3,0.3,0.6,0.3125,0.3,0.3125,0.4,1.0,0.5833333333333334,0.4268292682926829,0.3333333333333333,0.5227272727272727,0.543859649122807,0.6666666666666666,0.6071428571428571,0.3902439024390244,0.08,0.2222222222222222,22.112211221122113,0.6363636363636364,0.09876543209876543,0.030612244897959183,0.043478260869565216,0.08653846153846154,0.024390243902439025,0.04878048780487805,0.022222222222222223,0.037037037037037035,0.12,0.13793103448275862,0.06666666666666667,1.0,0.21951219512195122,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.07317073170731707,0.3333333333333333,0.3333333333333333,0.3170731707317073,0.46153846153846156,0.46153846153846156,0.16666666666666666,0.024390243902439025,0.36585365853658536,0.3333333333333333,0.3333333333333333,0.6,0.6666666666666666,0.2727272727272727,0.5,0.45454545454545453,0.3,0.6097560975609756,0.3333333333333333,0.5045756097560976,0.45515,0.5286022727272729,0.22641509433962265,0.32432432432432434,0.12903225806451613,0.5483870967741935,11.064,25.3,0.49416342412451364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,3005.0,50,-12.0,93,96,34.0,39.0,14.0,189,,2.0,,2.0,1.0,1.0,2.0,6.0,3.0,1.0,5.0,,,3.0,3.0,9.0,2.0,8.0,3.0,15.0,110,,2.0,,,,,3.0,,3.0,,,6.0,,6.0,,5.0,1.0,1.0,,,,,,,,,,2.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,,1.0,3.0,8.0,,6.0,,4.0,2.0,,,,,,,,34.0,1.0,,1.0,1.0,1.0,0.25,,0.25,0.3333333333333333,,,0.35294117647058826,,,0.39473684210526316,,,0.47058823529411764,0.1111111111111111,0.5,20.0,0.6666666666666666,0.08571428571428572,,0.2,0.1111111111111111,0.021739130434782608,,,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.2,,0.11764705882352941,,,,0.058823529411764705,1.0,1.0,0.35294117647058826,0.3333333333333333,0.3333333333333333,1.0,0.17647058823529413,0.29411764705882354,0.2,0.2,1.0,,0.3333333333333333,,0.5,,0.5882352941176471,0.2,0.488184375,0.507,0.50705,0.10526315789473684,0.18181818181818182,,,13.100000000000001,25.112500000000004,0.3655913978494624,1.0,1.0,1.0,1.0,0.1,0.125,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,2088.0,35,-5.0,67,65,24.0,26.0,9.0,132,3.0,6.0,1.0,3.0,2.0,3.0,3.0,7.0,,,,,,,8.0,16.0,,,2.0,18.0,68,1.0,1.0,,,2.0,3.0,6.0,,,2.0,8.0,14.0,2.0,,,,,2.0,2.0,,2.0,,1.0,,1.0,4.0,1.0,1.0,3.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,9.0,,3.0,,2.0,,1.0,1.0,1.0,,1.0,,8.0,24.0,,1.0,0.875,0.875,,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5294117647058824,1.0,0.5714285714285714,,0.125,0.3333333333333333,25.0,0.5,0.1111111111111111,0.043478260869565216,0.14285714285714285,0.11764705882352941,0.06451612903225806,,0.1111111111111111,,0.15384615384615385,0.16666666666666666,0.16666666666666666,,0.375,0.5,0.75,0.6666666666666666,0.1875,0.6666666666666666,0.6666666666666666,0.4375,0.42857142857142855,0.42857142857142855,1.0,,,,,,,0.5,0.3333333333333333,,,0.375,,0.45779375,0.3598,0.44625000000000004,,,0.1111111111111111,0.4444444444444444,10.65625,,0.3582089552238806,,,1.0,1.0,0.125,,1.0,,,,,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,5292.0,88,-37.0,173,173,66.0,69.0,22.0,346,4.0,10.0,2.0,2.0,2.0,2.0,4.0,10.0,,1.0,3.0,,1.0,3.0,10.0,22.0,1.0,3.0,7.0,30.0,210,2.0,7.0,,1.0,5.0,4.0,7.0,1.0,3.0,1.0,12.0,14.0,6.0,3.0,,3.0,1.0,1.0,7.0,,7.0,,4.0,,3.0,14.0,6.0,1.0,1.0,4.0,7.0,11.0,8.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,,2.0,1.0,5.0,,7.0,,10.0,5.0,,3.0,1.0,2.0,3.0,2.0,12.0,66.0,1.0,,0.7,0.7777777777777778,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.2857142857142857,0.5714285714285714,0.46,0.2857142857142857,0.55,0.5,0.3125,0.5454545454545454,0.12,0.045454545454545456,0.1,16.831683168316832,0.5,0.01694915254237288,0.09090909090909091,0.07142857142857142,0.0273972602739726,0.0875,0.1111111111111111,0.06896551724137931,,,0.043478260869565216,,0.6666666666666666,0.4,0.4,0.4444444444444444,0.5,0.08,1.0,1.0,0.4,0.4,0.4,1.0,,0.12,0.3333333333333333,0.3333333333333333,1.0,,0.2,1.0,0.3,0.3333333333333333,0.52,0.3333333333333333,0.477336,0.5409857142857144,0.4344,0.16666666666666666,0.18518518518518517,0.16666666666666666,0.4,9.41818181818182,25.433333333333334,0.3815028901734104,6.0,,1.0,,0.07142857142857142,0.07692307692307693,0.5,,,,0.8571428571428571,,,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.1,0.16666666666666666,0.07692307692307693,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,True,,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,9322.0,155,-33.0,305,304,134.0,149.0,46.0,609,20.0,35.0,6.0,9.0,3.0,7.0,2.0,7.0,,,,,,,25.0,49.0,,,9.0,59.0,345,7.0,16.0,,,14.0,6.0,12.0,,,5.0,17.0,40.0,10.0,,,,,6.0,7.0,1.0,8.0,1.0,3.0,1.0,3.0,17.0,16.0,3.0,13.0,20.0,20.0,40.0,4.0,4.0,,1.0,,1.0,5.0,,6.0,,3.0,10.0,17.0,1.0,14.0,2.0,18.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,17.0,134.0,3.0,4.0,0.8,0.8333333333333334,,,,,0.5102040816326531,0.4375,0.5,0.5102040816326531,0.4375,0.5,0.5175438596491229,0.4117647058823529,0.53125,,0.12244897959183673,0.14285714285714285,17.54874651810585,0.16666666666666666,0.13,0.13793103448275862,0.1,0.12307692307692308,0.1292517006802721,0.1590909090909091,0.12280701754385964,0.125,0.12903225806451613,0.13513513513513514,,0.4,0.7142857142857143,0.5714285714285714,0.6666666666666666,0.85,0.14285714285714285,0.42857142857142855,0.5,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5,,,,,,,0.75,0.6666666666666666,,,0.7142857142857143,,0.5191673469387755,0.5355733333333333,0.5132333333333333,0.09615384615384616,0.09615384615384616,0.23728813559322035,0.288135593220339,3.871428571428571,,0.43934426229508194,14.0,,3.0,,0.0967741935483871,0.08,0.6666666666666666,,,,0.875,,0.16666666666666666,7.0,2.0,4.0,4.0,1.0,0.26666666666666666,0.13333333333333333,0.3,0.2222222222222222,0.5,1.0,1.0,2.0,2.0,0.14285714285714285,0.08333333333333333,0.5714285714285714,,,,,,,,,,,,,,,,,True,,,
2430,1610612762,Carlos Boozer,Carlos Boozer,2430,UTA,6253.0,104,-24.0,209,210,99.0,108.0,34.0,419,9.0,15.0,6.0,8.0,8.0,11.0,7.0,18.0,,,,,,,24.0,44.0,,,13.0,61.0,237,4.0,6.0,,3.0,11.0,12.0,21.0,,,6.0,30.0,24.0,24.0,,,,,3.0,3.0,,3.0,,2.0,,1.0,6.0,7.0,4.0,22.0,31.0,8.0,39.0,4.0,,4.0,8.0,,6.0,2.0,2.0,10.0,1.0,5.0,6.0,11.0,2.0,12.0,,19.0,10.0,,,,,,,30.0,99.0,3.0,,0.5,0.5714285714285714,,,,,0.5454545454545454,0.6666666666666666,0.5714285714285714,0.5454545454545454,0.6666666666666666,0.5714285714285714,0.5754716981132075,0.7857142857142857,0.6,,0.06818181818181818,0.06666666666666667,25.301204819277107,0.8,0.34375,0.08974358974358974,0.2222222222222222,0.3170731707317073,0.07216494845360824,0.06896551724137931,0.125,0.375,0.23529411764705882,0.391304347826087,0.3,,0.3409090909090909,0.6,0.6428571428571429,0.4444444444444444,0.25,0.7272727272727273,0.8888888888888888,0.4090909090909091,0.3888888888888889,0.3888888888888889,0.7142857142857143,,,,,,,0.38095238095238093,0.75,,,0.3409090909090909,,0.4706613636363636,0.5250833333333333,0.4807380952380953,0.18867924528301888,0.18867924528301888,0.18032786885245902,0.4918032786885246,9.088636363636365,,0.47368421052631576,3.0,,,,,,0.375,,,,0.5,1.0,,2.0,6.0,5.0,,,0.5555555555555556,,0.125,,0.6666666666666666,1.0,,1.0,,0.18181818181818182,0.09090909090909091,,,,,,,,,,,,,,,,,,True,,,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,4957.0,83,-7.0,159,157,86.0,96.0,28.0,316,2.0,2.0,1.0,1.0,,1.0,1.0,8.0,6.0,2.0,7.0,,1.0,5.0,3.0,11.0,5.0,13.0,2.0,23.0,171,,,1.0,,3.0,1.0,5.0,3.0,8.0,2.0,13.0,4.0,2.0,15.0,,7.0,2.0,1.0,6.0,1.0,7.0,,5.0,,1.0,15.0,1.0,2.0,4.0,8.0,1.0,9.0,2.0,,2.0,1.0,,1.0,,,1.0,,1.0,3.0,8.0,,7.0,1.0,3.0,,1.0,,,,,,13.0,86.0,5.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.38461538461538464,0.375,0.38461538461538464,0.2727272727272727,,0.2,0.4375,1.5,0.4230769230769231,0.46,1.5,0.4642857142857143,0.5416666666666666,0.09090909090909091,,13.612565445026178,1.0,0.07692307692307693,0.015625,0.11764705882352941,0.08695652173913043,0.012048192771084338,,0.02857142857142857,,0.17647058823529413,0.05,0.16666666666666666,,0.08333333333333333,1.0,1.0,0.5,0.041666666666666664,,,0.3333333333333333,0.125,0.14285714285714285,1.0,0.25,0.2916666666666667,0.2857142857142857,0.2857142857142857,1.0,,0.07692307692307693,1.0,0.38461538461538464,0.2,0.625,0.2857142857142857,0.48601458333333336,,0.4604153846153846,,,0.13043478260869565,0.5652173913043478,15.090909090909092,24.47692307692308,0.5408805031446541,,3.0,,,,,,0.5,0.5,1.0,,,,,,2.0,,,0.18181818181818182,,,,,,,,,,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,1.0,0.23076923076923078,0.6666666666666666,,,True,,,
200758,1610612762,Ronnie Brewer,Ronnie Brewer,200758,UTA,5049.0,84,-9.0,170,167,73.0,83.0,22.0,337,9.0,13.0,5.0,8.0,,2.0,3.0,12.0,,,2.0,,,1.0,12.0,27.0,,2.0,9.0,33.0,186,2.0,4.0,,,4.0,7.0,14.0,,1.0,7.0,21.0,20.0,4.0,,,2.0,,3.0,3.0,3.0,6.0,3.0,2.0,,1.0,15.0,1.0,5.0,4.0,9.0,3.0,12.0,3.0,2.0,1.0,4.0,,3.0,1.0,1.0,5.0,1.0,3.0,2.0,3.0,,6.0,,11.0,6.0,,1.0,,,1.0,1.0,21.0,73.0,,,0.8333333333333334,0.9090909090909091,,,,,0.4444444444444444,0.5,0.5,0.41379310344827586,0.5,0.4666666666666667,0.4852941176470588,0.5,0.5526315789473685,0.06896551724137931,0.1111111111111111,0.15384615384615385,20.0,0.8,0.08333333333333333,0.017241379310344827,0.2631578947368421,0.13432835820895522,0.0410958904109589,,0.03125,,,0.2222222222222222,0.3,1.0,0.4482758620689655,0.6923076923076923,0.8181818181818182,0.8888888888888888,0.06896551724137931,,,0.41379310344827586,0.25,0.25,0.6666666666666666,,0.06896551724137931,,,,,0.5333333333333333,0.625,0.06666666666666667,,0.5172413793103449,,0.5196327586206897,0.4508666666666666,0.5091866666666667,0.17647058823529413,0.1875,0.12121212121212122,0.6363636363636364,9.077777777777778,24.85,0.4294117647058823,3.0,,2.0,,0.13333333333333333,0.09090909090909091,,,,,0.75,,0.25,2.0,2.0,,,,,,0.2222222222222222,,0.6666666666666666,,,1.0,,0.5,,0.5,,,,,,,,,,,,,,,1.0,1.0,True,,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,962.0,16,3.0,30,32,14.0,22.0,8.0,62,2.0,5.0,1.0,4.0,,,1.0,2.0,,,3.0,1.0,,2.0,3.0,7.0,,3.0,2.0,8.0,37,1.0,4.0,1.0,,2.0,2.0,5.0,,2.0,2.0,6.0,,6.0,,,3.0,,,2.0,3.0,5.0,,1.0,1.0,,13.0,3.0,,,,3.0,3.0,1.0,,1.0,,,,,,,,,,4.0,,2.0,,2.0,,1.0,,,,,,6.0,14.0,3.0,1.0,,,,,,,0.42857142857142855,0.25,0.4,0.3,0.2,0.2857142857142857,0.36363636363636365,0.2,0.375,0.3,,,28.205128205128204,,,0.23076923076923078,,,0.15789473684210525,0.2,0.3333333333333333,,,,,,0.5,0.4,0.4,,,,,0.2,0.5,0.5,,,0.3,,,,0.2,0.5714285714285714,0.25,0.2857142857142857,,0.8,,0.47017499999999995,0.4742699999999999,0.4873142857142857,,,0.25,0.75,5.171428571428572,27.600000000000005,0.4666666666666667,4.0,,,,,,,,,,0.8,,,1.0,2.0,,,,,,,,0.25,,,,,,,,,,,,,3.0,,,,,,,,,,,True,,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,1076.0,18,,34,34,11.0,17.0,6.0,68,,,,,,1.0,,2.0,,,,,,,,3.0,,,3.0,3.0,39,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,2.0,3.0,,3.0,,,,,,,,,,,,3.0,4.0,,2.0,,4.0,2.0,,1.0,,1.0,1.0,,2.0,11.0,,,,,,,,,,,,,,,0.3,,0.3333333333333333,,,,12.195121951219512,,0.15384615384615385,,0.2,0.16666666666666666,,,,0.5,,0.14285714285714285,0.25,,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,,,0.36413333333333336,,0.35255,0.4,0.4,,0.6666666666666666,14.766666666666666,,0.3235294117647059,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
