EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,PenaltyFtPoints,OffTwoPtRebounds,OffRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,FTDefRebounds,Loose Ball Fouls,Loose Ball Fouls Drawn,SecondChanceFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,HeaveAttempts,ThreePtShootingFoulsDrawn,OffAtRimReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,3SecondViolations,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,on,StepOutOfBoundsTurnovers,PtsPutbacks,SelfOReb,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,SelfORebPct,DefensiveGoaltends,PtsUnassisted3s,3pt And 1 Free Throw Trips,FTOffRebounds,OffFTReboundPct,SecondChanceTurnovers,BlockedShortMidRange
101150,1610612755,Lou Williams,Lou Williams,101150,PHI,3632.0,61,31,110,108,25.0,42.0,10.0,218,4.0,10.0,1.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,8.0,16.0,2.0,5.0,2.0,24.0,106,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,10.0,6.0,2.0,1.0,2.0,4.0,6.0,10.0,5.0,1.0,2.0,1.0,1.0,26.0,3.0,4.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,25.0,2.0,0.375,0.375,1.0,0.4,1.0,0.4,0.5,1.0,0.5,0.5238095238095238,1.0,0.8333333333333334,0.5454545454545454,1.0,0.625,0.23809523809523808,0.125,0.2,20.32520325203252,0.3333333333333333,0.1111111111111111,0.15789473684210525,0.12727272727272726,0.13333333333333333,0.16666666666666666,0.15384615384615385,0.16666666666666666,1.0,0.47619047619047616,0.4,0.5,0.5,0.09523809523809523,1.0,1.0,0.19047619047619047,0.5,0.5,0.5,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.09523809523809523,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.5,0.5629952380952381,0.4054,0.5335,0.13636363636363635,0.17647058823529413,0.08333333333333333,0.20833333333333334,5.875,24.220000000000002,0.22727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1889,1610612755,Andre Miller,Andre Miller,1889,PHI,4965.0,83,1,147,149,36.0,65.0,10.0,296,7.0,10.0,1.0,5.0,9.0,3.0,12.0,,1.0,1.0,1.0,,,15.0,31.0,1.0,2.0,6.0,39.0,164,,1.0,2.0,3.0,7.0,,,7.0,10.0,20.0,3.0,1.0,1.0,3.0,10.0,4.0,14.0,2.0,2.0,6.0,1.0,3.0,32.0,1.0,7.0,8.0,10.0,4.0,1.0,3.0,4.0,,4.0,1.0,8.0,1.0,4.0,9.0,8.0,1.0,4.0,,,,,7.0,36.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.5,0.4838709677419355,,0.42857142857142855,0.5,,0.42857142857142855,0.5416666666666666,0.5,0.4375,0.06060606060606061,0.0967741935483871,0.2,27.848101265822784,0.5,0.13725490196078433,0.04,0.10526315789473684,0.08333333333333333,0.07142857142857142,,0.09090909090909091,,0.30303030303030304,0.7,0.875,0.42857142857142855,0.2727272727272727,0.5555555555555556,0.625,0.36363636363636365,0.25,0.25,0.6666666666666666,0.030303030303030304,,,,0.030303030303030304,1.0,1.0,1.0,0.14285714285714285,,,0.36363636363636365,1.0,0.46708030303030307,,0.4172714285714285,0.1111111111111111,0.11764705882352941,0.05128205128205128,0.1794871794871795,9.974193548387097,24.55,0.24489795918367346,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.046511627906976744,0.037037037037037035,0.08695652173913043,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
201152,1610612755,Thaddeus Young,Thaddeus Young,201152,PHI,3968.0,66,2,116,117,29.0,57.0,7.0,233,4.0,5.0,2.0,3.0,6.0,,5.0,1.0,1.0,3.0,5.0,,,7.0,16.0,4.0,6.0,2.0,28.0,124,,,3.0,2.0,6.0,1.0,1.0,7.0,6.0,8.0,12.0,5.0,3.0,,2.0,2.0,4.0,1.0,1.0,1.0,,1.0,10.0,,3.0,4.0,6.0,1.0,1.0,,,1.0,2.0,,2.0,,7.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,,7.0,29.0,4.0,0.42857142857142855,0.42857142857142855,1.0,0.6666666666666666,1.0,0.6666666666666666,0.4375,,0.3333333333333333,0.5909090909090909,0.75,0.5,0.6086956521739131,0.75,0.5,0.2727272727272727,,,19.68503937007874,,0.07142857142857142,,0.05,,0.1111111111111111,,,,0.22727272727272727,0.8,0.8,0.75,0.2727272727272727,0.5,0.5,0.22727272727272727,,,,0.045454545454545456,1.0,1.0,1.0,0.22727272727272727,0.6,0.6,1.0,0.2857142857142857,,,0.5,0.6,0.48636363636363633,,0.4693,0.08695652173913043,0.11764705882352941,0.10714285714285714,0.25,9.04375,25.3,0.25,,,1.0,2.0,,1.0,,1.0,,,,,0.02702702702702703,0.04081632653061224,0.058823529411764705,0.16666666666666666,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,0.5,0.25,0.08333333333333333,0.125,1.0,0.5,1.0,0.5,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2738,1610612755,Andre Iguodala,Andre Iguodala,2738,PHI,5342.0,89,14,161,162,40.0,70.0,11.0,323,8.0,12.0,1.0,2.0,4.0,5.0,11.0,1.0,2.0,3.0,9.0,1.0,6.0,15.0,27.0,4.0,11.0,11.0,53.0,169,1.0,3.0,3.0,3.0,7.0,1.0,6.0,11.0,8.0,22.0,12.0,7.0,3.0,1.0,12.0,4.0,16.0,2.0,2.0,11.0,,1.0,36.0,4.0,8.0,13.0,16.0,3.0,3.0,,4.0,3.0,4.0,3.0,8.0,1.0,5.0,12.0,16.0,1.0,7.0,,,,,11.0,40.0,1.0,0.26666666666666666,0.26666666666666666,1.0,0.36363636363636365,0.16666666666666666,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.42857142857142855,0.5526315789473685,0.25,0.34615384615384615,0.5888888888888889,0.3,0.39285714285714285,0.2894736842105263,0.037037037037037035,0.08333333333333333,30.113636363636363,0.5,0.14814814814814814,0.18181818181818182,0.15789473684210525,0.25,0.125,0.16666666666666666,0.2,,0.3157894736842105,0.6666666666666666,0.7272727272727273,0.375,0.10526315789473684,0.5,0.5,0.2894736842105263,0.45454545454545453,0.45454545454545453,,0.05263157894736842,0.5,0.5,1.0,0.23684210526315788,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,0.46153846153846156,0.16666666666666666,0.6052631578947368,0.42857142857142855,0.48420138888888886,0.5094375,0.41419090909090905,0.17777777777777778,0.21212121212121213,0.05660377358490566,0.20754716981132076,9.233333333333333,29.509090909090904,0.2484472049689441,1.0,2.0,2.0,3.0,1.0,,,2.0,1.0,1.0,,,0.041666666666666664,0.04838709677419355,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,0.2,0.07142857142857142,,,,,1.0,,,1.0,2.0,1.0,2.0,1.0,0.14285714285714285,0.2,0.5,0.5,0.5,0.25,0.08333333333333333,,,,,True,,,,,,,,,,,,,,,
689,1610612755,Theo Ratliff,Theo Ratliff,689,PHI,5652.0,94,17,169,170,40.0,70.0,12.0,339,8.0,8.0,2.0,1.0,2.0,,1.0,,,,,,,9.0,11.0,,,2.0,20.0,177,1.0,1.0,4.0,2.0,2.0,,,4.0,18.0,,,,,,,,,,,,,,,7.0,7.0,17.0,23.0,1.0,,1.0,,,4.0,,4.0,6.0,24.0,6.0,4.0,,2.0,4.0,4.0,4.0,2.0,4.0,40.0,4.0,1.0,1.0,,,,,0.8181818181818182,1.0,1.0,0.8181818181818182,1.0,1.0,0.7692307692307693,0.6666666666666666,1.0,,,,9.239130434782608,,0.125,0.25925925925925924,0.1686746987951807,0.04,0.25,0.3125,0.18181818181818182,0.5,0.7272727272727273,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,0.09090909090909091,,,,,,,,,,,,1.0,,,0.7272727272727273,,0.5147181818181819,0.5492,0.5862,0.15384615384615385,0.15384615384615385,0.2,0.2,2.6999999999999997,,0.23668639053254437,2.0,,4.0,6.0,,,1.0,1.0,1.0,2.0,,,0.08,0.09375,0.12,0.13333333333333333,2.0,,,,,,,2.0,3.0,1.0,,,0.6,0.14285714285714285,0.1111111111111111,,,,1.0,,,1.0,1.0,,,,,0.2,1.0,1.0,1.0,,,2.0,1.0,0.09090909090909091,1.0,True,,,,,,,,,,,,,,,
2767,1610612755,Royal Ivey,Royal Ivey,2767,PHI,1200.0,20,10,36,40,6.0,11.0,4.0,76,,,,,,,,1.0,2.0,,1.0,,,,,1.0,3.0,,3.0,28,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,2.0,,,,,,,2.0,1.0,,,,,,,,,6.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,0.5,,,0.5,,,1.0,,,7.317073170731708,,0.09090909090909091,,0.05263157894736842,,0.2,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,1.0,,0.5442,0.5277,,,,,,,24.666666666666668,0.16666666666666666,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
923,1610612755,Donyell Marshall,Donyell Marshall,923,PHI,1145.0,19,17,34,33,2.0,3.0,3.0,67,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,4.0,,13.0,35,,,3.0,,,1.0,1.0,3.0,2.0,2.0,9.0,3.0,2.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,1.0,,,,1.0,2.0,3.0,1.0,,,,,,,,3.0,2.0,,0.5,0.5,1.0,0.75,1.0,0.75,1.0,,,1.0833333333333333,1.5,1.5,1.0833333333333333,1.5,1.5,0.6666666666666666,,,18.91891891891892,1.0,0.1111111111111111,0.125,0.11764705882352941,,,0.2,,,0.16666666666666666,1.0,1.0,1.0,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,,1.0,1.0,0.8333333333333334,0.6666666666666666,0.5131083333333334,0.49245,0.49245,,,0.23076923076923078,0.23076923076923078,7.6,24.6,0.058823529411764705,,,,,1.0,,,,,,,,,,,0.5,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
201578,1610612755,Marreese Speights,Marreese Speights,201578,PHI,73.0,1,3,3,3,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2501,1610612755,Reggie Evans,Reggie Evans,2501,PHI,160.0,3,-1,6,5,6.0,5.0,1.0,11,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2584,1610612755,Willie Green,Willie Green,2584,PHI,2123.0,35,-9,63,63,16.0,27.0,2.0,126,1.0,1.0,,,1.0,4.0,7.0,1.0,1.0,,1.0,,,5.0,9.0,1.0,2.0,1.0,14.0,72,,,,1.0,2.0,1.0,1.0,5.0,8.0,2.0,3.0,1.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,4.0,3.0,3.0,1.0,2.0,,,,,5.0,16.0,2.0,0.8,0.8,1.0,0.5,1.0,0.5,0.5555555555555556,,0.5,0.5909090909090909,,0.8333333333333334,0.5833333333333334,,0.8333333333333334,0.18181818181818182,,,18.46153846153846,,,0.125,0.037037037037037035,,,0.3333333333333333,,,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,,,0.6363636363636364,0.5714285714285714,0.5714285714285714,0.75,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,,,,,,,0.2727272727272727,,0.45194545454545454,,0.4497166666666666,0.16666666666666666,0.2,,0.35714285714285715,16.055555555555557,24.2,0.25396825396825395,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
