EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsUnassisted2s,PtsAssisted3s,DefThreePtRebounds,DefRebounds,Rebounds,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyArc3FGA,PenaltyFG3A,DefTwoPtRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,Technical Free Throw Trips,NonShootingFoulsDrawn,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,PenaltyArc3Frequency,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctAssisted,ShortMidRangeFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PtsUnassisted3s,OffThreePtRebounds,OffRebounds,SelfOReb,LostBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,DefShortMidRangeReboundPct,OffTwoPtRebounds,SecondChanceTurnovers,OffTwoPtReboundPct,OffLongMidRangeReboundPct,BlockedShortMidRange,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Arc3Assists,FTDefRebounds,RecoveredBlocks,SecondChanceFg2Pct,DefFTReboundPct,OffAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,FG2APctBlocked,AtRimPctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,SecondChanceFtPoints,Travels,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShortMidRangeAssists,Fg3aBlocked,Blocked3s,BlockedArc3,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct
200081,1610612748,Jamario Moon,Jamario Moon,200081,MIA,283.0,5,-3.0,8,8,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,25.0,0.5,0.14285714285714285,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.46595,18.7,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,1459.0,24,11.0,43,42,85,2.0,5.0,,,3.0,6.0,,1.0,8.0,33.0,2.0,,1.0,1.0,1.0,,,,0.5,0.42857142857142855,0.5,0.14285714285714285,22.22222222222222,0.14285714285714285,0.043478260869565216,,0.7142857142857143,0.4,0.4,,,,,0.2857142857142857,0.45195714285714284,16.7,25.8,30.0,24.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,8.0,4.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,8.0,30.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.75,0.8,1.0,0.5,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.25,1.0,0.46705,0.125,0.14285714285714285,1.0,0.6976744186046512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,1398.0,23,11.0,41,41,82,1.0,1.0,,,1.0,1.0,,3.0,4.0,33.0,,,,3.0,3.0,,,,1.0,0.25,0.3,0.75,11.627906976744185,,0.13636363636363635,,0.25,1.0,1.0,,,,,0.75,0.444625,16.3,27.26666666666667,30.0,24.0,2.0,,,,,3.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,,,,,,,,1.0,,1.0,,,1.0,1.0,2.0,1.0,2.0,,4.0,30.0,,1.0,1.0,1.0,0.5,0.5,,,,,,1.0,0.75,,,0.40354999999999996,,,1.0,0.7317073170731707,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,1081.0,18,15.0,32,31,63,,,,,1.0,1.0,,,4.0,18.0,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,6.0606060606060606,0.16666666666666666,0.05263157894736842,0.2,,,,,,,,1.0,0.5265,,,19.0,16.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,4.0,2.0,,2.0,,2.0,,,2.0,4.0,,,,,,,,,1.0,2.0,,4.0,19.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,1.0,0.5265,,,1.0,0.59375,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201563,1610612748,Michael Beasley,Michael Beasley,201563,MIA,1181.0,20,13.0,35,35,70,1.0,4.0,1.0,2.0,2.0,8.0,1.0,2.0,12.0,24.0,2.0,,1.0,3.0,4.0,,0.5,0.5,0.25,0.35,0.5,0.2,38.88888888888889,0.16666666666666666,0.15,0.2,0.4,0.25,0.25,0.2,0.5,0.5,,0.4,0.404975,13.462499999999999,25.15,22.0,19.0,1.0,1.0,2.0,,1.0,,5.0,1.0,4.0,4.0,9.0,2.0,,,,,,,,,1.0,,1.0,1.0,,2.0,1.0,1.0,3.0,5.0,3.0,9.0,22.0,,0.5,0.5,0.25,0.4166666666666667,0.5625,0.5,,0.2,0.5,0.5,1.0,,0.16666666666666666,,0.40784166666666666,0.25,0.3,0.75,0.6285714285714286,,2.0,2.0,,1.0,,,,0.14285714285714285,0.25,0.2,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.5,1.5,0.2,0.07142857142857142,1.0,0.14285714285714285,0.2,1.0,1.0,0.3333333333333333,0.5,0.25,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200821,1610612748,Yakhouba Diawara,Yakhouba Diawara,200821,MIA,830.0,14,16.0,25,25,50,,1.0,,,1.0,2.0,,1.0,2.0,14.0,2.0,,,2.0,2.0,,,,0.5,0.3333333333333333,0.25,0.3333333333333333,14.814814814814813,,0.18181818181818182,,0.3333333333333333,,,,,,,0.6666666666666666,0.5259166666666667,10.0,25.2,24.0,21.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,1.0,2.0,24.0,,,,0.5,0.3333333333333333,0.25,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.3333333333333333,1.0,0.5259166666666667,0.25,0.3333333333333333,1.0,0.96,1.0,1.0,2.0,,,,,,0.3333333333333333,,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,184.0,3,-2.0,5,5,10,,,,,1.0,1.0,,,2.0,4.0,,,,1.0,2.0,,,,1.0,1.0,1.0,,33.333333333333336,,0.5,,,,,,,,,1.0,0.5958,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,2.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.5958,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,184.0,3,-2.0,5,5,10,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,346.0,6,-2.0,10,9,19,,,,,,,,,2.0,11.0,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,,,6.0,3.0,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,6.0,,,,,,1.0,,,,,,,,,,,,,1.0,0.6,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612748,Jermaine O'Neal,Jermaine O'Neal,979,MIA,194.0,3,-2.0,6,6,12,1.0,1.0,,,2.0,2.0,,,5.0,11.0,2.0,,,,,,,,1.0,1.0,0.8333333333333334,,50.0,,,,0.5,1.0,1.0,,,,,0.5,0.33285,9.25,,6.0,3.0,,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,5.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,,1.0,2.0,1.0,5.0,6.0,,0.5,0.5,1.0,1.0,0.8333333333333334,,,0.5,1.0,1.0,,,0.5,1.0,0.33285,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
