EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,FtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,ShortMidRangeFGA,DefTwoPtRebounds,DefRebounds,DeadBallTurnovers,Offensive Fouls Drawn,3SecondViolations,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceFG2A,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffShortMidRangeReboundPct,PtsAssisted3s,TwoPtAssists,LongMidRangeAssists,DefThreePtRebounds,Assisted3sPct,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Arc3PctAssisted,SecondChanceArc3PctAssisted,PenaltyFtPoints,PenaltyPoints,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyTsPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFg2Pct,PenaltyEfgPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyShotQualityAvg,Corner3Assists,on,AtRimFGM,FTDefRebounds,LostBallTurnovers,ShootingFouls,Fouls,LongMidRangePctBlocked,DefFTReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,AtRimAssists,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,ShortMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,Technical Free Throw Trips,Blocked3s,BlockedCorner3,OffCorner3ReboundPct,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,BlockedArc3,BlockedLongMidRange,Corner3PctBlocked,FTOffRebounds,Loose Ball Fouls,DefensiveGoaltends,OffensiveGoaltends,OffFTReboundPct
101194,1610612741,Anthony Roberson,Anthony Roberson,101194,CHI,252.0,4,8,8,8,2.0,16,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,5.0,1.0,1.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.5,1.0,1.5,0.5,0.5,1.0,45.45454545454545,1.0,0.25,0.25,0.5,0.25,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.437425,0.39765,0.375,11.35,26.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200748,1610612741,Tyrus Thomas,Tyrus Thomas,200748,CHI,460.0,8,13,15,14,2.0,29,1.0,1.0,1.0,,,,,1.0,2.0,,,4.0,12.0,,,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,,,0.5,0.5,,0.6666666666666666,,,0.5,1.0,16.666666666666668,,,,,0.5,0.5,1.0,1.0,1.0,,,,,,0.5,,0.4557,,,8.75,,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201189,1610612741,Aaron Gray,Aaron Gray,201189,CHI,553.0,9,17,18,16,3.0,34,,,1.0,,,,,,2.0,,,,12.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,13.636363636363637,,,,,,0.5,,,,,,,,,,,0.3739,,,10.25,,2.0,1.0,,1.0,,,2.0,,,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.125,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,1610612741,Linton Johnson,Linton Johnson,2669,CHI,510.0,8,13,16,15,3.0,31,,,1.0,,,,,,1.0,,,2.0,11.0,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,0.5,,,,,10.0,,0.16666666666666666,0.14285714285714285,,,1.0,,,,,,,,,,,0.3805,0.3805,,16.0,,,,2.0,1.0,2.0,1.0,,0.5,0.5,,,2.0,2.0,,,,0.5,0.2857142857142857,0.6666666666666666,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612741,Lindsey Hunter,Lindsey Hunter,283,CHI,510.0,8,13,16,15,3.0,31,,,,1.0,2.0,1.0,1.0,,,1.0,2.0,3.0,11.0,1.0,1.0,3.0,,,2.0,1.0,,,,3.0,,,,,,,,0.5,1.0,0.5,,0.75,1.5,0.75,1.5,1.0,,,10.0,,,,,,,,,,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5488500000000001,0.54525,1.0,,24.950000000000003,,,,,,,,,,,,1.0,3.0,,,,0.25,0.42857142857142855,,,,1.0,3.0,1.0,7.0,,3.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201565,1610612741,Derrick Rose,Derrick Rose,201565,CHI,43.0,1,4,2,1,,3,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,2.0,,2.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,2.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,1610612741,John Salmons,John Salmons,2422,CHI,43.0,1,4,2,1,,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,1610612741,Kirk Hinrich,Kirk Hinrich,2550,CHI,301.0,5,9,10,8,1.0,18,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,2.0,10.0,7.0,1.0,1.0,3.0,2.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.5,1.0,1.5,0.6666666666666666,,,45.45454545454545,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,0.6666666666666666,1.0,0.4411333333333333,0.3729,0.3,21.5,24.75,2.0,1.0,2.0,2.0,4.0,1.0,2.0,0.25,0.5,0.2,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,1.0,,1.0,3.0,1.0,3.0,,0.75,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.4192,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,1610612741,Ben Gordon,Ben Gordon,2732,CHI,93.0,2,4,3,2,1.0,5,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,25.0,,1.0,0.5,1.0,1.0,,,,,,,,,,1.0,,0.5181,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,1610612741,Tim Thomas,Tim Thomas,1501,CHI,907.0,15,-3,27,29,2.0,56,1.0,1.0,4.0,1.0,3.0,,1.0,2.0,6.0,1.0,4.0,7.0,30.0,,1.0,,4.0,,3.0,1.0,1.0,,,3.0,,,1.0,,1.0,1.0,1.0,0.25,,0.25,0.3333333333333333,0.35,,0.35,,0.4,0.16666666666666666,,36.66666666666667,1.0,,,,0.1,0.4,0.25,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,,0.5,0.3333333333333333,0.48504,0.59595,,14.466666666666667,24.7,,8.0,,,,,,,,,1.0,1.0,3.0,,,,0.09090909090909091,0.13333333333333333,,0.1,,,,,,,3.0,,,1.0,1.0,0.25,0.2,0.5,,1.0,,,,,,,,,,1.0,,,,,,,0.1,,,,,,,,,False,1.0,1.0,1.0,3.0,4.0,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
