EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,StepOutOfBoundsTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,Fg2aBlocked,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,LongMidRangePctAssisted,TwoPtAssists,AtRimAssists,LongMidRangeAssists,LostBallSteals,Offensive Fouls Drawn,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted3s,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,AtRimPctBlocked,on,PenaltyCorner3FGA,SelfOReb,Technical Free Throw Trips,SelfORebPct,PenaltyCorner3Frequency,FTOffRebounds,OffFTReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted
200081,1610612748,Jamario Moon,Jamario Moon,200081,MIA,2388.0,40.0,-5.0,75,75,19.0,20.0,6.0,150,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,12.0,77.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,0.4,9.876543209876543,0.5,0.25,0.03225806451612903,0.09090909090909091,0.3333333333333333,0.125,0.11627906976744186,0.1,0.2,0.0625,0.5,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,0.484,0.5946,0.45995,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,12.966666666666667,24.25,0.25333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,283.0,5.0,-3.0,8,8,,,,16,,,,,,,,2.0,,,,2.0,,,,8.0,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,0.3752,,,,,,,18.95,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,2388.0,40.0,-5.0,75,75,19.0,20.0,6.0,150,1.0,1.0,,,,,,2.0,,1.0,1.0,4.0,5.0,11.0,17.0,77.0,,,3.0,,1.0,3.0,,15.0,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,3.0,19.0,1.0,0.45454545454545453,0.5,0.25,,,0.5666666666666667,1.5,0.75,0.5666666666666667,1.5,0.75,0.7333333333333333,19.753086419753085,,,0.03225806451612903,,0.08333333333333333,,0.046511627906976744,,,,,,0.16666666666666666,,,0.06666666666666667,1.0,1.0,0.13333333333333333,,,0.06666666666666667,,,,,,,,0.8,0.5216178571428571,0.63225,0.423225,,,0.17647058823529413,0.17647058823529413,11.725,27.663636363636364,0.25333333333333335,,1.0,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.06666666666666667,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201202,1610612748,Joel Anthony,Joel Anthony,201202,MIA,283.0,5.0,-3.0,8,8,,,,16,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.14285714285714285,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201563,1610612748,Michael Beasley,Michael Beasley,201563,MIA,1759.0,29.0,-10.0,55,56,8.0,8.0,5.0,111,2.0,3.0,,,,1.0,2.0,11.0,,,4.0,14.0,,,9.0,58.0,,,1.0,,4.0,1.0,4.0,,,2.0,2.0,2.0,6.0,,,2.0,8.0,1.0,11.0,,11.0,,,1.0,,1.0,2.0,2.0,2.0,,2.0,2.0,,1.0,,1.0,1.0,1.0,8.0,,,,0.2857142857142857,,,0.2857142857142857,,,0.3,0.5,0.1,,28.333333333333336,0.5,0.3333333333333333,0.3333333333333333,,0.2857142857142857,,0.3225806451612903,,,,,0.25,,0.5,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.7857142857142857,0.18181818181818182,0.2,,,,,,,0.25,,0.21428571428571427,0.39690000000000003,,0.373625,,,0.1111111111111111,0.1111111111111111,16.000000000000004,,0.14545454545454545,,,,,,,,,,,,,4.0,,,,,,,0.5,0.5,,,0.25,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.09090909090909091,0.4166666666666667,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,654.0,11.0,-5.0,20,19,,,1.0,39,1.0,1.0,,,,,,1.0,,,1.0,2.0,,,2.0,29.0,,,,,,,2.0,,,1.0,4.0,1.0,9.0,,,,,,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,0.5,,,0.5,,,0.5,,,,19.047619047619047,0.5,,,,,,,,,,,,,,,0.5,1.0,1.0,0.5,,,,,,,,,,,0.5,0.36895,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,737.0,12.0,-5.0,26,26,5.0,1.0,2.0,52,,,,,,,,,,,,,,,,29.0,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,3.0,4.0,,1.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19230769230769232,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
979,1610612748,Jermaine O'Neal,Jermaine O'Neal,979,MIA,1368.0,23.0,3.0,41,41,14.0,19.0,4.0,82,,,,,,,,1.0,,,1.0,2.0,,,5.0,40.0,,,,1.0,1.0,4.0,,,,,1.0,,2.0,,,1.0,,1.0,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,14.0,,,,0.5,,1.0,0.5,,1.0,0.625,,1.0,,11.11111111111111,,0.5,,,0.1111111111111111,,0.037037037037037035,,,,,,0.25,,0.4,,,,0.5,,,,,,,,,,,,0.34835000000000005,,0.3491,0.5,0.5,,0.8,12.6,,0.34146341463414637,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,,,3.0,,2.0,,,,,,4.0,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,1425.0,24.0,3.0,46,47,18.0,19.0,5.0,93,1.0,5.0,,,,2.0,2.0,3.0,,1.0,3.0,8.0,4.0,7.0,21.0,40.0,1.0,1.0,2.0,,2.0,10.0,4.0,,,1.0,5.0,1.0,11.0,,,1.0,3.0,,4.0,,4.0,1.0,,2.0,2.0,4.0,6.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,,2.0,2.0,10.0,18.0,,0.5714285714285714,0.5714285714285714,0.375,1.0,,0.6,1.0,0.75,0.6176470588235294,1.0,0.7142857142857143,0.4666666666666667,45.09803921568627,0.3333333333333333,,0.13636363636363635,,0.1111111111111111,,0.12903225806451613,,,,,0.14285714285714285,0.25,,1.0,0.3333333333333333,0.2,0.25,0.2,0.6666666666666666,0.6666666666666666,0.06666666666666667,,,,,,0.3333333333333333,,0.8,0.5229433333333334,0.3691,0.520025,0.0625,0.1111111111111111,0.09523809523809523,0.47619047619047616,7.7250000000000005,25.38571428571429,0.391304347826087,,,4.0,6.0,,,3.0,4.0,,,3.0,4.0,2.0,,6.0,4.0,,,,0.3333333333333333,0.3333333333333333,,0.75,,1.0,,0.4,0.6666666666666666,0.6666666666666666,,,,,0.6666666666666666,0.75,0.6666666666666666,3.0,,1.0,1.0,,,,1.0,1.0,1.0,0.125,,0.16666666666666666,,4.0,1.0,2.0,1.0,,,,,,12.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,True,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,629.0,10.0,5.0,20,19,11.0,12.0,1.0,39,,,,,,,3.0,3.0,,,3.0,3.0,,,6.0,19.0,,,,1.0,1.0,2.0,,,,,,,,,1.0,,3.0,,3.0,1.0,4.0,,,,,,,,,,,,,,,,,2.0,11.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,14.285714285714286,,,0.42857142857142855,0.5,,,0.25,0.3333333333333333,,1.0,,0.6666666666666666,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.39316666666666666,,0.4009,,,,0.3333333333333333,16.833333333333332,,0.55,,,,,,,,,,,,,6.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
