EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,FTDefRebounds,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,OffTwoPtRebounds,SelfOReb,ShootingFouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Technical Free Throw Trips,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,PenaltyFg3Pct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls Drawn,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,BlockedAtRim,3SecondViolations,SecondChanceAtRimPctAssisted,on,PenaltyArc3FGM,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefArc3ReboundPct,PenaltyArc3Accuracy,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,2070.0,34,67,66,8.0,7.0,7.0,133,3.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,10.0,2.0,3.0,14.0,70,1.0,2.0,6.0,3.0,3.0,3.0,2.0,2.0,6.0,4.0,10.0,3.0,1.0,3.0,1.0,2.0,24.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,4.0,8.0,0.25,0.25,0.5,0.6666666666666666,0.6666666666666666,0.4,0.5384615384615384,0.5384615384615384,0.23076923076923078,0.2,0.16666666666666666,0.5,24.0,0.2,0.1111111111111111,0.09090909090909091,0.14285714285714285,0.14285714285714285,0.46153846153846156,0.5,0.6,0.3333333333333333,0.15384615384615385,0.5,1.0,0.15384615384615385,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6923076923076923,0.6666666666666666,0.5407923076923077,0.52455,4.92,24.96666666666667,0.11940298507462686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,125.0,2,4,3,3.0,2.0,1.0,7,1.0,1.0,,,1.0,,,,1.0,2.0,,,2.0,5,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,3.0,,,,,,0.5,0.5,0.5,,,,,40.0,,,,,,0.5,1.0,1.0,,,,,0.5,,,,,,0.5,,0.5019,0.5019,7.7,,0.75,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1723,1610612762,Matt Harpring,Matt Harpring,1723,UTA,156.0,3,5,6,5.0,6.0,,11,,,,,1.0,,,,1.0,1.0,,,2.0,4,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,5.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,20.0,,,,,,,,,,,,,1.0,,,,,,,,0.4184,0.4184,19.5,,1.0,4.0,,,,,,,,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,2121.0,35,68,67,8.0,7.0,7.0,135,1.0,1.0,,1.0,3.0,,,,1.0,5.0,,,8.0,72,,,2.0,,,,,,1.0,,1.0,,,,,1.0,2.0,5.0,6.0,10.0,1.0,1.0,,,,,,,,9.0,,9.0,8.0,,,,,,0.2,0.2,0.4444444444444444,,,,,11.842105263157894,,0.2631578947368421,0.21739130434782608,0.14285714285714285,0.14285714285714285,0.2,1.0,1.0,,0.2,,,0.6,,,,,,0.2,,0.45010000000000006,,12.02,,0.11764705882352941,,1.0,1.0,,,1.0,1.0,4.0,,,2.0,2.0,,4.0,2.0,1.0,,1.0,,1.0,1.0,,0.12903225806451613,,1.0,1.0,,,0.5,0.25,,1.0,0.3333333333333333,,,,6.0,2.0,2.0,4.0,1.0,2.0,4.0,8.0,3.0,1.0,1.0,1.0,0.14814814814814814,0.3333333333333333,0.25,0.058823529411764705,0.6,0.25,0.5818,0.375,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,1799.0,30,58,58,8.0,7.0,5.0,116,,,,,6.0,3.0,5.0,,2.0,6.0,4.0,7.0,17.0,63,1.0,4.0,,12.0,,5.0,3.0,,3.0,1.0,4.0,1.0,,1.0,,2.0,9.0,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,8.0,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.6153846153846154,0.6153846153846154,0.5384615384615384,,,,21.875,1.0,,,,,,,,,,,,0.46153846153846156,0.38461538461538464,0.6,0.6,1.0,,0.5384615384615384,0.6,0.5075692307692308,0.464025,16.316666666666666,24.842857142857145,0.13793103448275862,,,,,,,,3.0,,1.0,3.0,,,,3.0,,,1.5,0.75,1.5,0.75,,,,,,,,0.17647058823529413,0.17647058823529413,2.0,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,0.58815,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,377.0,6,12,10,2.0,1.0,3.0,22,1.0,1.0,,,,,,,1.0,1.0,,,4.0,12,,2.0,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,18.75,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,0.6645,,,,0.16666666666666666,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
200758,1610612762,Ronnie Brewer,Ronnie Brewer,200758,UTA,1982.0,33,64,64,5.0,5.0,6.0,128,,1.0,1.0,1.0,9.0,,,,4.0,11.0,,,9.0,67,,6.0,2.0,,,,,1.0,2.0,,2.0,,,,1.0,1.0,4.0,2.0,5.0,5.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,3.0,5.0,0.75,0.75,,,,0.36363636363636365,0.36363636363636365,0.375,,0.09090909090909091,1.0,,20.0,0.5,0.11764705882352941,0.19047619047619047,0.2857142857142857,,0.09090909090909091,,,,0.09090909090909091,1.0,1.0,0.8181818181818182,,,,,,0.09090909090909091,,0.4278545454545455,0.4237,17.672727272727272,,0.078125,-2.0,,,,,,,,1.0,1.0,3.0,,,,3.0,,1.0,,1.0,,0.75,,,,,,,,,0.3333333333333333,3.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,0.6666666666666666,1.0,,,,True,,,,,,,,,,,,,,,,,,,,
2430,1610612762,Carlos Boozer,Carlos Boozer,2430,UTA,1873.0,31,60,59,1.0,,6.0,119,4.0,6.0,1.0,3.0,4.0,,,,8.0,13.0,,,16.0,63,,14.0,2.0,,,,,,2.0,,2.0,,,1.0,,1.0,4.0,6.0,7.0,8.0,1.0,1.0,,,,2.0,,2.0,,2.0,,,1.0,0.875,0.875,,,,0.6153846153846154,0.6153846153846154,0.6153846153846154,,,,,22.388059701492537,,0.375,0.35,0.2857142857142857,0.6,0.46153846153846156,0.6666666666666666,0.6666666666666666,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.3076923076923077,,,,,,0.46153846153846156,,0.49133846153846156,,6.684615384615385,,0.016666666666666666,-3.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,,1.0,,,0.03571428571428571,,1.0,1.0,,,0.125,,3.0,,,0.75,0.75,0.6666666666666666,,,,1.0,,2.0,,,,,,,0.04,,,0.06666666666666667,0.25,,0.5875,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,0.25,0.3333333333333333,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,51.0,1,1,1,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,51.0,1,1,1,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
