EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFtPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,Steals,LostBallSteals,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg2Pct,PenaltyFg2Pct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,FTDefRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LongMidRangePctAssisted,ShortMidRangeFGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,SecondChanceArc3Frequency,SecondChanceFtPoints,Travels,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,DefAtRimReboundPct,OffShortMidRangeReboundPct,on,Corner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,RecoveredBlocks,SecondChanceFg3Pct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PtsPutbacks,BlockedShortMidRange,3SecondViolations,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3FGM,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends
101120,1610612742,Antoine Wright,Antoine Wright,101120,DAL,731.0,12,-6.0,19,20,7,13,3.0,39,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4,2.0,2.0,6.0,20,1.0,1.0,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,7,1.0,1.0,1.0,0.5,0.75,0.5,0.75,0.3333333333333333,29.166666666666668,1.0,0.2,0.1111111111111111,0.2,0.08333333333333333,0.5,1.0,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.47582499999999994,0.5946,0.4124,0.5,7.675000000000001,24.55,0.3684210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101123,1610612742,Gerald Green,Gerald Green,101123,DAL,1563.0,26,-6.0,48,50,31,42,7.0,98,1.0,,1.0,7.0,1.0,4.0,1.0,2.0,9,1.0,5.0,11.0,47,1.0,7.0,1.0,2.0,11.0,,4.0,1.0,,,,,,2.0,2.0,,2.0,,2.0,,2.0,11.0,31,0.2,0.5,0.2,0.32142857142857145,0.5,0.34375,0.5,0.35714285714285715,32.14285714285714,1.0,0.1111111111111111,,0.10526315789473684,,,,,0.07142857142857142,0.07142857142857142,0.5,0.2857142857142857,0.25,0.25,,0.2222222222222222,0.5,0.42857142857142855,0.25,0.4580285714285714,0.3643,0.44212777777777773,1.0,14.366666666666667,24.46,0.6458333333333334,1.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.42857142857142855,0.25,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.07142857142857142,1.0,0.1111111111111111,1.0,0.125,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101138,1610612742,Brandon Bass,Brandon Bass,101138,DAL,585.0,10,8.0,19,20,16,20,3.0,39,1.0,1.0,1.0,,,,,,2,,,4.0,13,1.0,2.0,,,2.0,,,,,,,,,1.0,2.0,,2.0,,,,,2.0,16,,,,0.5,0.5,0.6666666666666666,0.5,,13.636363636363637,,0.125,,0.1111111111111111,,,,,0.5,0.5,,,,,1.0,,,0.5,,0.47175,0.5309,0.47175,0.5,5.55,,0.8421052631578947,1.0,1.0,1.0,,,1.0,2.0,1.0,,2.0,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101189,1610612742,James Singleton,James Singleton,101189,DAL,1011.0,17,,28,30,16,22,5.0,58,,,,1.0,,1.0,,1.0,1,,1.0,2.0,27,,1.0,,1.0,2.0,,1.0,,,,,,1.0,1.0,2.0,1.0,3.0,,,,1.0,2.0,16,,,,0.5,0.5,0.3333333333333333,0.5,0.5,11.76470588235294,,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.07142857142857142,0.5,,,,,0.5,0.5,,,,0.5,,0.5,,0.42079999999999995,,0.42079999999999995,1.0,19.5,25.5,0.5714285714285714,,,,1.0,,1.0,,1.0,,2.0,,,,,,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,1.0,0.2,,,,1.0,1.0,,,,,0.3333333333333333,0.5,,,,1.0,,,,0.5,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,707.0,12,6.0,20,22,19,16,5.0,42,,,1.0,,,1.0,,,1,,1.0,2.0,21,,1.0,,,2.0,,1.0,,3.0,4.0,2.0,9.0,1.0,,,1.0,1.0,,,,,2.0,19,,,,0.5,1.0,0.5,1.0,0.5,8.333333333333334,,,0.3333333333333333,,0.14285714285714285,,,,,0.5,,0.5,,,,,,0.5,,0.4095,,0.3921,1.0,8.3,24.6,0.95,,,,,,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,594.0,10,-8.0,21,21,15,20,2.0,42,1.0,,,1.0,,1.0,,1.0,2,,1.0,2.0,22,,2.0,,1.0,2.0,,1.0,,,,,,,2.0,2.0,,2.0,,1.0,1.0,1.0,2.0,15,,,,,,0.25,0.25,0.3333333333333333,21.73913043478261,1.0,0.16666666666666666,,0.15384615384615385,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,,0.6666666666666666,,0.4897666666666667,0.4236,0.4897666666666667,1.0,7.55,25.1,0.7142857142857143,,,1.0,,,,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,0.6666666666666666,,,,,,,,0.3333333333333333,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200797,1610612742,Ryan Hollins,Ryan Hollins,200797,DAL,1266.0,21,-14.0,40,41,24,33,5.0,81,2.0,1.0,2.0,,,,,,4,,,6.0,42,1.0,2.0,,,6.0,,,,,,,,1.0,5.0,5.0,1.0,6.0,,,,1.0,6.0,24,,,,0.25,0.5,0.42857142857142855,0.6,,17.391304347826086,,0.29411764705882354,0.05555555555555555,0.2777777777777778,0.043478260869565216,,,,0.5,0.5,,,,,1.0,,,0.5,,0.428175,0.5722,0.42425,1.0,4.750000000000001,,0.6,1.0,1.0,1.0,,,1.0,4.0,1.0,4.0,2.0,,,1.0,1.0,,,3.0,6.0,5.0,6.0,2.0,2.0,1.0,1.0,,0.25,0.5,0.14285714285714285,0.5,0.5,1.0,,,,,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,4.0,,1.0,1.0,1.0,,1.0,1.0,0.6666666666666666,,1.0,,,,,,0.16666666666666666,,,,,1.0,0.25,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,1610612742,Matt Carroll,Matt Carroll,2679,DAL,631.0,11,-1.0,19,20,9,18,3.0,39,,,1.0,,,,,,1,,,,17,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,9,,,,,,,,,9.090909090909092,1.0,,,,,,,,,1.0,,,,,,,,,,0.3492,,,,12.5,,0.47368421052631576,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,463.0,8,-3.0,17,17,12,17,1.0,34,,,2.0,,,,,,2,,,2.0,14,,2.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,2.0,12,,,,0.5,0.5,0.5,0.5,,10.526315789473685,,,,,,,,,,1.0,,,,,,,,,,0.48165,,0.48165,1.0,7.55,,0.7058823529411765,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,1.0,,,,0.3333333333333333,,,,,,,1.0,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,264.0,4,-6.0,9,9,6,9,1.0,18,,,2.0,2.0,,,,,4,,,6.0,12,1.0,2.0,,,6.0,,,,,,,,1.0,1.0,2.0,1.0,3.0,,,,,6.0,6,,,,0.5,1.0,0.6,1.0,,50.0,,0.2,0.2,0.2,0.16666666666666666,,,,,0.5,0.5,,,,,,,,,0.37245,0.3867,0.35925,1.0,13.725000000000001,,0.6666666666666666,,,,1.0,,2.0,2.0,2.0,2.0,,4.0,,,,,,,,1.0,2.0,,,,,,0.5,1.0,1.0,,,,0.5,0.5,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,0.5,1.0,,,1.0,0.25,,,,,,1.0,,,,1.0,0.5,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
