EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,FG3APct,Usage,AtRimFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceArc3FGA,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,PtsAssisted2s,DefTwoPtRebounds,FTDefRebounds,DefRebounds,ShootingFouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefThreePtRebounds,Loose Ball Fouls,Blocked2s,BlockedShortMidRange,Blocks,DefThreePtReboundPct,DefArc3ReboundPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefShortMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,DefAtRimReboundPct,Fg2aBlocked,OffThreePtRebounds,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,on,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,BlockedAtRim,RecoveredBlocks,AtRimPctBlocked,LiveBallTurnoverPct,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Loose Ball Fouls Drawn,FTOffRebounds,OffFTReboundPct,SelfOReb,LostBallOutOfBoundsTurnovers,DefCorner3ReboundPct,SelfORebPct,Travels,3SecondViolations,SecondChanceArc3FGM,Technical Free Throw Trips,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,195.0,3,-5.0,9,9,9.0,9.0,3.0,18,1.0,1.0,1.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,9.0,1.0,0.5,16.666666666666668,0.5,0.5,0.5,0.5,1.0,0.55065,0.55065,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,962.0,16,3.0,30,32,14.0,22.0,8.0,62,5.0,4.0,3.0,2.0,7.0,3.0,37,5.0,2.0,3.0,4.0,14.0,3.0,0.3,28.205128205128204,0.5,0.3,0.5714285714285714,0.2857142857142857,0.8,0.47017499999999995,0.4873142857142857,27.600000000000005,0.4666666666666667,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,8.0,1.0,4.0,1.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,13.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,0.42857142857142855,0.25,0.4,0.3,0.2,0.2857142857142857,0.36363636363636365,0.2,0.375,0.23076923076923078,0.15789473684210525,0.2,0.3333333333333333,0.4,0.4,0.2,0.5,0.5,0.8,0.25,0.2,0.25,0.4742699999999999,0.25,0.75,5.171428571428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,962.0,16,3.0,30,32,14.0,22.0,8.0,62,5.0,1.0,,,8.0,,37,1.0,,,1.0,14.0,,,23.076923076923077,0.625,,1.0,,0.625,0.5178375000000001,0.5793,,0.4666666666666667,4.0,1.0,1.0,,,1.0,,6.0,2.0,14.0,1.0,2.0,,2.0,,,,2.0,,,,,,,,,1.0,1.0,5.0,,,2.0,3.0,,,,0.75,0.5,,0.75,0.5,,0.7777777777777778,0.5,,0.07692307692307693,0.05263157894736842,,,0.8,0.8,0.125,,,0.5,1.0,,,0.4676,0.14285714285714285,,3.45,2.0,2.0,10.0,2.0,2.0,4.0,1.0,1.0,2.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.2,0.15384615384615385,0.5,0.4,1.0,0.25,1.0,1.0,0.5,1.0,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246,1610612762,Mehmet Okur,Mehmet Okur,2246,UTA,720.0,12,8.0,24,24,11.0,17.0,6.0,48,,,,,2.0,,25,2.0,,,4.0,11.0,,,9.67741935483871,,,,,,0.35255,0.35255,,0.4583333333333333,,,,,,1.0,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,2.0,,2.0,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,0.5,,,,,,,,,1.0,13.05,,1.0,,,,1.0,3.0,,1.0,,,,,0.1,,,,0.5,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,842.0,14,10.0,27,28,14.0,21.0,7.0,55,1.0,,1.0,1.0,2.0,5.0,27,,4.0,1.0,1.0,14.0,,0.7142857142857143,20.0,0.14285714285714285,0.14285714285714285,,0.25,0.8571428571428571,0.5311642857142858,0.4798125,24.720000000000002,0.5185185185185185,1.0,,,,,1.0,,1.0,,11.0,,,1.0,3.0,,,6.0,2.0,,3.0,,3.0,,3.0,,6.0,1.0,1.0,4.0,1.0,1.0,1.0,,,6.0,,0.5,,,0.7857142857142857,1.5,0.75,0.7857142857142857,1.5,0.75,0.07692307692307693,0.05555555555555555,,0.16666666666666666,1.0,1.0,0.14285714285714285,,,,,,,,0.2727272727272727,0.5454545454545454,8.4,,,,2.0,1.0,3.0,1.0,,,,,0.3333333333333333,0.2222222222222222,0.16666666666666666,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,9.0,1.0,0.6,1.0,0.5,0.6,0.5,0.5714285714285714,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,120.0,2,-7.0,3,4,,1.0,1.0,7,,,,,,1.0,10,,,,1.0,,,1.0,50.0,,,,,1.0,0.54045,,22.8,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,209.0,3,-2.0,5,7,3.0,4.0,1.0,12,,,,,1.0,,9,1.0,,,,3.0,,,33.333333333333336,,,,,,0.3524,0.3524,,0.6,,,,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,0.5,,,,,,,,,1.0,,,,,,,,,,21.0,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,1610612762,Jarron Collins,Jarron Collins,2260,UTA,51.0,1,,1,1,,,,2,,,,,,,2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,1610612762,Carlos Boozer,Carlos Boozer,2430,UTA,191.0,3,-5.0,5,7,3.0,5.0,2.0,12,,,,,,,10,,,,,3.0,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200758,1610612762,Ronnie Brewer,Ronnie Brewer,200758,UTA,558.0,9,10.0,16,16,2.0,9.0,4.0,32,1.0,1.0,,,3.0,,16,1.0,,,1.0,2.0,,,14.285714285714286,0.3333333333333333,,1.0,,0.3333333333333333,0.5182333333333333,0.6649,,0.125,1.0,1.0,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,2.0,1.0,,2.0,2.0,2.0,,,,,,,,,2.0,4.0,1.0,1.0,,,,2.0,,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,,0.25,,,1.0,1.0,0.3333333333333333,,,1.0,1.0,,1.0,,1.0,1.0,8.0,,1.0,,1.0,,2.0,1.0,,,,,,0.16666666666666666,0.2222222222222222,,0.3333333333333333,,0.3333333333333333,,,,,,,1.0,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
