EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,SelfOReb,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,HeaveAttempts,Fg3aBlocked,Arc3Assists,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,2pt And 1 Free Throw Trips,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffThreePtRebounds,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,OffThreePtReboundPct,OffArc3ReboundPct,on,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedCorner3,BlockedArc3,SecondChanceCorner3PctAssisted,Technical Free Throw Trips
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,2418.0,40,-9,73,72,21,13,11.0,145,6.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,14,14.0,86,1.0,2.0,2.0,4.0,14.0,2.0,2.0,5.0,5.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,5.0,4.0,1.0,5.0,2.0,4.0,21,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.4666666666666667,0.6666666666666666,0.14285714285714285,0.18181818181818182,21.176470588235293,0.3333333333333333,0.2,0.06896551724137931,0.15625,0.05714285714285714,0.18181818181818182,0.25,0.16666666666666666,0.14285714285714285,0.4,0.7857142857142857,0.5454545454545454,0.6666666666666666,1.0,0.07142857142857142,0.14285714285714285,0.5,0.5,1.0,1.0,0.5,1.0,0.7857142857142857,0.5396571428571428,0.5496,0.4631,0.2857142857142857,3.2928571428571423,0.2876712328767123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,1220.0,20,-2,36,38,4,4,3.0,74,,1.0,1.0,,,1.0,2.0,3.0,3.0,5,6.0,38,1.0,,,,6.0,,1.0,2.0,2.0,1.0,3.0,,,,,,,,,,2.0,3.0,,1.0,,1.0,,,,,,,,,4,,1.0,1.0,0.6,,0.6,,0.6,,,,12.5,,0.18181818181818182,0.09090909090909091,0.1,0.07692307692307693,0.16666666666666666,,0.5,,,0.2,,,,0.2,0.6,0.6666666666666666,0.6666666666666666,1.0,1.0,,,0.2,0.41022,0.541,,,12.38,0.1111111111111111,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1740,1610612753,Rashard Lewis,Rashard Lewis,1740,ORL,4292.0,72,-16,130,128,32,23,12.0,258,1.0,1.0,1.0,,,8.0,1.0,2.0,4.0,11,21.0,146,2.0,,1.0,1.0,2.0,1.0,3.0,9.0,11.0,3.0,14.0,,,,1.0,,,1.0,1.0,,1.0,5.0,,4.0,,,2.0,,,,,,,1.0,32,,0.25,0.3333333333333333,0.36363636363636365,,0.5,,0.5,0.16666666666666666,0.09090909090909091,,15.602836879432624,1.0,0.2,0.07692307692307693,0.16666666666666666,0.05263157894736842,,0.13333333333333333,0.25,0.21428571428571427,,0.05,1.0,1.0,,0.4,0.1,0.5,0.5,1.0,0.3333333333333333,,,0.5,0.4603300000000001,0.5055,0.3954,0.047619047619047616,9.109090909090911,0.24615384615384617,2.0,8.0,9.0,4.0,2.0,19.0,0.25,0.2857142857142857,,1.0,1.0,2.0,3.0,7.0,1.0,1.0,1.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,6.0,12.0,2.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.4444444444444444,1.0,0.4444444444444444,0.5,0.8333333333333334,0.75,0.45,0.125,1.0,0.06666666666666667,0.09090909090909091,0.13333333333333333,0.07142857142857142,0.09090909090909091,0.1,0.5,0.5,1.0,0.35,0.42857142857142855,0.42857142857142855,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.42857142857142855,0.047619047619047616,0.08333333333333333,0.2857142857142857,25.15555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,1648.0,27,4,48,48,15,17,10.0,96,,2.0,,,1.0,,1.0,3.0,1.0,5,8.0,47,,,1.0,3.0,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,3.0,15,,,,0.2,,0.4444444444444444,0.5,0.4444444444444444,0.5,0.2,0.5,17.24137931034483,,0.05263157894736842,,0.037037037037037035,,,,,0.125,,0.2222222222222222,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,0.6666666666666666,0.5236166666666667,0.5088,0.5460666666666666,0.375,10.72,0.3125,,4.0,5.0,2.0,,11.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,,,1.0,1.0,,3.0,2.0,,2.0,6.0,,3.0,1.0,1.0,1.0,2.0,,,,,,1.0,0.5,1.0,0.5,,1.5,1.5,0.4444444444444444,,,,,,,,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,,,0.375,24.975,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,5388.0,90,-13,162,160,52,35,18.0,322,1.0,4.0,,,1.0,4.0,3.0,9.0,7.0,17,19.0,181,,1.0,3.0,4.0,4.0,1.0,1.0,4.0,6.0,1.0,7.0,1.0,1.0,,4.0,1.0,3.0,1.0,7.0,,,3.0,,4.0,,,4.0,1.0,,,,,,4.0,52,1.0,0.2857142857142857,0.2857142857142857,0.4117647058823529,0.3333333333333333,0.3695652173913043,0.25,0.38,0.4,0.058823529411764705,0.25,17.877094972067038,0.5714285714285714,0.06896551724137931,0.02040816326530612,0.07792207792207792,0.014492753623188406,,0.05555555555555555,0.1,0.05,,0.17391304347826086,0.25,0.3333333333333333,1.0,0.17391304347826086,0.391304347826087,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25,,0.43478260869565216,0.4666295454545455,0.58785,0.4797666666666666,0.21052631578947367,11.223529411764709,0.32098765432098764,3.0,9.0,14.0,6.0,1.0,33.0,0.75,0.75,,,1.0,2.0,,4.0,,,1.0,1.0,6.0,2.0,,,1.0,,,1.0,2.0,10.0,3.0,,3.0,,5.0,2.0,2.0,2.0,,,1.0,1.0,1.0,0.16666666666666666,,0.2,,,,0.2608695652173913,,,0.10526315789473684,0.07142857142857142,,0.1111111111111111,,0.08695652173913043,0.5,0.5,1.0,0.17391304347826086,,,,,,,,0.25,,0.041666666666666664,0.05555555555555555,,27.983333333333334,,,,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2554,1610612753,Mickael Pietrus,Mickael Pietrus,2554,ORL,4046.0,67,-14,123,120,44,28,12.0,243,6.0,8.0,1.0,3.0,4.0,3.0,3.0,5.0,10.0,16,37.0,142,1.0,3.0,7.0,14.0,10.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,,,,,,,,2.0,5.0,,7.0,,1.0,8.0,1.0,,,,,,14.0,44,1.0,0.5,0.5,0.625,0.42857142857142855,0.6956521739130435,0.6,0.7115384615384616,0.6363636363636364,0.0625,,19.548872180451127,,0.07317073170731707,0.027777777777777776,0.07547169811320754,0.02,,0.18181818181818182,,0.06666666666666667,,0.34782608695652173,0.75,0.75,0.5,0.13043478260869565,0.21739130434782608,0.6,0.6,0.6666666666666666,0.3333333333333333,0.4,0.75,0.6521739130434783,0.4997086956521739,0.5354333333333333,0.473965,0.3783783783783784,7.5,0.35772357723577236,1.0,,,,,,0.3333333333333333,0.5,,1.0,2.0,3.0,2.0,4.0,,,2.0,4.0,7.0,5.0,1.0,1.0,2.0,,5.0,3.0,2.0,10.0,6.0,,4.0,2.0,,,,1.0,,,,4.0,0.5,0.5714285714285714,0.5,0.5714285714285714,1.0,0.8333333333333334,0.8333333333333334,0.30434782608695654,0.3333333333333333,,0.08333333333333333,,0.07142857142857142,0.08333333333333333,,0.13043478260869565,0.6666666666666666,0.6666666666666666,0.5,0.17391304347826086,0.5,0.5,0.5,1.0,,,,0.2,0.5,0.16,0.2222222222222222,0.13513513513513514,24.842857142857145,1.0,2.0,0.6666666666666666,0.5,2.0,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,6.0,2.0,0.5,0.1,1.0,,,,,,,,,,True,,,,,,,,,,,,,,
201584,1610612753,Courtney Lee,Courtney Lee,201584,ORL,776.0,13,-6,23,24,6,7,3.0,47,1.0,1.0,,,,,,1.0,1.0,2,2.0,26,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,6,,1.0,1.0,0.5,,0.25,,0.25,,,,19.23076923076923,1.0,,,,,,,,,,0.25,1.0,1.0,1.0,,0.25,,,,,,,0.75,0.532725,,0.50655,,10.2,0.2608695652173913,,,,,,,,,,,,1.0,,1.0,,,1.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.25,,,,0.25,,,,,,,,1.0,,,,,25.049999999999997,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,True,,,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,3604.0,60,-7,108,105,39,18,9.0,213,1.0,1.0,,,,5.0,2.0,6.0,5.0,12,29.0,125,2.0,2.0,8.0,14.0,,,,3.0,5.0,,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,,2.0,2.0,,11.0,2.0,,13.0,1.0,,,,,,14.0,39,1.0,,,0.4166666666666667,0.25,0.5238095238095238,0.4642857142857143,0.5370370370370371,0.4375,,,26.086956521739133,0.6666666666666666,0.07692307692307693,,0.10638297872340426,,,0.15384615384615385,0.07142857142857142,,,0.047619047619047616,1.0,1.0,,0.23809523809523808,0.2857142857142857,0.3333333333333333,0.3333333333333333,,,,,0.47619047619047616,0.4284904761904762,0.4014,0.4024892857142857,0.4827586206896552,13.633333333333333,0.3611111111111111,2.0,3.0,5.0,2.0,,12.0,0.4,0.4,,,2.0,2.0,2.0,7.0,,,5.0,4.0,9.0,7.0,,,,1.0,1.0,6.0,1.0,10.0,9.0,,7.0,2.0,2.0,1.0,1.0,2.0,,,,4.0,0.75,0.4444444444444444,,0.4444444444444444,,,0.16666666666666666,0.42857142857142855,,,0.25,,,0.25,,0.09523809523809523,1.0,1.0,1.0,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5,,,,,0.35714285714285715,0.2857142857142857,0.19230769230769232,0.25,0.034482758620689655,25.43333333333333,2.0,3.0,0.5,0.4,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,3.0,,,0.07142857142857142,1.0,,1.0,0.1,,,,,,,True,,,,,,,,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,3548.0,59,-2,107,105,47,30,12.0,212,7.0,8.0,1.0,4.0,4.0,8.0,,,10.0,16,32.0,114,1.0,4.0,5.0,16.0,16.0,1.0,4.0,10.0,15.0,5.0,20.0,3.0,1.0,2.0,2.0,,3.0,2.0,5.0,,1.0,4.0,2.0,15.0,3.0,,22.0,3.0,6.0,3.0,,6.0,6.0,16.0,47,3.0,0.8,0.8888888888888888,0.625,0.8,0.625,0.8,0.6153846153846154,0.6666666666666666,0.0625,,26.27118644067797,0.4,0.25,0.14814814814814814,0.2777777777777778,0.11627906976744186,0.25,,0.3125,0.3125,1.0,0.5,0.875,0.875,0.7142857142857143,0.5,,,,,1.0,0.8,1.0,0.5,0.48955000000000004,,0.573,0.5,3.05,0.4392523364485981,3.0,1.0,4.0,1.0,,11.0,0.375,0.42857142857142855,1.0,1.0,,,,,,,,,,12.0,1.0,,,3.0,5.0,,8.0,4.0,,2.0,,,3.0,1.0,,5.0,,,,9.0,,,,,1.0,1.0,0.625,,0.125,,0.35714285714285715,0.14285714285714285,0.08333333333333333,0.35714285714285715,,,,,,,,,,1.0,,,,,,0.391304347826087,0.391304347826087,0.15625,,,,,,,,,2.0,,,,2.0,,,,,,,,2.0,,,,1.0,,,1.0,3.0,1.0,1.0,0.0625,0.06666666666666667,True,,,,,,,,,,,,,,
101162,1610612753,Marcin Gortat,Marcin Gortat,101162,ORL,13814.0,230,53,431,445,210,185,42.0,876,21.0,28.0,4.0,12.0,16.0,9.0,1.0,1.0,27.0,38,64.0,443,8.0,13.0,18.0,31.0,50.0,2.0,8.0,32.0,53.0,16.0,69.0,7.0,6.0,1.0,2.0,,6.0,2.0,8.0,1.0,22.0,36.0,4.0,17.0,6.0,4.0,14.0,3.0,10.0,7.0,,10.0,9.0,31.0,210,2.0,0.9259259259259259,0.9615384615384616,0.7105263157894737,0.7222222222222222,0.7105263157894737,0.7222222222222222,0.7111111111111111,0.7045454545454546,0.05263157894736842,0.07142857142857142,10.878661087866108,0.25,0.2318840579710145,0.07017543859649122,0.24019607843137256,0.0847457627118644,0.0975609756097561,0.1875,0.3125,0.22413793103448276,0.9,0.7368421052631579,0.75,0.8076923076923077,0.9047619047619048,0.23684210526315788,0.02631578947368421,1.0,1.0,1.0,0.5,0.8888888888888888,0.75,0.7368421052631579,0.5461263157894737,0.45122,0.562038888888889,0.484375,2.7710526315789474,0.4872389791183295,5.0,1.0,3.0,1.0,,8.0,0.5555555555555556,0.5555555555555556,1.0,2.0,,,,,,,,,,10.0,5.0,,,,10.0,,5.0,4.0,,2.0,,,2.0,,,17.0,4.0,,4.0,5.0,,,,,0.625,0.625,0.625,,,0.3333333333333333,0.25757575757575757,0.05714285714285714,0.05263157894736842,0.325,,,,,,,,,,0.5,,,,,,0.11904761904761904,0.11904761904761904,0.15625,,,,,,,,,2.0,,1.0,,5.0,,,,,,,,1.0,,,,1.0,,,7.0,3.0,,,0.1111111111111111,0.09090909090909091,False,1.0,1.0,0.06666666666666667,0.15789473684210525,0.15384615384615385,,,,,,,,,
