EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffAtRimReboundPct,AtRimFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyAtRimFGA,PenaltyArc3FGA,HeaveAttempts,FTDefRebounds,SelfOReb,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceFtPoints,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,BlockedAtRim,BlockedLongMidRange,PenaltyArc3FGM,PenaltyFG3M,Defensive 3 Seconds Violations,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Travels,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,PenaltyAtRimFGM,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffArc3ReboundPct,PenaltyAtRimAccuracy,PenaltyTurnovers,PenaltyCorner3FGM,SecondChanceTurnovers,PenaltyCorner3Accuracy,LongMidRangePctBlocked
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,1316.0,22,-24,37,39,2.0,16.0,4.0,76,1.0,1.0,2.0,1.0,1.0,57,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1.0,2.0,4.0,2.0,2.0,0.125,11.904761904761905,1.0,0.1111111111111111,0.14285714285714285,0.06666666666666667,0.047619047619047616,0.25,0.5,0.5,0.5,0.39285000000000003,0.5,0.5,13.2,0.05405405405405406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
101198,1610612765,Will Bynum,Will Bynum,101198,DET,1059.0,18,-8,30,29,,11.0,4.0,59,,4.0,5.0,,7.0,39,,,,,,,,1.0,1.0,2.0,2.0,3.0,1.0,3,,,,,,0.5,29.41176470588235,0.6666666666666666,,,,0.06666666666666667,,,,0.5714285714285714,0.45509999999999995,,,15.239999999999998,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.4,0.5,1.5,1.5,0.2857142857142857,0.125,0.5,0.14285714285714285,0.5,0.5,0.5,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,1.0,0.42857142857142855,0.5,0.4434,0.42857142857142855,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,7546.0,126,-45,214,216,11.0,67.0,19.0,430,5.0,25.0,43.0,7.0,51.0,244,15.0,18.0,2.0,39.0,1.0,5.0,6.0,2.0,8.0,5.0,2.0,8.0,2.0,9,,9.0,8.0,4.0,11.0,0.4811320754716981,25.630252100840337,0.625,0.07142857142857142,0.05,0.0594059405940594,0.018018018018018018,0.14285714285714285,0.043478260869565216,0.1,0.5,0.468788,0.07547169811320754,0.08695652173913043,11.534883720930232,0.0514018691588785,13.0,11.0,1.0,3.0,,2.0,19.0,2.0,7.0,,2.0,4.0,16.0,22.0,6.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,0.42105263157894735,0.4444444444444444,1.0,0.2857142857142857,,0.2857142857142857,0.4418604651162791,0.44,0.3333333333333333,0.3333333333333333,0.14,0.01098901098901099,,0.26,0.44,0.44,0.6363636363636364,0.06,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,0.4,0.3333333333333333,0.5749875,0.0784313725490196,24.52857142857143,7.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,11.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.25,0.25,0.046511627906976744,0.15384615384615385,0.03225806451612903,0.018518518518518517,0.16666666666666666,0.05714285714285714,0.07692307692307693,1.0,0.5384615384615384,0.6363636363636364,0.14285714285714285,0.2,0.2,0.08,0.25,0.25,1.0,0.3333333333333333,1.0,0.25,0.3634625,0.0392156862745098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
200835,1610612765,Walter Herrmann,Walter Herrmann,200835,DET,288.0,5,1,10,9,,1.0,2.0,19,,,,,3.0,9,,1.0,,3.0,,,,,,,,,1.0,2,,,,,,0.75,16.666666666666668,,,,,,,,,,0.559725,,,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,,3.0,1.0,1.0,,,,,,,,1.0,0.5,1.0,0.5,,0.75,1.5,1.5,1.0,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,24.8,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
201155,1610612765,Rodney Stuckey,Rodney Stuckey,201155,DET,7683.0,128,-49,219,221,11.0,72.0,19.0,440,8.0,27.0,53.0,12.0,60.0,250,19.0,21.0,,44.0,,3.0,7.0,2.0,9.0,4.0,3.0,6.0,3.0,9,2.0,15.0,14.0,7.0,11.0,0.4411764705882353,30.45267489711934,0.6666666666666666,0.04225352112676056,,0.058823529411764705,0.017699115044247787,,0.043478260869565216,0.13114754098360656,0.4426229508196721,0.476335,0.10294117647058823,0.11666666666666667,10.952830188679245,0.0502283105022831,18.0,10.0,,8.0,,1.0,24.0,,8.0,,1.0,,16.0,32.0,,7.0,,2.0,,,2.0,1.0,0.3333333333333333,0.3333333333333333,,,,,0.4528301886792453,0.39344262295081966,,,0.13114754098360656,0.021505376344086023,,0.29508196721311475,0.37037037037037035,0.37037037037037035,0.5,0.13114754098360656,,,,0.14285714285714285,,,0.4262295081967213,,0.49210000000000004,,30.875,12.0,,2.0,2.0,,,,,6.0,1.0,3.0,3.0,2.0,,7.0,2.0,1.0,1.0,1.0,18.0,3.0,,1.0,1.0,1.0,,,,,,,2.0,2.0,,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.1320754716981132,0.16666666666666666,0.0967741935483871,,,0.05555555555555555,0.15384615384615385,,0.6666666666666666,0.8,0.16666666666666666,0.25,0.5,,,,,0.2857142857142857,,,0.36618000000000006,0.03333333333333333,1.0,3.0,1.0,1.0,1.0,0.5,0.14285714285714285,0.125,0.05555555555555555,0.03571428571428571,0.5,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2198,1610612765,Kwame Brown,Kwame Brown,2198,DET,1703.0,28,-12,46,47,11.0,24.0,5.0,93,2.0,,5.0,3.0,7.0,58,,,,,1.0,3.0,7.0,3.0,10.0,1.0,1.0,1.0,6.0,9,1.0,3.0,4.0,2.0,11.0,0.5,14.814814814814813,1.0,0.1875,0.2,0.24,0.125,0.5,0.2857142857142857,0.4,,0.49539999999999995,0.2857142857142857,0.2857142857142857,3.14,0.2391304347826087,3.0,,,,,,2.0,,,,,3.0,2.0,2.0,,,,2.0,,,,,0.5,1.0,,,,,0.4,0.4,1.0,0.75,,0.10526315789473684,,0.6,,,,,,,,,,,0.6,,0.5501,0.42857142857142855,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,,2.0,2.0,1.0,,,,,,3.0,,,,,,,,,3.0,,2.0,1.0,1.0,0.5,0.5,0.5,0.2,0.3333333333333333,0.3333333333333333,0.08333333333333333,,0.16666666666666666,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.5,,,,,1.0,1.0,,0.53135,0.2857142857142857,1.0,,,1.0,,,0.5,0.25,0.3333333333333333,,1.0,0.5,,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,True,,,,,,,,,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,6348.0,106,-27,182,181,7.0,57.0,13.0,363,,26.0,30.0,3.0,41.0,195,1.0,2.0,,5.0,,14.0,22.0,2.0,24.0,2.0,1.0,4.0,8.0,13,,3.0,3.0,2.0,7.0,0.6612903225806451,17.857142857142858,0.5,0.22950819672131148,,0.21839080459770116,0.02247191011235955,,0.2,,0.8666666666666667,0.44355666666666665,0.06451612903225806,0.06451612903225806,15.893333333333333,0.038461538461538464,4.0,17.0,,,,,19.0,,,,,,34.0,4.0,,,,2.0,2.0,,2.0,,0.8947368421052632,0.8947368421052632,,,,,0.6333333333333333,0.6333333333333333,,,,0.025974025974025976,0.05555555555555555,0.13333333333333333,0.6538461538461539,0.6538461538461539,0.9411764705882353,,,,,,,,0.13333333333333333,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,,1.0,5.0,2.0,2.0,1.0,,1.0,,,,3.0,2.0,,3.0,,,,,,,0.19230769230769232,0.022727272727272728,0.36363636363636365,0.2,,0.6666666666666666,0.5,0.5,0.5,,,,,,,,,,,,,,,3.0,,,0.5,,0.35714285714285715,,,,,,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,True,,,,,,,,,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,5600.0,93,-35,159,163,2.0,46.0,14.0,322,3.0,9.0,16.0,,16.0,178,3.0,3.0,1.0,6.0,1.0,15.0,19.0,2.0,21.0,2.0,,2.0,7.0,10,,,,,2.0,0.36363636363636365,13.48314606741573,1.0,0.2830188679245283,0.07692307692307693,0.2535211267605634,0.024096385542168676,0.3333333333333333,0.375,0.13636363636363635,0.4090909090909091,0.45865000000000006,,,11.26875,0.012578616352201259,4.0,3.0,1.0,4.0,1.0,1.0,5.0,2.0,6.0,1.0,1.0,3.0,6.0,4.0,6.0,4.0,1.0,1.0,2.0,2.0,,,0.6,0.6,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3125,0.36363636363636365,0.5,0.5,0.2727272727272727,0.014285714285714285,0.05263157894736842,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.18181818181818182,0.25,0.25,1.0,0.3333333333333333,1.0,1.0,0.45454545454545453,0.25,0.5246666666666667,0.1875,25.25,1.0,,2.0,1.0,1.0,2.0,,,2.0,,,1.0,3.0,,,,,,,2.0,3.0,,,2.0,,,,,,1.0,,3.0,,,,1.5,1.5,,,0.16666666666666666,,0.2857142857142857,0.23333333333333334,0.25,,0.25,0.25,,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.5,0.5,1.0,0.6666666666666666,,,0.3906,0.1875,,1.0,,1.0,2.0,,0.16666666666666666,,0.1,0.13333333333333333,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,,
201167,1610612765,Arron Afflalo,Arron Afflalo,201167,DET,1120.0,19,-2,33,31,4.0,22.0,,64,,2.0,2.0,2.0,6.0,33,,,,,,1.0,1.0,,1.0,,,,2.0,4,,1.0,2.0,1.0,4.0,1.0,9.09090909090909,,0.1,,0.058823529411764705,,,,,1.0,0.36775,0.3333333333333333,0.3333333333333333,17.85,0.12121212121212122,,2.0,,,,,2.0,,,,,,2.0,2.0,,,,,,,,,0.5,0.5,,,,,1.0,1.0,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,5641.0,94,-43,161,166,7.0,44.0,15.0,327,2.0,9.0,14.0,,9.0,184,3.0,3.0,1.0,6.0,,6.0,9.0,1.0,10.0,,,3.0,1.0,1,,2.0,,,7.0,0.25,11.602209944751381,,0.1111111111111111,,0.11267605633802817,0.011363636363636364,,0.05263157894736842,0.1111111111111111,0.5,0.5009444444444444,,,12.37857142857143,0.043478260869565216,3.0,2.0,,1.0,,,3.0,1.0,4.0,1.0,2.0,3.0,6.0,,3.0,1.0,,1.0,1.0,,3.0,,1.0,1.0,1.0,0.25,0.5,0.25,0.21428571428571427,0.25,0.5,0.5,0.2222222222222222,0.012987012987012988,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.2222222222222222,1.0,0.05555555555555555,,,,,,,0.3888888888888889,,0.5274333333333333,0.3333333333333333,24.025,1.0,,,,1.0,3.0,,,1.0,,1.0,,,,1.0,,,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,0.07142857142857142,0.3333333333333333,0.11764705882352941,,,0.18518518518518517,0.125,,0.3333333333333333,0.5,1.0,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,,,,0.3164,,,,,1.0,,,0.14285714285714285,,0.1111111111111111,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,1.0,True,,,,,,,,,,,
