EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,DefTwoPtReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGA,FtPoints,Fg2aBlocked,OffThreePtRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,TwoPtAssists,LongMidRangeAssists,LostBallSteals,Loose Ball Fouls Drawn,OffArc3ReboundPct,Corner3Assists,SecondChanceTurnovers,Offensive Fouls Drawn,OffShortMidRangeReboundPct,AtRimPctAssisted,PenaltyFtPoints,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,AtRimAssists,on,HeaveAttempts,ShortMidRangeFGM,FTOffRebounds,OffFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,Travels,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Accuracy,ShortMidRangeAssists,Fg3aBlocked,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceAtRimPctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
200081,1610612748,Jamario Moon,Jamario Moon,200081,MIA,737.0,12,-5.0,26,26,5,1,2,52,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,29,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.1666666666666667,1.0,1.0,1.1666666666666667,1.0,1.0,0.3333333333333333,17.857142857142854,0.5,0.5,0.25,1.0,0.1111111111111111,0.2,1.0,0.16666666666666666,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.4960333333333334,0.5946,0.45995,0.2857142857142857,0.5714285714285714,10.1,23.4,0.19230769230769232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612748,Daequan Cook,Daequan Cook,201161,MIA,2665.0,44,-28.0,79,82,25,23,11,161,,,,,,,1.0,1.0,,1.0,1.0,2.0,6.0,13.0,20.0,106,,,6.0,,,3.0,,18.0,,,,,,,,1.0,2.0,,2.0,,,,,2.0,2.0,5.0,,3.0,25,1.0,0.46153846153846156,0.46153846153846156,0.5,,,0.6666666666666666,0.75,0.5,0.6666666666666666,0.75,0.5,0.8666666666666667,18.085106382978726,,0.2,,,0.03125,,,,,,,,0.06666666666666667,1.0,1.0,0.06666666666666667,,,,,,,,0.8666666666666667,0.5382800000000001,0.60505,0.51505,0.3,0.15,15.05,25.246153846153845,0.31645569620253167,1.0,6.0,12.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,2.0,12.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.045454545454545456,0.1,0.06666666666666667,1.0,0.8,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
201563,1610612748,Michael Beasley,Michael Beasley,201563,MIA,2460.0,41,-17.0,73,76,19,16,11,149,3.0,8.0,1.0,2.0,,3.0,2.0,12.0,,1.0,5.0,22.0,1.0,2.0,15.0,95,1.0,2.0,5.0,,5.0,3.0,8.0,3.0,2.0,3.0,3.0,3.0,9.0,1.0,2.0,2.0,9.0,2.0,11.0,,,2.0,,,2.0,4.0,,3.0,19,1.0,0.5,0.5,0.22727272727272727,0.5,,0.2708333333333333,0.8333333333333334,0.21428571428571427,0.3,0.8333333333333334,0.21428571428571427,0.08333333333333333,30.681818181818183,1.0,0.3333333333333333,0.03571428571428571,0.2857142857142857,0.23333333333333334,0.04878048780487805,0.1,,0.3333333333333333,0.3333333333333333,0.375,0.5,0.5,0.16666666666666666,0.18181818181818182,0.041666666666666664,,,,0.6666666666666666,0.5,0.42857142857142855,,0.4166666666666667,0.45705624999999994,0.526675,0.4702928571428571,0.3333333333333333,0.2,11.190909090909093,24.55,0.2602739726027397,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,,,,2.0,,0.2,0.25,1.0,0.5,0.21739130434782608,0.3,0.08333333333333333,0.5,0.041666666666666664,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0.18181818181818182,0.25,0.5,0.08333333333333333,0.07692307692307693,0.3333333333333333,0.125,0.2,0.25,0.07692307692307693,1.0,0.14285714285714285,0.04,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,1840.0,31,-7.0,52,54,3,1,8,106,2.0,2.0,1.0,1.0,,,1.0,3.0,,,3.0,6.0,2.0,4.0,12.0,63,1.0,1.0,2.0,,,,6.0,6.0,2.0,1.0,2.0,1.0,5.0,1.0,,,1.0,2.0,3.0,2.0,,3.0,3.0,1.0,4.0,3.0,1.0,,3,1.0,0.5,0.5,0.5,1.0,,0.6,0.3333333333333333,,0.6,0.3333333333333333,,0.4,21.875,0.75,,0.05263157894736842,,0.04,0.06896551724137931,0.25,,,0.2,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,1.0,,,0.6,0.46434500000000006,0.5662,,0.16666666666666666,,12.366666666666665,24.675,0.057692307692307696,1.0,2.0,4.0,,2.0,,,,2.0,,,,4.0,2.0,1.0,,,,2.0,,,,,,0.05555555555555555,,0.1,,0.4,0.5,0.5,1.0,0.6666666666666666,,,,,0.5,,,,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,0.1,,,0.16666666666666666,,,1.0,,,,1.0,1.0,2.0,1.0,0.1111111111111111,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,1610612748,Jamaal Magloire,Jamaal Magloire,2048,MIA,2849.0,47,-26.0,84,89,26,23,12,173,1.0,3.0,,,1.0,2.0,,,,,1.0,3.0,,,2.0,109,,,,1.0,2.0,2.0,,,,1.0,1.0,,3.0,4.0,1.0,1.0,6.0,5.0,11.0,,,2.0,,1.0,3.0,9.0,1.0,2.0,26,,,,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.3333333333333333,,0.5,,6.0,0.6666666666666666,0.16666666666666666,0.13793103448275862,0.1,0.14285714285714285,0.11363636363636363,0.1,0.14285714285714285,0.2,1.0,0.3333333333333333,0.5,,,,,,,,,,1.0,0.5,1.0,0.5304666666666665,,0.5763499999999999,,1.0,0.9,,0.30952380952380953,,,,,,,,,,,,2.0,,,4.0,,,1.0,5.0,1.0,1.0,1.0,,,0.16,0.09090909090909091,,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,5.0,,,,,,,0.3333333333333333,0.3333333333333333,,,0.06666666666666667,,0.25,0.16666666666666666,,,,,,,,,,2.0,0.08333333333333333,1.0,1.0,2.0,0.2,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,1716.0,29,-12.0,49,56,18,16,8,105,2.0,5.0,,2.0,1.0,2.0,1.0,2.0,,2.0,3.0,8.0,2.0,7.0,20.0,69,,2.0,,1.0,2.0,7.0,6.0,3.0,,5.0,7.0,5.0,19.0,,1.0,,5.0,2.0,7.0,1.0,,1.0,1.0,1.0,2.0,4.0,,7.0,18,0.5,0.2857142857142857,0.2857142857142857,0.375,,0.5,0.4,,0.5,0.5,,0.5833333333333334,0.4666666666666667,34.42622950819672,0.5,,,0.2,0.22727272727272727,0.07142857142857142,,,,0.3333333333333333,0.4,0.4,0.13333333333333333,0.5,0.5,0.13333333333333333,,,,1.0,,0.4,0.5,0.8,0.5361566666666667,,0.5468900000000001,,0.35,6.0375000000000005,24.142857142857142,0.3673469387755102,1.0,2.0,5.0,,,1.0,2.0,,,1.0,3.0,,5.0,2.0,4.0,,,1.0,3.0,,,,,0.3333333333333333,0.23529411764705882,0.16666666666666666,0.06666666666666667,,0.3333333333333333,0.4,0.4,0.5,,,,0.4,0.5,0.4,1.0,8.0,1.0,2.0,,,,4.0,9.0,3.0,3.0,,4.0,1.0,0.125,,1.0,,0.2,,0.2857142857142857,0.25,0.25,,0.25,0.2,0.16666666666666666,0.2727272727272727,2.0,2.0,1.0,,0.2857142857142857,,,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,1610612748,Udonis Haslem,Udonis Haslem,2617,MIA,336.0,6,-8.0,10,13,2,2,1,23,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,977.0,16,-16.0,28,29,13,13,4,57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,7.0,42,1.0,1.0,2.0,2.0,2.0,7.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,7.0,13,1.0,0.5,0.5,1.0,1.0,1.0,0.875,1.0,0.875,0.875,1.0,0.875,0.5,18.75,0.5,,0.1111111111111111,,,0.07142857142857142,0.25,,,0.25,1.0,1.0,0.25,1.0,1.0,,,,,1.0,1.0,0.25,1.0,0.75,0.4898875,0.5609,0.4898875,0.2857142857142857,1.0,10.4,24.65,0.4642857142857143,,1.0,2.0,,,1.0,2.0,,,1.0,2.0,2.0,2.0,1.0,,,,,,1.0,0.5,1.0,,0.5,,,,1.0,0.5,0.5,0.5,1.0,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
200809,1610612748,Chris Quinn,Chris Quinn,200809,MIA,184.0,3,-2.0,5,5,5,5,1,10,,,,,,,,,,,,,,,,4,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,
200821,1610612748,Yakhouba Diawara,Yakhouba Diawara,200821,MIA,297.0,5,-7.0,9,10,9,10,1,19,,,,,,,,1.0,,,,1.0,,,,11,,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,9,,,,,,,,,,,,,,20.0,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,0.2992,,0.2992,,,20.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
