EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,DeadBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ThreePtAssists,Corner3Assists,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceFtPoints,ShortMidRangeAssists,Technical Free Throw Trips,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,on,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,Arc3Assists,LongMidRangeAssists,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,OffensiveGoaltends,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,HeaveMakes,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3
1444,1610612758,Lawrence Funderburke,Lawrence Funderburke,1444,SAC,465.0,8.0,-1,17,17,9,1.0,34,1.0,2.0,1.0,1.0,2.0,2.0,4.0,4.0,13,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,21.05263157894737,0.2727272727272727,0.125,0.25,0.09090909090909091,0.3333333333333333,0.5,0.4,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5035499999999999,0.5432,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,1610612758,Bobby Jackson,Bobby Jackson,1517,SAC,1070.0,18.0,-13,44,46,29,3.0,90,,,,1.0,2.0,1.0,2.0,9.0,51,,,2.0,,,2.0,2.0,,2.0,,,0.5,0.4166666666666667,0.5,,,20.833333333333336,0.1111111111111111,,0.08695652173913043,,,,0.2222222222222222,,,,,0.3333333333333333,0.5,0.5,,0.6666666666666666,0.47515,,19.5,17.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,9.0,3.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,9.0,17.0,1.0,0.25,0.3333333333333333,0.25,1.0,0.625,0.6428571428571429,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.25,1.0,0.5,0.4647875,0.14285714285714285,0.3333333333333333,1.0,24.2,0.38636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,1610612758,Art Long,Art Long,1609,SAC,1121.0,19.0,-11,46,47,29,4.0,93,,1.0,,,1.0,,4.0,,51,,,,1.0,,2.0,6.0,2.0,8.0,,,,,,0.25,,14.0,0.10526315789473684,,0.24,0.05,,,,0.25,,,,0.25,,,,0.25,0.416,,8.45,17.0,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,1.0,,2.0,5.0,2.0,,1.0,,17.0,,,,,,,,,0.5,,,,,,,,,0.3635,,,,,0.3695652173913043,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0.5,0.5,0.6666666666666666,0.16666666666666666,0.2,0.2857142857142857,0.75,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612758,Hedo Turkoglu,Hedo Turkoglu,2045,SAC,969.0,16.0,-10,39,39,21,4.0,78,1.0,1.0,,,1.0,1.0,2.0,2.0,44,,2.0,,,,2.0,2.0,,2.0,1.0,1.0,0.5,0.25,0.25,,,9.30232558139535,0.13333333333333333,,0.10526315789473684,,,0.3333333333333333,0.16666666666666666,0.25,1.0,1.0,1.0,0.25,,,,0.75,0.5639000000000001,,9.1,15.0,,,,,2.0,,,2.0,,,,,,,,,2.0,,1.0,,3.0,,,,,,,,,,,,15.0,,,,,,,,0.5,,,,,,0.5,,,,,,,,25.0,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,1610612758,Darrick Martin,Darrick Martin,239,SAC,753.0,13.0,-8,31,31,21,2.0,62,3.0,4.0,1.0,,2.0,3.0,6.0,10.0,36,1.0,4.0,2.0,,,,,,,0.6666666666666666,0.6666666666666666,0.5,0.42857142857142855,0.5555555555555556,,,28.125,,,,,,,,0.5714285714285714,0.75,0.75,0.6666666666666666,0.2857142857142857,,,1.0,0.7142857142857143,0.5319714285714287,0.5786,6.266666666666667,10.0,,,,,1.0,,,1.0,4.0,1.0,2.0,,,2.0,4.0,,1.0,,,,,,,,,,,1.0,4.0,1.0,1.0,4.0,10.0,,,,,0.5,0.5,0.6666666666666666,0.14285714285714285,,,,,,0.14285714285714285,,,,0.47225,0.125,0.14285714285714285,0.4,26.9,0.3225806451612903,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1610612758,Doug Christie,Doug Christie,57,SAC,438.0,7.0,-2,18,19,10,3.0,37,2.0,3.0,,,,2.0,3.0,7.0,18,,,4.0,,1.0,1.0,1.0,1.0,2.0,,,0.6666666666666666,0.6666666666666666,0.75,,,23.80952380952381,0.14285714285714285,0.14285714285714285,0.1111111111111111,0.09090909090909091,0.5,,0.5,1.0,0.6666666666666666,0.6666666666666666,,,,,,1.0,0.657,,,8.0,,,,,,,,,3.0,1.0,1.0,,,1.0,3.0,,,1.0,1.0,,2.0,3.0,2.0,1.0,,,1.0,2.0,3.0,1.0,,3.0,8.0,,,,,1.0,1.0,1.0,,,,,,,,,,,0.8261,0.25,0.25,0.42857142857142855,,0.4444444444444444,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,0.2857142857142857,2.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1610612758,Jon Barry,Jon Barry,468,SAC,278.0,5.0,4,15,14,14,1.0,29,,,,,,,,4.0,15,,,,,,1.0,1.0,,1.0,,,,,1.0,,,12.5,0.16666666666666666,,0.1111111111111111,,,,,,,,,,,,,,,,,10.0,,,,,,,,,4.0,,,,,4.0,4.0,,,,,,,,,,,,,,4.0,,2.0,4.0,10.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1610612758,Chris Webber,Chris Webber,185,SAC,14.0,,-2,1,2,2,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,1610612758,Peja Stojakovic,Peja Stojakovic,978,SAC,14.0,,-2,1,2,2,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074,1610612758,Jabari Smith,Jabari Smith,2074,SAC,483.0,8.0,-10,18,18,8,2.0,36,,,,,1.0,2.0,4.0,4.0,23,1.0,2.0,2.0,,,1.0,1.0,,1.0,0.5,0.5,0.5,0.5,0.5,,,21.05263157894737,0.16666666666666666,,0.1111111111111111,,,,,,,,,0.25,,,,,0.35795,0.3479,10.575,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,,,,,,,,,,,,,0.3197,,,,,0.3333333333333333,3.0,,,,,,,,1.0,,,,,,1.0,,,,,,0.5,,,,0.75,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,0.5,,,,2.0,0.6666666666666666,0.6666666666666666,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
