EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PenaltyArc3FGA,PenaltyFG3A,ThreePtAssists,Corner3Assists,ShortMidRangeAssists,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,AtRimPctBlocked,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3Frequency,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Arc3Assists,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,BlockedLongMidRange,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceTurnovers,Blocked3s,BlockedArc3,3SecondViolations,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,Defensive 3 Seconds Violations,PtsUnassisted3s,LongMidRangePctBlocked,on,HeaveAttempts,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked
1110,1610612743,Mark Strickland,Mark Strickland,1110,DEN,3917.0,65,-15,136,135,57,65,25.0,271,6.0,8.0,1.0,3.0,4.0,6.0,4.0,6.0,14.0,1.0,12.0,26,1.0,4.0,28.0,149,1.0,3.0,3.0,5.0,6.0,13,3.0,15.0,22.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,6.0,2.0,8.0,4.0,8.0,1.0,13.0,10.0,23.0,1.0,3.0,1.0,2.0,3.0,5.0,9.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,15.0,57,1.0,0.9166666666666666,1.0,0.46153846153846156,0.3333333333333333,0.46153846153846156,0.4444444444444444,0.3333333333333333,0.46153846153846156,0.45161290322580644,0.4166666666666667,0.5357142857142857,0.037037037037037035,0.038461538461538464,0.25,18.674698795180724,0.25,0.16666666666666666,0.13333333333333333,0.3333333333333333,0.14285714285714285,0.2,0.13513513513513514,0.125,0.043478260869565216,0.20689655172413793,0.08333333333333333,0.5,0.14285714285714285,0.17647058823529413,0.17647058823529413,0.4444444444444444,0.07692307692307693,0.6666666666666666,0.2962962962962963,0.75,0.75,0.8333333333333334,0.14814814814814814,0.5185185185185185,0.42857142857142855,0.42857142857142855,1.0,0.037037037037037035,1.0,0.3333333333333333,0.46153846153846156,0.6666666666666666,0.3333333333333333,0.45490925925925924,0.5674,0.4826153846153846,0.10344827586206896,0.10714285714285714,0.17857142857142858,0.5357142857142857,11.123076923076923,24.3,0.41911764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
123,1610612743,Robert Pack,Robert Pack,123,DEN,6003.0,100,-60,193,201,36,49,34.0,394,3.0,10.0,,1.0,,2.0,6.0,2.0,7.0,2.0,6.0,23,2.0,4.0,16.0,219,,1.0,,,,5,2.0,2.0,,12.0,,2.0,4.0,16.0,19.0,6.0,6.0,41.0,,3.0,2.0,4.0,1.0,7.0,3.0,10.0,1.0,3.0,,3.0,4.0,9.0,4.0,,1.0,1.0,,,,,,2.0,36,,,,0.2608695652173913,,,0.24,,,0.2962962962962963,,0.14285714285714285,0.08,0.17391304347826086,0.5,16.666666666666668,0.25,0.04938271604938271,0.03225806451612903,0.125,,0.061855670103092786,0.028846153846153848,,0.03571428571428571,0.05128205128205128,,,,0.09375,0.041666666666666664,0.16666666666666666,0.08333333333333333,,0.4,0.3,0.3333333333333333,,0.24,0.28,0.2857142857142857,0.2857142857142857,,0.08,1.0,,0.3333333333333333,,0.48,0.44819599999999993,0.6409,0.37918333333333337,0.038461538461538464,0.041666666666666664,,0.125,7.269565217391305,33.0,0.18652849740932642,1.0,1.0,1.0,3.0,3.0,4.0,7.0,2.0,5.0,5.0,2.0,12.0,2.0,3.0,0.1,0.5833333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1505,1610612743,Tariq Abdul-Wahad,Tariq Abdul-Wahad,1505,DEN,25238.0,421,-93,813,820,221,199,114.0,1633,19.0,32.0,2.0,5.0,5.0,8.0,29.0,14.0,40.0,8.0,39.0,101,10.0,21.0,111.0,862,4.0,10.0,4.0,18.0,11.0,25,12.0,40.0,50.0,28.0,4.0,8.0,10.0,21.0,22.0,14.0,5.0,45.0,2.0,12.0,9.0,36.0,,45.0,14.0,59.0,4.0,14.0,10.0,4.0,23.0,54.0,36.0,2.0,13.0,6.0,13.0,7.0,5.0,13.0,5.0,40.0,221,3.0,0.6410256410256411,0.6756756756756757,0.38613861386138615,0.4,0.44,0.40540540540540543,0.5833333333333334,0.5,0.43359375,0.6428571428571429,0.5405405405405406,0.09009009009009009,0.09900990099009901,0.1724137931034483,17.070600632244467,,0.10495626822157435,0.03560830860534125,0.1267605633802817,0.024691358024691357,0.10869565217391304,0.03349282296650718,0.03333333333333333,0.03636363636363636,0.0364963503649635,0.015384615384615385,0.0625,0.09782608695652174,0.08130081300813008,0.1328125,0.07272727272727272,0.07017543859649122,0.38461538461538464,0.2882882882882883,0.59375,0.7037037037037037,0.5789473684210527,0.26126126126126126,0.36036036036036034,0.35,0.35,0.7857142857142857,0.07207207207207207,0.4166666666666667,0.4,0.2857142857142857,0.625,0.3783783783783784,0.45899999999999996,0.44530454545454545,0.4646982142857143,0.10655737704918032,0.11607142857142858,0.16216216216216217,0.36036036036036034,10.032673267326732,25.13,0.27183271832718325,6.0,2.0,3.0,1.0,,2.0,20.0,1.0,12.0,14.0,8.0,34.0,5.0,7.0,0.15625,0.5882352941176471,0.20689655172413793,0.25,0.07142857142857142,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,12.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.4,1.0,0.6666666666666666,0.4,0.3125,0.5,0.018018018018018018,1.0,1.0,1.0,0.25,0.25,1.0,0.08333333333333333,1.0,1.0,0.08333333333333333,1.0,1.0,0.03571428571428571,1.0,0.5,0.25,,,,,,,,,,,,True,,,,,,,,,,
1721,1610612743,Keon Clark,Keon Clark,1721,DEN,8474.0,141,-15,270,275,75,62,41.0,545,16.0,30.0,4.0,7.0,5.0,11.0,18.0,1.0,7.0,,26.0,55,,13.0,65.0,261,4.0,8.0,,8.0,8.0,16,6.0,22.0,32.0,20.0,8.0,,8.0,5.0,6.0,3.0,1.0,13.0,1.0,9.0,1.0,16.0,3.0,20.0,10.0,30.0,1.0,4.0,2.0,2.0,12.0,18.0,21.0,3.0,12.0,,6.0,5.0,1.0,7.0,3.0,22.0,75,,0.6153846153846154,0.7272727272727273,0.4727272727272727,0.5,0.5,0.4727272727272727,0.5,0.5,0.5078125,0.5,0.5789473684210527,,0.14545454545454545,0.1111111111111111,23.82445141065831,0.42857142857142855,0.13793103448275862,0.075,0.041666666666666664,0.045454545454545456,0.12142857142857143,0.07042253521126761,0.13157894736842105,0.024390243902439025,0.07317073170731707,0.05,,0.1111111111111111,0.15,0.14285714285714285,,0.047619047619047616,0.42857142857142855,0.5454545454545454,0.5333333333333333,0.6666666666666666,0.5,0.32727272727272727,0.12727272727272726,0.14285714285714285,0.14285714285714285,1.0,,0.875,0.5714285714285714,0.6875,0.45454545454545453,0.5454545454545454,0.475510909090909,0.5099714285714285,0.5098374999999999,0.1875,0.1875,0.12307692307692308,0.3384615384615385,4.807272727272727,,0.2777777777777778,9.0,,,1.0,1.0,1.0,1.0,3.0,1.0,11.0,,12.0,5.0,1.0,0.2,0.08333333333333333,0.5,0.5625,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,,,,,,,0.16666666666666666,0.7777777777777778,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,True,,,,,,,,,,
1763,1610612743,Ryan Bowen,Ryan Bowen,1763,DEN,1539.0,26,7,57,55,33,33,13.0,112,6.0,6.0,4.0,4.0,2.0,2.0,1.0,,,,6.0,7,,2.0,14.0,60,4.0,4.0,1.0,9.0,2.0,3,1.0,5.0,4.0,8.0,6.0,,1.0,,,,,,1.0,3.0,,4.0,,4.0,5.0,9.0,,1.0,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,5.0,33,1.0,0.3333333333333333,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,0.8571428571428571,1.0,0.6666666666666666,0.875,0.9,0.625,,0.14285714285714285,1.0,10.95890410958904,,0.17391304347826086,0.13636363636363635,,0.125,0.15384615384615385,0.13333333333333333,0.25,0.2222222222222222,,0.16666666666666666,,0.125,0.125,0.2857142857142857,,,,0.8571428571428571,1.0,1.0,0.3333333333333333,0.14285714285714285,,,,,,1.0,1.0,0.6666666666666666,1.0,0.8571428571428571,0.5713571428571429,0.5884999999999999,0.5133,0.14285714285714285,0.14285714285714285,0.6428571428571429,0.35714285714285715,1.3,,0.5789473684210527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,0.25,,,,,True,,,,,,,,,,
45,1610612743,George McCloud,George McCloud,45,DEN,10228.0,170,-85,325,332,85,86,49.0,657,5.0,10.0,2.0,4.0,1.0,1.0,11.0,8.0,26.0,10.0,15.0,47,16.0,18.0,60.0,352,3.0,8.0,2.0,8.0,4.0,13,14.0,28.0,18.0,12.0,4.0,10.0,4.0,20.0,21.0,9.0,5.0,43.0,1.0,7.0,5.0,10.0,,15.0,8.0,23.0,3.0,3.0,2.0,1.0,5.0,13.0,18.0,,4.0,4.0,2.0,1.0,1.0,2.0,2.0,28.0,85,1.0,0.6,0.6923076923076923,0.3191489361702128,0.375,0.3076923076923077,0.3333333333333333,0.3,0.3888888888888889,0.4084507042253521,0.36363636363636365,0.56,0.25396825396825395,0.0851063829787234,0.2727272727272727,22.739018087855296,,0.07142857142857142,0.04430379746835443,0.19230769230769232,0.041666666666666664,0.09036144578313253,0.04395604395604396,0.04878048780487805,0.05263157894736842,0.03333333333333333,0.05263157894736842,,0.029411764705882353,0.037037037037037035,0.1346153846153846,0.2,0.075,1.0,0.15873015873015872,0.5,0.5555555555555556,0.4,0.1746031746031746,0.4126984126984127,0.3076923076923077,0.3076923076923077,0.75,0.15873015873015872,0.4,0.5,0.05555555555555555,1.0,0.4126984126984127,0.4608142857142857,0.5025722222222222,0.4485472222222222,0.05970149253731343,0.0784313725490196,0.13333333333333333,0.4666666666666667,12.80851063829787,24.35,0.26153846153846155,2.0,3.0,5.0,1.0,,6.0,11.0,3.0,9.0,6.0,2.0,17.0,3.0,1.0,0.1,0.6470588235294118,0.18181818181818182,0.25,0.16666666666666666,3.0,6.0,,1.0,1.0,2.0,1.0,,1.0,1.0,4.0,,2.0,2.0,12.0,1.0,1.0,,2.0,2.0,,,1.0,0.25,,0.4,0.25,0.16666666666666666,0.5,0.09523809523809523,0.5,0.5,1.0,0.1,0.1,1.0,0.1,,,0.1,,,0.1111111111111111,0.5,0.3333333333333333,0.1,,,,,,,,2.0,,,,True,,,,,,,,,,
2123,1610612743,Garth Joseph,Garth Joseph,2123,DEN,364.0,6,2,14,13,11,13,3.0,27,,,,,,,2.0,,,,,2,,,,15,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,1.0,1.0,,,11,,,,,,,,,,,,,,,,21.05263157894737,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.366,,0.365,0.3333333333333333,0.3333333333333333,,,8.45,,0.7857142857142857,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
788,1610612743,Kevin Willis,Kevin Willis,788,DEN,2823.0,47,-12,96,97,32,46,14.0,193,2.0,6.0,1.0,5.0,1.0,2.0,6.0,4.0,9.0,,7.0,21,,8.0,22.0,104,3.0,10.0,,6.0,3.0,8,3.0,9.0,8.0,6.0,4.0,,2.0,,1.0,,,3.0,1.0,8.0,1.0,6.0,1.0,8.0,9.0,17.0,1.0,1.0,1.0,,4.0,9.0,10.0,,3.0,2.0,2.0,1.0,1.0,2.0,1.0,9.0,32,1.0,0.5714285714285714,0.8,0.3333333333333333,0.3,0.375,0.3333333333333333,0.3,0.375,0.4230769230769231,0.3,0.45,,0.09523809523809523,0.3333333333333333,24.778761061946906,0.5,0.13333333333333333,0.1702127659574468,0.14285714285714285,0.25,0.1346153846153846,0.17647058823529413,0.23076923076923078,0.2857142857142857,0.05,0.3333333333333333,,0.09090909090909091,0.1,0.21428571428571427,0.2,0.08333333333333333,0.5,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.5,0.2857142857142857,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.5,,0.5,0.2,0.25,0.5,0.2857142857142857,0.44305714285714287,0.47302,0.45922500000000005,0.125,0.125,0.2727272727272727,0.4090909090909091,10.023809523809524,,0.3333333333333333,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,1.0,,0.5,0.16666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,
1899,1610612743,James Posey,James Posey,1899,DEN,12012.0,200,-22,382,384,79,56,48.0,766,13.0,24.0,1.0,5.0,3.0,8.0,8.0,1.0,9.0,15.0,19.0,41,26.0,6.0,71.0,401,2.0,6.0,1.0,8.0,4.0,12,3.0,23.0,24.0,14.0,,15.0,3.0,13.0,18.0,5.0,6.0,41.0,3.0,8.0,4.0,14.0,,18.0,11.0,29.0,2.0,12.0,6.0,6.0,6.0,20.0,8.0,2.0,4.0,1.0,5.0,1.0,3.0,5.0,3.0,23.0,79,1.0,0.631578947368421,0.631578947368421,0.4634146341463415,0.3333333333333333,0.3333333333333333,0.48507462686567165,0.35,0.5,0.5071428571428571,0.4,0.5227272727272727,0.3880597014925373,0.07317073170731707,,18.11926605504587,,0.0880503144654088,0.055944055944055944,0.10810810810810811,0.06818181818181818,0.09183673469387756,0.058823529411764705,0.09302325581395349,0.07692307692307693,0.01639344262295082,0.05555555555555555,0.125,0.06666666666666667,0.09433962264150944,0.09836065573770492,0.0967741935483871,0.05555555555555555,0.6,0.3582089552238806,0.5416666666666666,0.6190476190476191,0.6923076923076923,0.11940298507462686,0.13432835820895522,0.1111111111111111,0.1111111111111111,1.0,0.22388059701492538,0.5,0.2,0.4,0.375,0.746268656716418,0.539023880597015,0.549625,0.559335,0.057971014492753624,0.09302325581395349,0.11267605633802817,0.323943661971831,5.965853658536586,24.853846153846156,0.20680628272251309,5.0,4.0,8.0,5.0,1.0,2.0,5.0,2.0,2.0,4.0,3.0,9.0,2.0,1.0,0.125,0.5555555555555556,0.625,0.625,0.2,5.0,11.0,1.0,3.0,3.0,4.0,4.0,,1.0,1.0,9.0,1.0,4.0,4.0,24.0,4.0,4.0,,,2.0,1.0,,0.8888888888888888,0.34615384615384615,0.25,0.5,0.34615384615384615,0.16666666666666666,0.4,0.16417910447761194,0.45454545454545453,0.45454545454545453,1.0,0.26666666666666666,0.26666666666666666,0.75,0.3,0.3333333333333333,1.0,0.1,,,0.2,0.75,0.25,0.26666666666666666,,,,,,,1.0,,,3.0,,True,,,,,,,,,,
686,1610612743,Antonio McDyess,Antonio McDyess,686,DEN,15571.0,260,-44,494,496,128,111,59.0,990,22.0,33.0,6.0,10.0,3.0,5.0,33.0,14.0,40.0,,49.0,106,,29.0,127.0,521,7.0,15.0,9.0,23.0,10.0,21,11.0,31.0,78.0,20.0,8.0,,10.0,5.0,9.0,3.0,2.0,22.0,4.0,21.0,6.0,46.0,2.0,54.0,25.0,79.0,1.0,3.0,2.0,1.0,9.0,28.0,47.0,3.0,17.0,8.0,7.0,3.0,3.0,7.0,4.0,31.0,128,1.0,0.7959183673469388,0.8666666666666667,0.46226415094339623,0.4666666666666667,0.47619047619047616,0.46226415094339623,0.4666666666666667,0.47619047619047616,0.49609375,0.5227272727272727,0.484375,,0.09433962264150944,0.12121212121212122,26.371681415929203,0.25,0.2026431718061674,0.11229946524064172,0.13636363636363635,0.07692307692307693,0.1918819188191882,0.10460251046025104,0.09803921568627451,0.15789473684210525,0.08860759493670886,0.1,,0.1111111111111111,0.20987654320987653,0.26506024096385544,0.14705882352941177,0.021739130434782608,0.5714285714285714,0.3113207547169811,0.6666666666666666,0.7857142857142857,0.6818181818181818,0.3113207547169811,0.37735849056603776,0.35,0.358974358974359,0.9285714285714286,,0.6666666666666666,0.6,0.23809523809523808,0.6,0.3113207547169811,0.4565830188679244,0.49302142857142855,0.41802857142857136,0.14166666666666666,0.14166666666666666,0.18110236220472442,0.2440944881889764,9.502830188679246,,0.2591093117408907,13.0,,,4.0,1.0,,8.0,3.0,6.0,13.0,2.0,21.0,4.0,5.0,0.15151515151515152,0.38095238095238093,0.3939393939393939,0.4482758620689655,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,2.0,1.0,,,,,,,0.1,0.8461538461538461,,,,,,,,,,,,,,,,,,,,,1.0,,,0.3333333333333333,,1.0,,0.025,True,,,,,,,,,,
