EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PtsAssisted2s,BlockedLongMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,FTDefRebounds,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,3SecondViolations,PenaltyFg2Pct,PenaltyEfgPct,DefFTReboundPct,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,Corner3Assists,Offensive Fouls,FG3APct,AtRimPctBlocked,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,Avg3ptShotDistance,SecondChanceFtPoints,Clear Path Fouls,LongMidRangePctBlocked,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefAtRimReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGA,Fg3aBlocked,SelfOReb,Travels,SecondChanceTurnovers,FG3APctBlocked,Arc3PctBlocked,OffArc3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,Corner3FGM,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,on,DefensiveGoaltends,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,HeaveAttempts,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,HeaveMakes,Blocked3s,BlockedCorner3,BlockedArc3
1510,1610612739,Brevin Knight,Brevin Knight,1510,CLE,5600.0,93,-17.0,182,181,70,72,24.0,363,1.0,4.0,1.0,1.0,2.0,1.0,9.0,2.0,15.0,5.0,9.0,189.0,1.0,2.0,2.0,3.0,5.0,5.0,4.0,2.0,1.0,21.0,4.0,25.0,4.0,12.0,2.0,7.0,54.0,1.0,2.0,4.0,6.0,1.0,7.0,6.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,7.0,1.0,4.0,17.0,6.0,2.0,1.0,1.0,1.0,1.0,5.0,70,4.0,0.1333333333333333,0.5,0.1333333333333333,0.5,0.25,0.5,0.4166666666666667,0.0666666666666666,0.5,11.848341232227488,0.7142857142857143,0.0701754385964912,0.0116279069767441,0.125,0.0821917808219178,0.0104166666666666,0.0416666666666666,0.0909090909090909,0.08,0.1333333333333333,0.2666666666666666,0.25,0.25,0.1333333333333333,0.6,0.1111111111111111,0.1111111111111111,0.5,0.3333333333333333,0.2666666666666666,0.4600733333333333,0.34845,0.5348,0.1176470588235294,0.1176470588235294,0.2222222222222222,0.5555555555555556,12.366666666666667,0.3846153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,1610612739,Cedric Henderson,Cedric Henderson,1538,CLE,1777.0,30,-8.0,60,61,31,33,7.0,121,1.0,4.0,,2.0,2.0,,3.0,2.0,9.0,,4.0,58.0,,,,5.0,,,2.0,,,4.0,,4.0,,2.0,2.0,,8.0,2.0,,3.0,3.0,2.0,5.0,1.0,1.0,,3.0,,3.0,,,3.0,1.0,3.0,7.0,,,,1.0,,1.0,,31,1.0,0.2222222222222222,,0.2222222222222222,,0.2222222222222222,,,,,17.91044776119403,1.0,0.1666666666666666,0.0666666666666666,,0.125,0.064516129032258,0.125,0.1111111111111111,0.4,,0.4444444444444444,0.25,0.25,0.2222222222222222,0.3333333333333333,,,,0.4,0.4444444444444444,0.4230444444444444,,0.38536,,,,,9.655555555555557,0.5166666666666667,1.0,2.0,1.0,1.0,0.5,0.5,0.0833333333333333,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612739,Robert Traylor,Robert Traylor,1714,CLE,1783.0,30,1.0,55,57,15,15,9.0,112,4.0,5.0,1.0,1.0,3.0,,,5.0,8.0,3.0,13.0,52.0,1.0,2.0,2.0,2.0,2.0,6.0,4.0,,2.0,,,,,,,,,3.0,2.0,3.0,6.0,3.0,9.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,,1.0,6.0,15,,0.625,0.5,0.625,0.5,0.7222222222222222,0.5,1.0,0.25,0.6666666666666666,16.666666666666664,0.5,0.1363636363636363,0.1071428571428571,0.2857142857142857,0.1724137931034483,0.1071428571428571,,0.1666666666666666,0.2,0.3333333333333333,0.625,0.8,0.8,0.375,,,,0.5,0.5,0.625,0.4762499999999999,0.4855,0.4402,0.25,0.25,0.1538461538461538,0.4615384615384615,2.8375,0.2727272727272727,1.0,6.0,,1.0,0.6,0.6,0.1333333333333333,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.1428571428571428,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723,1610612739,Matt Harpring,Matt Harpring,1723,CLE,3063.0,51,-16.0,102,100,38,39,14.0,202,1.0,4.0,2.0,2.0,3.0,2.0,7.0,3.0,14.0,8.0,14.0,113.0,,2.0,,7.0,5.0,7.0,,,1.0,2.0,1.0,3.0,,,1.0,1.0,7.0,2.0,2.0,2.0,5.0,2.0,7.0,1.0,1.0,,,,,1.0,,1.0,,3.0,7.0,9.0,2.0,3.0,,,,7.0,38,1.0,0.2142857142857142,,0.2,,0.35,,0.3181818181818182,0.0714285714285714,,16.666666666666668,,0.0769230769230769,0.0363636363636363,0.2,0.1111111111111111,0.0327868852459016,,0.125,0.0714285714285714,0.2222222222222222,0.2666666666666666,0.25,0.3333333333333333,0.2,0.4666666666666667,0.2857142857142857,0.2857142857142857,1.0,0.25,0.3333333333333333,0.4552366666666667,0.4437,0.42393125,0.1176470588235294,0.125,,0.5,11.02142857142857,0.3725490196078431,,6.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,0.1428571428571428,0.125,0.2,0.125,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0666666666666666,0.25,1.0,0.0666666666666666,0.125,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1610612739,Chris Gatling,Chris Gatling,423,CLE,3410.0,57,-24.0,113,114,40,44,16.0,227,10.0,11.0,4.0,3.0,10.0,2.0,10.0,16.0,31.0,7.0,39.0,122.0,4.0,4.0,9.0,9.0,4.0,14.0,14.0,4.0,3.0,,,,,,,,,3.0,3.0,6.0,11.0,3.0,14.0,4.0,3.0,1.0,2.0,,,3.0,2.0,5.0,,2.0,5.0,10.0,5.0,1.0,1.0,,1.0,14.0,40,1.0,0.5161290322580645,1.0,0.5161290322580645,1.0,0.5571428571428572,0.9,0.6363636363636364,0.0967741935483871,0.2,30.07518796992481,0.4,0.1875,0.0566037735849056,0.25,0.2045454545454545,0.0526315789473684,0.0588235294117647,0.0714285714285714,0.3846153846153846,0.2727272727272727,0.3548387096774194,0.9090909090909092,0.9090909090909092,0.3225806451612903,0.3225806451612903,0.2,0.2222222222222222,1.0,0.3333333333333333,0.3548387096774194,0.4454451612903226,0.55445,0.4255333333333333,0.1470588235294117,0.1470588235294117,0.2307692307692307,0.358974358974359,8.383870967741935,0.3539823008849557,4.0,18.0,,,0.5625,0.6428571428571429,0.0434782608695652,,0.4,0.4,0.5,4.0,3.0,5.0,2.0,,2.0,1.0,1.0,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.0769230769230769,0.75,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,1610612739,Trajan Langdon,Trajan Langdon,1892,CLE,2520.0,42,-13.0,78,79,27,31,9.0,157,2.0,4.0,,2.0,,2.0,8.0,4.0,12.0,2.0,13.0,81.0,1.0,1.0,2.0,6.0,2.0,7.0,,,,1.0,,1.0,,,1.0,,2.0,,,3.0,4.0,,4.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,2.0,2.0,,1.0,,,,7.0,27,1.0,0.3333333333333333,1.0,0.34375,0.5,0.3823529411764705,0.5,0.35,,,21.34831460674157,0.5,0.09375,,,0.0769230769230769,,,0.1333333333333333,,,0.25,0.5,0.5,,0.5,0.25,0.25,,0.2222222222222222,0.5,0.5160125,0.6033,0.4928111111111111,,,0.1538461538461538,0.5384615384615384,12.566666666666668,0.3461538461538461,,8.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,0.1666666666666666,0.2777777777777778,0.2,,,,,1.0,,4.0,3.0,,1.0,0.25,,1.0,0.0625,,24.225,,,,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.1666666666666666,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,1610612739,Chris Mihm,Chris Mihm,2036,CLE,850.0,14,2.0,24,24,6,8,,48,1.0,2.0,,1.0,3.0,1.0,1.0,3.0,6.0,,6.0,25.0,,,,1.0,,,,,1.0,,,,,,,,,,,3.0,3.0,,3.0,,,,,,,1.0,,1.0,,,2.0,,,,,,,,6,,0.5,,0.5,,0.5,,,0.1666666666666666,,28.0,,0.3,,,0.25,,,0.5,0.25,,0.3333333333333333,0.5,1.0,0.5,0.1666666666666666,1.0,1.0,,1.0,0.3333333333333333,0.4816499999999999,,0.6632,,,,,7.183333333333334,0.25,1.0,6.0,,,1.0,1.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1610612739,J.R. Reid,J.R. Reid,462,CLE,1049.0,17,-11.0,34,34,9,13,4.0,68,,,,,,1.0,4.0,1.0,4.0,5.0,7.0,42.0,,1.0,,,4.0,4.0,,,,,,,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,,1.0,,1.0,,,3.0,6.0,1.0,2.0,,,,4.0,9,,0.25,,0.25,,0.5,,1.0,,,21.05263157894737,,0.1538461538461538,0.0666666666666666,,0.1333333333333333,0.0588235294117647,,0.25,,,,,,,1.0,0.25,0.25,,,,0.401475,0.422,,0.2,0.2,,0.5714285714285714,16.825,0.2647058823529412,,2.0,,,1.0,1.0,0.1111111111111111,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1610612739,Clar. Weatherspoon,Clar. Weatherspoon,221,CLE,3081.0,51,-3.0,102,100,48,53,12.0,202,3.0,6.0,3.0,3.0,6.0,,1.0,6.0,13.0,7.0,19.0,104.0,2.0,4.0,4.0,4.0,4.0,10.0,4.0,2.0,,,,,,,,,,3.0,,6.0,9.0,4.0,13.0,3.0,2.0,1.0,,,,1.0,,1.0,,4.0,5.0,10.0,3.0,2.0,,,,10.0,48,,0.4615384615384615,0.5,0.4615384615384615,0.5,0.5277777777777778,0.5,0.7142857142857143,,,16.379310344827587,,0.2142857142857142,0.0638297872340425,,0.1764705882352941,0.074074074074074,,0.2857142857142857,0.2352941176470588,,0.4615384615384615,0.5,0.5,0.4615384615384615,0.0769230769230769,,,0.75,0.75,0.4615384615384615,0.4578076923076923,0.4862499999999999,0.5374,0.1875,0.1875,0.2105263157894736,0.5263157894736842,5.523076923076923,0.4705882352941176,3.0,8.0,,,0.6666666666666666,0.8,0.0526315789473684,,0.6666666666666666,0.5,0.5,1.0,2.0,3.0,3.0,,,,,0.75,0.75,0.75,0.1538461538461538,0.6666666666666666,0.3333333333333333,0.6666666666666666,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.1428571428571428,0.25,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612739,Andre Miller,Andre Miller,1889,CLE,621.0,10,7.0,23,23,17,7,1.0,46,1.0,2.0,,2.0,2.0,,,1.0,4.0,2.0,4.0,21.0,,1.0,,4.0,2.0,4.0,2.0,,2.0,2.0,,2.0,,,,2.0,4.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,4.0,17,1.0,0.25,,0.25,,0.4,,0.4,0.5,1.0,20.0,,0.1666666666666666,0.125,,0.1111111111111111,0.1111111111111111,0.5,,0.2,,0.5,0.5,0.5,0.5,,,,,0.5,0.5,0.558475,0.3426,0.558475,,,,1.0,4.15,0.7391304347826086,,,,,,,,,,,,,1.0,1.0,,,,,,0.25,0.25,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
