EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,FG2A,FtPoints,Points,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,TsPct,PenaltyTsPct,Usage,AtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Arc3FGA,FG3A,NonHeaveArc3FGA,ThreePtAssists,Arc3Assists,FG3APct,Arc3Frequency,Avg3ptShotDistance,LongMidRangeFGA,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Steals,BadPassSteals,ShootingFouls,Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg2ptShotDistance,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,SecondChanceFG2A,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,NonShootingPenaltyNonTakeFouls,on,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsUnassisted3s,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,PtsPutbacks,2pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceFtPoints,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn
1074,1610612737,Matt Maloney,Matt Maloney,1074,ATL,378.0,6,-3.0,11,11,5.0,7,1.0,22,12.0,1.0,1.0,1.0,2.0,5.0,0.4545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,178.0,3,-3.0,5,5,4.0,5,1.0,10,7.0,,,,,4.0,0.8,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,0.5,0.5,66.66666666666667,1.0,1.0,1.0,0.7094,0.7094,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,1610612737,Larry Robinson,Larry Robinson,1683,ATL,378.0,6,-3.0,11,11,5.0,7,1.0,22,12.0,,1.0,,3.0,5.0,0.4545454545454545,,,,,,,,,,,,,,8.333333333333334,,,1.0,0.50145,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612737,DerMarr Johnson,DerMarr Johnson,2035,ATL,378.0,6,-3.0,11,11,5.0,7,1.0,22,12.0,,,,,5.0,0.4545454545454545,,,2.0,,3.0,1.0,,,,,,0.5,,25.0,,,0.3333333333333333,0.4078666666666666,0.3464,,,,1.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333,24.8,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1610612737,Anthony Miller,Anthony Miller,292,ATL,378.0,6,-3.0,11,11,5.0,7,1.0,22,12.0,,,,,5.0,0.4545454545454545,1.0,1.0,2.0,,2.0,1.0,,,,,,0.5,,25.0,0.5,1.0,0.5,0.4251,0.4993,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.4993,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,1610612737,Hanno Mottola,Hanno Mottola,2069,ATL,200.0,3,,6,6,1.0,2,,12,5.0,,,,,1.0,0.1666666666666666,,,1.0,,,,,,,,,,,16.666666666666668,,,,0.3668,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,12.9,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,1610612737,Matt Maloney,Matt Maloney,1074,ATL,83670.0,1394,-33.0,2606,2588,683.0,764,382.0,5194,2594.0,126.0,153.0,25.0,333.0,683.0,0.2620874904067536,34.0,6.0,206.0,26.0,369.0,38.0,21.0,77.0,34.0,2.0,77.0,0.5013774104683195,0.4529411764705882,14.122262177182083,0.0977011494252873,0.0857142857142857,0.5057471264367817,0.4709299132947977,0.4638107142857142,0.0057142857142857,0.0096153846153846,0.2086720867208672,124.0,142.0,123.0,27.0,18.0,0.4080459770114942,0.3563218390804598,25.586619718309866,144.0,42.0,51.0,114.0,42.0,56.0,25.0,35.0,94.0,0.7450980392156863,0.3591549295774648,0.3617021276595745,0.492816091954023,0.4137931034482758,0.3387096774193548,0.3442622950819672,0.6904761904761905,0.3414634146341463,14.599029126213598,3.0,11.0,28.0,95.0,14.0,58.0,81.0,103.0,117.0,49.0,36.0,70.0,0.3052631578947368,0.3052631578947368,0.4611650485436893,0.7,0.075208913649025,0.0751314800901577,0.0854922279792746,0.0804597701149425,0.3928571428571428,0.4583333333333333,0.1818181818181818,0.1071428571428571,0.4622080000000001,20.0,False,16.0,1.0,4.0,68.0,9.0,18.0,1.0,2.0,4.0,14.0,9.0,30.0,8.0,4.0,14.0,28.0,13.0,10.0,32.0,132.0,39.0,1.0,10.0,2.0,9.0,33.0,68.0,5.0,7.0,2.0,19.0,3.0,14.0,4.0,31.0,9.0,21.0,5.0,13.0,4.0,4.0,18.0,1.0,3.0,2.0,5.0,13.0,5.0,1.0,4.0,5.0,2.0,1.0,0.2857142857142857,0.3125,0.5714285714285714,0.3421052631578947,0.5,0.4,0.4827586206896552,0.0140845070422535,0.0485436893203883,0.088235294117647,0.1428571428571428,0.0208333333333333,0.0161290322580645,0.04,0.0285714285714285,0.0064279155188246,0.0748031496062992,0.0219298245614035,0.0091116173120728,0.0119521912350597,0.0022727272727272,0.007537688442211,0.0274725274725274,0.0679245283018867,0.0704225352112676,0.064516129032258,0.1029411764705882,0.0218579234972677,0.4,0.4705882352941176,0.5161290322580645,0.4375,0.4722222222222222,0.4822695035460992,0.2941176470588235,0.0517241379310344,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.2857142857142857,1.0,0.6666666666666666,0.0285714285714285,0.5,0.4285714285714285,0.3,0.075880758807588,,,,,,,,,,,,,,,,,,,,,,,
1510,1610612737,Brevin Knight,Brevin Knight,1510,ATL,82091.0,1368,-229.0,2712,2726,495.0,645,349.0,5438,2878.0,236.0,286.0,47.0,622.0,495.0,0.1825221238938053,73.0,11.0,346.0,49.0,324.0,56.0,19.0,69.0,60.0,22.0,69.0,0.4205729166666667,0.4662162162162162,14.99039077514414,0.2050561797752809,0.1746031746031746,0.2331460674157303,0.4387171830985917,0.4084153225806451,0.0586666666666666,0.0602739726027397,0.2129629629629629,10.0,10.0,9.0,50.0,42.0,0.0280898876404494,0.0280898876404494,30.91,199.0,1.0,1.0,3.0,1.0,95.0,47.0,55.0,138.0,1.0,0.1,0.1111111111111111,0.3862359550561798,0.5589887640449438,0.1,0.1,1.0,0.1111111111111111,12.10086705202312,3.0,22.0,74.0,136.0,21.0,118.0,107.0,139.0,161.0,50.0,41.0,84.0,0.4338235294117647,0.4402985074626865,0.3930635838150289,0.5952380952380952,0.1024904214559387,0.1088328075709779,0.0857908847184986,0.2078651685393258,0.2972972972972973,0.3283582089552239,0.2727272727272727,0.1304347826086956,0.4266375,20.0,False,35.0,,4.0,79.0,,,,,1.0,2.0,,7.0,9.0,1.0,2.0,21.0,25.0,,7.0,154.0,,1.0,20.0,,8.0,85.0,104.0,3.0,19.0,,31.0,1.0,22.0,2.0,48.0,22.0,34.0,2.0,9.0,3.0,6.0,12.0,,2.0,2.0,1.0,9.0,3.0,2.0,,3.0,1.0,,0.5,,0.4285714285714285,0.4464285714285714,0.4565217391304347,0.3968253968253968,0.4565217391304347,,0.0578034682080924,0.1643835616438356,0.0945945945945946,0.0050251256281407,,0.0128205128205128,,0.0162532078699743,0.1383928571428571,0.0182926829268292,0.0165041260315078,0.0107913669064748,0.0156599552572706,0.0202702702702702,0.0238095238095238,0.0867924528301886,0.1280788177339901,0.1538461538461538,0.0909090909090909,0.0105263157894736,0.3333333333333333,0.4794520547945205,0.5737704918032787,0.0571428571428571,0.3969849246231156,0.398989898989899,0.6455696202531646,,,,,,,0.0869565217391304,0.5,1.0,0.3636363636363636,,,0.1111111111111111,,0.0648148148148148,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
1728,1610612737,Roshown McLeod,Roshown McLeod,1728,ATL,54192.0,903,-29.0,1689,1684,417.0,393,236.0,3373,1672.0,49.0,58.0,11.0,125.0,417.0,0.2468916518650089,50.0,14.0,309.0,45.0,335.0,62.0,19.0,90.0,51.0,23.0,90.0,0.4771428571428571,0.5487804878048781,20.6494165398275,0.1515151515151515,0.1891891891891892,0.2151515151515151,0.4267788753799393,0.4364609589041096,0.0670553935860058,0.0714285714285714,0.2686567164179104,14.0,21.0,14.0,9.0,7.0,0.0636363636363636,0.0424242424242424,25.61428571428572,136.0,1.0,2.0,6.0,1.0,23.0,13.0,45.0,88.0,1.0,0.0952380952380952,0.0952380952380952,0.4393939393939394,0.4121212121212121,0.0714285714285714,0.0714285714285714,1.0,0.0714285714285714,11.41326860841424,11.0,48.0,123.0,142.0,35.0,184.0,63.0,81.0,118.0,27.0,17.0,57.0,0.647887323943662,0.6666666666666666,0.459546925566343,0.4736842105263157,0.0927835051546391,0.0936374549819928,0.1153846153846153,0.3727272727272727,0.3902439024390244,0.4444444444444444,0.4583333333333333,0.2894736842105263,0.4694333333333333,7.0,False,33.0,8.0,9.0,61.0,1.0,7.0,1.0,4.0,,3.0,,8.0,14.0,,3.0,35.0,34.0,1.0,12.0,100.0,,,23.0,,2.0,15.0,23.0,2.0,33.0,2.0,15.0,3.0,37.0,5.0,10.0,5.0,30.0,3.0,10.0,5.0,6.0,12.0,,4.0,9.0,1.0,7.0,8.0,4.0,4.0,8.0,6.0,,,0.0833333333333333,0.4,0.5483870967741935,0.3684210526315789,0.4797297297297297,0.4375,,0.0744336569579288,0.12,0.1219512195121951,0.0147058823529411,,0.0625,0.074074074074074,0.0434210526315789,0.0974025974025974,0.0222222222222222,0.0411764705882352,0.05,0.0388349514563106,0.0446735395189003,,0.0838323353293413,0.0753968253968253,0.0754716981132075,0.1458333333333333,0.0306748466257668,0.75,0.66,0.75,0.6060606060606061,0.4485294117647059,0.4552238805970149,0.819672131147541,0.0212121212121212,0.1428571428571428,0.1428571428571428,1.0,0.7272727272727273,0.375,0.0789473684210526,,,0.6428571428571429,0.054054054054054,0.25,0.1081081081081081,,0.1044776119402985,8.0,10.0,,7.0,2.0,0.08,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,185438.0,3091,-302.0,6014,5989,1483.0,1735,793.0,12003,6246.0,356.0,403.0,74.0,853.0,1483.0,0.2465912869970069,194.0,63.0,1053.0,303.0,1619.0,265.0,148.0,478.0,358.0,110.0,478.0,0.5240606460118655,0.5543735224586288,25.269822996114552,0.1419166057059253,0.1836734693877551,0.3716166788588149,0.4569506607929515,0.4419531065088757,0.0768175582990397,0.0963222416812609,0.2952439777640518,255.0,314.0,250.0,47.0,31.0,0.2297000731528895,0.1865398683247988,25.38025477707006,543.0,104.0,124.0,288.0,103.0,103.0,62.0,87.0,203.0,0.7741935483870968,0.3949044585987261,0.3967741935483871,0.4813460131675201,0.3972201901975128,0.4078431372549019,0.4110671936758893,0.7403846153846154,0.412,12.027160493827164,16.0,117.0,316.0,472.0,82.0,320.0,178.0,227.0,269.0,154.0,106.0,239.0,0.3389830508474576,0.345572354211663,0.4482431149097816,0.6443514644351465,0.0752006759611322,0.0772963604852686,0.0730088495575221,0.2311631309436722,0.370253164556962,0.4270072992700729,0.2307692307692307,0.1391304347826087,0.4496288659793814,37.0,False,107.0,9.0,37.0,248.0,20.0,59.0,2.0,9.0,11.0,27.0,28.0,69.0,35.0,15.0,33.0,130.0,120.0,30.0,78.0,624.0,84.0,4.0,85.0,2.0,16.0,152.0,130.0,8.0,33.0,1.0,45.0,4.0,42.0,16.0,41.0,36.0,85.0,14.0,48.0,11.0,15.0,74.0,1.0,1.0,8.0,32.0,59.0,12.0,5.0,5.0,12.0,7.0,5.0,0.4545454545454545,0.3846153846153846,0.4268292682926829,0.4528301886792453,0.5,0.4810495626822157,0.5121951219512195,0.0063694267515923,0.080721747388414,0.1597938144329896,0.1329113924050632,0.0220994475138121,0.0078431372549019,0.0210526315789473,0.006578947368421,0.0130848532910388,0.0868725868725868,0.018018018018018,0.0138233310856372,0.0101010101010101,0.0145348837209302,0.0133928571428571,0.0177514792899408,0.0584307178631051,0.0891203703703703,0.0822281167108753,0.0992907801418439,0.0238450074515648,0.5833333333333334,0.5515463917525774,0.656441717791411,0.2149532710280373,0.4567219152854512,0.4670433145009416,0.4435483870967742,0.0431602048280907,0.3389830508474576,0.3389830508474576,0.95,0.5625,,0.2347826086956521,0.4074074074074074,0.7272727272727273,0.5873015873015873,0.0262390670553935,0.2222222222222222,0.2011661807580174,0.4057971014492754,0.0802964793082149,18.0,21.0,2.0,15.0,,0.0188679245283018,4.0,6.0,1.0,2.0,2.0,0.0521739130434782,0.6666666666666666,1.0,0.0063291139240506,,,,,,,,
