EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,3SecondViolations,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Defensive 3 Seconds Violations,Clear Path Fouls,on,SecondChanceCorner3FGM,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
1890,1610612756,Shawn Marion,Shawn Marion,1890,PHX,71853.0,1198,96.0,2278,2288,429,441,299,4566,89.0,141.0,29.0,48.0,26.0,37.0,72.0,185.0,79.0,180.0,7.0,24.0,3.0,1.0,6.0,1.0,9.0,1.0,4.0,240.0,506,8.0,33.0,105.0,609.0,2142,40.0,80.0,4.0,22.0,102.0,40.0,81.0,1.0,10.0,32.0,115.0,330.0,150.0,24.0,52.0,1.0,8.0,1.0,28.0,47,15.0,62,11.0,4.0,20.0,8.0,19.0,139,10.0,77.0,3.0,41.0,200.0,26.0,267.0,90.0,357,25.0,56.0,41.0,15.0,40.0,7.0,16.0,26.0,7.0,24.0,2.0,66,7.0,14.0,58.0,92,2.0,5.0,138.0,15.0,7.0,65.0,8.0,56.0,29.0,7.0,20.0,56.0,32.0,1.0,1.0,115.0,429,7.0,0.6875,0.7710280373831776,1.0,0.24242424242424243,0.1,0.25,0.4743083003952569,0.5,0.49382716049382713,0.4675324675324675,0.47619047619047616,0.45604395604395603,0.5058626465661642,0.53125,0.5136363636363637,0.061224489795918366,0.05533596837944664,0.11347517730496454,0.043243243243243246,0.022222222222222223,25.199543899657925,0.6060606060606061,0.4642857142857143,0.05172413793103448,0.21574973031283712,0.08191489361702127,0.2679738562091503,0.05025125628140704,0.22314814814814815,0.07638279192273925,0.10714285714285714,0.07692307692307693,0.07079646017699115,0.05343511450381679,0.04411764705882353,0.18775510204081633,0.20915032679738563,0.2393617021276596,0.2719298245614035,0.2564102564102564,0.09541984732824428,0.5714285714285714,0.26159554730983303,0.6312056737588653,0.712,0.6067415730337079,0.3432282003710575,0.3891891891891892,0.4067796610169492,0.625,0.3339517625231911,0.4388888888888889,0.44886363636363635,0.8354430379746836,0.04452690166975881,0.2916666666666667,0.2916666666666667,1.0,0.016697588126159554,0.1111111111111111,0.1111111111111111,1.0,0.5714285714285714,0.6041666666666666,0.10344827586206896,0.03571428571428571,0.011904761904761904,0.4065934065934066,0.7027027027027027,0.06593406593406594,0.16666666666666666,0.04395604395604396,0.3228200371057514,0.125,0.4599244423791821,0.5023460526315792,0.4860272222222222,0.11035653650254669,0.11690647482014388,0.16748768472906403,0.18883415435139572,9.591897233201585,24.975757575757576,0.18832309043020193,,,,,,,,,,,,,,,,,,,,,True,,,,
201,1610612756,Chris Dudley,Chris Dudley,201,PHX,14397.0,240,,441,445,33,42,62,886,7.0,18.0,6.0,14.0,,,4.0,14.0,,,,,,,,,,,,11.0,32,,,3.0,25.0,438,7.0,16.0,,,14.0,,,,,1.0,1.0,8.0,14.0,,12.0,,,,4.0,7,2.0,9,1.0,1.0,3.0,,4.0,20,3.0,26.0,1.0,9.0,34.0,5.0,48.0,30.0,78,3.0,7.0,4.0,3.0,,,,8.0,1.0,,2.0,8,2.0,1.0,15.0,42,7.0,4.0,8.0,,,3.0,1.0,8.0,5.0,,3.0,8.0,4.0,1.0,,1.0,33,5.0,0.36363636363636365,0.8,,,,,0.34375,0.4375,,0.34375,0.4375,,0.3472222222222222,0.4117647058823529,0.5,,0.125,0.1111111111111111,0.14285714285714285,,8.42911877394636,,0.38461538461538464,0.125,0.2111801242236025,0.13333333333333333,0.2571428571428571,0.058823529411764705,0.2193877551020408,0.11788617886178862,0.12903225806451613,0.16901408450704225,0.0967741935483871,0.0625,0.05263157894736842,0.1388888888888889,0.2,0.2571428571428571,0.2857142857142857,0.14285714285714285,0.17647058823529413,0.5,0.5625,0.3888888888888889,0.4375,0.14285714285714285,0.4375,0.2857142857142857,0.3333333333333333,0.75,,,,,,,,,,,,,0.875,0.42857142857142855,,,,,,,,,0.5625,,0.48128125,0.5212800000000001,,0.08571428571428572,0.08571428571428572,0.56,0.04,3.271875,,0.07482993197278912,1.0,,,,,,,,,,,,,,,,,,,,True,,,,
219,1610612756,Vinny Del Negro,Vinny Del Negro,219,PHX,2917.0,49,21.0,95,96,29,33,10,191,1.0,2.0,,,,,4.0,5.0,6.0,8.0,,,,,,,,,,11.0,15,,,5.0,27.0,85,,,,,,1.0,3.0,,,2.0,4.0,10.0,12.0,,,,,,,5,1.0,6,,1.0,2.0,,3.0,13,,,,1.0,5.0,,6.0,,6,,2.0,2.0,,1.0,,1.0,,,,,1,1.0,,,6,,,5.0,,1.0,1.0,1.0,,,,,,,,,4.0,29,1.0,0.45454545454545453,0.45454545454545453,,,,,0.7333333333333333,,0.3333333333333333,0.7333333333333333,,0.3333333333333333,0.7647058823529411,,0.5,,,,,,16.9811320754717,1.0,,,0.10869565217391304,,0.16666666666666666,,0.11538461538461539,,,,,,,0.10526315789473684,0.09090909090909091,0.125,0.2,,,,0.13333333333333333,0.5,0.5,1.0,0.3333333333333333,0.8,0.8,0.25,0.5333333333333333,0.75,0.75,0.5,,,,,,,,,,,,,,,,,,,0.13333333333333333,,0.42547333333333337,,0.3907333333333333,0.0625,0.0625,,0.14814814814814814,12.919999999999998,,0.30526315789473685,,,,,,,,,,,,,,,,,,,,,True,,,,
339,1610612756,Tom Gugliotta,Tom Gugliotta,339,PHX,17697.0,295,3.0,558,551,177,172,92,1109,13.0,30.0,6.0,12.0,4.0,9.0,8.0,22.0,20.0,45.0,1.0,2.0,,,1.0,,2.0,,1.0,41.0,97,1.0,4.0,17.0,102.0,546,9.0,17.0,,5.0,23.0,9.0,21.0,,2.0,14.0,32.0,50.0,32.0,3.0,12.0,1.0,1.0,,9.0,6,3.0,9,2.0,1.0,,1.0,5.0,21,5.0,22.0,,11.0,31.0,8.0,50.0,27.0,77,7.0,14.0,10.0,4.0,7.0,1.0,5.0,3.0,,2.0,,10,1.0,2.0,14.0,26,2.0,1.0,21.0,1.0,,6.0,5.0,5.0,4.0,,1.0,5.0,2.0,,,32.0,177,3.0,0.6097560975609756,0.7142857142857143,1.0,0.25,,0.3333333333333333,0.422680412371134,0.5294117647058824,0.42857142857142855,0.4207920792079208,0.5294117647058824,0.391304347826087,0.4594594594594595,0.575,0.5161290322580645,0.039603960396039604,0.09278350515463918,0.23333333333333334,0.09090909090909091,,18.222891566265062,0.7,0.38095238095238093,,0.14285714285714285,0.09016393442622951,0.2682926829268293,0.09803921568627451,0.16279069767441862,0.09152542372881356,0.0958904109589041,0.08,0.09375,0.12121212121212122,0.05555555555555555,0.12698412698412698,0.11842105263157894,0.1794871794871795,0.26666666666666666,0.2727272727272727,0.14583333333333334,0.4,0.297029702970297,0.43333333333333335,0.5652173913043478,0.46153846153846156,0.21782178217821782,0.36363636363636365,0.4,0.125,0.44554455445544555,0.4444444444444444,0.4444444444444444,0.9,0.019801980198019802,0.5,0.5,1.0,0.019801980198019802,,,,0.7058823529411765,0.5,,,,0.391304347826087,0.4444444444444444,0.043478260869565216,,0.043478260869565216,0.33663366336633666,,0.43838399999999994,0.49090000000000006,0.45560000000000006,0.05660377358490566,0.058823529411764705,0.22549019607843138,0.3137254901960784,10.74020618556701,35.125,0.3172043010752688,,,,,,,,,,,,,,,,,,,,,True,,,,
53,1610612756,Mario Elie,Mario Elie,53,PHX,90472.0,1508,85.0,2873,2873,608,663,381,5746,37.0,74.0,7.0,9.0,4.0,6.0,14.0,39.0,17.0,33.0,16.0,41.0,2.0,2.0,5.0,20.0,59.0,11.0,12.0,68.0,146,36.0,100.0,55.0,299.0,2746,9.0,17.0,13.0,5.0,32.0,11.0,20.0,5.0,17.0,16.0,53.0,90.0,46.0,108.0,12.0,1.0,58.0,20.0,16.0,106,25.0,131,17.0,8.0,36.0,27.0,43.0,287,7.0,30.0,1.0,16.0,96.0,5.0,117.0,38.0,155,4.0,58.0,38.0,20.0,41.0,11.0,31.0,19.0,2.0,10.0,1.0,60,4.0,11.0,34.0,112,7.0,2.0,69.0,4.0,3.0,28.0,7.0,12.0,7.0,2.0,3.0,12.0,7.0,,,53.0,608,12.0,0.6617647058823529,0.7258064516129032,1.0,0.36,0.29411764705882354,0.36363636363636365,0.4657534246575342,0.5294117647058824,0.55,0.4959349593495935,0.45,0.5,0.5361010830324909,0.48484848484848486,0.5520833333333334,0.4065040650406504,0.1095890410958904,0.13513513513513514,0.15384615384615385,,10.141438459223593,0.6833333333333333,0.0641025641025641,0.013333333333333334,0.08326105810928014,0.025380710659898477,0.07960199004975124,0.02702702702702703,0.0827178729689808,0.025676613462873005,0.03691275167785235,0.027837259100642397,0.014388489208633094,0.03048780487804878,0.021052631578947368,0.0670926517571885,0.07588075880758807,0.09978768577494693,0.06622516556291391,0.12,0.03389830508474576,0.5833333333333334,0.3008130081300813,0.5,0.578125,0.5945945945945946,0.15853658536585366,0.358974358974359,0.42424242424242425,0.6428571428571429,0.13414634146341464,0.5151515151515151,0.5151515151515151,0.8235294117647058,0.16666666666666666,0.3902439024390244,0.4,1.0,0.23983739837398374,0.3389830508474576,0.3448275862068966,1.0,0.3,0.7777777777777778,0.14285714285714285,0.06666666666666667,0.36666666666666664,0.16216216216216217,0.6666666666666666,0.13513513513513514,0.4,0.32432432432432434,0.7073170731707317,0.3448275862068966,0.5292787755102041,0.5040413043478261,0.4661222222222222,0.1037037037037037,0.16470588235294117,0.10702341137123746,0.17725752508361203,6.857534246575341,24.889,0.21162547859380437,,3.0,3.0,3.0,2.0,0.23076923076923078,0.02,0.024390243902439025,0.01694915254237288,0.2727272727272727,1.0,0.25,,,,,,,,,True,,,,
361,1610612756,Clifford Robinson,Clifford Robinson,361,PHX,73880.0,1231,10.0,2335,2344,437,448,286,4679,72.0,118.0,14.0,26.0,19.0,26.0,57.0,188.0,61.0,150.0,11.0,32.0,5.0,3.0,4.0,27.0,80.0,5.0,18.0,190.0,456,38.0,112.0,98.0,592.0,2273,23.0,50.0,10.0,16.0,68.0,31.0,66.0,8.0,22.0,18.0,104.0,288.0,92.0,114.0,12.0,1.0,79.0,27.0,37.0,86,30.0,116,15.0,15.0,39.0,17.0,30.0,262,11.0,31.0,1.0,12.0,81.0,7.0,100.0,43.0,143,6.0,30.0,19.0,11.0,48.0,10.0,32.0,29.0,2.0,16.0,1.0,77,8.0,14.0,46.0,105,2.0,10.0,149.0,16.0,,70.0,12.0,41.0,24.0,5.0,12.0,42.0,23.0,3.0,,104.0,437,8.0,0.7578947368421053,0.782608695652174,1.0,0.3392857142857143,0.36363636363636365,0.34234234234234234,0.4166666666666667,0.46,0.4696969696969697,0.43485915492957744,0.43333333333333335,0.48863636363636365,0.4668769716088328,0.4788732394366197,0.5,0.19718309859154928,0.08114035087719298,0.09322033898305085,0.12234042553191489,0.02,26.542056074766354,0.6233766233766234,0.11864406779661017,0.016666666666666666,0.0858050847457627,0.032460732984293195,0.075,0.05188679245283019,0.08423913043478261,0.03598971722365039,0.025423728813559324,0.031007751937984496,0.0391566265060241,0.030534351145038167,0.08641975308641975,0.06274509803921569,0.0707070707070707,0.11224489795918367,0.08196721311475409,0.05263157894736842,0.02,0.5476190476190477,0.20774647887323944,0.6101694915254238,0.6728971962616822,0.7638888888888888,0.33098591549295775,0.30319148936170215,0.34545454545454546,0.543859649122807,0.2640845070422535,0.4066666666666667,0.41496598639455784,0.9508196721311475,0.056338028169014086,0.34375,0.34375,1.0,0.14084507042253522,0.3375,0.3375,1.0,0.43333333333333335,0.5384615384615384,0.5,0.08333333333333333,0.08333333333333333,0.29545454545454547,0.7307692307692307,0.045454545454545456,0.75,0.20454545454545456,0.40492957746478875,0.34177215189873417,0.46835361552028226,0.5024745454545455,0.4718937499999999,0.11414790996784566,0.13725490196078433,0.11486486486486487,0.17567567567567569,9.425877192982458,24.580357142857146,0.18715203426124197,2.0,2.0,5.0,2.0,,0.2,,,,0.4,1.0,0.2777777777777778,1.0,1.0,1.0,1.0,0.008928571428571428,,,,True,,,,
467,1610612756,Jason Kidd,Jason Kidd,467,PHX,76211.0,1270,78.0,2411,2407,491,523,325,4818,74.0,117.0,7.0,13.0,15.0,28.0,32.0,96.0,61.0,163.0,4.0,12.0,2.0,2.0,3.0,29.0,84.0,11.0,30.0,167.0,376,33.0,96.0,102.0,535.0,2308,13.0,33.0,13.0,5.0,49.0,35.0,79.0,11.0,33.0,54.0,157.0,126.0,208.0,81.0,6.0,4.0,80.0,29.0,14.0,246,41.0,287,32.0,9.0,109.0,55.0,82.0,615,10.0,24.0,3.0,22.0,134.0,5.0,161.0,37.0,198,11.0,68.0,48.0,20.0,71.0,22.0,55.0,38.0,8.0,16.0,4.0,109,7.0,24.0,26.0,57,,2.0,135.0,10.0,14.0,37.0,28.0,7.0,3.0,,4.0,8.0,6.0,1.0,,157.0,491,11.0,0.3772455089820359,0.38414634146341464,0.8181818181818182,0.34375,0.3333333333333333,0.358695652173913,0.4441489361702128,0.3939393939393939,0.4430379746835443,0.4586864406779661,0.4782608695652174,0.45982142857142855,0.4990512333965844,0.5,0.541958041958042,0.2033898305084746,0.03723404255319149,0.09401709401709402,,0.018404907975460124,22.754919499105547,0.6513761467889908,0.078125,0.05,0.14060860440713535,0.02385685884691849,0.12222222222222222,0.044444444444444446,0.13768755516328332,0.02761982128350934,0.039525691699604744,0.014742014742014743,0.023121387283236993,0.051094890510948905,0.03409090909090909,0.11952191235059761,0.17891373801916932,0.12339331619537275,0.15217391304347827,0.023809523809523808,0.04417670682730924,0.75,0.2478813559322034,0.6324786324786325,0.6981132075471698,0.4189189189189189,0.2033898305084746,0.3333333333333333,0.3333333333333333,0.21875,0.3453389830508475,0.37423312883435583,0.38125,0.4098360655737705,0.025423728813559324,0.3333333333333333,0.3333333333333333,1.0,0.17796610169491525,0.34523809523809523,0.34523809523809523,0.7931034482758621,0.2826086956521739,0.5384615384615384,0.2857142857142857,0.043478260869565216,0.2391304347826087,0.25,0.5357142857142857,0.026785714285714284,0.6666666666666666,0.26785714285714285,0.451271186440678,0.3625,0.48281188436830835,0.4688175675675677,0.4581706422018349,0.07414829659318638,0.09181141439205956,0.09158878504672897,0.29345794392523367,10.458244680851063,26.291666666666668,0.2036499377851514,,6.0,9.0,6.0,,0.46153846153846156,,,,0.5454545454545454,0.8333333333333334,0.3,,,1.0,1.0,,18.0,1.0,,True,,,,
386,1610612756,Elliot Perry,Elliot Perry,386,PHX,6002.0,100,11.0,196,198,50,50,26,394,1.0,2.0,,,,1.0,3.0,5.0,5.0,18.0,,,,,,,,,,9.0,25,,,5.0,23.0,171,1.0,2.0,,,2.0,1.0,4.0,,,3.0,5.0,8.0,10.0,,2.0,,,,2.0,13,2.0,15,2.0,,8.0,,5.0,32,,3.0,,2.0,11.0,,13.0,3.0,16,1.0,5.0,3.0,2.0,6.0,1.0,5.0,3.0,1.0,1.0,,9,,2.0,4.0,11,,,6.0,,,1.0,2.0,,,,,,,,,5.0,50,3.0,0.4444444444444444,0.5,,,,,0.36,0.5,0.25,0.36,0.5,0.25,0.4107142857142857,0.5,0.4166666666666667,,0.08,0.5,0.2,,16.29955947136564,0.6666666666666666,,,0.11702127659574468,0.038461538461538464,0.14285714285714285,,0.12037037037037036,0.03260869565217391,0.10526315789473684,,0.03125,,,0.125,0.047619047619047616,0.14634146341463414,,0.5,0.07142857142857142,,0.08,0.5,1.0,1.0,0.2,0.6,0.75,,0.72,0.2777777777777778,0.2777777777777778,0.6,,,,,,,,,,,,,,0.25,,,,,0.08,,0.430972,0.41295,0.42479999999999996,0.038461538461538464,0.038461538461538464,0.08695652173913043,0.21739130434782608,15.928000000000004,,0.25510204081632654,,,,,,,,,,,,,,,,,,,,1.0,True,,,,
960,1610612756,Tony Delk,Tony Delk,960,PHX,16966.0,283,-4.0,558,566,218,254,72,1124,14.0,29.0,4.0,6.0,8.0,17.0,3.0,15.0,13.0,38.0,1.0,7.0,,,2.0,9.0,22.0,2.0,6.0,30.0,82,10.0,29.0,29.0,119.0,570,6.0,10.0,2.0,6.0,18.0,12.0,34.0,1.0,8.0,23.0,50.0,34.0,26.0,21.0,6.0,1.0,21.0,9.0,10.0,15,4.0,19,3.0,1.0,7.0,2.0,6.0,42,4.0,6.0,1.0,6.0,26.0,1.0,33.0,11.0,44,3.0,9.0,4.0,5.0,11.0,2.0,7.0,5.0,1.0,4.0,,16,3.0,3.0,7.0,21,2.0,1.0,40.0,1.0,1.0,12.0,8.0,4.0,4.0,,,4.0,2.0,,,50.0,218,8.0,0.5666666666666667,0.6296296296296297,0.7,0.3448275862068966,0.125,0.35714285714285715,0.36585365853658536,0.6,0.35294117647058826,0.40540540540540543,0.5,0.32142857142857145,0.4576923076923077,0.6,0.45454545454545453,0.26126126126126126,0.12195121951219512,0.20689655172413793,0.2,0.02631578947368421,22.635658914728683,0.6875,0.045454545454545456,0.07142857142857142,0.12440191387559808,0.02830188679245283,0.17647058823529413,0.07547169811320754,0.13168724279835392,0.03773584905660377,0.03278688524590164,0.02857142857142857,0.024691358024691357,0.10810810810810811,,0.17391304347826086,0.07017543859649122,0.12048192771084337,0.14814814814814814,0.2857142857142857,0.05,0.5,0.26126126126126126,0.4827586206896552,0.6086956521739131,0.42857142857142855,0.13513513513513514,0.2,0.25,0.3333333333333333,0.34234234234234234,0.34210526315789475,0.35135135135135137,0.7692307692307693,0.06306306306306306,0.14285714285714285,0.14285714285714285,1.0,0.1981981981981982,0.4090909090909091,0.4090909090909091,0.6666666666666666,0.5,0.6666666666666666,,,0.16666666666666666,0.40476190476190477,0.47058823529411764,0.047619047619047616,,0.14285714285714285,0.5225225225225225,0.42857142857142855,0.4807454545454545,0.5085166666666666,0.4855036585365854,0.09836065573770492,0.12903225806451613,0.15126050420168066,0.42016806722689076,10.131707317073172,24.96896551724138,0.3906810035842294,1.0,,1.0,,,,,,,,,0.16666666666666666,,,,,,9.0,,,True,,,,
915,1610612756,Rodney Rogers,Rodney Rogers,915,PHX,32987.0,550,90.0,1068,1052,335,395,145,2120,42.0,83.0,7.0,14.0,14.0,26.0,22.0,68.0,21.0,49.0,3.0,21.0,,2.0,4.0,15.0,26.0,7.0,7.0,85.0,200,18.0,47.0,49.0,273.0,1013,9.0,21.0,7.0,9.0,39.0,21.0,51.0,5.0,11.0,27.0,84.0,108.0,62.0,54.0,6.0,,26.0,15.0,24.0,40,11.0,51,8.0,3.0,17.0,9.0,14.0,113,6.0,16.0,4.0,4.0,45.0,3.0,52.0,26.0,78,6.0,21.0,16.0,5.0,22.0,3.0,9.0,20.0,4.0,13.0,,42,5.0,12.0,32.0,67,6.0,9.0,58.0,9.0,3.0,26.0,6.0,11.0,6.0,1.0,4.0,11.0,6.0,,,84.0,335,7.0,0.6352941176470588,0.6585365853658537,1.0,0.3829787234042553,0.45454545454545453,0.3829787234042553,0.425,0.42857142857142855,0.4117647058823529,0.4534412955465587,0.5357142857142857,0.4596774193548387,0.5,0.5909090909090909,0.5547945205479452,0.1902834008097166,0.12,0.12048192771084337,0.19117647058823528,0.02040816326530612,25.24271844660194,0.5238095238095238,0.0967741935483871,0.12121212121212122,0.11597938144329897,0.040100250626566414,0.047619047619047616,0.057692307692307696,0.1038135593220339,0.0437375745526839,0.05263157894736842,0.046357615894039736,0.022388059701492536,0.0625,0.05,0.11320754716981132,0.11570247933884298,0.11801242236024845,0.04918032786885246,0.043478260869565216,0.05,0.5454545454545454,0.3360323886639676,0.5060240963855421,0.5753424657534246,0.5714285714285714,0.27530364372469635,0.3235294117647059,0.4,0.5454545454545454,0.19838056680161945,0.42857142857142855,0.4375,0.8571428571428571,0.08502024291497975,0.14285714285714285,0.14285714285714285,1.0,0.10526315789473684,0.5769230769230769,0.5769230769230769,1.0,0.5,0.5,0.42857142857142855,,0.25,0.41935483870967744,0.5384615384615384,0.06451612903225806,0.5,0.11290322580645161,0.5263157894736842,0.5769230769230769,0.4879815789473684,0.511648,0.5045072580645161,0.09848484848484848,0.11981566820276497,0.14285714285714285,0.3076923076923077,7.386500000000002,24.38936170212766,0.3136704119850187,2.0,4.0,3.0,4.0,,0.5714285714285714,,,,0.5714285714285714,1.0,0.42857142857142855,,,,,,,,,True,,,,
