EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PtsPutbacks,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,Blocked3s,BlockedCorner3,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceTurnovers,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,3SecondViolations,PenaltyCorner3Accuracy,on,OffensiveGoaltends,Fg3aBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,HeaveMakes
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,1544.0,26,-13.0,47,50,19,28,6,97,2.0,5.0,1.0,1.0,7.0,1.0,57,3.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,6.0,6.0,2.0,1.0,2.0,1.0,3.0,3.0,5.0,19,0.125,0.2857142857142857,1.0,20.37037037037037,0.6666666666666666,0.2631578947368421,0.2,0.25,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.25,0.625,0.125,0.25,0.375,0.5052,0.429825,13.857142857142858,24.7,0.4042553191489361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,13108.0,218,9.0,435,443,86,124,50,878,17.0,21.0,6.0,2.0,51.0,36.0,437,11.0,8.0,5.0,11.0,13.0,8.0,28.0,4.0,27.0,34.0,41.0,4.0,,2.0,1.0,5.0,12.0,21.0,86,0.4137931034482758,0.0980392156862745,0.0588235294117647,21.58859470468432,0.8,0.1436170212765957,0.1111111111111111,0.1383928571428571,0.0952380952380952,0.15625,0.1481481481481481,0.1954022988505747,0.2413793103448276,0.0689655172413793,0.1052631578947368,0.6091954022988506,0.5026017441860465,0.4775947368421053,9.337254901960783,25.25,0.1977011494252873,13.0,1.0,2.0,2.0,3.0,6.0,13.0,5.0,2.0,1.0,8.0,30.0,1.0,3.0,1.0,6.0,24.0,10.0,25.0,103.0,2.0,6.0,1.0,4.0,4.0,11.0,5.0,1.0,5.0,18.0,36.0,12.0,27.0,3.0,1.0,29.0,8.0,2.0,2.0,2.0,1.0,1.0,6.0,3.0,7.0,1.0,9.0,8.0,1.0,2.0,3.0,2.0,1.0,32.0,2.0,2.0,15.0,1.0,10.0,6.0,1.0,3.0,10.0,7.0,18.0,1.0,0.75,0.75,0.9,0.2777777777777778,0.25,0.125,0.2857142857142857,0.4705882352941176,0.3333333333333333,0.4545454545454545,0.4482758620689655,0.35,0.3421052631578947,0.504950495049505,0.4583333333333333,0.4285714285714285,0.2307692307692307,0.0476190476190476,0.2142857142857142,0.0377358490566037,0.0196078431372549,0.0333333333333333,0.0967741935483871,0.0298507462686567,0.0163934426229508,0.1,0.180327868852459,0.0212765957446808,0.7,0.7647058823529411,0.8125,0.8461538461538461,0.1494252873563218,0.4615384615384615,0.6,0.6666666666666666,0.238095238095238,0.25,0.6,0.3333333333333333,0.3333333333333333,1.0,0.3448275862068966,0.2666666666666666,0.2666666666666666,0.875,0.2,0.5,0.1,0.3,0.3333333333333333,0.1578947368421052,0.6666666666666666,0.3157894736842105,0.1666666666666666,0.2758620689655172,0.4831055555555555,0.15,0.234375,0.1067961165048543,0.174757281553398,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,17438.0,291,7.0,581,591,158,198,65,1172,31.0,15.0,,,84.0,,597,13.0,,9.0,15.0,19.0,9.0,42.0,4.0,41.0,48.0,72.0,11.0,2.0,10.0,6.0,17.0,31.0,55.0,158,,0.1071428571428571,0.1612903225806451,17.94478527607362,0.6470588235294118,0.1626984126984127,0.0930232558139534,0.1525423728813559,0.1875,0.1444444444444444,0.0909090909090909,0.369047619047619,0.1785714285714285,,,0.369047619047619,0.4607654761904762,0.3887384615384615,7.078571428571427,,0.2719449225473322,20.0,7.0,11.0,1.0,2.0,16.0,38.0,10.0,,,,,,,,,46.0,,20.0,112.0,10.0,16.0,,,4.0,24.0,7.0,,10.0,24.0,66.0,26.0,,,,,,4.0,3.0,2.0,4.0,9.0,15.0,3.0,24.0,,12.0,8.0,4.0,1.0,3.0,3.0,1.0,33.0,1.0,,12.0,5.0,29.0,22.0,1.0,6.0,30.0,17.0,24.0,5.0,0.717391304347826,0.9166666666666666,,,,,,0.5476190476190477,0.625,0.5384615384615384,0.5476190476190477,0.625,0.5384615384615384,0.56,0.6,0.5217391304347826,0.1052631578947368,,0.15,0.070754716981132,0.15,0.088235294117647,0.0714285714285714,0.0454545454545454,0.0975609756097561,0.1428571428571428,0.1585365853658536,,0.5666666666666667,0.6451612903225806,0.7692307692307693,0.6,0.4523809523809524,0.4210526315789473,0.4705882352941176,0.6875,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,0.6875,0.6363636363636364,,,,0.1538461538461538,0.5,,,,0.5172166666666667,0.1263157894736842,0.1263157894736842,0.2142857142857142,0.2142857142857142,20.0,1.0,1.0,2.0,1.0,1.0,0.1521739130434782,0.1,,,,,,,,,,,,True,,,,,,,,,,,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,641.0,11,-10.0,23,23,19,12,1,46,,3.0,,,4.0,1.0,33,3.0,1.0,,,,,,,3.0,3.0,3.0,,,,,,2.0,4.0,19,0.2,,,25.0,,0.2727272727272727,,0.2727272727272727,,0.2857142857142857,,,0.6,,,0.2,0.44365,0.4482875,16.975,24.1,0.8260869565217391,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,2.0,,2.0,6.0,,,,,,,2.0,,2.0,6.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,6.0,1.0,1.0,1.0,,,,,,0.5,,0.6666666666666666,0.4,,0.5,0.5,,0.6,,,,,,,,,,,1.0,,,,,,0.2,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,0.2,,,,,,,,,,,0.25,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,10722.0,179,17.0,365,369,63,88,36,734,13.0,20.0,3.0,,47.0,18.0,375,7.0,2.0,2.0,34.0,38.0,11.0,80.0,3.0,13.0,19.0,22.0,14.0,2.0,12.0,5.0,19.0,7.0,19.0,63,0.2769230769230769,0.0425531914893617,0.0769230769230769,21.48148148148148,0.7368421052631579,0.0855263157894736,0.125,0.0909090909090909,0.0769230769230769,0.0816326530612244,0.1578947368421052,0.2,0.3076923076923077,0.0461538461538461,,0.4769230769230769,0.4944138461538461,0.4660222222222223,10.53404255319149,24.538888888888888,0.1726027397260274,10.0,,,2.0,2.0,3.0,14.0,8.0,1.0,,8.0,15.0,,,2.0,2.0,21.0,9.0,10.0,79.0,,3.0,,,,,3.0,2.0,4.0,16.0,8.0,34.0,15.0,12.0,,15.0,8.0,4.0,2.0,13.0,10.0,,3.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,3.0,1.0,10.0,,4.0,1.0,2.0,2.0,2.0,,,2.0,2.0,16.0,4.0,0.1904761904761904,0.1904761904761904,0.5555555555555556,0.5,,1.0,0.5,0.4468085106382978,,0.4285714285714285,0.5307692307692308,,0.6666666666666666,0.5514705882352942,,0.7272727272727273,0.0714285714285714,,0.2,0.0232558139534883,,0.0185185185185185,,0.037037037037037,0.0204081632653061,,0.0980392156862745,0.0303030303030303,1.0,0.7692307692307693,0.8333333333333334,0.1,0.2153846153846154,0.2142857142857142,0.2307692307692307,,0.4,0.4,0.375,0.3333333333333333,0.3333333333333333,1.0,0.2307692307692307,0.5333333333333333,0.5333333333333333,0.5,,,,,,0.2222222222222222,1.0,0.2222222222222222,1.0,0.5333333333333333,0.3854999999999999,0.0151515151515151,0.0208333333333333,,0.2025316455696202,,2.0,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,12895.0,215,28.0,431,431,76,115,48,862,20.0,25.0,,,87.0,,429,15.0,,4.0,15.0,16.0,6.0,33.0,2.0,18.0,26.0,39.0,7.0,,7.0,2.0,9.0,12.0,22.0,76,,0.0459770114942528,0.15,21.649484536082475,0.7777777777777778,0.0967741935483871,0.0689655172413793,0.0930232558139534,0.0666666666666666,0.1311475409836065,0.0416666666666666,0.2298850574712643,0.2873563218390804,,,0.2298850574712643,0.4462241379310345,0.4654,9.427586206896551,,0.1763341067285382,12.0,1.0,4.0,3.0,5.0,21.0,42.0,12.0,,,,,,,,,45.0,,15.0,105.0,5.0,13.0,,,3.0,13.0,10.0,,3.0,23.0,64.0,26.0,,,,,,1.0,,4.0,5.0,3.0,10.0,6.0,13.0,2.0,3.0,2.0,1.0,,2.0,3.0,1.0,19.0,1.0,,6.0,4.0,,,,,,,23.0,3.0,0.7111111111111111,0.7441860465116279,,,,,,0.5172413793103449,0.3846153846153846,0.6666666666666666,0.5172413793103449,0.3846153846153846,0.6666666666666666,0.546875,0.4333333333333333,0.6388888888888888,0.0238095238095238,,0.4615384615384615,0.0628930817610062,0.0769230769230769,0.0656565656565656,0.0689655172413793,0.0757575757575757,0.046875,0.2222222222222222,0.0923076923076923,0.054054054054054,,0.6,0.7058823529411765,0.75,0.4827586206896552,0.5,0.5121951219512195,0.5714285714285714,0.48,0.48,0.9166666666666666,,,,,,,,0.3076923076923077,0.25,,,,0.3333333333333333,0.6,,,,0.4775181818181819,0.0652173913043478,0.0652173913043478,0.1238095238095238,0.219047619047619,4.0,1.0,,1.0,,,0.0333333333333333,0.2,2.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,
458,1610612742,Howard Eisley,Howard Eisley,458,DAL,7731.0,129,-25.0,256,265,117,127,30,521,4.0,10.0,2.0,1.0,21.0,9.0,274,11.0,6.0,1.0,20.0,25.0,4.0,55.0,1.0,7.0,9.0,9.0,3.0,,2.0,2.0,5.0,5.0,14.0,117,0.3,0.0476190476190476,,13.194444444444445,0.6,0.0625,0.0434782608695652,0.0592592592592592,0.1,0.0652173913043478,,0.1333333333333333,0.3333333333333333,0.0666666666666666,0.0588235294117647,0.4333333333333333,0.47558,0.4767941176470588,12.52857142857143,24.77777777777778,0.45703125,1.0,,,1.0,2.0,2.0,7.0,3.0,,,4.0,7.0,1.0,1.0,2.0,5.0,6.0,4.0,6.0,30.0,,1.0,1.0,1.0,,3.0,3.0,2.0,4.0,16.0,2.0,10.0,6.0,6.0,,7.0,4.0,5.0,4.0,5.0,11.0,,,1.0,,,3.0,2.0,1.0,1.0,4.0,,,6.0,,,2.0,1.0,1.0,,,1.0,1.0,,16.0,6.0,0.1666666666666666,0.1666666666666666,0.5,0.4444444444444444,1.0,0.3333333333333333,0.4444444444444444,0.2857142857142857,,0.2727272727272727,0.4,0.75,0.3529411764705882,0.4545454545454545,0.75,0.4210526315789473,0.1428571428571428,,0.1111111111111111,,,,,,,,0.0277777777777777,,,0.25,0.25,,0.2333333333333333,0.2857142857142857,0.3333333333333333,,0.3,0.3,0.3333333333333333,,,,0.2333333333333333,0.5714285714285714,0.5714285714285714,0.5,,,,0.5,1.0,0.1176470588235294,0.5,0.2941176470588235,0.4,0.5714285714285714,0.4368,0.0625,0.0869565217391304,0.1,0.5333333333333333,,1.0,,,,,,0.1666666666666666,,,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,15718.0,262,17.0,528,533,134,169,58,1061,26.0,39.0,8.0,2.0,90.0,30.0,541,14.0,8.0,10.0,22.0,27.0,11.0,59.0,6.0,25.0,31.0,38.0,6.0,2.0,6.0,6.0,12.0,2.0,11.0,134,0.25,0.1111111111111111,0.0769230769230769,24.19627749576988,0.5,0.1106194690265486,0.1578947368421052,0.1174242424242424,0.0921052631578947,0.081081081081081,0.1,0.2166666666666666,0.325,0.0666666666666666,0.0909090909090909,0.4666666666666667,0.4948533333333333,0.4741204545454545,10.457777777777778,24.746666666666663,0.2537878787878788,19.0,2.0,5.0,3.0,3.0,6.0,25.0,17.0,3.0,1.0,8.0,22.0,,,2.0,6.0,42.0,11.0,18.0,135.0,2.0,8.0,1.0,1.0,,7.0,7.0,2.0,9.0,29.0,48.0,36.0,18.0,15.0,,22.0,8.0,5.0,3.0,5.0,6.0,2.0,5.0,,7.0,2.0,5.0,5.0,,,2.0,,2.0,25.0,2.0,1.0,10.0,3.0,2.0,,,2.0,2.0,1.0,29.0,3.0,0.5714285714285714,0.5853658536585366,0.5454545454545454,0.3666666666666666,1.0,0.25,0.3666666666666666,0.4666666666666667,0.25,0.5,0.4875,0.3888888888888889,0.4545454545454545,0.5152671755725191,0.3888888888888889,0.5370370370370371,0.28,0.0256410256410256,,0.0264550264550264,0.037037037037037,0.0288065843621399,0.0285714285714285,0.0365853658536585,0.0138888888888888,0.1666666666666666,0.1578947368421052,0.0350877192982456,0.5,0.7307692307692307,0.7916666666666666,0.631578947368421,0.2083333333333333,0.24,0.3333333333333333,0.5,0.4358974358974359,0.4473684210526316,0.5294117647058824,0.375,0.375,1.0,0.1833333333333333,0.3636363636363636,0.3636363636363636,0.375,0.5555555555555556,0.4,0.1111111111111111,,,0.1363636363636363,1.0,0.2727272727272727,0.3333333333333333,0.3636363636363636,0.6119249999999999,0.078125,0.1020408163265306,0.0518518518518518,0.2148148148148148,2.0,2.0,,2.0,,,,0.375,2.0,1.0,,,1.0,0.5,1.0,1.0,,,,True,,,,,,,,,,,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,3145.0,52,10.0,103,104,42,48,16,207,4.0,4.0,1.0,1.0,10.0,1.0,95,4.0,1.0,,1.0,1.0,,2.0,2.0,13.0,17.0,20.0,,,,2.0,2.0,3.0,3.0,42,0.0909090909090909,,,10.92436974789916,,0.26,0.2222222222222222,0.2542372881355932,0.2352941176470588,0.3157894736842105,0.2,0.3636363636363636,0.3636363636363636,0.0909090909090909,0.2,0.4545454545454545,0.4375727272727273,0.36334,9.55,22.3,0.4077669902912621,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,7.0,1.0,,17.0,1.0,3.0,,,,2.0,3.0,1.0,,9.0,12.0,2.0,3.0,,,,,,,1.0,,1.0,2.0,2.0,3.0,,2.0,1.0,1.0,,1.0,,,,,,,,9.0,5.0,,4.0,9.0,6.0,9.0,,0.8571428571428571,1.0,1.0,1.0,,1.0,1.0,0.7,0.3333333333333333,0.75,0.7727272727272727,0.3333333333333333,0.9,0.7727272727272727,0.3333333333333333,0.9,,,1.0,0.0476190476190476,0.0833333333333333,0.0555555555555555,,0.1333333333333333,,,0.2142857142857142,,0.6666666666666666,0.75,0.75,0.6666666666666666,0.1818181818181818,0.5,0.5,1.0,0.75,0.75,1.0,1.0,1.0,1.0,,,,,0.6666666666666666,0.5,,,,0.2,1.0,,,,0.4493,,,0.1176470588235294,0.5294117647058824,2.0,,,,,,0.1,0.25,,,,,,,,,1.0,2.0,1.0,True,,,,,,,,,,,,,
1918,1610612742,Obinna Ekezie,Obinna Ekezie,1918,DAL,287.0,5,,10,11,10,11,1,21,2.0,,,,4.0,,5,4.0,,1.0,,,,,,2.0,2.0,2.0,,,,,,,1.0,10,,0.25,0.5,36.36363636363637,,0.3333333333333333,,0.2857142857142857,,0.4,,0.5,,,,0.5,0.420275,0.420275,4.225,,1.0,,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,,,,0.2475,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
