EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,OffFTReboundPct,Technical Free Throw Trips,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,on,Blocked3s,BlockedArc3,BlockedCorner3
137,1610612742,Vernon Maxwell,Vernon Maxwell,137,DAL,7426.0,124,-25,252,255,107,112,21.0,507,2.0,2.0,2.0,3.0,13.0,3.0,10.0,3.0,2.0,15.0,1.0,2.0,6.0,5.0,17.0,5.0,25.0,2.0,27.0,290,1.0,1.0,1.0,2.0,1.0,7.0,2.0,9.0,8.0,4.0,6.0,15.0,15.0,2.0,3.0,3.0,3.0,6.0,2.0,1.0,2.0,1.0,15.0,4.0,8.0,12.0,12.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,5.0,17,3.0,1.0,2.0,1.0,1.0,1.0,8.0,107,2.0,0.4,0.4,1.0,0.2,0.2222222222222222,0.2,0.29411764705882354,1.0,0.14285714285714285,0.2976190476190476,0.5,0.25,0.313953488372093,0.5,0.25,0.5952380952380952,0.17647058823529413,1.0,0.07692307692307693,17.09090909090909,0.75,0.08163265306122448,0.18181818181818182,0.1,0.08108108108108109,0.03333333333333333,0.12903225806451613,0.10526315789473684,0.6666666666666666,0.047619047619047616,0.047619047619047616,1.0,1.0,0.30952380952380953,0.23076923076923078,0.25,0.6666666666666666,0.23809523809523808,0.3,0.3,1.0,0.35714285714285715,0.13333333333333333,0.13333333333333333,1.0,0.5,0.1875,0.375,0.3333333333333333,0.6428571428571429,0.13333333333333333,0.49771309523809537,0.44685,0.4789,0.046511627906976744,0.1111111111111111,0.07407407407407407,0.2962962962962963,15.46470588235294,24.268,0.4246031746031746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,122386.0,2040,420,4003,3999,915,1071,400.0,8002,180.0,50.0,129.0,108.0,230.0,34.0,75.0,13.0,71.0,181.0,23.0,11.0,33.0,279.0,539.0,105.0,256.0,279.0,1152.0,4046,34.0,66.0,25.0,113.0,58.0,112.0,16.0,46.0,264.0,380.0,178.0,306.0,179.0,71.0,30.0,77.0,25.0,102.0,18.0,7.0,43.0,23.0,229.0,59.0,307.0,420.0,490.0,58.0,50.0,39.0,25.0,47.0,10.0,86.0,24.0,100.0,164,341.0,35.0,137.0,69.0,19.0,69.0,264.0,915,21.0,0.6810035842293907,0.7196969696969697,0.9714285714285714,0.41015625,0.34782608695652173,0.41338582677165353,0.5176252319109462,0.5151515151515151,0.5178571428571429,0.5490566037735849,0.489010989010989,0.5189873417721519,0.6127659574468085,0.5380952380952381,0.6285714285714286,0.3220125786163522,0.055658627087198514,0.08888888888888889,0.02608695652173913,22.920393559928446,0.45348837209302323,0.19308176100628932,0.15902964959568733,0.18663946965833758,0.14792899408284024,0.2409867172675522,0.18884892086330934,0.15602836879432624,0.16853932584269662,0.22641509433962265,0.16226415094339622,0.3875968992248062,0.4132231404958678,0.2893081761006289,0.46956521739130436,0.48214285714285715,0.7870370370370371,0.09433962264150944,0.4533333333333333,0.4533333333333333,1.0,0.22767295597484277,0.39226519337016574,0.39226519337016574,0.9577464788732394,0.25274725274725274,0.08227848101265822,0.2088607594936709,0.3333333333333333,0.5484276729559748,0.39664804469273746,0.5019703026481713,0.5133552631578947,0.48558461538461545,0.16923076923076924,0.21372854914196568,0.09809027777777778,0.22916666666666666,9.887940630797774,24.76484375,0.2285785660754434,121.0,21.0,36.0,24.0,36.0,1.0,2.0,5.0,6.0,7.0,24.0,100.0,9.0,30.0,2.0,11.0,21.0,49.0,54.0,70.0,8.0,8.0,11.0,14.0,7.0,5.0,1.0,11.0,12.0,4.0,17.0,30.0,47.0,3.0,37.0,1.0,0.28,0.06201550387596899,0.3673469387755102,0.03659447348767737,0.0472972972972973,0.03925967470555244,0.05507246376811594,0.032454361054766734,0.027944111776447105,0.043478260869565216,0.05737704918032787,0.021164021164021163,0.5362318840579711,0.6722222222222223,0.7378048780487805,0.628099173553719,0.58,0.3956043956043956,0.5833333333333334,0.09523809523809523,0.02197802197802198,0.5,1.0,0.2608695652173913,1.0,0.22784810126582278,0.6666666666666666,0.38461538461538464,0.06319702602230483,,,,,,,,,,,True,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,23285.0,388,37,741,751,204,297,92.0,1492,59.0,7.0,26.0,2.0,10.0,,1.0,1.0,,2.0,,,1.0,44.0,95.0,,3.0,34.0,122.0,797,7.0,15.0,,23.0,16.0,29.0,,2.0,48.0,64.0,24.0,,2.0,,14.0,15.0,8.0,23.0,6.0,2.0,4.0,6.0,54.0,13.0,35.0,54.0,79.0,19.0,12.0,4.0,1.0,4.0,1.0,8.0,3.0,25.0,56,49.0,7.0,22.0,4.0,1.0,4.0,48.0,204,11.0,0.7272727272727273,0.8,,,,,0.4631578947368421,0.4666666666666667,0.5517241379310345,0.4489795918367347,0.4666666666666667,0.5161290322580645,0.5126050420168067,0.5476190476190477,0.5714285714285714,0.030612244897959183,0.14736842105263157,0.13559322033898305,0.1,14.906103286384978,0.5,0.13011152416356878,0.1625,0.13753581661891118,0.07865168539325842,0.10344827586206896,0.20430107526881722,0.15873015873015872,0.17647058823529413,0.6020408163265306,0.2653061224489796,0.2692307692307692,0.3333333333333333,0.10204081632653061,0.2,0.2222222222222222,0.5,0.01020408163265306,,,,0.02040816326530612,,,,,0.03225806451612903,0.03225806451612903,,0.6326530612244898,,0.5221714285714286,0.5149769230769231,0.5437161290322582,0.19469026548672566,0.2,0.1885245901639344,0.39344262295081966,4.107368421052631,24.5,0.27530364372469635,35.0,6.0,12.0,13.0,22.0,,,,,,9.0,16.0,,8.0,,5.0,3.0,22.0,6.0,25.0,5.0,7.0,,3.0,1.0,3.0,,7.0,1.0,,,6.0,3.0,,3.0,,,0.19230769230769232,0.15789473684210525,0.08118081180811808,0.041666666666666664,0.0728862973760933,0.08974358974358974,0.10091743119266056,0.047619047619047616,0.019230769230769232,0.1,0.125,0.75,0.5932203389830508,0.6862745098039216,0.7428571428571429,0.7142857142857143,0.8,0.5,0.3333333333333333,,,,,,0.7096774193548387,0.5909090909090909,,,,,,,,,,,,,True,,,
714,1610612742,Michael Finley,Michael Finley,714,DAL,129586.0,2160,371,4248,4237,978,1198,432.0,8485,220.0,81.0,245.0,136.0,322.0,17.0,51.0,11.0,40.0,112.0,10.0,8.0,31.0,375.0,787.0,57.0,163.0,147.0,1068.0,4321,39.0,78.0,14.0,101.0,76.0,153.0,11.0,42.0,252.0,378.0,372.0,156.0,108.0,40.0,39.0,139.0,80.0,219.0,49.0,31.0,66.0,45.0,518.0,45.0,156.0,214.0,283.0,79.0,69.0,68.0,57.0,42.0,8.0,110.0,19.0,49.0,114,187.0,14.0,74.0,20.0,6.0,20.0,252.0,978,18.0,0.504,0.5264623955431755,0.9122807017543859,0.3496932515337423,0.2619047619047619,0.3584905660377358,0.4764930114358323,0.5,0.49673202614379086,0.48473684210526313,0.4891304347826087,0.47435897435897434,0.5159420289855072,0.5153061224489796,0.5384615384615384,0.17157894736842105,0.04955527318932656,0.08181818181818182,0.012422360248447204,24.10450906026127,0.6181818181818182,0.09274673008323424,0.11842105263157894,0.09747817652764307,0.07962962962962963,0.09874326750448834,0.09914529914529914,0.11971830985915492,0.11458333333333333,0.23157894736842105,0.2578947368421053,0.3306122448979592,0.35526315789473684,0.3389473684210526,0.422360248447205,0.4276729559748428,0.4632352941176471,0.05368421052631579,0.3333333333333333,0.3333333333333333,1.0,0.11789473684210526,0.35714285714285715,0.35714285714285715,0.875,0.10869565217391304,0.05641025641025641,0.15897435897435896,0.25806451612903225,0.4031578947368421,0.37037037037037035,0.47481999999999996,0.49067101449275347,0.450379842931937,0.07509881422924901,0.08736717827626919,0.0945692883895131,0.23595505617977527,10.379542566709018,25.20552147239264,0.23022598870056496,158.0,17.0,30.0,31.0,38.0,1.0,4.0,3.0,3.0,4.0,11.0,67.0,15.0,32.0,4.0,28.0,24.0,44.0,13.0,69.0,17.0,10.0,12.0,11.0,5.0,5.0,,6.0,11.0,,2.0,23.0,12.0,2.0,10.0,,0.2857142857142857,0.06938775510204082,0.08024691358024691,0.030726256983240222,0.05128205128205128,0.035789473684210524,0.04,0.034545454545454546,0.020676691729323307,0.04678362573099415,0.06349206349206349,0.03632478632478633,0.5,0.7181818181818181,0.7821782178217822,0.6265822784810127,0.3333333333333333,0.32608695652173914,0.5666666666666667,0.058823529411764705,0.043478260869565216,0.25,1.0,0.3,1.0,0.19487179487179487,0.8157894736842105,0.2727272727272727,0.012121212121212121,1.0,2.0,1.0,0.012987012987012988,,,,,,,True,,,
959,1610612742,Steve Nash,Steve Nash,959,DAL,143202.0,2387,320,4682,4688,1169,1432,479.0,9370,232.0,64.0,161.0,92.0,180.0,16.0,44.0,13.0,73.0,175.0,15.0,22.0,47.0,297.0,573.0,89.0,219.0,231.0,1092.0,4815,17.0,34.0,19.0,54.0,56.0,121.0,28.0,60.0,332.0,124.0,470.0,165.0,174.0,73.0,44.0,395.0,114.0,509.0,89.0,25.0,178.0,143.0,1132.0,41.0,123.0,177.0,223.0,72.0,61.0,127.0,102.0,78.0,7.0,205.0,50.0,46.0,158,258.0,7.0,42.0,5.0,2.0,5.0,332.0,1169,34.0,0.20875420875420875,0.21016949152542372,0.6179775280898876,0.4063926940639269,0.4666666666666667,0.40825688073394495,0.518324607329843,0.5,0.4628099173553719,0.5435606060606061,0.49056603773584906,0.5414364640883977,0.5834272829763247,0.49056603773584906,0.6388888888888888,0.2765151515151515,0.07678883071553229,0.10344827586206896,0.027777777777777776,20.859598853868196,0.6195121951219512,0.06620021528525297,0.09738717339667459,0.07196138657305835,0.04340567612687813,0.06016260162601626,0.09316770186335403,0.10344827586206896,0.0784313725490196,0.29292929292929293,0.2032828282828283,0.39751552795031053,0.4383561643835616,0.22727272727272727,0.5111111111111111,0.5257142857142857,0.2608695652173913,0.05555555555555555,0.36363636363636365,0.36363636363636365,0.9375,0.22095959595959597,0.41714285714285715,0.41714285714285715,0.547945205479452,0.2830188679245283,0.0718232044198895,0.2596685082872928,0.46808510638297873,0.5694444444444444,0.41954022988505746,0.5031926042983565,0.4599027027027027,0.4958258333333333,0.051932367149758456,0.06907894736842106,0.04945054945054945,0.304029304029304,8.134031413612565,24.57899543378994,0.24967962409226827,141.0,6.0,10.0,28.0,56.0,1.0,4.0,6.0,5.0,6.0,2.0,136.0,102.0,4.0,1.0,74.0,19.0,27.0,13.0,46.0,10.0,11.0,36.0,25.0,7.0,12.0,,12.0,16.0,,1.0,59.0,3.0,,4.0,2.0,0.3157894736842105,0.09316770186335403,0.06951871657754011,0.017099430018999367,0.03696498054474708,0.02197802197802198,0.01488833746898263,0.011904761904761904,0.023809523809523808,0.034759358288770054,0.04285714285714286,0.027777777777777776,0.8,0.6077586206896551,0.6778846153846154,0.20567375886524822,0.140625,0.18867924528301888,0.6,0.3333333333333333,0.07547169811320754,0.25,1.0,0.3333333333333333,1.0,0.30939226519337015,0.5,0.46153846153846156,0.004545454545454545,,2.0,,,60.0,,,,,,True,,,
762,1610612742,Shawn Bradley,Shawn Bradley,762,DAL,73435.0,1224,257,2308,2330,597,660,261.0,4638,137.0,30.0,81.0,20.0,54.0,,,,,3.0,,,1.0,136.0,272.0,,3.0,99.0,371.0,2278,39.0,69.0,,95.0,36.0,64.0,,1.0,109.0,184.0,88.0,,1.0,,21.0,23.0,5.0,28.0,3.0,2.0,13.0,5.0,61.0,38.0,205.0,275.0,379.0,22.0,17.0,29.0,21.0,24.0,4.0,53.0,12.0,88.0,164,124.0,10.0,54.0,155.0,47.0,155.0,109.0,597,17.0,0.6764705882352942,0.8761904761904762,,,,,0.5,0.5652173913043478,0.5625,0.49454545454545457,0.5652173913043478,0.5538461538461539,0.5587349397590361,0.6089743589743589,0.6264367816091954,0.01090909090909091,0.07720588235294118,0.08759124087591241,0.018518518518518517,14.779270633397312,0.5471698113207547,0.19941634241245138,0.1589958158995816,0.19179163378058406,0.1901840490797546,0.21492537313432836,0.19346049046321526,0.1712707182320442,0.1206896551724138,0.49818181818181817,0.29454545454545455,0.37037037037037035,0.410958904109589,0.19636363636363635,0.37037037037037035,0.37735849056603776,1.0,,,,,0.01090909090909091,,,,,,0.015384615384615385,,0.509090909090909,,0.472854945054945,0.53099,0.48485625,0.16927899686520376,0.17088607594936708,0.2560646900269542,0.29380053908355797,5.843014705882353,61.199999999999996,0.2586655112651646,86.0,34.0,57.0,26.0,40.0,,,,,,17.0,37.0,,62.0,2.0,5.0,20.0,84.0,32.0,104.0,12.0,5.0,3.0,8.0,4.0,4.0,,28.0,9.0,,,13.0,103.0,5.0,97.0,3.0,,0.09876543209876543,0.3902439024390244,0.10268948655256724,0.08064516129032258,0.0975609756097561,0.15025906735751296,0.10416666666666667,0.06920415224913495,0.07428571428571429,0.0958904109589041,0.10434782608695652,0.6258064516129033,0.6277372262773723,0.688,0.6162790697674418,0.6333333333333333,0.8260869565217391,0.5964912280701754,0.11764705882352941,,,,,,0.6153846153846154,0.65,,,,4.0,,,,4.0,,,,,True,,,
1916,1610612742,Calvin Booth,Calvin Booth,1916,DAL,10722.0,179,17,365,369,63,88,36.0,734,23.0,12.0,27.0,5.0,7.0,,,,,,,,,31.0,57.0,,,15.0,77.0,375,7.0,11.0,,16.0,2.0,5.0,,,10.0,44.0,18.0,,,,5.0,7.0,3.0,10.0,2.0,1.0,4.0,2.0,23.0,2.0,31.0,34.0,49.0,9.0,8.0,9.0,9.0,3.0,1.0,12.0,1.0,20.0,37,20.0,,7.0,17.0,4.0,17.0,10.0,63,3.0,0.7096774193548387,0.9166666666666666,,,,,0.543859649122807,0.6363636363636364,0.4,0.543859649122807,0.6363636363636364,0.4,0.5746268656716418,0.6153846153846154,0.5555555555555556,,0.08771929824561403,0.13043478260869565,,19.506172839506174,0.75,0.20394736842105263,0.08333333333333333,0.1875,0.28846153846153844,0.11764705882352941,0.20408163265306123,0.05263157894736842,0.2,0.40350877192982454,0.47368421052631576,0.4444444444444444,0.48,0.12280701754385964,0.7142857142857143,0.7142857142857143,1.0,,,,,,,,,,,,,0.40350877192982454,,0.4701982456140351,0.53555,0.36488000000000004,0.109375,0.109375,0.2077922077922078,0.12987012987012986,6.221052631578947,,0.1726027397260274,14.0,5.0,9.0,,,,,,,,2.0,6.0,,14.0,,1.0,5.0,10.0,1.0,15.0,,1.0,,,1.0,,,2.0,1.0,,,3.0,13.0,,10.0,,,0.07407407407407407,0.06666666666666667,0.07751937984496124,0.15151515151515152,0.09259259259259259,0.07692307692307693,0.05555555555555555,0.10204081632653061,0.15384615384615385,0.14285714285714285,,0.5882352941176471,0.6086956521739131,0.7,0.6428571428571429,0.6666666666666666,0.8181818181818182,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,True,,,
1917,1610612742,Wang Zhi-zhi,Wang Zhi-zhi,1917,DAL,1086.0,18,-13,38,39,23,11,2.0,77,1.0,1.0,2.0,1.0,4.0,,,,,1.0,,,1.0,3.0,7.0,,1.0,8.0,14.0,52,,1.0,,,3.0,3.0,,1.0,10.0,4.0,2.0,,1.0,,1.0,,,,,,,,,,3.0,3.0,4.0,,,1.0,,,,1.0,1.0,3.0,6,10.0,,3.0,,,,10.0,23,1.0,0.6666666666666666,0.6666666666666666,,,,,0.42857142857142855,,1.0,0.375,,0.75,0.5384615384615384,,0.8333333333333334,0.125,0.14285714285714285,,,34.146341463414636,1.0,0.17647058823529413,,0.15789473684210525,,0.2,0.2857142857142857,,,0.125,0.25,0.5,1.0,0.5,0.25,0.25,1.0,,,,,0.125,,,,,,0.25,,0.25,,0.43776875000000004,0.394,0.47991249999999996,0.2727272727272727,0.3,,0.7142857142857143,13.042857142857143,24.1,0.6052631578947368,1.0,,,1.0,1.0,,,,,,,4.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,2.0,,,,,,0.5,,0.16666666666666666,,0.09090909090909091,0.5,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.25,1.0,,,,,,,,,,,,,True,,,
436,1610612742,Juwan Howard,Juwan Howard,436,DAL,42242.0,704,95,1403,1401,314,343,136.0,2804,49.0,69.0,153.0,19.0,48.0,,,,,1.0,,,,122.0,250.0,,1.0,66.0,310.0,1423,10.0,20.0,,30.0,28.0,51.0,,,79.0,156.0,88.0,,1.0,,15.0,37.0,9.0,46.0,7.0,2.0,15.0,10.0,101.0,14.0,73.0,98.0,125.0,20.0,16.0,33.0,28.0,25.0,1.0,58.0,13.0,33.0,72,92.0,6.0,41.0,13.0,3.0,13.0,79.0,314,6.0,0.639344262295082,0.6610169491525424,,,,,0.488,0.5,0.5490196078431373,0.4860557768924303,0.5,0.5490196078431373,0.5272108843537415,0.5769230769230769,0.6076923076923076,0.00398406374501992,0.06,0.10204081632653061,,22.60757867694284,0.5689655172413793,0.13272727272727272,0.112,0.1288888888888889,0.109375,0.1358695652173913,0.15517241379310345,0.1,0.14285714285714285,0.1952191235059761,0.6095617529880478,0.45098039215686275,0.4825174825174825,0.19123505976095617,0.3958333333333333,0.3958333333333333,0.8947368421052632,,,,,0.00398406374501992,,,,,,,,0.199203187250996,,0.4369529880478088,0.4688764705882353,0.42561176470588247,0.14335664335664336,0.14385964912280702,0.0967741935483871,0.25483870967741934,8.8864,24.5,0.22380612972202424,34.0,3.0,6.0,8.0,10.0,,,,,,10.0,23.0,,8.0,,12.0,7.0,20.0,11.0,27.0,3.0,4.0,3.0,5.0,3.0,1.0,1.0,8.0,14.0,,,8.0,10.0,,10.0,,,0.06535947712418301,0.25,0.03992015968063872,0.05982905982905983,0.043689320388349516,0.025210084033613446,0.045662100456621,0.04294478527607362,0.03571428571428571,0.12121212121212122,0.02654867256637168,0.7692307692307693,0.6938775510204082,0.7727272727272727,0.6764705882352942,0.5507246376811594,0.3,0.5,,,,,,,0.19607843137254902,0.8,,,,1.0,1.0,,,,,,,,True,,,
2051,1610612742,Donnell Harvey,Donnell Harvey,2051,DAL,426.0,7,6,15,16,15,13,,31,,,,,,,,,,,,,,,,,,1.0,1.0,12,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,3.0,3.0,,,,,2.0,,2.0,2.0,1.0,2,2.0,,1.0,,,,1.0,15,,,,,,,,,,,,,,0.5,,0.5,,,,,20.0,,0.2,1.0,0.2727272727272727,0.25,0.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,,
