EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,AtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFtPoints,HeaveAttempts,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,Blocked3s,BlockedArc3,BlockedAtRim,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,PtsPutbacks,Travels,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,OffCorner3ReboundPct,on,SecondChanceCorner3FGA,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,SecondChanceCorner3FGM,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
105,1610612748,Dan Majerle,Dan Majerle,105,MIA,1676.0,28,1,54,52,18,17,3,106,3.0,5.0,1.0,1.0,3.0,5.0,1.0,10.0,51,1.0,1.0,1.0,4.0,6.0,3.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,18,0.6666666666666666,0.6,1.0,0.6,0.9,1.5,0.9,1.5,1.0,12.06896551724138,0.5,0.0625,0.05555555555555555,0.14285714285714285,1.0,0.6,0.6,0.6666666666666666,1.0,1.0,1.0,0.6,0.45159000000000005,0.14565,0.4,26.28,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1477,1610612748,Bruce Bowen,Bruce Bowen,1477,MIA,10577.0,176,-46,310,315,120,118,38,625,5.0,17.0,1.0,5.0,9.0,23.0,5.0,40.0,325,3.0,9.0,1.0,14.0,27.0,,17.0,5.0,3.0,2.0,5.0,2.0,1.0,12.0,6.0,9.0,11.0,7.0,2.0,5.0,1.0,,2.0,3.0,4.0,17.0,,8.0,,14.0,120,1.0,0.391304347826087,0.3333333333333333,0.391304347826087,0.4605263157894737,0.43333333333333335,0.47619047619047616,0.4375,0.6052631578947368,12.711864406779661,0.3333333333333333,0.047619047619047616,0.05555555555555555,0.0425531914893617,0.4473684210526316,0.29411764705882354,0.29411764705882354,1.0,0.3333333333333333,0.2,0.6578947368421053,0.29411764705882354,0.4750934210526315,0.4637200000000001,0.35,24.93913043478261,0.3870967741935484,2.0,1.0,3.0,8.0,1.0,5.0,4.0,6.0,2.0,4.0,1.0,4.0,15.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,6.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,0.25,0.25,0.26666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.5,0.125,0.4,0.1,0.01680672268907563,0.1111111111111111,0.012987012987012988,0.041666666666666664,0.05555555555555555,0.046511627906976744,0.14285714285714285,0.6666666666666666,0.05263157894736842,0.21052631578947367,0.375,0.42857142857142855,0.13157894736842105,0.2,0.3333333333333333,1.0,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.5,0.6033,0.07317073170731707,0.16666666666666666,0.05,10.833333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1853,1610612748,Anthony Carter,Anthony Carter,1853,MIA,7404.0,123,-34,214,222,81,82,20,436,,5.0,,2.0,,5.0,7.0,35.0,237,,2.0,5.0,11.0,,,3.0,,9.0,3.0,12.0,2.0,4.0,27.0,5.0,6.0,11.0,1.0,,1.0,3.0,2.0,4.0,7.0,6.0,10.0,,10.0,,11.0,81,,,,,0.3888888888888889,0.25,0.4268292682926829,0.34375,0.1388888888888889,20.0,0.42857142857142855,0.05555555555555555,0.04807692307692308,0.05263157894736842,0.1388888888888889,,,,0.16666666666666666,,0.4444444444444444,,0.46585000000000004,0.4040100000000001,0.3142857142857143,40.8,0.37850467289719625,11.0,1.0,4.0,10.0,3.0,10.0,,,,,,14.0,31.0,1.0,4.0,,4.0,3.0,10.0,14.0,14.0,1.0,,3.0,,1.0,5.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,,0.5,0.5,0.45161290322580644,0.25,0.3,0.25,0.4,0.03225806451612903,,0.1,,0.2,0.037037037037037035,,0.049019607843137254,,0.05555555555555555,0.058823529411764705,,0.25,0.3055555555555556,0.2777777777777778,0.4,0.4444444444444444,0.2777777777777778,0.3,0.3,,,,,,,0.08333333333333333,,,0.41983333333333334,0.05263157894736842,0.06060606060606061,0.11428571428571428,8.996774193548386,7.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0.09523809523809523,0.047619047619047616,0.0625,0.11764705882352941,0.05263157894736842,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.25,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
190,1610612748,Duane Causwell,Duane Causwell,190,MIA,22976.0,383,-78,687,692,177,209,78,1379,,,,,,,12.0,76.0,726,,,5.0,9.0,,,,,5.0,,5.0,,2.0,10.0,46.0,60.0,83.0,8.0,7.0,1.0,5.0,2.0,18.0,23.0,26.0,67.0,7.0,25.0,,9.0,177,,,,,0.3764705882352941,0.2,0.3917525773195876,0.28125,,15.483870967741936,0.21739130434782608,0.17424242424242425,0.17252396166134185,0.15315315315315314,,,,,,,0.38823529411764707,,0.44996823529411767,0.44674,0.11842105263157894,,0.2576419213973799,33.0,4.0,12.0,46.0,1.0,6.0,,,,,,32.0,85.0,9.0,17.0,,21.0,2.0,10.0,42.0,22.0,13.0,,20.0,8.0,6.0,23.0,,2.0,3.0,6.0,8.0,5.0,17.0,1.0,6.0,18.0,11.0,7.0,0.65625,0.875,0.3764705882352941,0.5294117647058824,0.2,0.5294117647058824,0.525,0.15294117647058825,0.15151515151515152,0.15217391304347827,0.16666666666666666,0.3,0.07633587786259542,0.16326530612244897,0.07120743034055728,0.043010752688172046,0.11764705882352941,0.24705882352941178,0.07894736842105263,0.6111111111111112,0.38823529411764707,0.5411764705882353,0.2608695652173913,0.3076923076923077,0.07058823529411765,0.16666666666666666,0.2,1.0,,,,,,0.4,,,0.513525,0.08695652173913043,0.08695652173913043,0.27631578947368424,5.763529411764706,19.0,13.0,2.0,3.0,,,3.0,3.0,1.0,1.0,1.0,10.0,0.04918032786885246,0.10144927536231885,0.09,0.05660377358490566,0.025,0.5757575757575758,0.6785714285714286,0.5789473684210527,0.75,0.7647058823529411,0.5,8.0,16.0,2.0,1.0,9.0,1.0,1.0,2.0,5.0,0.45454545454545453,0.6153846153846154,,,,,,,,,,,True,,,,,,,,,,,,,
193,1610612748,Anthony Mason,Anthony Mason,193,MIA,17775.0,296,-90,531,530,97,118,66,1061,,,,,,,29.0,91.0,588,,,11.0,17.0,,,,,17.0,8.0,25.0,8.0,8.0,58.0,26.0,33.0,43.0,11.0,4.0,7.0,5.0,4.0,11.0,16.0,11.0,27.0,6.0,37.0,,17.0,97,,,,,0.4189189189189189,0.25,0.5,0.4473684210526316,,17.68595041322314,0.3125,0.13333333333333333,0.13617021276595745,0.1744186046511628,,,,,,,0.3918918918918919,,0.45766081081081084,0.39600833333333335,0.18681318681318682,,0.18267419962335216,29.0,2.0,13.0,34.0,4.0,11.0,,,,,,31.0,74.0,3.0,6.0,,11.0,3.0,12.0,26.0,36.0,7.0,3.0,7.0,6.0,1.0,10.0,1.0,1.0,1.0,4.0,17.0,3.0,3.0,,1.0,3.0,2.0,3.0,0.41935483870967744,0.43333333333333335,0.4189189189189189,0.5,0.25,0.5,0.6111111111111112,0.0945945945945946,0.10344827586206896,0.11764705882352941,,0.08333333333333333,0.03255813953488372,0.15,0.03816793893129771,0.014705882352941176,0.08,0.11864406779661017,0.12903225806451613,0.6666666666666666,0.3918918918918919,0.4594594594594595,0.38235294117647056,0.43333333333333335,0.14864864864864866,0.36363636363636365,0.36363636363636365,0.75,,,,,,0.16666666666666666,,,0.471275,0.19318181818181818,0.19318181818181818,0.12087912087912088,6.437837837837837,14.0,4.0,1.0,5.0,,,6.0,3.0,,,,2.0,0.06382978723404255,0.06349206349206349,0.023809523809523808,0.07142857142857142,,0.4827586206896552,0.5384615384615384,0.5714285714285714,0.15384615384615385,0.6666666666666666,0.5,2.0,2.0,1.0,,,3.0,,,,0.2222222222222222,0.5,0.5,,,,,,,,,,True,,,,,,,,,,,,,
258,1610612748,Brian Grant,Brian Grant,258,MIA,15637.0,261,-58,461,464,59,85,56,925,,,,,,,16.0,104.0,493,,,2.0,8.0,,,,,16.0,1.0,17.0,,10.0,35.0,29.0,37.0,56.0,7.0,6.0,1.0,13.0,10.0,6.0,19.0,7.0,22.0,4.0,18.0,,8.0,59,,,,,0.46808510638297873,0.3,0.5098039215686274,0.36363636363636365,,23.26923076923077,0.6842105263157895,0.1657142857142857,0.1509433962264151,0.1794871794871795,,,,,,,0.30851063829787234,,0.44507872340425525,0.42822000000000005,0.07692307692307693,,0.1279826464208243,29.0,2.0,13.0,30.0,17.0,35.0,,,,,,44.0,94.0,7.0,12.0,,17.0,3.0,10.0,64.0,24.0,12.0,5.0,13.0,3.0,5.0,19.0,1.0,1.0,3.0,2.0,9.0,1.0,5.0,2.0,1.0,5.0,4.0,3.0,0.7272727272727273,0.7619047619047619,0.46808510638297873,0.5833333333333334,0.3,0.5833333333333334,0.6071428571428571,0.1276595744680851,0.10344827586206896,0.26666666666666666,0.02857142857142857,0.4166666666666667,0.06914893617021277,0.08108108108108109,0.08,0.06779661016949153,0.15555555555555556,0.15384615384615385,0.10344827586206896,0.8,0.30851063829787234,0.3191489361702128,0.43333333333333335,0.5909090909090909,0.3723404255319149,0.4857142857142857,0.5,0.8235294117647058,,,,,,0.2,,,0.4835444444444445,0.0891089108910891,0.0891089108910891,0.16346153846153846,9.046808510638298,14.0,7.0,,3.0,,1.0,1.0,5.0,2.0,,,2.0,0.13513513513513514,0.09615384615384616,0.05194805194805195,0.15151515151515152,0.05263157894736842,0.4827586206896552,0.5384615384615384,0.7142857142857143,0.6153846153846154,0.5833333333333334,,4.0,4.0,,2.0,1.0,2.0,,,,,0.5714285714285714,0.25,1.0,0.08333333333333333,,,,,,,,True,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,13461.0,224,-36,406,404,86,98,40,810,8.0,18.0,2.0,4.0,10.0,23.0,22.0,130.0,436,2.0,5.0,8.0,26.0,24.0,6.0,18.0,8.0,12.0,2.0,14.0,2.0,5.0,30.0,13.0,18.0,26.0,16.0,12.0,4.0,11.0,5.0,3.0,14.0,6.0,16.0,,24.0,3.0,26.0,86,0.8,0.43478260869565216,0.4,0.43478260869565216,0.5294117647058824,0.4090909090909091,0.5669642857142857,0.5,0.22549019607843138,27.692307692307693,0.7857142857142857,0.08666666666666667,0.0918918918918919,0.10606060606060606,0.17647058823529413,0.4444444444444444,0.4444444444444444,0.75,0.18181818181818182,0.5,0.47058823529411764,0.4444444444444444,0.4752267326732673,0.5042333333333333,0.2,25.243478260869566,0.21182266009852216,25.0,8.0,6.0,17.0,20.0,37.0,2.0,5.0,,1.0,4.0,39.0,79.0,2.0,6.0,4.0,12.0,6.0,17.0,46.0,32.0,8.0,3.0,5.0,4.0,1.0,8.0,1.0,1.0,6.0,4.0,9.0,2.0,4.0,1.0,,4.0,3.0,1.0,0.5897435897435898,0.5897435897435898,0.4936708860759494,0.3333333333333333,0.35294117647058826,0.5,0.5454545454545454,0.10126582278481013,0.24,0.058823529411764705,0.02702702702702703,0.1,0.033783783783783786,0.11428571428571428,0.04419889502762431,0.04081632653061224,0.075,0.06818181818181818,0.1111111111111111,0.75,0.24509803921568626,0.16666666666666666,0.35294117647058826,0.375,0.3627450980392157,0.5405405405405406,0.5555555555555556,0.65,0.049019607843137254,0.4,0.4,1.0,0.4,0.36363636363636365,0.045454545454545456,,0.49717500000000003,0.08181818181818182,0.10344827586206896,0.09230769230769231,11.125316455696204,13.0,3.0,4.0,2.0,,,4.0,3.0,3.0,,,3.0,0.09090909090909091,0.0625,,0.10714285714285714,0.06818181818181818,0.52,0.6842105263157895,0.6923076923076923,0.16666666666666666,0.3,0.5,,,,,1.0,1.0,,,,0.125,,,,,2.0,2.0,0.5,0.5,0.5,,,True,,,,,,,,,,,,,
2067,1610612748,Eddie House,Eddie House,2067,MIA,2638.0,44,2,85,86,47,65,8,171,,3.0,,2.0,,3.0,4.0,16.0,73,,2.0,3.0,13.0,,,3.0,,4.0,1.0,5.0,,2.0,11.0,5.0,5.0,5.0,,,,4.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,13.0,47,,,,,0.2608695652173913,0.3125,0.3,0.35294117647058826,0.13043478260869565,32.608695652173914,0.8,0.13513513513513514,0.125,0.14285714285714285,0.13043478260869565,,,,0.125,,0.391304347826087,,0.44838695652173927,0.438878125,0.8125,24.633333333333336,0.5529411764705883,6.0,4.0,,2.0,3.0,12.0,,,,,,6.0,20.0,1.0,1.0,,2.0,5.0,14.0,4.0,8.0,1.0,,,,,,,,1.0,4.0,1.0,1.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,0.3,1.0,0.35714285714285715,1.0,1.0,0.05,,,0.08333333333333333,,,,,,,0.21428571428571427,,,0.2608695652173913,0.08695652173913043,,,0.5217391304347826,0.25,0.2727272727272727,,,,,,,0.25,,,0.5546,0.041666666666666664,0.047619047619047616,0.125,13.450000000000003,3.0,1.0,2.0,,,1.0,2.0,,,,,,,,,,,0.5,0.5,0.6666666666666666,,1.0,0.5,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,True,,,,,,,,,,,,,
920,1610612748,A.C. Green,A.C. Green,920,MIA,3206.0,53,4,94,100,51,55,9,194,,,,,,,5.0,13.0,86,,,2.0,10.0,,,,,1.0,,1.0,,,2.0,5.0,6.0,10.0,,,,2.0,2.0,1.0,3.0,,2.0,1.0,6.0,,10.0,51,,,,,0.5714285714285714,0.8,0.65,0.8333333333333334,,12.264150943396226,0.6666666666666666,0.10869565217391304,0.11764705882352941,0.1111111111111111,,,,,,,0.14285714285714285,,0.41758571428571434,0.4201,0.7692307692307693,,0.5425531914893617,1.0,1.0,,,3.0,6.0,,,,,,4.0,7.0,1.0,2.0,,2.0,4.0,5.0,6.0,2.0,,1.0,4.0,1.0,,4.0,,,,,3.0,,,,,1.0,1.0,,0.75,1.0,0.5714285714285714,0.5,0.8,0.5,0.5,,,,,,0.14285714285714285,0.2,0.10810810810810811,0.16666666666666666,0.2,,0.2,1.0,0.14285714285714285,,,,0.8571428571428571,0.5,0.5,1.0,,,,,,0.2,,,0.487,0.3,0.3,0.15384615384615385,15.728571428571428,1.0,1.0,1.0,,,,,,,1.0,1.0,,,0.3333333333333333,,,,1.0,1.0,,,0.5,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,
896,1610612748,Tim Hardaway,Tim Hardaway,896,MIA,15863.0,264,-69,476,476,93,104,60,952,16.0,40.0,3.0,9.0,16.0,42.0,10.0,108.0,515,3.0,10.0,3.0,24.0,21.0,27.0,40.0,16.0,39.0,8.0,47.0,4.0,13.0,102.0,12.0,18.0,21.0,10.0,7.0,3.0,18.0,9.0,8.0,26.0,5.0,16.0,2.0,12.0,4.0,24.0,93,0.4375,0.38095238095238093,0.3,0.38095238095238093,0.5,0.45652173913043476,0.5147058823529411,0.48,0.42857142857142855,23.65988909426987,0.6923076923076923,0.06896551724137931,0.08095238095238096,0.10666666666666667,0.40816326530612246,0.4,0.4,0.4375,0.391304347826087,0.3333333333333333,0.5306122448979592,0.4,0.47709062500000005,0.4256238095238095,0.2222222222222222,25.745238095238093,0.1953781512605042,10.0,1.0,5.0,10.0,14.0,36.0,,2.0,,1.0,5.0,25.0,56.0,2.0,7.0,5.0,15.0,6.0,13.0,8.0,42.0,2.0,9.0,2.0,5.0,1.0,3.0,4.0,1.0,9.0,8.0,2.0,2.0,1.0,,,1.0,,1.0,0.16,0.17391304347826086,0.44642857142857145,0.2857142857142857,0.46153846153846156,0.5416666666666666,0.5769230769230769,0.03571428571428571,0.2,,,0.07142857142857142,0.01092896174863388,0.1388888888888889,0.01327433628318584,0.016129032258064516,,0.08,0.18518518518518517,,0.10204081632653061,0.10204081632653061,0.5,0.5,0.3673469387755102,0.3888888888888889,0.3888888888888889,0.07142857142857142,0.02040816326530612,,,,0.4166666666666667,0.043478260869565216,0.043478260869565216,,0.462995,0.02,0.034482758620689655,0.1388888888888889,14.073214285714284,6.0,1.0,,2.0,,4.0,17.0,1.0,1.0,,,1.0,0.023255813953488372,,0.014084507042253521,,0.018518518518518517,0.6,0.75,0.16666666666666666,0.4,0.08333333333333333,,,4.0,,,,,,,,,,,,,3.0,3.0,0.6,0.6,0.6666666666666666,,0.25,True,,,,,,,,,,,,,
