EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3FGA,LostBallTurnovers,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BlockedAtRim,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Assists,on,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,OffThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,RecoveredBlocks,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Fg3aBlocked,FTOffRebounds,SecondChanceTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,3SecondViolations,Technical Free Throw Trips,Blocked3s,BlockedArc3,Corner3PctBlocked,Clear Path Fouls,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,HeaveMakes
1563,1610612755,Kevin Ollie,Kevin Ollie,1563,PHI,1349.0,22.0,11.0,47,47,12.0,26.0,4.0,94,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,4.0,12.0,38.0,1.0,1.0,4.0,6.0,8.0,6.0,6.0,3.0,3.0,12.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,6.0,12.0,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.6666666666666666,1.0,18.0,0.1111111111111111,0.14285714285714285,0.12,0.16666666666666666,0.125,0.5,0.42857142857142855,1.0,1.0,0.14285714285714285,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,0.42857142857142855,0.5009285714285714,0.5502,0.14285714285714285,0.14285714285714285,0.5,8.3,0.2553191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,1610612755,Roshown McLeod,Roshown McLeod,1728,PHI,337.0,6.0,-10.0,14,15,1.0,14.0,2.0,29,1.0,1.0,,,,,,1.0,1.0,,2.0,21.0,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,1.0,,0.5,,0.5,,18.75,,,,,,,0.5,1.0,1.0,,,,,,,1.0,0.595175,,,,,1.4,0.07142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,0.14285714285714285,0.5,0.5,1.0,1.0,0.6379,1.0,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,1610612755,Jumaine Jones,Jumaine Jones,1908,PHI,1751.0,29.0,10.0,60,62,16.0,41.0,5.0,122,,1.0,,1.0,1.0,6.0,7.0,6.0,9.0,6.0,21.0,57.0,2.0,3.0,4.0,8.0,2.0,3.0,3.0,3.0,,6.0,2.0,4.0,7.0,7.0,1.0,1.0,,2.0,1.0,6.0,,2.0,1.0,8.0,16.0,1.0,0.6666666666666666,0.6666666666666666,0.5769230769230769,0.4,0.65625,0.5714285714285714,29.23076923076923,0.19047619047619047,0.25,0.20689655172413793,0.25,0.2222222222222222,,0.07692307692307693,,,0.07692307692307693,0.5384615384615384,0.8571428571428571,0.8571428571428571,0.2,,0.38461538461538464,0.43451666666666666,0.481175,0.13333333333333333,0.18181818181818182,0.38095238095238093,14.244444444444444,0.26666666666666666,,,4.0,4.0,1.0,1.0,2.0,,3.0,,,2.0,,3.0,1.0,,1.0,1.0,1.0,0.3076923076923077,,,,0.3076923076923077,,,0.3329,0.09523809523809523,29.15,1.0,2.0,1.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.25,0.3333333333333333,0.1111111111111111,1.0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334,0.25,0.25,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928,1610612755,Todd MacCulloch,Todd MacCulloch,1928,PHI,1361.0,23.0,,51,52,16.0,37.0,5.0,103,7.0,9.0,1.0,1.0,2.0,,,7.0,11.0,1.0,15.0,57.0,1.0,1.0,,2.0,2.0,1.0,1.0,,1.0,2.0,,2.0,2.0,4.0,,,,7.0,2.0,2.0,,1.0,,2.0,16.0,2.0,0.6363636363636364,1.0,0.6363636363636364,1.0,0.625,1.0,23.636363636363633,0.13333333333333333,,0.09523809523809523,,0.16666666666666666,,0.8181818181818182,0.7777777777777778,0.7777777777777778,0.18181818181818182,,,,1.0,1.0,0.8181818181818182,0.5715272727272727,0.4716,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.8909090909090907,0.3137254901960784,2.0,3.0,,,2.0,3.0,4.0,2.0,,2.0,2.0,1.0,,1.0,,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.14285714285714285,0.1111111111111111,,,1.0,0.6666666666666666,0.6487666666666667,0.26666666666666666,,,,,,12.0,,,,2.0,,,,0.8571428571428571,1.0,,,,0.18181818181818182,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.5,0.8571428571428571,0.5,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1610612755,Raja Bell,Raja Bell,1952,PHI,1801.0,30.0,7.0,63,64,16.0,41.0,6.0,127,1.0,3.0,,,,,1.0,1.0,4.0,,5.0,62.0,,,,,2.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,16.0,1.0,0.25,,0.35714285714285715,,0.35714285714285715,,13.235294117647058,,0.125,0.034482758620689655,,,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333,,0.14285714285714285,,,,,0.8571428571428571,0.47985000000000005,,,,,7.25,0.25396825396825395,,,2.0,3.0,,,,,1.0,,,,,2.0,,,,,,0.42857142857142855,,,,0.2857142857142857,,,,,32.166666666666664,,1.0,1.0,1.0,,3.0,1.0,,,,2.0,1.0,,,1.0,0.3333333333333333,0.5,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1610612755,Rodney Buford,Rodney Buford,1934,PHI,1113.0,19.0,11.0,37,37,10.0,18.0,4.0,74,1.0,1.0,,,1.0,,2.0,1.0,4.0,,2.0,30.0,,,,,,1.0,2.0,,,5.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,10.0,,0.25,,0.16666666666666666,,0.16666666666666666,,15.0,0.06666666666666667,,0.05263157894736842,,0.14285714285714285,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.3333333333333333,,,,,0.5,0.4614416666666667,0.3177,,,,9.425,0.2702702702702703,,,1.0,2.0,,,,,1.0,,,,,,,1.0,,,,0.3333333333333333,,,,0.16666666666666666,,,,,26.15,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,0.16666666666666666,,,,1.0,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1610612755,Aaron McKie,Aaron McKie,243,PHI,30.0,,4.0,2,2,2.0,2.0,,4,,,,,,,,,,4.0,4.0,,,,4.0,4.0,,,,,,,2.0,,2.0,2.0,,,,,,4.0,,,2.0,4.0,2.0,,,,,,1.0,1.0,100.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,1610612755,Matt Geiger,Matt Geiger,761,PHI,761.0,13.0,9.0,22,22,3.0,11.0,1.0,44,,,,,1.0,,,1.0,1.0,,2.0,16.0,,,,,,1.0,1.0,,1.0,2.0,,2.0,2.0,2.0,1.0,,1.0,1.0,,,,,,,3.0,,1.0,,1.0,,1.0,,4.3478260869565215,0.2857142857142857,,0.18181818181818182,,0.3333333333333333,,,,,1.0,,,,,,,0.3629,,,,,12.1,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1610612755,George Lynch,George Lynch,248,PHI,50.0,1.0,-3.0,3,2,,,1.0,5,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,1610612755,Eric Snow,Eric Snow,727,PHI,213.0,4.0,-3.0,8,8,1.0,8.0,2.0,16,1.0,1.0,,,,,,1.0,1.0,2.0,4.0,14.0,,,,,2.0,,1.0,,,3.0,,,,,1.0,,1.0,1.0,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,20.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,0.6767,,0.5,0.5,,1.4,0.125,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
