EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,Usage,LiveBallTurnoverPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Steals,BadPassSteals,LostBallSteals,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Offensive Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FTDefRebounds,DefFTReboundPct,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Avg3ptShotDistance,SelfOReb,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,Arc3FGA,PenaltyArc3FGA,HeaveAttempts,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,AtRimAssists,LostBallTurnovers,PenaltyTurnovers,Arc3Frequency,PenaltyArc3Frequency,DefAtRimReboundPct,on,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,OffThreePtReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Clear Path Fouls,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes,Blocked3s,BlockedCorner3,BlockedArc3
1533,1610612739,Anthony Johnson,Anthony Johnson,1533,CLE,319.0,5,-2.0,10,12,1.0,7.0,3.0,22,1.0,1.0,13,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,15.384615384615383,1.0,1.0,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,1610612739,Cedric Henderson,Cedric Henderson,1538,CLE,758.0,13,9.0,24,27,10.0,16.0,7.0,51,1.0,9.0,25,,,,1.0,2.0,2.0,1.0,10.0,0.5625,25.806451612903228,,0.125,0.125,0.4166666666666667,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,0.5,0.5,0.5714285714285714,1.0,0.5,0.5714285714285714,1.0,0.5,1.0,0.5,0.5714285714285714,0.5,0.5,1.0,0.14285714285714285,0.2857142857142857,1.0,1.0,1.0,0.5,0.5714285714285714,0.5499142857142857,0.3901,0.7316,0.2222222222222222,0.2222222222222222,6.357142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564,1610612739,Etdrick Bohannon,Etdrick Bohannon,1564,CLE,1073.0,18,6.0,31,36,14.0,20.0,8.0,67,4.0,8.0,36,,,1.0,1.0,4.0,4.0,1.0,14.0,0.6666666666666666,17.94871794871795,,0.2,0.2,0.45161290322580644,2.0,4.0,2.0,3.0,,,,2.0,4.0,2.0,3.0,6.0,2.0,3.0,8.0,,4.0,,,,8.0,,,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.75,0.8,1.0,0.5,0.6666666666666666,,,,,,1.0,0.6666666666666666,1.0,0.6903999999999999,0.7224666666666666,0.7224666666666666,0.75,1.0,1.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.2,0.23076923076923078,0.5,0.23529411764705882,0.23076923076923078,0.25,0.3333333333333333,0.125,0.5,0.5,0.5,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,1610612739,Robert Traylor,Robert Traylor,1714,CLE,159.0,3,,4,5,2.0,5.0,2.0,9,,2.0,5,,,,,,,,2.0,1.0,16.666666666666668,,,,0.5,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,2.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,0.6462,0.6462,,1.0,,,1.0,1.0,,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,1610612739,Trajan Langdon,Trajan Langdon,1892,CLE,116.0,2,,3,4,1.0,4.0,2.0,7,,,5,,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1610612739,Chris Gatling,Chris Gatling,423,CLE,304.0,5,-4.0,11,13,3.0,8.0,2.0,24,2.0,2.0,14,,,,,,2.0,1.0,3.0,1.0,7.692307692307692,,1.0,1.0,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1610612739,Lamond Murray,Lamond Murray,441,CLE,599.0,10,6.0,19,21,13.0,16.0,4.0,40,2.0,9.0,21,,,1.0,,2.0,2.0,,13.0,0.75,30.434782608695652,,,,0.6842105263157895,,,,,2.0,,2.0,2.0,4.0,,,,1.0,3.0,7.0,2.0,2.0,,,,7.0,0.5,0.5,0.5,,0.3333333333333333,0.7,,0.625,,0.7,,,,,0.4,0.4,,,,,0.2,0.43423,,0.4404875,,0.7777777777777778,12.200000000000001,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.5,0.2,1.0,1.0,1.0,0.25,1.0,23.6,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,1610612739,Jim Jackson,Jim Jackson,754,CLE,714.0,12,-1.0,18,22,6.0,6.0,5.0,40,,4.0,23,,,,1.0,1.0,,,6.0,0.3333333333333333,26.08695652173913,,,,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,3.0,2.0,,4.0,1.0,1.0,,2.0,,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,1.0,0.16666666666666666,0.4653,0.4143,0.5420666666666666,0.5,0.5,11.666666666666666,,,,,2.0,2.0,2.0,,1.0,1.0,2.0,3.0,,,,1.0,,1.0,1.0,,,0.3333333333333333,,0.1111111111111111,0.2222222222222222,,0.1,0.2222222222222222,,0.25,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612739,Andre Miller,Andre Miller,1889,CLE,526.0,9,4.0,16,18,13.0,13.0,4.0,34,,2.0,19,1.0,,1.0,,1.0,,,13.0,0.25,25.0,1.0,,,0.8125,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,,,2.0,2.0,1.0,1.0,,,,0.5,,,0.25,,,,,,,,,0.25,0.25,,,,,0.5,0.44530000000000003,,0.4241,,,10.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,5.0,,,1.0,,,,,,2.0,,2.0,,,,,,0.5,1.0,1.0,,,,,,,,46.8,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1610612739,Clar. Weatherspoon,Clar. Weatherspoon,221,CLE,569.0,9,8.0,14,16,7.0,5.0,2.0,30,1.0,5.0,15,,,,,,2.0,1.0,7.0,0.625,25.0,,0.25,0.25,0.5,1.0,1.0,,,1.0,,1.0,2.0,3.0,1.0,1.0,2.0,,,,,4.0,,,,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,1.0,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,0.5152333333333333,0.4352,,0.4,,7.1000000000000005,,,,,,,1.0,,3.0,3.0,1.0,4.0,,,,1.0,,1.0,1.0,1.0,,,,0.3,0.25,,0.3,0.25,1.0,,0.2857142857142857,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
