EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffArc3ReboundPct,OffensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,Arc3PctBlocked,on,Clear Path Fouls,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations
147,1610612754,Jalen Rose,Jalen Rose,147,IND,81054.0,1351,-43.0,2522,2543,726,710,297.0,5065,45.0,83.0,2.0,5.0,17.0,32.0,88.0,182.0,103.0,215.0,7.0,23.0,2.0,4.0,2.0,7.0,16.0,41.0,2.0,9.0,7.0,18.0,236.0,480.0,23.0,64.0,132.0,673.0,2600,18.0,32.0,4.0,13.0,8.0,56.0,64.0,138.0,9.0,25.0,66.0,221.0,256.0,216.0,51.0,18.0,4.0,41.0,16.0,20.0,194.0,43.0,237.0,24.0,19.0,76.0,47.0,71.0,517.0,1.0,14.0,1.0,28.0,104.0,9.0,141.0,16.0,157.0,6.0,33.0,17.0,16.0,58.0,17.0,41.0,44.0,3.0,17.0,5.0,102.0,4.0,27.0,41.0,106.0,2.0,17.0,162.0,12.0,4.0,55.0,30.0,21.0,9.0,3.0,9.0,21.0,9.0,1.0,221.0,726,15.0,0.5423728813559322,0.5470085470085471,0.7391304347826086,0.359375,0.3076923076923077,0.36,0.359375,0.49166666666666664,0.5625,0.463768115942029,0.49724264705882354,0.5333333333333333,0.4754601226993865,0.5421393841166937,0.5714285714285714,0.541871921182266,0.11764705882352941,0.041666666666666664,0.08433734939759036,0.06593406593406594,0.004651162790697674,25.060996863018474,0.5686274509803921,0.10975609756097561,0.012345679012345678,0.09914204003813155,0.014477766287487074,0.12556053811659193,0.004784688995215311,0.10377358490566038,0.012755102040816327,0.01276595744680851,0.02185792349726776,0.00819672131147541,0.015151515151515152,0.0706713780918728,0.1111111111111111,0.10843373493975904,0.09615384615384616,0.19402985074626866,0.023166023166023165,0.42857142857142855,0.15257352941176472,0.5421686746987951,0.5921052631578947,0.5111111111111111,0.33455882352941174,0.4835164835164835,0.5176470588235295,0.45454545454545453,0.3952205882352941,0.4790697674418605,0.48130841121495327,0.6310679611650486,0.042279411764705885,0.30434782608695654,0.30434782608695654,0.8571428571428571,0.07536764705882353,0.3902439024390244,0.3902439024390244,0.6875,0.1111111111111111,0.4,1.0,0.08888888888888889,0.5,1.0,0.2,0.2222222222222222,1.0,0.19631901840490798,0.53125,0.04294478527607362,0.2857142857142857,0.11042944785276074,0.3888888888888889,0.2702205882352941,0.3902439024390244,0.43153363970588243,0.4501631578947369,0.4260150306748468,0.09369676320272573,0.10516252390057361,0.08320950965824665,0.32838038632986627,11.59708333333333,24.651562499999997,0.28786677240285485,,,,,,,,,,,,,True,,,
1506,1610612754,Austin Croshere,Austin Croshere,1506,IND,39430.0,657,13.0,1243,1245,464,368,152.0,2488,46.0,85.0,13.0,25.0,20.0,33.0,10.0,48.0,21.0,50.0,8.0,17.0,1.0,3.0,1.0,5.0,11.0,42.0,2.0,4.0,2.0,15.0,77.0,183.0,19.0,59.0,73.0,284.0,1243,14.0,37.0,3.0,7.0,10.0,47.0,28.0,61.0,3.0,20.0,32.0,97.0,86.0,68.0,57.0,,22.0,41.0,11.0,19.0,33.0,2.0,35.0,1.0,1.0,10.0,9.0,14.0,72.0,8.0,35.0,,12.0,72.0,7.0,91.0,43.0,134.0,9.0,17.0,10.0,7.0,18.0,7.0,8.0,29.0,,10.0,5.0,47.0,5.0,14.0,33.0,66.0,3.0,15.0,85.0,8.0,1.0,38.0,8.0,15.0,11.0,,4.0,15.0,10.0,,97.0,464,5.0,0.5584415584415584,0.6515151515151515,1.0,0.3220338983050847,0.42857142857142855,0.15,0.3275862068965517,0.4207650273224044,0.3783783783783784,0.45901639344262296,0.4359504132231405,0.42045454545454547,0.4012345679012346,0.5053571428571428,0.47959183673469385,0.49489795918367346,0.24380165289256198,0.10382513661202186,0.12941176470588237,0.14583333333333334,0.02,22.963483146067414,0.3829787234042553,0.23333333333333334,,0.14937759336099585,0.07510729613733906,0.09302325581395349,0.06837606837606838,0.13747954173486088,0.07375643224699828,0.15,0.0440251572327044,0.053475935828877004,0.09090909090909091,0.1721311475409836,0.14814814814814814,0.13636363636363635,0.1111111111111111,0.05128205128205128,0.07258064516129033,0.6666666666666666,0.3512396694214876,0.5411764705882353,0.6216216216216216,0.5,0.19834710743801653,0.20833333333333334,0.24390243902439024,0.4,0.2066115702479339,0.42,0.42857142857142855,0.7619047619047619,0.07024793388429752,0.47058823529411764,0.5,1.0,0.17355371900826447,0.2619047619047619,0.2619047619047619,1.0,0.5681818181818182,0.52,0.07692307692307693,0.06818181818181818,0.3333333333333333,1.0,0.09090909090909091,0.5,1.0,0.4074074074074074,0.6060606060606061,0.06172839506172839,0.2,0.18518518518518517,0.13333333333333333,0.5950413223140496,0.2682926829268293,0.4828269709543568,0.5202162162162162,0.48144382716049383,0.13970588235294118,0.1784037558685446,0.16549295774647887,0.3415492957746479,7.690163934426228,25.02033898305085,0.37329042638777155,1.0,1.0,0.01694915254237288,0.058823529411764705,0.05952380952380952,,,,,,,,True,,,
1733,1610612754,Al Harrington,Al Harrington,1733,IND,113557.0,1893,-25.0,3542,3568,1115,1042,432.0,7110,116.0,208.0,34.0,66.0,30.0,55.0,61.0,173.0,63.0,155.0,,1.0,,,,1.0,1.0,6.0,,1.0,,3.0,240.0,536.0,1.0,7.0,103.0,586.0,3608,44.0,90.0,,1.0,18.0,106.0,56.0,135.0,,4.0,51.0,163.0,324.0,156.0,,3.0,64.0,5.0,1.0,48.0,103.0,27.0,130.0,10.0,17.0,42.0,20.0,41.0,287.0,18.0,98.0,3.0,42.0,203.0,17.0,262.0,119.0,381.0,14.0,63.0,33.0,30.0,69.0,6.0,47.0,79.0,9.0,22.0,11.0,148.0,11.0,46.0,74.0,223.0,26.0,39.0,157.0,11.0,,65.0,19.0,18.0,3.0,5.0,10.0,18.0,13.0,,163.0,1115,25.0,0.675,0.7788461538461539,,0.14285714285714285,,,0.16666666666666666,0.44776119402985076,0.4888888888888889,0.4148148148148148,0.4447513812154696,0.4835164835164835,0.4028776978417266,0.47564935064935066,0.5047619047619047,0.4604519774011299,0.01289134438305709,0.08955223880597014,0.14423076923076922,0.06936416184971098,0.03870967741935484,18.83629191321499,0.46621621621621623,0.14782608695652175,0.02586206896551724,0.13875598086124402,0.07168983174835405,0.12883435582822086,0.06164383561643835,0.1369480156512018,0.0699216395418927,0.09883720930232558,0.0846774193548387,0.04174573055028463,0.08045977011494253,0.11428571428571428,0.13636363636363635,0.15656565656565657,0.15086206896551724,0.07446808510638298,0.05555555555555555,0.7222222222222222,0.3830570902394107,0.5576923076923077,0.651685393258427,0.6637931034482759,0.31860036832412525,0.35260115606936415,0.37888198757763975,0.5737704918032787,0.285451197053407,0.4064516129032258,0.4228187919463087,0.7936507936507936,0.001841620626151013,,,,0.011049723756906077,0.16666666666666666,0.16666666666666666,,0.7252747252747253,0.5151515151515151,0.058823529411764705,,,,0.01098901098901099,,,0.39568345323741005,0.5454545454545454,0.007194244604316547,,0.02158273381294964,,0.39594843462246776,0.2,0.45582130996309966,0.5065598765432098,0.4519557971014493,0.10887772194304858,0.11016949152542373,0.18088737201365188,0.2781569965870307,8.393283582089557,28.04285714285714,0.3147939017504235,1.0,,,,0.05365853658536585,1.0,3.0,,,,,,True,,,
1886,1610612754,Jonathan Bender,Jonathan Bender,1886,IND,15350.0,256,-50.0,499,500,203,188,60.0,999,9.0,17.0,1.0,1.0,3.0,8.0,4.0,19.0,11.0,29.0,2.0,6.0,,1.0,,2.0,5.0,14.0,,2.0,3.0,10.0,24.0,65.0,7.0,20.0,24.0,93.0,496,4.0,5.0,,3.0,5.0,13.0,8.0,30.0,3.0,12.0,11.0,36.0,32.0,16.0,21.0,,4.0,13.0,5.0,9.0,15.0,1.0,16.0,1.0,,7.0,2.0,6.0,33.0,,6.0,,8.0,18.0,1.0,27.0,6.0,33.0,1.0,3.0,3.0,,8.0,,3.0,5.0,,5.0,1.0,13.0,,4.0,16.0,27.0,,3.0,33.0,2.0,,13.0,3.0,12.0,9.0,,3.0,12.0,8.0,,36.0,203,5.0,0.6666666666666666,0.7272727272727273,1.0,0.35,,0.25,0.3684210526315789,0.36923076923076925,0.8,0.26666666666666666,0.40588235294117647,0.5,0.2976190476190476,0.465,0.65,0.3673469387755102,0.23529411764705882,0.13846153846153847,0.11764705882352941,0.3157894736842105,0.034482758620689655,19.929453262786595,0.6153846153846154,0.05263157894736842,,0.09,0.03,0.1568627450980392,,0.10358565737051793,0.02643171806167401,0.01818181818181818,0.015625,0.04938271604938271,,0.15384615384615385,0.06944444444444445,0.06578947368421052,0.1388888888888889,0.2,0.022727272727272728,0.6666666666666666,0.2,0.5294117647058824,0.6,0.6666666666666666,0.2235294117647059,0.21052631578947367,0.3076923076923077,0.5,0.3411764705882353,0.3793103448275862,0.39285714285714285,0.7272727272727273,0.07058823529411765,0.3333333333333333,0.3333333333333333,1.0,0.16470588235294117,0.35714285714285715,0.35714285714285715,1.0,0.125,1.0,,0.125,,,0.25,,,0.19047619047619047,0.375,0.047619047619047616,,0.23809523809523808,0.3,0.43529411764705883,0.38461538461538464,0.44030357142857135,0.41356875,0.4304390243902439,0.14432989690721648,0.17105263157894737,0.13978494623655913,0.3870967741935484,10.607692307692306,27.810000000000002,0.40681362725450904,1.0,,,,,,,1.0,0.047619047619047616,,,,True,,,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,29884.0,498,8.0,945,962,380,372,130.0,1907,31.0,50.0,13.0,22.0,14.0,18.0,3.0,12.0,3.0,12.0,,,,,,,1.0,2.0,,,1.0,2.0,37.0,74.0,1.0,2.0,26.0,103.0,926,14.0,27.0,,,7.0,35.0,17.0,28.0,1.0,2.0,7.0,44.0,46.0,28.0,3.0,,20.0,1.0,1.0,3.0,16.0,1.0,17.0,1.0,,10.0,2.0,4.0,35.0,6.0,49.0,5.0,14.0,84.0,13.0,111.0,60.0,171.0,1.0,18.0,11.0,7.0,8.0,2.0,5.0,8.0,,3.0,1.0,16.0,3.0,1.0,28.0,62.0,13.0,2.0,40.0,3.0,,14.0,8.0,14.0,7.0,1.0,6.0,14.0,9.0,,44.0,380,13.0,0.6216216216216216,0.8518518518518519,1.0,0.5,,0.5,1.0,0.5,0.5185185185185185,0.6071428571428571,0.506578947368421,0.5185185185185185,0.6166666666666667,0.5421052631578948,0.5303030303030303,0.5945945945945946,0.02631578947368421,0.04054054054054054,0.06,,,9.96376811594203,0.5,0.35135135135135137,0.13513513513513514,0.21212121212121213,0.1331521739130435,0.16470588235294117,0.1016949152542373,0.20374220374220375,0.1288056206088993,0.15306122448979592,0.13846153846153847,0.11428571428571428,0.2222222222222222,0.2692307692307692,0.21014492753623187,0.17532467532467533,0.15873015873015872,0.18181818181818182,0.029411764705882353,0.6428571428571429,0.6578947368421053,0.62,0.6595744680851063,0.6129032258064516,0.15789473684210525,0.25,0.25,0.3333333333333333,0.15789473684210525,0.25,0.25,1.0,,,,,0.02631578947368421,0.5,0.5,1.0,0.8148148148148148,0.5909090909090909,0.15384615384615385,,,,,,,0.6,0.7777777777777778,,,0.06666666666666667,0.5,0.6842105263157895,1.0,0.5026519999999999,0.5331458333333332,0.5081965517241379,0.16091954022988506,0.16470588235294117,0.33980582524271846,0.42718446601941745,4.928378378378378,33.55,0.4021164021164021,1.0,,,,0.04878048780487805,,2.0,,,,,,True,,,
371,1610612754,Terry Mills,Terry Mills,371,IND,3358.0,56,-16.0,108,110,50,33,16.0,218,,,,,,,3.0,4.0,3.0,6.0,1.0,1.0,,,,,2.0,9.0,,,,3.0,6.0,10.0,3.0,10.0,,21.0,107,1.0,1.0,,,,2.0,2.0,3.0,,3.0,,4.0,8.0,4.0,9.0,,2.0,9.0,2.0,,2.0,,2.0,,,1.0,1.0,,4.0,,3.0,,1.0,10.0,1.0,12.0,3.0,15.0,,1.0,1.0,,3.0,,3.0,,,,,3.0,,2.0,7.0,9.0,,,,,,,,1.0,1.0,,,1.0,1.0,,4.0,50,,0.6666666666666666,0.8,1.0,0.3,,,0.3,0.6,1.0,0.6666666666666666,0.525,1.0,0.3333333333333333,0.525,1.0,0.3333333333333333,0.5,,,,,18.11023622047244,1.0,0.125,,0.2127659574468085,0.061224489795918366,0.25,,0.21568627450980393,0.046153846153846156,,,0.15,,0.16666666666666666,0.35294117647058826,0.1111111111111111,0.25,,,1.0,,,,,0.2,0.75,0.75,0.3333333333333333,0.3,0.5,0.5,1.0,0.05,1.0,1.0,1.0,0.45,0.2222222222222222,0.2222222222222222,1.0,,,,,,,,,,,,,,0.5,,0.5,0.2222222222222222,0.46297999999999995,0.4589,0.4960166666666666,,,0.09523809523809523,0.19047619047619047,14.319999999999999,25.300000000000004,0.46296296296296297,,,,,,,,,,,,,True,,,
440,1610612754,Zan Tabak,Zan Tabak,440,IND,25052.0,418,28.0,783,793,179,225,104.0,1576,25.0,41.0,13.0,20.0,5.0,8.0,19.0,35.0,7.0,23.0,,,,,,,,,,,,,51.0,99.0,,,8.0,110.0,762,15.0,26.0,,,2.0,32.0,8.0,15.0,,,5.0,21.0,66.0,36.0,,,22.0,,,5.0,22.0,5.0,27.0,4.0,1.0,14.0,3.0,5.0,59.0,4.0,32.0,1.0,9.0,73.0,8.0,90.0,37.0,127.0,2.0,2.0,2.0,,9.0,4.0,6.0,26.0,2.0,3.0,2.0,35.0,4.0,9.0,23.0,69.0,8.0,15.0,20.0,,,4.0,6.0,20.0,9.0,,11.0,20.0,7.0,,21.0,179,7.0,0.6470588235294118,0.825,,,,,,0.5151515151515151,0.5769230769230769,0.5333333333333333,0.5151515151515151,0.5769230769230769,0.5333333333333333,0.5045871559633027,0.5714285714285714,0.5,,0.050505050505050504,0.07317073170731707,0.05714285714285714,,15.964523281596453,0.2571428571428571,0.34782608695652173,0.04,0.20165745856353592,0.10355987055016182,0.16363636363636364,0.0784313725490196,0.19664268585131894,0.1,0.10975609756097561,0.13725490196078433,0.072,0.13333333333333333,0.13793103448275862,0.23809523809523808,0.2080536912751678,0.15384615384615385,0.1875,0.046511627906976744,0.35,0.41414141414141414,0.6097560975609756,0.6578947368421053,0.48,0.35353535353535354,0.5428571428571428,0.5757575757575758,0.7368421052631579,0.23232323232323232,0.30434782608695654,0.30434782608695654,1.0,,,,,,,,,0.7692307692307693,0.65,0.07692307692307693,,,,,,,0.5333333333333333,0.625,,,,,0.41414141414141414,,0.4443959595959594,0.4788333333333333,0.44308000000000003,0.038834951456310676,0.038834951456310676,0.2909090909090909,0.19090909090909092,7.224242424242425,,0.22860791826309068,,,,,0.05555555555555555,,2.0,,,,,,True,,,
696,1610612754,Travis Best,Travis Best,696,IND,58831.0,981,44.0,1827,1837,693,633,218.0,3664,52.0,92.0,4.0,5.0,18.0,37.0,23.0,71.0,58.0,138.0,1.0,3.0,,1.0,,2.0,6.0,23.0,1.0,3.0,4.0,10.0,133.0,301.0,7.0,26.0,70.0,357.0,1786,7.0,18.0,1.0,4.0,2.0,19.0,47.0,120.0,4.0,12.0,36.0,142.0,72.0,194.0,12.0,9.0,6.0,21.0,6.0,14.0,150.0,31.0,181.0,22.0,9.0,40.0,34.0,76.0,393.0,4.0,17.0,,16.0,47.0,1.0,64.0,21.0,85.0,7.0,43.0,20.0,23.0,41.0,8.0,31.0,18.0,1.0,10.0,1.0,59.0,7.0,25.0,39.0,94.0,2.0,6.0,85.0,7.0,2.0,30.0,15.0,4.0,,1.0,3.0,5.0,5.0,,142.0,693,20.0,0.2706766917293233,0.27692307692307694,0.5714285714285714,0.2692307692307692,0.25,0.3333333333333333,0.2916666666666667,0.4418604651162791,0.3888888888888889,0.39166666666666666,0.43883792048929665,0.38636363636363635,0.4015151515151515,0.4876712328767123,0.3958333333333333,0.46078431372549017,0.07951070336391437,0.046511627906976744,0.07608695652173914,0.07042253521126761,0.014492753623188406,20.229007633587784,0.6949152542372882,0.016666666666666666,,0.06291834002677377,0.023709902370990237,0.08602150537634409,0.026490066225165563,0.06752411575562701,0.024193548387096774,0.021052631578947368,0.027777777777777776,0.02181818181818182,0.022727272727272728,0.06403940886699508,0.058333333333333334,0.06578947368421052,0.09090909090909091,0.07407407407407407,0.041666666666666664,1.0,0.28134556574923547,0.5652173913043478,0.611764705882353,0.23076923076923078,0.21712538226299694,0.323943661971831,0.3484848484848485,0.21739130434782608,0.42201834862385323,0.42028985507246375,0.4264705882352941,0.3275862068965517,0.009174311926605505,0.3333333333333333,0.3333333333333333,1.0,0.07033639143730887,0.2608695652173913,0.2608695652173913,0.5,0.22727272727272727,0.8,,0.045454545454545456,,,0.13636363636363635,0.3333333333333333,1.0,0.2803030303030303,0.4864864864864865,0.015151515151515152,,0.07575757575757576,0.4,0.36085626911314983,0.2857142857142857,0.452528,0.4752722222222222,0.44467076923076926,0.08571428571428572,0.09259259259259259,0.05322128851540616,0.39775910364145656,10.936212624584714,27.873076923076926,0.3793103448275862,2.0,,,,0.028037383177570093,,,,,1.0,1.0,,True,,,
721,1610612754,Tyus Edney,Tyus Edney,721,IND,8915.0,149,-34.0,293,290,126,97,45.0,583,10.0,17.0,,,2.0,7.0,2.0,10.0,6.0,21.0,,,,,,,1.0,4.0,,,1.0,3.0,18.0,48.0,1.0,4.0,20.0,59.0,314,2.0,3.0,,,,4.0,6.0,19.0,1.0,3.0,8.0,23.0,30.0,6.0,3.0,,,4.0,1.0,6.0,28.0,4.0,32.0,4.0,,13.0,3.0,12.0,68.0,,4.0,,2.0,7.0,,9.0,4.0,13.0,1.0,9.0,5.0,4.0,9.0,,7.0,3.0,1.0,2.0,,12.0,2.0,4.0,3.0,9.0,,,20.0,,,7.0,3.0,,,,,,,,23.0,126,1.0,0.8333333333333334,0.8333333333333334,1.0,0.25,,0.3333333333333333,0.25,0.375,0.6666666666666666,0.3157894736842105,0.375,0.6666666666666666,0.3409090909090909,0.47580645161290325,0.6666666666666666,0.4423076923076923,0.07692307692307693,0.125,0.11764705882352941,0.4,,21.44927536231884,0.75,,,0.06542056074766354,0.032,0.06896551724137931,,0.0661764705882353,0.027972027972027972,,0.07692307692307693,0.016666666666666666,,0.06666666666666667,0.03125,0.08888888888888889,0.058823529411764705,0.08333333333333333,0.037037037037037035,,0.3269230769230769,0.5882352941176471,0.6666666666666666,0.8,0.19230769230769232,0.2,0.3333333333333333,1.0,0.40384615384615385,0.2857142857142857,0.2857142857142857,0.8333333333333334,,,,,0.07692307692307693,0.25,0.25,1.0,,,,,,,,,,0.3181818181818182,0.2857142857142857,,,0.13636363636363635,0.3333333333333333,0.40384615384615385,0.25,0.45259711538461533,0.40485,0.43488409090909086,0.11864406779661017,0.12727272727272726,0.06779661016949153,0.3898305084745763,10.333333333333334,25.575000000000003,0.4300341296928328,,,,,,,,,,,,,True,,,
979,1610612754,Jermaine O'Neal,Jermaine O'Neal,979,IND,69033.0,1151,2.0,2112,2127,483,446,256.0,4239,96.0,158.0,22.0,45.0,24.0,35.0,65.0,177.0,28.0,64.0,,,,,,,,2.0,,,,2.0,189.0,399.0,,2.0,104.0,482.0,2189,26.0,66.0,,,20.0,72.0,41.0,77.0,,2.0,41.0,123.0,238.0,140.0,,,34.0,1.0,,42.0,37.0,8.0,45.0,6.0,2.0,14.0,3.0,20.0,98.0,13.0,82.0,1.0,38.0,176.0,31.0,245.0,96.0,341.0,10.0,19.0,9.0,10.0,27.0,2.0,14.0,31.0,,13.0,4.0,58.0,8.0,9.0,75.0,134.0,12.0,19.0,157.0,15.0,,68.0,18.0,98.0,61.0,3.0,34.0,98.0,63.0,1.0,123.0,483,8.0,0.6296296296296297,0.6918604651162791,,,,,,0.47368421052631576,0.3939393939393939,0.5324675324675324,0.4713216957605985,0.3939393939393939,0.5189873417721519,0.510593220338983,0.45,0.5747663551401869,0.004987531172069825,0.10526315789473684,0.13291139240506328,0.10734463276836158,0.03125,21.855670103092784,0.46551724137931033,0.4492753623188406,0.014084507042253521,0.19213973799126638,0.09832134292565947,0.19689119170984457,0.07878787878787878,0.19296663660955815,0.09509509509509509,0.12376237623762376,0.10397553516819572,0.07540983606557378,0.06976744186046512,0.14224137931034483,0.21710526315789475,0.2026315789473684,0.17857142857142858,0.24528301886792453,0.05917159763313609,0.6428571428571429,0.3940149625935162,0.6075949367088608,0.7007299270072993,0.5833333333333334,0.44139650872817954,0.3672316384180791,0.41139240506329117,0.6153846153846154,0.1596009975062344,0.4375,0.45161290322580644,0.8214285714285714,,,,,0.004987531172069825,,,,0.6818181818181818,0.4888888888888889,0.22727272727272727,,,,,,,0.4430379746835443,0.6857142857142857,,,0.02531645569620253,,0.39900249376558605,,0.442804875,0.5083890625,0.45361987179487184,0.14977973568281938,0.1504424778761062,0.14937759336099585,0.2551867219917012,6.776190476190476,32.400000000000006,0.22869318181818182,1.0,,,,0.08196721311475409,1.0,3.0,,,,,,True,,,
