EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,Arc3Assists,LongMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,Loose Ball Fouls,PenaltyCorner3FGA,OffThreePtRebounds,Travels,2pt And 1 Free Throw Trips,BlockedLongMidRange,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3Frequency,3SecondViolations,BlockedShortMidRange,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,BlockedCorner3,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3Accuracy,HeaveAttempts,Defensive 3 Seconds Violations,Clear Path Fouls,on,LongMidRangePctBlocked,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveMakes
128,1610612762,David Benoit,David Benoit,128,UTA,4834.0,81,-35.0,161,161,77,84,22,322,5,8,2.0,3.0,3.0,5.0,2.0,8.0,4.0,8,1.0,2.0,1.0,3.0,1.0,2.0,11,24,2.0,5.0,12.0,40,182,2.0,3.0,2.0,6.0,7,14,1.0,2.0,5.0,22,16.0,6.0,6.0,4.0,3.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,4.0,3.0,5,3.0,11,4.0,15,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,6,3.0,9.0,18,2.0,15.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,22,77,2.0,0.7272727272727273,0.8888888888888888,1.0,0.4,0.5,0.4,0.4583333333333333,0.6666666666666666,0.5,0.4827586206896552,0.6666666666666666,0.53125,0.5555555555555556,0.6,0.5789473684210527,0.1724137931034483,0.08333333333333333,0.125,0.125,22.82608695652174,0.5,0.75,0.10869565217391304,0.06779661016949153,0.21428571428571427,0.13333333333333333,0.05555555555555555,0.0625,0.11764705882352941,0.038461538461538464,0.15384615384615385,0.08333333333333333,0.09523809523809523,0.2222222222222222,0.2,0.07142857142857142,1.0,0.27586206896551724,0.625,0.7142857142857143,0.6,0.27586206896551724,0.25,0.2857142857142857,1.0,0.27586206896551724,0.5,0.5,0.75,0.06896551724137931,0.5,0.5,1.0,0.10344827586206896,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3125,0.6,0.125,0.5,0.4482758620689655,0.3333333333333333,0.43999999999999995,0.4957333333333333,0.41722812499999995,0.14705882352941177,0.1724137931034483,0.15,0.55,9.195833333333335,24.240000000000002,0.4782608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1521,1610612762,Jacque Vaughn,Jacque Vaughn,1521,UTA,10274.0,171,12.0,336,332,151,177,48,668,12,17,2.0,2.0,5.0,7.0,1.0,3.0,6.0,17,,,3.0,7.0,1.0,5.0,19,37,3.0,7.0,24.0,71,309,3.0,4.0,2.0,8.0,10,21,1.0,5.0,12.0,35,14.0,24.0,,,7.0,3.0,2.0,27.0,6.0,33.0,1.0,16.0,2.0,72.0,2.0,4.0,18,1.0,23,3.0,26,,3.0,1.0,2.0,9.0,8.0,10.0,1.0,1.0,19,7.0,4.0,14,2.0,31.0,7.0,6.0,6.0,,,1.0,,35,151,2.0,0.3684210526315789,0.3684210526315789,,0.42857142857142855,0.2,0.42857142857142855,0.5135135135135135,0.75,0.47619047619047616,0.5340909090909091,0.5,0.4423076923076923,0.5803571428571429,0.5714285714285714,0.5,0.1590909090909091,0.05405405405405406,0.11764705882352941,,19.18158567774936,0.47368421052631576,0.06666666666666667,0.14754098360655737,0.015503875968992248,0.10256410256410256,0.13664596273291926,0.013333333333333334,0.05,,,0.07692307692307693,0.17777777777777778,0.18421052631578946,0.04,0.21428571428571427,,,0.38636363636363635,0.7058823529411765,0.8,0.25,0.06818181818181818,0.3333333333333333,0.3333333333333333,1.0,0.38636363636363635,0.35294117647058826,0.35294117647058826,0.5,,,,,0.1590909090909091,0.42857142857142855,0.42857142857142855,,0.3333333333333333,1.0,0.2692307692307692,0.7142857142857143,0.19230769230769232,0.2,0.5454545454545454,0.42857142857142855,0.4952681818181819,0.48665833333333336,0.4558788461538462,0.12,0.13953488372093023,0.11267605633802817,0.49295774647887325,9.524324324324326,24.814285714285717,0.4494047619047619,2.0,2.0,9.0,5.0,9.0,1.0,5.0,3.0,1.0,1.0,0.09090909090909091,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
178,1610612762,Olden Polynice,Olden Polynice,178,UTA,3593.0,60,15.0,123,123,32,37,13,246,3,6,,1.0,,,3.0,5.0,2.0,5,,,,,,,8,16,,,,16,106,1.0,4.0,,2.0,1,3,,,,2,14.0,2.0,,,,,1.0,,,,,,,,2.0,1.0,7,,8,2.0,10,,1.0,1.0,,2.0,2.0,,,,2,,3.0,9,,,,,,7.0,7.0,7.0,5.0,2,32,1.0,0.875,0.875,,,,,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,0.5,0.25,0.3333333333333333,,0.0625,0.16666666666666666,,13.235294117647058,1.0,,0.1346153846153846,0.0425531914893617,0.09090909090909091,0.12698412698412698,0.04,,,0.09090909090909091,0.09523809523809523,0.18181818181818182,0.15,0.16666666666666666,,,0.7142857142857143,0.375,0.5,0.6,1.0,0.3125,0.6,0.6,0.6666666666666666,0.3125,0.4,0.4,1.0,,,,,,,,,0.25,,,,,,0.375,,0.42641249999999997,0.40875,0.3494,,,0.125,0.125,8.38125,,0.2601626016260163,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2052,1610612762,DeShawn Stevenson,DeShawn Stevenson,2052,UTA,17736.0,296,4.0,586,573,235,283,82,1159,25,43,4.0,6.0,9.0,13.0,3.0,18.0,2.0,18,,6.0,1.0,6.0,,1.0,30,79,1.0,12.0,26.0,89,564,4.0,7.0,7.0,15.0,12,25,,4.0,8.0,32,46.0,14.0,3.0,4.0,6.0,1.0,11.0,17.0,1.0,18.0,,13.0,2.0,37.0,7.0,5.0,13,1.0,19,9.0,28,1.0,10.0,5.0,5.0,14.0,9.0,14.0,5.0,5.0,28,12.0,10.0,29,2.0,38.0,,18.0,2.0,2.0,,2.0,2.0,32,235,4.0,0.7666666666666667,0.8214285714285714,1.0,0.08333333333333333,,0.08333333333333333,0.379746835443038,0.5714285714285714,0.48,0.34615384615384615,0.5714285714285714,0.41379310344827586,0.40825688073394495,0.6818181818181818,0.45714285714285713,0.13186813186813187,0.13924050632911392,0.11627906976744186,0.3333333333333333,20.266272189349113,0.5,0.041666666666666664,0.0625,0.031818181818181815,0.09090909090909091,0.06844106463878327,0.03515625,0.07042253521126761,0.015873015873015872,0.011627906976744186,0.03571428571428571,0.08695652173913043,0.060240963855421686,0.10810810810810811,0.05555555555555555,0.02127659574468085,1.0,0.4725274725274725,0.5813953488372093,0.6578947368421053,0.8,0.1978021978021978,0.16666666666666666,0.25,0.6666666666666666,0.1978021978021978,0.1111111111111111,0.1111111111111111,0.5,0.06593406593406594,,,,0.06593406593406594,0.16666666666666666,0.16666666666666666,1.0,0.8571428571428571,0.6666666666666666,0.4482758620689655,0.6923076923076923,0.034482758620689655,,0.6043956043956044,0.16666666666666666,0.49454065934065944,0.5555833333333333,0.46182931034482755,0.16822429906542055,0.18947368421052632,0.16853932584269662,0.3595505617977528,6.454430379746836,24.525000000000002,0.40102389078498296,,,,1.0,2.0,,2.0,2.0,,,,0.5,,2.0,3.0,2.0,2.0,2.0,2.0,0.05555555555555555,0.08,0.10344827586206896,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
252,1610612762,Karl Malone,Karl Malone,252,UTA,8212.0,137,26.0,275,261,117,125,41,536,15,26,2.0,4.0,5.0,11.0,4.0,11.0,10.0,32,,,,1.0,,,29,69,,1.0,25.0,83,263,4.0,9.0,3.0,11.0,11,25,,,8.0,30,44.0,14.0,,6.0,1.0,,5.0,15.0,1.0,16.0,,12.0,2.0,33.0,11.0,3.0,25,4.0,32,11.0,43,2.0,4.0,1.0,3.0,2.0,1.0,5.0,,1.0,7,3.0,8.0,14,2.0,32.0,1.0,13.0,3.0,3.0,2.0,3.0,1.0,30,117,3.0,0.7586206896551724,0.8461538461538461,,,,,0.42028985507246375,0.4444444444444444,0.44,0.4142857142857143,0.4444444444444444,0.44,0.4823529411764706,0.5,0.5,0.014285714285714285,0.07246376811594203,0.15384615384615385,0.09090909090909091,28.930817610062892,0.2857142857142857,0.5,0.25510204081632654,0.10377358490566038,0.125,0.22950819672131148,0.09243697478991597,0.15384615384615385,,0.1111111111111111,0.2727272727272727,0.3181818181818182,0.20930232558139536,0.2,,0.06060606060606061,0.3333333333333333,0.37142857142857144,0.5769230769230769,0.6818181818181818,0.8,0.15714285714285714,0.36363636363636365,0.4,0.5,0.45714285714285713,0.3125,0.3125,0.8,,,,,0.014285714285714285,,,,0.4444444444444444,0.5,0.44,0.45454545454545453,,,0.38571428571428573,,0.45800642857142854,0.46282222222222225,0.4567,0.15853658536585366,0.16049382716049382,0.13253012048192772,0.3614457831325301,9.855072463768114,24.1,0.4254545454545455,,,,1.0,1.0,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
330,1610612762,Danny Manning,Danny Manning,330,UTA,9062.0,151,-26.0,295,287,107,130,37,582,8,10,4.0,4.0,6.0,6.0,7.0,18.0,7.0,21,,,,1.0,,1.0,22,49,,1.0,10.0,54,290,5.0,7.0,,10.0,10,19,,1.0,3.0,23,26.0,18.0,,6.0,1.0,,2.0,12.0,,12.0,,8.0,3.0,24.0,6.0,3.0,12,3.0,18,7.0,25,,7.0,3.0,4.0,6.0,6.0,6.0,,,12,2.0,9.0,17,1.0,12.0,,6.0,1.0,5.0,2.0,5.0,5.0,23,107,3.0,0.5909090909090909,0.6842105263157895,,,,,0.4489795918367347,0.7142857142857143,0.5263157894736842,0.44,0.7142857142857143,0.5,0.4909090909090909,0.7142857142857143,0.5227272727272727,0.02,0.04081632653061224,0.1,0.05555555555555555,19.881305637982194,0.5,0.23076923076923078,0.12244897959183673,0.05504587155963303,0.1,0.1171875,0.046511627906976744,0.10344827586206896,0.07692307692307693,,0.16666666666666666,0.11363636363636363,0.1111111111111111,0.09090909090909091,0.125,,1.0,0.2,0.8,0.8888888888888888,0.5,0.36,0.3888888888888889,0.4117647058823529,0.42857142857142855,0.42,0.3333333333333333,0.3333333333333333,0.8571428571428571,,,,,0.02,,,,0.5714285714285714,1.0,0.3,1.0,0.05,,0.22,,0.41908700000000004,0.43661428571428573,0.4247274999999999,0.1111111111111111,0.11320754716981132,0.18518518518518517,0.42592592592592593,10.965306122448979,25.4,0.36271186440677966,,,,,1.0,1.0,4.0,3.0,,,0.1111111111111111,,,,,,1.0,2.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,
923,1610612762,Donyell Marshall,Donyell Marshall,923,UTA,8364.0,139,16.0,267,267,101,122,40,534,15,25,2.0,3.0,9.0,12.0,6.0,15.0,1.0,7,2.0,3.0,2.0,9.0,1.0,4.0,22,47,4.0,12.0,14.0,70,250,4.0,6.0,4.0,15.0,11,21,2.0,5.0,6.0,34,28.0,16.0,12.0,4.0,9.0,2.0,8.0,7.0,,7.0,,2.0,1.0,14.0,6.0,5.0,19,2.0,26,7.0,33,,3.0,2.0,1.0,5.0,5.0,5.0,,,10,3.0,4.0,13,4.0,17.0,,9.0,1.0,2.0,2.0,3.0,3.0,34,101,2.0,0.6363636363636364,0.7,1.0,0.3333333333333333,0.4,0.3333333333333333,0.46808510638297873,0.6666666666666666,0.5238095238095238,0.4745762711864407,0.6111111111111112,0.5384615384615384,0.5303030303030303,0.6818181818181818,0.5862068965517241,0.2033898305084746,0.1702127659574468,0.2,0.2,24.437299035369776,0.5,0.15384615384615385,0.21839080459770116,0.06315789473684211,0.1388888888888889,0.1951219512195122,0.06363636363636363,0.06451612903225806,0.09375,0.03125,0.22727272727272727,0.2,0.23333333333333334,0.125,0.16666666666666666,,1.0,0.423728813559322,0.6,0.75,0.8,0.2542372881355932,0.4,0.5,0.3333333333333333,0.11864406779661017,0.14285714285714285,0.14285714285714285,,0.05084745762711865,0.6666666666666666,0.6666666666666666,1.0,0.15254237288135594,0.2222222222222222,0.2222222222222222,1.0,0.3333333333333333,0.6666666666666666,0.46153846153846156,0.75,0.15384615384615385,0.25,0.6271186440677966,0.2222222222222222,0.511600847457627,0.5047428571428572,0.5264115384615384,0.13846153846153847,0.16981132075471697,0.21428571428571427,0.4857142857142857,5.957446808510637,24.658333333333335,0.3782771535580524,2.0,3.0,,,4.0,,,1.0,1.0,,,0.5,0.2222222222222222,1.0,1.0,1.0,1.0,3.0,,0.06666666666666667,0.1,0.038461538461538464,,,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1111111111111111,1.0,1.0,1.0,,,,,,True,,,,,,,,,,,
180,1610612762,John Crotty,John Crotty,180,UTA,2185.0,36,-1.0,78,75,48,53,11,153,3,6,,,2.0,5.0,,3.0,,2,,,,1.0,,,3,11,,1.0,4.0,10,77,,,,,2,9,,,3.0,7,4.0,2.0,,,1.0,,1.0,6.0,1.0,7.0,1.0,1.0,3.0,15.0,,1.0,1,1.0,3,,3,,,,,,,6.0,1.0,,6,2.0,2.0,9,1.0,5.0,1.0,1.0,1.0,,,,,7,48,5.0,0.6666666666666666,0.6666666666666666,,,,,0.2727272727272727,,0.2222222222222222,0.25,,0.2222222222222222,0.32142857142857145,,0.3181818181818182,0.08333333333333333,0.09090909090909091,,0.3333333333333333,21.978021978021978,,0.16666666666666666,0.043478260869565216,,0.3333333333333333,0.07692307692307693,,,,,,,0.07142857142857142,0.3333333333333333,,,,0.5,0.5,0.5,0.6666666666666666,0.25,,,,0.16666666666666666,,,,,,,,0.08333333333333333,,,,,,0.5555555555555556,0.4,,,0.5833333333333334,,0.5081041666666667,,0.5151111111111111,0.07692307692307693,0.08333333333333333,,0.7,5.663636363636363,24.5,0.6153846153846154,,,,,2.0,,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1900,1610612762,Quincy Lewis,Quincy Lewis,1900,UTA,1509.0,25,3.0,48,51,11,24,5,99,1,1,,,,,1.0,2.0,1.0,1,,3.0,,,,,3,4,,3.0,1.0,7,33,,,,,1,1,,1.0,1.0,3,6.0,,,,,,,,,,,,,,,,1,,1,,1,,1.0,,1.0,,,1.0,,,1,,2.0,5,1.0,1.0,,1.0,,,,,,3,11,,1.0,1.0,,,,,0.75,,1.0,0.42857142857142855,,0.5,0.5,,0.75,0.42857142857142855,,,,14.814814814814813,,,0.05,,,0.038461538461538464,,,,,,,0.2,,,,,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,,,,,,,,,,,,,,0.5714285714285714,,0.5017785714285714,,0.4683,0.14285714285714285,0.25,,0.42857142857142855,9.025,23.233333333333334,0.22916666666666666,,,,,,,,,,,,,,,1.0,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
304,1610612762,John Stockton,John Stockton,304,UTA,5702.0,95,1.0,187,180,49,67,25,367,6,11,,,2.0,2.0,1.0,6.0,4.0,9,,,4.0,6.0,1.0,2.0,11,26,4.0,6.0,7.0,41,190,1.0,1.0,2.0,7.0,3,7,1.0,2.0,2.0,11,4.0,18.0,6.0,2.0,6.0,4.0,3.0,23.0,1.0,24.0,,18.0,2.0,49.0,3.0,1.0,13,,14,4.0,18,,5.0,3.0,2.0,5.0,4.0,4.0,,1.0,9,1.0,,6,,9.0,3.0,2.0,1.0,1.0,,1.0,,11,49,2.0,0.18181818181818182,0.2,0.5,0.6666666666666666,0.5,0.6666666666666666,0.4230769230769231,1.0,0.42857142857142855,0.53125,1.25,0.5,0.5428571428571428,1.1666666666666667,0.5,0.1875,0.11538461538461539,0.09090909090909091,0.3333333333333333,20.85308056872038,0.5555555555555556,,0.19402985074626866,0.043478260869565216,0.06666666666666667,0.17073170731707318,0.05063291139240506,,0.15,,0.13333333333333333,0.2,0.21875,,0.25,,,0.34375,0.5454545454545454,0.6,0.3333333333333333,0.1875,0.16666666666666666,0.25,,0.28125,0.4444444444444444,0.4444444444444444,,,,,,0.1875,0.6666666666666666,0.6666666666666666,0.5,,,0.2222222222222222,1.0,0.2222222222222222,0.5,0.53125,0.6666666666666666,0.50165625,0.5472,0.44954999999999995,0.058823529411764705,0.07142857142857142,0.17073170731707318,0.2682926829268293,9.146153846153847,24.75,0.2620320855614973,1.0,1.0,6.0,1.0,3.0,,3.0,,,,,,0.5,,,1.0,,,,0.1,0.125,,,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,True,,,,,,,,,,,
