EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefFTReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SelfOReb,Steals,LostBallSteals,NonShootingPenaltyNonTakeFouls,SelfORebPct,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,PtsUnassisted3s,Corner3FGM,Corner3FGA,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,Technical Free Throw Trips,AtRimPctBlocked,on,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,Corner3Assists,OffThreePtRebounds,BadPassSteals,LostBallOutOfBoundsTurnovers,Travels,Clear Path Fouls,Offensive Fouls,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,SecondChanceFtPoints,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips,FoulsDrawn,Offensive Fouls Drawn
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,867.0,14,-10.0,27,28,7.0,5,4.0,55,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,6.0,36.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,7.0,0.6666666666666666,1.0,0.6,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.1666666666666666,21.875,1.0,0.2727272727272727,0.0769230769230769,0.2307692307692307,0.0714285714285714,0.1666666666666666,0.3333333333333333,0.4,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.1666666666666666,0.1666666666666666,1.0,1.0,1.0,1.0,0.5,0.5252083333333334,0.6118,0.6118,0.3333333333333333,0.3333333333333333,6.26,24.5,0.2592592592592592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612737,Nazr Mohammed,Nazr Mohammed,1737,ATL,1063.0,18,-4.0,38,37,20.0,22,4.0,75,3.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,,,5.0,8.0,,14.0,42.0,1.0,1.0,2.0,1.0,2.0,4.0,10.0,,,,2.0,3.0,5.0,2.0,7.0,1.0,,1.0,4.0,20.0,1.0,1.0,0.625,1.0,0.5,0.625,1.0,0.5,0.7,1.0,0.6666666666666666,,26.19047619047619,1.0,0.3333333333333333,0.1538461538461538,0.4,0.1428571428571428,,0.5,0.2,0.375,1.0,1.0,1.0,0.625,0.4,0.4,1.0,,,1.0,1.0,0.5,1.0,0.375,0.4713375000000001,0.6507,0.5013,0.1428571428571428,0.2857142857142857,6.45,,0.5263157894736842,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,1.0,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,1119.0,19,-9.0,37,35,12.0,16,5.0,72,,,,,,,,,3.0,3.0,,3.0,3.0,9.0,49.0,,,,,1.0,4.0,,,,3.0,,2.0,2.0,,2.0,1.0,,2.0,4.0,12.0,,,,,,0.5,,0.5,0.5625,,0.5,0.5,23.25581395348837,0.5,0.2222222222222222,,0.2,,,,0.4,,,,,,,,,0.5,0.5,,,,,0.5,0.49,,0.5265,,0.4444444444444444,17.8,25.3,0.3243243243243243,3.0,1.0,3.0,5.0,1.0,12.0,,,1.0,,1.0,1.0,2.0,4.0,,1.0,,,,,,,0.1428571428571428,0.25,2.0,1.0,2.0,2.0,1.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2069,1610612737,Hanno Mottola,Hanno Mottola,2069,ATL,1112.0,19,-12.0,37,38,20.0,14,2.0,75,1.0,1.0,,,,,1.0,2.0,2.0,,3.0,5.0,,8.0,48.0,,,,1.0,3.0,4.0,6.0,,,,,2.0,3.0,,3.0,1.0,,2.0,4.0,20.0,1.0,1.0,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.6666666666666666,,0.5,,20.51282051282051,0.5,0.1818181818181818,,0.1818181818181818,,,,0.1666666666666666,0.2,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0.4,,,,,,0.2,0.43852,,0.3876666666666666,,0.5,11.66,,0.5405405405405406,2.0,2.0,2.0,3.0,1.0,7.0,,1.0,1.0,,2.0,5.0,5.0,2.0,,1.0,0.5,,,0.5,,,0.1666666666666666,0.1666666666666666,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.2,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2143,1610612737,Pepe Sanchez,Pepe Sanchez,2143,ATL,2044.0,34,-16.0,66,67,22.0,26,5.0,133,,,,,,,,3.0,4.0,,,7.0,,,83.0,,1.0,,,2.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,3.0,,22.0,,,,,,,,,,,,,13.88888888888889,0.3333333333333333,,0.0384615384615384,,0.0357142857142857,,,,,,,,0.4285714285714285,,,,0.5714285714285714,,,,,,,0.3622857142857142,0.4429,0.316,,,13.485714285714284,,0.3333333333333333,,,4.0,5.0,1.0,11.0,,,,,1.0,1.0,3.0,,,,,,0.0909090909090909,,,,,,,,,,,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,3.0,0.1428571428571428,0.3333333333333333,,,,1.0,2.0,2.0,1.0,0.1666666666666666,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,505.0,8,-5.0,16,17,,9,2.0,33,1.0,1.0,,,,,,,,,1.0,1.0,,3.0,23.0,,,,,,,2.0,,,,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,0.75,,,,11.11111111111111,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,0.5927,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,1.0,2.0,2.0,,1.0,1.0,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1610612737,Dion Glover,Dion Glover,1901,ATL,761.0,13,-5.0,22,24,3.0,2,,46,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,5.0,28.0,,,,,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,3.0,1.0,1.0,0.3333333333333333,,,0.625,,,0.625,,,0.25,18.181818181818183,,0.0909090909090909,,0.0833333333333333,,,,,0.25,1.0,1.0,1.0,0.25,,,,0.25,0.25,,,,,0.5,0.5303374999999999,,0.3714,,,11.066666666666668,24.0,0.1363636363636363,,,2.0,2.0,1.0,4.0,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1610612737,Toni Kukoc,Toni Kukoc,389,ATL,532.0,9,2.0,18,15,2.0,10,2.0,33,,,,,,,,1.0,3.0,2.0,1.0,4.0,3.0,11.0,20.0,,,,,1.0,,2.0,,,2.0,,1.0,1.0,,1.0,2.0,,2.0,,2.0,1.0,1.0,0.25,,,0.7857142857142857,,,0.7857142857142857,,,0.4285714285714285,42.85714285714286,1.0,0.25,,0.2,,,,0.25,,,,,0.1428571428571428,,,,0.4285714285714285,0.2857142857142857,,,,,0.4285714285714285,0.4762071428571429,,0.2971,,,17.25,24.4,0.1111111111111111,,,1.0,1.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,2.0,,,3.0,,,6.0,2.0,,,,,,,0.6666666666666666,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,3.0,1.0,1.0,0.1428571428571428,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612737,Lorenzen Wright,Lorenzen Wright,953,ATL,764.0,13,-11.0,22,24,4.0,9,1.0,46,,,,,,,,1.0,1.0,,,2.0,,2.0,32.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,4.0,,,,,,,,,0.3333333333333333,,,,12.5,,0.0909090909090909,0.1,0.0833333333333333,0.0833333333333333,,,0.2,,,,,0.5,,,,0.5,,,,,,,0.36945,0.3765,,,,10.6,,0.1818181818181818,2.0,,2.0,2.0,2.0,4.0,,,,,,,1.0,2.0,,1.0,,,0.25,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612737,DerMarr Johnson,DerMarr Johnson,2035,ATL,935.0,16,-6.0,30,31,11.0,9,,61,,2.0,,,,,1.0,1.0,1.0,,2.0,4.0,,7.0,34.0,,,,1.0,1.0,4.0,4.0,,,,,,,,,2.0,1.0,2.0,4.0,11.0,1.0,1.0,0.5,,1.0,0.5,,1.0,0.6,,1.0,,23.333333333333336,1.0,,,,,,,,0.5,,,,0.25,1.0,1.0,1.0,0.25,,,,,,0.5,0.5187999999999999,,0.3771,,0.5714285714285714,8.225000000000001,,0.3666666666666666,3.0,2.0,,,,,,,1.0,,1.0,,,4.0,1.0,1.0,,,,,,,0.25,0.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,2.0,,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
