EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,FG2M,Points,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,DeadBallTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,OffShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,PenaltyPointsPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Steals,BadPassSteals,FTA,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceFG2M,SecondChancePoints,BadPassTurnovers,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGA,SelfOReb,SelfORebPct,SecondChanceAtRimFrequency,ThreePtAssists,Arc3Assists,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,DefTwoPtRebounds,BlockedAtRim,DefensiveGoaltends,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,DefLongMidRangeReboundPct,on,SecondChanceAtRimFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Corner3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Clear Path Fouls,Loose Ball Fouls,Technical Free Throw Trips,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PtsPutbacks,2pt And 1 Free Throw Trips,BlockedLongMidRange,SecondChanceFtPoints,3SecondViolations,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveMakes,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3,Corner3PctBlocked
1085,1610612737,Ira Bowman,Ira Bowman,1085,ATL,1156.0,19,-7.0,31,35,16,9.0,4.0,66,1.0,1.0,2.0,41.0,1.0,1.0,1.0,7.0,7.0,4.0,2.0,1.0,14.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,16,0.5,1.0,8.333333333333334,1.0,0.07692307692307693,0.25,0.07142857142857142,0.06666666666666667,0.2,0.3333333333333333,0.5,0.5,0.41455,0.4192,0.4192,10.9,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,1610612737,Chris Crawford,Chris Crawford,1544,ATL,1156.0,19,-7.0,31,35,16,9.0,4.0,66,3.0,,5.0,41.0,1.0,2.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,16,,,19.444444444444446,0.5,0.07692307692307693,,,0.06666666666666667,,,0.6,,0.46098,0.3111,0.4665,5.76,0.5161290322580645,2.0,2.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.6,0.5,0.6,0.5,0.14285714285714285,0.4,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,1610612737,Larry Robinson,Larry Robinson,1683,ATL,306.0,5,-4.0,9,12,7,3.0,1.0,21,,,,15.0,,,,,,,,,,,,,,,,,,,7,,,25.0,,,,,,,,,,0.50475,,0.50475,,0.7777777777777778,,,,,,,7.0,,7.0,,,,1.0,,7.0,,,,,1.5,1.5,1.1666666666666667,1.1666666666666667,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612737,Jason Terry,Jason Terry,1891,ATL,592.0,10,,17,19,7,8.0,1.0,36,1.0,1.0,3.0,19.0,1.0,2.0,,,,,,,,,,,,,1.0,,1.0,,7,,,38.88888888888889,1.0,,,,,,,0.25,0.25,0.4978625,0.3382,0.53375,8.266666666666667,0.4117647058823529,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,2.0,2.0,,,,2.0,0.5,0.5,0.6666666666666666,0.5,0.5,0.5,0.5833333333333334,0.5,,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.2857142857142857,,1.0,,,,1.0,3.0,,,,,1.0,,,,4.0,,,,,,0.25,0.25,,,,,,,24.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,1610612737,Dion Glover,Dion Glover,1901,ATL,206.0,3,,7,7,6,3.0,2.0,14,1.0,1.0,3.0,8.0,2.0,2.0,,,,,,,,1.0,,,1.0,1.0,,,,,6,,,37.5,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.41923333333333335,0.4306,0.4485,8.4,0.8571428571428571,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,0.3333333333333333,,,,,,0.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,1610612737,Cal Bowdler,Cal Bowdler,1898,ATL,250.0,4,2.0,8,9,8,3.0,1.0,17,,1.0,1.0,7.0,1.0,1.0,,,1.0,,,,3.0,,,,,,,,,,8,,,9.090909090909092,,,,,,,,,1.0,0.3807,0.3807,0.3807,17.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,1610612737,DerMarr Johnson,DerMarr Johnson,2035,ATL,262.0,4,2.0,7,8,5,,1.0,15,1.0,1.0,2.0,9.0,,1.0,,,,,,,,,,,,,,,,,5,,,50.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.4281833333333333,,0.454725,12.05,0.7142857142857143,,,,,,1.0,6.0,,4.0,2.0,,,,,4.0,1.0,1.0,0.5,,0.3333333333333333,,0.6,0.5,,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,1.0,4.0,,1.0,4.0,,,,,,4.0,1.0,,,,,0.3333333333333333,,,,,,,,23.2,,,,1.0,,,,,,,,,0.25,0.3333333333333333,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612737,Dikembe Mutombo,Dikembe Mutombo,87,ATL,687.0,11,-10.0,17,19,6,4.0,2.0,36,2.0,,2.0,23.0,,2.0,,,,,,,,,,3.0,,3.0,,,,,6,,,11.11111111111111,,,,0.375,,,,1.0,,0.38865,,0.38865,7.2,0.35294117647058826,,,,,2.0,2.0,4.0,2.0,4.0,2.0,2.0,,,,4.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,0.5,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.42857142857142855,1.0,0.6666666666666666,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1610612737,Lorenzen Wright,Lorenzen Wright,953,ATL,776.0,13,-10.0,19,22,5,6.0,1.0,41,2.0,1.0,4.0,29.0,,1.0,,,,,,,,,,3.0,,3.0,,,,,5,,,20.0,,,,0.3,,,,0.5,0.25,0.44885,,0.3468,10.55,0.2631578947368421,1.0,1.0,,,1.0,2.0,4.0,,,4.0,,,,,,1.0,1.0,0.5,,0.5,,0.5,,,0.25,1.0,1.0,1.0,0.5,0.5,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,0.375,,0.3333333333333333,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,1610612737,Alan Henderson,Alan Henderson,673,ATL,389.0,6,-1.0,9,9,4,,3.0,18,1.0,,1.0,13.0,,,,,,,,,,,,,,,,,,,4,,,9.090909090909092,,,,,,,,1.0,,0.4033,,,5.4,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
